english,english_parts,tune,tune_parts,joiner,parts,whole,where,kind
aloe,"gel + leaf + plant",klofailifaidorf,"klof + lif + dorf",ai,3,yes,plant,proposal
alopecia,"hair + loss",,"fif + ?",ai,2,no,judged,verdict
alprazolam,"calm + anxiety + drug",,"kam + ? + som",ai,3,no,drug,proposal
alum,"sour + salt",yedzaitigz,"yedz + tigz",ai,2,yes,judged,verdict
aluminum,"shine + atom",palbaitom,"palb + tom",ai,2,yes,atom,proposal
amaryllis,"bare + stalk + flower",xoldaiklepaiflor,"xold + klep + flor",ai,3,yes,flower,proposal
americium,"smoke + atom",smokaitom,"smok + tom",ai,2,yes,atom,proposal
amidase,"amide + enzyme",,"? + spug",ai,2,no,judged,verdict
amide,"ammonia + acid + group",smavaifalfaihip,"smav + falf + hip",ai,3,yes,judged,verdict
amine,"nitrogen + group",snucaihip,"snuc + hip",ai,2,yes,judged,verdict
amoxicillin,"bacteria + kill + drug",brakaiklubaisom,"brak + klub + som",ai,3,yes,drug,proposal
amphetamine,"energy + alert + drug",bupaipalvaisom,"bup + palv + som",ai,3,yes,drug,proposal
amyloidosis,"starch + protein + state",snebailudzaidom,"sneb + ludz + dom",ai,3,yes,judged,verdict
anatomy,"body + study",vatainedz,"vat + nedz",ai,2,yes,judged,verdict
andesite,"gray + fire",petxaifor,"petx + for",ai,2,yes,rock,proposal
anemone,"wind + flower",wandaiflor,"wand + flor",ai,2,yes,flower,proposal
anesthesia,"no + feel",nopainag,"nop + nag",ai,2,yes,judged,verdict
aneurysm,"vessel + bulge",vesaistox,"ves + stox",ai,2,yes,judged,verdict
angioma,"vessel + growth",,"ves + ?",ai,2,no,judged,verdict
angiosarcoma,"vessel + flesh + cancer",vesaiflaxaibudj,"ves + flax + budj",ai,3,yes,judged,verdict
anhydride,"no + water + compound",nopaiwaCaiCeqk,"nop + waC + Ceqk",ai,3,yes,judged,verdict
anhydrous,"no + water",nopaiwaC,"nop + waC",ai,2,yes,judged,verdict
anthropology,"people + study",pedainedz,"ped + nedz",ai,2,yes,judged,verdict
antibody,"against + body",zofaivat,"zof + vat",ai,2,yes,judged,verdict
antimony,"paint + atom",pentaitom,"pent + tom",ai,2,yes,atom,proposal
antique,"old + made + thing",,"marg + ? + niv",ai,3,no,judged,verdict
aorta,"great + artery",macaiyubz,"mac + yubz",ai,2,yes,judged,verdict
apex,"top + point",sukaileC,"suk + leC",ai,2,yes,judged,verdict
aplasia,"no + growth",,"nop + ?",ai,2,no,judged,verdict
apoptosis,"fall + away + cell + death",zuraiyadaimudzaidac,"zur + yad + mudz + dac",ai,4,yes,judged,verdict
aquaculture,"water + farm",waCaidesp,"waC + desp",ai,2,yes,judged,verdict
aquifer,"water + rock + layer",waCairakaigrof,"waC + rak + grof",ai,3,yes,judged,verdict
archaeology,"old + study",margainedz,"marg + nedz",ai,2,yes,judged,verdict
arginine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
argon,"slow + atom",slomaitom,"slom + tom",ai,2,yes,atom,proposal
arkose,"granite + sand",,"? + sand",ai,2,no,rock,proposal
arsenic,"poison + atom",borzaitom,"borz + tom",ai,2,yes,atom,proposal
arteriole,"small + artery",smalaiyubz,"smal + yubz",ai,2,yes,judged,verdict
arteritis,"artery + swell",yubzaiparb,"yubz + parb",ai,2,yes,judged,verdict
arthritis,"joint + inflammation",dolfaifrep,"dolf + frep",ai,2,yes,judged,verdict
arthropathy,"joint + disease",dolfaibidj,"dolf + bidj",ai,2,yes,judged,verdict
artillery,"heavy + gun",nantaizaz,"nant + zaz",ai,2,yes,judged,verdict
asbestos,"thread + rock",rentairak,"rent + rak",ai,2,yes,judged,verdict
ascites,"belly + water",blinaiwaC,"blin + waC",ai,2,yes,judged,verdict
aside,"at + side",hataisard,"hat + sard",ai,2,yes,judged,verdict
asparagine,"amino + acid",,"? + falf",ai,2,no,judged,verdict
aspen,"shake + leaf + tree",gempailifaidip,"gemp + lif + dip",ai,3,yes,tree,proposal
aspirin,"pain + fever + drug",muzaipudzaisom,"muz + pudz + som",ai,3,yes,drug,proposal
assay,"test + sample",tasaihund,"tas + hund",ai,2,yes,judged,verdict
astatine,"quick + atom",klokaitom,"klok + tom",ai,2,yes,atom,proposal
aster,"star + flower",staraiflor,"star + flor",ai,2,yes,flower,proposal
asthma,"tight + breath",tratainogz,"trat + nogz",ai,2,yes,judged,verdict
astrocyte,"star + cell",staraimudz,"star + mudz",ai,2,yes,judged,verdict
ataxia,"no + order",nopainord,"nop + nord",ai,2,yes,judged,verdict
atlas,"map + book",deqaivam,"deq + vam",ai,2,yes,judged,verdict
atorvastatin,"blood + fat + lower",,"bloC + wes + ?",ai,3,no,drug,proposal
atresia,"no + passage",nopaijaqk,"nop + jaqk",ai,2,yes,judged,verdict
atrium,"enter + room",drozaitif,"droz + tif",ai,2,yes,judged,verdict
automobile,"self + move",depaimuv,"dep + muv",ai,2,yes,judged,verdict
avocado,"fat + green + fruit",wesaipesaimag,"wes + pes + mag",ai,3,yes,judged,verdict
azalea,"bright + shrub + flower",,"din + ? + flor",ai,3,no,flower,proposal
azithromycin,"bacteria + block + drug",brakaigiksaisom,"brak + giks + som",ai,3,yes,drug,proposal
bacillus,"rod + germ",fitsaisnop,"fits + snop",ai,2,yes,judged,verdict
background,"back + ground",gokaimits,"gok + mits",ai,2,yes,judged,verdict
balsam,"smell + resin",,"lug + ?",ai,2,no,judged,verdict
bamboo,"arrow + flute",jiftaitxic,"jift + txic",ai,2,yes,plant,proposal
banyan,"root + branch + tree",febzailumaidip,"febz + lum + dip",ai,3,yes,tree,proposal
baobab,"fat + trunk + tree",wesaitimpaidip,"wes + timp + dip",ai,3,yes,tree,proposal
barium,"heavy + atom",nantaitom,"nant + tom",ai,2,yes,atom,proposal
barley,"grain + plant",letxaidorf,"letx + dorf",ai,2,yes,plant,proposal
baroque,"ornate + style",,"? + deks",ai,2,no,judged,verdict
basalt,"dark + fire",ramaifor,"ram + for",ai,2,yes,rock,proposal
basil,"sweet + smell + herb",skitailugairorb,"skit + lug + rorb",ai,3,yes,plant,proposal
bathroom,"bath + room",,"? + tif",ai,2,no,judged,verdict
bean,"pod + seed",pardaisid,"pard + sid",ai,2,yes,plant,proposal
beech,"smooth + bark + tree",kindaiyogzaidip,"kind + yogz + dip",ai,3,yes,tree,proposal
beet,"red + root",gicaifebz,"gic + febz",ai,2,yes,plant,proposal
begonia,"uneven + leaf + flower",,"? + lif + flor",ai,3,no,flower,proposal
bench,"long + seat",,"nuc + ?",ai,2,no,judged,verdict
benign,"no + harm",nopaidrak,"nop + drak",ai,2,yes,judged,verdict
benzene,"six + carbon + ring",vipairintairop,"vip + rint + rop",ai,3,yes,judged,verdict
berkelium,"bright + atom",dinaitom,"din + tom",ai,2,yes,atom,proposal
beryllium,"precious + atom",prexaitom,"prex + tom",ai,2,yes,atom,proposal
betaine,"beet + amine",,"? + ?",ai,2,no,judged,verdict
bicarbonate,"two + carbonate",,"dob + ?",ai,2,no,judged,verdict
bicolor,"two + colour",,"dob + ?",ai,2,no,judged,verdict
bin,"open + box",zarkaibraz,"zark + braz",ai,2,yes,judged,verdict
biogenesis,"life + birth",cadaidolb,"cad + dolb",ai,2,yes,judged,verdict
biomarker,"life + mark",cadaiwen,"cad + wen",ai,2,yes,judged,verdict
biopsy,"live + sample",kibaihund,"kib + hund",ai,2,yes,judged,verdict
biosynthesis,"life + synthesis",,"cad + ?",ai,2,no,judged,verdict
biotin,"life + vitamin",,"cad + ?",ai,2,no,judged,verdict
bipolar,"two + pole + of",dobaiviksaiyov,"dob + viks + yov",ai,3,yes,judged,verdict
birch,"paper + bark + tree",yofaiyogzaidip,"yof + yogz + dip",ai,3,yes,tree,proposal
bismuth,"shadow + atom",petsaitom,"pets + tom",ai,2,yes,atom,proposal
blight,"plant + rot",dorfaijamp,"dorf + jamp",ai,2,yes,judged,verdict
blister,"raise + skin",mumpaiskin,"mump + skin",ai,2,yes,judged,verdict
bluebell,"blue + bell + flower",bulaigentaiflor,"bul + gent + flor",ai,3,yes,flower,proposal
blush,"red + face",gicaifes,"gic + fes",ai,2,yes,judged,verdict
bohrium,"deep + atom",govaitom,"gov + tom",ai,2,yes,atom,proposal
bonnet,"head + cap",hadaitalb,"had + talb",ai,2,yes,judged,verdict
boron,"bone + atom",brodaitom,"brod + tom",ai,2,yes,atom,proposal
bracket,"hold + arm",hoqaimarb,"hoq + marb",ai,2,yes,judged,verdict
breadfruit,"bread + fruit + tree",dalfaimagaidip,"dalf + mag + dip",ai,3,yes,tree,proposal
breccia,"sharp + bit",bontaivic,"bont + vic",ai,2,yes,rock,proposal
broccoli,"green + flower + plant",pesaifloraidorf,"pes + flor + dorf",ai,3,yes,plant,proposal
bromine,"ocean + atom",vrunaitom,"vrun + tom",ai,2,yes,atom,proposal
bronchiole,"small + airway",,"smal + ?",ai,2,no,judged,verdict
bronchus,"lung + tube",xolsaitub,"xols + tub",ai,2,yes,judged,verdict
broom,"sweep + brush",fuskaisisp,"fusk + sisp",ai,2,yes,judged,verdict
buck,"male + deer",mafaixars,"maf + xars",ai,2,yes,judged,verdict
buckeye,"eye + seed + tree",xicaisidaidip,"xic + sid + dip",ai,3,yes,tree,proposal
buoy,"float + mark",flotaiwen,"flot + wen",ai,2,yes,judged,verdict
bush,"dense + low + plant",txifailemaidorf,"txif + lem + dorf",ai,3,yes,plant,proposal
business,"work + trade",warkaitred,"wark + tred",ai,2,yes,judged,verdict
butanol,"four + carbon + alcohol",lafairintaikoqk,"laf + rint + koqk",ai,3,yes,judged,verdict
buttercup,"yellow + cup + flower",buxainipsaiflor,"bux + nips + flor",ai,3,yes,flower,proposal
buttress,"prop + wall",,"? + medz",ai,2,no,judged,verdict
bypass,"by + pass",baCaiyef,"baC + yef",ai,2,yes,judged,verdict
cabbage,"round + leaf + plant",mapsailifaidorf,"maps + lif + dorf",ai,3,yes,plant,proposal
cabinet,"door + case",dorainor,"dor + nor",ai,2,yes,judged,verdict
cadmium,"source + atom",mabaitom,"mab + tom",ai,2,yes,atom,proposal
caesium,"sky + atom",xumaitom,"xum + tom",ai,2,yes,atom,proposal
caffeine,"wake + drug",gataisom,"gat + som",ai,2,yes,drug,proposal
calcaneus,"heel + bone",jumpaibrod,"jump + brod",ai,2,yes,judged,verdict
calf,"young + cow",zenaivaqk,"zen + vaqk",ai,2,yes,judged,verdict
californium,"bare + atom",xoldaitom,"xold + tom",ai,2,yes,atom,proposal
callus,"hard + skin",kadaiskin,"kad + skin",ai,2,yes,judged,verdict
camellia,"smooth + petal + flower",kindaiskaqaiflor,"kind + skaq + flor",ai,3,yes,flower,proposal
campaign,"plan + run",planairin,"plan + rin",ai,2,yes,judged,verdict
candidiasis,"yeast + sickness",,"skog + ?",ai,2,no,judged,verdict
cane,"stalk + stick",klepaireb,"klep + reb",ai,2,yes,judged,verdict
cannon,"big + gun",brataizaz,"brat + zaz",ai,2,yes,judged,verdict
canopy,"over + cover",djipaikov,"djip + kov",ai,2,yes,judged,verdict
canthus,"eye + corner",xicaimuft,"xic + muft",ai,2,yes,judged,verdict
canton,"land + part",lanaipart,"lan + part",ai,2,yes,judged,verdict
capsule,"small + shell",smalaitxal,"smal + txal",ai,2,yes,judged,verdict
carbamate,"carbon + nitrogen + salt",rintaisnucaitigz,"rint + snuc + tigz",ai,3,yes,judged,verdict
carboxamide,"carboxyl + amide",,"? + ?",ai,2,no,judged,verdict
carcinoma,"cover + tissue + cancer",kovaitxumaibudj,"kov + txum + budj",ai,3,yes,judged,verdict
cardiomyopathy,"heart + muscle + disease",zifaisuftaibidj,"zif + suft + bidj",ai,3,yes,judged,verdict
cardiovascular,"heart + vessel + of",zifaivesaiyov,"zif + ves + yov",ai,3,yes,judged,verdict
carnation,"fold + petal + flower",foldaiskaqaiflor,"fold + skaq + flor",ai,3,yes,flower,proposal
carotene,"orange + pigment",,"dej + ?",ai,2,no,judged,verdict
carpet,"floor + cloth",rimaicorv,"rim + corv",ai,2,yes,judged,verdict
carrot,"orange + root",dejaifebz,"dej + febz",ai,2,yes,judged,verdict
cartridge,"shot + case",,"? + nor",ai,2,no,judged,verdict
casein,"milk + protein",nudjailudz,"nudj + ludz",ai,2,yes,judged,verdict
cassava,"starch + root",snebaifebz,"sneb + febz",ai,2,yes,plant,proposal
castor,"beaver + oil",,"? + gips",ai,2,no,judged,verdict
cataract,"cloud + lens",kladailalv,"klad + lalv",ai,2,yes,judged,verdict
catheter,"body + tube",vataitub,"vat + tub",ai,2,yes,judged,verdict
cattail,"tail + water + grass",tadaiwaCaigras,"tad + waC + gras",ai,3,yes,plant,proposal
cauliflower,"white + flower + plant",wipaifloraidorf,"wip + flor + dorf",ai,3,yes,plant,proposal
cedar,"smell + conifer",,"lug + ?",ai,2,no,tree,proposal
celery,"crisp + stalk + plant",djezaiklepaidorf,"djez + klep + dorf",ai,3,yes,plant,proposal
cellulose,"cell + sugar",mudzaigand,"mudz + gand",ai,2,yes,judged,verdict
cerebellum,"small + brain",smalaibren,"smal + bren",ai,2,yes,judged,verdict
cerebrospinal,"brain + spine + of",brenaispanaiyov,"bren + span + yov",ai,3,yes,judged,verdict
cerium,"rust + atom",blomaitom,"blom + tom",ai,2,yes,atom,proposal
cervix,"neck + of + womb",mondaiyovaigloq,"mond + yov + gloq",ai,3,yes,judged,verdict
chalk,"powder + stone",kubzaiston,"kubz + ston",ai,2,yes,rock,proposal
chemotaxis,"chemical + move",kremaimuv,"krem + muv",ai,2,yes,judged,verdict
chert,"dull + spark + stone",vaspaicadjaiston,"vasp + cadj + ston",ai,3,yes,rock,proposal
chess,"king + board + game",fubaimarzaigem,"fub + marz + gem",ai,3,yes,judged,verdict
chestnut,"spine + nut + tree",spanaihiksaidip,"span + hiks + dip",ai,3,yes,judged,verdict
chickpea,"round + seed",mapsaisid,"maps + sid",ai,2,yes,plant,proposal
chive,"thin + onion + herb",porvaiwontairorb,"porv + wont + rorb",ai,3,yes,plant,proposal
chlorine,"green + atom",pesaitom,"pes + tom",ai,2,yes,atom,proposal
chloroform,"sleep + vapor",slipaifron,"slip + fron",ai,2,yes,drug,proposal
cholecystitis,"gall + bladder + swell",txozaiwutsaiparb,"txoz + wuts + parb",ai,3,yes,judged,verdict
cholesterol,"bile + sterol",,"vriz + ?",ai,2,no,judged,verdict
choline,"bile + amine",,"vriz + ?",ai,2,no,judged,verdict
chromatin,"colour + thread",,"? + rent",ai,2,no,judged,verdict
chromatography,"colour + write + craft",,"? + rat + yabz",ai,3,no,judged,verdict
chrome,"shine + metal",palbaimalt,"palb + malt",ai,2,yes,judged,verdict
chromium,"color + atom",kloraitom,"klor + tom",ai,2,yes,atom,proposal
chrysanthemum,"many + petal + flower",mavaiskaqaiflor,"mav + skaq + flor",ai,3,yes,flower,proposal
cigar,"roll + tobacco",maldaiCadj,"mald + Cadj",ai,2,yes,judged,verdict
cilantro,"sharp + smell + herb",bontailugairorb,"bont + lug + rorb",ai,3,yes,plant,proposal
cilium,"cell + hair",mudzaifif,"mudz + fif",ai,2,yes,judged,verdict
cinnamon,"name + bark",namaiyogz,"nam + yogz",ai,2,yes,judged,verdict
ciprofloxacin,"bacteria + kill + drug",brakaiklubaisom,"brak + klub + som",ai,3,yes,drug,proposal
cirrhosis,"liver + scar",,"? + xoks",ai,2,no,judged,verdict
clavicle,"collar + bone",fedjaibrod,"fedj + brod",ai,2,yes,judged,verdict
cleft,"split + gap",ditaiwets,"dit + wets",ai,2,yes,judged,verdict
clergy,"priest + body",,"? + vat",ai,2,no,judged,verdict
cloak,"loose + coat",txotainusp,"txot + nusp",ai,2,yes,judged,verdict
clover,"three + leaf + grass",suCailifaigras,"suC + lif + gras",ai,3,yes,plant,proposal
coach,"road + carriage",,"yeb + ?",ai,2,no,judged,verdict
coal,"char + stone",smutaiston,"smut + ston",ai,2,yes,rock,proposal
cobalt,"ring + atom",ropaitom,"rop + tom",ai,2,yes,atom,proposal
cocaine,"leaf + drug",lifaisom,"lif + som",ai,2,yes,judged,verdict
cochlea,"ear + spiral",ditsaikriv,"dits + kriv",ai,2,yes,judged,verdict
cocktail,"mixed + drink",,"? + dug",ai,2,no,judged,verdict
cocoa,"chocolate + seed",dadjaisid,"dadj + sid",ai,2,yes,plant,proposal
codeine,"pain + cough + drug",muzaikafaisom,"muz + kaf + som",ai,3,yes,drug,proposal
coffee,"bitter + seed + drink",vumpaisidaidug,"vump + sid + dug",ai,3,yes,plant,proposal
coke,"burn + coal",,"molc + ?",ai,2,no,judged,verdict
colitis,"gut + swell",gutaiparb,"gut + parb",ai,2,yes,judged,verdict
collagen,"fibre + protein",,"? + ludz",ai,2,no,judged,verdict
colloid,"fine + hang + matter",polaiheqaituf,"pol + heq + tuf",ai,3,yes,judged,verdict
columbine,"hang + bell + flower",heqaigentaiflor,"heq + gent + flor",ai,3,yes,flower,proposal
coma,"deep + sleep",govaislip,"gov + slip",ai,2,yes,judged,verdict
commerce,"goods + trade",veftaitred,"veft + tred",ai,2,yes,judged,verdict
commissure,"join + band",gozaimups,"goz + mups",ai,2,yes,judged,verdict
commonwealth,"common + wealth",,"nobz + ?",ai,2,no,judged,verdict
commune,"share + village",xalaigolt,"xal + golt",ai,2,yes,judged,verdict
conglomerate,"round + bit",mapsaivic,"maps + vic",ai,2,yes,rock,proposal
conjunctiva,"join + eye + film",,"goz + xic + ?",ai,3,no,judged,verdict
conjunctivitis,"eye + skin + swell",xicaiskinaiparb,"xic + skin + parb",ai,3,yes,judged,verdict
constipation,"bound + gut",tudjaigut,"tudj + gut",ai,2,yes,judged,verdict
contracture,"muscle + shorten",,"suft + ?",ai,2,no,judged,verdict
contusion,"deep + bruise",govaidjif,"gov + djif",ai,2,yes,judged,verdict
cookie,"small + sweet + cake",smalaiskitaikrek,"smal + skit + krek",ai,3,yes,judged,verdict
copernicium,"center + atom",navaitom,"nav + tom",ai,2,yes,atom,proposal
copolymer,"two + kind + polymer",,"dob + nab + ?",ai,3,no,judged,verdict
corn,"tall + grain + plant",talsailetxaidorf,"tals + letx + dorf",ai,3,yes,plant,proposal
cornea,"horn + eye + coat",peksaixicainusp,"peks + xic + nusp",ai,3,yes,judged,verdict
corona,"light + ring",litairop,"lit + rop",ai,2,yes,judged,verdict
coronavirus,"crown + virus",kartaitagz,"kart + tagz",ai,2,yes,judged,verdict
corporation,"trade + body",tredaivat,"tred + vat",ai,2,yes,judged,verdict
corpuscle,"small + body",smalaivat,"smal + vat",ai,2,yes,judged,verdict
cortex,"outer + layer",,"? + grof",ai,2,no,judged,verdict
cortisol,"stress + hormone",hispaisnen,"hisp + snen",ai,2,yes,drug,proposal
cosmos,"flat + round + flower",flataimapsaiflor,"flat + maps + flor",ai,3,yes,flower,proposal
costume,"play + dress",plarailiz,"plar + liz",ai,2,yes,judged,verdict
cotton,"soft + fiber + plant",saftaidjotaidorf,"saft + djot + dorf",ai,3,yes,plant,proposal
cottonwood,"cotton + seed + tree",siksaisidaidip,"siks + sid + dip",ai,3,yes,tree,proposal
crisis,"turn + point",kakaileC,"kak + leC",ai,2,yes,judged,verdict
crocus,"early + cup + flower",yabainipsaiflor,"yab + nips + flor",ai,3,yes,flower,proposal
cucumber,"cool + water + fruit",zoraiwaCaimag,"zor + waC + mag",ai,3,yes,plant,proposal
cuff,"wrist + band",feftaimups,"feft + mups",ai,2,yes,judged,verdict
curium,"cheer + atom",tondaitom,"tond + tom",ai,2,yes,atom,proposal
cusp,"point + edge",leCaipadj,"leC + padj",ai,2,yes,judged,verdict
cyanide,"blue + compound",bulaiCeqk,"bul + Ceqk",ai,2,yes,judged,verdict
cyanobacteria,"blue + green + germ",bulaipesaisnop,"bul + pes + snop",ai,3,yes,judged,verdict
cypress,"silk + conifer",,"ford + ?",ai,2,no,tree,proposal
cysteine,"sulfur + amino + acid",,"spiz + ? + falf",ai,3,no,judged,verdict
cystitis,"bladder + swell",wutsaiparb,"wuts + parb",ai,2,yes,judged,verdict
cytidine,"cytosine + sugar",,"? + gand",ai,2,no,judged,verdict
cytology,"cell + study",mudzainedz,"mudz + nedz",ai,2,yes,judged,verdict
cytotoxicity,"cell + poison + ness",,"mudz + borz + ?",ai,3,no,judged,verdict
daffodil,"yellow + trumpet + flower",buxaiwolbaiflor,"bux + wolb + flor",ai,3,yes,flower,proposal
dahlia,"round + many + flower",mapsaimavaiflor,"maps + mav + flor",ai,3,yes,flower,proposal
dairy,"milk + house",nudjaipuz,"nudj + puz",ai,2,yes,judged,verdict
daisy,"chick + flower",bipsaiflor,"bips + flor",ai,2,yes,flower,proposal
dandelion,"lion + tooth",groqaicutx,"groq + cutx",ai,2,yes,plant,proposal
darmstadtium,"birth + atom",dolbaitom,"dolb + tom",ai,2,yes,atom,proposal
decarboxylase,"carbon + strip + enzyme",rintaihitsaispug,"rint + hits + spug",ai,3,yes,judged,verdict
dehydratase,"water + strip + enzyme",waCaihitsaispug,"waC + hits + spug",ai,3,yes,judged,verdict
dehydrogenase,"hydrogen + strip + enzyme",brimaihitsaispug,"brim + hits + spug",ai,3,yes,judged,verdict
delphinium,"tall + blue + flower",talsaibulaiflor,"tals + bul + flor",ai,3,yes,flower,proposal
dementia,"mind + loss",,"man + ?",ai,2,no,judged,verdict
den,"beast + home",bistaihom,"bist + hom",ai,2,yes,judged,verdict
dentistry,"tooth + craft",cutxaiyabz,"cutx + yabz",ai,2,yes,judged,verdict
dentition,"tooth + set",cutxaigig,"cutx + gig",ai,2,yes,judged,verdict
deoxyadenosine,"no + oxygen + adenosine",,"nop + ? + ?",ai,3,no,judged,verdict
dermatitis,"skin + inflammation",skinaifrep,"skin + frep",ai,2,yes,judged,verdict
dermis,"skin + layer",skinaigrof,"skin + grof",ai,2,yes,judged,verdict
dextromethorphan,"cough + block + drug",kafaigiksaisom,"kaf + giks + som",ai,3,yes,drug,proposal
diabetes,"sugar + waste + sickness",,"gand + musp + ?",ai,3,no,judged,verdict
diarrhea,"loose + stool",txotaiglad,"txot + glad",ai,2,yes,judged,verdict
diazepam,"calm + sleep + drug",kamaislipaisom,"kam + slip + som",ai,3,yes,drug,proposal
dichloride,"two + chlorine + salt",dobaivraqaitigz,"dob + vraq + tigz",ai,3,yes,judged,verdict
diencephalon,"between + brain",tinaibren,"tin + bren",ai,2,yes,judged,verdict
diesel,"heavy + fuel",nantaiful,"nant + ful",ai,2,yes,judged,verdict
dill,"feather + herb",cindairorb,"cind + rorb",ai,2,yes,plant,proposal
dinucleotide,"two + nucleotide",,"dob + ?",ai,2,no,judged,verdict
diol,"two + alcohol",dobaikoqk,"dob + koqk",ai,2,yes,judged,verdict
diorite,"gray + grain",petxailetx,"petx + letx",ai,2,yes,rock,proposal
dioxide,"two + oxide",,"dob + ?",ai,2,no,judged,verdict
diphenhydramine,"allergy + sleep + drug",klebaislipaisom,"kleb + slip + som",ai,3,yes,drug,proposal
diphosphate,"two + phosphate",,"dob + ?",ai,2,no,judged,verdict
dismutase,"split + swap + enzyme",ditaisolpaispug,"dit + solp + spug",ai,3,yes,judged,verdict
disulfide,"two + sulfur + bond",dobaispizainuq,"dob + spiz + nuq",ai,3,yes,judged,verdict
diverticulum,"gut + pouch",,"gut + ?",ai,2,no,judged,verdict
dogwood,"white + flower + tree",wipaifloraidip,"wip + flor + dip",ai,3,yes,tree,proposal
dopamine,"reward + drive + signal",kipsaidivaitet,"kips + div + tet",ai,3,yes,drug,proposal
dope,"dull + drug",vaspaisom,"vasp + som",ai,2,yes,judged,verdict
drone,"male + bee",mafaifest,"maf + fest",ai,2,yes,judged,verdict
dubnium,"race + atom",malkaitom,"malk + tom",ai,2,yes,atom,proposal
duodenum,"twelve + gut",mopaigut,"mop + gut",ai,2,yes,judged,verdict
dwarfism,"dwarf + state",djobaidom,"djob + dom",ai,2,yes,judged,verdict
dysfunction,"bad + work",futaiwark,"fut + wark",ai,2,yes,judged,verdict
dysgenesis,"bad + growth",,"fut + ?",ai,2,no,judged,verdict
dysplasia,"bad + growth",,"fut + ?",ai,2,no,judged,verdict
dystrophy,"bad + feed",futainubz,"fut + nubz",ai,2,yes,judged,verdict
ebony,"black + wood + tree",vogaivriCaidip,"vog + vriC + dip",ai,3,yes,tree,proposal
ectoderm,"outer + skin",,"? + skin",ai,2,no,judged,verdict
edelweiss,"white + mountain + flower",wipaimotaiflor,"wip + mot + flor",ai,3,yes,flower,proposal
edema,"water + swell",waCaiparb,"waC + parb",ai,2,yes,judged,verdict
eggplant,"purple + fruit",sifaimag,"sif + mag",ai,2,yes,judged,verdict
einsteinium,"smart + atom",rezaitom,"rez + tom",ai,2,yes,atom,proposal
electrostatic,"electric + static",kespained,"kesp + ned",ai,2,yes,judged,verdict
elm,"wing + seed + tree",wiqaisidaidip,"wiq + sid + dip",ai,3,yes,tree,proposal
embankment,"bank + wall",lasaimedz,"las + medz",ai,2,yes,judged,verdict
embolism,"clot + block",truzaigiks,"truz + giks",ai,2,yes,judged,verdict
emphysema,"lung + air + swell",xolsailesaiparb,"xols + les + parb",ai,3,yes,judged,verdict
