bacet,basket,ˈbæskɪt
duket,duck,dʌk
dunal,dew,djuː
dunas,darkness,ˈdɑːɹknəs
duniq,dune,duːn
fakit,factory,ˈfæktəɹi
fakus,fox,fɑːks
famal,formula,ˈfɔːɹmjələ
famas,firmament,ˈfɜːɹməmənt
famen,foam,foʊm
fanaq,fjord,fjɔːɹd
fared,friday,ˈfɹaɪdeɪ
fares,fern,fɜːɹn
farik,fork,fɔːɹk
fariq,fur,fɜːɹ
faron,fort,fɔːɹt
farus,felt,fɛlt
fawit,file,faɪl
fayan,flood,flʌd
fayas,fly,flaɪ
fegan,finger,ˈfɪŋɡəɹ
fepin,feldspar,ˈfɛldspɑːɹ
fetaq,fetus,ˈfiːtəs
fetin,fat,fæt
feton,photon,ˈfoʊtɒn
fewin,flame,fleɪm
fewis,floor,flɔːɹ
fiban,fiber,ˈfaɪbəɹ
fibor,february,ˈfɛbjuˌɛɹi
fidan,fridge,fɹɪdʒ
finaq,flint,flɪnt
finuk,fence,fɛns
finul,fen,fɛn
fisal,freezer,ˈfriːzəɹ
fisen,face,feɪs
fixot,fish,fɪʃ
fiyat,field,fiːld
fobin,fabric,ˈfæbɹɪk
fodat,food,fuːd
fodin,forge,fɔːɹdʒ
fogaq,fog,fɔːɡ
fohut,forehead,ˈfɔːɹhɛd
foral,fruit,fɹuːt
foran,frog,fɹɔːɡ
foras,fortress,ˈfɔːɹtɹəs
foris,fire,faɪəɹ
fosan,forest,ˈfɔːɹəst
fosaq,frost,fɹɔːst
foset,faucet,ˈfɔːsɪt
fosun,phosphor,ˈfɑːsfɔːɹ
fukon,falcon,ˈfɔːlkən
futan,foot,fʊt
fuyat,flower,ˈflaʊəɹ
galaq,gale,ɡeɪl
galat,glue,ɡluː
galiz,garlic,ˈɡɑːɹlɪk
galon,gluon,ˈɡluːɒn
galoz,goggles,ˈɡɑːɡəlz
galus,glass,ɡlæs
gamon,gum,ɡʌm
ganit,ground,ɡɹaʊnd
gayaq,grotto,ˈɡɹɑːtoʊ
gazet,geyser,ˈɡaɪzəɹ
gehul,greenhouse,ˈɡɹiːnhaʊs
gekiq,galaxy,ˈɡæləksi
genis,granite,ˈɡɹænɪt
getun,gate,ɡeɪt
geval,gravel,ˈɡɹævəl
gidaj,gauge,ɡeɪdʒ
gidan,gorilla,ɡəˈɹɪlə
gidaq,grease,ɡɹiːs
gidav,greave,ɡɹiːv
gides,grain,ɡɹeɪn
gidin,grape,ɡɹeɪp
giset,gust,ɡʌst
gixiq,glacier,ˈɡleɪʃəɹ
godan,garden,ˈɡɑːɹdən
godaq,gorge,ɡɔːɹdʒ
godin,grass,ɡɹæs
golaf,glyph,ɡlɪf
golaq,gear,ɡɪɹ
golev,glove,ɡlʌv
golif,gulf,ɡʌlf
golos,gold,ɡoʊld
golut,glow,ɡloʊ
gosek,goose,ɡuːs
gosen,gas,ɡæs
gosiq,gasoline,ˈɡæsəliːn
gunal,garment,ˈɡɑːɹmənt
gutem,goat,ɡoʊt
habaq,abdomen,ˈæbdəmən
habes,obsidian,əbˈsɪdiən
habul,rubber,ˈɹʌbəɹ
hacan,ostrich,ˈɑːstɹɪtʃ
hacut,iceberg,ˈaɪsbɜːɹɡ
hajem,ash,æʃ
hajet,hatchet,ˈhætʃɪt
hakaq,axle,ˈæksəl
hakas,ankle,ˈæŋkəl
haken,axe,æks
hakit,hawk,hɔːk
hakon,octopus,ˈɑːktəpəs
hakor,october,ɒkˈtoʊbəɹ
hakul,oak,oʊk
hanal,ocean,ˈoʊʃən
hanas,oven,ˈʌvən
hanij,engine,ˈɛndʒɪn
haniq,anvil,ˈænvɪl
haniz,iron,ˈaɪəɹn
hanus,eye,aɪ
hapat,apple,ˈæpəl
hapin,ape,eɪp
haraz,aries,ˈɛəɹiːz
hares,horse,hɔːɹs
harin,hair,hɛɹ
hariq,heart,hɑːɹt
harus,iris,ˈaɪɹɪs
hatap,outcrop,ˈaʊtkɹɑːp
hateg,attic,ˈætɪk
hatik,otter,ˈɑːtəɹ
hatin,ant,ænt
hatom,hut,hʌt
haton,hospital,ˈhɑːspɪtəl
haval,heaven,ˈhɛvən
havun,avenue,ˈævəˌnuː
hawij,algae,ˈældʒiː
hawis,owl,aʊl
hayam,aluminum,əˈluːmɪnəm
hayan,alloy,ˈælɔɪ
hayaq,alcohol,ˈælkəhɔːl
heban,elbow,ˈɛlboʊ
hebin,ember,ˈɛmbəɹ
hedaq,headland,ˈhɛdlænd
hedas,eddy,ˈɛdi
hedat,hide,haɪd
hedij,hinge,hɪndʒ
hedin,acid,ˈæsɪd
hedoj,hedgehog,ˈhɛdʒhɔːɡ
hedon,heat,hiːt
hedul,head,hɛd
hegas,eagle,ˈiːɡəl
hegiq,egg,ɛɡ
hegon,aqueduct,ˈækwɪˌdʌkt
hemaq,enamel,ɪˈnæməl
hemes,helmet,ˈhɛlmɪt
hemul,armor,ˈɑːɹməɹ
hewiq,hail,heɪl
hewis,ale,eɪl
heyaf,elephant,ˈɛləfənt
heyan,electron,ɪˈlɛktɹɒn
heyaq,hue,hjuː
hical,heath,hiːθ
hifat,river,ˈɹɪvəɹ
hijaq,itch,ɪtʃ
hikas,aquarius,əˈkwɛəɹiəs
hikin,elk,ɛlk
hikiq,eclipse,ɪˈklɪps
hikon,ink,ɪŋk
hikus,echo,ˈɛkoʊ
himen,image,ˈɪmɪdʒ
himon,embryo,ˈɛmbɹioʊ
hinen,inn,ɪn
hinot,inlet,ˈɪnlɛt
hinun,hanger,ˈhæŋəɹ
hipaq,hip,hɪp
hipas,hippo,ˈhɪpoʊ
hital,atoll,ˈætɔːl
hitas,outpost,ˈaʊtpoʊst
hitiq,history,ˈhɪstəɹi
hitis,intestine,ɪnˈtɛstɪn
hiyak,island,ˈaɪlənd
hiyan,heel,hiːl
hiyaz,hill,hɪl
hizam,ice,aɪs
hizan,isthmus,ˈɪsməs
hizaq,reservoir,ˈɹɛzəɹˌvwɑːɹ
hizin,haze,heɪz
hizul,estuary,ˈɛstʃuˌɛɹi
hobun,harbor,ˈhɑːɹbəɹ
hocal,earthglobe,ˈɜːɹθɡloʊb
hociq,oasis,oʊˈeɪsɪs
hofal,horsefly,ˈhɔːɹsflaɪ
hofiq,offspring,ˈɔːfsprɪŋ
homal,antenna,ænˈtɛnə
homin,hammer,ˈhæməɹ
homiq,honey,ˈhʌni
homis,home,hoʊm
homon,autumn,ˈɔːtəm
honen,hand,hænd
honit,hoe,hoʊ
honok,onion,ˈʌnjən
hopal,april,ˈeɪpɹəl
hotaq,islet,ˈaɪlɪt
hotas,oat,oʊt
hotij,orange,ˈɔːɹɪndʒ
hotul,router,ˈɹaʊtəɹ
howis,awl,ɔːl
hoyan,hall,hɔːl
hozaq,adze,ædz
hozet,asteroid,ˈæstəɹɔɪd
hozul,hose,hoʊz
hozun,house,haʊs
huden,hat,hæt
hudit,range,ɹeɪndʒ
hudon,hood,hʊd
hugan,hook,hʊk
hugaq,hurricane,ˈhɜːɹɪˌkeɪn
hugas,august,ˈɔːɡəst
huvan,riverbank,ˈɹɪvəɹbæŋk
huyas,oil,ɔɪl
jivat,cheese,tʃiːz
jivon,chisel,ˈtʃɪzəl
kabaq,cardboard,ˈkɑːɹdbɔːɹd
kabas,cabinet,ˈkæbɪnət
kabij,cabbage,ˈkæbɪdʒ
kabul,cobble,ˈkɑːbəl
kadaj,college,ˈkɑːlɪdʒ
kadas,candle,ˈkændəl
kadij,cartilage,ˈkɑːɹtəlɪdʒ
kadiq,car,kɑːɹ
kadus,carrot,ˈkæɹət
kagon,kangaroo,ˌkæŋɡəˈɹuː
kalak,koala,koʊˈɑːlə
kaled,caldera,kælˈdɛɹə
kales,clock,klɑːk
kalib,crab,kɹæb
kalin,cord,kɔːɹd
kalod,cloud,klaʊd
kalof,cliff,klɪf
kanal,current,ˈkɜːɹənt
kanas,canyon,ˈkænjən
kaniq,canal,kəˈnæl
kanor,cancer,ˈkænsəɹ
kapen,compass,ˈkʌmpəs
kapit,cape,keɪp
kapon,capricorn,ˈkæprɪˌkɔːɹn
kasan,coastline,ˈkoʊstlaɪn
kasaq,custom,ˈkʌstəm
kaset,cascade,kæˈskeɪd
kasul,castle,ˈkæsəl
kasun,crest,kɹɛst
katem,cat,kæt
katen,cotton,ˈkɑːtən
katom,cluster,ˈklʌstəɹ
kaval,canvas,ˈkænvəs
kaviq,cove,koʊv
kavut,cavern,ˈkævəɹn
kaxal,kitchen,ˈkɪtʃən
keben,cabin,ˈkæbɪn
kebun,cable,ˈkeɪbəl
kedan,crate,kɹeɪt
kedet,corral,kəˈɹæl
kedun,crown,kɹaʊn
kefiq,calf,kæf
kemaq,camera,ˈkæmɹə
ketal,cactus,ˈkæktəs
ketas,capital,ˈkæpɪtəl
ketij,cage,keɪdʒ
ketiq,kidney,ˈkɪdni
ketis,crater,ˈkɹeɪtəɹ
keyan,creek,kɹiːk
kiciq,kerosene,ˈkɛɹəˌsiːn
kikiq,cake,keɪk
kimat,camel,ˈkæməl
kimin,camp,kæmp
kinaq,key,kiː
kines,clinic,ˈklɪnɪk
kipes,cup,kʌp
kitam,kettle,ˈkɛtəl
kitan,crystal,ˈkɹɪstəl
kiviq,cave,keɪv
kiyal,cry,kɹaɪ
kiyat,cream,kɹiːm
kofan,cough,kɔːf
kofuk,quark,kwɔːɹk
kokal,cocoa,ˈkoʊkoʊ
kokin,coke,koʊk
kokiq,concrete,ˈkɑːnkɹiːt
kolac,cloth,klɔːθ
kolan,cart,kɑːɹt
kolaz,colon,ˈkoʊlən
koles,clay,kleɪ
kolet,coal,koʊl
kolid,call,kɔːl
koluk,cloak,kloʊk
komat,cow,kaʊ
komin,chromium,ˈkɹoʊmiəm
komon,comet,ˈkɑːmət
kopaq,corpse,kɔːɹps
kopes,carpet,ˈkɑːɹpɪt
kopul,cap,kæp
kopus,copper,ˈkɑːpəɹ
kotal,curtain,ˈkɜːɹtən
kotas,courtyard,ˈkɔːɹtjɑːɹd
kotiq,coat,koʊt
koyas,corn,kɔːɹn
kozal,cousin,ˈkʌzən
kuban,coop,kuːp
kubet,carbon,ˈkɑːɹbən
kudis,crow,kɹoʊ
kufiq,coffee,ˈkɔːfi
kumiq,clamp,klæmp
kusin,case,keɪs
kuson,coast,koʊst
kuwin,quartz,kwɔːɹts
ladam,lavender,ˈlævəndəɹ
ladan,ladle,ˈleɪdəl
lades,ladder,ˈlædəɹ
ladiq,lead,lɛd
ladut,ledge,lɛdʒ
lagak,ligament,ˈlɪɡəmənt
lages,language,ˈlæŋɡwɪdʒ
lagin,leg,lɛɡ
lagus,lagoon,ləˈɡuːn
laret,yarn,jɑːɹn
lasok,limestone,ˈlaɪmstoʊn
lason,lobster,ˈlɑːbstəɹ
laven,liver,ˈlɪvəɹ
laviq,lever,ˈlɛvəɹ
lebit,library,ˈlaɪbɹɛɹi
lebor,libra,ˈliːbɹə
leCut,leather,ˈlɛðəɹ
lemas,llama,ˈlɑːmə
lemat,lemon,ˈlɛmən
lemef,lymph,lɪmf
lemin,lamb,læm
lenaq,lane,leɪn
lenas,linen,ˈlɪnən
lenik,lightning,ˈlaɪtnɪŋ
lenon,lung,lʌŋ
lenoz,lens,lɛnz
lifas,leaf,liːf
lijat,legend,ˈlɛdʒənd
likes,lake,leɪk
liket,liquid,ˈlɪkwɪd
lipaq,lip,lɪp
litek,lentil,ˈlɛntəl
litem,latex,ˈleɪtɛks
litiq,letter,ˈlɛtəɹ
litis,lettuce,ˈlɛtɪs
lizen,lizard,ˈlɪzəɹd
lofit,loaf,loʊf
loman,loom,luːm
lomep,lamp,læmp
lomut,lime,laɪm
lorul,leo,ˈliːoʊ
lotis,light,laɪt
lotun,lantern,ˈlæntəɹn
lunit,land,lænd
lunok,lion,ˈlaɪən
lusan,law,lɔː
maCin,mother,ˈmʌðəɹ
macis,mouth,maʊθ
mafut,microphone,ˈmaɪkɹəˌfoʊn
malaq,milk,mɪlk
malat,meal,miːl
males,melon,ˈmɛlən
malex,march,mɑːɹtʃ
malim,may,meɪ
malin,moor,mʊɹ
maliz,mars,mɑːɹz
malon,marsh,mɑːɹʃ
maluv,mangrove,ˈmæŋɡɹoʊv
mamiq,memory,ˈmɛmɚi
manen,monday,ˈmʌndeɪ
manit,mind,maɪnd
manok,mint,mɪnt
mapas,maple,ˈmeɪpəl
mapiq,map,mæp
mapus,mop,mɑːp
mataq,mattock,ˈmætək
matas,material,məˈtɪɹiəl
matul,matter,ˈmætəɹ
mecit,myth,mɪθ
mejin,measure,ˈmɛʒəɹ
mekal,mica,ˈmaɪkə
meket,muck,mʌk
mekiq,market,ˈmɑːɹkɪt
mekis,monkey,ˈmʌŋki
mekos,mosquito,məˈskiːtoʊ
menaq,manor,ˈmænəɹ
menis,mount,maʊnt
menos,mineral,ˈmɪnəɹəl
menul,mound,maʊnd
mesaq,message,ˈmɛsɪdʒ
mesul,mesa,ˈmeɪsə
metek,metal,ˈmɛtəl
meten,meat,miːt
metun,mitten,ˈmɪtən
midan,medium,ˈmiːdiəm
midaq,mirror,ˈmɪɹəɹ
mides,midnight,ˈmɪdnaɪt
midin,meter,ˈmiːtəɹ
midul,meadow,ˈmɛdoʊ
midus,meteor,ˈmiːtiəɹ
misan,mist,mɪst
miset,moss,mɔːs
misun,mouse,maʊs
mixiq,machine,məˈʃiːn
mobal,marble,ˈmɑːɹbəl
modan,mutton,ˈmʌtən
modaq,mortar,ˈmɔːɹtəɹ
modes,mud,mʌd
modus,motor,ˈmoʊtəɹ
mogon,mango,ˈmæŋɡoʊ
molan,mill,mɪl
molaq,mark,mɑːɹk
moles,mallet,ˈmælɪt
mosal,muscle,ˈmʌsəl
mosen,mask,mæsk
mosiq,monastery,ˈmɑːnəˌstɛɹi
mosun,mosque,mɑːsk
munal,moon,muːn
muniq,mercury,ˈmɜːɹkjəɹi
munos,monument,ˈmɑːnjəmənt
mutan,mountain,ˈmaʊntən
muzin,moose,muːs
nabal,nebula,ˈnɛbjələ
nadaq,needle,ˈniːdəl
nalev,nerve,nɜːɹv
naliq,nail,neɪl
nalos,necklace,ˈnɛkləs
nanaq,noon,nuːn
nasal,knee,niː
nasom,nostril,ˈnɑːstɹəl
nemiq,name,neɪm
netul,net,nɛt
nikaq,nickel,ˈnɪkəl
nikul,neck,nɛk
nivaq,navel,ˈneɪvəl
nofit,knife,naɪf
nokaq,knuckle,ˈnʌkəl
nolas,nylon,ˈnaɪlɑːn
noliq,knoll,noʊl
nopev,november,noʊˈvɛmbəɹ
notor,neutrino,nuːˈtɹiːnoʊ
notos,nut,nʌt
nozaq,noise,nɔɪz
nozul,nose,noʊz
nudan,neutron,ˈnuːtɹɒn
nudaq,noodle,ˈnuːdəl
nugaq,yogurt,ˈjoʊɡəɹt
pacus,path,pæθ
pakaq,pickaxe,ˈpɪkæks
paken,peak,piːk
pakit,pumpkin,ˈpʌmpkɪn
pakul,pike,paɪk
palam,plasma,ˈplæzmə
palaq,palate,ˈpælət
palat,plateau,plæˈtoʊ
pales,pulse,pʌls
palim,plum,plʌm
paliz,palace,ˈpælɪs
palon,porch,pɔːɹtʃ
paloz,pillow,ˈpɪloʊ
palug,plate,pleɪt
palus,plain,pleɪn
pamip,pump,pʌmp
pamot,pond,pɑːnd
pamun,palm,pɑːm
panal,pendant,ˈpɛndənt
panas,platinum,ˈplætɪnəm
paniq,planet,ˈplænɪt
panoz,pine,paɪn
papiq,paper,ˈpeɪpəɹ
patik,plaster,ˈplæstəɹ
patin,plastic,ˈplæstɪk
payaq,plow,plaʊ
pazak,pencil,ˈpɛnsəl
pedot,pear,pɛɹ
pedul,powder,ˈpaʊdəɹ
pedun,panda,ˈpændə
pegas,pigment,ˈpɪɡmənt
pegen,peg,pɛɡ
pegis,penguin,ˈpɛŋɡwɪn
pepan,pebble,ˈpɛbəl
pepet,pepper,ˈpɛpəɹ
pesaq,pie,paɪ
pesin,pastry,ˈpeɪstɹi
pesul,paste,peɪst
pexal,pasture,ˈpæstʃəɹ
pexin,picture,ˈpɪktʃəɹ
pimes,pumice,ˈpʌmɪs
pinid,pin,pɪn
pinod,pen,pɛn
pinut,pea,piː
pites,painting,ˈpeɪntɪŋ
pitus,pot,pɑːt
piyal,prairie,ˈpɹɛɹi
piyat,pork,pɔːɹk
pizen,prison,ˈpɹɪzən
pizez,pisces,ˈpaɪsiːz
poded,porridge,ˈpɔːɹɪdʒ
podin,parrot,ˈpæɹət
polaq,port,pɔːɹt
poles,pillar,ˈpɪləɹ
polid,pool,puːl
polut,plane,pleɪn
pomaq,poem,ˈpoʊəm
pomes,polymer,ˈpɑːlɪməɹ
ponod,pain,peɪn
potal,pasta,ˈpɑːstə
potes,pants,pænts
potiq,pottery,ˈpɑːtəɹi
potus,potato,pəˈteɪtoʊ
poxan,pitch,pɪtʃ
poxet,peach,piːtʃ
pudaf,proof,pɹuːf
pudej,page,peɪdʒ
pudiq,protein,ˈpɹoʊtiːn
puget,pig,pɪɡ
punal,parent,ˈpɛɹənt
puniq,paint,peɪnt
punis,plant,plænt
punos,pan,pæn
pupin,pipe,paɪp
pusal,peninsula,pəˈnɪnsjələ
pusiq,porcelain,ˈpɔːɹsəlɪn
putan,proton,ˈpɹoʊtɒn
puwiq,pulley,ˈpʊli
puxal,parchment,ˈpɑːɹtʃmənt
puyaq,pupil,ˈpjuːpəl
rages,rug,rʌɡ
rales,rye,raɪ
ralet,ore,ɔːɹ
ralun,relay,ˈɹiːleɪ
rapin,ripple,ˈɹɪpəl
rapul,rope,ɹoʊp
ratin,rat,ræt
rebas,rabbit,ˈɹæbɪt
rebin,orbit,ˈɔːɹbɪt
rebon,rib,ɹɪb
redit,ridge,ɹɪdʒ
redon,riddle,ˈɹɪdəl
renal,rain,ɹeɪn
renas,ear,ɪɹ
renat,ring,ɹɪŋ
renus,rhino,ˈɹaɪnoʊ
resan,wrist,ɹɪst
resin,rice,raɪs
resiq,rasp,ɹæsp
revaq,ravine,ɹəˈviːn
rexan,arch,ɑːɹtʃ
rexaq,rash,ɹæʃ
rexut,orchard,ˈɔːɹtʃəɹd
ricam,earth,ɜːɹθ
rifaq,reef,ɹiːf
rifas,roof,ɹuːf
rikal,rock,ɹɑːk
riken,rake,ɹeɪk
riman,arm,ɑːɹm
rimet,rime,ɹaɪm
ritaq,retina,ˈɹɛtɪnə
riten,artery,ˈɑːɹtəɹi
rizal,resin,ˈɹɛzɪn
roken,archive,ˈɑːɹkaɪv
rokun,record,ˈɹɛkɔːɹd
roman,room,ɹuːm
ronut,arrow,ˈæɹoʊ
rozim,rosemary,ˈroʊzˌmɛɹi
rubas,herb,ɜːɹb
ruben,robot,ˈɹoʊbɑːt
rubit,robe,roʊb
rudan,root,ruːt
rudes,road,ɹoʊd
ruvan,raven,ˈɹeɪvən
sagaq,sickle,ˈsɪkəl
sagen,scar,skɑːɹ
sagit,cider,ˈsaɪdəɹ
sagon,scale,skeɪl
sagul,sock,sɑːk
salap,sleep,sliːp
salej,sludge,slʌdʒ
salik,slate,sleɪt
salim,solid,ˈsɑːlɪd
salin,ceiling,ˈsiːlɪŋ
saliq,cellar,ˈsɛləɹ
salon,sleet,sliːt
salos,seal,siːl
salov,solvent,ˈsɑːlvənt
salud,salad,ˈsæləd
sapal,spring,spɹɪŋ
sapen,spider,ˈspaɪdəɹ
sapes,space,speɪs
sapiq,slipper,ˈslɪpəɹ
sapot,spine,spaɪn
sapuj,sponge,spʌndʒ
sapun,spray,spɹeɪ
sapus,spice,spaɪs
satag,stair,stɛɹ
sataq,story,ˈstɔːɹi
satek,strand,stɹænd
satem,stone,stoʊn
saten,strap,stɹæp
satig,star,stɑːɹ
satof,stuff,stʌf
satop,steppe,stɛp
satul,soot,sʊt
satum,saturn,ˈsætəɹn
satun,city,ˈsɪti
satus,sagittarius,ˌsædʒɪˈtɛəɹiəs
satuv,stove,stoʊv
sawiq,swamp,swɑːmp
sebal,symbol,ˈsɪmbəl
seban,stable,ˈsteɪbəl
sebet,spear,spɪɹ
sebiq,sap,sæp
sebor,september,sɛpˈtɛmbəɹ
sebuk,spark,spɑːɹk
sebun,spire,ˈspaɪəɹ
sedam,steam,stiːm
sedan,sword,sɔːɹd
sedaq,sister,ˈsɪstəɹ
sedas,seed,siːd
sedij,sage,seɪdʒ
sedog,sandal,ˈsændəl
sedul,sandstone,ˈsændstoʊn
sedut,spindle,ˈspɪndəl
senag,sand,sænd
senaq,signal,ˈsɪɡnəl
senek,sandbar,ˈsændbɑːɹ
senem,spinach,ˈspɪnɪtʃ
senen,sink,sɪŋk
senes,sun,sʌn
senig,sunset,ˈsʌnsɛt
senul,sign,saɪn
senum,snake,sneɪk
senun,sensor,ˈsɛnsəɹ
sesal,season,ˈsiːzən
sesot,saturate,ˈsætʃəˌɹeɪt
sewin,switch,swɪtʃ
sewiq,swell,swɛl
sifan,silver,ˈsɪlvəɹ
sikal,script,skɹɪpt
sikam,sinkhole,ˈsɪŋkhoʊl
sikan,screen,skɹiːn
sikas,sky,skaɪ
sikin,speaker,ˈspiːkəɹ
sikiq,skeleton,ˈskɛlətən
sikuf,scarf,skɑːɹf
simat,sea,siː
simin,summit,ˈsʌmɪt
simon,smell,smɛl
sitam,stream,stɹiːm
sitan,street,stɹiːt
sitaq,string,stɹɪŋ
sitax,station,ˈsteɪʃən
sitig,starch,stɑːɹtʃ
sitog,steel,stiːl
situl,strait,stɹeɪt
situm,stem,stɛm
situt,saturday,ˈsætəɹdeɪ
sofal,savanna,səˈvænə
sofan,sofa,ˈsoʊfə
sofin,server,ˈsɜːɹvəɹ
sofiq,sulfur,ˈsʌlfəɹ
sokal,squall,skwɔːl
sokap,scorpio,ˈskɔːɹpiˌoʊ
sokin,skunk,skʌŋk
sokiq,screw,skɹuː
sokon,cyclone,ˈsaɪkloʊn
solaf,surf,sɜːɹf
solaq,silk,sɪlk
solat,silt,sɪlt
solim,slime,slaɪm
solin,salt,sɔːlt
solis,soil,sɔɪl
solob,slope,sloʊp
solon,sole,soʊl
somaq,stomach,ˈstʌmək
somen,smoke,smoʊk
somit,cement,səˈmɛnt
somok,ceramic,səˈɹæmɪk
somon,summer,ˈsʌməɹ
sonag,snare,snɛɹ
sonal,song,sɔːŋ
sonen,sunday,ˈsʌndeɪ
sones,substance,ˈsʌbstəns
soniq,saw,sɔː
sonot,soy,sɔɪ
sonus,snow,snoʊ
subaq,soup,suːp
suben,speech,spiːtʃ
subit,spoon,spuːn
subon,soap,soʊp
sudam,storm,stɔːɹm
sudan,storehouse,ˈstɔːɹhaʊs
sudaq,stew,stuː
sugaq,skin,skɪn
sugen,school,skuːl
sugit,circuit,ˈsɜːɹkɪt
sugon,skull,skʌl
susan,sauce,sɔːs
tabas,table,ˈteɪbəl
tanaq,tributary,ˈtɹɪbjəˌtɛɹi
tanas,tunnel,ˈtʌnəl
tanul,tongue,tʌŋ
tarak,track,tɹæk
tared,tree,tɹiː
tares,torch,tɔːɹtʃ
tarib,trap,tɹæp
tarin,tar,tɑːɹ
tarod,terrace,ˈtɛɹəs
tarof,taurus,ˈtɔːɹəs
tasiq,taste,teɪst
