term,why,where,kind
coa,"an abbreviation",judged,verdict
coli,"Latin",judged,verdict
colorado,"a place",judged,verdict
communis,"Latin",judged,verdict
con,"a clipping",judged,verdict
congo,"a place",judged,verdict
costa,"Latin and Spanish",judged,verdict
cruzi,"a Latin epithet off a surname",judged,verdict
dakota,"a place name",judged,verdict
del,"Spanish",judged,verdict
delaware,"a place",judged,verdict
denmark,"a place",judged,verdict
des,"French",judged,verdict
dna,"an abbreviation",judged,verdict
domestica,"a Latin species epithet",judged,verdict
dominican,"a demonym",judged,verdict
dopa,"an abbreviation",judged,verdict
dorsalis,"Latin",judged,verdict
drosophila,"a Latin genus name",judged,verdict
dura,"Latin for hard",judged,verdict
easter,"a proper name",judged,verdict
egypt,"a place",judged,verdict
elegans,"Latin",judged,verdict
ene,"a chemistry suffix",judged,verdict
england,"a place",judged,verdict
epilepticus,"a Latin epithet",judged,verdict
erythematosus,"a Latin species epithet",judged,verdict
eskimo,"a people's own name",judged,verdict
ethiopian,"a demonym",judged,verdict
europaea,"a Latin place epithet",judged,verdict
europaeus,"a Latin place epithet",judged,verdict
externa,"Latin for outer",judged,verdict
faecalis,"a Latin species epithet",judged,verdict
falciparum,"a Latin species epithet",judged,verdict
farmer's,"a possessive form",judged,verdict
felis,"a Latin genus name",judged,verdict
finland,"a place",judged,verdict
flava,"a Latin species epithet",judged,verdict
flavum,"a Latin species epithet",judged,verdict
florida,"a place",judged,verdict
forte,"Italian and French",judged,verdict
furo,"a chemistry prefix",judged,verdict
gallus,"Latin for cock",judged,verdict
geneva,"a place",judged,verdict
georgia,"a place",judged,verdict
georgian,"a demonym",judged,verdict
gigas,"a Latin species epithet",judged,verdict
gly,"an abbreviation of glycine",judged,verdict
gondii,"a Latin epithet off a surname",judged,verdict
gothic,"a proper name",judged,verdict
gracilis,"a Latin species epithet",judged,verdict
grandis,"a Latin species epithet",judged,verdict
greece,"a place",judged,verdict
greenland,"a place",judged,verdict
griseus,"a Latin species epithet",judged,verdict
guinea,"a country and an old coin",judged,verdict
haiti,"a place name",judged,verdict
hawaiian,"a demonym",judged,verdict
hepatica,"Latin",judged,verdict
hominis,"a Latin genitive",judged,verdict
hong,"part of Hong Kong",judged,verdict
iceland,"a place",judged,verdict
igg,"a notation",judged,verdict
iia,"a notation",judged,verdict
iib,"a notation",judged,verdict
indica,"Latin",judged,verdict
indicus,"Latin",judged,verdict
indonesia,"a place",judged,verdict
insecta,"a Latin class name",judged,verdict
intermedia,"Latin",judged,verdict
intermedium,"the Latin form of intermediate",judged,verdict
iowa,"a place",judged,verdict
ireland,"a place",judged,verdict
islam,"a religion's own name",judged,verdict
islamic,"a proper name",judged,verdict
israel,"a place",judged,verdict
italy,"a place",judged,verdict
jackson,"a surname",judged,verdict
jamaica,"a place",judged,verdict
japonica,"Latin",judged,verdict
japonicum,"a Latin place epithet",judged,verdict
jersey,"a place",judged,verdict
jerusalem,"a place",judged,verdict
john,"a person",judged,verdict
jordan,"a place",judged,verdict
judaism,"a religion's own name",judged,verdict
kazakh,"a demonym",judged,verdict
kentucky,"a place",judged,verdict
kong,"part of Hong Kong",judged,verdict
labrador,"a place",judged,verdict
laevis,"Latin",judged,verdict
lanceolata,"a Latin species epithet",judged,verdict
lateralis,"a Latin species epithet",judged,verdict
lawrence,"a person",judged,verdict
lebanese,"a demonym",judged,verdict
leishmania,"a Latin genus off a surname",judged,verdict
london,"a place",judged,verdict
longus,"Latin for long",judged,verdict
lutea,"Latin for yellow",judged,verdict
luteum,"a Latin species epithet",judged,verdict
lys,"an abbreviation of lysine",judged,verdict
madagascar,"a place",judged,verdict
magna,"Latin",judged,verdict
magnum,"a trade word off Latin",judged,verdict
majus,"a Latin species epithet",judged,verdict
malaysia,"a place",judged,verdict
malaysian,"a demonym",judged,verdict
mali,"a place",judged,verdict
maltese,"a demonym",judged,verdict
man's,"a possessive form",judged,verdict
maria,"a person",judged,verdict
marina,"Latin",judged,verdict
maritima,"a Latin species epithet",judged,verdict
marshall,"a person and a place",judged,verdict
martin,"a person",judged,verdict
mary,"a person",judged,verdict
massachusetts,"a place",judged,verdict
max,"a clipping of maximum",judged,verdict
maximus,"Latin for greatest",judged,verdict
mediterranean,"a place",judged,verdict
methotrexate,"a drug's own name",judged,verdict
mexicanum,"a Latin place epithet",judged,verdict
mexico,"a place",judged,verdict
michigan,"a place",judged,verdict
missouri,"a place",judged,verdict
mitomycin,"a drug's own name off a Latin genus",judged,verdict
montana,"a place",judged,verdict
montenegro,"a place name",judged,verdict
mori,"Latin",judged,verdict
morocco,"a place",judged,verdict
mri,"an abbreviation",judged,verdict
mrs,"an abbreviation of a title",judged,verdict
mycobacterium,"a Latin genus name",judged,verdict
nana,"a Latin species epithet",judged,verdict
neisseria,"a Latin genus off a surname",judged,verdict
netherlands,"a place",judged,verdict
newfoundland,"a place",judged,verdict
niger,"a place",judged,verdict
nigra,"Latin",judged,verdict
nigricans,"Latin",judged,verdict
nile,"a place",judged,verdict
nodosa,"a Latin species epithet",judged,verdict
norway,"a place",judged,verdict
nova,"Latin for new",judged,verdict
oblongata,"a Latin epithet",judged,verdict
occidentalis,"a Latin place epithet",judged,verdict
officinalis,"a Latin species epithet",judged,verdict
ohio,"a place",judged,verdict
oklahoma,"a place name",judged,verdict
olympic,"a proper name",judged,verdict
one's,"a possessive form",judged,verdict
orientalis,"a Latin place epithet",judged,verdict
ottoman,"a proper name",judged,verdict
ovis,"a Latin genus name",judged,verdict
pacific,"a place",judged,verdict
pallidum,"Latin for pale",judged,verdict
pallidus,"Latin for pale",judged,verdict
palustris,"Latin",judged,verdict
panama,"a place",judged,verdict
paris,"a place",judged,verdict
people's,"a possessive form",judged,verdict
perfringens,"a Latin species epithet",judged,verdict
pes,"Latin for foot",judged,verdict
pestis,"a Latin species epithet",judged,verdict
petit,"French",judged,verdict
philippine,"a demonym",judged,verdict
philippines,"a place",judged,verdict
pia,"Latin",judged,verdict
pica,"Latin",judged,verdict
planus,"Latin for flat",judged,verdict
plasmodium,"a Latin genus name",judged,verdict
pneumoniae,"a Latin genitive off a species name",judged,verdict
poland,"a place",judged,verdict
propria,"a Latin epithet",judged,verdict
pseudomonas,"a Latin genus name",judged,verdict
punctata,"a Latin species epithet",judged,verdict
pylori,"Latin",judged,verdict
pyogenes,"a Latin species epithet",judged,verdict
racemosa,"a Latin species epithet",judged,verdict
radiata,"a Latin species epithet",judged,verdict
renaissance,"a proper name",judged,verdict
reticulata,"a Latin species epithet",judged,verdict
rna,"an abbreviation",judged,verdict
rosa,"Latin for rose",judged,verdict
rosea,"a Latin species epithet",judged,verdict
ruber,"Latin for red off a species name",judged,verdict
rubra,"Latin for red",judged,verdict
russia,"a place",judged,verdict
salmonella,"a Latin genus name off a surname",judged,verdict
san,"Spanish for saint",judged,verdict
santa,"Spanish for saint",judged,verdict
sapiens,"Latin for wise",judged,verdict
sativa,"a Latin species epithet",judged,verdict
sativum,"a Latin species epithet",judged,verdict
saudi,"a demonym",judged,verdict
scandinavian,"a demonym",judged,verdict
scotch,"a demonym",judged,verdict
scrofa,"a Latin species epithet",judged,verdict
siberian,"a demonym",judged,verdict
sierra,"Spanish for a range",judged,verdict
simplex,"a technical coinage from simple",judged,verdict
sinensis,"a Latin place epithet",judged,verdict
sioux,"a people's own name",judged,verdict
situ,"Latin",judged,verdict
slovenian,"a demonym",judged,verdict
solomon,"a person and a place",judged,verdict
spain,"a place",judged,verdict
spiralis,"a Latin species epithet",judged,verdict
sri,"part of Sri Lanka",judged,verdict
staphylococcus,"a Latin genus name",judged,verdict
striata,"a Latin species epithet",judged,verdict
subtilis,"a Latin species epithet",judged,verdict
sweden,"a place",judged,verdict
switzerland,"a place",judged,verdict
taurus,"a constellation and Latin for bull",judged,verdict
terminalis,"Latin",judged,verdict
texas,"a place",judged,verdict
thailand,"a place",judged,verdict
trachomatis,"a Latin species epithet",judged,verdict
turcica,"a Latin place epithet",judged,verdict
typhimurium,"a Latin species epithet",judged,verdict
uruguay,"a place",judged,verdict
usa,"an abbreviation of a country",judged,verdict
vaginalis,"a Latin species epithet",judged,verdict
val,"an abbreviation of valine",judged,verdict
variabilis,"a Latin species epithet",judged,verdict
verde,"Spanish for green",judged,verdict
verrucosa,"a Latin species epithet",judged,verdict
versicolor,"a Latin species epithet",judged,verdict
vertebrata,"Latin",judged,verdict
victoria,"a person and a place",judged,verdict
virginia,"a place",judged,verdict
virginiana,"a Latin place epithet",judged,verdict
viridis,"Latin for green",judged,verdict
von,"German",judged,verdict
vulgaris,"Latin",judged,verdict
washington,"a place",judged,verdict
wilson,"a surname",judged,verdict
windsor,"a place",judged,verdict
women's,"a possessive form",judged,verdict
xenopus,"a Latin genus name",judged,verdict
yersinia,"a Latin genus off a surname",judged,verdict
york,"a place",judged,verdict
zealand,"a place",judged,verdict
