concept,form,asked
fall,zor,zor
wrong,raq,raq
particle,rav,rav
reference,rif,rif
rhythm,ruC,ruC
rain,rex,rex
cycle,rol,rol
realm,rum,rum
lead,lad,lad
leaf,luf,luf
link,liq,liq
like,lik,lik
point,peC,peC
lord,lor,lor
moon,luq,luq
sun,san,san
when,win,win
kaleidoscope,wig,wig
wait,wet,wet
wave,wev,wev
why,won,won
um,wuq,wuq
water,wot,wot
what,wec,wec
hello,grit,grit
group,grup,grup
strength,gruk,gruk
lip,glip,glip
gene,djin,djin
justice,djas,djas
joke,djok,djok
jewel,djul,djul
dream,drim,drim
human,dram,dram
drum,drum,drum
bring,briq,briq
simple,smip,smip
please,bliz,bliz
plan,blan,blan
chip,xap,xap
sneeze,sniz,sniz
choice,tox,tox
trade,drad,drad
triangle,draq,draq
track,brak,drak
trap,dras,dras
plane,blun,blun
liquid,glis,glis
clean,glin,glin
click,glik,glik
color,glor,glor
seek,sik,sik
come,koc,koc
community,kamun,kamun
braid,bred,bred
brow,brol,brol
blood,bloC,bloC
prove,bruv,bruv
gate,get,get
solve,salk,salk
problem,brab,brab
will,xiq,xiq
energy,nej,nej
speech,xim,xim
machine,xin,xin
imagine,xig,xig
eternal,xas,xas
permanent,yaq,yaq
impermanent,yiq,yiq
now,xoq,xoq
sky,xum,xum
quiet,xus,xus
return,xuv,xuv
digit,jis,jis
paradise,nin,jin
spirit,jan,jan
wisdom,jak,jak
computation,xit,xit
bit,vij,vij
byte,veb,veb
void,vod,vod
voice,voz,voz
vibe,vax,vax
body,vas,vas
data,daq,daq
function,fuq,fuq
self,sef,sef
belief,fic,fic
face,fes,fes
family,fom,fom
find,fan,fan
else,fos,fos
next,nak,nak
cosine,bug,bug
sine,dig,dig
tangent,nad,bad
awake,bud,bud
be,biq,biq
on,nev,nev
off,von,von
request,miq,piq
response,paq,paq
conscious,tuv,tuv
soul,sul,sul
life,vit,vit
create,bam,bam
sustain,vix,vix
destroy,xiv,xiv
protect,cor,cor
give,gev,gev
take,fog,fog
good,taf,taf
bad,fat,fat
intuition,mun,mun
universe,jul,jul
tool,tul,tul
vehicle,yan,yan
way,tal,tal
use,yuz,yuz
magic,maj,maj
perfect,kax,kax
code,kod,kod
cell,box,kox
call,kal,kal
calm,kam,kam
home,hom,hom
clue,kul,kul
surf,suf,suf
I,sub,sub
you,din,din
sound,sum,sum
goal,gov,gov
gut,guz,guz
drug,soj,soj
seed,sid,sid
have,hav,hav
snake,his,his
reserved bid,bid,bid
reserved dub,dub,dub
ignorant,dib,dib
reserved lij,lij,lij
reserved him,him,him
reserved hum,num,hum
exist,ken,ken
thing,kim,kim
action,kat,kat
entity,net,net
feature,fed,fed
presence,pes,pes
absense,baf,baf
identity,dim,dim
number,nub,nub
this,kid,kid
that,kab,kab
here,heb,heb
there,kef,kef
between,ben,ben
among,mag,mag
cross,kor,kor
attract,tak,tak
repel,reb,reb
force,fob,fob
part,par,par
whole,wol,wol
other,kon,kon
me,mep,mep
it,tik,tik
more,mop,mop
less,les,les
place,pan,pan
edge,dek,dek
in,nim,nim
out,tom,tom
active,kav,kav
passive,pav,pav
source,sok,sok
sink,sin,sin
original,gol,gol
image,mig,mig
direction,dif,dif
orientation,rot,rot
solution,lon,lon
touching,ton,ton
not touching,tog,tog
persist,pet,pet
dimension,nis,nis
obstacle,bok,bok
state,sat,sat
variable,vam,vam
node,nov,nov
path,pax,pax
span,sab,sab
tree,ten,ten
mesh,mek,mek
collection,lok,lok
sequence,sem,sem
order,dor,dor
rate,ras,ras
relation,ret,ret
target,taC,taC
confuse,kog,kog
rule,rub,rub
flow,fol,fol
event,ven,ven
form,fov,fov
store,sod,sod
get,gem,gem
release,rej,rej
send,seg,seg
receive,kej,kej
pattern,pac,pac
instance,niq,nin
change,kak,kak
model,mol,mol
rest,sej,sej
different,fin,fin
same,saz,saz
distance,nik,nik
near,neb,neb
far,fak,fak
open,pot,pot
close,los,los
gain,gag,gag
lose,lom,lom
merge,mez,mez
separate,seC,seC
repeat,peb,peb
walk,lag,lag
step,teg,teg
size,siv,siv
intensity,nip,niq
density,dev,dev
frequency,fep,fep
duration,dun,dun
time,tiz,tiz
uniformity,nuf,nuf
diversity,dix,dix
reflect,fez,fez
absorb,sar,sar
convert,nor,nor
map,maq,maq
union,nun,nun
intersection,niz,nip
align,laz,laz
oppose,pof,pof
predictable,pek,pek
unpredictable,nuk,nuk
confidence,noj,noj
certain,keC,keC
uncertain,nuq,nuq
true,tud,tud
false,faf,faf
boundary,bon,bon
contain,toz,toz
enter,nex,nez
exit,tex,tex
limit,lit,lit
border,boq,boq
region,geq,geq
compare,mok,mok
match,mat,mat
detect,dej,dej
nest,nec,nex
recursion,bec,nec
select,lem,lem
test,tec,tec
constraint,sop,sop
result,len,len
accept,kiz,kiz
reject,jet,jet
position,poj,poj
aware,rac,rac
process,poC,poC
general,geb,geb
specific,pef,pef
before,bex,bex
with,wim,wim
after,faj,faj
start,sav,sav
end,nif,nif
contact,toc,toc
connect,kiv,kiv
disconnect,diC,diC
mix,mij,mij
clarify,laf,laf
hit,hit,hit
miss,miC,miC
power,pol,pol
potential,lob,lob
possible,bop,bop
real,lev,lev
any,nam,nam
all,lax,lax
turn,tup,tup
hold,hol,hol
fill,fiq,fiq
empty,mev,mev
threshold,lec,lec
amount,mab,mab
discrete,six,six
continuous,kic,kic
continue,niC,niC
stop,sic,sic
polarity,lov,lov
axis,sax,sax
space,sac,sac
x,kuf,kuf
y,yad,yad
z,zad,zad
line,lib,lib
surface,ruk,ruk
volume,vop,vop
perpendicular,rip,rip
parallel,laj,laj
agent,gap,gap
lack,laC,laC
maximum,mas,mas
minimum,nap,nap
finite,fib,fib
leader,liz,liz
follower,fox,fox
risk,rof,rof
safe,faC,faC
spec,pim,pim
capacity,yag,yag
capability,baj,baj
balance,baC,baC
complex,mof,mof
vague,vag,vag
forward,foc,foc
backward,dax,dax
silence,lix,lix
