concept,form
smell,semal
stream,setar
sunny,sanal
tell,tal
under,nad
wake,wek
able,balar
above,bav
against,gan
also,las
ask,skal
bear,baral
beside,best
better,betar
build,balad
burrow,borul
countryside,konot
deep,dep
deer,daral
deliciou,dales
dense,denas
drink,drin
drop,darop
earth,rek
enjoy,nedaj
even,venal
floor,folor
foot,fot
gift,gifat
girl,garal
gold,galad
great,garet
hole,holor
hope,hop
huge,hugal
juice,dujis
lose,losol
lush,lakas
mak,makal
meet,metal
neither,nesar
order,rad
owned,nod
relax,ralek
ripe,ripal
seem,semal
several,sevar
since,sines
sing,sinag
start,star
surround,saran
tak,takal
tim,timal
together,tagas
top,tap
toward,tort
train,taran
usual,salar
visit,visat
wish,wikas
wood,wod
young,yan
abundant,banad
adventure,davan
among,manag
become,bekom
below,blor
beneath,benak
beyond,bent
brother,baras
brown,boron
catch,katak
chance,takas
clean,glen
climate,kalim
com,kamal
continue,konot
count,kant
country,kanat
dawn,danal
despite,desip
drip,darip
duck,dakal
dug,dagal
each,tek
either,saral
else,lesal
entire,netar
fast,fast
final,final
flow,flor
fragrance,farag
fragrant,farag
fun,fanal
gentle,genat
greet,garet
happen,hapan
hav,haval
head,hed
heart,hart
hence,henas
hide,hidal
howl,holor
humid,hamad
imagine,migan
inside,nist
journey,dajar
lack,lak
least,lest
leg,leg
magical,magak
man,manal
master,masat
money,manal
noon,nonol
nor,naral
number,namp
pick,pikal
problem,parab
put,pat
reach,retak
ready,redal
real,ral
result,res
roll,ralar
sand,sant
save,saval
scatter,sakat
scenery,senar
scent,senat
seed,sed
seeming,semin
settle,setal
shad,kasad
shade,kasad
sharp,kasar
show,kosol
shrub,kasar
sid,sidal
sight,sital
soil,salar
soon,sonol
spent,sepan
stone,ston
storm,satar
study,satad
sudden,sadan
thank,kanak
throw,korol
tid,tidal
tir,taral
total,tatal
turn,dran
upon,panal
voice,vosol
wav,wival
weekend,wekan
what',wital
window,winod
wing,win
aboard,barad
activity,katav
actual,katal
already,larad
amongst,manag
anywhere,naral
appearance,paran
argu,ragal
aromatic,ramat
arriv,raval
autumn,taman
bare,baral
believe,balev
between,bet
bit,bital
blanket,balan
blend,balen
boat,botol
body,bad
breathe,bares
bud,badal
careful,karaf
cave,kaval
certain,saret
chil,tikas
chip,tikas
chirp,tikas
closer,kalas
cloudy,kalad
collection,kalak
contain,konot
creation,karet
cricket,karik
crunch,karan
curiou,karal
current,karan
cycle,kikal
dash,dakas
decide,desid
different,dif
distance,disat
draw,daral
dusk,dasak
elk,lekal
enter,netar
event,venat
expect,kesap
explore,kesop
extreme,kesat
face,fasal
familiar,famal
father,fasar
fear,fral
finish,finak
flap,falap
flicker,falik
flock,falak
free,faral
frog,farag
gam,gamal
gem,gemal
glad,galad
glimmer,galim
graz,garaz
half,hal
hand,hant
hike,hikal
horizon,haraz
hunter,hanat
imagination,migan
insect,nisek
inspir,nisap
instead,niset
join,dajan
kiss,kisal
lak,lakal
less,les
lick,likal
lik,likal
main,manal
map,mapal
matter,matar
meadow,medal
mild,malid
mist,misat
mov,maval
mystery,miset
name,namal
newborn,nebar
nice,nisal
none,non
nowhere,norol
pat,patal
peaceful,pesaf
peak,pekal
peep,pepal
per,paral
perch,paret
playful,palaf
pleasant,pales
plus,palas
pool,polor
process,paras
proud,parad
provide,porov
push,pakas
quiet,kiwet
read,redal
regard,regar
region,regin
remember,remam
remind,remin
reptil,repit
rich,ritak
room,romol
round,ranad
rub,rabal
rush,rakas
safe,safal
scorch,sakar
send,senad
sense,senas
shelter,kesal
shin,kisan
shore,kosor
side,sid
slow,slor
smile,simal
soft,saft
solve,salav
somebody,samab
song,sanag
speak,spek
special,sepas
specy,sepik
stand,satan
steady,setad
steep,setap
ston,satan
straight,satar
super,sapar
table,tabal
teacher,tetak
till,talar
told,talad
topic,tapak
touch,tatak
trail,taral
true,tar
tuck,takal
tunnel,tanal
uncover,nakav
underneath,nudar
unlike,naluk
unusual,nasal
variety,varat
variou,varal
versu,vares
vibrant,vibar
village,valig
visible,viseb
wander,wenad
welcome,wolek
whatever,wetav
whichever,witek
wilder,wolid
windy,winad
word,worad
world,woral
worry,woral
yard,yarad
you'd,yadal
ability,balat
abroad,barad
absolute,basal
act,katal
advantage,davan
alive,laval
almost,lamas
amaz,mazal
amazing,mazan
anymore,namar
anytime,natam
appear,paral
apple,palar
arid,radal
aroma,ramal
aside,sadal
asleep,salap
attempt,tamap
attractive,tarak
aunt,natal
available,valab
avoid,vadal
babe,babal
bam,bamal
bank,banak
barren,baran
basical,basak
bask,basak
basketball,basak
beat,betal
begun,began
beneficial,benif
benefit,benif
benevolence,benav
birthday,barik
blew,balar
blink,balin
blissful,balis
blizzard,baliz
bloop,bol
boil,balar
book,bokol
boot,botol
bought,batal
boundary,banad
brave,barav
bread,bared
break,barek
brink,barin
broken,barak
brush,barak
bubbl,babal
bunny,banal
bury,baral
buzz,bazal
canopy,kanap
capable,kapab
cat,katal
caus,kasal
chair,takas
chang,takas
chant,takas
chas,takas
chat,takas
check,tekas
chef,tekas
cherry,tekis
chew,tekas
chill,tikas
chocolate,tokos
chosen,takas
city,sital
clash,kalak
click,kalik
climat,kalim
cloth,kalak
cluster,kalas
coast,kosot
coastal,kosot
coat,kotol
community,kaman
company,kamap
complete,komop
condition,kanad
connect,kanak
consider,kanas
construct,kanas
cook,kakol
cosy,kasal
couple,kapal
courage,korog
coyote,kotol
cozy,kazal
cram,karam
crawl,karal
crazy,karaz
creak,karek
creatur,karet
creek,karek
creep,karep
crevic,karev
crisp,karis
cros,karas
cub,kabal
cup,kapal
dangerou,danag
dangl,danag
darkness,darak
darn,daran
death,dek
decid,desid
describ,desik
desire,desar
difference,difar
difficult,difak
dinner,dinar
dip,dipal
disappear,disap
distract,disat
diversity,divar
divid,divad
door,dorol
double,dab
doubt,dabat
drank,daran
dress,dares
droop,dorop
eager,garal
eagle,galar
elder,ledar
emerg,mareg
endeavor,nedav
equal,kewal
essential,senit
evolution,valet
evolv,valev
exact,kesak
excite,kesit
experienc,kesip
extra,kesat
extremeley,kesat
fact,fakat
fair,faral
fat,fatal
fearless,faral
feast,fesat
fertile,faret
fierceful,faris
figure,figar
fit,fital
float,folot
floppy,falap
flown,folon
fluffy,falaf
flute,falut
focus,fakas
fog,fogal
foothill,fosol
forget,farag
forgotten,farag
form,fram
fortuitious,farat
freeze,farez
frost,faras
ful,falar
fur,fral
furry,faral
game,gamal
gander,ganad
gaz,gazal
gear,garal
generous,genar
gent,genat
george,gareg
giant,ginat
giv,gival
glass,galas
gloriou,galar
glow,golor
goal,golor
golden,galad
gotten,gatan
grace,garas
graceful,garas
grand,garan
grizz,gariz
groom,gorom
group,grop
growth,gorok
guidance,gadan
hadn't,hadan
halfway,halaf
halt,halat
hang,hanag
harvest,harav
haven't,havan
heal,halar
health,halek
heat,het
herd,hared
hid,hidal
hil,halar
hind,hinad
hit,hital
honest,hanas
hopeful,hapaf
hug,hagal
illustrate,lisut
important,mipar
indoor,nidor
information,nifar
innocent,nisan
intelligent,nital
jean,dejan
job,dajab
joy,djal
joyous,dajas
juicy,dajak
king',kinag
kitchen,kitek
kite,kital
knock,kanak
laid,ladal
lawn,lanal
lazy,lazal
lead,ledal
learn,laren
letter,letar
lid,lid
lifetime,lifet
limit,limat
lin,linal
listen,list
log,lagal
lonely,lanal
loud,ladal
lovely,laval
lower,lorol
lucky,lakal
magic,magak
mail,malar
majestic,madaj
mature,matar
meal,malar
mean,menal
meat,metal
melt,malet
member,memab
merry,maral
mighty,mital
mike,mikal
minut,minat
month,manak
mother,masar
mould,malad
mouse,mosol
mud,madal
munch,manat
musty,masat
narrow,naral
nearby,nareb
necessary,nesas
nectar,nekat
nibbl,nibal
noise,nosol
northern,naras
numerou,namar
o'clock,kalak
occur,karal
ones,nasal
outcome,tokom
outdoor,todor
outside,tost
pace,pasal
pack,pakal
park,parak
particular,parat
patient,patan
pattern,patar
peck,pekal
peek,pekal
peel,palar
period,pared
petal,petal
phase,fasal
phone,fonol
picturesque,pikut
piec,pikal
pile,palar
pillow,polor
pin,pinal
pine,pinal
pink,pinak
pitch,pitak
planet,palan
player,palar
plenty,palen
pluck,palak
poem,pomol
polite,polot
pollution,palat
possible,pasab
pot,patal
pour,paral
power,por
prefer,paref
probab,parab
promis,param
protect,parat
prune,parun
punctual,panak
purify,paraf
quack,kawak
queen,kewan
rainfall,ranaf
rang,ranag
rather,rasar
realiz,ralez
reason,res
receive,resiv
reduce,redus
reflect,refal
refresh,refar
refuse,refus
replac,repal
research,resar
reserve,resar
resist,resis
return,retar
reveal,reval
ring,rinag
ripen,ripen
road,rodol
root,rot
rose,rosol
rot,ratal
routin,ratan
rug,ragal
sacred,sakar
safety,safat
sage,sagal
salmon,salam
sandy,sanad
satisfy,satas
sauna,sanal
saver,savar
scat,sakat
scenic,senik
school,sotok
scorpion,sakar
season,ses
seat,setal
second,sekan
seek,sekal
shady,kasad
shall,kasal
shed,kesad
shift,kisaf
shiny,kisan
shirt,kisar
shiver,kisev
sho,kasal
shop,kasap
shoulder,kasal
silver,saliv
single,sinag
sister,siset
situation,sitat
sketch,sekat
skip,sikap
sleepy,salep
slender,salen
slide,salid
slight,salit
slop,salap
slower,solor
smooth,somok
snak,sanak
snor,sanar
snowy,sonol
snug,sanag
soak,sokol
sock,sakal
solution,salat
sooth,sokol
source,saras
space,spas
sparkle,sapar
specimen,sepas
speck,sepak
spine,sipen
spiral,sipar
spot,sapat
spread,separ
sprinkle,sipar
stare,satar
step,setap
stick,sitak
stir,sitar
stray,satar
strength,setar
stretch,setar
strong,star
stuff,sataf
subdivid,sabad
success,sakas
suck,sakal
sugar,sagar
sundown,sunod
support,sapar
sure,sarul
surface,saruf
swum,sawam
tail,tal
talkative,talak
tantaliz,tanat
task,tasak
taste,tasat
team,temal
temperature,temap
tent,tenat
thankful,kanak
thick,sikal
thought,katal
throne,koron
tiny,tinal
tooth,tokol
tos,tasal
town,tonol
tranquil,taran
travers,tarav
treasure,tares
treat,taret
trek,tarek
trickle,tarik
tril,taral
trip,tarip
tru,taral
truth,tarak
tube,tubal
twice,tiwes
twig,tiwag
twinkl,tiwan
uncle,nakal
underbrush,nadar
unfold,nafal
unknown,nukon
unless,nalas
unravel,narav
unseen,nusen
unstable,nasat
upside,pusid
vast,vasat
wad,widal
wag,wigal
wak,wikal
wall,wolar
wavy,wival
we've,weval
weaker,wekar
wear,woral
weav,weval
weed,wedal
weep,wepal
weird,wored
what'd,witad
whenever,wenav
whole,wol
wide,wid
wiggle,wigal
wildflower,wolid
wisdom,wisad
wise,wisal
wit,wital
witty,wital
wooden,wodon
wool,wolor
writ,worit
wrong,woran
yes,yes
you've,yaval
zip,zipal
