form,letters,shape,note
kiv,3,CVC,lexicon
kix,3,CVC,
kic,3,CVC,
keb,3,CVC,
kev,3,CVC,
kec,3,CVC,
kaC,3,CVC,
kun,3,CVC,lexicon
kud,3,CVC,
kus,3,CVC,lexicon
kuf,3,CVC,
hid,3,CVC,lexicon
hik,3,CVC,lexicon
hiz,3,CVC,lexicon
hif,3,CVC,
hix,3,CVC,
hij,3,CVC,
hiC,3,CVC,
hen,3,CVC,
hed,3,CVC,lexicon
hep,3,CVC,
hek,3,CVC,
hes,3,CVC,
hez,3,CVC,
hev,3,CVC,lexicon
hex,3,CVC,
hec,3,CVC,
ham,3,CVC,
han,3,CVC,
hag,3,CVC,
had,3,CVC,lexicon
has,3,CVC,
hax,3,CVC,
hac,3,CVC,
har,3,CVC,lexicon
hon,3,CVC,
hoq,3,CVC,
hog,3,CVC,
hop,3,CVC,lexicon
hos,3,CVC,
hof,3,CVC,
hox,3,CVC,
hoC,3,CVC,
hun,3,CVC,
huq,3,CVC,
hug,3,CVC,
hub,3,CVC,
hut,3,CVC,lexicon
hus,3,CVC,
huf,3,CVC,
hul,3,CVC,lexicon
sip,3,CVC,lexicon
siv,3,CVC,lexicon
sic,3,CVC,lexicon
seC,3,CVC,
sag,3,CVC,
sab,3,CVC,
saC,3,CVC,
sok,3,CVC,
soz,3,CVC,lexicon
sov,3,CVC,
soc,3,CVC,
sub,3,CVC,
suC,3,CVC,
zig,3,CVC,lexicon
zib,3,CVC,lexicon
zit,3,CVC,lexicon
zif,3,CVC,
zix,3,CVC,
zij,3,CVC,
ziC,3,CVC,
zeg,3,CVC,
zeb,3,CVC,
zet,3,CVC,lexicon
zev,3,CVC,
zej,3,CVC,
zec,3,CVC,
zam,3,CVC,lexicon
zad,3,CVC,lexicon
zap,3,CVC,
zaz,3,CVC,
zav,3,CVC,
zax,3,CVC,
zaj,3,CVC,
zac,3,CVC,
zal,3,CVC,
zog,3,CVC,
zod,3,CVC,
zop,3,CVC,
zof,3,CVC,
zoj,3,CVC,
zoC,3,CVC,
zun,3,CVC,lexicon
zug,3,CVC,
zud,3,CVC,
zup,3,CVC,
zuv,3,CVC,
zux,3,CVC,
zuj,3,CVC,
zuc,3,CVC,
zul,3,CVC,
vig,3,CVC,lexicon
vib,3,CVC,lexicon
viz,3,CVC,lexicon
vif,3,CVC,
viC,3,CVC,
veg,3,CVC,
vet,3,CVC,
vef,3,CVC,
vej,3,CVC,
veC,3,CVC,
vav,3,CVC,
vax,3,CVC,
vaj,3,CVC,
vac,3,CVC,
vop,3,CVC,
vok,3,CVC,
voj,3,CVC,
voc,3,CVC,
vum,3,CVC,
vut,3,CVC,
vuk,3,CVC,
vuz,3,CVC,
vuv,3,CVC,
vux,3,CVC,
vuj,3,CVC,
vuc,3,CVC,
vul,3,CVC,
fiq,3,CVC,lexicon
fid,3,CVC,lexicon
fip,3,CVC,lexicon
fik,3,CVC,lexicon
fiv,3,CVC,
feq,3,CVC,
fed,3,CVC,
fep,3,CVC,
fez,3,CVC,
fev,3,CVC,
fec,3,CVC,
faC,3,CVC,
fal,3,CVC,lexicon
fob,3,CVC,
fot,3,CVC,lexicon
fof,3,CVC,
fox,3,CVC,
foC,3,CVC,
fun,3,CVC,
fug,3,CVC,
fub,3,CVC,
fus,3,CVC,
fuf,3,CVC,
fuC,3,CVC,
xib,3,CVC,lexicon
xiz,3,CVC,lexicon
xem,3,CVC,lexicon
xeg,3,CVC,
xed,3,CVC,
xep,3,CVC,
xef,3,CVC,
xeC,3,CVC,
xag,3,CVC,
xad,3,CVC,
xav,3,CVC,
xac,3,CVC,
xar,3,CVC,
xoq,3,CVC,
xob,3,CVC,
xot,3,CVC,
xoz,3,CVC,
xov,3,CVC,
xoc,3,CVC,
xor,3,CVC,
xuq,3,CVC,
xug,3,CVC,
xud,3,CVC,
xup,3,CVC,
xuc,3,CVC,
jid,3,CVC,lexicon
jip,3,CVC,lexicon
jik,3,CVC,lexicon
jic,3,CVC,
jen,3,CVC,
jeq,3,CVC,
jeb,3,CVC,
jet,3,CVC,
jes,3,CVC,
jez,3,CVC,
jev,3,CVC,
jec,3,CVC,
jab,3,CVC,
jat,3,CVC,
jaz,3,CVC,
jaf,3,CVC,
jaC,3,CVC,
jal,3,CVC,
jon,3,CVC,
jop,3,CVC,
jok,3,CVC,
jos,3,CVC,
jof,3,CVC,
joC,3,CVC,
jol,3,CVC,
jun,3,CVC,
jub,3,CVC,
jut,3,CVC,
juk,3,CVC,
juz,3,CVC,
juf,3,CVC,
juC,3,CVC,
Cin,3,CVC,lexicon
Cig,3,CVC,lexicon
Cib,3,CVC,lexicon
Cit,3,CVC,
Cis,3,CVC,
Ciz,3,CVC,
Civ,3,CVC,
Cix,3,CVC,
Cij,3,CVC,
Cem,3,CVC,
Cen,3,CVC,
Ced,3,CVC,
Cep,3,CVC,
Cek,3,CVC,
Ces,3,CVC,
Cex,3,CVC,
Cej,3,CVC,
Caq,3,CVC,
Cab,3,CVC,
Cat,3,CVC,
Cak,3,CVC,
Caz,3,CVC,
Caf,3,CVC,
Cax,3,CVC,
Cal,3,CVC,
Com,3,CVC,
Coq,3,CVC,
Cog,3,CVC,
Cob,3,CVC,
Cot,3,CVC,
Coz,3,CVC,
Cov,3,CVC,
Col,3,CVC,
Cug,3,CVC,
Cud,3,CVC,
Cup,3,CVC,
Cus,3,CVC,
Cuf,3,CVC,
Cuj,3,CVC,
cim,3,CVC,lexicon
ciq,3,CVC,lexicon
cid,3,CVC,lexicon
cip,3,CVC,
cik,3,CVC,
cif,3,CVC,
ceq,3,CVC,
ceb,3,CVC,
cez,3,CVC,
cev,3,CVC,
cam,3,CVC,
can,3,CVC,lexicon
cag,3,CVC,
cad,3,CVC,
cap,3,CVC,
cas,3,CVC,
cav,3,CVC,
caj,3,CVC,
car,3,CVC,
cod,3,CVC,
cop,3,CVC,
cok,3,CVC,
cos,3,CVC,
cof,3,CVC,
cox,3,CVC,
coj,3,CVC,
cum,3,CVC,
cun,3,CVC,
cuq,3,CVC,
cut,3,CVC,
cuk,3,CVC,
cuz,3,CVC,
cul,3,CVC,
yim,3,CVC,lexicon
yib,3,CVC,lexicon
yit,3,CVC,lexicon
yik,3,CVC,
yis,3,CVC,
yiz,3,CVC,
yif,3,CVC,
yix,3,CVC,
yij,3,CVC,
yiC,3,CVC,
yem,3,CVC,
yen,3,CVC,
yeq,3,CVC,
yeg,3,CVC,
yeb,3,CVC,
yet,3,CVC,
yes,3,CVC,
yef,3,CVC,
yex,3,CVC,
yej,3,CVC,
yat,3,CVC,
yak,3,CVC,
yaz,3,CVC,
yav,3,CVC,
yax,3,CVC,
yaj,3,CVC,
yac,3,CVC,
yon,3,CVC,lexicon
yoq,3,CVC,
yot,3,CVC,
yok,3,CVC,
yos,3,CVC,
yoz,3,CVC,
yof,3,CVC,
yoj,3,CVC,
yor,3,CVC,
yum,3,CVC,
yuq,3,CVC,
yut,3,CVC,
yuk,3,CVC,
yus,3,CVC,
yuv,3,CVC,
yuj,3,CVC,
yuc,3,CVC,
riq,3,CVC,lexicon
rip,3,CVC,lexicon
riz,3,CVC,
rix,3,CVC,
riC,3,CVC,
ras,3,CVC,lexicon
rax,3,CVC,
rac,3,CVC,
rob,3,CVC,
rov,3,CVC,
rox,3,CVC,
roc,3,CVC,
rub,3,CVC,lexicon
rut,3,CVC,lexicon
ruk,3,CVC,lexicon
rus,3,CVC,
ruf,3,CVC,
lib,3,CVC,lexicon
lit,3,CVC,lexicon
lis,3,CVC,
liz,3,CVC,
lix,3,CVC,
liC,3,CVC,
len,3,CVC,lexicon
leq,3,CVC,
lef,3,CVC,
lex,3,CVC,
lej,3,CVC,
lag,3,CVC,lexicon
lap,3,CVC,
las,3,CVC,lexicon
laf,3,CVC,
lax,3,CVC,
laj,3,CVC,
laC,3,CVC,
lar,3,CVC,
lon,3,CVC,lexicon
loq,3,CVC,
lob,3,CVC,
lov,3,CVC,lexicon
loc,3,CVC,
lum,3,CVC,
luq,3,CVC,
lug,3,CVC,lexicon
lub,3,CVC,
luf,3,CVC,
luC,3,CVC,
wib,3,CVC,lexicon
wit,3,CVC,lexicon
wis,3,CVC,
wiz,3,CVC,
wif,3,CVC,
wix,3,CVC,
wij,3,CVC,
wiC,3,CVC,
wem,3,CVC,
wen,3,CVC,lexicon
weq,3,CVC,
wek,3,CVC,lexicon
wes,3,CVC,
wez,3,CVC,
wex,3,CVC,
wej,3,CVC,
wom,3,CVC,
woq,3,CVC,
wob,3,CVC,
wos,3,CVC,
wof,3,CVC,
wox,3,CVC,
woj,3,CVC,
woC,3,CVC,
wum,3,CVC,
wun,3,CVC,
wug,3,CVC,lexicon
wub,3,CVC,
wut,3,CVC,lexicon
wus,3,CVC,
wuz,3,CVC,
wuv,3,CVC,
wux,3,CVC,
wuj,3,CVC,
wuc,3,CVC,
wul,3,CVC,lexicon
mimp,4,CVCC,
mint,4,CVCC,
miqk,4,CVCC,
migz,4,CVCC,
midj,4,CVCC,
mibz,4,CVCC,
mitx,4,CVCC,
misp,4,CVCC,
misk,4,CVCC,
mift,4,CVCC,
memp,4,CVCC,
ment,4,CVCC,
meqk,4,CVCC,
megz,4,CVCC,
medj,4,CVCC,
mebz,4,CVCC,
metx,4,CVCC,
mesp,4,CVCC,
mesk,4,CVCC,
meft,4,CVCC,
mamp,4,CVCC,
maqk,4,CVCC,
magz,4,CVCC,
madj,4,CVCC,
mabz,4,CVCC,
matx,4,CVCC,
masp,4,CVCC,
maft,4,CVCC,
malz,4,CVCC,
malc,4,CVCC,
momp,4,CVCC,
mont,4,CVCC,
mogz,4,CVCC,
modj,4,CVCC,
motx,4,CVCC,
mosp,4,CVCC,
moft,4,CVCC,
molc,4,CVCC,
mump,4,CVCC,
munt,4,CVCC,
mugz,4,CVCC,
mudj,4,CVCC,
mutx,4,CVCC,
nimp,4,CVCC,
nint,4,CVCC,
niqk,4,CVCC,
nidj,4,CVCC,
nibz,4,CVCC,
nitx,4,CVCC,
nisp,4,CVCC,
nisk,4,CVCC,
nift,4,CVCC,
nemp,4,CVCC,
nent,4,CVCC,
neqk,4,CVCC,
nedj,4,CVCC,
nebz,4,CVCC,
netx,4,CVCC,
nesp,4,CVCC,
nesk,4,CVCC,
neft,4,CVCC,
namp,4,CVCC,
nant,4,CVCC,
naqk,4,CVCC,
nagz,4,CVCC,
nadj,4,CVCC,
nabz,4,CVCC,
natx,4,CVCC,
nasp,4,CVCC,
nask,4,CVCC,
naft,4,CVCC,
nalz,4,CVCC,
nalc,4,CVCC,
nomp,4,CVCC,
nont,4,CVCC,
noqk,4,CVCC,
nogz,4,CVCC,
nodj,4,CVCC,
notx,4,CVCC,
nosp,4,CVCC,
nosk,4,CVCC,
nolc,4,CVCC,
nump,4,CVCC,
nuqk,4,CVCC,
nugz,4,CVCC,
nudj,4,CVCC,
nutx,4,CVCC,
nusp,4,CVCC,
nusk,4,CVCC,
gimp,4,CVCC,
gint,4,CVCC,
giqk,4,CVCC,
gigz,4,CVCC,
gidj,4,CVCC,
gibz,4,CVCC,
gitx,4,CVCC,
gisp,4,CVCC,
gisk,4,CVCC,
gift,4,CVCC,lexicon
gemp,4,CVCC,
gent,4,CVCC,lexicon
geqk,4,CVCC,
gegz,4,CVCC,
gedj,4,CVCC,
gebz,4,CVCC,
getx,4,CVCC,
gesp,4,CVCC,
gesk,4,CVCC,
geft,4,CVCC,
gamp,4,CVCC,
gant,4,CVCC,
gaqk,4,CVCC,
gagz,4,CVCC,
gadj,4,CVCC,
gatx,4,CVCC,
gasp,4,CVCC,
gask,4,CVCC,
gaft,4,CVCC,
galc,4,CVCC,
gomp,4,CVCC,
gont,4,CVCC,
goqk,4,CVCC,
gogz,4,CVCC,
godj,4,CVCC,
gotx,4,CVCC,
gosp,4,CVCC,
gosk,4,CVCC,
goft,4,CVCC,
golc,4,CVCC,
gump,4,CVCC,
gunt,4,CVCC,
gugz,4,CVCC,
gudj,4,CVCC,
gutx,4,CVCC,
guft,4,CVCC,
dimp,4,CVCC,
dint,4,CVCC,
diqk,4,CVCC,
digz,4,CVCC,
didj,4,CVCC,
ditx,4,CVCC,
disp,4,CVCC,
disk,4,CVCC,
dift,4,CVCC,
demp,4,CVCC,
dent,4,CVCC,
deqk,4,CVCC,
degz,4,CVCC,
dedj,4,CVCC,
detx,4,CVCC,
desp,4,CVCC,
desk,4,CVCC,
deft,4,CVCC,
damp,4,CVCC,
dant,4,CVCC,
daqk,4,CVCC,
dagz,4,CVCC,
dadj,4,CVCC,
datx,4,CVCC,
dasp,4,CVCC,
dask,4,CVCC,
daft,4,CVCC,
dalc,4,CVCC,
domp,4,CVCC,
dont,4,CVCC,
doqk,4,CVCC,
dogz,4,CVCC,
dodj,4,CVCC,
dotx,4,CVCC,
dosp,4,CVCC,
dosk,4,CVCC,
doft,4,CVCC,
dolc,4,CVCC,
dump,4,CVCC,
dunt,4,CVCC,
duqk,4,CVCC,
dugz,4,CVCC,
dudj,4,CVCC,
dutx,4,CVCC,
dusk,4,CVCC,lexicon
duft,4,CVCC,
bimp,4,CVCC,
bint,4,CVCC,
biqk,4,CVCC,
bigz,4,CVCC,
bidj,4,CVCC,
bibz,4,CVCC,
bitx,4,CVCC,
bisp,4,CVCC,
bisk,4,CVCC,
bift,4,CVCC,
bemp,4,CVCC,
bent,4,CVCC,lexicon
beqk,4,CVCC,
begz,4,CVCC,
bedj,4,CVCC,
bebz,4,CVCC,
betx,4,CVCC,
best,4,CVCC,lexicon
besk,4,CVCC,
beft,4,CVCC,
bamp,4,CVCC,
bant,4,CVCC,
baqk,4,CVCC,
bagz,4,CVCC,
badj,4,CVCC,
batx,4,CVCC,
basp,4,CVCC,
bask,4,CVCC,lexicon
baft,4,CVCC,
bart,4,CVCC,lexicon
balp,4,CVCC,lexicon
balc,4,CVCC,
bomp,4,CVCC,
bont,4,CVCC,
boqk,4,CVCC,
bogz,4,CVCC,
bodj,4,CVCC,
botx,4,CVCC,
bosk,4,CVCC,
boft,4,CVCC,
bolc,4,CVCC,
bump,4,CVCC,
buqk,4,CVCC,
bugz,4,CVCC,
budj,4,CVCC,
butx,4,CVCC,
pimp,4,CVCC,
pint,4,CVCC,
piqk,4,CVCC,
pigz,4,CVCC,
pidj,4,CVCC,
pibz,4,CVCC,
pitx,4,CVCC,
pift,4,CVCC,
pemp,4,CVCC,
pent,4,CVCC,
peqk,4,CVCC,
pegz,4,CVCC,
pedj,4,CVCC,
pebz,4,CVCC,
petx,4,CVCC,
pesp,4,CVCC,
pesk,4,CVCC,
peft,4,CVCC,
pamp,4,CVCC,
pant,4,CVCC,
paqk,4,CVCC,
pagz,4,CVCC,
padj,4,CVCC,
patx,4,CVCC,
pasp,4,CVCC,
pask,4,CVCC,
paft,4,CVCC,
parz,4,CVCC,lexicon
palc,4,CVCC,
pomp,4,CVCC,
pont,4,CVCC,
poqk,4,CVCC,
pogz,4,CVCC,
podj,4,CVCC,
potx,4,CVCC,
posp,4,CVCC,
posk,4,CVCC,
poft,4,CVCC,
polc,4,CVCC,
pump,4,CVCC,
puqk,4,CVCC,
pugz,4,CVCC,
pudj,4,CVCC,
putx,4,CVCC,
pusp,4,CVCC,
pusk,4,CVCC,
timp,4,CVCC,
tint,4,CVCC,
tiqk,4,CVCC,
tigz,4,CVCC,
tidj,4,CVCC,
tibz,4,CVCC,
tisp,4,CVCC,
tisk,4,CVCC,
tift,4,CVCC,
temp,4,CVCC,
tent,4,CVCC,
teqk,4,CVCC,
tegz,4,CVCC,
tedj,4,CVCC,
tebz,4,CVCC,
tetx,4,CVCC,
tesp,4,CVCC,
tesk,4,CVCC,
teft,4,CVCC,
tamp,4,CVCC,
taqk,4,CVCC,
tagz,4,CVCC,
tadj,4,CVCC,
tabz,4,CVCC,
tatx,4,CVCC,
tasp,4,CVCC,
task,4,CVCC,
talz,4,CVCC,
talc,4,CVCC,
tomp,4,CVCC,
toqk,4,CVCC,
togz,4,CVCC,
todj,4,CVCC,
tobz,4,CVCC,
totx,4,CVCC,
tosp,4,CVCC,
tosk,4,CVCC,
tort,4,CVCC,lexicon
tolp,4,CVCC,
tolz,4,CVCC,
tolc,4,CVCC,
tump,4,CVCC,
tugz,4,CVCC,
tudj,4,CVCC,
tutx,4,CVCC,
tusp,4,CVCC,
kimp,4,CVCC,
kint,4,CVCC,lexicon
kiqk,4,CVCC,
kigz,4,CVCC,
kidj,4,CVCC,
kibz,4,CVCC,
kitx,4,CVCC,
kisp,4,CVCC,
kisk,4,CVCC,
kift,4,CVCC,
kemp,4,CVCC,
kent,4,CVCC,
keqk,4,CVCC,
kegz,4,CVCC,
kedj,4,CVCC,
kebz,4,CVCC,
ketx,4,CVCC,
kesk,4,CVCC,
keft,4,CVCC,
kamp,4,CVCC,
kant,4,CVCC,lexicon
kaqk,4,CVCC,
kagz,4,CVCC,
kadj,4,CVCC,
kabz,4,CVCC,
katx,4,CVCC,
kask,4,CVCC,
kaft,4,CVCC,
karp,4,CVCC,
kalt,4,CVCC,lexicon
kalz,4,CVCC,
kalc,4,CVCC,
komp,4,CVCC,
kont,4,CVCC,
koqk,4,CVCC,
kogz,4,CVCC,
kodj,4,CVCC,
kotx,4,CVCC,
kosk,4,CVCC,
kolc,4,CVCC,
kuqk,4,CVCC,
kugz,4,CVCC,
kudj,4,CVCC,
kutx,4,CVCC,
kusk,4,CVCC,
himp,4,CVCC,
hiqk,4,CVCC,
higz,4,CVCC,
hidj,4,CVCC,
hitx,4,CVCC,
hisp,4,CVCC,
hisk,4,CVCC,
hift,4,CVCC,
hemp,4,CVCC,
hent,4,CVCC,
heqk,4,CVCC,
hegz,4,CVCC,
hedj,4,CVCC,
hetx,4,CVCC,
hesp,4,CVCC,
hesk,4,CVCC,
heft,4,CVCC,
hamp,4,CVCC,
hant,4,CVCC,lexicon
haqk,4,CVCC,
hagz,4,CVCC,
hadj,4,CVCC,
hatx,4,CVCC,
hasp,4,CVCC,
hask,4,CVCC,
haft,4,CVCC,
hart,4,CVCC,lexicon
halp,4,CVCC,
halc,4,CVCC,
homp,4,CVCC,
hont,4,CVCC,
hoqk,4,CVCC,
hogz,4,CVCC,
hodj,4,CVCC,
hotx,4,CVCC,
hosp,4,CVCC,
hoft,4,CVCC,
holc,4,CVCC,
hump,4,CVCC,
hunt,4,CVCC,
hugz,4,CVCC,
hudj,4,CVCC,
hutx,4,CVCC,
husp,4,CVCC,
huft,4,CVCC,
sint,4,CVCC,
siqk,4,CVCC,
sidz,4,CVCC,
sitx,4,CVCC,
sist,4,CVCC,
sisk,4,CVCC,
sift,4,CVCC,
sent,4,CVCC,
sedz,4,CVCC,
setx,4,CVCC,
sest,4,CVCC,
seft,4,CVCC,
samp,4,CVCC,
sant,4,CVCC,lexicon
sadj,4,CVCC,
sabz,4,CVCC,
satx,4,CVCC,
sast,4,CVCC,
sask,4,CVCC,
saft,4,CVCC,lexicon
sarp,4,CVCC,
sarz,4,CVCC,
salt,4,CVCC,
somp,4,CVCC,
soqk,4,CVCC,
sodj,4,CVCC,
sobz,4,CVCC,
sost,4,CVCC,
sosk,4,CVCC,
sorp,4,CVCC,
solt,4,CVCC,
solk,4,CVCC,
solz,4,CVCC,
sudj,4,CVCC,
subz,4,CVCC,
sutx,4,CVCC,
sust,4,CVCC,
suft,4,CVCC,
zimp,4,CVCC,
zigz,4,CVCC,
zidj,4,CVCC,
zibz,4,CVCC,
zisp,4,CVCC,
zemp,4,CVCC,
zeqk,4,CVCC,
zegz,4,CVCC,
zedj,4,CVCC,
zebz,4,CVCC,
zesp,4,CVCC,
zesk,4,CVCC,
zaqk,4,CVCC,
zagz,4,CVCC,
zadz,4,CVCC,
zasp,4,CVCC,
zart,4,CVCC,
zark,4,CVCC,
zalp,4,CVCC,
zalz,4,CVCC,
zalc,4,CVCC,
zont,4,CVCC,
zogz,4,CVCC,
zodz,4,CVCC,
zotx,4,CVCC,
zosp,4,CVCC,
zoft,4,CVCC,
zort,4,CVCC,
zork,4,CVCC,
zorz,4,CVCC,
zolp,4,CVCC,
zolc,4,CVCC,
zump,4,CVCC,
zunt,4,CVCC,
zuqk,4,CVCC,
zugz,4,CVCC,
zudz,4,CVCC,
zusp,4,CVCC,
zusk,4,CVCC,
viqk,4,CVCC,
vigz,4,CVCC,
vidz,4,CVCC,
vidj,4,CVCC,
vitx,4,CVCC,
vist,4,CVCC,
vift,4,CVCC,
veqk,4,CVCC,
vedz,4,CVCC,
vetx,4,CVCC,
vest,4,CVCC,
vant,4,CVCC,
vagz,4,CVCC,
vadz,4,CVCC,
vadj,4,CVCC,
vatx,4,CVCC,
vasp,4,CVCC,
varp,4,CVCC,
vark,4,CVCC,
valt,4,CVCC,
valz,4,CVCC,
vont,4,CVCC,
voqk,4,CVCC,
vogz,4,CVCC,
vodz,4,CVCC,
vodj,4,CVCC,
votx,4,CVCC,
vost,4,CVCC,
vosk,4,CVCC,
vort,4,CVCC,
vork,4,CVCC,
volp,4,CVCC,
volz,4,CVCC,
vunt,4,CVCC,
vudz,4,CVCC,
vudj,4,CVCC,
vutx,4,CVCC,
vust,4,CVCC,
vusk,4,CVCC,
fimp,4,CVCC,
fint,4,CVCC,
fibz,4,CVCC,
fisp,4,CVCC,
fisk,4,CVCC,
femp,4,CVCC,
fent,4,CVCC,
fegz,4,CVCC,
fedj,4,CVCC,
febz,4,CVCC,
fesp,4,CVCC,
fesk,4,CVCC,
feft,4,CVCC,
famp,4,CVCC,
faqk,4,CVCC,
fabz,4,CVCC,
fast,4,CVCC,lexicon
fask,4,CVCC,
faft,4,CVCC,
fart,4,CVCC,
farz,4,CVCC,lexicon
falp,4,CVCC,
falk,4,CVCC,
falc,4,CVCC,
fomp,4,CVCC,
fobz,4,CVCC,
fosp,4,CVCC,
foft,4,CVCC,
forp,4,CVCC,
folt,4,CVCC,
folk,4,CVCC,
folc,4,CVCC,
fump,4,CVCC,
fuqk,4,CVCC,
fugz,4,CVCC,
fubz,4,CVCC,
fusp,4,CVCC,
fuft,4,CVCC,
xint,4,CVCC,
xigz,4,CVCC,
xidz,4,CVCC,
xisp,4,CVCC,
xift,4,CVCC,
xeqk,4,CVCC,
xedz,4,CVCC,
xest,4,CVCC,
xesk,4,CVCC,
xant,4,CVCC,
xaqk,4,CVCC,
xadz,4,CVCC,
xast,4,CVCC,
xask,4,CVCC,
xarp,4,CVCC,
xarz,4,CVCC,
xalt,4,CVCC,
xalk,4,CVCC,
xalc,4,CVCC,
xomp,4,CVCC,
xodz,4,CVCC,
xost,4,CVCC,
xosk,4,CVCC,
xorp,4,CVCC,
xorz,4,CVCC,
xolt,4,CVCC,
xolk,4,CVCC,
xolc,4,CVCC,
xump,4,CVCC,
xunt,4,CVCC,
xuqk,4,CVCC,
xubz,4,CVCC,
xusp,4,CVCC,
xusk,4,CVCC,
jimp,4,CVCC,
jiqk,4,CVCC,
jibz,4,CVCC,
jist,4,CVCC,
jisk,4,CVCC,
jemp,4,CVCC,
jent,4,CVCC,
jegz,4,CVCC,
jebz,4,CVCC,
jesp,4,CVCC,
jeft,4,CVCC,
jamp,4,CVCC,
jagz,4,CVCC,
jabz,4,CVCC,
jasp,4,CVCC,
jaft,4,CVCC,
jart,4,CVCC,
jark,4,CVCC,
jalp,4,CVCC,
jalz,4,CVCC,
jont,4,CVCC,
joqk,4,CVCC,
jogz,4,CVCC,
jobz,4,CVCC,
josp,4,CVCC,
joft,4,CVCC,
jort,4,CVCC,
jork,4,CVCC,
jolp,4,CVCC,
jolz,4,CVCC,
