form,meaning,page,state
byas,possesive plural ("the birds' food"),design,not legal
hap,x event,design,held by hop
gem,x game,design,held by get
fos,x force,design,held by force
ses,x essence,design,held by spec
van,x nature, having the nature of (-ivity, -ity, -ance),design,1 from fan find
zek,one who does x,design,1 from sek sink
koz,one who receives x,design,held by continue
lak,x like,design,1 from lag align
hip,emanating x,design,held by group
fin,belief in x,design,held by finite
zir,pertaining to x (pleasantry),design,not legal
ved,study or science of (-ology),design,1 from veb byte
tul,it's a tool (zipper),design,held by tool
mon,featuring x,design,held by maximum
lij,x oriented,design,held by reserved lij
fom,formal x,design,1 from vom volume
kos,disease (-osis),design,held by source
kin,ability (-ability),design,held by thing
sox,x society,design,1 from zox sense
kun,-ableness,design,held by uncertain
xit,shaped,design,held by computation
kan,capable of being (-able),design,held by change
fol,full of (-full),design,held by flow
rav,reminiscent of (-esque),design,held by particle
mor,more (-er),design,held by more
mis,most (-est),design,held by plural
tof,relates to (affectional),design,1 from toc true
fir,hating/fearing/resisting (-phobia),design,not legal
leg,containing,design,1 from lek select
baq,self (auto-),design,held by individual
pak,undo,design,held by place
sup,exceed (super),design,1 from sut past
sem,same (sym-),design,held by same
dit,distance (tele-),design,held by perpendicular
gen,again (re-),design,held by next
sud,somewhat (pseudo-),design,1 from sut past
mad,thing about the thing (meta-),design,held by model
ples,place x,design,not legal
land,land x,design,not legal
prab,probable,design,not legal
fit,right (correct),design,1 from vit life
did,indeed,design,1 from dib ignorant
zed,side,direction,1 from sed send
hib,binary,gender,1 from hip group
tints,tense,glyph,not legal
nuc,long,glyph,1 from nuf uniformity
meb,maybe,manner,1 from med one
nom,normally,manner,held by know
nuf,enough,manner,held by uniformity
ten,potentially,manner,held by five
tuf,wrongly,manner,1 from tuv conscious
kaf,much,manner,held by clarify
haf,often,manner,1 from hav have
sus,since,manner,1 from zus experience
vaq,however,manner,held by center
jan,occasionally,manner,held by orange
jun,generally,manner,1 from xun empty
let,lately,manner,1 from lep fifteen
lur,virtually,manner,not legal
ric,straight,manner,1 from rif reference
rer,rarely,manner,not legal
barl,barely,manner,not legal
prab,probably,manner,not legal
sorg,recently,manner,not legal
prent,apparently,manner,not legal
tward,towards,manner,not legal
skers,scarcely,manner,not legal
slayt,slightly,manner,not legal
murib,suspiciously,manner,not legal
gavist,eagerly,manner,not legal
prizum,presumably,manner,not legal
haspex,especially,manner,not legal
saldom,seldom,manner,not legal
surtan,certainly,manner,not legal
legant,elegantly,manner,not legal
retxiq,enthusiastically,manner,not legal
sikwent,subsequently,manner,not legal
hekstrim,extremely,manner,not legal
frikwant,frequently,manner,not legal
dat,decimal,math,1 from dad dad
xul,subtract,math,1 from jul universe
lirk,ratio,math,not legal
lal,y-axis / vertical,math,not legal
noz,z-axis / depth,math,held by nose
hoylar,$e$ (euler's number),math,not legal
kanform,conformal,math,not legal
salk,circle,math,held by solve
wan,ellipse,math,not legal
sfir,sphere,math,not legal
kyub,cube,math,not legal
preb,parabola,math,not legal
hyak,hyperbola,math,not legal
kurv,curve,math,not legal
skunak,skew,math,not legal
skalet,scale,math,not legal
tranzet,translate,math,not legal
glayd,glide,math,not legal
slind,cylinder,math,not legal
tret,ray,math,not legal
baks,rectangle,math,not legal
tras,torus,math,not legal
kras,lattice,math,not legal
norm,normal (math),math,not legal
sarf,manifold,math,not legal
tric,metric,math,not legal
prodj,projection,math,not legal
narb,neighbor,math,not legal
magman,magma (group theory),math,not legal
dalg,magnitude,math,not legal
norm,polynomial,math,not legal
his,inverse,math,held by snake
hintx,inch,measurement,not legal
fretx,foot,measurement,not legal
kyard,yard,measurement,not legal
smilt,mile,measurement,not legal
nardj,farenheit,measurement,not legal
plond,pound,measurement,not legal
honts,ounce,measurement,not legal
mirt,meter,measurement,not legal
cets,mole,measurement,not legal
kalv,kelvin,measurement,not legal
sals,celsius,measurement,not legal
teslan,tesla,measurement,not legal
henrik,henry,measurement,not legal
nilaks,lux,measurement,not legal
paskal,pascal,measurement,not legal
redyan,radian,measurement,not legal
jak,count,number,held by wisdom
mab,bind,number,1 from mad model
swat,$10^{9}$,number,not legal
larx,$10^{12}$,number,not legal
xarm,$10^{21}$,number,not legal
farv,$10^{24}$,number,not legal
neks,$10^{27}$,number,not legal
bold,$10^{30}$,number,not legal
crak,$10^{33}$,number,not legal
rups,$10^{39}$,number,not legal
trag,$10^{42}$,number,not legal
tat,sibling,object,1 from tap type
max,earth,object,held by mesh
zol,animal,object,1 from zor fall
cux,stream,object,held by key
klad,cloud,object,not legal
darg,dig,object,not legal
tals,tall,object,not legal
narv,river,object,not legal
fyor,fire,object,not legal
storm,storm,object,not legal
suq,i/me,object,held by feature instance
bib,we/us,object,1 from bid reserved bid
slur,my,object,not legal
wik,week,time,1 from wig kaleidoscope
trid,i sound,tone,not legal
gemz,e sound,tone,not legal
vorx,o sound,tone,not legal
warp,a sound,tone,not legal
yild,i sound,tone,not legal
nurf,u sound,tone,not legal
corn,british o vowel sound,tone,not legal
morn,m sound,tone,not legal
txeq,q sound,tone,not legal
garm,g sound,tone,not legal
bard,b sound,tone,not legal
told,t sound,tone,not legal
kliq,k sound,tone,not legal
hold,h sound,tone,not legal
jalf,j sound,tone,not legal
crop,c sound,tone,not legal
yarn,y sound,tone,not legal
rend,french r sound,tone,not legal
plap,glottal stop,tone,not legal
siz,experience,index,pinned at zus
sorn,sun,index,pinned at san
niq,flow,action,pinned at fol
dib,perfect,action,pinned at kax
dub,aware,action,pinned at ran
bid,connect,action,pinned at kog
pik,find,action,pinned at fan
puk,release,action,pinned at rem
tiv,absorb,action,pinned at bas
jul,jewel,action,pinned at djul
get,get,action,pinned at gem
piz,step,action,pinned at tep
vik,test,action,pinned at tes
zun,talk,action,pinned at tak
wak,walk,action,pinned at wok
vax,receive,action,pinned at rek
daj,orange,color,pinned at jan
lad,yellow,color,pinned at yul
fez,green,color,pinned at gun
bul,blue,color,pinned at bag
sef,purple,color,pinned at pin
vog,black,color,pinned at bul
wat,white,color,pinned at wiq
sav,silver,color,pinned at var
god,gold,color,pinned at gum
rov,copper,color,pinned at kis
xap,computation,computation,pinned at xit
dip,tree,computation,pinned at tok
liC,point,computation,pinned at leC
bon,link,computation,pinned at liq
bip,bit,computation,pinned at vij
vin,byte,computation,pinned at veb
tir,true,computation,pinned at toc
rot,false,computation,pinned at cet
not,note,computation,pinned at nos
kux,type,computation,pinned at tap
bol,self,computation,pinned at sef
lib,other,computation,pinned at kor
nub,else,computation,pinned at lis
var,variable,computation,pinned at vaz
rat,write,computation,pinned at run
lid,lead,computation,pinned at lad
rug,hold,computation,pinned at hod
dut,data,computation,pinned at daq
tek,take,computation,pinned at vog
nem,name,computation,pinned at nam
jar,run,computation,pinned at rin
pan,yes,computation,pinned at yas
nop,no,computation,pinned at noq
yuc,with,cradle,pinned at wim
vun,off,cradle,pinned at von
ras,in,cradle,pinned at nut
sur,out,cradle,pinned at tin
maq,among,cradle,pinned at mag
sup,above,cradle,pinned at suz
pas,below,cradle,pinned at zis
rif,near,cradle,pinned at nen
far,far,cradle,pinned at fad
kol,all,design,pinned at con
lig,this,design,pinned at kim
gul,that,design,pinned at kat
fid,next,design,pinned at gen
daf,previous,design,pinned at nog
mis,different,design,pinned at dif
vav,repeat,design,pinned at rep
fut,there,design,pinned at kem
dav,here,design,pinned at hem
rik,up,direction,pinned at ted
kar,down,direction,pinned at dot
fut,right,direction,pinned at pob
taf,left,direction,pinned at bep
sil,front,direction,pinned at keg
las,back,direction,pinned at gok
nod,center,direction,pinned at vaq
mid,middle,direction,pinned at mod
tur,before,direction,pinned at bef
leg,start,direction,pinned at sam
gol,end,direction,pinned at neq
rit,after,direction,pinned at fap
norc,north,direction,pinned at yin
dart,east,direction,pinned at rog
cron,south,direction,pinned at lut
trad,west,direction,pinned at web
klek,click,glyph,pinned at glik
vram,stop,glyph,pinned at sop
dis,number,math,pinned at num
jit,digit,math,pinned at jis
skim,minimum,math,pinned at nem
maks,maximum,math,pinned at mon
pleks,complex,math,pinned at mop
pral,parallel,math,pinned at pam
parp,perpendicular,math,pinned at dit
lorn,line,math,pinned at lan
riflak,reflect,math,pinned at ref
plen,plane,math,pinned at blun
dir,direction,math,pinned at dim
grup,group,math,pinned at hip
flid,field,math,pinned at cuv
poz,position,math,pinned at pot
nist,nest,math,pinned at nes
ril,relation,math,pinned at ren
gag,child,object,pinned at kik
ciq,thing,object,pinned at kin
klor,color,object,pinned at glor
surn,sun,object,pinned at san
txan,moon,object,pinned at lun
sloC,water,object,pinned at wot
rim,you,object,pinned at yar
val,it,object,pinned at hin
glok,your,object,pinned at yart
vlam,its,object,pinned at hint
bliz,our,object,pinned at wolt
plek,their,object,pinned at Ceft
xan,year,time,pinned at yez
riz,rise,time,pinned at rez
zar,fall,time,pinned at zor
kip,tune,action,stands
kup,tone,action,stands
mek,make,action,stands
rom,explore,action,stands
red,red,color,stands
hip,group,computation,stands
guj,memory,computation,stands
kiq,action type,computation,stands
kaq,object type,computation,stands
muv,move,computation,stands
kaz,cause,computation,stands
rid,read,computation,stands
siq,action instance,computation,stands
saq,object instance,computation,stands
nev,on,cradle,stands
dan,the,design,stands
xom,now,manner,stands
bad,tangent,math,stands
bug,cosine,math,stands
dig,sine,math,stands
pac,path,math,stands
rol,cycle,math,stands
map,map,math,stands
sas,parent,object,stands
lif,leaf,object,stands
fam,family,object,stands
rak,rock,object,stands
xum,sky,object,stands
yam,day,time,stands
