concept,form,shape,role,uses,source,english
fruit,frat,CCVC,entity,42,assigned,fruit fruits
there,kef,CVC,entity,41,pin,there
what,wec,CVC,bare,40,pin,what which
rock,rak,CVC,entity,37,pin,rock rocks
like,lik,CVC,relation,36,pin,like
night,cim,CVC,entity,35,assigned,midnight night tonight
bird,bart,CVCC,entity,34,assigned,bird bird's birds
get,gem,CVC,action,32,pin,get gets getting got
if,yim,CVC,bare,31,assigned,if
look,rim,CVC,action,31,assigned,look looked looking looks
rain,rex,CVC,entity,31,pin,rain rainbow raindrop rained raining rains
more,mop,CVC,bare,30,pin,more
so,wid,CVC,bare,30,assigned,so
when,win,CVC,bare,30,pin,when
tre,taral,CVCVC,entity,29,assigned,trees
river,rivar,CVCVC,entity,28,assigned,river
very,var,CVC,bare,28,assigned,very
water,wot,CVC,entity,28,pin,island water waterfall
animal,nul,CVC,entity,27,assigned,animal animals
home,hom,CVC,entity,27,pin,home
leaf,luf,CVC,entity,27,pin,leaf leafs leaves
let,gif,CVC,bare,27,assigned,let let's
beauty,betal,CVCVC,entity,26,assigned,beautiful beauty
flower,flor,CCVC,entity,26,assigned,flower flowers
want,wint,CVCC,action,26,assigned,want wanted wants
over,vrol,CCVC,relation,25,assigned,over
done,dac,CVC,bare,24,assigned,done
find,fan,CVC,action,24,pin,find finding
good,taf,CVC,feature,24,pin,best good
out,tom,CVC,relation,24,pin,out
some,smal,CCVC,bare,24,assigned,some someone something sometimes somewhere
thing,kim,CVC,entity,24,pin,anything everything something thing things
around,rant,CVCC,relation,23,assigned,around
but,bat,CVC,bare,22,assigned,but
here,heb,CVC,entity,22,pin,here
land,lont,CVCC,entity,22,assigned,desert island land landed landscape
make,biz,CVC,action,22,assigned,made make making
sky,xum,CVC,entity,22,pin,skies sky
too,pix,CVC,bare,21,assigned,too
up,ted,CVC,relation,21,pin,up
down,dot,CVC,relation,20,pin,down
how,tuj,CVC,bare,20,assigned,how
should,gus,CVC,bare,20,assigned,should
star,star,CCVC,entity,20,assigned,star stares stars
walk,lag,CVC,action,20,pin,walk walked walking walks
about,hiv,CVC,relation,19,assigned,about
child,kik,CVC,entity,19,pin,child children
friend,farin,CVCVC,entity,19,assigned,friend friends
most,zij,CVC,bare,19,assigned,most mostly
take,fog,CVC,action,19,pin,take taken took
love,vek,CVC,action,18,assigned,love loving
begin,beg,CVC,action,17,assigned,began begin beginning begins morning
eat,fun,CVC,action,17,assigned,ate eat eaten eating eats
grass,gras,CCVC,entity,17,assigned,grass grasshopper
green,gum,CVC,feature,17,pin,green greener
moon,luq,CVC,entity,17,pin,moon moonlight
must,xiz,CVC,bare,17,assigned,must
through,gar,CVC,relation,17,assigned,through
climb,kalim,CVCVC,action,16,assigned,climb climbed climbing climbs
know,nos,CVC,action,16,pin,know
other,kon,CVC,entity,16,pin,another other others
person,parz,CVCC,entity,16,assigned,anyone everyone people person someone
sit,sital,CVCVC,action,16,assigned,sat sit sits sitting
after,faj,CVC,relation,15,pin,after afternoon tomorrow
before,bex,CVC,relation,15,pin,before yesterday
by,jip,CVC,relation,15,assigned,by
come,koc,CVC,action,15,pin,came come coming
grow,grol,CCVC,action,15,assigned,grew grow growing grown
just,doj,CVC,bare,15,assigned,just
last,last,CVCC,entity,15,assigned,last
light,Ciq,CVC,feature,15,assigned,light lights moonlight sunlight
many,cig,CVC,entity,15,assigned,many
place,pan,CVC,entity,15,pin,everywhere place placed somewhere
who,yig,CVC,bare,15,assigned,who whom
wild,wolid,CVCVC,feature,15,assigned,wild
far,fak,CVC,entity,14,pin,far
jump,dajam,CVCVC,action,14,assigned,jump jumped jumping jumps
keep,kepal,CVCVC,action,14,assigned,keep keeping keeps kept
rabbit,rabat,CVCVC,entity,14,assigned,rabbit rabbit's rabbits
small,smul,CCVC,feature,14,assigned,small
swim,siwam,CVCVC,action,14,assigned,swim swimming swims
two,noc,CVC,bare,14,pin,two
why,won,CVC,bare,14,pin,why
any,nam,CVC,bare,13,pin,any anyone anything
berry,baral,CVCVC,entity,13,assigned,berries berry blackberry raspberry
blue,xaz,CVC,feature,13,pin,blue
dark,ram,CVC,feature,13,pin,dark darker
end,nif,CVC,action,13,pin,end ending endless ends evening
ever,varal,CVCVC,entity,13,assigned,ever
feel,flan,CCVC,action,13,assigned,feel feeling feels felt
mountain,mant,CVCC,entity,13,pin,mountain mountains
plan,blan,CCVC,entity,13,pin,plan planned planning plans
run,rin,CVC,action,13,pin,ran run running runs
sniff,sinaf,CVCVC,entity,13,assigned,sniff
still,stol,CCVC,entity,13,assigned,still
way,tal,CVC,entity,13,pin,way
year,yar,CVC,entity,13,pin,year years
back,gok,CVC,relation,12,pin,back
breeze,barez,CVCVC,entity,12,assigned,breeze
bring,briq,CCVC,action,12,pin,bring bringing brings brought
call,kal,CVC,action,12,pin,call calling
cover,kavar,CVCVC,action,12,assigned,cover covered covers
every,vran,CCVC,bare,12,assigned,every
eye,haq,CVC,entity,12,pin,eyed eyelid eyes
hard,hart,CVCC,feature,12,assigned,hard harder hardly
move,muv,CVC,action,12,pin,move moved moving
play,bul,CVC,action,12,assigned,play playing plays
please,bliz,CCVC,bare,12,pin,please pleased pleasing
shine,kisen,CVCVC,action,12,assigned,shine shined shining shone sunshine
sleep,slep,CCVC,action,12,assigned,sleep sleeping sleeps slept
snow,snol,CCVC,entity,12,assigned,snow snowed
tall,talar,CVCVC,feature,12,assigned,tall tallest
think,snik,CCVC,action,12,assigned,think thought
again,wip,CVC,bare,11,assigned,again
big,pag,CVC,feature,11,assigned,big bigger biggest
bright,mar,CVC,feature,11,pin,bright brightly
cool,gij,CVC,feature,11,assigned,cool
dig,digal,CVCVC,action,11,assigned,dig digging
dirt,darit,CVCVC,entity,11,assigned,dirt
fall,zor,CVC,action,11,pin,fall fallen falling falls waterfall
family,fom,CVC,entity,11,pin,family
give,gev,CVC,action,11,pin,gave give
hear,har,CVC,action,11,assigned,hear heard
hill,halar,CVCVC,entity,11,assigned,hill hills hilltop
house,hosol,CVCVC,entity,11,assigned,house houses
lake,lakal,CVCVC,entity,11,assigned,lake
long,dof,CVC,feature,11,assigned,long longer
path,pax,CVC,entity,11,pin,path
plant,pic,CVC,action,11,assigned,plant planted plants
stay,satal,CVCVC,action,11,assigned,stay stayed staying
warm,hix,CVC,feature,11,assigned,warm warmly warms
where,ziC,CVC,bare,11,assigned,where
away,vav,CVC,relation,10,assigned,away
behind,fud,CVC,relation,10,assigned,behind
cloud,glad,CCVC,entity,10,assigned,cloud cloudless clouds
color,glor,CCVC,entity,10,pin,color colored colorful
dry,dral,CCVC,feature,10,assigned,desert dry
fly,falar,CVCVC,action,10,assigned,flew fly flying
fresh,farek,CVCVC,feature,10,assigned,fresh freshly
little,lital,CVCVC,entity,10,assigned,little
next,nak,CVC,entity,10,pin,next
ocean,sonol,CVCVC,entity,10,assigned,ocean oceans
or,xic,CVC,bare,10,assigned,or
rest,sej,CVC,entity,10,pin,rest restful rests
rise,rez,CVC,action,10,pin,rise rises rising rose sunrise
sea,mimeg,CVCVC,entity,10,assigned,sea
stop,sic,CVC,action,10,pin,stop stopped stops
valley,valor,CVCVC,entity,10,assigned,valley valleys
arc,rikol,CVCVC,entity,9,assigned,arc rainbow
calm,kam,CVC,feature,9,pin,calm calmest
fish,jik,CVC,entity,9,assigned,fish fishes
found,fanad,CVCVC,entity,9,assigned,found
high,Cib,CVC,feature,9,assigned,high higher highest
hot,hot,CVC,feature,9,assigned,hot
near,neb,CVC,relation,9,pin,near neared
old,cid,CVC,feature,9,assigned,old older oldest
three,dez,CVC,bare,9,pin,three
while,yid,CVC,bare,9,assigned,while
winter,winet,CVCVC,entity,9,assigned,winter
wolf,wolaf,CVCVC,entity,9,assigned,wolf wolves
wonder,wenad,CVCVC,action,9,assigned,wonder wondered wonderful wondering
across,grus,CCVC,relation,8,assigned,across
bush,bakas,CVCVC,entity,8,assigned,bush bushes
energy,nej,CVC,entity,8,pin,energy
food,wis,CVC,entity,8,assigned,food
hop,hap,CVC,entity,8,pin,grasshopper hop hopped hopping
life,vit,CVC,entity,8,pin,life lives
live,lival,CVCVC,action,8,assigned,live lived living
never,giC,CVC,bare,8,assigned,never
now,xoq,CVC,entity,8,pin,now
off,von,CVC,relation,8,pin,off
once,nasal,CVCVC,entity,8,assigned,once
parent,sas,CVC,entity,8,pin,parent parents
piece,pesal,CVCVC,entity,8,assigned,piece
red,mim,CVC,feature,8,pin,raspberry red
say,hic,CVC,action,8,assigned,said say
sibling,sibal,CVCVC,entity,8,assigned,sibling sibling's siblings
sound,sum,CVC,entity,8,pin,sound sounded sounds
spring,sipar,CVCVC,entity,8,assigned,spring
until,zeb,CVC,bare,8,assigned,until
use,yuz,CVC,entity,8,pin,use used uses
watch,wud,CVC,action,8,assigned,watch watched watchful watching
white,wiq,CVC,feature,8,pin,white
wind,wont,CVCC,entity,8,assigned,wind
work,work,CVCC,entity,8,assigned,work working works
yet,yetal,CVCVC,entity,8,assigned,yet
along,fup,CVC,relation,7,assigned,along
beach,betak,CVCVC,entity,7,assigned,beach beaches
because,xek,CVC,bare,7,assigned,because
branch,bron,CCVC,entity,7,assigned,branch branches
bug,jif,CVC,entity,7,assigned,bugs butterfly
close,los,CVC,action,7,pin,close closely
dance,danas,CVCVC,action,7,assigned,dance
early,ralar,CVCVC,entity,7,assigned,early
fill,fiq,CVC,action,7,pin,fill filled
help,halep,CVCVC,entity,7,assigned,help helped helpful helps
late,latal,CVCVC,entity,7,assigned,late later
lot,funog,CVCVC,entity,7,assigned,lot lots
need,nid,CVC,action,7,pin,need needs
pond,panad,CVCVC,entity,7,assigned,pond
purple,gis,CVC,feature,7,pin,purple
set,stin,CCVC,entity,7,assigned,set sets setting
sink,sin,CVC,entity,7,pin,sinking sunset
such,zot,CVC,bare,7,assigned,such
summer,samar,CVCVC,entity,7,assigned,summer
than,Cik,CVC,relation,7,assigned,than
then,snar,CCVC,bare,7,assigned,then
travel,tarav,CVCVC,action,7,assigned,travel traveled traveling
try,torul,CVCVC,entity,7,assigned,tried try trying
wait,wet,CVC,action,7,pin,wait waited waiting
weather,wesar,CVCVC,entity,7,assigned,weather
wet,cip,CVC,feature,7,assigned,wet
ahead,hadal,CVCVC,entity,6,assigned,ahead
blossom,balas,CVCVC,entity,6,assigned,blossom blossoming blossoms
care,karal,CVCVC,entity,6,assigned,care careful
cold,kalt,CVCC,feature,6,assigned,cold
dream,drim,CCVC,action,6,pin,dream dreamed dreaming
ear,yip,CVC,entity,6,assigned,ears
enough,buniv,CVCVC,entity,6,assigned,enough
field,cuv,CVC,entity,6,pin,field fields
fire,frul,CCVC,entity,6,assigned,fire
first,farz,CVCC,entity,6,assigned,first
flutter,falat,CVCVC,entity,6,assigned,butterfly flutters
follow,folor,CVCVC,action,6,assigned,follow followed following
hour,haral,CVCVC,entity,6,assigned,hour hours
left,bep,CVC,entity,6,pin,left
lov,laval,CVCVC,entity,6,assigned,loves
may,wif,CVC,bare,6,assigned,may might
much,matak,CVCVC,entity,6,assigned,much
only,gez,CVC,bare,6,assigned,only
open,pot,CVC,action,6,pin,open opened opening
part,par,CVC,entity,6,pin,part parts
pretty,paret,CVCVC,feature,6,assigned,pretty
right,pob,CVC,entity,6,pin,right
self,sef,CVC,entity,6,pin,itself myself ourselves yourself
short,doC,CVC,feature,6,assigned,short
state,sat,CVC,bare,6,pin,state
talk,talak,CVCVC,entity,6,assigned,talk talked talking
well,wolar,CVCVC,entity,6,assigned,well
without,wok,CVC,relation,6,assigned,without
yellow,yul,CVC,feature,6,pin,yellow
air,buf,CVC,entity,5,assigned,air
approach,porat,CVCVC,entity,5,assigned,approaches approaching
black,buz,CVC,feature,5,pin,black blackberry
bloom,bolom,CVCVC,action,5,assigned,bloom bloomed blooms
both,bokol,CVCVC,entity,5,assigned,both
breath,breg,CCVC,entity,5,assigned,breath breathed
clear,kalar,CVCVC,feature,5,assigned,clear clearing
except,kesap,CVCVC,entity,5,assigned,except
favorite,favar,CVCVC,entity,5,assigned,favorite
few,pad,CVC,entity,5,assigned,few
glanc,galan,CVCVC,entity,5,assigned,glanced glances
ground,garon,CVCVC,entity,5,assigned,ground
happy,hapal,CVCVC,feature,5,assigned,happily happiness happy
heavy,heC,CVC,feature,5,assigned,heavily heavy
interest,nitar,CVCVC,entity,5,assigned,interesting
kind,kint,CVCC,entity,5,assigned,kind kinds
large,larag,CVCVC,entity,5,assigned,large larger
leave,yumed,CVCVC,action,5,assigned,leave
maybe,zet,CVC,bare,5,assigned,maybe
middle,mod,CVC,entity,5,pin,middle midnight
nest,nec,CVC,entity,5,pin,nest nests
new,vof,CVC,feature,5,assigned,new
nothing,siz,CVC,entity,5,pin,nothing
often,fatan,CVCVC,entity,5,assigned,often
quick,kiwak,CVCVC,entity,5,assigned,quick quickly
quite,kiwet,CVCVC,entity,5,assigned,quite
ride,ridal,CVCVC,entity,5,assigned,ride riding
smell,semal,CVCVC,entity,5,assigned,smell smelled smells
stream,setar,CVCVC,entity,5,assigned,stream streaming streams
sunny,sanal,CVCVC,entity,5,assigned,sunny
tell,xef,CVC,action,5,assigned,tell
under,jiC,CVC,relation,5,assigned,under
view,salap,CVCVC,entity,5,assigned,landscape view
wake,wek,CVC,entity,5,assigned,wake woke
able,balar,CVCVC,entity,4,assigned,able
above,suz,CVC,relation,4,pin,above
against,Cem,CVC,relation,4,assigned,against
ago,naral,CVCVC,entity,4,assigned,ago
also,cis,CVC,bare,4,assigned,also
ask,skal,CCVC,entity,4,assigned,ask asked
bear,borul,CVCVC,entity,4,assigned,bear bears
bee,jokes,CVCVC,entity,4,assigned,bee bees
beside,best,CVCC,relation,4,assigned,beside
better,patar,CVCVC,entity,4,assigned,better
build,balad,CVCVC,action,4,assigned,build building builds
burrow,boron,CVCVC,entity,4,assigned,burrow burrowed
countryside,konot,CVCVC,entity,4,assigned,countryside
deep,yis,CVC,feature,4,assigned,deep
deer,darul,CVCVC,entity,4,assigned,deer
deliciou,dales,CVCVC,entity,4,assigned,delicious
dense,torep,CVCVC,entity,4,assigned,dense
drink,drin,CCVC,action,4,assigned,drink drinking
drop,darop,CVCVC,action,4,assigned,dropped drops raindrop
earth,wix,CVC,entity,4,assigned,earth
enjoy,nedaj,CVCVC,entity,4,assigned,enjoy enjoyed enjoying enjoys
even,venal,CVCVC,entity,4,assigned,even
floor,volar,CVCVC,entity,4,assigned,floor
foot,vut,CVC,entity,4,assigned,feet
gift,gifat,CVCVC,entity,4,assigned,gift gifts
girl,garol,CVCVC,entity,4,assigned,girl
gold,mus,CVC,entity,4,pin,gold
great,mac,CVC,entity,4,pin,great
hole,holor,CVCVC,entity,4,assigned,hole
hope,hob,CVC,action,4,assigned,hope
huge,hugal,CVCVC,feature,4,assigned,huge
juice,dujis,CVCVC,entity,4,assigned,juice
lie,larud,CVCVC,entity,4,assigned,lies lying
lose,lom,CVC,entity,4,pin,lose lost
lush,lakas,CVCVC,entity,4,assigned,lush
mak,makal,CVCVC,entity,4,assigned,makes
meet,metal,CVCVC,entity,4,assigned,meet met
mind,man,CVC,entity,4,pin,mind minded
mmm,muq,CVC,bare,4,pin,mmm
neither,nesar,CVCVC,entity,4,assigned,neither
order,dor,CVC,entity,4,pin,order orders
own,valig,CVCVC,entity,4,assigned,own
owned,gec,CVC,bare,4,assigned,owned
paw,dalor,CVCVC,entity,4,assigned,paw paws
relax,ralek,CVCVC,entity,4,assigned,relax relaxes
ripe,ripal,CVCVC,feature,4,assigned,ripe
seem,semin,CVCVC,action,4,assigned,seemed seems
several,sevar,CVCVC,entity,4,assigned,several
since,sines,CVCVC,entity,4,assigned,since
sing,sinag,CVCVC,action,4,assigned,sing singing
start,sav,CVC,action,4,pin,start started starting starts
surround,saran,CVCVC,entity,4,assigned,surround surrounded surrounds
sweet,duk,CVC,feature,4,assigned,sweet
tak,tokol,CVCVC,entity,4,assigned,takes
tim,timal,CVCVC,entity,4,assigned,times
together,tagas,CVCVC,entity,4,assigned,together
top,buj,CVC,entity,4,assigned,hilltop top tops
toward,tort,CVCC,relation,4,assigned,toward towards
train,taran,CVCVC,entity,4,assigned,train
usual,salar,CVCVC,entity,4,assigned,usually
visit,visat,CVCVC,entity,4,assigned,visit visited
wish,wikas,CVCVC,entity,4,assigned,wish wished
wood,pux,CVC,entity,4,assigned,wood wooded woods
young,yun,CVC,feature,4,assigned,young younger
abundant,canol,CVCVC,entity,3,assigned,abundant
adventure,davan,CVCVC,entity,3,assigned,adventure
among,mag,CVC,entity,3,pin,among
area,halim,CVCVC,entity,3,assigned,area areas
become,bekom,CVCVC,action,3,assigned,become becoming
below,zis,CVC,relation,3,pin,below
beneath,benak,CVCVC,entity,3,assigned,beneath
beyond,bent,CVCC,relation,3,assigned,beyond
brother,paras,CVCVC,entity,3,assigned,brother
brown,boren,CVCVC,feature,3,assigned,brown
catch,katak,CVCVC,action,3,assigned,catch catches
chance,tekis,CVCVC,entity,3,assigned,chance
clean,glin,CCVC,feature,3,pin,clean
climate,manut,CVCVC,entity,3,assigned,climate
com,kamal,CVCVC,entity,3,assigned,comes
continue,niC,CVC,entity,3,pin,continue
count,kant,CVCC,action,3,assigned,count counted
country,kanat,CVCVC,entity,3,assigned,country
dawn,danal,CVCVC,entity,3,assigned,dawn dawns
despite,desip,CVCVC,entity,3,assigned,despite
drip,darep,CVCVC,action,3,assigned,dripping
duck,dakal,CVCVC,entity,3,assigned,duck ducks
dug,digas,CVCVC,entity,3,assigned,dug
each,had,CVC,entity,3,assigned,each
either,saral,CVCVC,entity,3,assigned,either
else,fos,CVC,entity,3,pin,else
entire,nidor,CVCVC,entity,3,assigned,entire
fast,fast,CVCC,feature,3,assigned,fast
final,final,CVCVC,entity,3,assigned,finally
five,tem,CVC,bare,3,pin,five
flow,fol,CVC,action,3,pin,flowing flows
fragrance,farag,CVCVC,entity,3,assigned,fragrance
fragrant,farig,CVCVC,entity,3,assigned,fragrant
fun,fanal,CVCVC,entity,3,assigned,fun
gentle,genat,CVCVC,feature,3,assigned,gentle
greet,garet,CVCVC,entity,3,assigned,greet greeted
happen,hapan,CVCVC,action,3,assigned,happen happened
hav,haval,CVCVC,entity,3,assigned,having
head,hud,CVC,entity,3,assigned,head
heart,zez,CVC,entity,3,assigned,heart
hence,henas,CVCVC,entity,3,assigned,hence
hide,hidal,CVCVC,entity,3,assigned,hide hiding
howl,holan,CVCVC,entity,3,assigned,howl howled howling
humid,hamad,CVCVC,feature,3,assigned,humid
imagine,xig,CVC,entity,3,pin,imagine imagined
inside,tuq,CVC,relation,3,pin,inside
journey,dajar,CVCVC,entity,3,assigned,journey
lack,laC,CVC,bare,3,pin,lack
least,list,CVCC,entity,3,assigned,least
leg,voj,CVC,entity,3,assigned,legs
low,xeC,CVC,feature,3,assigned,low
magical,magak,CVCVC,entity,3,assigned,magical
man,manal,CVCVC,entity,3,assigned,man men
master,masat,CVCVC,entity,3,assigned,master masters
money,munon,CVCVC,entity,3,assigned,money
nature,nox,CVC,entity,3,pin,nature
noon,nonol,CVCVC,entity,3,assigned,afternoon
nor,narul,CVCVC,entity,3,assigned,nor
number,nub,CVC,entity,3,pin,number
otherwise,xanaf,CVCVC,entity,3,assigned,otherwise
pick,pikal,CVCVC,action,3,assigned,pick picked picking
problem,brab,CCVC,entity,3,pin,problem problems
put,jem,CVC,action,3,assigned,put
reach,retak,CVCVC,action,3,assigned,reach
ready,rodol,CVCVC,entity,3,assigned,ready
real,lev,CVC,entity,3,pin,real really
result,len,CVC,bare,3,pin,result
roll,rolor,CVCVC,entity,3,assigned,roll rolling rolls
rough,parop,CVCVC,entity,3,assigned,rough roughly
sand,sant,CVCC,entity,3,assigned,sand
save,saval,CVCVC,entity,3,assigned,save
scatter,sakat,CVCVC,action,3,assigned,scattered scattering
scenery,senar,CVCVC,entity,3,assigned,scenery
scent,senat,CVCVC,entity,3,assigned,scent
seed,sid,CVC,entity,3,pin,seed seeds
seeming,zamin,CVCVC,entity,3,assigned,seemingly
settle,rekit,CVCVC,action,3,assigned,settle settled settling
shad,kasad,CVCVC,entity,3,assigned,shades
shade,gised,CVCVC,entity,3,assigned,shade shaded
sharp,kasar,CVCVC,entity,3,assigned,sharp
show,kosol,CVCVC,entity,3,assigned,show showed showing
shrub,ziwed,CVCVC,entity,3,assigned,shrubs
sid,sadan,CVCVC,entity,3,assigned,sides
sight,satas,CVCVC,entity,3,assigned,sight
soil,ris,CVC,entity,3,pin,soil
soon,sinal,CVCVC,entity,3,assigned,soon
spent,sepan,CVCVC,entity,3,assigned,spent
stone,ston,CCVC,entity,3,assigned,stone
storm,ganet,CVCVC,entity,3,assigned,storm
study,satad,CVCVC,entity,3,assigned,studied study
sudden,Cemis,CVCVC,entity,3,assigned,sudden suddenly
tea,wikez,CVCVC,entity,3,assigned,tea
thank,kanak,CVCVC,entity,3,assigned,thanked thanks
throw,korol,CVCVC,action,3,assigned,threw throw throws
tid,tidal,CVCVC,entity,3,assigned,tides
tir,tarin,CVCVC,entity,3,assigned,tired
total,tatal,CVCVC,entity,3,assigned,total totally
turn,tup,CVC,action,3,pin,turn turning turns
upon,panal,CVCVC,entity,3,assigned,upon
voice,voz,CVC,entity,3,pin,voice
wav,wival,CVCVC,entity,3,assigned,waves
weekend,wekan,CVCVC,entity,3,assigned,weekend weekends
what',wital,CVCVC,entity,3,assigned,what's
whoo,Ceg,CVC,bare,3,assigned,whoo
window,winod,CVCVC,entity,3,assigned,window windows
wing,cij,CVC,entity,3,assigned,wings
aboard,bared,CVCVC,entity,2,assigned,aboard
activity,katav,CVCVC,entity,2,assigned,activities activity
actual,katal,CVCVC,entity,2,assigned,actually
allow,fisem,CVCVC,entity,2,assigned,allow allowing
already,larad,CVCVC,entity,2,assigned,already
amongst,manag,CVCVC,entity,2,assigned,amongst
anywhere,norol,CVCVC,entity,2,assigned,anywhere
appearance,parun,CVCVC,entity,2,assigned,appearance
argu,ragal,CVCVC,entity,2,assigned,argued argument
aromatic,ramat,CVCVC,feature,2,assigned,aromatic
arriv,biwax,CVCVC,entity,2,assigned,arrived arrives
autumn,taman,CVCVC,entity,2,assigned,autumn
await,yimun,CVCVC,entity,2,assigned,await awaits
bad,fat,CVC,feature,2,pin,bad
ball,bal,CVC,entity,2,pin,ball
bare,baran,CVCVC,entity,2,assigned,bare
believe,balev,CVCVC,action,2,assigned,believe
between,ben,CVC,relation,2,pin,between
bit,vij,CVC,entity,2,pin,bit
blanket,balen,CVCVC,entity,2,assigned,blanket
blend,balon,CVCVC,action,2,assigned,blending
boat,botol,CVCVC,entity,2,assigned,boat
body,vas,CVC,entity,2,pin,body
boom,bum,CVC,bare,2,pin,boom
boy,sinev,CVCVC,entity,2,assigned,boy
breathe,nimed,CVCVC,action,2,assigned,breathe
bud,badal,CVCVC,action,2,assigned,budding
careful,karaf,CVCVC,entity,2,assigned,carefully
cave,xukos,CVCVC,entity,2,assigned,cave
certain,keC,CVC,entity,2,pin,certain
chil,tikas,CVCVC,entity,2,assigned,chilling chilly
chip,xap,CVC,entity,2,pin,chipper chipping
chirp,tokos,CVCVC,entity,2,assigned,chirped chirping
closer,kalas,CVCVC,entity,2,assigned,closer
cloudy,kalad,CVCVC,entity,2,assigned,cloudy
collection,lok,CVC,entity,2,pin,collection collections
contain,toz,CVC,entity,2,pin,containing contains
create,bam,CVC,entity,2,pin,create creating
creation,punev,CVCVC,entity,2,assigned,creation
cricket,karik,CVCVC,entity,2,assigned,crickets
crunch,karan,CVCVC,entity,2,assigned,crunch crunched
curiou,karul,CVCVC,entity,2,assigned,curious
current,koron,CVCVC,entity,2,assigned,currently
cycle,rol,CVC,entity,2,pin,cycle
dad,dad,CVC,entity,2,pin,dad
dash,rolog,CVCVC,entity,2,assigned,dash dashes
decide,desid,CVCVC,entity,2,assigned,decide decided
different,fin,CVC,entity,2,pin,different
distance,nik,CVC,entity,2,pin,distance
draw,dorol,CVCVC,entity,2,assigned,drew
dusk,dasak,CVCVC,entity,2,assigned,dusk dusks
east,rog,CVC,entity,2,pin,east
easy,zonag,CVCVC,feature,2,assigned,easy
elk,likal,CVCVC,entity,2,assigned,elk
enter,nex,CVC,entity,2,pin,enter entered
event,ven,CVC,entity,2,pin,eventful events
expect,gorom,CVCVC,entity,2,assigned,expect
explore,Conar,CVCVC,entity,2,assigned,explore explored
extreme,kesit,CVCVC,entity,2,assigned,extremely
face,fes,CVC,entity,2,pin,face facing
familiar,famal,CVCVC,entity,2,assigned,familiar
father,fasar,CVCVC,entity,2,assigned,father
fear,fren,CCVC,entity,2,assigned,fear
finish,finak,CVCVC,entity,2,assigned,finish finished
flap,kotol,CVCVC,entity,2,assigned,flap flaps
flicker,falik,CVCVC,entity,2,assigned,flicker
flock,falak,CVCVC,entity,2,assigned,flock
four,bov,CVC,bare,2,pin,four
free,farol,CVCVC,feature,2,assigned,free
frog,foreg,CVCVC,entity,2,assigned,frog frogs
gam,gemal,CVCVC,entity,2,assigned,games
gem,gemor,CVCVC,entity,2,assigned,gems
glad,galed,CVCVC,entity,2,assigned,glad
glimmer,wezul,CVCVC,entity,2,assigned,glimmered glimmering
graz,garaz,CVCVC,entity,2,assigned,grazes grazing
half,yiz,CVC,entity,2,assigned,half
hand,hant,CVCC,entity,2,assigned,hand handful
hike,hikal,CVCVC,entity,2,assigned,hike
horizon,haraz,CVCVC,entity,2,assigned,horizon
hunter,hanat,CVCVC,entity,2,assigned,hunter
ice,wiC,CVC,entity,2,assigned,ice iced
imagination,migan,CVCVC,entity,2,assigned,imagination
infinite,gix,CVC,entity,2,pin,infinite
insect,nisek,CVCVC,entity,2,assigned,insects
inspir,nisap,CVCVC,entity,2,assigned,inspired inspiring
instead,niset,CVCVC,entity,2,assigned,instead
join,dajan,CVCVC,entity,2,assigned,join
key,cux,CVC,entity,2,pin,key
