english,base,build,form,uses,note
watching,watch,watch + doing,vifreC,3,
wings,wing,wing + plural,wonmis,3,"stem guessed, review"
living,live,live + doing,livalwareC,3,
waves,wav,wav + plural,wivalmis,3,"stem guessed, review"
gave,give,give + past,givpas,3,
seemingly,seeming,seeming + manner,siwaClhiq,3,"stem guessed, review"
stops,stop,stop,stap,3,
eating,eat,eat + doing,pifreC,3,
finally,final,final + manner,finalhiq,3,"stem guessed, review"
comes,com,com + plural,kamalmis,3,"stem guessed, review"
paws,paw,paw + plural,zetikmis,3,
others,other,other + plural,zormis,3,
seems,seem,seem,semin,3,"stem guessed, review"
growing,grow,grow + doing,grolwareC,3,
legs,leg,leg + plural,lugmis,3,"stem guessed, review"
feels,feel,feel,flan,3,
what's,what',what' + plural,wetarmis,3,"stem guessed, review"
moves,mov,mov + plural,mavalmis,2,"stem guessed, review"
planned,plan,plan + past,palanpas,2,
fallen,fall,fall + done,falardon,2,
gone,go,go + done,cindon,2,
climbed,climb,climb + past,kalimpas,2,
onto,on,on,fim,2,
regarding,regard,regard + doing,regarlreC,2,"stem guessed, review"
versus,versu,versu + plural,varesmis,2,"stem guessed, review"
forests,forest,forest + plural,farasmis,2,
ate,eat,eat + past,pifpas,2,
actually,actual,actual + manner,katalhiq,2,"stem guessed, review"
moved,move,move + past,muvpas,2,
finding,find,find + doing,fintreC,2,
couldn't,not,not,nat,2,
planning,plan,plan + doing,palanreC,2,
moving,move,move + doing,muvreC,2,
sent,send,send + past,sunodpas,2,
budding,bud,bud + doing,badalwareC,2,"stem guessed, review"
blossoming,blossom,blossom + doing,balasreC,2,
scorching,scorch,scorch + doing,sakarlreC,2,"stem guessed, review"
happened,happen,happen + past,hapanpas,2,
following,follow,follow + doing,torenreC,2,
loving,love,love + doing,lovreC,2,
blending,blend,blend + doing,balonreC,2,"stem guessed, review"
blooms,bloom,bloom,bolom,2,
various,variou,variou + plural,varulmis,2,"stem guessed, review"
works,work,work + plural,workmis,2,
weekends,weekend,weekend + plural,wekanmis,2,
runs,run,run,ranal,2,
taken,take,take + done,takdon,2,
i'll,will,will,wol,2,
lost,lose,lose + past,losolpas,2,
shined,shine,shine + past,kisenpas,2,
drew,draw,draw + past,doralpas,2,
laughed,laugh,laugh + past,porinpas,2,"stem guessed, review"
carefully,careful,careful + manner,karevlhiq,2,
waited,wait,wait + past,witalpas,2,
goes,go,go,cin,2,
bugs,bug,bug + plural,fibmis,2,
staying,stay,stay + doing,satalwareC,2,
shining,shine,shine + doing,kisenreC,2,
watched,watch,watch + past,vifpas,2,
towards,toward,toward,tort,2,
rushing,rush,rush + doing,nagaCreC,2,"stem guessed, review"
flowing,flow,flow + doing,flunreC,2,"stem guessed, review"
fields,field,field + plural,falidmis,2,
species,specy,specy + plural,sepikmis,2,"stem guessed, review"
colorful,color,color + full,glarfal,2,
curious,curiou,curiou + plural,karulmis,2,"stem guessed, review"
happily,happy,happy + manner,hapalhiq,2,
unusually,unusual,unusual + manner,nosolhiq,2,"stem guessed, review"
fishes,fish,fish + plural,fikmis,2,
peacefully,peaceful,peaceful + manner,pesaflhiq,2,"stem guessed, review"
currently,current,current + manner,karunhiq,2,"stem guessed, review"
scattered,scatter,scatter + past,sakatpas,2,
ducks,duck,duck + plural,dakalmis,2,
reptiles,reptil,reptil + plural,repitmis,2,"stem guessed, review"
playfully,playful,playful + manner,palaflhiq,2,"stem guessed, review"
tried,try,try + past,torulpas,2,
shines,shin,shin + plural,dekijmis,2,"stem guessed, review"
stones,ston,ston + plural,pikutmis,2,"stem guessed, review"
games,gam,gam + plural,gemalmis,2,"stem guessed, review"
thanks,thank,thank + plural,ginekmis,2,"stem guessed, review"
siblings,sibling,sibling + plural,sibalmis,2,
counted,count,count + past,kantpas,2,
brightly,bright,bright + manner,marhiq,2,
woods,wood,wood + plural,hizmis,2,
likes,lik,lik + plural,lukalmis,2,"stem guessed, review"
extremely,extreme,extreme + manner,kesithiq,2,"stem guessed, review"
swims,swim,swim,siwam,2,
stayed,stay,stay + past,satalpas,2,
insects,insect,insect + plural,nisekmis,2,"stem guessed, review"
ending,end,end + doing,fiqreC,2,
gems,gem,gem + plural,horatmis,2,"stem guessed, review"
bees,bee,bee + plural,carakmis,2,
drops,drop,drop,darop,2,
seeds,seed,seed + plural,sedmis,2,
doesn't,not,not,nat,2,
traveled,travel,travel + past,taravpas,2,
jumping,jump,jump + doing,dajamreC,2,
asked,ask,ask + past,skulpas,2,
stopped,stop,stop + past,staplpas,2,
orders,order,order + plural,rudmis,2,
gifts,gift,gift + plural,gifatmis,2,
pleased,please,please + past,polzpas,2,
happiness,happy,happy + state,hapalsut,2,
mine,me,me,mib,2,
grown,grow,grow + done,groldon,2,
falls,fall,fall,falar,2,
flew,fly,fly + past,folorpas,2,
traveling,travel,travel + doing,taravreC,2,
valleys,valley,valley + plural,valormis,2,
lakes,lak,lak + plural,likalmis,2,"stem guessed, review"
surrounded,surround,surround + past,saranpas,2,
trying,try,try + doing,torulwareC,2,
grasshoppers,grasshopper,grasshopper + plural,graslhapmis,2,
toes,toe,toe + plural,yitmis,2,"stem guessed, review"
keeps,keep,keep,kepal,2,
sinking,sink,sink + doing,senikreC,2,
becoming,become,become + doing,bekomreC,2,
endless,end,end + lack,fiqleg,2,
needs,need,need,nid,2,
totally,total,total + manner,tatalhiq,2,
slowly,slow,slow + manner,slorhiq,2,"stem guessed, review"
rays,ray,ray + plural,yawikmis,2,"stem guessed, review"
kept,keep,keep + past,kepalpas,2,
wilderness,wilder,wilder + state,wolodsut,2,"stem guessed, review"
crickets,cricket,cricket + plural,karikmis,2,"stem guessed, review"
jumps,jump,jump,dajam,1,
biggest,big,big + most,bokmaz,1,
calling,call,call + doing,kalwareC,1,
calmest,calm,calm + most,kamlmaz,1,
talked,talk,talk + past,talakpas,1,
minutes,minut,minut + plural,manatmis,1,"stem guessed, review"
older,old,old + more,bemlib,1,
slept,sleep,sleep + past,sleplpas,1,
sits,sit,sit,sital,1,
aren't,not,not,nat,1,
equally,equal,equal + manner,kewalhiq,1,"stem guessed, review"
shone,shine,shine + past,kisenpas,1,
lots,lot,lot + plural,nolimlmis,1,
hers,she,she,kes,1,
bigger,big,big + more,boklib,1,
probably,probab,probab + manner,borabhiq,1,"stem guessed, review"
working,work,work + doing,workreC,1,
rooms,room,room + plural,romolmis,1,
realizing,realiz,realiz + doing,ralozreC,1,"stem guessed, review"
truly,tru,tru + manner,taromhiq,1,"stem guessed, review"
savers,saver,saver + plural,wolanmis,1,"stem guessed, review"
leafs,leaf,leaf + plural,lefmis,1,
turning,turn,turn + doing,dranreC,1,
shoes,sho,sho + plural,xewodmis,1,"stem guessed, review"
entered,enter,enter + past,nadarpas,1,
pleasing,please,please + doing,polzreC,1,
wondering,wonder,wonder + doing,wenadreC,1,
evolved,evolv,evolv + past,valevpas,1,"stem guessed, review"
finished,finish,finish + past,finakpas,1,
picking,pick,pick + doing,pikalwareC,1,
amazing,amaz,amaz + doing,mazalwareC,1,"stem guessed, review"
excitement,excite,excite + result,nolenres,1,"stem guessed, review"
rained,rain,rain + past,rinpas,1,
mostly,most,most + manner,mazlhiq,1,
higher,high,high + more,diflib,1,
eaten,eat,eat + done,pifdon,1,
settled,settle,settle + past,nekatpas,1,
players,player,player + plural,yolormis,1,"stem guessed, review"
helped,help,help + past,haleplpas,1,
throws,throw,throw,korol,1,
wisely,wise,wise + manner,wisalhiq,1,"stem guessed, review"
routines,routin,routin + plural,jisacmis,1,"stem guessed, review"
forgot,forget,forget + past,foregpas,1,
tree's,tree,tree + owned,tarpeb,1,
attempted,attempt,attempt + past,tamaplpas,1,"stem guessed, review"
conditions,condition,condition + plural,lokarmis,1,"stem guessed, review"
limited,limit,limit + past,rokorpas,1,"stem guessed, review"
shopping,shop,shop + doing,ziwoCreC,1,"stem guessed, review"
jeans,jean,jean + plural,gitarmis,1,"stem guessed, review"
writes,writ,writ + plural,pizeCmis,1,"stem guessed, review"
brushes,brush,brush + plural,porikmis,1,"stem guessed, review"
teeth,tooth,tooth + plural,xiyeqmis,1,
catches,catch,catch,katak,1,
clothes,cloth,cloth + plural,galokmis,1,"stem guessed, review"
smells,smell,smell + plural,semalmis,1,
truthful,truth,truth + full,coragfal,1,"stem guessed, review"
we'll,will,will,wol,1,
i'm,be,be,biq,1,
waiting,wait,wait + doing,witalwareC,1,
promised,promis,promis + past,parimpas,1,"stem guessed, review"
petals,petal,petal + plural,polamlmis,1,"stem guessed, review"
shivered,shiver,shiver + past,kisevpas,1,"stem guessed, review"
chilly,chil,chil + manner,tikaslhiq,1,"stem guessed, review"
checked,check,check + past,tigevpas,1,"stem guessed, review"
divided,divid,divid + past,divadpas,1,"stem guessed, review"
groups,group,group + plural,gropmis,1,"stem guessed, review"
met,meet,meet + past,mitalpas,1,
arrived,arriv,arriv + past,hiyoCpas,1,"stem guessed, review"
enjoys,enjoy,enjoy + plural,nedajmis,1,
cooking,cook,cook + doing,kakolwareC,1,"stem guessed, review"
boots,boot,boot + plural,maraqmis,1,"stem guessed, review"
hours,hour,hour + plural,haralmis,1,
meaning,mean,mean + doing,jewadreC,1,"stem guessed, review"
showing,show,show + doing,kosolwareC,1,
argument,argu,argu + result,ragalwares,1,"stem guessed, review"
describing,describ,describ + doing,desikreC,1,"stem guessed, review"
events,event,event + plural,venatmis,1,"stem guessed, review"
enjoyed,enjoy,enjoy + past,nedajpas,1,
rabbit's,rabbit,rabbit + owned,rabatpeb,1,
activities,activity,activity + plural,katavmis,1,
there's,be,be,biq,1,
cloudless,cloud,cloud + lack,gladleg,1,
raining,rain,rain + doing,rinreC,1,
darker,dark,dark + more,ramlib,1,
standing,stand,stand + doing,xiyoCreC,1,
chipping,chip,chip + doing,tokosreC,1,"stem guessed, review"
buried,bury,bury + past,Ciyospas,1,"stem guessed, review"
dropped,drop,drop + past,daroplpas,1,
houses,house,house + plural,hosolmis,1,
harder,hard,hard + more,hartlib,1,
highest,high,high + most,difmaz,1,
threw,throw,throw + past,korolpas,1,
isn't,not,not,nat,1,
disappeared,disappear,disappear + past,vizedpas,1,"stem guessed, review"
building,build,build + doing,baladreC,1,
pieces,piec,piec + plural,zayacmis,1,"stem guessed, review"
chairs,chair,chair + plural,tikozmis,1,"stem guessed, review"
breathed,breath,breath + past,brekpas,1,
lily,ly,ly + manner,wezorhiq,1,"stem guessed, review"
islands,island,island + plural,mitlontmis,1,
beaches,beach,beach + plural,betakmis,1,
absolutely,absolute,absolute + manner,basalhiq,1,"stem guessed, review"
crammed,cram,cram + past,karampas,1,"stem guessed, review"
oasis,oasi,oasi + plural,giwejmis,1,"stem guessed, review"
blossoms,blossom,blossom + plural,balasmis,1,
scorpions,scorpion,scorpion + plural,boropmis,1,"stem guessed, review"
numerous,numerou,numerou + plural,zijosmis,1,"stem guessed, review"
regions,region,region + plural,reginmis,1,
dashes,dash,dash + plural,digasmis,1,
chirping,chirp,chirp + doing,tigesreC,1,"stem guessed, review"
chilling,chil,chil + doing,tikasreC,1,"stem guessed, review"
fearlessly,fearless,fearless + manner,forulhiq,1,"stem guessed, review"
frogs,frog,frog + plural,forogmis,1,
trilling,tril,tril + doing,dolepreC,1,"stem guessed, review"
amazingly,amazing,amazing + manner,mazanhiq,1,
grazing,graz,graz + doing,garazreC,1,"stem guessed, review"
chasing,chas,chas + doing,nikazreC,1,"stem guessed, review"
contains,contain,contain + plural,gibegmis,1,"stem guessed, review"
howling,howl,howl + doing,holinreC,1,
caused,caus,caus + past,bikajpas,1,"stem guessed, review"
noises,noise,noise + plural,nisormis,1,"stem guessed, review"
slopes,slop,slop + plural,siyocmis,1,"stem guessed, review"
approaching,approach,approach + doing,barotreC,1,"stem guessed, review"
hopping,hop,hop + doing,hapreC,1,
joyously,joyous,joyous + manner,dajaslhiq,1,"stem guessed, review"
mice,mouse,mouse + plural,mosolmis,1,
squeaking,squeak,squeak + doing,jukizreC,1,"stem guessed, review"
drinking,drink,drink + doing,drinreC,1,
merrily,merry,merry + manner,marulhiq,1,"stem guessed, review"
builds,build,build,balad,1,
twigs,twig,twig + plural,morucmis,1,"stem guessed, review"
snores,snor,snor + plural,vizanmis,1,"stem guessed, review"
rolls,roll,roll + plural,rolormis,1,
blissfully,blissful,blissful + manner,veyoflhiq,1,"stem guessed, review"
harvested,harvest,harvest + past,haravpas,1,"stem guessed, review"
moths,moth,moth + plural,macmis,1,"stem guessed, review"
speaks,speak,speak,spek,1,"stem guessed, review"
skies,sky,sky + plural,skalmis,1,
clearing,clear,clear + doing,kalarlreC,1,
yours,you,you,gin,1,
wakes,wak,wak + plural,wekarmis,1,"stem guessed, review"
welcoming,welcome,welcome + doing,yiwemreC,1,
cubes,cub,cub + plural,fiyucmis,1,"stem guessed, review"
closely,close,close + manner,gloslhiq,1,
sets,set,set + plural,stonmis,1,
gives,giv,giv + plural,givalmis,1,"stem guessed, review"
crossed,cros,cros + past,Cesoplpas,1,"stem guessed, review"
howled,howl,howl + past,holinpas,1,
sounded,sound,sound + past,santpas,1,
thanked,thank,thank + past,ginekpas,1,"stem guessed, review"
started,start,start + past,zotpas,1,
enjoying,enjoy,enjoy + doing,nedajreC,1,
windows,window,window + plural,winodmis,1,
slightly,slight,slight + manner,yewimhiq,1,"stem guessed, review"
chirped,chirp,chirp + past,tigespas,1,"stem guessed, review"
fed,fe,fe + past,carogpas,1,"stem guessed, review"
collections,collection,collection + plural,kalakmis,1,
kinds,kind,kind + plural,kintmis,1,
occurs,occur,occur + plural,karinmis,1,"stem guessed, review"
roughly,rough,rough + manner,bamalhiq,1,
bringing,bring,bring + doing,barinreC,1,
days,day,day + plural,sigmis,1,
uses,use,use + plural,yuwagmis,1,
twinkles,twinkl,twinkl + plural,tiwanmis,1,"stem guessed, review"
reading,read,read + doing,redusreC,1,
rings,ring,ring + plural,bikoxmis,1,"stem guessed, review"
plays,play,play,xib,1,
lives,life,life + plural,vitmis,1,
freshly,fresh,fresh + manner,farekhiq,1,
picked,pick,pick + past,pikalpas,1,
hides,hid,hid + plural,cizupmis,1,"stem guessed, review"
members,member,member + plural,memabmis,1,"stem guessed, review"
creatures,creatur,creatur + plural,karedmis,1,"stem guessed, review"
refreshing,refresh,refresh + doing,xesakreC,1,"stem guessed, review"
glimmered,glimmer,glimmer + past,galempas,1,"stem guessed, review"
bubbles,bubbl,bubbl + plural,ziyuvmis,1,"stem guessed, review"
boils,boil,boil + plural,balamlmis,1,"stem guessed, review"
helpful,help,help + full,halepfal,1,
fully,ful,ful + manner,zexizlhiq,1,"stem guessed, review"
ripened,ripen,ripen + past,yiwospas,1,"stem guessed, review"
climates,climat,climat + plural,kolomlmis,1,"stem guessed, review"
vastness,vast,vast + state,vasatsut,1,"stem guessed, review"
glimmering,glimmer,glimmer + doing,galemreC,1,"stem guessed, review"
starting,start,start + doing,zotreC,1,
warms,warm,warm + plural,cigmis,1,
begins,begin,begin,pog,1,
clashes,clash,clash + plural,kalukmis,1,"stem guessed, review"
fiercefully,fierceful,fierceful + manner,farislhiq,1,"stem guessed, review"
raindrops,raindrop,raindrop + plural,rindaropmis,1,
scattering,scatter,scatter + doing,sakatreC,1,
wags,wag,wag + plural,wigalmis,1,"stem guessed, review"
patted,pat,pat + past,patanpas,1,"stem guessed, review"
squirrels,squirrel,squirrel + plural,toronmis,1,"stem guessed, review"
grazes,graz,graz + plural,garazmis,1,"stem guessed, review"
dawns,dawn,dawn + plural,danalmis,1,
relaxes,relax,relax + plural,ralekmis,1,
dusks,dusk,dusk + plural,dasakmis,1,
sleeps,sleep,sleep,slep,1,
ends,end,end,fiq,1,
flaps,flap,flap + plural,coyuvmis,1,
touches,touch,touch,Cisup,1,
rhythmically,rhythmical,rhythmical + manner,fiyejlhiq,1,"stem guessed, review"
pats,pat,pat + plural,patanmis,1,"stem guessed, review"
reveals,reveal,reveal + plural,kewuqmis,1,"stem guessed, review"
stares,star,star + plural,starmis,1,
grizzly,grizz,grizz + manner,viyaClhiq,1,"stem guessed, review"
bears,bear,bear + plural,borulmis,1,
eats,eat,eat,pif,1,
chills,chill,chill + plural,Corulmis,1,"stem guessed, review"
weaves,weav,weav + plural,tekuCmis,1,"stem guessed, review"
moment,mo,mo + result,dekoCres,1,"stem guessed, review"
plans,plan,plan + plural,palanmis,1,
pushed,push,push + past,pikespas,1,
arrives,arriv,arriv + plural,hiyoCmis,1,"stem guessed, review"
refuses,refuse,refuse + plural,refusmis,1,"stem guessed, review"
he's,be,be,biq,1,
worried,worry,worry + past,worulpas,1,
turns,turn,turn,dran,1,
suddenly,sudden,sudden + manner,viyaflhiq,1,
strayed,stray,stray + past,hokulpas,1,"stem guessed, review"
king's,king',king' + plural,tolubmis,1,"stem guessed, review"
wished,wish,wish + past,wikaspas,1,
gazing,gaz,gaz + doing,gizenreC,1,"stem guessed, review"
argued,argu,argu + past,ragalpas,1,"stem guessed, review"
doubts,doubt,doubt + plural,dabatmis,1,"stem guessed, review"
climbs,climb,climb,kalim,1,
hopefully,hopeful,hopeful + manner,hapaflhiq,1,"stem guessed, review"
exactly,exact,exact + manner,kesakhiq,1,"stem guessed, review"
talking,talk,talk + doing,talakreC,1,
visited,visit,visit + past,visatpas,1,
flows,flow,flow,flun,1,"stem guessed, review"
setting,set,set + doing,stonreC,1,
reflecting,reflect,reflect + doing,refalwareC,1,"stem guessed, review"
appearing,appear,appear + doing,poralwareC,1,"stem guessed, review"
layer,lay,lay + more,zeyaClib,1,
dangles,dangl,dangl + plural,siyaCmis,1,"stem guessed, review"
rose,rise,rise + past,risalpas,1,
shaded,shade,shade + past,gisedpas,1,
singing,sing,sing + doing,sanagreC,1,
landed,land,land + past,lontpas,1,
gracefully,graceful,graceful + manner,tiwejlhiq,1,
formed,form,form + past,frimpas,1,"stem guessed, review"
eyed,eye,eye + past,haqpas,1,
reminded,remind,remind + past,reminpas,1,
floating,float,float + doing,folotreC,1,"stem guessed, review"
gently,gent,gent + manner,feyoclhiq,1,"stem guessed, review"
handful,hand,hand + full,hantfal,1,
iced,ice,ice + past,Cikpas,1,
whom,who,who,sib,1,
younger,young,young + more,yanlib,1,
placed,place,place + past,blaspas,1,
colored,color,color + past,glarpas,1,
returned,return,return + past,retarpas,1,"stem guessed, review"
showed,show,show + past,kosolpas,1,
flutters,flutter,flutter + plural,falatmis,1,
graceful,grace,grace + full,jiwutfal,1,"stem guessed, review"
bloomed,bloom,bloom + past,bolompas,1,
waded,wad,wad + past,wedalpas,1,"stem guessed, review"
socks,sock,sock + plural,sikemlmis,1,"stem guessed, review"
glowing,glow,glow + doing,golonreC,1,"stem guessed, review"
foothills,foothill,foothill + plural,xayacmis,1,"stem guessed, review"
tossed,tos,tos + past,zikenpas,1,"stem guessed, review"
spoke,speak,speak + past,spekpas,1,
greener,green,green + more,gunlib,1,
dangerous,dangerou,dangerou + plural,danagmis,1,"stem guessed, review"
snakes,snak,snak + plural,zunikmis,1,"stem guessed, review"
rising,rise,rise + doing,risalwareC,1,
smelled,smell,smell + past,semalpas,1,
wildflowers,wildflower,wildflower + plural,woletmis,1,"stem guessed, review"
led,le,le + past,morunpas,1,"stem guessed, review"
basking,bask,bask + doing,besigreC,1,"stem guessed, review"
nests,nest,nest + plural,nestmis,1,
crunched,crunch,crunch + past,karanpas,1,
soaked,soak,soak + past,sokolpas,1,"stem guessed, review"
beginning,begin,begin + doing,pogreC,1,
lies,lie,lie + plural,xayeCmis,1,"stem guessed, review"
hilly,hil,hil + manner,halonhiq,1,"stem guessed, review"
wooded,wood,wood + past,hizpas,1,
bird's,bird,bird + owned,bartpeb,1,
studied,study,study + past,satadpas,1,
completely,complete,complete + manner,komophiq,1,"stem guessed, review"
inspiring,inspir,inspir + doing,nisapreC,1,"stem guessed, review"
streams,stream,stream + plural,setarmis,1,
lived,live,live + past,livalpas,1,
beating,beat,beat + doing,taredreC,1,"stem guessed, review"
rolling,roll,roll + doing,rolorlreC,1,
glorious,gloriou,gloriou + plural,nekajmis,1,"stem guessed, review"
powerful,power,power + full,porfal,1,"stem guessed, review"
opened,open,open + past,ponpas,1,
blinked,blink,blink + past,bolunpas,1,"stem guessed, review"
streaming,stream,stream + doing,setarlreC,1,
decides,decid,decid + plural,jiyovmis,1,"stem guessed, review"
men,man,man + plural,manalmis,1,
began,begin,begin + past,pogpas,1,
tops,top,top + plural,kiCmis,1,
soothing,sooth,sooth + doing,sakasreC,1,"stem guessed, review"
greeted,greet,greet + past,gorotpas,1,
neared,near,near + past,norpas,1,
creaking,creak,creak + doing,garakreC,1,"stem guessed, review"
brings,bring,bring,barin,1,
meadows,meadow,meadow + plural,medalmis,1,
melted,melt,melt + past,maletpas,1,"stem guessed, review"
peeked,peek,peek + past,molubpas,1,"stem guessed, review"
lined,lin,lin + past,zeyocpas,1,"stem guessed, review"
imagined,imagine,imagine + past,miganpas,1,
zipped,zip,zip + past,zipalpas,1,"stem guessed, review"
ranges,rang,rang + plural,rinagmis,1,"stem guessed, review"
skipped,skip,skip + past,sikaplpas,1,"stem guessed, review"
chewing,chew,chew + doing,golukreC,1,"stem guessed, review"
pitched,pitch,pitch + past,woritpas,1,"stem guessed, review"
loudly,loud,loud + manner,Cayojlhiq,1,"stem guessed, review"
later,late,late + more,latalrlib,1,
hopped,hop,hop + past,haplpas,1,
eagerly,eager,eager + manner,gorulhiq,1,"stem guessed, review"
perches,perch,perch + plural,boratmis,1,"stem guessed, review"
followed,follow,follow + past,torenpas,1,
looks,look,look,lok,1,
licks,lick,lick + plural,likulmis,1,"stem guessed, review"
rubs,rub,rub + plural,rabalmis,1,"stem guessed, review"
seemed,seem,seem + past,seminpas,1,"stem guessed, review"
heavily,heavy,heavy + manner,hivlhiq,1,
hardly,hard,hard + manner,harthiq,1,
containing,contain,contain + doing,gibegreC,1,"stem guessed, review"
however,though,though,ten,1,
basically,basical,basical + manner,pesikhiq,1,"stem guessed, review"
walks,walk,walk,wolak,1,
roses,rose,rose + plural,nikaxmis,1,
helps,help,help + plural,halepmis,1,
thankfully,thankful,thankful + manner,viyovlhiq,1,"stem guessed, review"
oldest,old,old + most,bemlmaz,1,
changing,chang,chang + doing,tikezreC,1,"stem guessed, review"
feeling,feel,feel + doing,flanreC,1,
really,real,real + manner,ralhiq,1,
sibling's,sibling,sibling + owned,sibalpeb,1,
matters,matter,matter + plural,matarmis,1,
dreamed,dream,dream + past,darempas,1,
snowed,snow,snow + past,snulpas,1,
wearing,wear,wear + doing,worenreC,1,"stem guessed, review"
hiding,hide,hide + doing,hidalwareC,1,
rotting,rot,rot + doing,ratanreC,1,"stem guessed, review"
parts,part,part + plural,bratmis,1,
decided,decide,decide + past,desidpas,1,
