rock,certainty,atoms,invented,moon,english
dub,held,1,0,rub,logarithm
duf,held,1,0,luf,far (large-distance-focus)
dug,held,1,0,dug,drink
dug,held,1,0,log,permute
dug,held,1,0,log,bet (gamble)
dug,held,1,0,log,murmur
dug,held,1,0,log,glimmer
dug,held,1,0,rog,thirteen
dug,held,1,0,rug,this
duj,held,1,0,luj,logic
duk,held,1,0,duk,minute
duk,held,1,0,lok,place (space location)
duk,held,1,0,luk,look
duk,held,1,0,ruk,location
dum,held,1,0,dom,state
dum,held,1,0,dum,negative
dum,held,1,0,lom,plural (many)
dum,held,1,0,lum,branch
dum,held,1,0,rum,realm
dun,held,1,0,dun,join (to one)
dun,held,1,0,lon,loan
dun,held,1,0,lun,moon
dun,held,1,0,luq,question
dun,held,1,0,ron,environment
dun,held,1,0,run,glyph
dup,held,1,0,lup,loop
dup,held,1,0,rup,right (time)
dus,held,1,0,dus,reduce
dus,held,1,0,los,less of (-less) empty
dus,held,1,0,ros,force
duv,held,1,0,rov,copper
duv,held,1,0,ruv,local
dux,held,1,0,dux,condition (general state)
dux,held,1,0,lox,string (computing)
duz,held,1,0,doz,here
duz,held,1,0,duz,do
duz,held,1,0,roz,rose
duz,held,1,0,ruz,consonant
fak,held,1,0,fak,fuck
fam,held,1,0,fam,family
fan,held,1,0,fan,find
faz,held,1,0,faz,green
fid,held,1,0,fid,next
fid,held,1,0,fid,food
fid,held,1,0,fil,feel
fik,held,1,0,fek,fake
fim,held,1,0,fim,female
fis,held,1,0,fes,face
fit,held,1,0,fet,eight
fix,held,1,0,fix,belief
fud,held,1,0,for,fire
fud,held,1,0,ful,fuel
fud,held,1,0,fur,fail
fug,held,1,0,fug,figure (it out)
fuj,held,1,0,fuj,refuge
fuk,held,1,0,fok,halt
fun,held,1,0,fon,device
fun,held,1,0,fun,within (endo-)
fun,held,1,0,fun,would
fun,held,1,0,fun,wind (air)
fun,held,1,0,fuq,function
fup,held,1,0,fup,borrow
fus,held,1,0,fos,else
fus,held,1,0,fus,discontinuous
fut,held,1,0,fot,right (direction)
fut,held,1,0,fut,bad
fuz,held,1,0,fuz,fusion
gab,held,1,0,gab,eat
gad,held,1,0,gad,god
gad,held,1,0,gal,too
gad,held,1,0,gar,language
gan,held,1,0,gan,garden
gav,held,1,0,gav,how (missing-action-focus)
gaz,held,1,0,gaC,gather
gaz,held,1,0,gaz,possess
gib,held,1,0,gib,guide
gid,held,1,0,gir,that
gif,held,1,0,gif,give
gim,held,1,0,gem,game
gim,held,1,0,gim,magic
gin,held,1,0,gin,sync
gis,held,1,0,gis,will (future)
git,held,1,0,git,infinite
giz,held,1,0,giz,position
gub,held,1,0,gub,like (filler)
gud,held,1,0,god,gold
gud,held,1,0,gol,goal
gud,held,1,0,gul,exponent
guj,held,1,0,guj,memory
gum,held,1,0,gum,come
gun,held,1,0,goq,job
gun,held,1,0,gun,representation
gus,held,1,0,gus,back (front)
gut,held,1,0,got,antenna
gut,held,1,0,gut,gut
guv,held,1,0,guv,end
guz,held,1,0,guz,lose
jak,held,1,0,jak,wisdom
jan,held,1,0,jan,spirit
jan,held,1,0,jaq,count
jas,held,1,0,jas,just (close-focus)
jid,held,1,0,jil,stream
jin,held,1,0,jin,paradise
jit,held,1,0,jet,throw
jit,held,1,0,jit,digit
jud,held,1,0,jul,universe
jud,held,1,0,jul,flow
jum,held,1,0,jom,pattern
kab,held,1,0,kab,receive
kad,held,1,0,had,head
kad,held,1,0,hal,how
kad,held,1,0,har,era
kad,held,1,0,kal,time
kad,held,1,0,kar,call
kaf,held,1,0,kaf,cough
kam,held,1,0,ham,hmm
kam,held,1,0,kam,calm
kan,held,1,0,han,zero
kan,held,1,0,kan,aggregate
kan,held,1,0,kaq,object
kap,held,1,0,hap,event
kas,held,1,0,has,hyper
kat,held,1,0,hat,at
kat,held,1,0,kat,focus
kax,held,1,0,kax,perfect
kaz,held,1,0,haz,have
kaz,held,1,0,kaz,cause
kid,held,1,0,hid,not hidden
kid,held,1,0,hir,hear
kid,held,1,0,kid,could
kid,held,1,0,kil,cyan
kim,held,1,0,hem,hey
kim,held,1,0,him,nothing
kim,held,1,0,kim,climb
kin,held,1,0,heq,hang
kin,held,1,0,hin,hi
kin,held,1,0,ken,communicate
kin,held,1,0,kiq,action
kip,held,1,0,hip,group
kip,held,1,0,kep,clone
kip,held,1,0,kip,tune
kis,held,1,0,his,snake
kis,held,1,0,kes,case (situation)
kis,held,1,0,kis,bottom
kit,held,1,0,hit,heat
kit,held,1,0,ket,but
kiv,held,1,0,kiv,intent
kix,held,1,0,hix,peach (color)
kix,held,1,0,kix,process
kiz,held,1,0,hez,every
kiz,held,1,0,kiz,if
kub,held,1,0,hub,x-axis
kub,held,1,0,kub,cube
kud,held,1,0,hod,period of x (-hood)
kud,held,1,0,hol,whole
kud,held,1,0,hud,hide
kud,held,1,0,kod,code
kud,held,1,0,kol,all
kud,held,1,0,kud,miss (didn't touch)
kud,held,1,0,kul,cool (interjection)
kud,held,1,0,kur,down
kuf,held,1,0,kof,default
kuf,held,1,0,kuf,clue
kuj,held,1,0,koj,fool
kum,held,1,0,hom,home
kum,held,1,0,hum,urge
kum,held,1,0,kom,five
kum,held,1,0,kum,back area
kun,held,1,0,hoq,hold
kun,held,1,0,hun,illusion
kun,held,1,0,huq,uh
kun,held,1,0,kon,and
kun,held,1,0,kuq,manner
kup,held,1,0,hop,hope
kup,held,1,0,kop,scope
kup,held,1,0,kup,tone
kus,held,1,0,kus,constant
kut,held,1,0,hut,heed
kuv,held,1,0,hov,floating point
kuv,held,1,0,huv,handle
kuv,held,1,0,kov,cover
kuv,held,1,0,kuv,divide
kux,held,1,0,kox,cell (biology)
kuz,held,1,0,hoz,cardinal number
kuz,held,1,0,huz,duration
kuz,held,1,0,koz,z-axis
mab,held,1,0,mab,source
mad,held,1,0,mad,middle
mad,held,1,0,mal,molecule
mad,held,1,0,mar,symbol
mad,held,1,0,wal,while
mad,held,1,0,war,wear
maf,held,1,0,maf,male
mag,held,1,0,mag,fruit
maj,held,1,0,maj,magenta
mak,held,1,0,mak,meat
mak,held,1,0,wak,walk
man,held,1,0,man,mind
man,held,1,0,maq,harmony
man,held,1,0,wan,why
man,held,1,0,waq,um
map,held,1,0,map,map (map/reduce)
mas,held,1,0,mac,great
mat,held,1,0,mat,forward
mat,held,1,0,wat,white
mav,held,1,0,mav,many
mav,held,1,0,wav,exist
maz,held,1,0,maz,flow (speech utterance)
maz,held,1,0,waC,water
mid,held,1,0,mid,positive
mid,held,1,0,mir,bright
mig,held,1,0,wig,kaleidoscope
mij,held,1,0,mej,model
mik,held,1,0,mek,make
mik,held,1,0,wek,week
min,held,1,0,men,main
min,held,1,0,meq,mine
min,held,1,0,min,not know
min,held,1,0,miq,motion
min,held,1,0,win,when (time location)
min,held,1,0,wiq,wing
mis,held,1,0,mes,month
mis,held,1,0,mis,miss (longing)
mis,held,1,0,wis,inverse
mit,held,1,0,mit,meet
mit,held,1,0,wet,wait
miv,held,1,0,miv,idea
miv,held,1,0,wev,wave
miv,held,1,0,wiv,connection network (neighborhood)
mix,held,1,0,mix,network
miz,held,1,0,wez,fifteen
miz,held,1,0,wiz,solve
mud,held,1,0,mod,mode
mud,held,1,0,mol,high
mud,held,1,0,mor,the model of the action (e.g. the transform)
mud,held,1,0,mud,mood
mud,held,1,0,mul,unreal
mud,held,1,0,wol,wow
mud,held,1,0,wor,forceful (like hard hit)
mug,held,1,0,mog,meaning
mug,held,1,0,mug,(past particle)
mug,held,1,0,wug,emanate
muj,held,1,0,moj,emerge
muj,held,1,0,muj,message
muk,held,1,0,mok,align
muk,held,1,0,muk,earth (dirt)
mun,held,1,0,moq,about/encompass
mun,held,1,0,mun,gut sense
mun,held,1,0,muq,mmm
mun,held,1,0,wun,woo
mup,held,1,0,mop,twelve
mus,held,1,0,muc,mouth
mus,held,1,0,mus,mercy
mut,held,1,0,mot,mountain
mut,held,1,0,mut,mutate
mut,held,1,0,wut,what
muv,held,1,0,muv,move
mux,held,1,0,mox,immutable
mux,held,1,0,wux,system
muz,held,1,0,moz,hash
muz,held,1,0,muz,pain
muz,held,1,0,woz,problem
nad,held,1,0,nal,neutral
nad,held,1,0,nar,person
nak,held,1,0,nak,knock
nam,held,1,0,nam,name
nas,held,1,0,nas,nest
nav,held,1,0,nav,center
naz,held,1,0,naz,as
nid,held,1,0,ned,static
nid,held,1,0,nid,need
nid,held,1,0,nir,nerd
nif,held,1,0,nif,a (isolated-element-focus)
nik,held,1,0,nek,neck
nik,held,1,0,nik,pink
nip,held,1,0,nep,nature
nis,held,1,0,nes,nice
nit,held,1,0,net,knit
niv,held,1,0,nev,off
nix,held,1,0,nix,listen
niz,held,1,0,niz,nest (structure)
nub,held,1,0,nub,separate
nud,held,1,0,nol,toward
nud,held,1,0,nul,forget
nuj,held,1,0,nuj,hell
num,held,1,0,num,know
nup,held,1,0,nop,no
nus,held,1,0,nuc,long
nut,held,1,0,not,note
nuv,held,1,0,nuv,empty
nux,held,1,0,nox,notion
nuz,held,1,0,noz,nose
nuz,held,1,0,nuz,distribute
pad,held,1,0,par,depart/from
pak,held,1,0,pak,package
pam,held,1,0,pam,pray
pan,held,1,0,pan,yes
pan,held,1,0,paq,response
pas,held,1,0,pac,path
pas,held,1,0,pas,space
pat,held,1,0,pat,dimension
pik,held,1,0,pik,master
pim,held,1,0,pem,they (communicating-agent-external-reference-focus)
pim,held,1,0,pim,permeate
pin,held,1,0,peq,pay
pin,held,1,0,piq,request
pit,held,1,0,pit,pure
pud,held,1,0,pod,free
pud,held,1,0,por,poor
pud,held,1,0,pul,pull
pum,held,1,0,pom,different
pum,held,1,0,pum,time (count)
put,held,1,0,pot,honorific (address)
sab,held,1,0,sab,describe
sad,held,1,0,cad,life
sad,held,1,0,sal,like (similar)
sad,held,1,0,sar,surf
sag,held,1,0,sag,beyond (extra- or hyper-)
saj,held,1,0,saj,etc
sak,held,1,0,cak,thank
sam,held,1,0,cam,then
sam,held,1,0,sam,sound
san,held,1,0,san,sun
san,held,1,0,saq,song
sap,held,1,0,sap,present (now)
sat,held,1,0,cat,mud
sat,held,1,0,sat,sight
sav,held,1,0,sav,silver
sax,held,1,0,sax,wash
sid,held,1,0,sid,seed
sid,held,1,0,sil,more (-er)
sif,held,1,0,sef,continue
sif,held,1,0,sif,purple
sig,held,1,0,sig,front
sik,held,1,0,sek,percept
sik,held,1,0,sik,seek
sim,held,1,0,sem,same (sym-)
sin,held,1,0,ciq,thing (hatchling)
sip,held,1,0,sep,swipe
sip,held,1,0,sip,asleep
sit,held,1,0,cit,get
sit,held,1,0,sit,medium
siv,held,1,0,sev,save
siv,held,1,0,siv,perceive
six,held,1,0,six,all encompasing thing
sub,held,1,0,cub,torture
sub,held,1,0,sub,I
sud,held,1,0,sod,mystery
sud,held,1,0,sol,soul
sud,held,1,0,sor,file (computer)
sud,held,1,0,sul,still (time)
sud,held,1,0,sur,assert
sud,held,1,0,sur,out
suf,held,1,0,sof,each
suf,held,1,0,suf,self (auto-)
sug,held,1,0,sog,reason
suk,held,1,0,cok,spec
suk,held,1,0,cuk,eleven
suk,held,1,0,sok,around/surround
suk,held,1,0,suk,top
sum,held,1,0,som,drug
sup,held,1,0,sop,so/transition
sup,held,1,0,sup,above (super)/hover
sut,held,1,0,sut,store
suv,held,1,0,cov,brown
suv,held,1,0,cuv,field (ether)
suv,held,1,0,suv,observe
sux,held,1,0,cux,key
tab,held,1,0,tab,stable
taf,held,1,0,taf,good
taj,held,1,0,taj,down (to be cool with something)
tak,held,1,0,tak,talk
tam,held,1,0,tam,meditate
tan,held,1,0,taq,tongue
tas,held,1,0,tac,set (get)
tas,held,1,0,tas,test
tif,held,1,0,tef,left
tik,held,1,0,tek,take
tim,held,1,0,tim,team
tin,held,1,0,ten,tan (color)
tin,held,1,0,teq,like (as if)
tin,held,1,0,tin,between
tin,held,1,0,tiq,mental experience
tip,held,1,0,tip,step
tis,held,1,0,tic,fourteen
tiv,held,1,0,tiv,conscious
tix,held,1,0,tix,tingle
tiz,held,1,0,tiz,ellipse
tub,held,1,0,tub,tube
tuk,held,1,0,tok,structure
tum,held,1,0,tom,atom
tun,held,1,0,ton,agent (one who does x)
tun,held,1,0,tuq,type
tup,held,1,0,tup,impure
tus,held,1,0,tos,task
tus,held,1,0,tuc,emotion
tuv,held,1,0,tuv,input (computing)
tux,held,1,0,tox,text
tux,held,1,0,tux,intuition
tuz,held,1,0,toz,position (cardinal)
tuz,held,1,0,tuz,because
vab,held,1,0,vab,vibe
vad,held,1,0,val,value
vad,held,1,0,var,variable
vak,held,1,0,vak,multiply
van,held,1,0,van,having the nature of (-ivity)
vas,held,1,0,vas,aspect
vat,held,1,0,vat,body
vax,held,1,0,vax,it
vib,held,1,0,veb,byte
vid,held,1,0,ved,study or science of (-ology)
vid,held,1,0,vid,veer
vid,held,1,0,vil,manifest
vid,held,1,0,vir,remote (far)
vig,held,1,0,vig,start
vik,held,1,0,vek,filter
vim,held,1,0,vim,way/style
vin,held,1,0,vin,fill (-full)
vin,held,1,0,viq,everything
vip,held,1,0,vip,six
vis,held,1,0,ves,vessel
vis,held,1,0,vic,bit
vis,held,1,0,vis,see
vit,held,1,0,vit,information
vix,held,1,0,vex,reveal
vix,held,1,0,vix,preserve
vud,held,1,0,vod,void
vud,held,1,0,vul,via
vug,held,1,0,vog,black
vun,held,1,0,von,sin
vun,held,1,0,vun,on
vun,held,1,0,vuq,data
vun,held,1,0,vuq,foundation
vus,held,1,0,vuc,catch
vus,held,1,0,vus,flex
vut,held,1,0,vot,vote
vuz,held,1,0,voz,voice
xab,held,1,0,xab,seven
xad,held,1,0,xal,share
xad,held,1,0,yad,away
xad,held,1,0,yal,turquoise
xad,held,1,0,yar,year
xam,held,1,0,xam,chime
xam,held,1,0,xam,heaven
xam,held,1,0,yam,day
xan,held,1,0,yan,vehicle
xan,held,1,0,yaq,permanent
xap,held,1,0,yap,yep
xat,held,1,0,xat,or
xat,held,1,0,yat,way
xid,held,1,0,xed,should
xid,held,1,0,xid,grey
xik,held,1,0,xik,computation
xim,held,1,0,xim,speech
xim,held,1,0,yem,yum (food)
xin,held,1,0,xen,result
xin,held,1,0,xin,machine
xin,held,1,0,xiq,will
xin,held,1,0,yiq,impermanent
xip,held,1,0,xip,imagine
xis,held,1,0,xic,eye
xit,held,1,0,xit,provide
xit,held,1,0,yit,night
xiv,held,1,0,xiv,destroy
xiv,held,1,0,yev,sort
xud,held,1,0,xol,show
xud,held,1,0,xud,quiet
xud,held,1,0,xul,subtract
xud,held,1,0,yol,yell
xud,held,1,0,yul,polynomial
xug,held,1,0,yog,practice of focusing on x (-ism)
xuk,held,1,0,xok,copy
xum,held,1,0,xom,now
xum,held,1,0,xum,sky
xun,held,1,0,xun,change
xup,held,1,0,xup,ship
xus,held,1,0,yuc,with (con-)
xut,held,1,0,xut,shout
xut,held,1,0,xut,shelter
xut,held,1,0,yut,yet
xuv,held,1,0,xuv,return
xuv,held,1,0,yov,of
xuv,held,1,0,yuv,view
xuz,held,1,0,yuz,use
zab,held,1,0,zab,public
zad,held,1,0,Car,there (abstract reference)
zad,held,1,0,Car,other
zad,held,1,0,zar,vowel
zaf,held,1,0,zaf,equal (iso-)
zak,held,1,0,zak,effect
zan,held,1,0,Can,than/compare
zan,held,1,0,zan,one
zan,held,1,0,zaq,presence
zap,held,1,0,zap,zap
zav,held,1,0,zav,lie
zid,held,1,0,zil,perspective
zid,held,1,0,zir,pertaining to x (pleasantry)
zig,held,1,0,zig,gain
zim,held,1,0,zem,plasma (matter)
zim,held,1,0,zim,pleasure
zin,held,1,0,zin,decision
zin,held,1,0,ziq,zing
zip,held,1,0,zip,graph
zit,held,1,0,zet,olive (color)
ziv,held,1,0,Cev,without
zub,held,1,0,zub,absorb
zud,held,1,0,zul,animal
zud,held,1,0,zur,fall
zug,held,1,0,Cog,though/regard
zuk,held,1,0,zok,try
zuk,held,1,0,zuk,where
zum,held,1,0,zom,so/great
zum,held,1,0,zum,zoom
zun,held,1,0,Con,transition
zun,held,1,0,zon,zone
zut,held,1,0,zut,identity
zux,held,1,0,zox,sense
bad.bad,held,2,0,barbar,stutter
bad.bam,restored,2,2,barb,barb
bad.but,held,2,0,balbut,bulb
bad.jim,held,2,0,badjim,mix
bad.jud,held,2,0,badjur,badger
bad.mab,restored,2,2,blab,blob
bad.mad,restored,2,2,bard,b sound
bad.mad,restored,2,2,barl,bare
bad.mad,restored,2,2,bral,ball
bad.mad,restored,2,1,baral,barrel
bad.maj,restored,2,1,baraj,barrage
bad.mak,restored,2,2,brak,bacteria
bad.mak,restored,2,1,barak,bless
bad.man,restored,2,1,badan,bide
bad.man,restored,2,1,baran,barren
bad.man,held,2,0,barman,table
bad.mas,restored,2,2,barc,birth
bad.mat,restored,2,2,brat,big
bad.mat,restored,2,1,balat,tile
bad.max,restored,2,1,badax,bud (flower)
bad.maz,restored,2,2,braz,box
bad.maz,restored,2,1,balaz,bawl
bad.mid,restored,2,2,bred,braid
bad.mif,restored,2,2,brif,brief
bad.mig,restored,2,2,brig,insecta
bad.mik,restored,2,2,brek,break (pieces)
bad.min,restored,2,2,bleq,eject
bad.min,restored,2,2,blin,belly
bad.min,restored,2,2,bren,brain
bad.min,restored,2,2,briq,bring
bad.min,restored,2,1,baliq,bully
bad.min,restored,2,1,bariq,berry
bad.mip,restored,2,2,brip,beep
bad.mit,restored,2,2,blet,bait
bad.mit,restored,2,2,brit,orbit
bad.miv,restored,2,2,brev,brave
bad.mix,restored,2,1,balix,embellish
bad.miz,restored,2,2,bliz,our
bad.miz,restored,2,2,briz,simple
bad.mub,restored,2,2,brob,decimal
bad.mud,restored,2,2,blor,blur
bad.mud,restored,2,2,brod,bone
bad.mud,restored,2,2,brol,brow
bad.muf,restored,2,2,blof,blow
bad.muk,restored,2,2,bruk,beak
bad.mun,restored,2,2,broq,membrane
bad.mun,restored,2,1,balon,bile
bad.mun,restored,2,1,barun,baryon
bad.mut,restored,2,2,blut,butt
bad.mut,restored,2,1,balut,bout
bad.muz,restored,2,2,bloC,blood
bad.muz,restored,2,2,bloz,boson
bad.muz,restored,2,2,bruz,buzz
bad.nim,restored,2,2,blim,beam
bad.nit,held,2,0,barnet,barn
bad.num,restored,2,2,blum,bloom
bad.vam,restored,2,2,barv,duck (bird)
bad.zak,held,2,0,barzak,barrier
bad.zin,held,2,0,balzeq,assure
bad.zin,held,2,0,balziq,guarantee
baf.mik,held,2,0,bafmik,buff (strength)
baf.mud,restored,2,1,bafol,baffle
bag.mun,restored,2,1,bagon,bag
bak.fad,held,2,0,bakfar,backfire
bak.mad,restored,2,1,bakal,bike
bak.mad,restored,2,1,bakar,inspect
bak.mak,restored,2,1,bakak,hatch (egg)
bak.man,restored,2,1,bakan,pecan
bak.mid,restored,2,1,bakir,senior (rank)
bak.mud,restored,2,1,bakol,buckle
bak.mup,restored,2,1,bakop,balk
bak.pak,held,2,0,bakpak,backpack
bak.pid,held,2,0,bakpid,backpedal
bak.sam,restored,2,2,baks,rectangle
bak.tan,held,2,0,baktan,portion
bak.tim,held,2,0,baktim,fond
bam.bam,strained,2,3,bab,father
bam.bud,restored,2,1,babol,bubble
bam.bun,restored,2,1,babun,baboon
bam.buz,held,2,0,bambuz,bamboozle
bam.nap,restored,2,1,bamap,stage
bam.pam,restored,2,2,bamp,bump
bam.pas,restored,2,1,bapas,bypass
ban.bin,held,2,0,banben,variant
ban.dam,restored,2,2,band,band (group)
ban.din,held,2,0,bandiq,band (mark)
ban.din,held,2,0,banlin,transact
ban.fut,held,2,0,banfut,bat (action)
ban.man,restored,2,1,banan,banana
ban.mis,restored,2,1,banic,beneath
ban.xin,held,2,0,banxiq,deform
ban.xud,held,2,0,banxol,wrench (move with force)
ban.zap,held,2,0,banzap,bounce
bas.kam,restored,2,2,bask,otherwise
bas.kin,held,2,0,baskin,bask
bas.mad,restored,2,1,basal,own
bas.mas,restored,2,1,basac,quest
bas.mid,restored,2,1,basir,well-seeing
bas.mun,restored,2,1,bason,bustle
bas.tam,restored,2,2,bast,prime
bas.tan,held,2,0,bastan,bust
bas.tik,held,2,0,bastik,bust (action)
bat.mik,restored,2,1,batik,watermelon
bat.mud,restored,2,1,batol,bottle
bat.mud,restored,2,1,bator,batter
bat.mud,restored,2,1,batul,birch (tree)
bat.num,restored,2,1,batum,fellow
bat.sak,held,2,0,batsak,dough
bat.sam,held,2,0,batcam,batcam
bat.xam,restored,2,2,batx,bat (animal)
bat.xat,held,2,0,batxat,batch
bav.man,restored,2,1,bavan,dwell
bax.mad,restored,2,1,baxal,ripe
bax.mid,restored,2,1,baxir,herald
baz.mud,held,2,0,baCmol,cotton
baz.nis,held,2,0,baznis,business
bid.jup,held,2,0,bedjup,tragic
bid.mad,restored,2,2,bild,build
bid.mad,restored,2,1,bidal,beetle
bid.mad,restored,2,1,bilar,beware
bid.man,restored,2,1,belan,bail
bid.man,restored,2,1,bilaq,belong
bid.man,restored,2,1,biran,inevitable
bid.mas,restored,2,2,birs,beer
bid.mat,restored,2,1,bidat,stoke
bid.mat,restored,2,1,bilat,ability
bid.maz,restored,2,1,bidaz,bedazzle
bid.mit,restored,2,1,belit,belittle
bid.mit,restored,2,1,biret,berate
bid.miv,restored,2,1,biriv,bereave
bid.mud,restored,2,1,bedul,battle
bid.mud,restored,2,1,birur,inquiry
bid.mun,restored,2,1,bedoq,wiggle
bid.mun,restored,2,1,beloq,bellow
bid.mun,restored,2,1,bidon,fiction
bid.mun,restored,2,1,bilon,bill (money)
bid.mun,restored,2,1,biloq,billow
bid.nam,restored,2,1,bilam,brake
big.man,restored,2,1,began,pessimistic
big.min,restored,2,1,begin,begin
big.vun,held,2,0,bigvun,go on
bij.man,restored,2,1,bejan,beige
bik.mad,restored,2,1,bikar,bicker
bik.man,restored,2,1,bekan,beckon
bik.min,restored,2,1,bekin,bake
bik.mis,restored,2,1,bikic,bequeath
bik.miv,restored,2,1,bihev,behave
bik.nam,restored,2,1,bikam,become
bik.xun,held,2,0,bikxun,beg
bim.bam,strained,2,3,beb,baby
bim.bam,strained,2,3,bib,we
bim.bin,restored,2,1,beben,babe
bim.bun,restored,2,1,bibun,bib
bim.bun,restored,2,1,bimon,bemoan
bim.pam,strained,2,3,bip,output
bin.dam,restored,2,2,bend,bend
bin.gan,held,2,0,biqgan,cookie
bin.kat,held,2,0,beqkat,bank (holding)
bin.man,restored,2,1,binan,benign
bin.mat,restored,2,1,binat,violate
bin.mit,restored,2,1,binit,bean
bis.kam,restored,2,2,besk,basic
bis.mad,restored,2,1,bisal,match (competition)
bis.man,held,2,0,bisman,horror
bis.mit,restored,2,1,biset,beset
bis.muv,restored,2,1,bicuv,behoove
bis.tam,restored,2,2,bist,beast
bit.man,restored,2,1,betan,bat (hit with stick)
bit.man,restored,2,1,bitan,beet
bit.mud,restored,2,1,betor,bet
bit.mud,restored,2,1,bitor,bitter
bit.muk,restored,2,1,bituk,accent
bit.xin,held,2,0,bitxiq,beach
biv.mad,restored,2,1,bival,bevel
biz.dak,held,2,0,biClak,plead
biz.mad,restored,2,1,bizar,bizarre
biz.mik,restored,2,1,bezik,cup
bud.bid,held,2,0,burbir,barbarian
bud.juk,held,2,0,budjuk,remedy
bud.mad,restored,2,2,bold,10^30
bud.mad,restored,2,2,borl,boil
bud.man,restored,2,1,bodan,bode
bud.man,restored,2,1,bolaq,bow (arrow)
bud.map,restored,2,2,borp,burp
bud.mig,restored,2,1,borig,screw (bolt)
bud.min,restored,2,1,bulin,buoy
bud.nam,restored,2,2,born,bury
bud.zam,restored,2,2,borz,poison
bug.min,restored,2,1,bugiq,bug (bother)
buk.mad,restored,2,1,bukad,buck
bum.bam,strained,2,3,bub,boob
bum.pam,strained,2,3,bup,energy
bun.dam,restored,2,2,bund,boundary
bun.duk,held,2,0,bunduk,hazelnut
bun.zam,restored,2,2,bunz,boon
bus.tam,restored,2,2,bust,burst
but.xin,held,2,0,botxiq,fickle
but.xun,held,2,0,butxoq,augment
buv.min,restored,2,1,bovin,bovinae
buv.mud,restored,2,1,bovor,buffer
dab.mak,restored,2,1,dabak,adhere
dab.mat,restored,2,1,rabat,rabbit
dab.min,restored,2,1,labin,lobby
dab.mit,restored,2,1,dabit,debit
dab.miv,restored,2,1,dabiv,dub
dab.mud,restored,2,1,rabor,rob
dab.mut,restored,2,1,labot,fan (action)
daf.mad,restored,2,1,rafad,rife
daf.mad,restored,2,1,rafal,mist
daf.mak,restored,2,1,rafak,raisard
daf.mit,restored,2,1,dafit,defeat
daf.mud,restored,2,1,rafol,ruffle
daf.muz,restored,2,1,dafuz,diffuse
daf.tam,restored,2,2,laft,laugh
