root_a,english_a,root_b,english_b,distance,placed
zof,against,zov,quite,1,neither hand placed
zof,against,zuf,buy,1,neither hand placed
kan,aggregate,kaq,object,1,both hand placed
kan,aggregate,ken,communicate,1,both hand placed
kan,aggregate,kon,and,1,both hand placed
jibz,aggressive,xibz,scan,1,neither hand placed
jibz,aggressive,jidz,tuck,1,neither hand placed
blex,agitated,brex,awe,1,neither hand placed
blex,agitated,plex,tremble,1,neither hand placed
blex,agitated,blix,tempt,1,neither hand placed
sin,ago,siq,brother,1,neither hand placed
kek,agree,kik,kick,1,both hand placed
zog,ah,zok,try,1,one hand placed
zog,ah,zug,cool,1,neither hand placed
Ceps,aha,veps,battery,1,neither hand placed
Ceps,aha,zeps,motive,1,neither hand placed
Ceps,aha,ceps,purchase,1,neither hand placed
Ceps,aha,jeps,vital,1,neither hand placed
Ceps,aha,Cips,reserve,1,neither hand placed
soqk,aid,zoqk,maintain,1,neither hand placed
soqk,aid,suqk,drill,1,neither hand placed
hond,aim,hont,urgent,1,neither hand placed
hond,aim,hund,sample,1,neither hand placed
les,air,lez,card,1,one hand placed
les,air,res,honor,1,one hand placed
les,air,lis,swear,1,one hand placed
desk,alarm,disk,discover,1,one hand placed
grev,alas,krev,crave,1,one hand placed
grev,alas,griv,grieve,1,one hand placed
koqk,alcohol,kuqk,crystal,1,neither hand placed
palv,alert,talv,convince,1,neither hand placed
palv,alert,parv,threat,1,neither hand placed
palv,alert,polv,series,1,neither hand placed
riC,algorithm,riz,rise,1,both hand placed
riC,algorithm,ric,straight,1,both hand placed
wolk,alias,work,scrape,1,neither hand placed
kebz,alien,kedz,tent,1,neither hand placed
kebz,alien,kibz,noon,1,neither hand placed
fis,alive,fiz,food,1,neither hand placed
fis,alive,vis,see,1,one hand placed
kol,all,kor,both,1,one hand placed
djaC,allegiance,djaz,joy,1,one hand placed
djaC,allegiance,djac,paw,1,neither hand placed
djaC,allegiance,djav,propaganda,1,neither hand placed
djaC,allegiance,djaj,wage,1,neither hand placed
djaC,allegiance,djeC,pupil,1,neither hand placed
djaC,allegiance,djoC,distinct,1,neither hand placed
kleb,allergy,kled,silicon,1,neither hand placed
kleb,allergy,klep,stalk,1,neither hand placed
kleb,allergy,klib,posture,1,neither hand placed
korv,alley,kurv,curve,1,one hand placed
norg,allow,nork,nor,1,one hand placed
stid,alloy,stit,clasp,1,neither hand placed
frox,allure,vrox,width,1,neither hand placed
frox,allure,frux,bask,1,neither hand placed
gusk,ally,kusk,rape,1,neither hand placed
zup,almost,zut,identity,1,one hand placed
kag,alone,kak,turn,1,neither hand placed
kag,alone,keg,front,1,one hand placed
ked,already,ket,but,1,one hand placed
soz,also,suz,town,1,one hand placed
rarb,altar,rorb,herb,1,neither hand placed
ledz,alter,redz,tumor,1,neither hand placed
ledz,alter,lidz,valve,1,neither hand placed
glef,alternate,gref,contribute,1,neither hand placed
glef,alternate,glev,dent,1,neither hand placed
glef,alternate,klef,feeble,1,neither hand placed
glef,alternate,glif,chalk,1,neither hand placed
grib,altitude,grid,inspire,1,neither hand placed
sniC,alto,snic,coarse,1,neither hand placed
sniC,alto,snij,oval,1,neither hand placed
sniC,alto,sniz,peninsula,1,neither hand placed
sniC,alto,sniv,smut,1,neither hand placed
naq,always,neq,help,1,neither hand placed
smiq,amaze,sniq,explicit,1,neither hand placed
vrax,ambiguous,vrex,feces,1,neither hand placed
vrax,ambiguous,vrox,width,1,neither hand placed
smav,ammonia,snav,knuckle,1,neither hand placed
smav,ammonia,smev,carcass,1,neither hand placed
smav,ammonia,smov,extravagant,1,neither hand placed
gorf,among,gorv,lift,1,neither hand placed
gorf,among,korf,version,1,neither hand placed
barg,amount,parg,century,1,neither hand placed
barg,amount,bark,channel,1,neither hand placed
barg,amount,darg,meal,1,neither hand placed
barg,amount,borg,rob,1,neither hand placed
trot,amp,trut,imitate,1,neither hand placed
braq,amuse,draq,mush,1,neither hand placed
braq,amuse,breq,jug,1,neither hand placed
braq,amuse,broq,membrane,1,one hand placed
bev,ancestor,pev,even,1,neither hand placed
bev,ancestor,dev,item,1,neither hand placed
bev,ancestor,biv,module,1,neither hand placed
jolf,anchor,jorf,concrete,1,neither hand placed
jolf,anchor,jolv,income,1,neither hand placed
jolf,anchor,xolf,perspective,1,neither hand placed
xant,ancient,xent,ash,1,one hand placed
xant,ancient,xont,convenient,1,one hand placed
snet,anesthetic,snit,drought,1,neither hand placed
homp,angle,hump,stretch,1,neither hand placed
pluv,anguish,pruv,prove,1,one hand placed
zul,animal,zur,fall,1,both hand placed
forf,announce,vorf,absolute,1,neither hand placed
forf,announce,forv,retire,1,neither hand placed
blev,annoy,brev,brave,1,one hand placed
blev,annoy,plev,crocodile,1,neither hand placed
blev,annoy,bliv,tornado,1,neither hand placed
snoC,anomaly,snoz,approximate,1,neither hand placed
snoC,anomaly,snov,composite,1,neither hand placed
snoC,anomaly,snoc,compulsion,1,neither hand placed
snoC,anomaly,snoj,slander,1,neither hand placed
snoC,anomaly,snuC,keel,1,neither hand placed
vad,answer,vat,body,1,one hand placed
vad,answer,vod,void,1,one hand placed
yolv,ant,yorv,vow,1,neither hand placed
got,antenna,gut,gut,1,both hand placed
flag,anti,frag,hierarchy,1,neither hand placed
flag,anti,fleg,intermittent,1,neither hand placed
flag,anti,flog,creak,1,neither hand placed
blep,anticipate,blet,bait,1,one hand placed
blep,anticipate,blip,inspect,1,neither hand placed
spab,anus,spad,sphincter,1,neither hand placed
spab,anus,stab,stab,1,one hand placed
spab,anus,speb,ornament,1,neither hand placed
spab,anus,spob,brood,1,neither hand placed
segz,anxious,zegz,thunder,1,neither hand placed
segz,anxious,sigz,awkward,1,neither hand placed
nark,any,nork,nor,1,both hand placed
sad,anyone,zad,far,1,neither hand placed
sad,anyone,sed,nobody,1,neither hand placed
sad,anyone,sod,mystery,1,one hand placed
pep,anything,pip,individual,1,one hand placed
prat,apart,trat,tight,1,both hand placed
fluv,apathy,fruv,accumulate,1,neither hand placed
heps,ape,hets,hood,1,one hand placed
heps,ape,hips,apology,1,one hand placed
hips,apology,hits,strip,1,neither hand placed
smab,apparatus,snab,archive,1,neither hand placed
smab,apparatus,smad,horizontal,1,neither hand placed
smab,apparatus,smap,remainder,1,neither hand placed
smab,apparatus,smeb,cylinder,1,neither hand placed
smab,apparatus,smob,rite,1,neither hand placed
wobz,apparent,wodz,hull,1,neither hand placed
wobz,apparent,wubz,donate,1,neither hand placed
fleC,appear,flev,depict,1,one hand placed
fleC,appear,flez,oat,1,one hand placed
dedj,appendage,tedj,attempt,1,one hand placed
dedj,appendage,didj,lesson,1,one hand placed
brag,appendix,brak,bacteria,1,one hand placed
brag,appendix,drag,cramp,1,neither hand placed
brag,appendix,prag,pig,1,one hand placed
xagz,appetite,xegz,snack,1,neither hand placed
xagz,appetite,xogz,slice,1,neither hand placed
volp,applause,vorp,elephant,1,neither hand placed
volp,applause,volt,volt,1,one hand placed
bodj,apple,dodj,below,1,neither hand placed
bodj,apple,budj,cancer,1,neither hand placed
vend,apply,vent,hammer,1,neither hand placed
vend,apply,vind,capital,1,neither hand placed
txat,appoint,txet,shit,1,one hand placed
txat,appoint,txot,loose,1,one hand placed
leb,appreciate,led,bar,1,neither hand placed
leb,appreciate,lep,push,1,one hand placed
leb,appreciate,reb,stick,1,neither hand placed
leb,appreciate,lib,surprise,1,neither hand placed
peft,approach,teft,revenge,1,neither hand placed
peft,approach,pift,bowl,1,neither hand placed
vosk,approve,vusk,ouch,1,neither hand placed
snoz,approximate,snuz,mammal,1,neither hand placed
steq,arbitrary,stiq,squish,1,neither hand placed
snab,archive,snap,snap,1,one hand placed
snab,archive,snad,twirl,1,neither hand placed
snab,archive,sneb,starch,1,neither hand placed
snab,archive,snob,singular,1,neither hand placed
mint,area,nint,pregnant,1,neither hand placed
glib,arena,grib,altitude,1,neither hand placed
glib,arena,glid,heave,1,neither hand placed
glib,arena,glip,lip,1,one hand placed
glib,arena,klib,posture,1,neither hand placed
smex,arithmetic,snex,dialect,1,neither hand placed
smex,arithmetic,smix,frail,1,neither hand placed
marb,arm,marp,contact,1,neither hand placed
marb,arm,mard,cry,1,neither hand placed
marb,arm,morb,pal,1,neither hand placed
poz,around,puz,house,1,neither hand placed
hent,arrange,hint,hint,1,one hand placed
tomp,arrive,tump,title,1,neither hand placed
ribz,arrogant,ridz,marker,1,neither hand placed
jift,arrow,xift,shift,1,one hand placed
djun,arson,djuq,wiggle,1,neither hand placed
meqk,art,neqk,chair,1,neither hand placed
meqk,art,miqk,who,1,one hand placed
yubz,artery,yudz,evolution,1,neither hand placed
spom,artifact,stom,install,1,one hand placed
spom,artifact,spon,poise,1,neither hand placed
spom,artifact,spoq,tact,1,neither hand placed
spom,artifact,spum,soot,1,neither hand placed
naz,as,nez,other,1,one hand placed
naz,as,noz,nose,1,both hand placed
prax,ash,trax,revive,1,one hand placed
prax,ash,prex,precious,1,both hand placed
xent,ash,xint,investigate,1,neither hand placed
xask,ask,xesk,associate,1,one hand placed
xask,ask,xosk,nickel,1,one hand placed
sip,asleep,zip,graph,1,both hand placed
sip,asleep,sit,medium,1,both hand placed
vas,aspect,vaz,hurry,1,one hand placed
vas,aspect,ves,vessel,1,both hand placed
djeq,assemble,djiq,lime,1,neither hand placed
sur,assert,zur,fall,1,both hand placed
druq,assign,truq,pulp,1,neither hand placed
flav,assimilate,frav,compress,1,neither hand placed
flav,assimilate,flev,depict,1,neither hand placed
flav,assimilate,flov,critique,1,neither hand placed
xesk,associate,xisk,faint,1,neither hand placed
golf,assume,gorf,among,1,neither hand placed
golf,assume,kolf,design,1,neither hand placed
golf,assume,golv,toast,1,neither hand placed
txaq,assurance,txoq,voluntary,1,neither hand placed
lodj,athlete,rodj,contempt,1,neither hand placed
lodj,athlete,ludj,rehearse,1,neither hand placed
fugz,atmosphere,vugz,produce,1,neither hand placed
totx,attach,tutx,cruel,1,one hand placed
tedj,attempt,tidj,pipe,1,neither hand placed
biks,attitude,diks,engine,1,neither hand placed
biks,attitude,piks,glory,1,neither hand placed
yaqk,attract,yeqk,poke,1,neither hand placed
yaqk,attract,yoqk,sane,1,neither hand placed
skev,attribute,skiv,relapse,1,neither hand placed
yalz,audio,yarz,satisfy,1,neither hand placed
spaq,audit,staq,toil,1,neither hand placed
spaq,audit,speq,confound,1,neither hand placed
spaq,audit,spoq,tact,1,neither hand placed
trof,aura,trov,acre,1,neither hand placed
trof,aura,truf,transparent,1,neither hand placed
jidj,author,xidj,impact,1,neither hand placed
peps,authority,pets,shadow,1,neither hand placed
peps,authority,pips,delicious,1,neither hand placed
Cagz,automatic,zagz,pile,1,neither hand placed
Cagz,automatic,cagz,prophecy,1,neither hand placed
Cagz,automatic,vagz,tend,1,neither hand placed
Cagz,automatic,jagz,zip,1,neither hand placed
Cagz,automatic,Cegz,strain,1,neither hand placed
Cagz,automatic,Cogz,bolt,1,neither hand placed
grab,autumn,grad,grid,1,one hand placed
grab,autumn,grap,issue,1,one hand placed
grab,autumn,greb,swift,1,neither hand placed
bisk,available,disk,discover,1,one hand placed
bisk,available,pisk,manage,1,neither hand placed
vraj,average,vrax,ambiguous,1,one hand placed
snez,aversion,sniz,peninsula,1,neither hand placed
vord,avoid,vort,alike,1,one hand placed
duf,await,tuf,matter,1,neither hand placed
bud,awake,dud,friend,1,both hand placed
bud,awake,pud,girl,1,one hand placed
zolv,award,zorv,activity,1,neither hand placed
dub,aware,dud,friend,1,both hand placed
dub,aware,tub,tube,1,both hand placed
dub,aware,dup,yield,1,one hand placed
yad,away,yat,way,1,both hand placed
yad,away,yed,murder,1,one hand placed
brex,awe,prex,precious,1,one hand placed
brex,awe,brix,saliva,1,neither hand placed
marf,awful,narf,necessary,1,neither hand placed
marf,awful,marv,patient,1,neither hand placed
sigz,awkward,zigz,sheep,1,neither hand placed
rubz,axe,rudz,abroad,1,neither hand placed
beb,baby,bed,bite,1,both hand placed
beb,baby,bep,left,1,both hand placed
beb,baby,peb,only,1,one hand placed
beb,baby,bib,we,1,both hand placed
brak,bacteria,drak,harm,1,both hand placed
fut,bad,vut,till,1,one hand placed
heft,badge,hift,net,1,neither hand placed
rod,bag,rot,false,1,one hand placed
blet,bait,plet,plate,1,both hand placed
blet,bait,blit,maze,1,one hand placed
ceft,bake,seft,brand,1,neither hand placed
ceft,bake,xeft,certificate,1,neither hand placed
ceft,bake,feft,wrist,1,neither hand placed
ceft,bake,cift,choke,1,neither hand placed
halv,balance,harv,rice,1,neither hand placed
halv,balance,holv,elbow,1,one hand placed
bral,ball,dral,dry,1,both hand placed
bral,ball,brol,brow,1,both hand placed
xarf,balloon,xarv,shrimp,1,neither hand placed
xarf,balloon,xorf,ceiling,1,neither hand placed
frov,balm,vrov,robust,1,neither hand placed
frov,balm,fruv,accumulate,1,neither hand placed
djex,ban,djix,analyze,1,neither hand placed
fitx,banana,vitx,beard,1,neither hand placed
mups,band,nups,natural,1,neither hand placed
mups,band,muts,price,1,neither hand placed
beq,bang,deq,map,1,one hand placed
beq,bang,peq,pay,1,both hand placed
lar,bank,rar,rare,1,one hand placed
lar,bank,lor,lord,1,one hand placed
las,bank,ras,in,1,one hand placed
las,bank,les,air,1,one hand placed
led,bar,let,short,1,neither hand placed
led,bar,lid,lead,1,one hand placed
barb,barb,barp,central,1,one hand placed
barb,barb,darb,follow,1,both hand placed
barb,barb,parb,swell,1,one hand placed
barb,barb,borb,intend,1,one hand placed
xold,bare,xord,fry,1,neither hand placed
xold,bare,xolt,fur,1,neither hand placed
vars,bargain,varz,forest,1,one hand placed
vars,bargain,vors,heal,1,neither hand placed
yogz,bark,yugz,crank,1,neither hand placed
skif,barley,skiv,relapse,1,neither hand placed
smaC,barren,snaC,accelerate,1,neither hand placed
smaC,barren,smav,ammonia,1,neither hand placed
smaC,barren,smac,plump,1,neither hand placed
smaC,barren,smaj,stabilize,1,neither hand placed
smaC,barren,smaz,suppress,1,neither hand placed
smaC,barren,smeC,pasture,1,neither hand placed
smaC,barren,smoC,delegate,1,neither hand placed
glof,barrier,glov,fin,1,neither hand placed
glof,barrier,klof,gel,1,neither hand placed
glof,barrier,grof,layer,1,neither hand placed
glof,barrier,gluf,summit,1,neither hand placed
gont,base,gunt,travel,1,neither hand placed
bes,base,pes,green,1,both hand placed
bes,base,bez,index,1,one hand placed
bes,base,des,string,1,one hand placed
varf,basis,varv,tattoo,1,neither hand placed
varf,basis,vorf,absolute,1,neither hand placed
frux,bask,vrux,degrade,1,neither hand placed
jarf,bass,xarf,balloon,1,neither hand placed
jarf,bass,jarv,prostitute,1,neither hand placed
jarf,bass,jorf,concrete,1,neither hand placed
batx,bat,datx,grade,1,one hand placed
batx,bat,patx,patch,1,both hand placed
batx,bat,betx,rescue,1,one hand placed
batx,bat,botx,pity,1,one hand placed
word,batch,wort,relation,1,neither hand placed
blam,bathe,blan,cling,1,neither hand placed
blam,bathe,plam,cod,1,neither hand placed
blam,bathe,bram,equivalent,1,neither hand placed
blam,bathe,blaq,extinct,1,neither hand placed
blam,bathe,blem,sway,1,neither hand placed
blam,bathe,blom,rust,1,neither hand placed
veps,battery,vets,toss,1,neither hand placed
veps,battery,vips,inform,1,neither hand placed
balb,bay,barb,barb,1,one hand placed
balb,bay,balp,bride,1,neither hand placed
balb,bay,dalb,pink,1,neither hand placed
balb,bay,palb,shine,1,neither hand placed
balb,bay,bald,thief,1,neither hand placed
balb,bay,bolb,library,1,neither hand placed
baq,be,daq,lend,1,one hand placed
baq,be,paq,response,1,both hand placed
baq,be,beq,bang,1,both hand placed
baq,be,boq,graph,1,one hand placed
spef,bead,spev,larynx,1,neither hand placed
spef,bead,stef,safe,1,one hand placed
bruk,beak,pruk,pick,1,both hand placed
blim,beam,brim,hydrogen,1,one hand placed
blim,beam,plim,kangaroo,1,one hand placed
blim,beam,bliq,restraint,1,one hand placed
Colv,bean,zolv,award,1,neither hand placed
Colv,bean,colv,chorus,1,neither hand placed
Colv,bean,Corv,clamp,1,neither hand placed
Colv,bean,volv,creep,1,neither hand placed
Colv,bean,jolv,income,1,neither hand placed
bist,beast,dist,season,1,one hand placed
bit,beat,pit,pure,1,both hand placed
bit,beat,dit,split,1,one hand placed
bat,beauty,pat,dimension,1,both hand placed
bat,beauty,dat,word,1,both hand placed
bat,beauty,bet,under,1,both hand placed
bat,beauty,bot,boat,1,both hand placed
jef,become,xef,known,1,neither hand placed
fest,bee,vest,phase,1,neither hand placed
fest,bee,fist,require,1,neither hand placed
brip,beep,brit,orbit,1,both hand placed
brip,beep,drip,vintage,1,one hand placed
mimp,beer,nimp,consider,1,neither hand placed
nisp,beg,nist,duty,1,neither hand placed
mork,begin,nork,nor,1,one hand placed
kolv,behave,korv,alley,1,neither hand placed
vib,behind,vip,six,1,one hand placed
pof,believe,pov,money,1,neither hand placed
pof,believe,puf,dad,1,neither hand placed
gent,bell,kent,kit,1,neither hand placed
gent,bell,gint,shame,1,neither hand placed
norb,belong,nord,order,1,one hand placed
dodj,below,dudj,giant,1,neither hand placed
barz,belt,borz,poison,1,one hand placed
bend,bend,pend,creature,1,one hand placed
bend,bend,bent,pierce,1,one hand placed
bend,bend,dend,spread,1,one hand placed
bend,bend,bind,wound,1,one hand placed
vodz,beneath,vudz,jewelry,1,neither hand placed
sint,benefit,zint,moral,1,neither hand placed
glaf,berry,graf,serum,1,neither hand placed
glaf,berry,glef,alternate,1,neither hand placed
glaf,berry,glof,barrier,1,neither hand placed
sadj,beside,zadj,motor,1,one hand placed
vop,bet,vot,vote,1,one hand placed
vop,bet,vup,full,1,neither hand placed
xedz,betray,xidz,strategy,1,neither hand placed
smim,bias,smiq,amaze,1,neither hand placed
smim,bias,snim,brittle,1,neither hand placed
brat,big,prat,apart,1,both hand placed
brat,big,drat,enthusiastic,1,one hand placed
bin,bind,din,bright,1,neither hand placed
bin,bind,pin,oh,1,neither hand placed
bax,bird,dax,method,1,one hand placed
dolb,birth,dold,bust,1,neither hand placed
dolb,birth,dorb,dollar,1,neither hand placed
vic,bit,vif,bed,1,one hand placed
vic,bit,vix,preserve,1,both hand placed
vic,bit,vis,see,1,both hand placed
bed,bite,ded,flag,1,one hand placed
bed,bite,ped,people,1,one hand placed
bed,bite,bet,under,1,both hand placed
vog,black,vug,city,1,one hand placed
zalf,blade,zalv,dissolve,1,one hand placed
zalf,blade,zarf,limit,1,neither hand placed
moks,blame,muks,steal,1,neither hand placed
spod,bland,spot,decode,1,neither hand placed
spod,bland,stod,pant,1,neither hand placed
spod,bland,spud,format,1,neither hand placed
folf,blank,folv,absurd,1,neither hand placed
folf,blank,forf,announce,1,neither hand placed
folf,blank,volf,immediate,1,neither hand placed
txen,blaze,txin,teen,1,one hand placed
falt,bleed,valt,chapter,1,neither hand placed
frof,blemish,frov,balm,1,neither hand placed
frof,blemish,vrof,spar,1,neither hand placed
frof,blemish,fruf,adhere,1,neither hand placed
weks,blend,wiks,hump,1,neither hand placed
godj,bless,kodj,occasion,1,neither hand placed
godj,bless,gudj,funeral,1,neither hand placed
nald,blind,nard,shirt,1,neither hand placed
nald,blind,nold,file,1,neither hand placed
rarv,blink,rorv,plasma,1,neither hand placed
djan,bliss,djaq,dispose,1,neither hand placed
djan,bliss,djen,fern,1,neither hand placed
djan,bliss,djon,carve,1,neither hand placed
flaf,bloat,flav,assimilate,1,neither hand placed
flaf,bloat,fraf,fizz,1,neither hand placed
flaf,bloat,flef,diagonal,1,neither hand placed
flaf,bloat,flof,sheath,1,neither hand placed
blab,blob,blad,reluctant,1,one hand placed
blab,blob,plab,tang,1,one hand placed
blab,blob,blap,wick,1,one hand placed
blab,blob,bleb,mourn,1,one hand placed
blab,blob,blob,external,1,one hand placed
giks,block,kiks,sacrifice,1,neither hand placed
frem,blog,vrem,rein,1,neither hand placed
frem,blog,freq,satire,1,neither hand placed
frem,blog,frim,lore,1,neither hand placed
bloC,blood,bloc,rim,1,one hand placed
bloC,blood,blov,sodium,1,one hand placed
bloC,blood,bloj,wed,1,one hand placed
blum,bloom,blun,masculine,1,one hand placed
blum,bloom,plum,melancholy,1,one hand placed
blum,bloom,brum,obscure,1,one hand placed
blum,bloom,bluq,steep,1,one hand placed
stun,blot,stuq,font,1,neither hand placed
blof,blow,brof,crater,1,one hand placed
blof,blow,plof,smear,1,one hand placed
blof,blow,blov,sodium,1,one hand placed
blof,blow,bluf,manufacture,1,one hand placed
bul,blue,dul,delete,1,both hand placed
bul,blue,pul,pull,1,both hand placed
calv,bluff,salv,culture,1,neither hand placed
calv,bluff,falv,envelope,1,neither hand placed
calv,bluff,xalv,increase,1,neither hand placed
calv,bluff,carv,scrub,1,neither hand placed
calv,bluff,colv,chorus,1,neither hand placed
marz,board,narz,dig,1,neither hand placed
marz,board,morz,reach,1,neither hand placed
spun,boast,stun,blot,1,neither hand placed
spun,boast,spuq,clitoris,1,neither hand placed
bot,boat,dot,down,1,both hand placed
vat,body,vot,vote,1,both hand placed
stop,bog,stot,eloquent,1,neither hand placed
stop,bog,stup,stupid,1,one hand placed
jarb,bold,xarb,protest,1,neither hand placed
jarb,bold,jorb,consent,1,neither hand placed
Cogz,bolt,zogz,mob,1,neither hand placed
Cogz,bolt,cogz,platform,1,neither hand placed
Cogz,bolt,jogz,protocol,1,neither hand placed
Cogz,bolt,vogz,spoil,1,neither hand placed
Cogz,bolt,Cugz,sponge,1,neither hand placed
mudj,bomb,nudj,milk,1,neither hand placed
kliz,bondage,kriz,keyboard,1,neither hand placed
brod,bone,prod,remedy,1,one hand placed
brod,bone,drod,residue,1,one hand placed
brod,bone,brud,disc,1,one hand placed
xeqk,bonus,xiqk,praise,1,neither hand placed
jesp,bore,xesp,terror,1,neither hand placed
jesp,bore,jisp,ditch,1,neither hand placed
jesk,bore,xesk,associate,1,neither hand placed
jesk,bore,jisk,formula,1,neither hand placed
lof,born,rof,personal,1,neither hand placed
fup,borrow,fut,bad,1,both hand placed
fup,borrow,vup,full,1,one hand placed
kis,bottom,kiz,if,1,both hand placed
fodz,bounce,vodz,beneath,1,neither hand placed
fodz,bounce,fudz,polish,1,neither hand placed
pobz,bow,pubz,challenge,1,neither hand placed
gliv,bowel,kliv,cave,1,one hand placed
gliv,bowel,griv,grieve,1,one hand placed
pift,bowl,tift,effort,1,neither hand placed
braz,box,praz,prize,1,both hand placed
braz,box,draz,velocity,1,one hand placed
braz,box,brez,adapt,1,one hand placed
braz,box,broz,adequate,1,one hand placed
catx,brace,xatx,oven,1,neither hand placed
catx,brace,fatx,stiff,1,neither hand placed
catx,brace,satx,such,1,one hand placed
catx,brace,cetx,hay,1,neither hand placed
catx,brace,cotx,essay,1,neither hand placed
frex,bracken,vrex,feces,1,neither hand placed
frex,bracken,frix,fish,1,one hand placed
glap,brag,grap,issue,1,one hand placed
glap,brag,glat,marsh,1,neither hand placed
glap,brag,glep,select,1,neither hand placed
glap,brag,glop,glance,1,neither hand placed
bred,braid,dred,pest,1,one hand placed
