english               tune                          english parts                     tune parts
bromide               -                             bromine + compound                ? + Ceqk
bronze                rovaixalb                     copper + tin                      rov + xalb
brook                 smalaixuts                    small + stream                    smal + xuts
buccal                Ciksaiyov                     cheek + of                        Ciks + yov
bucket                zarkaimaftaiweps              open + carry + container          zark + maft + weps
buddy                 gondwalak                     bud + like                        gond + lak
budget                povaiplan                     money + plan                      pov + plan
buffalo               waldaivaqk                    wild + cow                        wald + vaqk
builder               gufaizan                      build + one                       guf + zan
building              gufwayez                      build + act                       guf + yez
bunker                betaivond                     under + shelter                   bet + vond
buoyancy              -                             buoyant + nature                  ? + nep
burglar               puzaimuksaiyug                house + steal + agent             puz + muks + yug
bus                   -                             omnibus                           ?
busy                  -                             bus + like                        ? + lak
butte                 Ceftaiflataigagz              narrow + flat + hill              Ceft + flat + gagz
butterfly             yamaiplem                     day + moth                        yam + plem
cab                   -                             cabriolet                         ?
calcification         krazaiyez                     calcium + act                     kraz + yez
calcite               glifaikuqk                    chalk + crystal                   glif + kuqk
caldera               brataibrof                    big + crater                      brat + brof
callous               bugzaigron                    suffer + insensitive              bugz + gron
camel                 witsaihors                    hump + horse                      wits + hors
canal                 kardwalak                     can + like                        kard + lak
candor                galvwayug                     candy + agent                     galv + yug
canine                leCaicutx                     point + tooth                     leC + cutx
canola                gipsaisid                     oil + seed                        gips + sid
canonical             stazaiyov                     canon + of                        staz + yov
capability            -                             cap + ability                     talb + ?
capable               talbwafip                     cap + able                        talb + fip
cape                  lanaileC                      land + point                      lan + leC
capillary             Ceftaitubaikridairiz          narrow + tube + liquid + rise     Ceft + tub + krid + riz
captive               -                             capture + done                    femp + ?
carapace              gokaitxal                     back + shell                      gok + txal
carbohydrate          gandailip                     sugar + chain                     gand + lip
carbonate             rintaitigz                    carbon + salt                     rint + tigz
carbonyl              rintaihip                     carbon + group                    rint + hip
carboxylate           -                             carboxyl + salt                   ? + tigz
carboxylic            -                             carboxyl + of                     ? + yov
cardboard             sespaiyof                     thick + paper                     sesp + yof
cardiac               zifaiyov                      heart + of                        zif + yov
careful               kriqwavup                     care + full                       kriq + vup
cargo                 maftailod                     carry + load                      maft + lod
caribou               snomaixars                    snow + deer                       snom + xars
carnivore             makaigabaiyug                 meat + eat + agent                mak + gab + yug
carriage              maftaiyan                     carry + vehicle                   maft + yan
carrier               maftaiyug                     carry + agent                     maft + yug
carrying capacity     ronainiskaixebzaizarf         environment + support + population + limitron + nisk + xebz + zarf
cartilaginous         vracaiyov                     cartilage + of                    vrac + yov
cash                  zeqkaipov                     hand + money                      zeqk + pov
cashew                bendaihiks                    bend + nut                        bend + hiks
casket                dacaibraz                     death + box                       dac + braz
catalyst              -                             react + speed + thing             ? + gidj + niv
catalytic             -                             catalyst + of                     ? + yov
catchy                vucwalak                      catch + like                      vuc + lak
catfish               -                             whisker + fish                    ? + frix
cation                -                             positive + ion                    mid + ?
caudal                tadaiyov                      tail + of                         tad + yov
caulk                 hodjaipest                    seal + paste                      hodj + pest
caustic               -                             harsh + cut + criticize           Cent + zep + ?
cavern                brataikliv                    big + cave                        brat + kliv
cavity                klivwanep                     cave + nature                     kliv + nep
caw                   wintaikar                     crow + call                       wint + kar
cedar                 gicaicomp                     red + pine                        gic + comp
celebration           badzwayez                     celebrate + act                   badz + yez
celestial             xumaiyov                      sky + of                          xum + yov
cellular              mudzaiyov                     cell + of                         mudz + yov
cemetery              parfainad                     bury + place                      parf + nad
census                jaqaikolaixebz                count + all + population          jaq + kol + xebz
cent                  wefaipartaifolk               hundred + part + coin             wef + part + folk
centaur               dramaihorsaivataigoz          human + horse + body + join       dram + hors + vat + goz
centimeter            wefaipartaicarf               hundred + part + meter            wef + part + carf
centipede             mavaigralaifald               many + foot + worm                mav + gral + fald
centrality            mixainavaidrig                network + center + degree         mix + nav + drig
centralize            barpwamek                     central + make                    barp + mek
centralized           -                             centralize + done                 ? + ?
cephalopod            -                             head + foot + mollusk             had + gral + ?
cerebral              brenaiyov                     brain + of                        bren + yov
ceremonial            higzaiyov                     ceremony + of                     higz + yov
certification         -                             certify + act                     ? + yez
cervical              mondaiyov                     neck + of                         mond + yov
championship          -                             champion + ness                   pabz + ?
charcoal              -                             char + coal                       smut + ?
charismatic           hiskaigundaifep               charm + social + power            hisk + gund + fep
charity               smutwanep                     char + nature                     smut + nep
charlatan             rotaijipsaiyug                false + skill + agent             rot + jips + yug
chat                  litaitak                      light + talk                      lit + tak
checkpoint            txakainad                     check + place                     txak + nad
cheerful              tondwavup                     cheer + full                      tond + vup
cheetah               fastaiwaldaiklat              fast + wild + cat                 fast + wald + klat
chela                 lolfaiklan                    grasp + claw                      lolf + klan
chemical              malailak                      molecule + like                   mal + lak
chemistry             malainedz                     molecule + study                  mal + nedz
chicken               bipswamek                     chick + make                      bips + mek
chickpea              mapsaigriq                    round + pea                       maps + griq
childhood             gagaihets                     child + hood                      gag + hets
chili                 gepaixard                     hot + pepper                      gep + xard
chimney               smokaitidj                    smoke + pipe                      smok + tidj
chirp                 baxaibrip                     bird + beep                       bax + brip
chive                 smalaiwont                    small + onion                     smal + wont
chloride              vraqaiCeqk                    chlorine + compound               vraq + Ceqk
chloroplast           -                             green + organelle                 pes + ?
choice                txuzaiyez                     choose + act                      txuz + yez
chorionic             -                             chorion + of                      ? + yov
chromatic             -                             colour + of                       ? + yov
chromosome            djinairent                    gene + thread                     djin + rent
chuckle               smalailaft                    small + laugh                     smal + laft
church                -                             worship + building                xuks + ?
cicada                remaipamp                     sing + bug                        rem + pamp
cinema                muvaifozaipuz                 move + picture + house            muv + foz + puz
circular              salkailak                     circle + like                     salk + lak
circulation           skidaiyez                     circulate + act                   skid + yez
circumference         pozaizob                      around + line                     poz + zob
cirrus                fifaiklad                     hair + cloud                      fif + klad
cistern               waCaihoqaizesp                water + hold + pit                waC + hoq + zesp
citadel               -                             high + fortress                   mol + ?
citrate               -                             citric + salt                     ? + tigz
civic                 vugaiyov                      city + of                         vug + yov
civilization          himpwayez                     civil + act                       himp + yez
civilize              himpwamek                     civil + make                      himp + mek
clade                 -                             ancestor + all + descendant       bev + kol + ?
clarify               vobaimek                      clear + make                      vob + mek
clarity               vobaidom                      clear + state                     vob + dom
classic               gevwalak                      class + like                      gev + lak
classify              gevwamek                      class + make                      gev + mek
classroom             titxaitif                     teach + room                      titx + tif
clearance             vobaiyez                      clear + act                       vob + yez
cleavage              -                             cleave + act                      ? + yez
clinic                smalaixes                     small + hospital                  smal + xes
cloaca                -                             shared + body + opening           ? + vat + getx
clockwise             -                             clock + oriented                  klak + ?
clog                  fruvaibarkaigiks              accumulate + channel + block      fruv + bark + giks
closed                -                             close + done                      kloz + ?
closer                klozwayug                     close + agent                     kloz + yug
clothes               corvwamav                     cloth + many                      corv + mav
clothing              corvwayez                     cloth + act                       corv + yez
