english,was,now,shape,source,state
blade,zalf,zalf,CVCC,fill,kept
blame,moks,moks,CVCC,fill,kept
bland,spod,spod,CCVC,fill,kept
blank,folf,folf,CVCC,fill,kept
blast,kunt,kunt,CVCC,fill,kept
blaze,txen,txen,CCVC,fill,kept
bleed,falt,falt,CVCC,fill,kept
blemish,frof,frof,CCVC,fill,kept
blend,weks,weks,CVCC,fill,kept
bless,godj,godj,CVCC,fill,kept
blind,nald,nald,CVCC,fill,kept
blink,rarv,rarv,CVCC,fill,kept
bliss,djan,djan,CCVC,fill,kept
bloat,flaf,flaf,CCVC,fill,kept
blob,blab,blab,CCVC,hand,fixed
block,giks,giks,CVCC,fill,kept
blog,frem,frem,CCVC,fill,kept
blood,bloC,bloC,CCVC,hand,fixed
bloom,blum,blum,CCVC,hand,fixed
blot,stun,stun,CCVC,fill,kept
blow,blof,blof,CCVC,hand,fixed
blue,bul,bul,CVC,hand,fixed
bluff,calv,calv,CVCC,fill,kept
blunt,ruqk,ruqk,CVCC,fill,kept
blur,blor,blor,CCVC,hand,fixed
board,marz,Ceqk,CVCC,fill,moved
boast,spun,spun,CCVC,fill,kept
boat,bot,bot,CVC,hand,fixed
bob,ror,ror,CVC,short,kept
body,vat,vat,CVC,hand,fixed
bog,stop,stop,CCVC,fill,kept
boil,yigz,yigz,CVCC,fill,kept
bold,jarb,jarb,CVCC,fill,kept
bolt,Cogz,Cogz,CVCC,fill,kept
bomb,mudj,mudj,CVCC,fill,kept
bond,nuq,nuq,CVC,hand,fixed
bondage,kliz,kliz,CCVC,fill,kept
bone,brod,brod,CCVC,hand,fixed
bonus,xeqk,xeqk,CVCC,fill,kept
book,vam,vam,CVC,short,kept
boom,bum,bum,CVC,hand,fixed
bore,jesp,jesp,CVCC,fill,kept
born,lof,lof,CVC,short,kept
borrow,fup,fup,CVC,hand,fixed
boss,fux,fux,CVC,short,kept
both,kor,kor,CVC,short,kept
bottom,kis,kis,CVC,hand,fixed
bounce,fodz,fodz,CVCC,fill,kept
bound,tudj,tudj,CVCC,fill,kept
bow,pobz,pobz,CVCC,fill,kept
bowel,gliv,gliv,CCVC,fill,kept
bowl,pift,pift,CVCC,fill,kept
box,braz,braz,CCVC,hand,fixed
boy,puk,puk,CVC,short,kept
brace,catx,catx,CVCC,fill,kept
bracken,frex,frex,CCVC,fill,kept
brag,glap,glap,CCVC,fill,kept
braid,bred,bred,CCVC,hand,fixed
brain,bren,bren,CCVC,hand,fixed
brake,cubz,cubz,CVCC,fill,kept
bran,snat,snat,CCVC,fill,kept
branch,lum,lum,CVC,hand,fixed
brand,seft,seft,CVCC,fill,kept
brave,brev,brev,CCVC,hand,fixed
bravo,tand,tand,CVCC,fill,kept
bread,dalf,dalf,CVCC,fill,kept
break,ged,ged,CVC,short,fixed
breast,xamp,xamp,CVCC,fill,kept
breath,nogz,nogz,CVCC,fill,fixed
breathe,nets,nets,CVCC,fill,kept
breed,cesk,cesk,CVCC,fill,kept
breeze,xutx,xutx,CVCC,fill,kept
bribe,cund,cund,CVCC,fill,kept
brick,fark,fark,CVCC,fill,kept
bride,balp,balp,CVCC,fill,kept
bridge,nalb,nalb,CVCC,fill,kept
brief,brif,brif,CCVC,hand,fixed
bright,din,din,CVC,short,fixed
brilliant,galz,galz,CVCC,fill,kept
brim,skef,skef,CCVC,fill,kept
bring,briq,briq,CCVC,hand,fixed
brittle,snim,snim,CCVC,fill,kept
broad,horb,horb,CVCC,fill,kept
broken,mift,mift,CVCC,fill,kept
brood,spob,spob,CCVC,fill,kept
broth,skex,skex,CCVC,fill,kept
brother,siq,siq,CVC,short,kept
brow,brol,brol,CCVC,hand,fixed
brown,cov,cov,CVC,hand,fixed
browse,fruq,fruq,CCVC,fill,kept
bruise,djif,djif,CCVC,fill,kept
brush,sisp,sisp,CVCC,fill,kept
bubble,jimp,jimp,CVCC,fill,kept
buckle,ralf,ralf,CVCC,fill,kept
bud,gond,gond,CVCC,fill,kept
buff,blax,blax,CCVC,fill,kept
buffer,klon,klon,CCVC,fill,kept
bug,pamp,pamp,CVCC,fill,kept
build,guf,guf,CVC,short,kept
bulb,wusk,wusk,CVCC,fill,fixed
bulge,stox,djuz,CCVC,fill,moved
bulk,txuC,txuC,CCVC,fill,kept
bull,dund,dund,CVCC,fill,kept
bullet,gesp,gesp,CVCC,fill,kept
bully,Cidz,Cidz,CVCC,fill,kept
bump,bamp,bamp,CVCC,hand,fixed
bun,driC,driC,CCVC,fill,kept
bunch,motx,motx,CVCC,fill,kept
bundle,grim,grim,CCVC,fill,kept
burden,fobz,fobz,CVCC,fill,kept
burn,molc,molc,CVCC,fill,kept
burp,borp,borp,CVCC,hand,fixed
burrow,flif,flif,CCVC,fill,kept
burst,bust,bust,CVCC,hand,fixed
bury,parf,parf,CVCC,fill,kept
bush,send,send,CVCC,fill,kept
bust,dold,dold,CVCC,fill,kept
but,ket,ket,CVC,hand,fixed
butcher,xodj,xodj,CVCC,fill,kept
butt,blut,blut,CCVC,hand,fixed
butter,pond,pond,CVCC,fill,kept
button,dond,dond,CVCC,fill,kept
buy,zuf,zuf,CVC,short,kept
buzz,bruz,bruz,CCVC,hand,fixed
by,baC,baC,CVC,hand,fixed
byte,veb,veb,CVC,hand,fixed
cabbage,drif,drif,CCVC,fill,kept
cable,pigz,pigz,CVCC,fill,kept
cache,froq,froq,CCVC,fill,kept
cactus,drij,drij,CCVC,fill,kept
cage,porg,porg,CVCC,fill,kept
cake,krek,krek,CCVC,hand,fixed
calcium,kraz,kraz,CCVC,fill,kept
calculate,txev,txev,CCVC,fill,kept
calculus,skig,skig,CCVC,fill,kept
calendar,Cemp,Cemp,CVCC,fill,kept
call,kar,kar,CVC,hand,fixed
calm,kam,kam,CVC,hand,fixed
camera,mort,mort,CVCC,fill,kept
camouflage,traz,traz,CCVC,fill,kept
camp,kamp,kamp,CVCC,hand,fixed
can,kard,kard,CVCC,hand,fixed
cancel,tuft,tuft,CVCC,fill,kept
cancer,budj,budj,CVCC,fill,kept
candidate,xobz,xobz,CVCC,fill,kept
candle,xusp,xusp,CVCC,fill,kept
candor,stez,stez,CCVC,fill,kept
candy,galv,galv,CVCC,fill,kept
cannot,fuk,fuk,CVC,short,kept
canon,staz,staz,CCVC,fill,kept
canvas,woqk,woqk,CVCC,fill,kept
canyon,xump,xump,CVCC,fill,kept
cap,talb,talb,CVCC,fill,kept
capacity,xups,xups,CVCC,fill,fixed
capital,vind,vind,CVCC,fill,kept
captain,zal,zal,CVC,short,kept
capture,femp,femp,CVCC,fill,kept
car,tib,tib,CVC,short,kept
carbon,rint,rint,CVCC,fill,kept
carcass,smev,smev,CCVC,fill,kept
card,lez,lez,CVC,short,kept
cardinal,wolz,wolz,CVCC,fill,kept
care,kriq,kriq,CCVC,hand,fixed
carp,vreq,vreq,CCVC,fill,kept
carry,maft,maft,CVCC,fill,kept
cart,xets,xets,CVCC,fill,kept
cartilage,vrac,vrac,CCVC,fill,kept
carve,djon,djon,CCVC,fill,kept
cascade,fram,fram,CCVC,fill,kept
case,nor,nor,CVC,short,kept
cast,kast,kast,CVCC,hand,fixed
castle,pibz,pibz,CVCC,fill,kept
casual,jusp,jusp,CVCC,fill,kept
cat,klat,klat,CCVC,hand,fixed
catalog,drit,drit,CCVC,fill,kept
catch,vuc,vuc,CVC,hand,fixed
category,wolc,wolc,CVCC,fill,kept
cattle,zeft,zeft,CVCC,fill,kept
cause,kaz,kaz,CVC,hand,fixed
caution,redj,redj,CVCC,fill,kept
cautious,glug,glug,CCVC,fill,kept
cave,kliv,kliv,CCVC,hand,fixed
cavity,djub,djub,CCVC,fill,kept
cease,skoq,skoq,CCVC,hand,fixed
ceiling,xorf,xorf,CVCC,fill,kept
celebrate,badz,badz,CVCC,fill,kept
cell,mudz,vint,CVCC,fill,moved
celsius,sals,sals,CVCC,hand,fixed
cement,lolb,lolb,CVCC,fill,kept
center,nav,nav,CVC,hand,fixed
central,barp,barp,CVCC,fill,kept
century,parg,parg,CVCC,fill,kept
ceramic,snuk,snuk,CCVC,fill,kept
cereal,ceks,ceks,CVCC,fill,kept
ceremony,higz,higz,CVCC,fill,kept
certain,sart,sart,CVCC,hand,fixed
certificate,xeft,xeft,CVCC,fill,kept
chain,lip,lip,CVC,hand,fixed
chair,neqk,neqk,CVCC,fill,kept
chalk,glif,glif,CCVC,fill,kept
challenge,pubz,pubz,CVCC,fill,kept
chamber,zuft,zuft,CVCC,fill,kept
champion,pabz,pabz,CVCC,fill,kept
chance,zeq,zeq,CVC,short,kept
change,xun,xun,CVC,hand,fixed
channel,bark,bark,CVCC,fill,kept
chant,plik,plik,CCVC,fill,kept
chaos,xits,xits,CVCC,fill,kept
chaotic,spam,spam,CCVC,fill,kept
chapter,valt,valt,CVCC,fill,kept
char,smut,smut,CCVC,fill,kept
character,gesk,gesk,CVCC,fill,kept
charge,ruf,ruf,CVC,short,kept
charm,hisk,hisk,CVCC,fill,kept
chart,xind,xind,CVCC,fill,kept
chase,txes,txes,CCVC,hand,fixed
cheap,galb,galb,CVCC,fill,kept
cheat,kend,kend,CVCC,fill,kept
check,txak,txak,CCVC,hand,fixed
cheek,Ciks,Ciks,CVCC,fill,kept
cheer,tond,tond,CVCC,fill,fixed
cheese,gedj,gedj,CVCC,fill,kept
chest,gitx,gitx,CVCC,fill,kept
chew,txut,txut,CCVC,hand,fixed
chick,bips,bips,CVCC,fill,kept
chief,wob,wob,CVC,short,kept
child,gag,gag,CVC,hand,fixed
chime,xam,xam,CVC,hand,fixed
chin,vigz,vigz,CVCC,fill,kept
chip,txap,txap,CCVC,hand,fixed
chisel,skam,skam,CCVC,fill,kept
chlorine,vraq,vraq,CCVC,fill,kept
chocolate,dadj,sosp,CVCC,fill,moved
choir,yups,yups,CVCC,fill,kept
choke,cift,cift,CVCC,fill,kept
choose,txuz,txuz,CCVC,hand,fixed
chop,zimp,zimp,CVCC,fill,kept
chord,trox,trox,CCVC,fill,kept
chorus,colv,colv,CVCC,fill,kept
chronic,rund,rund,CVCC,fill,kept
chuck,pisp,pisp,CVCC,fill,kept
chunk,worp,worp,CVCC,fill,kept
chute,glik,glik,CCVC,fill,kept
cigarette,bimp,bimp,CVCC,fill,kept
circle,salk,salk,CVCC,hand,fixed
circuit,Cutx,Cutx,CVCC,fill,kept
circulate,skid,skid,CCVC,fill,kept
circumvent,flon,flon,CCVC,fill,kept
citizen,zent,zent,CVCC,fill,kept
citrus,floq,floq,CCVC,fill,kept
city,vug,vug,CVC,short,kept
civil,himp,himp,CVCC,fill,kept
claim,klem,klem,CCVC,hand,fixed
clam,wuft,wuft,CVCC,fill,kept
clamp,Corv,Corv,CVCC,fill,kept
clan,wolt,wolt,CVCC,fill,kept
clang,skoz,skoz,CCVC,fill,kept
clap,left,left,CVCC,fill,kept
clash,snep,snep,CCVC,fill,kept
clasp,stit,stit,CCVC,fill,kept
class,gev,gev,CVC,short,kept
clatter,vrod,vrod,CCVC,fill,kept
clause,dran,dran,CCVC,fill,kept
claw,klan,klan,CCVC,hand,fixed
clay,vart,vart,CVCC,fill,kept
clean,klin,klin,CCVC,hand,fixed
cleanse,smoz,smoz,CCVC,fill,kept
clear,vob,vob,CVC,short,kept
clerk,zorg,zorg,CVCC,fill,kept
clever,dunt,dunt,CVCC,fill,kept
click,klek,klek,CCVC,hand,fixed
client,must,must,CVCC,fill,kept
cliff,pidj,pidj,CVCC,fill,kept
climate,glek,glek,CCVC,fill,kept
climb,kim,kim,CVC,hand,fixed
cling,blan,blan,CCVC,fill,kept
clip,yagz,yagz,CVCC,fill,kept
clitoris,spuq,spuq,CCVC,fill,kept
clock,klak,klak,CCVC,hand,fixed
clone,kep,kep,CVC,hand,fixed
close,kloz,kloz,CCVC,hand,fixed
closure,djog,djog,CCVC,fill,kept
clot,truz,truz,CCVC,fill,kept
cloth,corv,corv,CVCC,fill,kept
cloud,klad,klad,CCVC,hand,fixed
club,rig,rig,CVC,short,kept
clue,kuf,kuf,CVC,hand,fixed
clump,flep,flep,CCVC,fill,kept
clumsy,yold,yold,CVCC,fill,kept
cluster,snan,snan,CCVC,fill,kept
clutch,blaj,blaj,CCVC,fill,kept
coarse,snic,snic,CCVC,fill,kept
coast,dusp,dusp,CVCC,fill,kept
coat,nusp,letx,CVCC,fill,moved
cob,vrud,vrud,CCVC,fill,kept
cobalt,frug,frug,CCVC,fill,kept
cock,vorg,vorg,CVCC,fill,kept
cod,plam,plam,CCVC,fill,kept
code,kod,kod,CVC,hand,fixed
coffee,foq,foq,CVC,short,kept
coil,smid,smid,CCVC,fill,kept
coin,folk,folk,CVCC,fill,kept
coincide,vriv,vriv,CCVC,fill,kept
cold,kold,kold,CVCC,hand,fixed
collaborate,frog,frog,CCVC,fill,kept
collapse,yomp,yomp,CVCC,fill,kept
collar,fedj,fedj,CVCC,fill,kept
collect,lek,lek,CVC,hand,fixed
college,lev,lev,CVC,short,kept
collide,skib,skib,CCVC,fill,kept
colon,blen,blen,CCVC,fill,kept
colony,yibz,yibz,CVCC,fill,kept
color,klor,klor,CCVC,hand,fixed
column,zolt,zolt,CVCC,hand,fixed
comb,colf,colf,CVCC,fill,kept
combat,sund,sund,CVCC,fill,kept
combine,plaz,plaz,CCVC,fill,kept
come,gum,gum,CVC,hand,fixed
comedy,valz,valz,CVCC,fill,kept
comfort,kraf,kraf,CCVC,hand,fixed
command,kand,kand,CVCC,hand,fixed
commit,deg,deg,CVC,short,kept
common,nobz,nobz,CVCC,fill,fixed
commotion,txez,txez,CCVC,fill,kept
communicate,ken,ken,CVC,hand,fixed
community,klun,klun,CCVC,hand,fixed
compact,klev,klev,CCVC,fill,kept
company,fej,fej,CVC,short,kept
compare,xork,xork,CVCC,fill,fixed
comparison,grux,grux,CCVC,fill,kept
compass,wund,wund,CVCC,fill,kept
compassion,plas,plas,CCVC,hand,fixed
compatible,prev,prev,CCVC,fill,kept
compel,steg,steg,CCVC,fill,kept
compete,xotx,xotx,CVCC,fill,kept
complain,vift,vift,CVCC,fill,kept
complaint,farz,farz,CVCC,fill,kept
complement,vreg,vreg,CCVC,fill,kept
complete,nibz,nibz,CVCC,fill,kept
complex,fluz,fluz,CCVC,hand,fixed
comply,pron,pron,CCVC,fill,kept
component,smif,smif,CCVC,fill,kept
compose,smed,smed,CCVC,fill,kept
composite,snov,snov,CCVC,fill,kept
compound,Ceqk,vodj,CVCC,fill,moved
compress,frav,frav,CCVC,fill,kept
compulsion,snoc,snoc,CCVC,fill,kept
compute,vrot,vrot,CCVC,fill,kept
computer,mops,mops,CVCC,fill,kept
conceal,blek,blek,CCVC,fill,kept
conceive,plig,plig,CCVC,fill,kept
concentrate,hitx,hitx,CVCC,fill,kept
concept,figz,figz,CVCC,fill,kept
