english,english_parts,tune,tune_parts,joiner,parts,whole,where,kind
acetate,"acetic + salt",,"? + tigz",ai,2,no,judged,verdict
achievement,"achieve + act",judzauyez,"judz + yez",au,2,yes,affix,verdict
acidity,"acid + ness",,"falf + ?",ai,2,no,judged,verdict
acknowledge,"know + say",numainib,"num + nib",ai,2,yes,sense,verdict
acquaintance,"meet + person",mitainar,"mit + nar",ai,2,yes,sense,verdict
acquisition,"acquire + act",bridaiyez,"brid + yez",ai,2,yes,judged,verdict
action,"act + act",yezauyez,"yez + yez",au,2,yes,affix,verdict
activate,"active + make",,"? + mek",ai,2,no,sense,verdict
activation,"activate + act",,"? + yez",ai,2,no,judged,verdict
activator,"activate + agent",,"? + yug",ai,2,no,judged,verdict
active,"act + like",yezaulak,"yez + lak",au,2,yes,affix,verdict
activist,"active + agent",,"? + yug",au,2,no,affix,verdict
activity,"active + nature",,"? + nep",au,2,no,affix,verdict
actor,"act + agent",yezauyug,"yez + yug",au,2,yes,affix,verdict
ad,"advertisement",,"?",ai,1,no,clipping,verdict
adaptation,"adapt + act",brezauyez,"brez + yez",au,2,yes,affix,verdict
adaptive,"adapt + like",brezailak,"brez + lak",ai,2,yes,judged,verdict
addiction,"addict + act",yolbaiyez,"yolb + yez",ai,2,yes,judged,verdict
addition,"add + act",laxauyez,"lax + yez",au,2,yes,affix,verdict
additive,"add + like",laxailak,"lax + lak",ai,2,yes,judged,verdict
adhesion,"adhere + act",frufaiyez,"fruf + yez",ai,2,yes,judged,verdict
adipose,"fat + of",wesaiyov,"wes + yov",ai,2,yes,judged,verdict
adjective,"nature + term",nepaitod,"nep + tod",ai,2,yes,sense,verdict
adjoin,"next + join",fidaigoz,"fid + goz",ai,2,yes,sense,verdict
adjustment,"adjust + act",yarpaiyez,"yarp + yez",ai,2,yes,judged,verdict
administration,"administer + act",klomauyez,"klom + yez",au,2,yes,affix,verdict
administrative,"administer + like",klomailak,"klom + lak",ai,2,yes,judged,verdict
admiration,"admire + act",siskauyez,"sisk + yez",au,2,yes,affix,verdict
admission,"admit + act",modzaiyez,"modz + yez",ai,2,yes,sense,verdict
adrenal,"upon + kidney",pandaifund,"pand + fund",ai,2,yes,judged,verdict
adrenergic,"adrenaline + of",,"? + yov",ai,2,no,judged,verdict
adsorb,"surface + adhere",sorfaifruf,"sorf + fruf",ai,2,yes,sense,verdict
advection,"flow + carry",suntaimaft,"sunt + maft",ai,2,yes,sense,verdict
adverb,"manner + term",kuqaitod,"kuq + tod",ai,2,yes,sense,verdict
advertise,"notice + make",mogzaimek,"mogz + mek",ai,2,yes,sense,verdict
advertisement,"advertise + act",,"? + yez",au,2,no,affix,verdict
advice,"advise + act",vadjaiyez,"vadj + yez",ai,2,yes,sense,verdict
aerial,"air + of",lesaiyov,"les + yov",ai,2,yes,judged,verdict
aerobic,"air + life + of",lesaicadaiyov,"les + cad + yov",ai,3,yes,judged,verdict
affiliate,"group + join",hipaigoz,"hip + goz",ai,2,yes,sense,verdict
affinity,"affine + ness",,"? + ?",ai,2,no,judged,verdict
afraid,"fear + full",froCaivup,"froC + vup",ai,2,yes,sense,verdict
afterlife,"after + life",retaicad,"ret + cad",ai,2,yes,compound,verdict
afternoon,"after + noon",retaikibz,"ret + kibz",ai,2,yes,compound,verdict
agency,"agent + ness",,"yug + ?",ai,2,no,judged,verdict
aggregation,"aggregate + act",kanaiyez,"kan + yez",ai,2,yes,judged,verdict
agonist,"act + agent",yezaiyug,"yez + yug",ai,2,yes,judged,verdict
agreement,"agree + act",kekauyez,"kek + yez",au,2,yes,affix,verdict
agricultural,"agriculture + of",,"? + yov",ai,2,no,judged,verdict
airport,"sky + port",xumaihups,"xum + hups",ai,2,yes,sense,verdict
albatross,"big + sea + bird",brataimalcaibax,"brat + malc + bax",ai,3,yes,sense,verdict
alignment,"align + act",mokaiyez,"mok + yez",ai,2,yes,judged,verdict
alkaline,"alkali + like",,"? + lak",ai,2,no,judged,verdict
allocation,"allocate + act",,"? + yez",ai,2,no,judged,verdict
allowed,"allow + done",,"norg + ?",au,2,no,affix,verdict
aloud,"out + loud",bukaigift,"buk + gift",ai,2,yes,sense,verdict
alphabet,"letter + code",witaikod,"wit + kod",ai,2,yes,sense,verdict
alpine,"mountain + live",motaikib,"mot + kib",ai,2,yes,sense,verdict
alternative,"alter + native",ledzaixolk,"ledz + xolk",ai,2,yes,compound,verdict
altruistic,"other + benefit + self + cost",nezaisintaidepaimunt,"nez + sint + dep + munt",ai,4,yes,sense,verdict
aluminum,"light + metal",litaimalt,"lit + malt",ai,2,yes,sense,verdict
alveolar,"alveolus + of",,"? + yov",ai,2,no,judged,verdict
am,"grammar",,"?",au,1,no,grammar,verdict
amber,"tree + resin + rock",,"dip + ? + rak",ai,3,no,sense,verdict
amendment,"amend + act",,"? + yez",ai,2,no,judged,verdict
amethyst,"purple + gem",sifaiblod,"sif + blod",ai,2,yes,sense,verdict
amino,"ammonia + group",smavaihip,"smav + hip",ai,2,yes,judged,verdict
ammonium,"ammonia + ion",,"smav + ?",ai,2,no,judged,verdict
amorphous,"no + shape",nopaideps,"nop + deps",ai,2,yes,sense,verdict
amplification,"amplify + act",,"? + yez",ai,2,no,judged,verdict
amplify,"strong + make",livaimek,"liv + mek",ai,2,yes,sense,verdict
anaesthetic,"anesthesia + thing",,"? + niv",ai,2,no,judged,verdict
anal,"anus + of",spabaiyov,"spab + yov",ai,2,yes,judged,verdict
analysis,"analyze + act",djixaiyez,"djix + yez",ai,2,yes,sense,verdict
analytical,"analysis + of",,"? + yov",ai,2,no,judged,verdict
anatomical,"anatomy + of",,"? + yov",ai,2,no,judged,verdict
ancestor,"before + kin",toraiwest,"tor + west",ai,2,yes,sense,verdict
anchovy,"salt + herring",tigzaidjup,"tigz + djup",ai,2,yes,sense,verdict
anemia,"without + blood",CevaibloC,"Cev + bloC",ai,2,yes,judged,verdict
anemone,"sea + flower + animal",malcaifloraizul,"malc + flor + zul",ai,3,yes,sense,verdict
angry,"anger + like",tidzaulak,"tidz + lak",au,2,yes,affix,verdict
angular,"angle + like",hompailak,"homp + lak",ai,2,yes,judged,verdict
anion,"negative + ion",,"dum + ?",ai,2,no,sense,verdict
anniversary,"year + loop + feast",yarailupaiCunt,"yar + lup + Cunt",ai,3,yes,sense,verdict
annoyance,"annoy + act",blevauyez,"blev + yez",au,2,yes,affix,verdict
annual,"one + year + live",zanaiyaraikib,"zan + yar + kib",ai,3,yes,sense,verdict
annular,"ring + of",ropaiyov,"rop + yov",ai,2,yes,judged,verdict
annulus,"ring + small",ropaismal,"rop + smal",ai,2,yes,judged,verdict
antagonist,"against + agent",zofaiyug,"zof + yug",ai,2,yes,judged,verdict
anteater,"ant + eat + animal",yolvaigabaizul,"yolv + gab + zul",ai,3,yes,sense,verdict
antelope,"fast + deer",fastaixars,"fast + xars",ai,2,yes,sense,verdict
anterior,"before + more",torainis,"tor + nis",ai,2,yes,judged,verdict
antibiotic,"microbe + kill + medicine",,"? + klub + gorz",ai,3,no,sense,verdict
antibodies,"antibody + many",,"? + mav",ai,2,no,judged,verdict
antigen,"antibody + generate",,"? + ?",ai,2,no,judged,verdict
antonym,"opposite + meaning",handaimog,"hand + mog",ai,2,yes,sense,verdict
anvil,"iron + block",kitxaigiks,"kitx + giks",ai,2,yes,sense,verdict
anxiety,"anxious + nature",segzainep,"segz + nep",ai,2,yes,sense,verdict
aperture,"opening",getx,"getx",ai,1,yes,sense,verdict
aphid,"sap + suck + bug",glomaigotxaipamp,"glom + gotx + pamp",ai,3,yes,sense,verdict
apical,"apex + of",,"? + yov",ai,2,no,judged,verdict
apologise,"apology + make",hipsaimek,"hips + mek",ai,2,yes,sense,verdict
apologize,"apology + make",hipsaimek,"hips + mek",ai,2,yes,sense,verdict
appearance,"appear + act",fleCauyez,"fleC + yez",au,2,yes,affix,verdict
application,"apply + act",vendauyez,"vend + yez",au,2,yes,affix,verdict
appointment,"appoint + act",txatauyez,"txat + yez",au,2,yes,affix,verdict
appreciation,"appreciate + act",lebauyez,"leb + yez",au,2,yes,affix,verdict
apprentice,"learn + agent",linaiyug,"lin + yug",ai,2,yes,sense,verdict
approximately,"approximate + manner",snozaukuq,"snoz + kuq",au,2,yes,affix,verdict
apricot,"small + peach",smalaicesp,"smal + cesp",ai,2,yes,sense,verdict
aquatic,"water + live",waCaikib,"waC + kib",ai,2,yes,sense,verdict
aqueduct,"water + road",waCaiyeb,"waC + yeb",ai,2,yes,sense,verdict
aqueous,"water + of",waCaiyov,"waC + yov",ai,2,yes,judged,verdict
arachnid,"spider + group",falpaihip,"falp + hip",ai,2,yes,sense,verdict
arboreal,"tree + live",dipaikib,"dip + kib",ai,2,yes,sense,verdict
archipelago,"island + group",gendaihip,"gend + hip",ai,2,yes,sense,verdict
architectural,"architecture + of",,"? + yov",ai,2,no,judged,verdict
architecture,"architect + act",,"? + yez",ai,2,no,judged,verdict
are,"grammar",,"?",au,1,no,grammar,verdict
argument,"argue + act",tintauyez,"tint + yez",au,2,yes,affix,verdict
arid,"very + dry",penaidral,"pen + dral",ai,2,yes,sense,verdict
arise,"come + up",gumaited,"gum + ted",ai,2,yes,sense,verdict
armadillo,"shell + animal",txalaizul,"txal + zul",ai,2,yes,sense,verdict
armor,"protect + covering",mepsaivedz,"meps + vedz",ai,2,yes,sense,verdict
armory,"armor + like",,"? + lak",au,2,no,affix,verdict
army,"military + group",gibzaihip,"gibz + hip",ai,2,yes,sense,verdict
arousal,"arouse + like",snuvaulak,"snuv + lak",au,2,yes,affix,verdict
arrangement,"arrange + act",hentauyez,"hent + yez",au,2,yes,affix,verdict
array,"order + list",nordailist,"nord + list",ai,2,yes,sense,verdict
arrest,"law + seize",xufailidj,"xuf + lidj",ai,2,yes,sense,verdict
arsenate,"arsenic + salt",,"? + tigz",ai,2,no,judged,verdict
arterial,"artery + of",yubzaiyov,"yubz + yov",ai,2,yes,judged,verdict
article,"point + term",leCaitod,"leC + tod",ai,2,yes,sense,verdict
articulation,"articulate + act",,"? + yez",ai,2,no,judged,verdict
artist,"art + agent",meqkauyug,"meqk + yug",au,2,yes,affix,verdict
artwork,"art + work",meqkaiwark,"meqk + wark",ai,2,yes,sense,verdict
ascending,"ascend + act",skiqauyez,"skiq + yez",au,2,yes,affix,verdict
ashamed,"ashame + done",,"? + ?",au,2,no,affix,verdict
aspiration,"aspirate + act",,"? + yez",ai,2,no,judged,verdict
assassin,"hire + kill + agent",bedjaiklubaiyug,"bedj + klub + yug",ai,3,yes,sense,verdict
assembly,"assemble + like",djeqaulak,"djeq + lak",au,2,yes,affix,verdict
assess,"as + female",nazaufim,"naz + fim",au,2,yes,affix,verdict
assessment,"assess + act",,"? + yez",ai,2,no,judged,verdict
asset,"own + thing",tikainiv,"tik + niv",ai,2,yes,sense,verdict
assignment,"assign + act",druqaiyez,"druq + yez",ai,2,yes,judged,verdict
assist,"as + agent",nazauyug,"naz + yug",au,2,yes,affix,verdict
assistance,"assist + act",,"? + yez",ai,2,no,judged,verdict
assistant,"assist + agent",,"? + yug",au,2,no,affix,verdict
associated,"associate + done",,"xesk + ?",au,2,no,affix,verdict
association,"associate + act",xeskauyez,"xesk + yez",au,2,yes,affix,verdict
asteroid,"rock + star",rakaistar,"rak + star",ai,2,yes,sense,verdict
astronomical,"astronomy + of",,"? + yov",ai,2,no,judged,verdict
asylum,"safe + place",stefainad,"stef + nad",ai,2,yes,sense,verdict
asymmetric,"asymmetry + like",,"? + lak",au,2,no,affix,verdict
asymmetry,"asymmetric + like",,"? + lak",au,2,no,affix,verdict
asynchronous,"not + same + time",masainobaikal,"mas + nob + kal",ai,3,yes,sense,verdict
athletic,"athlete + like",lodjaulak,"lodj + lak",au,2,yes,affix,verdict
atoll,"ring + reef",,"rop + ?",ai,2,no,sense,verdict
atomic,"atom + like",tomaulak,"tom + lak",au,2,yes,affix,verdict
atrophy,"without + nourish",,"Cev + ?",ai,2,no,judged,verdict
attached,"attach + done",,"totx + ?",au,2,no,affix,verdict
attachment,"attach + act",totxaiyez,"totx + yez",ai,2,yes,judged,verdict
attendance,"attend + act",setxauyez,"setx + yez",au,2,yes,affix,verdict
attention,"attend + act",setxauyez,"setx + yez",au,2,yes,affix,verdict
attentive,"attend + like",setxaulak,"setx + lak",au,2,yes,affix,verdict
attenuate,"weak + make",slokaimek,"slok + mek",ai,2,yes,sense,verdict
attenuation,"attenuate + act",,"? + yez",ai,2,no,judged,verdict
attraction,"attract + act",yaqkauyez,"yaqk + yez",au,2,yes,affix,verdict
attractive,"attract + like",yaqkaulak,"yaqk + lak",au,2,yes,affix,verdict
attractor,"attract + state",yaqkaidom,"yaqk + dom",ai,2,yes,sense,verdict
attrition,"rub + act",gruvaiyez,"gruv + yez",ai,2,yes,judged,verdict
audacious,"very + bold",penaijarb,"pen + jarb",ai,2,yes,sense,verdict
audible,"hear + able",pubaifip,"pub + fip",ai,2,yes,sense,verdict
auditory,"hear + of",pubaiyov,"pub + yov",ai,2,yes,judged,verdict
augury,"sign + read",saqkairid,"saqk + rid",ai,2,yes,sense,verdict
aunt,"parent + sibling",sasaitat,"sas + tat",ai,2,yes,sense,verdict
aurora,"pole + light",viksailit,"viks + lit",ai,2,yes,sense,verdict
authenticate,"true + prove",nufaipruv,"nuf + pruv",ai,2,yes,sense,verdict
authorize,"authority + give",pepsaigif,"peps + gif",ai,2,yes,sense,verdict
automated,"self + move + done",,"dep + muv + ?",ai,3,no,judged,verdict
autonomous,"autonomy + like",,"? + lak",au,2,no,affix,verdict
autonomy,"autonomous + like",,"? + lak",au,2,no,affix,verdict
autosomal,"autosome + of",,"? + yov",ai,2,no,judged,verdict
avalanche,"snow + slide",snomaislad,"snom + slad",ai,2,yes,sense,verdict
avatar,"proxy + body",skegaivat,"skeg + vat",ai,2,yes,sense,verdict
avenge,"revenge",teft,"teft",ai,1,yes,sense,verdict
avian,"bird + of",baxaiyov,"bax + yov",ai,2,yes,judged,verdict
aviation,"fly + act",lefaiyez,"lef + yez",ai,2,yes,judged,verdict
avoidable,"avoid + able",vordaifip,"vord + fip",ai,2,yes,compound,verdict
awareness,"aware + nature",dubaunep,"dub + nep",au,2,yes,affix,verdict
axial,"axis + of",vovaiyov,"vov + yov",ai,2,yes,judged,verdict
backup,"spare + copy",degzaixok,"degz + xok",ai,2,yes,sense,verdict
backward,"back + oriented",,"gok + ?",ai,2,no,sense,verdict
bacon,"pig + meat",pragaimak,"prag + mak",ai,2,yes,sense,verdict
bacterial,"bacteria + of",brakaiyov,"brak + yov",ai,2,yes,judged,verdict
badger,"badge + agent",heftauyug,"heft + yug",au,2,yes,affix,verdict
badminton,"racket + feather + ball + sport",jorvaicindaibralaipudj,"jorv + cind + bral + pudj",ai,4,yes,sense,verdict
balanced,"balance + done",,"halv + ?",au,2,no,affix,verdict
bamboo,"hollow + grass",vabzaigras,"vabz + gras",ai,2,yes,sense,verdict
bandit,"rob + agent",borgaiyug,"borg + yug",ai,2,yes,sense,verdict
banish,"ban + like",djexaulak,"djex + lak",au,2,yes,affix,verdict
banner,"ban + agent",djexauyug,"djex + yug",au,2,yes,affix,verdict
baobab,"fat + tree",wesaidip,"wes + dip",ai,2,yes,sense,verdict
baptism,"holy + bathe",mestaiblam,"mest + blam",ai,2,yes,sense,verdict
barbecue,"fire + cook",forainalf,"for + nalf",ai,2,yes,sense,verdict
barn,"farm + building",,"desp + ?",ai,2,no,sense,verdict
barnacle,"stick + shell",rebaitxal,"reb + txal",ai,2,yes,sense,verdict
barracks,"soldier + house",,"? + puz",ai,2,no,sense,verdict
barrel,"round + wood + container",mapsaivriCaiweps,"maps + vriC + weps",ai,3,yes,sense,verdict
barter,"thing + trade",nivaitred,"niv + tred",ai,2,yes,sense,verdict
basalt,"dark + rock",ramairak,"ram + rak",ai,2,yes,sense,verdict
baseball,"bat + ball + sport",batxaibralaipudj,"batx + bral + pudj",ai,3,yes,sense,verdict
baseline,"base + line",besaizob,"bes + zob",ai,2,yes,compound,verdict
basement,"base + act",besauyez,"bes + yez",au,2,yes,affix,verdict
basic,"base + like",besaulak,"bes + lak",au,2,yes,affix,verdict
basket,"weave + open + container",worvaizarkaiweps,"worv + zark + weps",ai,3,yes,sense,verdict
basketball,"basket + ball + sport",,"? + bral + pudj",ai,3,no,sense,verdict
bath,"bathe + place",blamainad,"blam + nad",ai,2,yes,sense,verdict
bearer,"bear + one",nuqkaizan,"nuqk + zan",ai,2,yes,judged,verdict
bearing,"bear + act",nuqkauyez,"nuqk + yez",au,2,yes,affix,verdict
beautiful,"beauty + full",batauvup,"bat + vup",au,2,yes,affix,verdict
beautify,"beauty + make",bataumek,"bat + mek",au,2,yes,affix,verdict
beaver,"wood + cut + river + rat",vriCaizepainarvaidimp,"vriC + zep + narv + dimp",ai,4,yes,sense,verdict
beef,"cow + meat",vaqkaimak,"vaqk + mak",ai,2,yes,sense,verdict
been,"grammar",,"?",au,1,no,grammar,verdict
beetle,"shell + bug",txalaipamp,"txal + pamp",ai,2,yes,sense,verdict
beggar,"beg + agent",nispaiyug,"nisp + yug",ai,2,yes,sense,verdict
beginner,"begin + agent",morkauyug,"mork + yug",au,2,yes,affix,verdict
beginning,"begin + act",morkauyez,"mork + yez",au,2,yes,affix,verdict
behavior,"behave + agent",kolvauyug,"kolv + yug",au,2,yes,affix,verdict
being,"grammar",,"?",au,1,no,grammar,verdict
belief,"believe + act",pofaiyez,"pof + yez",ai,2,yes,sense,verdict
belittle,"less + important + make",gefaiportaimek,"gef + port + mek",ai,3,yes,sense,verdict
belly,"bell + like",gentaulak,"gent + lak",au,2,yes,affix,verdict
beneficial,"benefit + like",sintailak,"sint + lak",ai,2,yes,sense,verdict
benevolent,"other + good + want",nezaitafaiwant,"nez + taf + want",ai,3,yes,sense,verdict
benzoate,"benzoic + salt",,"? + tigz",ai,2,no,judged,verdict
besides,"beside + many",sadjaumav,"sadj + mav",au,2,yes,affix,verdict
best,"grammar",,"?",au,1,no,grammar,verdict
best case,"best + possible + outcome",,"? + yen + wutx",ai,3,no,sense,verdict
better,"grammar",,"?",au,1,no,grammar,verdict
beverage,"drink + thing",dugainiv,"dug + niv",ai,2,yes,judged,verdict
bible,"holy + book",mestaivam,"mest + vam",ai,2,yes,sense,verdict
bicycle,"bike",,"?",ai,1,no,sense,verdict
bifurcate,"behavior + branch + threshold",,"? + lum + droq",ai,3,no,sense,verdict
bike,"bicycle",,"?",ai,1,no,clipping,verdict
bilateral,"two + side + symmetry",dobaisardaimatx,"dob + sard + matx",ai,3,yes,sense,verdict
billion,"bill + act",xazauyez,"xaz + yez",au,2,yes,affix,verdict
binary,"two + system",dobaiwux,"dob + wux",ai,2,yes,sense,verdict
binder,"bind + thing",binainiv,"bin + niv",ai,2,yes,judged,verdict
biodiversity,"life + diversity",,"cad + ?",ai,2,no,sense,verdict
biological,"life + study + like",cadainedzailak,"cad + nedz + lak",ai,3,yes,sense,verdict
biology,"life + study",cadainedz,"cad + nedz",ai,2,yes,sense,verdict
biome,"life + region",cadairoqk,"cad + roqk",ai,2,yes,sense,verdict
birch,"white + bark + tree",wipaiyogzaidip,"wip + yogz + dip",ai,3,yes,sense,verdict
birthday,"birth + day",dolbaiyam,"dolb + yam",ai,2,yes,sense,verdict
bishop,"church + chief",,"? + wob",ai,2,no,sense,verdict
bison,"wild + cow",waldaivaqk,"wald + vaqk",ai,2,yes,sense,verdict
blackberry,"black + berry",vogaiglaf,"vog + glaf",ai,2,yes,sense,verdict
blanket,"bed + covering",vifaivedz,"vif + vedz",ai,2,yes,sense,verdict
bleat,"sheep + call",zigzaikar,"zigz + kar",ai,2,yes,sense,verdict
blend in,"same + seem + become",nobaifopaijef,"nob + fop + jef",ai,3,yes,sense,verdict
blessing,"bless + act",godjauyez,"godj + yez",au,2,yes,affix,verdict
blindness,"blind + ness",,"nald + ?",ai,2,no,judged,verdict
blizzard,"snow + storm",snomaideqk,"snom + deqk",ai,2,yes,sense,verdict
blockade,"block + act",giksaiyez,"giks + yez",ai,2,yes,sense,verdict
blocker,"block + agent",giksaiyug,"giks + yug",ai,2,yes,judged,verdict
blossom,"tree + flower",dipaiflor,"dip + flor",ai,2,yes,sense,verdict
blotch,"rough + spot",gabzaimals,"gabz + mals",ai,2,yes,sense,verdict
blueberry,"blue + berry",bulaiglaf,"bul + glaf",ai,2,yes,sense,verdict
blurred,"blur + done",,"blor + ?",au,2,no,affix,verdict
boar,"wild + pig",waldaiprag,"wald + prag",ai,2,yes,sense,verdict
boastful,"boast + like",spunailak,"spun + lak",ai,2,yes,sense,verdict
bodily,"body + like",vatailak,"vat + lak",ai,2,yes,judged,verdict
bony,"bone + like",brodailak,"brod + lak",ai,2,yes,judged,verdict
boor,"rude + coarse + agent",buksaisnicaiyug,"buks + snic + yug",ai,3,yes,sense,verdict
boot,"tall + shoe",talsaidebz,"tals + debz",ai,2,yes,sense,verdict
border,"bound + between",tudjaitin,"tudj + tin",ai,2,yes,sense,verdict
bored,"bore + done",,"jesp + ?",au,2,no,affix,verdict
boredom,"bore + state",jespaudom,"jesp + dom",au,2,yes,affix,verdict
boring,"bore + act",jespauyez,"jesp + yez",au,2,yes,affix,verdict
bother,"both + agent",korauyug,"kor + yug",au,2,yes,affix,verdict
bottle,"narrow + neck + container",Ceftaimondaiweps,"Ceft + mond + weps",ai,3,yes,sense,verdict
bottleneck,"flow + limit + component",suntaizarfaismif,"sunt + zarf + smif",ai,3,yes,sense,verdict
boulder,"big + rock + piece",bratairakaifuf,"brat + rak + fuf",ai,3,yes,sense,verdict
boundary,"bound + line",tudjaizob,"tudj + zob",ai,2,yes,sense,verdict
bounded,"bound + have",tudjaihaz,"tudj + haz",ai,2,yes,sense,verdict
bounty,"gift + pay",,"? + peq",ai,2,no,sense,verdict
bovine,"cow + of",vaqkaiyov,"vaqk + yov",ai,2,yes,judged,verdict
branching,"branch + act",lumauyez,"lum + yez",au,2,yes,affix,verdict
brass,"yellow + copper",buxairov,"bux + rov",ai,2,yes,sense,verdict
bray,"small + horse + call",smalaihorsaikar,"smal + hors + kar",ai,3,yes,sense,verdict
brazen,"bold + shameless",,"jarb + ?",ai,2,no,sense,verdict
breadth,"broad + measure",horbaiyaj,"horb + yaj",ai,2,yes,sense,verdict
breaker,"break + thing",geqainiv,"geq + niv",ai,2,yes,judged,verdict
breakfast,"morning + meal",tanaidarg,"tan + darg",ai,2,yes,sense,verdict
bridle,"horse + head + strap",horsaihadairegz,"hors + had + regz",ai,3,yes,sense,verdict
brightness,"bright + nature",dinaunep,"din + nep",au,2,yes,affix,verdict
bristle,"stiff + hair",fatxaifif,"fatx + fif",ai,2,yes,sense,verdict
broadcast,"broad + cast",horbaikast,"horb + kast",ai,2,yes,compound,verdict
broker,"deal + middle + agent",djataimadaiyug,"djat + mad + yug",ai,3,yes,sense,verdict
bromide,"bromine + compound",,"? + Ceqk",ai,2,no,judged,verdict
bronze,"copper + tin",rovaixalb,"rov + xalb",ai,2,yes,sense,verdict
brook,"small + stream",smalaixuts,"smal + xuts",ai,2,yes,sense,verdict
buccal,"cheek + of",Ciksaiyov,"Ciks + yov",ai,2,yes,judged,verdict
bucket,"open + carry + container",zarkaimaftaiweps,"zark + maft + weps",ai,3,yes,sense,verdict
buddy,"bud + like",gondaulak,"gond + lak",au,2,yes,affix,verdict
budget,"money + plan",povaiplan,"pov + plan",ai,2,yes,sense,verdict
buffalo,"wild + cow",waldaivaqk,"wald + vaqk",ai,2,yes,sense,verdict
builder,"build + one",gufaizan,"guf + zan",ai,2,yes,judged,verdict
building,"build + act",gufauyez,"guf + yez",au,2,yes,affix,verdict
bunker,"under + shelter",betaivond,"bet + vond",ai,2,yes,sense,verdict
buoyancy,"buoyant + nature",,"? + nep",ai,2,no,sense,verdict
burglar,"house + steal + agent",puzaimuksaiyug,"puz + muks + yug",ai,3,yes,sense,verdict
bus,"omnibus",,"?",ai,1,no,clipping,verdict
busy,"bus + like",,"? + lak",au,2,no,affix,verdict
butte,"narrow + flat + hill",Ceftaiflataigagz,"Ceft + flat + gagz",ai,3,yes,sense,verdict
butterfly,"day + moth",yamaiplem,"yam + plem",ai,2,yes,sense,verdict
cab,"cabriolet",,"?",ai,1,no,clipping,verdict
calcification,"calcium + act",krazaiyez,"kraz + yez",ai,2,yes,judged,verdict
calcite,"chalk + crystal",glifaikuqk,"glif + kuqk",ai,2,yes,sense,verdict
caldera,"big + crater",brataibrof,"brat + brof",ai,2,yes,sense,verdict
callous,"suffer + insensitive",bugzaigron,"bugz + gron",ai,2,yes,sense,verdict
camel,"hump + horse",witsaihors,"wits + hors",ai,2,yes,sense,verdict
canal,"can + like",kardaulak,"kard + lak",au,2,yes,affix,verdict
candor,"candy + agent",galvauyug,"galv + yug",au,2,yes,affix,verdict
canine,"point + tooth",leCaicutx,"leC + cutx",ai,2,yes,sense,verdict
canola,"oil + seed",gipsaisid,"gips + sid",ai,2,yes,sense,verdict
canonical,"canon + of",stazaiyov,"staz + yov",ai,2,yes,judged,verdict
capability,"cap + ability",,"talb + ?",au,2,no,affix,verdict
capable,"cap + able",talbaufip,"talb + fip",au,2,yes,affix,verdict
cape,"land + point",lanaileC,"lan + leC",ai,2,yes,sense,verdict
capillary,"narrow + tube + liquid + rise",Ceftaitubaikridairiz,"Ceft + tub + krid + riz",ai,4,yes,sense,verdict
captive,"capture + done",,"femp + ?",ai,2,no,sense,verdict
carapace,"back + shell",gokaitxal,"gok + txal",ai,2,yes,sense,verdict
carbohydrate,"sugar + chain",gandailip,"gand + lip",ai,2,yes,sense,verdict
carbonate,"carbon + salt",rintaitigz,"rint + tigz",ai,2,yes,judged,verdict
carbonyl,"carbon + group",rintaihip,"rint + hip",ai,2,yes,judged,verdict
carboxylate,"carboxyl + salt",,"? + tigz",ai,2,no,judged,verdict
