english                 tune    shape  role           uses  head  source
artifact                spom    ccvc   noun              0     0  fill
artificial              liks    cvcc   adjective         1     0  fill
as                      naz     cvc    preposition       5     1  hand
ascend                  skiq    ccvc   verb              0     0  fill
ash                     prax    ccvc   noun              3     2  hand
ash                     xent    cvcc   noun              3     2  fill
ask                     xask    cvcc   verb             21    10  hand
asleep                  sip     cvc    adjective         0     0  hand
aspect                  vas     cvc    noun              1     1  hand
assault                 keqk    cvcc   noun              1     1  fill
assemble                djeq    ccvc   verb              0     0  fill
assert                  sur            verb              0     0  hand
assign                  druq    ccvc   verb              4     2  fill
assimilate              flav    ccvc   verb              0     0  fill
associate               xesk    cvcc   verb              1     0  fill
assume                  golf    cvcc   verb              3     0  fill
assurance               txaq    ccvc   noun              2     1  fill
at                      hat     cvc    preposition      11     9  hand
athlete                 lodj    cvcc   noun              1     1  fill
atmosphere              fugz    cvcc   noun              1     0  fill
atom                    tom     cvc    noun              7     5  hand
attach                  totx    cvcc   verb              4     0  hand
attack                  wuf     cvc    verb             21    14  short
attempt                 tedj    cvcc   verb              1     1  fill
attend                  setx    cvcc   verb              1     0  fill
attention               rix     cvc    noun              4     4  short
attitude                biks    cvcc   noun              4     4  fill
attract                 yaqk    cvcc   verb              7     1  fill
attribute               skev    ccvc   verb              0     0  fill
audio                   yalz    cvcc   noun              0     0  fill
audit                   spaq    ccvc   noun              0     0  fill
aura                    trof    ccvc   noun              0     0  fill
author                  jidj    cvcc   noun              4     3  fill
authority               peps    cvcc   noun              2     2  fill
automatic               Cagz    cvcc   adjective         3     0  fill
autumn                  grab    ccvc   noun              0     0  fill
available               bisk    cvcc   adjective         0     0  fill
average                 vraj    ccvc   adjective         4     1  hand
aversion                snez    ccvc   noun              1     0  fill
avoid                   vord    cvcc   verb              6     1  hand
await                   duf     cvc    verb              1     0  short
awake                   bud     cvc    adjective         3     3  hand
award                   zolv    cvcc   verb              4     2  fill
aware                   dub     cvc    adjective         7     3  hand
away                    yad     cvc    adverb          119    80  hand
awe                     brex    ccvc   noun              0     0  fill
awful                   marf    cvcc   adjective         1     0  fill
awkward                 sigz    cvcc   adjective         3     1  fill
axe                     rubz    cvcc   noun              4     4  fill
axis                    vov     cvc    noun              1     1  hand
baby                    beb     cvc    noun             16     7  hand
back                    gok     cvc    verb            151   104  hand
bacteria                brak    ccvc   noun              0     0  hand
bad                     fut     cvc    adjective       172    19  hand
badge                   heft    cvcc   noun              1     1  fill
bag                     rod     cvc    noun             24    21  short
bait                    blet    ccvc   noun              0     0  hand
bake                    ceft    cvcc   verb              3     1  fill
balance                 halv    cvcc   verb              7     2  fill
ball                    bral    ccvc   noun             16    16  hand
balloon                 xarf    cvcc   noun              1     0  fill
balm                    frov    ccvc   noun              2     2  fill
ban                     djex    ccvc   verb              1     1  fill
banana                  fitx    cvcc   noun              1     0  fill
band                    mups    cvcc   verb             13     8  fill
bang                    beq     cvc    verb              0     0  hand
bank                    lar     cvc    verb              4     2  short
bank                    las     cvc    verb              4     2  short
bar                     led     cvc    verb             11     6  short
barb                    barb    cvcc   noun              0     0  hand
bare                    xold    cvcc   adjective         5     2  fill
bargain                 vars    cvcc   verb              0     0  fill
bark                    yogz    cvcc   verb              4     4  fill
barley                  skif    ccvc   noun              1     0  fill
barren                  smaC    ccvc   adjective         2     0  fill
barrier                 glof    ccvc   noun              4     4  fill
base                    gont    cvcc   verb             27    24  fill
base                    bes     cvc    verb             27    24  hand
basin                   triz    ccvc   noun              0     0  fill
basis                   varf    cvcc   noun              1     1  fill
bask                    frux    ccvc   noun              0     0  fill
bass                    jarf    cvcc   noun              0     0  fill
bat                     batx    cvcc   noun              3     1  hand
batch                   word    cvcc   noun              0     0  fill
bathe                   blam    ccvc   verb              0     0  fill
battery                 veps    cvcc   noun              0     0  fill
battle                  nutx    cvcc   verb             10     5  fill
bay                     balb    cvcc   noun              2     2  fill
be                      baq     cvc    verb             45    30  hand
beach                   molp    cvcc   noun              0     0  fill
bead                    spef    ccvc   noun              1     1  fill
beak                    bruk    ccvc   noun              0     0  hand
beam                    blim    ccvc   noun              8     7  hand
bean                    Colv    cvcc   noun              2     0  fill
bear                    nuqk    cvcc   verb             19    13  hand
beard                   vitx    cvcc   noun              0     0  fill
beast                   bist    cvcc   noun              3     3  hand
beat                    bit     cvc    verb             16     7  hand
beauty                  bat     cvc    noun             11     8  hand
because                 tuz     cvc    conjunction       0     0  hand
become                  jef     cvc    verb              5     0  short
bed                     vif     cvc    noun             36    15  short
bee                     fest    cvcc   noun             15     1  fill
beep                    brip    ccvc   noun              0     0  hand
beer                    mimp    cvcc   noun              1     0  fill
before                  tor     cvc    conjunction      74     5  hand
beg                     nisp    cvcc   verb              2     1  fill
begin                   mork    cvcc   verb             19     4  fill
behave                  kolv    cvcc   verb              0     0  fill
behind                  vib     cvc    adjective         6     3  short
believe                 pof     cvc    verb             39    35  short
bell                    gent    cvcc   noun              9     3  fill
belong                  norb    cvcc   verb              2     0  fill
below                   dodj    cvcc   adjective        37     0  fill
belt                    barz    cvcc   verb              2     0  fill
bend                    bend    cvcc   verb             32    12  hand
beneath                 vodz    cvcc   adjective         1     0  fill
benefit                 sint    cvcc   verb              5     5  fill
berry                   glaf    ccvc   noun              2     2  fill
beside                  sadj    cvcc   adjective         4     0  hand
bet                     vop     cvc    verb              3     1  short
betray                  xedz    cvcc   verb              3     0  fill
between                 tin     cvc    preposition      37     3  hand
beyond                  nump    cvcc   adjective        26     4  fill
bias                    smim    ccvc   verb              4     3  fill
bid                     visk    cvcc   verb              1     0  fill
big                     brat    ccvc   adjective       121     9  hand
bile                    vriz    ccvc   noun              0     0  fill
bill                    xaz     cvc    noun              0     0  short
bill                    xar     cvc    noun              0     0  short
bind                    bin     cvc    verb             15    11  short
bird                    bax     cvc    noun             33    17  hand
birth                   dolb    cvcc   noun             21    13  fill
bit                     vic     cvc    verb              9     9  hand
bite                    bed     cvc    verb             11     7  hand
bitter                  vump    cvcc   adjective         5     1  fill
black                   vog     cvc    adjective         6     2  hand
bladder                 wuts    cvcc   noun              1     0  fill
blade                   zalf    cvcc   noun             11     9  fill
blame                   moks    cvcc   verb             14    11  fill
bland                   spod    ccvc   adjective         0     0  fill
blank                   folf    cvcc   adjective         0     0  fill
blast                   kunt    cvcc   verb              4     0  fill
blaze                   txen    ccvc   noun              2     2  fill
bleed                   falt    cvcc   verb              3     1  fill
blemish                 frof    ccvc   noun              1     1  fill
blend                   weks    cvcc   verb              9     4  fill
bless                   godj    cvcc   verb              3     1  fill
blind                   nald    cvcc   adjective         1     1  fill
blink                   rarv    cvcc   verb              1     1  fill
bliss                   djan    ccvc   noun              0     0  fill
bloat                   flaf    ccvc   verb              0     0  fill
blob                    blab    ccvc   noun              0     0  hand
block                   giks    cvcc   verb             39    20  fill
blog                    frem    ccvc   noun              1     1  fill
blood                   bloC    ccvc   noun             44     5  hand
bloom                   blum    ccvc   noun              3     2  hand
blot                    stun    ccvc   noun              1     0  fill
blow                    blof    ccvc   verb             12     3  hand
blue                    bul            adjective         1     1  hand
bluff                   calv    cvcc   noun              0     0  fill
blunt                   ruqk    cvcc   adjective         1     1  fill
blur                    blor    ccvc   verb              0     0  hand
board                   marz    cvcc   verb             13    13  fill
boast                   spun    ccvc   verb              0     0  fill
boat                    bot     cvc    verb             16     8  hand
bob                     ror     cvc    noun              2     0  short
body                    vat     cvc    noun            109    48  hand
bog                     stop    ccvc   verb              0     0  fill
boil                    yigz    cvcc   verb              7     3  fill
bold                    jarb    cvcc   adjective        13     6  fill
bolt                    Cogz    cvcc   noun              2     1  fill
bomb                    mudj    cvcc   verb              5     3  fill
bond                    nuq     cvc    verb             12    11  hand
bondage                 kliz    ccvc   noun              0     0  fill
bone                    brod    ccvc   verb             26    20  hand
bonus                   xeqk    cvcc   noun              1     0  fill
book                    vam     cvc    verb             45    24  short
boom                    bum     cvc    verb              0     0  hand
bore                    jesp    cvcc   verb              3     0  fill
bore                    jesk    cvcc   verb              3     0  fill
born                    lof     cvc    verb              0     0  short
borrow                  fup     cvc    verb              1     0  hand
boss                    fux     cvc    noun              2     2  short
both                    kor     cvc    determiner        4     1  short
bottom                  kis     cvc    adjective        12     4  hand
bounce                  fodz    cvcc   verb              6     2  fill
bound                   tudj    cvcc   adjective         0     0  fill
bow                     pobz    cvcc   noun              6     5  fill
bowel                   gliv    ccvc   noun              2     1  fill
bowl                    pift    cvcc   noun              6     4  fill
box                     braz    ccvc   verb             58    49  hand
boy                     puk     cvc    noun              5     4  short
brace                   catx    cvcc   noun              2     2  fill
bracken                 frex    ccvc   verb              0     0  fill
brag                    glap    ccvc   noun              1     0  fill
braid                   bred    ccvc   noun              1     0  hand
brain                   bren    ccvc   noun             17     4  hand
brake                   cubz    cvcc   verb              0     0  fill
bran                    snat    ccvc   noun              0     0  fill
branch                  lum     cvc    verb              4     3  hand
brand                   seft    cvcc   verb              2     1  fill
brave                   brev    ccvc   adjective        12     2  hand
bravo                   tand    cvcc   interjection      0     0  fill
bread                   dalf    cvcc   noun             14     6  fill
break                   ged     cvc    verb             79    34  short
break                   geg     cvc    verb             79    34  short
break                   geq     cvc    verb             79    34  short
breast                  xamp    cvcc   noun             10     0  fill
breath                  nogz    cvcc   noun             29    14  fill
breathe                 nets    cvcc   verb             11     6  fill
breed                   cesk    cvcc   verb              3     2  fill
breeze                  xutx    cvcc   noun              2     1  fill
bribe                   cund    cvcc   verb              1     1  fill
brick                   fark    cvcc   noun              3     1  fill
bride                   balp    cvcc   noun              2     1  fill
bridge                  nalb    cvcc   verb              0     0  fill
brief                   brif    ccvc   adjective         9     5  hand
bright                  din     cvc    adjective        28    11  short
brilliant               galz    cvcc   adjective         0     0  fill
brim                    skef    ccvc   noun              0     0  fill
bring                   briq    ccvc   verb             55     8  hand
brittle                 snim    ccvc   noun              0     0  fill
broad                   horb    cvcc   adjective         4     0  fill
broken                  mift    cvcc   adjective         0     0  fill
brood                   spob    ccvc   noun              0     0  fill
broth                   skex    ccvc   noun              0     0  fill
brother                 siq     cvc    noun              7     1  short
brow                    brol    ccvc   noun              0     0  hand
brown                   cov     cvc    adjective         2     1  hand
browse                  fruq    ccvc   noun              0     0  fill
bruise                  djif    ccvc   verb              1     0  fill
brush                   sisp    cvcc   verb              3     2  fill
bubble                  jimp    cvcc   verb             15     8  fill
buckle                  ralf    cvcc   verb              0     0  fill
bud                     gond    cvcc   verb              0     0  fill
buff                    blax    ccvc   adjective         0     0  fill
buffer                  klon    ccvc   verb              0     0  fill
bug                     pamp    cvcc   noun             20    15  fill
build                   guf     cvc    verb             52    35  short
bulb                    wusk    cvcc   noun              0     0  fill
bulge                   stox    ccvc   noun              4     2  fill
bulk                    txuC    ccvc   verb              0     0  fill
bull                    dund    cvcc   noun              2     0  fill
bullet                  gesp    cvcc   noun              0     0  fill
bully                   Cidz    cvcc   verb              1     1  fill
bump                    bamp    cvcc   verb              7     6  hand
bun                     driC    ccvc   noun              1     1  fill
bunch                   motx    cvcc   noun              6     6  fill
bundle                  grim    ccvc   verb              3     3  fill
burden                  fobz    cvcc   verb              3     2  fill
burn                    molc    cvcc   verb             32     9  fill
burp                    borp    cvcc   verb              1     0  hand
burrow                  flif    ccvc   noun              1     0  fill
burst                   bust    cvcc   verb             17     7  hand
bury                    parf    cvcc   verb              7     0  fill
bush                    send    cvcc   noun              4     2  fill
bust                    dold    cvcc   verb              0     0  fill
but                     ket     cvc    conjunction       0     0  hand
butcher                 xodj    cvcc   noun              0     0  fill
butt                    blut    ccvc   verb              0     0  hand
butter                  pond    cvcc   noun              0     0  fill
button                  dond    cvcc   noun              5     2  fill
buy                     zuf     cvc    verb             12     7  short
buzz                    bruz    ccvc   verb              3     0  hand
by                      baC     cvc    preposition      18     3  hand
byte                    veb     cvc    noun              0     0  hand
cabbage                 drif    ccvc   noun              1     0  fill
cable                   pigz    cvcc   noun              2     0  fill
cache                   froq    ccvc   noun              0     0  fill
cactus                  drij    ccvc   noun              0     0  fill
cage                    porg    cvcc   verb              0     0  fill
cake                    krek    ccvc   verb              8     7  hand
calcium                 kraz    ccvc   noun              0     0  fill
calculate               txev    ccvc   verb              2     1  fill
calculus                skig    ccvc   noun              0     0  fill
calendar                Cemp    cvcc   noun              2     0  fill
call                    kar     cvc    verb             27    14  hand
calm                    kam     cvc    adjective        33     6  hand
camera                  mort    cvcc   noun              8     6  fill
camouflage              traz    ccvc   noun              0     0  fill
camp                    kamp    cvcc   verb              4     3  hand
can                     kard    cvcc   verb             16     2  hand
cancel                  tuft    cvcc   verb              5     1  fill
cancer                  budj    cvcc   noun              0     0  fill
candidate               xobz    cvcc   noun              0     0  fill
candle                  xusp    cvcc   noun              2     1  fill
candor                  stez    ccvc   noun              0     0  fill
candy                   galv    cvcc   noun              3     2  fill
cannot                  fuk     cvc    verb              0     0  short
canon                   staz    ccvc   noun              0     0  fill
canvas                  woqk    cvcc   noun              0     0  fill
canyon                  xump    cvcc   noun              0     0  fill
cap                     talb    cvcc   verb              7     6  fill
capacity                xups    cvcc   noun              0     0  fill
capital                 vind    cvcc   noun              0     0  fill
captain                 zal     cvc    noun              1     1  short
capture                 femp    cvcc   verb              8     6  fill
car                     tib     cvc    noun             26    12  short
carbon                  rint    cvcc   noun             11     9  fill
carcass                 smev    ccvc   noun              0     0  fill
card                    lez     cvc    noun              3     1  short
cardinal                wolz    cvcc   adjective         0     0  fill
care                    kriq    ccvc   verb             53    34  hand
carp                    vreq    ccvc   noun              0     0  fill
carry                   maft    cvcc   verb             30    13  fill
cart                    xets    cvcc   noun              8     5  fill
cartilage               vrac    ccvc   noun              0     0  fill
carve                   djon    ccvc   verb              5     1  fill
cascade                 fram    ccvc   noun              0     0  fill
case                    nor     cvc    noun             32    30  short
cast                    kast    cvcc   verb              7     5  hand
castle                  pibz    cvcc   noun              0     0  fill
casual                  jusp    cvcc   adjective         1     0  fill
cat                     klat    ccvc   noun              6     4  hand
catalog                 drit    ccvc   verb              0     0  fill
catch                   vuc     cvc    verb             32    14  hand
category                wolc    cvcc   noun              1     1  fill
cattle                  zeft    cvcc   noun              2     0  fill
cause                   kaz     cvc    verb             50    17  hand
caution                 redj    cvcc   verb              1     0  fill
cautious                glug    ccvc   adjective         3     0  fill
cave                    kliv    ccvc   verb              5     1  hand
cavity                  djub    ccvc   noun              0     0  fill
cease                   skoq    ccvc   verb              2     1  hand
ceiling                 xorf    cvcc   noun              0     0  fill
celebrate               badz    cvcc   verb              1     0  fill
cell                    mudz    cvcc   noun             31    20  fill
celsius                 sals    cvcc   noun              0     0  hand
cement                  lolb    cvcc   noun              0     0  fill
center                  nav     cvc    verb             21    10  hand
central                 barp    cvcc   adjective         3     0  fill
century                 parg    cvcc   noun              0     0  fill
ceramic                 snuk    ccvc   adjective         1     1  fill
cereal                  ceks    cvcc   noun              2     1  fill
ceremony                higz    cvcc   noun              5     3  fill
certain                 sart    cvcc   adjective         5     0  hand
certificate             xeft    cvcc   noun              1     0  fill
chain                   lip     cvc    verb             12     8  hand
chair                   neqk    cvcc   verb              1     1  fill
chalk                   glif    ccvc   noun              0     0  fill
challenge               pubz    cvcc   verb              6     4  fill
chamber                 zuft    cvcc   noun              8     6  fill
champion                pabz    cvcc   noun              1     1  fill
chance                  zeq     cvc    noun             25    19  short
change                  xun     cvc    verb            152    86  hand
channel                 bark    cvcc   verb              3     3  fill
chant                   plik    ccvc   verb              1     1  fill
chaos                   xits    cvcc   noun              2     1  fill
chaotic                 spam    ccvc   adjective         1     0  fill
chapter                 valt    cvcc   noun              0     0  fill
char                    smut    ccvc   noun              1     0  fill
character               gesk    cvcc   noun              9     8  fill
charge                  ruf     cvc    verb             19    16  short
charm                   hisk    cvcc   verb             12     6  fill
chart                   xind    cvcc   verb              7     5  fill
chase                   txes    ccvc   noun              3     1  hand
cheap                   galb    cvcc   adjective         0     0  fill
cheat                   kend    cvcc   verb              4     0  fill
check                   txak    ccvc   verb             30    17  hand
cheek                   Ciks    cvcc   noun              1     0  fill
cheer                   tond    cvcc   verb              3     1  fill
cheese                  gedj    cvcc   noun              0     0  fill
chest                   gitx    cvcc   noun              8     2  fill
chew                    txut    ccvc   verb              4     2  hand
chick                   bips    cvcc   noun              1     0  fill
chief                   wob     cvc    adjective        10     3  short
child                   gag     cvc    noun             37    24  hand
chime                   xam     cvc    noun              0     0  hand
chin                    vigz    cvcc   noun              0     0  fill
chip                    txap    ccvc   verb              4     3  hand
chisel                  skam    ccvc   noun              0     0  fill
chlorine                vraq    ccvc   noun              0     0  fill
chocolate               dadj    cvcc   noun              0     0  fill
choir                   yups    cvcc   noun              1     0  fill
choke                   cift    cvcc   noun              1     0  fill
choose                  txuz    ccvc   verb             13     4  hand
chop                    zimp    cvcc   verb              3     2  fill
chord                   trox    ccvc   noun              0     0  fill
chorus                  colv    cvcc   noun              0     0  fill
chronic                 rund    cvcc   adjective         1     0  fill
chuck                   pisp    cvcc   noun              0     0  fill
chunk                   worp    cvcc   noun              1     1  fill
chute                   glik    ccvc   verb              1     1  fill
cigarette               bimp    cvcc   noun              0     0  fill
circle                  salk    cvcc   verb             28    10  hand
circuit                 Cutx    cvcc   noun              0     0  fill
circulate               skid    ccvc   verb              0     0  fill
circumvent              flon    ccvc   verb              0     0  fill
citizen                 zent    cvcc   noun              1     0  fill
citrus                  floq    ccvc   noun              0     0  fill
city                    vug     cvc    noun             12     6  short
civil                   himp    cvcc   adjective         0     0  fill
claim                   klem    ccvc   verb             22    19  hand
clam                    wuft    cvcc   noun              0     0  fill
clamp                   Corv    cvcc   noun              1     0  fill
clan                    wolt    cvcc   noun              1     0  fill
clang                   skoz    ccvc   noun              0     0  fill
clap                    left    cvcc   verb              2     0  fill
clash                   snep    ccvc   noun              6     4  fill
clasp                   stit    ccvc   noun              1     1  fill
class                   gev     cvc    noun             18    14  short
clatter                 vrod    ccvc   noun              1     0  fill
clause                  dran    ccvc   noun              1     1  fill
claw                    klan    ccvc   verb              1     0  hand
clay                    vart    cvcc   noun              3     1  fill
clean                   klin    ccvc   adjective        60    17  hand
cleanse                 smoz    ccvc   verb              0     0  fill
clear                   vob     cvc    adjective        87    38  short
clerk                   zorg    cvcc   noun              0     0  fill
clever                  dunt    cvcc   adjective         8     2  fill
click                   klek    ccvc   verb              1     1  hand
client                  must    cvcc   noun              1     1  fill
cliff                   pidj    cvcc   noun              1     0  fill
climate                 glek    ccvc   noun              1     1  fill
climb                   kim     cvc    verb             11     3  hand
cling                   blan    ccvc   verb              0     0  fill
clip                    yagz    cvcc   verb              1     1  fill
clitoris                spuq    ccvc   noun              0     0  fill
clock                   klak    ccvc   noun              4     4  hand
clone                   kep     cvc    verb              0     0  hand
close                   kloz    ccvc   adjective        52    28  hand
closure                 djog    ccvc   noun              0     0  fill
clot                    truz    ccvc   noun              1     0  fill
cloth                   corv    cvcc   noun             61    51  fill
cloud                   klad    ccvc   verb              3     2  hand
club                    rig     cvc    verb              3     1  short
clue                    kuf     cvc    noun              2     2  hand
clump                   flep    ccvc   noun              3     2  fill
clumsy                  yold    cvcc   adjective         2     0  fill
cluster                 snan    ccvc   noun              1     0  fill
clutch                  blaj    ccvc   noun              0     0  fill
coarse                  snic    ccvc   adjective         0     0  fill
coast                   dusp    cvcc   noun              1     1  fill
coat                    nusp    cvcc   verb             14    12  fill
cob                     vrud    ccvc   noun              1     0  fill
cobalt                  frug    ccvc   noun              0     0  fill
cock                    vorg    cvcc   noun              1     0  fill
cod                     plam    ccvc   noun              0     0  fill
code                    kod     cvc    verb             19    15  hand
coffee                  foq     cvc    noun              1     1  short
coil                    smid    ccvc   noun              2     1  fill
coin                    folk    cvcc   noun              1     1  fill
coincide                vriv    ccvc   verb              0     0  fill
