english               tune                          english parts                     tune parts
arteriole             smalaiyubz                    small + artery                    smal + yubz
arteritis             yubzaiparb                    artery + swell                    yubz + parb
arthritis             dolfaifrep                    joint + inflammation              dolf + frep
arthropathy           dolfaibidj                    joint + disease                   dolf + bidj
artillery             nantaizaz                     heavy + gun                       nant + zaz
asbestos              rentairak                     thread + rock                     rent + rak
ascites               blinaiwaC                     belly + water                     blin + waC
aside                 hataisard                     at + side                         hat + sard
asparagine            -                             amino + acid                      ? + falf
aspen                 gempailifaidip                shake + leaf + tree               gemp + lif + dip
aspirin               muzaipudzaisom                pain + fever + drug               muz + pudz + som
assay                 tasaihund                     test + sample                     tas + hund
astatine              klokaitom                     quick + atom                      klok + tom
aster                 staraiflor                    star + flower                     star + flor
asthma                tratainogz                    tight + breath                    trat + nogz
astrocyte             staraimudz                    star + cell                       star + mudz
ataxia                nopainord                     no + order                        nop + nord
atlas                 deqaivam                      map + book                        deq + vam
atorvastatin          -                             blood + fat + lower               bloC + wes + ?
atresia               nopaijaqk                     no + passage                      nop + jaqk
atrium                drozaitif                     enter + room                      droz + tif
automobile            depaimuv                      self + move                       dep + muv
avocado               wesaipesaimag                 fat + green + fruit               wes + pes + mag
azalea                -                             bright + shrub + flower           din + ? + flor
azithromycin          brakaigiksaisom               bacteria + block + drug           brak + giks + som
bacillus              fitsaisnop                    rod + germ                        fits + snop
background            gokaimits                     back + ground                     gok + mits
balsam                -                             smell + resin                     lug + ?
bamboo                jiftaitxic                    arrow + flute                     jift + txic
banyan                febzailumaidip                root + branch + tree              febz + lum + dip
baobab                wesaitimpaidip                fat + trunk + tree                wes + timp + dip
barium                nantaitom                     heavy + atom                      nant + tom
barley                letxaidorf                    grain + plant                     letx + dorf
baroque               -                             ornate + style                    ? + deks
basalt                ramaifor                      dark + fire                       ram + for
basil                 skitailugairorb               sweet + smell + herb              skit + lug + rorb
bathroom              -                             bath + room                       ? + tif
bean                  pardaisid                     pod + seed                        pard + sid
beech                 kindaiyogzaidip               smooth + bark + tree              kind + yogz + dip
beet                  gicaifebz                     red + root                        gic + febz
begonia               -                             uneven + leaf + flower            ? + lif + flor
bench                 -                             long + seat                       nuc + ?
benign                nopaidrak                     no + harm                         nop + drak
benzene               vipairintairop                six + carbon + ring               vip + rint + rop
berkelium             dinaitom                      bright + atom                     din + tom
beryllium             prexaitom                     precious + atom                   prex + tom
betaine               -                             beet + amine                      ? + ?
bicarbonate           -                             two + carbonate                   dob + ?
bicolor               -                             two + colour                      dob + ?
bin                   zarkaibraz                    open + box                        zark + braz
biogenesis            cadaidolb                     life + birth                      cad + dolb
biomarker             cadaiwen                      life + mark                       cad + wen
biopsy                kibaihund                     live + sample                     kib + hund
biosynthesis          -                             life + synthesis                  cad + ?
biotin                -                             life + vitamin                    cad + ?
bipolar               dobaiviksaiyov                two + pole + of                   dob + viks + yov
birch                 yofaiyogzaidip                paper + bark + tree               yof + yogz + dip
bismuth               petsaitom                     shadow + atom                     pets + tom
blight                dorfaijamp                    plant + rot                       dorf + jamp
blister               mumpaiskin                    raise + skin                      mump + skin
bluebell              bulaigentaiflor               blue + bell + flower              bul + gent + flor
blush                 gicaifes                      red + face                        gic + fes
bohrium               govaitom                      deep + atom                       gov + tom
bonnet                hadaitalb                     head + cap                        had + talb
boron                 brodaitom                     bone + atom                       brod + tom
bracket               hoqaimarb                     hold + arm                        hoq + marb
breadfruit            dalfaimagaidip                bread + fruit + tree              dalf + mag + dip
breccia               bontaivic                     sharp + bit                       bont + vic
broccoli              pesaifloraidorf               green + flower + plant            pes + flor + dorf
bromine               vrunaitom                     ocean + atom                      vrun + tom
bronchiole            -                             small + airway                    smal + ?
bronchus              xolsaitub                     lung + tube                       xols + tub
broom                 fuskaisisp                    sweep + brush                     fusk + sisp
buck                  mafaixars                     male + deer                       maf + xars
buckeye               xicaisidaidip                 eye + seed + tree                 xic + sid + dip
buoy                  flotaiwen                     float + mark                      flot + wen
bush                  txifailemaidorf               dense + low + plant               txif + lem + dorf
business              warkaitred                    work + trade                      wark + tred
butanol               lafairintaikoqk               four + carbon + alcohol           laf + rint + koqk
buttercup             buxainipsaiflor               yellow + cup + flower             bux + nips + flor
buttress              -                             prop + wall                       ? + medz
bypass                baCaiyef                      by + pass                         baC + yef
cabbage               mapsailifaidorf               round + leaf + plant              maps + lif + dorf
cabinet               dorainor                      door + case                       dor + nor
cadmium               mabaitom                      source + atom                     mab + tom
caesium               xumaitom                      sky + atom                        xum + tom
caffeine              gataisom                      wake + drug                       gat + som
calcaneus             jumpaibrod                    heel + bone                       jump + brod
calf                  zenaivaqk                     young + cow                       zen + vaqk
californium           xoldaitom                     bare + atom                       xold + tom
callus                kadaiskin                     hard + skin                       kad + skin
camellia              kindaiskaqaiflor              smooth + petal + flower           kind + skaq + flor
campaign              planairin                     plan + run                        plan + rin
candidiasis           -                             yeast + sickness                  skog + ?
cane                  klepaireb                     stalk + stick                     klep + reb
cannon                brataizaz                     big + gun                         brat + zaz
canopy                djipaikov                     over + cover                      djip + kov
canthus               xicaimuft                     eye + corner                      xic + muft
canton                lanaipart                     land + part                       lan + part
capsule               smalaitxal                    small + shell                     smal + txal
carbamate             rintaisnucaitigz              carbon + nitrogen + salt          rint + snuc + tigz
carboxamide           -                             carboxyl + amide                  ? + ?
carcinoma             kovaitxumaibudj               cover + tissue + cancer           kov + txum + budj
cardiomyopathy        zifaisuftaibidj               heart + muscle + disease          zif + suft + bidj
cardiovascular        zifaivesaiyov                 heart + vessel + of               zif + ves + yov
carnation             foldaiskaqaiflor              fold + petal + flower             fold + skaq + flor
carotene              -                             orange + pigment                  dej + ?
carpet                rimaicorv                     floor + cloth                     rim + corv
carrot                dejaifebz                     orange + root                     dej + febz
cartridge             -                             shot + case                       ? + nor
casein                nudjailudz                    milk + protein                    nudj + ludz
cassava               snebaifebz                    starch + root                     sneb + febz
castor                -                             beaver + oil                      ? + gips
cataract              kladailalv                    cloud + lens                      klad + lalv
catheter              vataitub                      body + tube                       vat + tub
cattail               tadaiwaCaigras                tail + water + grass              tad + waC + gras
cauliflower           wipaifloraidorf               white + flower + plant            wip + flor + dorf
cedar                 -                             smell + conifer                   lug + ?
celery                djezaiklepaidorf              crisp + stalk + plant             djez + klep + dorf
cellulose             mudzaigand                    cell + sugar                      mudz + gand
cerebellum            smalaibren                    small + brain                     smal + bren
cerebrospinal         brenaispanaiyov               brain + spine + of                bren + span + yov
cerium                blomaitom                     rust + atom                       blom + tom
cervix                mondaiyovaigloq               neck + of + womb                  mond + yov + gloq
chalk                 kubzaiston                    powder + stone                    kubz + ston
chemotaxis            kremaimuv                     chemical + move                   krem + muv
chert                 vaspaicadjaiston              dull + spark + stone              vasp + cadj + ston
chess                 fubaimarzaigem                king + board + game               fub + marz + gem
chestnut              spanaihiksaidip               spine + nut + tree                span + hiks + dip
chickpea              mapsaisid                     round + seed                      maps + sid
chive                 porvaiwontairorb              thin + onion + herb               porv + wont + rorb
chlorine              pesaitom                      green + atom                      pes + tom
chloroform            slipaifron                    sleep + vapor                     slip + fron
cholecystitis         txozaiwutsaiparb              gall + bladder + swell            txoz + wuts + parb
cholesterol           -                             bile + sterol                     vriz + ?
choline               -                             bile + amine                      vriz + ?
chromatin             -                             colour + thread                   ? + rent
chromatography        -                             colour + write + craft            ? + rat + yabz
chrome                palbaimalt                    shine + metal                     palb + malt
chromium              kloraitom                     color + atom                      klor + tom
chrysanthemum         mavaiskaqaiflor               many + petal + flower             mav + skaq + flor
cigar                 maldaiCadj                    roll + tobacco                    mald + Cadj
cilantro              bontailugairorb               sharp + smell + herb              bont + lug + rorb
cilium                mudzaifif                     cell + hair                       mudz + fif
cinnamon              namaiyogz                     name + bark                       nam + yogz
ciprofloxacin         brakaiklubaisom               bacteria + kill + drug            brak + klub + som
cirrhosis             -                             liver + scar                      ? + xoks
clavicle              fedjaibrod                    collar + bone                     fedj + brod
cleft                 ditaiwets                     split + gap                       dit + wets
clergy                -                             priest + body                     ? + vat
cloak                 txotainusp                    loose + coat                      txot + nusp
clover                suCailifaigras                three + leaf + grass              suC + lif + gras
coach                 -                             road + carriage                   yeb + ?
coal                  smutaiston                    char + stone                      smut + ston
cobalt                ropaitom                      ring + atom                       rop + tom
cocaine               lifaisom                      leaf + drug                       lif + som
cochlea               ditsaikriv                    ear + spiral                      dits + kriv
cocktail              -                             mixed + drink                     ? + dug
cocoa                 dadjaisid                     chocolate + seed                  dadj + sid
codeine               muzaikafaisom                 pain + cough + drug               muz + kaf + som
coffee                vumpaisidaidug                bitter + seed + drink             vump + sid + dug
coke                  -                             burn + coal                       molc + ?
colitis               gutaiparb                     gut + swell                       gut + parb
collagen              -                             fibre + protein                   ? + ludz
colloid               polaiheqaituf                 fine + hang + matter              pol + heq + tuf
columbine             heqaigentaiflor               hang + bell + flower              heq + gent + flor
coma                  govaislip                     deep + sleep                      gov + slip
commerce              veftaitred                    goods + trade                     veft + tred
commissure            gozaimups                     join + band                       goz + mups
commonwealth          -                             common + wealth                   nobz + ?
commune               xalaigolt                     share + village                   xal + golt
conglomerate          mapsaivic                     round + bit                       maps + vic
conjunctiva           -                             join + eye + film                 goz + xic + ?
conjunctivitis        xicaiskinaiparb               eye + skin + swell                xic + skin + parb
constipation          tudjaigut                     bound + gut                       tudj + gut
contracture           -                             muscle + shorten                  suft + ?
contusion             govaidjif                     deep + bruise                     gov + djif
cookie                smalaiskitaikrek              small + sweet + cake              smal + skit + krek
copernicium           navaitom                      center + atom                     nav + tom
copolymer             -                             two + kind + polymer              dob + nab + ?
corn                  talsailetxaidorf              tall + grain + plant              tals + letx + dorf
cornea                peksaixicainusp               horn + eye + coat                 peks + xic + nusp
corona                litairop                      light + ring                      lit + rop
coronavirus           kartaitagz                    crown + virus                     kart + tagz
corporation           tredaivat                     trade + body                      tred + vat
corpuscle             smalaivat                     small + body                      smal + vat
cortex                -                             outer + layer                     ? + grof
cortisol              hispaisnen                    stress + hormone                  hisp + snen
cosmos                flataimapsaiflor              flat + round + flower             flat + maps + flor
costume               plarailiz                     play + dress                      plar + liz
cotton                saftaidjotaidorf              soft + fiber + plant              saft + djot + dorf
cottonwood            siksaisidaidip                cotton + seed + tree              siks + sid + dip
crisis                kakaileC                      turn + point                      kak + leC
crocus                yabainipsaiflor               early + cup + flower              yab + nips + flor
cucumber              zoraiwaCaimag                 cool + water + fruit              zor + waC + mag
cuff                  feftaimups                    wrist + band                      feft + mups
curium                tondaitom                     cheer + atom                      tond + tom
cusp                  leCaipadj                     point + edge                      leC + padj
cyanide               bulaiCeqk                     blue + compound                   bul + Ceqk
cyanobacteria         bulaipesaisnop                blue + green + germ               bul + pes + snop
cypress               -                             silk + conifer                    ford + ?
cysteine              -                             sulfur + amino + acid             spiz + ? + falf
cystitis              wutsaiparb                    bladder + swell                   wuts + parb
cytidine              -                             cytosine + sugar                  ? + gand
cytology              mudzainedz                    cell + study                      mudz + nedz
cytotoxicity          -                             cell + poison + ness              mudz + borz + ?
daffodil              buxaiwolbaiflor               yellow + trumpet + flower         bux + wolb + flor
dahlia                mapsaimavaiflor               round + many + flower             maps + mav + flor
dairy                 nudjaipuz                     milk + house                      nudj + puz
daisy                 bipsaiflor                    chick + flower                    bips + flor
dandelion             groqaicutx                    lion + tooth                      groq + cutx
darmstadtium          dolbaitom                     birth + atom                      dolb + tom
decarboxylase         rintaihitsaispug              carbon + strip + enzyme           rint + hits + spug
dehydratase           waCaihitsaispug               water + strip + enzyme            waC + hits + spug
dehydrogenase         brimaihitsaispug              hydrogen + strip + enzyme         brim + hits + spug
delphinium            talsaibulaiflor               tall + blue + flower              tals + bul + flor
dementia              -                             mind + loss                       man + ?
den                   bistaihom                     beast + home                      bist + hom
dentistry             cutxaiyabz                    tooth + craft                     cutx + yabz
dentition             cutxaigig                     tooth + set                       cutx + gig
deoxyadenosine        -                             no + oxygen + adenosine           nop + ? + ?
dermatitis            skinaifrep                    skin + inflammation               skin + frep
dermis                skinaigrof                    skin + layer                      skin + grof
dextromethorphan      kafaigiksaisom                cough + block + drug              kaf + giks + som
diabetes              -                             sugar + waste + sickness          gand + musp + ?
diarrhea              txotaiglad                    loose + stool                     txot + glad
diazepam              kamaislipaisom                calm + sleep + drug               kam + slip + som
dichloride            dobaivraqaitigz               two + chlorine + salt             dob + vraq + tigz
diencephalon          tinaibren                     between + brain                   tin + bren
diesel                nantaiful                     heavy + fuel                      nant + ful
dill                  cindairorb                    feather + herb                    cind + rorb
dinucleotide          -                             two + nucleotide                  dob + ?
diol                  dobaikoqk                     two + alcohol                     dob + koqk
diorite               petxailetx                    gray + grain                      petx + letx
dioxide               -                             two + oxide                       dob + ?
diphenhydramine       klebaislipaisom               allergy + sleep + drug            kleb + slip + som
diphosphate           -                             two + phosphate                   dob + ?
dismutase             ditaisolpaispug               split + swap + enzyme             dit + solp + spug
disulfide             dobaispizainuq                two + sulfur + bond               dob + spiz + nuq
diverticulum          -                             gut + pouch                       gut + ?
dogwood               wipaifloraidip                white + flower + tree             wip + flor + dip
dopamine              kipsaidivaitet                reward + drive + signal           kips + div + tet
dope                  vaspaisom                     dull + drug                       vasp + som
drone                 mafaifest                     male + bee                        maf + fest
dubnium               malkaitom                     race + atom                       malk + tom
duodenum              mopaigut                      twelve + gut                      mop + gut
dwarfism              djobaidom                     dwarf + state                     djob + dom
dysfunction           futaiwark                     bad + work                        fut + wark
dysgenesis            -                             bad + growth                      fut + ?
dysplasia             -                             bad + growth                      fut + ?
dystrophy             futainubz                     bad + feed                        fut + nubz
ebony                 vogaivriCaidip                black + wood + tree               vog + vriC + dip
ectoderm              -                             outer + skin                      ? + skin
edelweiss             wipaimotaiflor                white + mountain + flower         wip + mot + flor
edema                 waCaiparb                     water + swell                     waC + parb
eggplant              sifaimag                      purple + fruit                    sif + mag
einsteinium           rezaitom                      smart + atom                      rez + tom
electrostatic         kespained                     electric + static                 kesp + ned
elm                   wiqaisidaidip                 wing + seed + tree                wiq + sid + dip
embankment            lasaimedz                     bank + wall                       las + medz
embolism              truzaigiks                    clot + block                      truz + giks
emphysema             xolsailesaiparb               lung + air + swell                xols + les + parb
emulsion              polaimiks                     fine + mix                        pol + miks
enamel                cutxaisket                    tooth + glaze                     cutx + sket
encephalopathy        brenaibidj                    brain + disease                   bren + bidj
encounter             -                             in + counter                      ras + ?
endocarditis          -                             inner + heart + swell             ? + zif + parb
endocardium           -                             inner + heart + lining            ? + zif + ?
endoderm              -                             inner + skin                      ? + skin
endometrium           -                             inside + womb + lining            geb + gloq + ?
endorphin             -                             inner + pain + drug               ? + muz + som
endothelium           -                             inside + lining                   geb + ?
enterprise            tinaitek                      between + take                    tin + tek
eosinophilia          wipaimudzaidjoz               white + cell + excess             wip + mudz + djoz
epidemiology          -                             spread + sickness + study         dend + ? + nedz
epidermis             pandaiskin                    upon + skin                       pand + skin
epididymis            -                             upon + testis                     pand + ?
epiglottis            djipaigalkaibriv              over + throat + flap              djip + galk + briv
epilepsy              -                             seize + sickness                  lidj + ?
epinephrine           palvaizifaisnen               alert + heart + hormone           palv + zif + snen
epiphysis             brodaiguv                     bone + end                        brod + guv
epithelium            kovaitxum                     cover + tissue                    kov + txum
epoxide               -                             oxygen + ring                     ? + rop
erbium                malzaitom                     glass + atom                      malz + tom
erythema              gicaiskin                     red + skin                        gic + skin
erythroblast          gicaibloCaigond               red + blood + bud                 gic + bloC + gond
erythrocyte           gicaibloCaimudz               red + blood + cell                gic + bloC + mudz
esophagus             -                             gullet + tube                     ? + tub
estate                hoqailan                      hold + land                       hoq + lan
ester                 falfaikoqkaigoz               acid + alcohol + join             falf + koqk + goz
estradiol             -                             estrus + two + alcohol            ? + dob + koqk
estrogen              fimaifedaisnen                female + sex + hormone            fim + fed + snen
ethanol               dobairintaikoqk               two + carbon + alcohol            dob + rint + koqk
ether                 slipaifron                    sleep + vapor                     slip + fron
ethyl                 dobairintaihip                two + carbon + group              dob + rint + hip
etiology              kazainedz                     cause + study                     kaz + nedz
eucalyptus            lugaigipsaidip                smell + oil + tree                lug + gips + dip
europium              boftaitom                     screen + atom                     boft + tom
excision              zepaibuk                      cut + out                         zep + buk
exocrine              -                             out + secrete                     buk + ?
eyeball               xicaibral                     eye + ball                        xic + bral
fascia                vodjaitxum                    sheet + tissue                    vodj + txum
femur                 gromaibrod                    thigh + bone                      grom + brod
fennel                namairorb                     name + herb                       nam + rorb
fentanyl              vuftaimuzaisom                extreme + pain + drug             vuft + muz + som
fermium               raraitom                      rare + atom                       rar + tom
fern                  zigzaicutx                    sheep + tooth                     zigz + cutx
fibrillation          -                             quiver + beat                     ? + bit
fibroblast            -                             fibre + cell                      ? + mudz
fibroma               -                             fibre + growth                    ? + ?
fibrosis              -                             fibre + growth                    ? + ?
fibula                sardailegzaibrod              side + leg + bone                 sard + legz + brod
fir                   -                             flat + conifer                    flat + ?
fistula               raqaijaqk                     wrong + passage                   raq + jaqk
flank                 vataisard                     body + side                       vat + sard
flask                 -                             narrow + neck + bottle            Ceft + mond + ?
flax                  djotaisidaidorf               fiber + seed + plant              djot + sid + dorf
fleece                laqkainusp                    wool + coat                       laqk + nusp
flerovium             kladaitom                     cloud + atom                      klad + tom
flint                 forainalcaiston               fire + strike + stone             for + nalc + ston
fluorine              cutxaitom                     tooth + atom                      cutx + tom
fluorouracil          -                             fluorine + uracil                 ? + ?
fluoxetine            mudaigorvaisom                mood + lift + drug                mud + gorv + som
follicle              smalaisnaz                    small + sac                       smal + snaz
fontanelle            horfaisaftaimals              skull + soft + spot               horf + saft + mals
football              gralaibral                    foot + ball                       gral + bral
foramen               brodaihatx                    bone + hole                       brod + hatx
forebrain             -                             fore + brain                      ? + bren
forget-me-not         smalaibulaiflor               small + blue + flower             smal + bul + flor
fossa                 brodaivabz                    bone + hollow                     brod + vabz
foster                mumpaikriq                    raise + care                      mump + kriq
foxglove              gartaigentaiflor              finger + bell + flower            gart + gent + flor
francium              txotaitom                     loose + atom                      txot + tom
freesia               skitailugaiflor               sweet + smell + flower            skit + lug + flor
freshwater            fraxaiwaC                     fresh + water                     frax + waC
gabbro                ramailetx                     dark + grain                      ram + letx
gadolinium            sikaitom                      seek + atom                       sik + tom
galactose             nudjaigand                    milk + sugar                      nudj + gand
gallbladder           txozaiwuts                    gall + bladder                    txoz + wuts
gallium               baxaitom                      bird + atom                       bax + tom
ganglion              nurvaigrox                    nerve + knot                      nurv + grox
gangrene              tisaiflax                     dead + flesh                      tis + flax
garbage               jetaimusp                     throw + waste                     jet + musp
gardenia              wipailugaiflor                white + smell + flower            wip + lug + flor
garland               florairop                     flower + ring                     flor + rop
garlic                livailugaiwusk                strong + smell + bulb             liv + lug + wusk
gastritis             stokaiparb                    stomach + swell                   stok + parb
gelatin               brodaiCift                    bone + jelly                      brod + Cift
genre                 meqkainab                     art + kind                        meqk + nab
geography             -                             earth + writing                   riq + ?
geranium              mapsailifaiflor               round + leaf + flower             maps + lif + flor
germanium             klivaitom                     cave + atom                       kliv + tom
ginger                gepaifebz                     hot + root                        gep + febz
girdle                respaimups                    waist + band                      resp + mups
gladiolus             bibzailifaiflor               sword + leaf + flower             bibz + lif + flor
glaucoma              -                             eye + press + sickness            xic + malf + ?
glioblastoma          yistaimudzaibudj              glue + cell + cancer              yist + mudz + budj
glioma                yistaimudzaibudj              glue + cell + cancer              yist + mudz + budj
globulin              bralailudz                    ball + protein                    bral + ludz
glomerulus            fundaivesaibral               kidney + vessel + ball            fund + ves + bral
glucan                gandailip                     sugar + chain                     gand + lip
glucosamine           -                             glucose + amine                   ? + ?
glucose               grepaigand                    grape + sugar                     grep + gand
glutamine             -                             amino + acid                      ? + falf
glutathione           -                             three + amino + acid              suC + ? + falf
glycerol              skitaikoqk                    sweet + alcohol                   skit + koqk
glycine               skitaifalf                    sweet + acid                      skit + falf
glycoprotein          gandailudz                    sugar + protein                   gand + ludz
gneiss                mupsaimalf                    band + press                      mups + malf
gold                  fubaitom                      king + atom                       fub + tom
goldenrod             godaiklepaiflor               gold + stalk + flower             god + klep + flor
gonadotropin          -                             gonad + turn + toward             ? + kak + nol
gouge                 skupaiskam                    scoop + chisel                    skup + skam
gourd                 kadaitxalaimag                hard + shell + fruit              kad + txal + mag
granite               florailetx                    flower + grain                    flor + letx
granuloma             -                             grain + growth                    letx + ?
grape                 txekaiglaf                    vine + berry                      txek + glaf
grapefruit            vumpaimapsaimag               bitter + round + fruit            vump + maps + mag
greenhouse            pesaipuz                      green + house                     pes + puz
greywacke             cataisand                     mud + sand                        cat + sand
guanosine             -                             guanine + sugar                   ? + gand
guidelines            gibaizob                      guide + line                      gib + zob
gum tree              zibzaiglomaidip               gum + sap + tree                  zibz + glom + dip
gutter                waCaibark                     water + channel                   waC + bark
gyrus                 brenaifold                    brain + fold                      bren + fold
hack                  gabzaizep                     rough + cut                       gabz + zep
hafnium               tulaitom                      tool + atom                       tul + tom
hallux                brataivint                    big + toe                         brat + vint
hamartoma             -                             wrong + tissue + growth           raq + txum + ?
harlequin             patxaijom                     patch + pattern                   patx + jom
harness               regzaikutx                    strap + gear                      regz + kutx
hassium               fraxaitom                     fresh + atom                      frax + tom
hawthorn              rargaiglafaidip               thorn + berry + tree              rarg + glaf + dip
headache              hadaiblat                     head + ache                       had + blat
headgear              hadaikutx                     head + gear                       had + kutx
heather               -                             small + purple + shrub            smal + sif + ?
hedge                 dorfaimedz                    plant + wall                      dorf + medz
helium                sanaitom                      sun + atom                        san + tom
helmet                hadaimoft                     head + guard                      had + moft
hemangioma            -                             blood + vessel + growth           bloC + ves + ?
hemlock               -                             droop + conifer                   ? + ?
hemoglobin            bloCailudz                    blood + protein                   bloC + ludz
hemorrhage            bloCaibust                    blood + burst                     bloC + bust
hemp                  livaidjotaidorf               strong + fiber + plant            liv + djot + dorf
heparin               bloCaitruzaigiks              blood + clot + block              bloC + truz + giks
hepatitis             -                             liver + inflammation              ? + frep
hernia                lepaipup                      push + through                    lep + pup
heroin                livaizimaisom                 strong + pleasure + drug          liv + zim + som
hibiscus              giqkaiwolbaiflor              large + trumpet + flower          giqk + wolb + flor
hickory               kadaihiksaidip                hard + nut + tree                 kad + hiks + dip
histidine             -                             amino + acid                      ? + falf
holly                 bontailifaidip                sharp + leaf + tree               bont + lif + dip
hollyhock             talsaifloraiklep              tall + flower + stalk             tals + flor + klep
holmium               pimaitom                      permeate + atom                   pim + tom
honeycomb             kavaicolf                     honey + comb                      kav + colf
honeysuckle           skitaitxekaiflor              sweet + vine + flower             skit + txek + flor
hoop                  fatxairop                     stiff + ring                      fatx + rop
horse chestnut        -                             big + chestnut + tree             brat + ? + dip
horseshoe             horsaidebz                    horse + shoe                      hors + debz
humerus               -                             upper + arm + bone                ? + marb + brod
husbandry             despaiyabz                    farm + craft                      desp + yabz
hyacinth              txifaigentaiflor              dense + bell + flower             txif + gent + flor
hydrangea             bralaiflor                    ball + flower                     bral + flor
hydrocarbon           brimairint                    hydrogen + carbon                 brim + rint
hydrocephalus         waCaihad                      water + head                      waC + had
hydrochloride         brimaivraqaitigz              hydrogen + chlorine + salt        brim + vraq + tigz
hydrocortisone        skinaiparbaisnen              skin + swell + hormone            skin + parb + snen
hydrolase             waCaiditaispug                water + split + enzyme            waC + dit + spug
hydroxyproline        -                             hydroxyl + proline                ? + ?
hygiene               klinaiyabz                    clean + craft                     klin + yabz
hyperplasia           -                             over + growth                     djip + ?
hypertension          molaibloCaimalf               high + blood + press              mol + bloC + malf
hypoplasia            -                             under + growth                    bet + ?
hypotension           lemaibloCaimalf               low + blood + press               lem + bloC + malf
hypothalamus          -                             under + thalamus                  bet + ?
hypothyroidism        -                             low + thyroid + state             lem + ? + dom
hypoxia               -                             under + oxygen                    bet + ?
ibuprofen             muzaiparbaisom                pain + swell + drug               muz + parb + som
idiopathic            nopaixefaikaz                 no + known + cause                nop + xef + kaz
ileum                 vitsaigut                     twist + gut                       vits + gut
imidazole             snucairop                     nitrogen + ring                   snuc + rop
