term,kind,parts,roots,breakers
water lily,flower,float water flower,flot waC flor,
orchid,flower,complex flower,fluz flor,l
violet,flower,purple small flower,sif smal flor,l
poppy,flower,red sleep flower,gic slip flor,
daffodil,flower,yellow trumpet flower,bux wolb flor,
lavender,flower,calm smell flower,kam hac flor,
jasmine,flower,night smell flower,yit hac flor,
hibiscus,flower,large trumpet flower,xogz wolb flor,
chrysanthemum,flower,many petal flower,mav glod flor,
marigold,flower,gold flower,god flor,
carnation,flower,fold petal flower,fold glod flor,
geranium,flower,round leaf flower,maps lif flor,l
peony,flower,big round flower,brat maps flor,l
dahlia,flower,round many flower,maps mav flor,l
magnolia flower,flower,big white flower,brat wip flor,
gardenia,flower,white smell flower,wip hac flor,
camellia,flower,smooth petal flower,kind glod flor,
hydrangea,flower,ball flower,bral flor,
petunia,flower,trumpet flower,wolb flor,
pansy,flower,face flower,fes flor,l
primrose,flower,early flower,yab flor,
buttercup,flower,yellow cup flower,bux nips flor,l
bluebell,flower,blue bell flower,bul gent flor,
forget-me-not,flower,small blue flower,smal bul flor,
snapdragon,flower,mouth flower,muc flor,
foxglove,flower,finger bell flower,kubz gent flor,
hollyhock,flower,tall flower stalk,tals flor klep,l
delphinium,flower,tall blue flower,tals bul flor,
lupine,flower,tall spike flower,tals spak flor,l
aster,flower,star flower,star flor,
zinnia,flower,bright round flower,din maps flor,l
cosmos,flower,flat round flower,flat maps flor,l
anemone,flower,wind flower,moqk flor,
freesia,flower,sweet smell flower,skit hac flor,
hyacinth,flower,dense bell flower,txif gent flor,
crocus,flower,early cup flower,yab nips flor,l
gladiolus,flower,sword leaf flower,bibz lif flor,l
amaryllis,flower,bare stalk flower,xold klep flor,
honeysuckle,flower,sweet vine flower,skit txek flor,l
wisteria,flower,hang purple flower,heq sif flor,l
morning glory,flower,morning vine flower,tan txek flor,
sweet pea,flower,wing vine flower,wiq txek flor,
lilac,flower,spring cluster flower,demp snan flor,
goldenrod,flower,gold stalk flower,god klep flor,
milkweed,flower,milk sap flower,nudj glom flor,
queen anne's lace,flower,white flat flower,wip flat flor,
edelweiss,flower,white mountain flower,wip mot flor,
yarrow,flower,flat white flower,flat wip flor,
jewelweed,flower,bright wet flower,din sosp flor,
columbine,flower,hang bell flower,heq gent flor,
moss,plant,soft ground plant,saft mits dorf,
fern,plant,sheep tooth,zigz cutx,
ivy,plant,cling vine,spug txek,
bamboo,plant,arrow flute,Ceqk txic,
reed,plant,tall water grass,tals waC gras,
cattail,plant,tail water grass,tad waC gras,
clover,plant,three leaf grass,suC lif gras,
dandelion,plant,lion tooth,groq cutx,
thistle,plant,sharp flower plant,bont flor dorf,
nettle,plant,sting leaf plant,cadj lif dorf,
weed,plant,not want plant,mas want dorf,
bush,plant,dense low plant,txif lem dorf,
aloe,plant,gel leaf plant,klof lif dorf,
agave,plant,sharp thick leaf,bont sesp lif,
yucca,plant,sword leaf plant,bibz lif dorf,
mistletoe,plant,tree parasite plant,dip djot dorf,
mint,plant,cool smell leaf,zug hac lif,
basil,plant,sweet smell herb,skit hac rorb,
rosemary,plant,needle smell herb,vald hac rorb,
thyme,plant,small smell herb,smal hac rorb,
sage,plant,soft gray herb,saft sosk rorb,
oregano,plant,strong smell herb,liv hac rorb,
parsley,plant,green curl herb,pes kork rorb,
cilantro,plant,sharp smell herb,bont hac rorb,
dill,plant,feather herb,cind rorb,
chive,plant,thin onion herb,porv wont rorb,
ginger,plant,hot root,gep lalz,
turmeric,plant,yellow root,bux lalz,
garlic,plant,strong smell bulb,liv hac wusk,
onion,plant,sharp smell bulb,bont hac wusk,
leek,plant,long onion plant,nuc wont dorf,
celery,plant,crisp stalk plant,vraq klep dorf,
lettuce,plant,soft leaf plant,saft lif dorf,
spinach,plant,dark leaf plant,ram lif dorf,
cabbage,plant,round leaf plant,maps lif dorf,
kale,plant,curl leaf plant,kork lif dorf,
broccoli,plant,green flower plant,pes flor dorf,l
cauliflower,plant,white flower plant,wip flor dorf,
carrot,plant,orange root,dej lalz,
radish,plant,sharp root,bont lalz,
turnip,plant,round root,maps lalz,
beet,plant,red root,gic lalz,
potato,plant,under ground stem,bet mits plef,
sweet potato,plant,sweet root,skit lalz,
yam,plant,large root,xogz lalz,
cassava,plant,starch root,sneb lalz,
corn,plant,tall grain plant,tals nusp dorf,
wheat,plant,bread grain,dalf nusp,
rice,plant,water grain,waC nusp,
barley,plant,grain plant,nusp dorf,
oat,plant,grain plant,nusp dorf,
rye,plant,grain plant,nusp dorf,
millet,plant,small grain,smal nusp,
sorghum,plant,tall dry grain,tals dral nusp,
bean,plant,pod seed,pard sid,
pea,plant,round pod seed,maps pard sid,
lentil,plant,flat seed,flat sid,
chickpea,plant,round seed,maps sid,l
soybean,plant,oil bean,gips Colv,
peanut,plant,under ground nut,bet mits hiks,
pumpkin,plant,large orange gourd,xogz dej glaq,
squash,plant,soft gourd,saft glaq,
gourd,plant,hard shell fruit,pup txal mag,
cucumber,plant,cool water fruit,zug waC mag,
melon,plant,sweet water fruit,skit waC mag,
watermelon,plant,red water fruit,gic waC mag,
tomato,plant,red soft fruit,gic saft mag,
pepper,plant,hot fruit,gep mag,
eggplant,plant,purple fruit,sif mag,
strawberry,plant,red seed berry,gic sid blom,
grape,plant,vine berry,txek blom,
cotton,plant,soft fiber plant,saft blop dorf,
flax,plant,fiber seed plant,blop sid dorf,l
hemp,plant,strong fiber plant,liv blop dorf,
tobacco,plant,smoke leaf plant,smok lif dorf,
tea,plant,drink leaf plant,dug lif dorf,
coffee,plant,bitter seed drink,vump sid dug,l
cocoa,plant,chocolate seed,jamp sid,
sugarcane,plant,sweet tall grass,skit tals gras,l
vanilla,plant,sweet smell pod,skit hac pard,
granite,rock,flower grain,flor nusp,
diorite,rock,gray grain,sosk nusp,
gabbro,rock,dark grain,ram nusp,
rhyolite,rock,light fire,lit for,
andesite,rock,gray fire,sosk for,
basalt,rock,dark fire,ram for,
peridotite,rock,green grain,pes nusp,
pegmatite,rock,big crystal,brat vodj,
obsidian,rock,lava glass,skaq malz,
pumice,rock,lava foam,skaq flup,
scoria,rock,lava hole,skaq hatx,
tuff,rock,ash stone,prax ston,l
slate,rock,board stone,vint ston,
phyllite,rock,silk press,ford malf,
schist,rock,slice stone,giqk ston,
gneiss,rock,band press,mups malf,
quartzite,rock,sand press,sand malf,
marble,rock,flower stone,flor ston,
serpentinite,rock,green scale rock,pes skal rak,l
soapstone,rock,soap stone,haqk ston,
sandstone,rock,sand stone,sand ston,
limestone,rock,lime stone,djiq ston,
mudstone,rock,mud stone,cat ston,
shale,rock,page stone,koqk ston,
conglomerate,rock,round bit,maps vic,l
breccia,rock,sharp bit,bont vic,
greywacke,rock,mud sand,cat sand,
chert,rock,dull spark stone,vasp Camp ston,
flint,rock,fire strike stone,for nalc ston,
travertine,rock,spring lime,demp djiq,
chalk,rock,powder stone,gart ston,
coal,rock,char stone,smut ston,
peat,rock,bog plant,stop dorf,
laterite,rock,iron soil,kitx rit,
oak,tree,nut cup tree,hiks nips dip,
maple,tree,frog hand,ran zeqk,
birch,tree,paper bark tree,yof yogz dip,
beech,tree,smooth bark tree,kind yogz dip,
elm,tree,wing seed tree,wiq sid dip,l
willow,tree,weep water tree,yotx waC dip,
poplar,tree,tall fast tree,tals fast dip,l
aspen,tree,shake leaf tree,gemp lif dip,
cottonwood,tree,cotton seed tree,siks sid dip,l l
sycamore,tree,patch bark tree,patx yogz dip,
chestnut,tree,spine nut tree,span hiks dip,
walnut,tree,fold nut tree,fold hiks dip,
hickory,tree,hard nut tree,pup hiks dip,
pecan,tree,sweet nut tree,skit hiks dip,
alder,tree,water cone tree,waC korb dip,
linden,tree,heart leaf tree,zif lif dip,
locust,tree,thorn pod tree,rarg pard dip,l
holly,tree,sharp leaf tree,bont lif dip,
eucalyptus,tree,smell oil tree,hac gips dip,
acacia,tree,thorn tree,rarg dip,
baobab,tree,fat trunk tree,yum timp dip,
almond,tree,milk nut tree,nudj hiks dip,
grapefruit,tree,bitter round fruit,vump maps mag,
avocado,tree,fat green fruit,yum pes mag,
breadfruit,tree,bread fruit tree,dalf mag dip,
mulberry,tree,many berry tree,mav blom dip,
pomegranate,tree,red seed fruit,gic sid mag,
teak,tree,oil hard wood,gips pup vriC,
mahogany,tree,red wood tree,gic vriC dip,
ebony,tree,black wood tree,vog vriC dip,
sandalwood,tree,burn smell wood,molc hac vriC,
banyan,tree,root branch tree,lalz lum dip,
magnolia,tree,big flower tree,brat flor dip,
dogwood,tree,white flower tree,wip flor dip,
hawthorn,tree,thorn berry tree,rarg blom dip,
redbud,tree,trunk flower tree,timp flor dip,
rowan,tree,red cluster tree,gic snan dip,
buckeye,tree,eye seed tree,xic sid dip,l
tamarind,tree,sour pod tree,yedz pard dip,l
mesquite,tree,dry thorn tree,dral rarg dip,
ironwood,tree,iron hard wood,kitx pup vriC,
kapok,tree,soft fiber tree,saft blop dip,
gum tree,tree,gum sap tree,zibz glom dip,
abscess,general,pus pocket,step galc,
abuse,general,bad use,fut yuz,
acacia,general,thorn tree,rarg dip,
acetaminophen,general,pain fever drug,muz tusk som,
acidemia,general,acid blood,falf bloC,
acidosis,general,acid state,falf dom,
acinus,general,gland sac,glad briv,
actinium,general,spark atom,Camp tom,
adenocarcinoma,general,gland cancer,glad budj,
adenosine,general,gland sugar base,glad gand gont,
adenovirus,general,gland virus,glad tagz,
adipocyte,general,fat cell,yum weqk,
adjuvant,general,help drug,neq som,
adrenaline,general,alert heart hormone,palv zif glaf,l
agave,general,sharp thick leaf,bont sesp lif,
agriculture,general,field craft,gor yabz,
aircraft,general,air craft,les yabz,
airway,general,air way,les yat,
album,general,gather book,gaC vam,
albumin,general,white protein,wip rosk,
albuterol,general,lung open drug,xols zark som,l
alder,general,water cone tree,waC korb dip,
alkali,general,acid opposite,falf hand,
allergen,general,allergy cause,kleb kaz,
alligator,general,broad snout lizard,horb skod zart,
almond,general,milk nut tree,nudj hiks dip,
aloe,general,gel leaf plant,klof lif dorf,
alum,general,sour salt,yedz tigz,
aluminum,general,shine atom,palb tom,
amaryllis,general,bare stalk flower,xold klep flor,
americium,general,smoke atom,smok tom,
amide,general,ammonia acid group,slim falf hip,
amine,general,nitrogen group,snuc hip,
amoxicillin,general,bacteria kill drug,brak klub som,l
amphetamine,general,energy alert drug,bup palv som,l l
amyloidosis,general,starch protein state,sneb rosk dom,
anatomy,general,body study,vat nedz,
andesite,general,gray fire,sosk for,
anemone,general,wind flower,moqk flor,
anesthesia,general,no feel,nop nag,
aneurysm,general,vessel bulge,ves djuz,
angiosarcoma,general,vessel flesh cancer,ves flax budj,l
anhydride,general,no water compound,nop waC jift,
anhydrous,general,no water,nop waC,
anthropology,general,people study,ped nedz,
antibody,general,against body,fed vat,
antimony,general,paint atom,pent tom,l
aorta,general,great artery,mac yubz,
apex,general,top point,suk leC,
apoptosis,general,fall away cell death,zur yad weqk dac,
aquaculture,general,water farm,waC desp,
aquifer,general,water rock layer,waC rak grof,
archaeology,general,old study,marg nedz,
argon,general,slow atom,slom tom,
arsenic,general,poison atom,borz tom,
arteriole,general,small artery,smal yubz,
arteritis,general,artery swell,yubz parb,
arthritis,general,joint inflammation,dolf djoz,
arthropathy,general,joint disease,dolf bidj,
artillery,general,heavy gun,nant zaz,
asbestos,general,thread rock,rent rak,
aside,general,at side,hat sard,
aspen,general,shake leaf tree,gemp lif dip,
aspirin,general,pain fever drug,muz tusk som,
assay,general,test sample,tas hund,
astatine,general,quick atom,klok tom,
aster,general,star flower,star flor,
asthma,general,tight breath,trat nogz,
astrocyte,general,star cell,star weqk,
ataxia,general,no order,nop nord,
atlas,general,map book,deq vam,
atresia,general,no passage,nop jaqk,
atrium,general,enter room,droz tif,
automobile,general,self move,dep muv,
avocado,general,fat green fruit,yum pes mag,
azithromycin,general,bacteria block drug,brak giks som,l
bacillus,general,rod germ,fits brim,
background,general,back ground,gok mits,
bamboo,general,arrow flute,Ceqk txic,
banyan,general,root branch tree,lalz lum dip,
baobab,general,fat trunk tree,yum timp dip,
barium,general,heavy atom,nant tom,l
barley,general,grain plant,nusp dorf,
basalt,general,dark fire,ram for,
basil,general,sweet smell herb,skit hac rorb,
bean,general,pod seed,pard sid,
beech,general,smooth bark tree,kind yogz dip,
beet,general,red root,gic lalz,
benign,general,no harm,nop drak,
benzene,general,six carbon ring,vip rint rop,
berkelium,general,bright atom,din tom,
beryllium,general,precious atom,prex tom,
bin,general,open box,zark braz,
biogenesis,general,life birth,cad dolb,l
biomarker,general,life mark,cad wen,
biopsy,general,live sample,kib hund,
bipolar,general,two pole of,dob viks yov,
birch,general,paper bark tree,yof yogz dip,
bismuth,general,shadow atom,pets tom,
blight,general,plant rot,dorf dadj,
blister,general,raise skin,mump skin,
bluebell,general,blue bell flower,bul gent flor,
blush,general,red face,gic fes,
bohrium,general,deep atom,gov tom,
bonnet,general,head cap,had talb,
boron,general,bone atom,brod tom,
bracket,general,hold arm,hoq marb,
breadfruit,general,bread fruit tree,dalf mag dip,
breccia,general,sharp bit,bont vic,
broccoli,general,green flower plant,pes flor dorf,l
bromine,general,ocean atom,vrun tom,
bronchus,general,lung tube,xols tub,
broom,general,sweep brush,fusk sisp,
buck,general,male deer,maf xars,l
buckeye,general,eye seed tree,xic sid dip,l
buoy,general,float mark,flot wen,
bush,general,dense low plant,txif lem dorf,
business,general,work trade,wark tred,
butanol,general,four carbon alcohol,laf rint gadz,
buttercup,general,yellow cup flower,bux nips flor,l
bypass,general,by pass,baC yef,
cabbage,general,round leaf plant,maps lif dorf,
cabinet,general,door case,dor nor,
cadmium,general,source atom,mab tom,
caesium,general,sky atom,xum tom,
caffeine,general,wake drug,zen som,
calcaneus,general,heel bone,jump brod,
calf,general,young cow,gat vaqk,
californium,general,bare atom,xold tom,
callus,general,hard skin,pup skin,
camellia,general,smooth petal flower,kind glod flor,
campaign,general,plan run,plan rin,
cane,general,stalk stick,klep reb,
cannon,general,big gun,brat zaz,
canopy,general,over cover,djip kov,
canthus,general,eye corner,xic muft,
canton,general,land part,lan part,
capsule,general,small shell,smal txal,
carbamate,general,carbon nitrogen salt,rint snuc tigz,
carcinoma,general,cover tissue cancer,kov txum budj,
cardiomyopathy,general,heart muscle disease,zif mudz bidj,
cardiovascular,general,heart vessel of,zif ves yov,l
carnation,general,fold petal flower,fold glod flor,
carpet,general,floor cloth,rim corv,
carrot,general,orange root,dej lalz,
casein,general,milk protein,nudj rosk,
cassava,general,starch root,sneb lalz,
cataract,general,cloud lens,klad lalv,
catheter,general,body tube,vat tub,l
cattail,general,tail water grass,tad waC gras,
cauliflower,general,white flower plant,wip flor dorf,
celery,general,crisp stalk plant,vraq klep dorf,
cellulose,general,cell sugar,weqk gand,
cerebellum,general,small brain,smal bren,
cerebrospinal,general,brain spine of,bren span yov,
cerium,general,rust atom,snen tom,
cervix,general,neck of womb,mond yov gloq,
chalk,general,powder stone,gart ston,
chert,general,dull spark stone,vasp Camp ston,
chess,general,king board game,fub vint gem,
chestnut,general,spine nut tree,span hiks dip,
chickpea,general,round seed,maps sid,l
chive,general,thin onion herb,porv wont rorb,
chlorine,general,green atom,pes tom,
chloroform,general,sleep vapor,slip fron,
cholecystitis,general,gall bladder swell,txoz wuts parb,
chrome,general,shine metal,palb malt,
chromium,general,color atom,klor tom,
chrysanthemum,general,many petal flower,mav glod flor,
cigar,general,roll tobacco,mald Cadj,
cilantro,general,sharp smell herb,bont hac rorb,
cilium,general,cell hair,weqk fif,
cinnamon,general,name bark,nam yogz,
ciprofloxacin,general,bacteria kill drug,brak klub som,l
clavicle,general,collar bone,fedj brod,
cleft,general,split gap,dit wets,
cloak,general,loose coat,txot letx,
clover,general,three leaf grass,suC lif gras,
coal,general,char stone,smut ston,
cobalt,general,ring atom,rop tom,
cocaine,general,leaf drug,lif som,l
cochlea,general,ear spiral,dits kriv,
cocoa,general,chocolate seed,jamp sid,
coffee,general,bitter seed drink,vump sid dug,l
colitis,general,gut swell,gut parb,
colloid,general,fine hang matter,pol heq tuf,
columbine,general,hang bell flower,heq gent flor,
coma,general,deep sleep,gov slip,l
commerce,general,goods trade,hisp tred,
commissure,general,join band,huc mups,
commune,general,share village,xal golt,
conglomerate,general,round bit,maps vic,l
conjunctivitis,general,eye skin swell,xic skin parb,
constipation,general,bound gut,tudj gut,
contusion,general,deep bruise,gov djif,
cookie,general,small sweet cake,smal skit krek,
copernicium,general,center atom,nav tom,
corn,general,tall grain plant,tals nusp dorf,
cornea,general,horn eye coat,peks xic letx,l
corona,general,light ring,lit rop,
corporation,general,trade body,tred vat,
corpuscle,general,small body,smal vat,
cortisol,general,stress hormone,veft glaf,
cosmos,general,flat round flower,flat maps flor,l
cotton,general,soft fiber plant,saft blop dorf,
cottonwood,general,cotton seed tree,siks sid dip,l l
crisis,general,turn point,kak leC,
crocus,general,early cup flower,yab nips flor,l
cucumber,general,cool water fruit,zug waC mag,
cuff,general,wrist band,feft mups,
curium,general,cheer atom,tond tom,
cusp,general,point edge,leC padj,
cyanide,general,blue compound,bul jift,
cyanobacteria,general,blue green germ,bul pes brim,
cystitis,general,bladder swell,wuts parb,
cytology,general,cell study,weqk nedz,
daffodil,general,yellow trumpet flower,bux wolb flor,
dahlia,general,round many flower,maps mav flor,l
dairy,general,milk house,nudj puz,
daisy,general,chick flower,bips flor,l
dandelion,general,lion tooth,groq cutx,
darmstadtium,general,birth atom,dolb tom,
decarboxylase,general,carbon strip enzyme,rint hits blan,
dehydratase,general,water strip enzyme,waC hits blan,
dehydrogenase,general,hydrogen strip enzyme,snop hits blan,
delphinium,general,tall blue flower,tals bul flor,
den,general,beast home,bist hom,
dentistry,general,tooth craft,cutx yabz,
dentition,general,tooth set,cutx gen,
dermatitis,general,skin inflammation,skin djoz,
dermis,general,skin layer,skin grof,
diarrhea,general,loose stool,txot smaq,
diazepam,general,calm sleep drug,kam slip som,
dichloride,general,two chlorine salt,dob djez tigz,
diencephalon,general,between brain,tin bren,
diesel,general,heavy fuel,nant ful,
dill,general,feather herb,cind rorb,
diol,general,two alcohol,dob gadz,
diorite,general,gray grain,sosk nusp,
diphenhydramine,general,allergy sleep drug,kleb slip som,
dismutase,general,split swap enzyme,dit solp blan,
disulfide,general,two sulfur bond,dob spiz nuq,
dogwood,general,white flower tree,wip flor dip,
dopamine,general,reward drive signal,kips pij tet,
dope,general,dull drug,vasp som,
drone,general,male bee,maf gabz,
dubnium,general,race atom,malk tom,
duodenum,general,twelve gut,mop gut,
dwarfism,general,dwarf state,djob dom,
dysfunction,general,bad work,fut wark,
dystrophy,general,bad feed,fut nubz,
ebony,general,black wood tree,vog vriC dip,
edelweiss,general,white mountain flower,wip mot flor,
edema,general,water swell,waC parb,
eggplant,general,purple fruit,sif mag,
einsteinium,general,smart atom,rez tom,
elm,general,wing seed tree,wiq sid dip,l
embankment,general,bank wall,lar medz,
embolism,general,clot block,truz giks,
emphysema,general,lung air swell,xols les parb,
emulsion,general,fine mix,pol miks,
enamel,general,tooth glaze,cutx grom,
encephalopathy,general,brain disease,bren bidj,
enterprise,general,between take,tin tek,
eosinophilia,general,white cell excess,wip weqk frep,
epidermis,general,upon skin,pand skin,
epiglottis,general,over throat flap,djip galk snaz,
epinephrine,general,alert heart hormone,palv zif glaf,l
epiphysis,general,bone end,brod guv,
epithelium,general,cover tissue,kov txum,
erbium,general,glass atom,malz tom,
erythema,general,red skin,gic skin,
erythroblast,general,red blood bud,gic bloC gond,
erythrocyte,general,red blood cell,gic bloC weqk,
estate,general,hold land,hoq lan,
ester,general,acid alcohol join,falf gadz huc,
estrogen,general,female sex hormone,fim zof glaf,
ethanol,general,two carbon alcohol,dob rint gadz,
ether,general,sleep vapor,slip fron,
ethyl,general,two carbon group,dob rint hip,
etiology,general,cause study,kaz nedz,
eucalyptus,general,smell oil tree,hac gips dip,
europium,general,screen atom,boft tom,l
excision,general,cut out,zep buk,
eyeball,general,eye ball,xic bral,
fascia,general,sheet tissue,kuqk txum,
femur,general,thigh bone,sket brod,
fennel,general,name herb,nam rorb,
fentanyl,general,extreme pain drug,datx muz som,l
fermium,general,rare atom,rar tom,
fern,general,sheep tooth,zigz cutx,
fibula,general,side leg bone,sard legz brod,
fistula,general,wrong passage,raq jaqk,
flank,general,body side,vat sard,
flax,general,fiber seed plant,blop sid dorf,l
fleece,general,wool coat,laqk letx,
flerovium,general,cloud atom,klad tom,
flint,general,fire strike stone,for nalc ston,
fluorine,general,tooth atom,cutx tom,
fluoxetine,general,mood lift drug,mud gorv som,l
follicle,general,small sac,smal briv,
fontanelle,general,skull soft spot,horf saft mals,l
football,general,foot ball,gral bral,
foramen,general,bone hole,brod hatx,
forget-me-not,general,small blue flower,smal bul flor,
fossa,general,bone hollow,brod vabz,
foster,general,raise care,mump kriq,
foxglove,general,finger bell flower,kubz gent flor,
francium,general,loose atom,txot tom,l
freesia,general,sweet smell flower,skit hac flor,
freshwater,general,fresh water,frax waC,
gabbro,general,dark grain,ram nusp,
gadolinium,general,seek atom,sik tom,
galactose,general,milk sugar,nudj gand,
gallbladder,general,gall bladder,txoz wuts,
gallium,general,bird atom,bax tom,
ganglion,general,nerve knot,nurv grox,
gangrene,general,dead flesh,fud flax,
garbage,general,throw waste,jet musp,
gardenia,general,white smell flower,wip hac flor,
garland,general,flower ring,flor rop,l
