word,uses,as_head,as_mark
chalk,11,8,3
chromian,11,0,11
gamma,11,0,12
grained,11,0,11
gypsum,11,0,11
holmquistite,11,11,0
leakeite,11,11,0
metamorphosed,11,0,11
minerals,11,8,3
monzodiorite,11,11,0
monzonite,11,9,2
on,11,0,11
ooid,11,0,11
pargasite,11,11,0
pegmatite,11,8,3
pyroclastic,11,0,11
type,11,7,4
based,10,0,10
carbonaceous,10,0,10
clino,10,0,10
crystal,10,3,7
cuprian,10,0,10
dacitic,10,0,10
deposit,10,10,0
fluor,10,0,10
framestone,10,10,0
gabbroic,10,0,10
glutam,10,2,8
katophorite,10,10,0
lignite,10,10,0
metadiorite,10,9,1
metalime,10,0,10
metamorphic,10,0,10
microsparstone,10,10,0
microstone,10,10,0
normal,10,1,9
oxy,10,0,10
phlogopite,10,2,8
porphyry,10,10,0
pseudosparstone,10,10,0
richterite,10,6,4
sparstone,10,10,0
taramite,10,10,0
trachyandesite,10,5,5
trachytic,10,0,11
aluminium,9,0,9
augite,9,2,7
bytownite,9,0,9
diopside,9,1,8
dioritic,9,0,9
dravite,9,9,0
ferroan,9,0,9
ii,9,8,1
leucite,9,2,7
leucogranite,9,8,1
magnetite,9,2,7
pebble,9,1,8
anorthosite,8,8,0
apio,8,0,8
ash,8,6,2
aspart,8,0,8
ba,8,6,2
calcium,8,0,8
cross,8,0,8
dacite,8,5,3
fe,8,4,4
furan,8,8,0
granitic,8,0,8
gritty,8,0,8
hastingsite,8,8,0
ice,8,7,1
laminated,8,0,8
lithium,8,0,8
medium,8,0,8
melilitolite,8,8,0
metabasaltic,8,0,8
metagranodiorite,8,8,0
metamicrogabbro,8,7,1
metapyroxene,8,0,8
micro,8,0,8
microoncoid,8,0,8
mineral,8,1,7
monzogabbro,8,8,0
orthogneiss,8,6,2
quinone,8,8,0
slumped,8,0,11
sn,8,0,8
strontian,8,0,8
supergroup,8,8,0
then,8,0,8
angular,7,0,7
arfvedsonite,7,7,0
barroisite,7,7,0
bismuthian,7,0,7
cannilloite,7,7,0
carbonatite,7,7,0
chi,7,0,8
chloro,7,0,7
epsilon,7,0,8
flaggy,7,0,7
gold,7,7,0
gray,7,7,0
kappa,7,0,8
metadolostone,7,1,6
metagabbroic,7,0,7
metapegmatite,7,7,0
micronorite,7,7,0
microsyenite,7,7,0
molecular,7,0,7
mugearite,7,5,2
nitride,7,7,0
nybite,7,7,0
pedrizite,7,7,0
peloid,7,0,7
phi,7,0,8
phonolitic,7,0,7
pisoid,7,0,7
psi,7,0,8
quartzose,7,0,7
salt,7,3,4
shell,7,0,7
strontium,7,0,7
tschermakite,7,7,0
tuffite,7,7,0
very,7,0,7
weathered,7,0,7
xenolithic,7,0,7
agate,6,6,0
albite,6,2,4
alcohol,6,6,0
alumino,6,0,6
aplitic,6,0,6
basanite,6,6,0
bedded,6,6,0
cannel,6,0,6
chromite,6,2,4
cycles,6,0,6
earth,6,2,4
eutaxitic,6,0,6
foidite,6,6,0
gabbronorite,6,6,0
germanate,6,0,6
glauconitic,6,0,6
granofels,6,3,3
granofelsic,6,0,7
heulandite,6,2,4
lamprophyre,6,5,1
mangani,6,0,6
metaconglomerate,6,5,1
metadolerite,6,5,1
metapeloid,6,0,6
metapisoid,6,0,6
mica,6,1,5
microgranitic,6,0,6
mn,6,5,1
ooze,6,6,0
oxides,6,0,6
phospho,6,6,0
pinen,6,6,0
protolith,6,2,4
pyroxenite,6,6,0
shale,6,4,2
slightly,6,0,6
sodium,6,0,6
sr,6,5,1
sulfoxide,6,6,0
trachyandesitic,6,0,6
trachydacitic,6,0,8
viii,6,6,0
winchite,6,6,0
anhydrite,5,0,5
arenaceous,5,0,5
as,5,0,5
brown,5,4,1
chabazite,5,1,4
chrome,5,0,5
classification,5,0,5
clasts,5,3,2
cleavage,5,5,0
concretions,5,0,5
cyanogen,5,0,5
cyanuric,5,0,5
eckermannite,5,5,0
edenite,5,5,0
fold,5,4,1
graded,5,2,3
hybrid,5,0,5
ic,5,0,5
iii,5,4,1
kalsilite,5,0,5
leucomicrogranite,5,5,0
lineation,5,5,0
lithic,5,0,5
magnetic,5,0,5
marine,5,0,6
matter,5,5,0
melilitic,5,0,5
melilitite,5,5,0
mercurian,5,0,5
metaleucogranite,5,5,0
metaphosphate,5,0,5
metatuffaceous,5,0,5
methionine,5,0,5
microdioritic,5,0,5
microgabbroic,5,0,5
monomineralic,5,0,5
nana,5,5,0
nickeloan,5,0,5
opal,5,3,2
phosphorus,5,0,5
rudaceous,5,0,5
seat,5,0,5
serpentinite,5,1,4
slaty,5,0,5
tephra,5,5,0
tephritic,5,0,5
tholeiitic,5,0,6
titanian,5,0,5
welded,5,0,5
zn,5,4,1
actinolite,4,2,2
adamite,4,4,0
al,4,4,0
alumina,4,2,2
aluminian,4,0,4
anthophyllite,4,4,0
apatite,4,2,2
argentian,4,0,4
augen,4,0,4
barian,4,0,4
beryl,4,3,1
betpakdalite,4,0,4
bituminous,4,0,4
boghead,4,0,4
brecciated,4,0,4
broken,4,0,4
butyl,4,0,4
camptonite,4,1,3
charnockitic,4,0,4
chlorite,4,0,4
cobalt,4,0,4
comenditic,4,0,4
composed,4,0,4
copper,4,4,0
em,4,4,0
eno,4,4,0
epsomite,4,4,0
eye,4,4,0
germanium,4,0,4
gjerdingenite,4,0,4
glass,4,3,1
glaucophane,4,3,1
halite,4,0,4
hornblendite,4,4,0
hyaloclastite,4,3,1
hydroxides,4,0,4
ivanyukite,4,0,4
kimberlite,4,4,0
latite,4,4,0
macroporphyritic,4,0,4
magnesiohögbomite,4,0,4
manganiferous,4,0,4
mechanically,4,0,4
mesobreccia,4,2,2
metacarbonate,4,0,4
metafelsite,4,4,0
metalamprophyre,4,4,0
metalapilli,4,0,4
metamafic,4,0,4
metamicrogabbroic,4,0,4
metamicrooncoid,4,0,4
metaphonolitic,4,0,4
metarock,4,4,0
micromelilitolite,4,4,0
micromonzodiorite,4,4,0
micromonzogabbro,4,4,0
micromonzonite,4,4,0
monchiquite,4,2,2
monzosyenite,4,4,0
nodules,4,4,0
ol,4,4,0
opaline,4,0,4
ortho,4,0,4
oxide,4,2,2
palladian,4,0,4
pantelleritic,4,0,4
phonolite,4,4,0
plane,4,3,1
porcellanite,4,4,0
pyrite,4,3,1
pyritic,4,0,4
rafts,4,1,3
riebeckite,4,3,1
seatearth,4,1,3
selenian,4,0,4
shells,4,4,0
siderite,4,3,1
soda,4,0,4
sodic,4,0,4
stratification,4,4,0
tephrite,4,4,0
terpinen,4,4,0
tertiary,4,0,4
thomsonite,4,2,2
titanite,4,4,0
trachybasalt,4,2,2
tremolite,4,1,3
vii,4,4,0
xenoliths,4,4,0
aegirine,3,2,1
alluaudite,3,0,3
anorthositic,3,0,3
anthra,3,0,3
arsenic,3,1,2
attributes,3,3,0
azoxy,3,3,0
barite,3,2,1
bedding,3,2,1
beds,3,3,0
biological,3,0,3
bioturbated,3,0,3
biphen,3,0,3
bis,3,0,3
block,3,0,3
bomb,3,0,3
bright,3,0,3
calcian,3,0,3
casts,3,3,0
cemented,3,0,3
chemical,3,0,3
chloride,3,2,1
chrom,3,0,3
chromium,3,0,3
clastic,3,0,3
cohesion,3,3,0
composition,3,3,0
cu,3,1,2
cumulate,3,0,3
dachiardite,3,1,2
diaminopimelic,3,0,3
doleritic,3,0,3
dull,3,0,3
dunite,3,3,0
exotic,3,0,3
faujasite,3,0,3
fill,3,3,0
flow,3,0,3
fluxioned,3,0,3
foundry,3,0,3
gallium,3,0,3
gemstones,3,3,0
homosalicyl,3,3,0
hydroxylapatite,3,3,0
illite,3,0,3
interbeds,3,1,3
intermediate,3,0,3
isoduryl,3,3,0
kaolinite,3,0,3
labuntsovite,3,0,3
lapis,3,0,3
lazuli,3,3,0
lead,3,0,3
leucinic,3,0,3
lutidin,3,0,3
madupitic,3,0,3
magnesite,3,2,1
magnesium,3,0,3
mangano,3,0,3
marly,3,0,3
megabreccia,3,3,0
megacrystic,3,0,3
melagabbro,3,3,0
melagranite,3,3,0
melamicrodiorite,3,3,0
melamicrogranite,3,3,0
melanterite,3,3,0
melatroctolite,3,2,1
melonite,3,3,0
mendozavilite,3,0,3
metabanded,3,0,3
metabasanite,3,3,0
metagranitic,3,0,3
metagypsum,3,0,3
metamelagranite,3,3,0
metanepheline,3,0,3
metapyroclastic,3,0,3
metarhyolite,3,3,0
metatephritic,3,0,3
metatonalite,3,3,0
metatrachyte,3,3,0
microcline,3,0,3
microhornblendite,3,3,0
micromelilitic,3,0,3
microperidotite,3,3,0
microporphyritic,3,0,3
micropyroxenite,3,3,0
modal,3,0,3
monzogranite,3,3,0
native,3,0,3
natrolite,3,3,0
obertiite,3,3,0
obradovicite,3,0,3
oil,3,0,3
orthopyroxenite,3,3,0
oxo,3,0,3
oxychloride,3,3,0
para,3,0,3
phosphatic,3,1,2
pillowed,3,0,3
platinum,3,3,0
potassium,3,0,3
primary,3,0,3
proto,3,0,3
red,3,1,2
resorcyl,3,3,0
rhodic,3,0,3
ripples,3,3,0
sapropel,3,3,0
se,3,0,3
sec,3,0,3
serpentine,3,0,3
smectite,3,0,3
smoky,3,0,3
sodalite,3,2,1
stanniferous,3,0,3
stilbite,3,1,2
structure,3,3,0
structures,3,3,0
syenitic,3,0,3
terpineol,3,3,0
tetrahedrite,3,3,0
textural,3,0,3
thallian,3,0,3
thorian,3,0,3
troctolite,3,3,0
tsepinite,3,0,3
water,3,1,2
yttrium,3,0,3
ag,2,1,1
altered,2,0,2
alumo,2,0,2
amyl,2,2,0
andorite,2,0,2
annabergite,2,2,0
anorthite,2,2,0
antimonial,2,0,2
antimonian,2,0,2
argentiferous,2,0,2
arsenian,2,0,2
asarone,2,2,0
autunite,2,2,0
axial,2,0,2
azide,2,2,0
bario,2,0,2
benzo,2,0,2
beryllium,2,0,2
biotin,2,0,2
blue,2,1,1
boothite,2,2,0
brewsterite,2,0,2
britholite,2,2,0
brizziite,2,0,2
bromian,2,0,2
bromide,2,2,0
bronze,2,2,0
brownish,2,0,2
but,2,0,2
butoxide,2,2,0
butoxyl,2,2,0
by,2,0,2
cadmoselite,2,2,0
calcio,2,0,2
camphor,2,0,2
carbo,2,0,2
carboirite,2,0,2
carbon,2,0,2
carnallite,2,1,1
celestine,2,2,0
ceph,2,0,2
chlor,2,0,2
chloral,2,0,2
chlorargyrite,2,2,0
chrompicotite,2,2,0
clinoptilolite,2,0,2
clinopyroxenite,2,1,2
columnar,2,0,2
cornstone,2,2,0
cracks,2,2,0
crenulation,2,0,2
cubic,2,0,2
cyclopenta,2,0,2
cystyl,2,2,0
dark,2,0,2
diisocyanate,2,2,0
dioxide,2,0,2
disulfide,2,2,0
echelon,2,0,2
eleostear,2,2,0
enstatite,2,0,2
entry,2,1,1
epidote,2,0,2
erionite,2,0,2
farnesene,2,2,0
ferrian,2,0,2
ferrierite,2,0,2
ferroalluaudite,2,0,2
ferrohögbomite,2,0,2
ferronigerite,2,0,2
ferrotaaffeite,2,0,2
fire,2,0,2
fissile,2,0,2
flavan,2,0,2
flinty,2,0,2
fluorapatite,2,2,0
fluoride,2,2,0
flute,2,0,2
foiditic,2,0,2
foitite,2,2,0
formation,2,2,0
fracture,2,2,0
fragmental,2,0,2
franciscanite,2,0,2
free,2,0,2
friable,2,0,2
gadolinium,2,0,2
galena,2,2,0
garden,2,0,2
garronite,2,0,2
ge,2,0,2
gersdorffite,2,2,0
gismondine,2,0,2
glauconite,2,2,0
glycerol,2,1,1
gmelinite,2,0,2
golden,2,0,2
gouge,2,2,0
grain,2,0,2
greenish,2,0,2
grossular,2,2,0
half,2,0,2
hemipelagic,2,0,2
high,2,0,2
hollandite,2,1,1
hummocky,2,0,2
hyalo,2,0,2
hydroxide,2,0,2
impure,2,0,2
ind,2,0,2
individual,2,0,2
industrial,2,0,2
intrusion,2,0,2
inverse,2,1,1
iodide,2,2,0
iridian,2,0,2
iso,2,0,2
isoflavan,2,0,2
iv,2,1,1
ixiolite,2,2,0
jadeite,2,2,0
kaersutite,2,2,0
kainite,2,1,1
kuzmenkoite,2,0,2
lambda,2,0,2
laminations,2,2,0
lamprophyres,2,0,2
largely,2,0,2
lenses,2,2,0
leucitite,2,2,0
leucotonalite,2,1,1
lévyne,2,0,2
liddicoatite,2,2,0
light,2,0,2
magnesian,2,0,2
magnesionigerite,2,0,2
magnesiotaaffeite,2,0,2
marble,2,0,2
marks,2,2,0
mazzite,2,0,2
meladiorite,2,1,1
melagabbroic,2,0,2
melamonzonite,2,1,1
metaboghead,2,0,2
metabreccia,2,2,0
metacannel,2,0,2
metadioritic,2,0,2
metafeldspathic,2,0,2
metahawaiite,2,2,0
metahydroxides,2,0,2
metalithic,2,0,2
metamagnesite,2,0,2
metamonzogranite,2,2,0
metamonzonite,2,2,0
metaoncoid,2,0,2
metaooid,2,0,2
metaphosphorite,2,2,0
metarhyolitic,2,0,2
metasapropelic,2,0,2
methane,2,0,2
micritic,2,0,2
microgabbronorite,2,2,0
microsyenitic,2,0,2
microtonalite,2,2,0
milky,2,0,2
mineralogy,2,2,0
miscellaneous,2,0,2
montmorillonite,2,2,0
monzonitic,2,0,2
moss,2,0,2
mudmound,2,0,2
mylonite,2,2,0
myrcene,2,2,0
nacu,2,2,0
name,2,2,0
naphtho,2,0,2
natural,2,0,2
neoflavan,2,0,2
niobian,2,0,2
niter,2,2,0
nitrogen,2,1,1
no,2,1,1
not,2,0,2
ocimene,2,2,0
olivenite,2,2,0
omphacite,2,2,0
ooidal,2,0,2
ore,2,2,0
örebroite,2,0,2
organovaite,2,0,2
orthoclase,2,2,0
orthojoaquinite,2,2,0
oxybromide,2,2,0
oyl,2,2,0
paratsepinite,2,0,2
parting,2,0,2
parvo,2,0,2
paulingite,2,0,2
pectolite,2,1,1
perovskite,2,2,0
petscheckite,2,2,0
phillipsite,2,0,2
phospha,2,0,2
phosphor,2,2,0
phosphovanadylite,2,0,2
pitchstone,2,2,0
polyphite,2,0,2
poorly,2,0,2
porphyroblastic,2,0,2
pseudo,2,0,2
pyrochlore,2,0,2
pyromorphite,2,2,0
pyrope,2,2,0
quadruphite,2,0,2
reddish,2,0,2
restricted,2,0,2
reverse,2,0,2
ripple,2,0,2
rose,2,0,2
rossmanite,2,2,0
salts,2,2,0
sanidine,2,0,2
sapropelic,2,0,2
scandian,2,0,2
schorl,2,2,0
shear,2,0,2
silanoxy,2,2,0
silanyl,2,2,0
silcrete,2,2,0
silver,2,2,0
size,2,2,2
slag,2,2,0
smithsonite,2,2,0
sorted,2,2,0
source,2,0,2
spar,2,2,0
subalkali,2,0,2
suenoite,2,2,0
sulfano,2,2,0
sulfol,2,0,2
sulfonylimide,2,2,0
sulfonylmethide,2,2,0
sulphide,2,1,1
sunstone,2,2,0
superficial,2,0,2
swaley,2,0,2
talc,2,0,2
tellurian,2,0,2
tennantite,2,2,0
thiuram,2,0,2
tigers,2,0,2
titan,2,0,2
titanate,2,2,0
tool,2,0,2
tris,2,0,2
tufa,2,2,0
unconformity,2,2,0
unspecified,2,2,0
uranoan,2,0,2
vanadian,2,0,2
vanadinite,2,2,0
vanadio,2,0,2
vanadium,2,1,1
variolitic,2,0,2
vein,2,1,1
veins,2,2,0
vi,2,1,1
vitric,2,0,2
volcanic,2,0,2
well,2,0,2
yellowish,2,0,2
ylidene,2,2,0
ylidyne,2,2,0
zinc,2,1,1
zincohögbomite,2,0,2
zirconia,2,2,0
acetate,1,1,0
acetone,1,0,1
aci,1,0,1
active,1,0,1
adamantine,1,0,1
adelite,1,1,0
adularia,1,1,0
after,1,0,1
agpaitic,1,0,1
akermanite,1,1,0
alan,1,1,0
alanopine,1,1,0
albitised,1,0,1
alcrete,1,1,0
algal,1,0,1
alloy,1,1,0
allyl,1,1,0
alsakharovite,1,0,1
alum,1,1,0
aluminite,1,1,0
aluminotschermakite,1,1,0
alumohydrocalcite,1,1,0
alunite,1,0,1
alunogen,1,1,0
ammonia,1,0,1
ammoniac,1,1,0
amoxy,1,1,0
analcite,1,1,0
analogue,1,0,1
anatase,1,1,0
anglesite,1,1,0
anion,1,1,0
anise,1,0,1
ankoleite,1,1,0
anthracite,1,1,0
antigorit,1,1,0
apache,1,0,1
aphthitalite,1,1,0
aphyric,1,0,1
appenitic,1,0,1
applicable,1,1,0
argentocuproaurite,1,0,1
argentopolybasite,1,0,1
aric,1,0,1
arrojadite,1,1,0
arsenate,1,1,0
arsenatian,1,0,1
arthurite,1,1,0
artificial,1,0,1
artificially,1,0,1
asbestos,1,0,1
ascorbic,1,0,1
association,1,1,0
astrophyllite,1,0,1
asymmetric,1,0,1
auricupride,1,1,0
austinite,1,1,0
axinite,1,0,1
axis,1,1,0
azido,1,0,1
ball,1,0,1
banding,1,1,0
bands,1,0,1
baryte,1,1,0
basanitic,1,0,1
basin,1,0,1
baumhauerite,1,0,1
bauxite,1,0,1
bauxitic,1,0,1
bed,1,1,0
benmoreite,1,1,0
betafite,1,0,1
bifluoren,1,1,0
bindheimite,1,1,0
bioclastic,1,0,1
birds,1,0,1
bischofite,1,1,0
bismuth,1,0,1
bismuthiferous,1,0,1
black,1,0,1
blackband,1,0,1
blast,1,0,1
bleached,1,0,1
blende,1,1,0
blocks,1,0,1
bluish,1,0,1
bog,1,0,1
boltwoodite,1,1,0
bone,1,0,1
bor,1,1,0
borax,1,0,1
border,1,0,1
boronic,1,0,1
boulangerite,1,1,0
boulder,1,1,0
bounded,1,0,1
braunite,1,0,1
brom,1,0,1
bromargyrite,1,1,0
bromcarnallite,1,1,0
bromine,1,1,0
buergerite,1,1,0
building,1,0,1
burovaite,1,0,1
burrow,1,0,1
buta,1,0,1
butoxy,1,1,0
buttress,1,0,1
caca,1,1,0
caesium,1,0,1
calcilicate,1,0,1
camg,1,1,0
canfieldite,1,1,0
carbapen,1,0,1
carbide,1,1,0
carnotite,1,1,0
cast,1,1,0
cataclastic,1,0,1
cd,1,0,1
celsian,1,1,0
ceramic,1,0,1
cerussite,1,1,0
chalcanthite,1,1,0
chalcedony,1,1,0
chalcosiderite,1,1,0
china,1,0,1
chlorine,1,1,0
chromio,1,0,1
chromo,1,0,1
chrysoprase,1,0,1
chrysotile,1,1,0
citronellal,1,1,0
citronellol,1,1,0
clackmannan,1,0,1
clast,1,0,1
clathrate,1,1,0
claudetite,1,1,0
climbing,1,0,1
clinochlore,1,1,0
clinoferroholmquistite,1,1,0
clinohumite,1,0,1
clinozoisite,1,1,0
co,1,0,1
coated,1,0,1
cobaltaustinite,1,1,0
cobaltian,1,0,1
cobaltlotharmeyerite,1,1,0
colemanite,1,0,1
collecting,1,1,0
colliery,1,0,1
concretionary,1,0,1
contact,1,0,1
contaminated,1,0,1
convolute,1,0,1
core,1,0,1
corundum,1,1,0
covellite,1,1,0
crandallite,1,1,0
crest,1,1,0
critical,1,0,1
cryolite,1,1,0
cs,1,0,1
ct,1,1,0
cuminic,1,0,1
cupro,1,0,1
curite,1,1,0
cyanohydrin,1,1,0
cycle,1,1,0
decorative,1,0,1
deficient,1,0,1
deformation,1,1,0
dehydroascorbic,1,0,1
deleted,1,1,0
dellaventuraite,1,1,0
delta,1,0,1
dendritic,1,0,1
descloizite,1,1,0
desert,1,0,1
desiccation,1,0,1
detachment,1,0,1
diacetone,1,0,1
diamond,1,1,0
diamonds,1,1,0
diatom,1,0,1
diatomaceous,1,0,1
dictionary,1,0,1
dieno,1,1,0
dihydroisolysergic,1,0,1
dihydrolysergic,1,0,1
dimethylol,1,0,1
diphenylphosphoryl,1,0,1
discovery,1,0,1
dish,1,0,1
disjunctive,1,0,1
djerfisherite,1,1,0
dl,1,0,1
dolomitised,1,0,1
domestic,1,0,1
dominant,1,0,1
drag,1,0,1
duftite,1,1,0
dumps,1,1,0
eicosyl,1,0,1
eilat,1,0,1
eisenspessartin,1,1,0
elbaite,1,1,0
elpidite,1,1,0
emerald,1,1,0
entered,1,1,0
epidotic,1,0,1
ericksenite,1,1,0
erythrite,1,1,0
escape,1,0,1
ester,1,1,0
eta,1,0,1
ethyl,1,0,1
ethylene,1,0,1
ethylhexyloxyphenol,1,0,1
eucryptite,1,1,0
eudialyte,1,0,1
evaporitic,1,0,1
famatinite,1,1,0
fayalite,1,0,1
felsitic,1,0,1
ferricrete,1,1,0
ferrilotharmeyerite,1,1,0
ferrobarroisite,1,1,0
ferrogedrite,1,1,0
ferroplatinum,1,1,0
feruvite,1,1,0
fillowite,1,1,0
flake,1,0,1
flame,1,0,1
flaser,1,0,1
flat,1,0,1
flattened,1,0,1
fluid,1,0,1
fluorcalciomicrolite,1,1,0
fluorine,1,1,0
fluorite,1,1,0
foidolitic,1,0,1
foliation,1,1,0
formamide,1,1,0
formations,1,1,0
forming,1,0,1
fragments,1,0,1
francium,1,0,1
freibergite,1,1,0
friedels,1,0,1
fuel,1,0,1
furil,1,1,0
furnace,1,0,1
fusain,1,1,0
ga,1,0,1
gahnite,1,1,0
gardening,1,1,0
garrelsite,1,0,1
gedrite,1,1,0
gehlenite,1,1,0
gem,1,0,1
george,1,0,1
ghoseite,1,1,0
glomerocrystic,1,0,1
glutaronitrile,1,1,0
glutathione,1,0,1
glycol,1,1,0
goldmanite,1,1,0
goyazite,1,1,0
greenockite,1,1,0
grit,1,0,1
ground,1,1,0
gutkovaite,1,0,1
gutter,1,0,1
hafnian,1,0,1
hagendorfite,1,0,1
hamlinite,1,1,0
hawks,1,0,1
hedenbergite,1,0,1
hellandite,1,1,0
hemipin,1,1,0
herkimer,1,0,1
herradura,1,0,1
hiortdahlite,1,0,1
hisingerite,1,1,0
hole,1,1,0
homoalan,1,1,0
homoargin,1,1,0
homoasparag,1,1,0
homoglutam,1,1,0
homohydroxyprol,1,1,0
homoisoleuc,1,1,0
homoleuc,1,1,0
homolys,1,1,0
homomethion,1,1,0
homophenylalan,1,1,0
homoprol,1,1,0
homopropargylglyc,1,1,0
homoser,1,1,0
homothreon,1,1,0
homotryptoph,1,1,0
homotyros,1,1,0
hoppers,1,1,0
huréaulite,1,1,0
hybridized,1,1,0
hydrate,1,1,0
hydrated,1,0,1
hydro,1,0,1
hydrogen,1,1,0
hydrothermal,1,0,1
hydrothermally,1,0,1
hydrous,1,0,1
hydroxy,1,0,1
hydroxykeramohalite,1,1,0
hydroxylian,1,0,1
ignimbrite,1,1,0
ikunolite,1,1,0
ilmenite,1,1,0
ilmenitite,1,1,0
impact,1,0,1
indac,1,1,0
indacen,1,1,0
indaceno,1,1,0
international,1,0,1
intersection,1,0,1
iodargyrite,1,1,0
iodian,1,0,1
iodine,1,1,0
iowaite,1,1,0
iris,1,0,1
irregularly,1,0,1
isocyanuric,1,0,1
isolysergic,1,0,1
isomuramic,1,0,1
isophorone,1,0,1
isophthalyl,1,0,1
jamesonite,1,1,0
jarosite,1,1,0
jeanlouisite,1,1,0
joints,1,1,0
junoite,1,1,0
kalsilitic,1,0,1
kalsilitite,1,1,0
kalsilitolite,1,1,0
kalsio,1,0,1
karupmllerite,1,0,1
kca,1,1,0
kcu,1,1,0
kennedyite,1,1,0
kernite,1,0,1
kieserite,1,0,1
kyanite,1,1,0
lace,1,0,1
lamprophyllite,1,1,0
large,1,0,1
lattice,1,0,1
laueite,1,0,1
laumontite,1,1,0
lawsonite,1,1,0
lemmleinite,1,0,1
lepidomelane,1,1,0
lepkhenelmite,1,0,1
leuc,1,1,0
leucitic,1,0,1
leucomicrodiorite,1,1,0
leucomicromonzodiorite,1,1,0
leucomicrotonalite,1,1,0
leucophoenicite,1,0,1
libethenite,1,1,0
libyan,1,0,1
lillianite,1,1,0
lithian,1,0,1
lithomarge,1,0,1
load,1,0,1
lucchesiite,1,1,0
ludwigite,1,1,0
