concept,domains
bootleg,3
bop,3
bout,3
brandish,3
brawl,3
breakage,3
broil,3
bronchitis,3
buck,3
bucolic,3
buff,3
buildup,3
bulimia,3
bulletin,3
bum,3
bumble,3
bungle,3
bunt,3
burlesque,3
bursitis,3
bushwhack,3
cachexia,3
caesarean,3
caesarian,3
calculation,3
callus,3
calmness,3
camber,3
cambrian,3
cancellous,3
canker,3
canter,3
capacitance,3
capitulation,3
caramel,3
carbonate,3
carboniferous,3
carcinoma,3
cardinal,3
cardiomyopathy,3
carmine,3
carnalize,3
carol,3
cartilaginous,3
cartwheel,3
catalogue,3
cataract,3
catastrophe,3
caucasian,3
caudal,3
cd,3
cellularity,3
cellulitis,3
celluloid,3
censure,3
certification,3
certify,3
championship,3
channelise,3
channelize,3
chap,3
characterization,3
charter,3
checkmate,3
chemotaxis,3
chi,3
chicane,3
chlorination,3
cholecystitis,3
chorea,3
chronology,3
chuck,3
ciliated,3
cinch,3
circularise,3
circumstance,3
cite,3
clack,3
clarion,3
classical,3
classification,3
cleanup,3
clearance,3
cleavage,3
cleft,3
clinch,3
cloister,3
clothe,3
clumsiness,3
clutter,3
coagulation,3
cockney,3
codification,3
coinage,3
coldness,3
colitis,3
collagenous,3
collateral,3
coma,3
commencement,3
commercial,3
compaction,3
comparative,3
complexion,3
compliance,3
composite,3
comprehend,3
compressibility,3
concatenation,3
conceit,3
conciliate,3
conciliation,3
concoction,3
concretion,3
condemnation,3
confederate,3
confinement,3
conformation,3
congee,3
conjugate,3
conjugation,3
conjunctivitis,3
conjuration,3
consecrate,3
consort,3
conspicuousness,3
constellate,3
constitutional,3
constitutionalize,3
contagion,3
contend,3
continental,3
continuant,3
contractile,3
contractility,3
contralto,3
convergence,3
converse,3
copulation,3
copyright,3
corrections,3
correlation,3
correspondence,3
corrosion,3
countenance,3
countercheck,3
countermarch,3
countermine,3
counterpoint,3
countertenor,3
courtesy,3
coverage,3
covetousness,3
cram,3
craziness,3
crescendo,3
cringe,3
crinkle,3
crock,3
crotchet,3
crucify,3
cruelty,3
cruise,3
crump,3
cryptorchidism,3
crystallization,3
cull,3
culminate,3
culmination,3
curry,3
curtsy,3
cuspidate,3
cyan,3
cyanosis,3
cylindrical,3
daily,3
damascene,3
daydream,3
debut,3
deceleration,3
decentralization,3
deck,3
declarative,3
decompress,3
decrescendo,3
decussate,3
deductible,3
defence,3
defiance,3
deflate,3
deflation,3
deflexion,3
defoliation,3
deforestation,3
degenerate,3
degradation,3
deliberation,3
delinquency,3
demineralization,3
demolish,3
demoralisation,3
demoralization,3
demoralize,3
demotic,3
demurrer,3
dendritic,3
denial,3
depersonalization,3
depiction,3
deposition,3
deprivation,3
derogation,3
descant,3
desolate,3
desolation,3
deterioration,3
determination,3
determinative,3
deterrence,3
detoxification,3
detrition,3
deuce,3
devise,3
devolution,3
devour,3
dialectic,3
differential,3
differentiation,3
diminution,3
dimple,3
ding,3
diploid,3
directive,3
disagreement,3
disarray,3
discoid,3
discolouration,3
disconnection,3
discontinuous,3
discouragement,3
discourtesy,3
discovery,3
discredit,3
discretion,3
disentangle,3
disfavor,3
disfavour,3
disintegration,3
disinvest,3
disjoint,3
dislocation,3
dispensation,3
dispense,3
dispersion,3
dispossession,3
disquiet,3
disruption,3
dissemble,3
dissemination,3
dissociate,3
dissonance,3
distensible,3
diversification,3
divert,3
divest,3
docket,3
documentation,3
dominance,3
doomsday,3
dormancy,3
drench,3
drone,3
drumbeat,3
dub,3
duet,3
dunk,3
dysphagia,3
dysuria,3
earmark,3
easement,3
easiness,3
easterly,3
ecchymosis,3
echolalia,3
echolocation,3
eclampsia,3
efface,3
egress,3
ejaculation,3
eject,3
electrolysis,3
electromagnetism,3
elimination,3
elliptic,3
elongated,3
elude,3
emasculate,3
embark,3
embolism,3
employment,3
emptiness,3
emulation,3
enactment,3
encapsulation,3
encephalopathy,3
enchantment,3
encouragement,3
encroachment,3
endocarditis,3
endometritis,3
endowment,3
enervation,3
enfranchisement,3
engagement,3
engrave,3
enjoyment,3
enlargement,3
enquiry,3
enthalpy,3
enthusiasm,3
enticement,3
epididymitis,3
episodic,3
epistaxis,3
equivocation,3
erythema,3
espouse,3
establishment,3
esthetic,3
estimation,3
etiolate,3
etiolation,3
evacuation,3
evade,3
evaluation,3
eviscerate,3
evoke,3
exalt,3
examination,3
excision,3
excitement,3
excretion,3
execration,3
execution,3
exert,3
expenditure,3
experimentation,3
expiration,3
exploration,3
extravasate,3
extrusion,3
f,3
fabrication,3
familiarity,3
famine,3
fascination,3
fathom,3
favorite,3
favourite,3
federal,3
fermentation,3
ferret,3
fertilization,3
fete,3
fibroma,3
filtration,3
finale,3
fingerprint,3
fixation,3
flaky,3
flatness,3
flattened,3
flatulence,3
fledge,3
fleet,3
fleshy,3
flexibility,3
flexion,3
flexure,3
flirt,3
flotation,3
fluency,3
fluorescence,3
focal,3
focalise,3
focalize,3
foolishness,3
footstep,3
foray,3
foreboding,3
forego,3
forgo,3
formality,3
fortissimo,3
foster,3
founder,3
foursquare,3
fractionation,3
fragility,3
frailty,3
franchise,3
fraudulence,3
frazzle,3
french,3
frisk,3
fruition,3
fuck,3
fucking,3
fuddle,3
fulfil,3
functional,3
funk,3
furlough,3
fury,3
galvanise,3
galvanize,3
gargle,3
gash,3
gastritis,3
gavotte,3
gee,3
gemination,3
germination,3
gibe,3
gigantism,3
gingivitis,3
glaucoma,3
gleaming,3
glimmer,3
glint,3
glitter,3
gloat,3
glomerulonephritis,3
gloominess,3
glossitis,3
glut,3
glycosuria,3
gnarl,3
gobble,3
goodwill,3
gospel,3
gout,3
gradation,3
graduate,3
graduation,3
granuloma,3
gravitation,3
grope,3
grouse,3
grumbling,3
guile,3
guttural,3
gymkhana,3
hale,3
halloo,3
haploid,3
hardship,3
harmonise,3
hassle,3
haste,3
haul,3
headache,3
headline,3
heartbeat,3
heaving,3
helplessness,3
hem,3
hepatitis,3
hermaphroditism,3
hernia,3
hesitation,3
hex,3
hibernation,3
hieratic,3
hijack,3
hike,3
hollywood,3
homer,3
honeycomb,3
hornpipe,3
hotfoot,3
huff,3
humbleness,3
humbug,3
hunch,3
hungriness,3
hurdle,3
hush,3
hybrid,3
hydrocephalus,3
hydrophobicity,3
hygiene,3
hypercapnia,3
hypersensitivity,3
hypertension,3
hyperthyroidism,3
hypertrophy,3
hyperventilation,3
hypoproteinemia,3
hypostasis,3
hypotension,3
hypothermia,3
hypothyroidism,3
idealisation,3
idealization,3
ileitis,3
illuminance,3
illuminate,3
illumination,3
immersion,3
immunodeficiency,3
impairment,3
impatience,3
impedance,3
imperialism,3
implantation,3
implication,3
impose,3
impromptu,3
impropriety,3
inactivation,3
inactivity,3
inaugural,3
incarnate,3
incarnation,3
incense,3
incidence,3
incidental,3
incision,3
incite,3
incitement,3
incompatibility,3
inconvenience,3
incorporation,3
incubation,3
incurvate,3
indebtedness,3
indenture,3
indicative,3
indifference,3
indigo,3
indispose,3
induct,3
infertility,3
infiltration,3
infrared,3
infuse,3
infusion,3
initiation,3
initiative,3
innovation,3
inoculate,3
insistence,3
instability,3
installment,3
insulation,3
intensive,3
intercept,3
interchange,3
interdict,3
interference,3
interleave,3
interlock,3
interlocking,3
interlude,3
interpolation,3
interpose,3
interruption,3
intimacy,3
intimidation,3
introversion,3
intrusion,3
intussusception,3
invalid,3
invigorate,3
invocation,3
ionization,3
irrational,3
irregularity,3
irritate,3
irritation,3
irruption,3
isometric,3
isometry,3
iv,3
ivory,3
j,3
jack,3
jazz,3
jibe,3
jig,3
jinx,3
jocularity,3
joggle,3
jot,3
journalism,3
jubilation,3
juggle,3
jumpstart,3
juncture,3
junket,3
jurassic,3
justification,3
jut,3
kb,3
keenness,3
keratitis,3
keratoconjunctivitis,3
ketosis,3
kickoff,3
killer,3
kite,3
kowtow,3
kyphosis,3
lace,3
lacerate,3
lam,3
lament,3
languish,3
languor,3
lard,3
largo,3
lassitude,3
laterality,3
leach,3
leapfrog,3
leash,3
lecture,3
leer,3
leeward,3
levitation,3
licence,3
ligate,3
limber,3
linkage,3
lipoma,3
liquidity,3
lisp,3
litter,3
lobate,3
localise,3
localization,3
localize,3
localized,3
loneliness,3
loosen,3
lowness,3
luminance,3
luminescence,3
lurk,3
lx,3
lymphadenitis,3
lymphadenopathy,3
lymphoma,3
maceration,3
maculate,3
magnetisation,3
magnification,3
major,3
majority,3
malabsorption,3
malnutrition,3
manhood,3
manifestation,3
mannerism,3
manoeuver,3
marshal,3
masa,3
mash,3
masquerade,3
massage,3
masse,3
mastery,3
mastication,3
mastitis,3
mb,3
mechanization,3
medical,3
meiosis,3
melanoma,3
meld,3
melioration,3
mellow,3
mellowness,3
meningitis,3
mercifulness,3
mercurial,3
meridian,3
mesozoic,3
meteorology,3
metre,3
mi,3
midway,3
midweek,3
migratory,3
mileage,3
millenary,3
millionth,3
mimesis,3
mingle,3
minuet,3
miosis,3
miscarriage,3
misdirect,3
misplay,3
mistrust,3
misuse,3
mitigation,3
mitzvah,3
mobility,3
modal,3
modality,3
moderation,3
modernization,3
modification,3
moil,3
mononucleate,3
monthly,3
moot,3
mortality,3
mortgage,3
motley,3
muck,3
muddiness,3
mulct,3
multicellular,3
multinucleate,3
multipotent,3
mummify,3
musical,3
muster,3
mutter,3
myocarditis,3
myoglobinuria,3
myositis,3
nag,3
nasal,3
negotiation,3
neologism,3
nephritis,3
nervousness,3
nestle,3
neuritis,3
neuroblastoma,3
neuter,3
neutralise,3
neutralization,3
nickel,3
nodular,3
nominal,3
nomination,3
nominative,3
nonstop,3
nordic,3
normality,3
northeast,3
northeastward,3
northerly,3
northwest,3
northwestward,3
nosedive,3
novel,3
nucleated,3
nudge,3
nullify,3
numerate,3
obesity,3
oblong,3
obscenity,3
observance,3
obstruction,3
occult,3
occupation,3
occurrent,3
oceanic,3
ochre,3
odour,3
offside,3
ok,3
oliguria,3
onset,3
onslaught,3
oogenesis,3
ooze,3
oppression,3
oral,3
orchitis,3
ordinate,3
organisation,3
ornamentation,3
ossification,3
osteoarthritis,3
osteomyelitis,3
ostracism,3
outburst,3
outcry,3
outflow,3
outpouring,3
overbear,3
overcharge,3
overdrive,3
overestimate,3
overgrowth,3
overhaul,3
overleap,3
overlook,3
overmuch,3
overtake,3
overthrow,3
overwork,3
palatal,3
pallor,3
pancreatitis,3
pancytopenia,3
papilloma,3
para,3
paradigm,3
parallelogram,3
paralysis,3
parole,3
parry,3
partake,3
participation,3
partitive,3
pastoral,3
paternity,3
pathological,3
pathology,3
pathos,3
patronise,3
patronize,3
pawn,3
pelt,3
penetration,3
perceptiveness,3
percolate,3
perfection,3
perforate,3
perfume,3
pericarditis,3
perimeter,3
peritonitis,3
perturb,3
pervert,3
phagocytosis,3
pharyngitis,3
phimosis,3
phlegm,3
phosphorescence,3
photosensitivity,3
physiology,3
pi,3
pianissimo,3
picket,3
picnic,3
pictorial,3
piffle,3
pigeonhole,3
pillage,3
pinnacle,3
pinpoint,3
pizzicato,3
placard,3
placement,3
placidity,3
playfulness,3
plight,3
ploidy,3
plumose,3
plunder,3
plus,3
pneumonia,3
poaching,3
polarization,3
polymeric,3
polyploid,3
polyuria,3
porosity,3
portrayal,3
possessive,3
postmortem,3
poundage,3
pout,3
practise,3
pragmatic,3
prank,3
precaution,3
precedence,3
precedency,3
precedent,3
precondition,3
predate,3
predisposition,3
preempt,3
preemption,3
preen,3
prejudice,3
premiere,3
prepossess,3
presage,3
presentation,3
presumption,3
prevail,3
prevalence,3
prevarication,3
prim,3
prise,3
pro,3
proclamation,3
productivity,3
profoundness,3
prognostication,3
promenade,3
propagation,3
proposition,3
proteinuria,3
proteolysis,3
protuberance,3
providence,3
provocation,3
prowl,3
pruritus,3
psalm,3
puissance,3
punic,3
pupal,3
purification,3
purl,3
purpura,3
purse,3
pursue,3
putrefaction,3
pyelonephritis,3
pyrrhic,3
quadrangular,3
quadratic,3
quadruple,3
qualification,3
qualitative,3
quarterly,3
quaver,3
queer,3
quicken,3
quickening,3
quieten,3
radioactivity,3
radiography,3
railroad,3
rallying,3
ramble,3
rapacity,3
rape,3
rasp,3
rationalisation,3
raving,3
razing,3
razz,3
reactivity,3
readiness,3
realisation,3
realise,3
realism,3
realization,3
ream,3
rebate,3
rebirth,3
recapitulation,3
recession,3
reciprocal,3
reckoning,3
recommit,3
recompense,3
recovery,3
rectification,3
recuperate,3
recurrent,3
redevelop,3
redress,3
reflectance,3
reflex,3
refocus,3
refractory,3
refrigeration,3
refund,3
refutation,3
regency,3
regurgitation,3
rehash,3
reincarnate,3
reinforcement,3
reissue,3
rejoicing,3
rejuvenate,3
relish,3
reluctance,3
remand,3
remission,3
remittal,3
remount,3
remuneration,3
renascence,3
renewal,3
rental,3
renunciation,3
reorder,3
reorient,3
repayment,3
reposition,3
repression,3
reproach,3
reprobate,3
repulsion,3
requiem,3
reshuffle,3
resign,3
resilience,3
resurface,3
retention,3
retirement,3
retract,3
retrieval,3
retroflection,3
retroflex,3
retroflexion,3
retroversion,3
revel,3
revelation,3
reverberation,3
reversal,3
reversion,3
revolutionize,3
rewrite,3
rhinitis,3
rhumba,3
rhyme,3
rick,3
rickets,3
ricochet,3
riff,3
rime,3
romanticize,3
rouse,3
rout,3
rubric,3
rubricate,3
rugose,3
ruination,3
rum,3
rumba,3
rummage,3
rummy,3
runoff,3
rustle,3
rustling,3
safety,3
saltation,3
saltiness,3
salve,3
sarcoma,3
savage,3
savor,3
savour,3
scant,3
schizoid,3
scholarship,3
scintillate,3
scollop,3
scrabble,3
screaming,3
scribble,3
scrunch,3
scuff,3
scuffle,3
seaward,3
sec,3
sector,3
seethe,3
segmentation,3
segregation,3
seizure,3
semimonthly,3
semiweekly,3
senescence,3
sensitisation,3
sensitiveness,3
sensitization,3
sensualize,3
sericulture,3
shakedown,3
sham,3
sheer,3
shimmer,3
shlep,3
shove,3
shriek,3
shuffle,3
sicken,3
sift,3
significance,3
sinusitis,3
sixtieth,3
sketch,3
skimming,3
skirl,3
skulk,3
slog,3
slough,3
sluice,3
smartness,3
smite,3
smoulder,3
smudge,3
snafu,3
snipe,3
snivel,3
snore,3
snuffle,3
soar,3
sob,3
sobriety,3
somberness,3
sombreness,3
sophisticate,3
sophistication,3
southeast,3
southeastward,3
southerly,3
southwest,3
southwestward,3
sparge,3
specialise,3
specify,3
speculate,3
speculation,3
spelaeology,3
speleology,3
spellbind,3
spermatogenesis,3
spherical,3
spiel,3
spiny,3
splat,3
splatter,3
splay,3
splosh,3
spoilage,3
sporadic,3
sprawl,3
sprinkling,3
sprint,3
spurt,3
squall,3
stalemate,3
standardization,3
startle,3
starvation,3
statute,3
stave,3
steamroll,3
stigma,3
stimulation,3
stint,3
stomatitis,3
stooge,3
strabismus,3
straighten,3
strangle,3
stride,3
strum,3
stud,3
stultify,3
stun,3
stupefaction,3
stupefy,3
stymie,3
stymy,3
subacute,3
sublimate,3
subsistence,3
substitution,3
subvention,3
succession,3
suffocate,3
summation,3
sunburn,3
superannuate,3
superannuation,3
superficial,3
superlative,3
superordinate,3
superposition,3
surety,3
surmise,3
surmount,3
swank,3
swat,3
sweetness,3
swerve,3
swig,3
swipe,3
symbolisation,3
symbolization,3
symphysis,3
synchronization,3
synergism,3
synovitis,3
synthesis,3
t,3
tabu,3
tachycardia,3
taint,3
takeoff,3
tame,3
tango,3
tankage,3
tanning,3
tarry,3
tat,3
taxonomy,3
tb,3
technical,3
tempest,3
temporal,3
temptation,3
tenesmus,3
tenosynovitis,3
tertiary,3
testament,3
tetanus,3
theatrical,3
thermal,3
thickening,3
thoughtfulness,3
thrash,3
thud,3
thunderbolt,3
thyroiditis,3
tibia,3
tightness,3
tincture,3
tingle,3
tinker,3
tinsel,3
tint,3
toggle,3
tomentose,3
tonic,3
toot,3
topography,3
torrent,3
torticollis,3
toxicity,3
traction,3
traditionalism,3
tramp,3
tranquility,3
tranquillity,3
transcribe,3
transfiguration,3
transfuse,3
transgress,3
transpire,3
transpose,3
transposition,3
triangulate,3
triassic,3
tripartite,3
trounce,3
trump,3
tumult,3
turbidity,3
turbulence,3
turgor,3
turmoil,3
turnaround,3
turnover,3
twiddle,3
twitter,3
u,3
ultrasound,3
unblock,3
unclothe,3
uncoiled,3
unction,3
undercut,3
underlay,3
undertake,3
undertone,3
undertow,3
undress,3
uneasiness,3
unfairness,3
unification,3
unify,3
unilateral,3
unitise,3
unitize,3
unreality,3
unsex,3
unsoundness,3
upbeat,3
upheaval,3
uprise,3
uproot,3
urbanization,3
urgency,3
urticaria,3
usance,3
usufruct,3
utopian,3
uveitis,3
vacate,3
vaccination,3
valedictory,3
valuation,3
variegation,3
vegetate,3
vegetation,3
velar,3
ventilation,3
vest,3
vestigial,3
vet,3
victorian,3
violet,3
virginal,3
virulence,3
visibility,3
visualise,3
vitality,3
vitriol,3
vocal,3
voicelessness,3
volunteer,3
vulgarise,3
vulgarize,3
vulnerability,3
wail,3
wakefulness,3
wastage,3
wavering,3
waxy,3
weakness,3
wee,3
weekly,3
welsh,3
welt,3
welter,3
westerly,3
whack,3
whacking,3
whang,3
wheeze,3
whirr,3
whiteout,3
whoop,3
whore,3
whorled,3
wickedness,3
wilt,3
windward,3
winkle,3
withdrawal,3
wrangle,3
wring,3
xi,3
yachting,3
yak,3
yaw,3
yearly,3
yen,3
yoke,3
z,3
zest,3
zoom,3
0,2
1,2
10,2
100,2
1000,2
11,2
12,2
120,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
2,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
3,2
30,2
3d,2
4,2
40,2
5,2
50,2
500,2
6,2
60,2
7,2
70,2
78,2
8,2
80,2
9,2
90,2
ab,2
abasement,2
abasia,2
abatement,2
abduction,2
aberration,2
abetalipoproteinemia,2
abide,2
abkhazian,2
ablactation,2
abnaki,2
abnegation,2
abnormal,2
abolitionism,2
abomasum,2
abomination,2
aboveboard,2
abreast,2
abridgement,2
abscess,2
abseil,2
absolution,2
absolutism,2
absorbance,2
abstinence,2
abstruseness,2
absurdity,2
abulia,2
abyssal,2
academic,2
acanthocytosis,2
acantholysis,2
acanthoma,2
acariasis,2
