word,gloss,kind,sounds,legal
tep,still,cradle,3,legal
sus,since,cradle,3,legal
nos,almost,cradle,3,legal
teq,"like, as if",cradle,3,legal
nak,"like, filler",cradle,3,legal
maz,as,cradle,3,legal
soz,also,cradle,3,legal
wuC,whether,cradle,3,legal
tev,however,cradle,3,legal
jas,just,cradle,3,legal
sax,such,cradle,3,legal
tan,so,cradle,3,legal
meb,maybe,manner,3,legal
nom,normally,manner,3,legal
nuf,enough,manner,3,legal
dij,relatively,manner,3,legal
ten,potentially,manner,3,legal
tuf,wrongly,manner,3,legal
kaf,much,manner,3,legal
hes,hence,manner,3,legal
haf,often,manner,3,legal
sun,soon,manner,3,legal
vaq,however,manner,3,legal
vuk,ever,manner,3,legal
jed,absolutely,manner,3,legal
jan,occasionally,manner,3,legal
jun,generally,manner,3,legal
xom,now,manner,3,legal
Cas,thus,manner,3,legal
wom,well,manner,3,legal
yex,possibly,manner,3,legal
yut,yet,manner,3,legal
yuv,usually,manner,3,legal
let,lately,manner,3,legal
lur,virtually,manner,3,no
ric,straight,manner,3,legal
rer,rarely,manner,3,no
besk,basically,manner,4,legal
barl,barely,manner,4,no
sadj,besides,manner,4,legal
sorg,recently,manner,4,legal
last,last,manner,4,legal
prent,apparently,manner,5,no
tward,towards,manner,5,no
skers,scarcely,manner,5,no
slayt,slightly,manner,5,no
murib,suspiciously,manner,5,no
lored,already,manner,5,no
gavist,eagerly,manner,6,no
prizum,presumably,manner,6,no
haspex,especially,manner,6,no
saldom,seldom,manner,6,no
surtan,certainly,manner,6,no
legant,elegantly,manner,6,no
retxiq,enthusiastically,manner,6,no
sikwent,subsequently,manner,7,no
hekstrim,extremely,manner,8,no
frikwant,frequently,manner,8,no
nik vim,anyway,phrase,,phrase
nan vuk,never,phrase,,phrase
haj zuk,everywhere,phrase,,phrase
sul tub,moreover,phrase,,phrase
Coz tak,exceptionally,phrase,,phrase
lig yom,today,phrase,,phrase
txun vax,fortunately,phrase,,phrase
horp fol,hopefully,phrase,,phrase
panit fol,delightfully,phrase,,phrase
reC hamez,amazingly,phrase,,phrase
koredj lum,courageously,phrase,,phrase
reC hakord,accordingly,phrase,,phrase
bat txun vax,unfortunately,phrase,,phrase
