kind,english,chinese,morphemes,en_opaque,zh_gloss
mineral,chenguodaite,陈国达矿,4,1,"exhibit nation arrive at mine"
mineral,chenite,陈铜铅矾,4,1,"exhibit copper lead alum"
mineral,cheremnykhite,彻雷奈克石,5,1,"penetrate thunder but gram stone"
mineral,chernovite-(Y),砷钇石,3,0,"arsenic yttrium stone"
mineral,chernykhite,钡钒云母,4,1,"barium vanadium cloud female elders"
mineral,chervetite,斜钒铅矿,4,1,"slanting vanadium lead mine"
mineral,chessexite,奇斯克石,4,1,"strange this gram stone"
mineral,chestermanite,齐硼铁镁矿,5,1,"even borax iron magnesium mine"
mineral,chevkinite-(Ce),硅钛铈铁矿,5,0,"silicon titanium cerium iron mine"
mineral,childrenite,磷铝铁石,4,1,"phosphorus aluminum iron stone"
mineral,chkalovite,硅铍钠石,4,1,"silicon a needle used in Chinese medicine sodium stone"
mineral,chlorargyrite,角銀礦,3,1,"horn silver mineral deposit"
mineral,chlorellestadite,氯硅磷灰石,5,1,"chlorine silicon phosphorus ash stone"
mineral,chloritoid,硬綠泥石,4,1,"hard green mud stone"
mineral,chondrodite,粒矽鎂石,4,1,"grain silicon magnesium stone"
mineral,chopinite,乔磷镁石,4,1,"tall phosphorus magnesium stone"
mineral,chrisstanleyite,硒钯银矿,4,1,"selenium palladium silver mine"
mineral,christelite,硫铜锌矿,4,1,"sulfur copper zinc mine"
mineral,christite,斜硫砷汞铊矿,6,1,"slanting sulfur arsenic mercury a short spear mine"
mineral,chromite,铬铁矿,3,1,"chromium iron mine"
mineral,chrysoberyl,金绿宝石,4,1,"gold green treasure stone"
mineral,chrysocolla,矽孔雀石,4,1,"silicon opening sparrow stone"
mineral,chrysotile,溫石棉,3,1,"lukewarm stone cotton padded"
mineral,chukanovite,绿碳铁石,4,1,"green carbon iron stone"
mineral,chukhrovite-(Ce),水氟钙铈矾,5,0,"water fluorine calcium cerium alum"
mineral,chukhrovite-(Y),水氟钙钇矾,5,0,"water fluorine calcium yttrium alum"
mineral,chursinite,砷汞矿,3,1,"arsenic mercury mine"
mineral,chvilevaite,硫钠铜矿,4,1,"sulfur sodium copper mine"
mineral,cianciulliite,慈安慈乌利石,6,1,"kind peaceful kind crow sharp stone"
mineral,cinnabar,硃砂,2,1,"cinnabar pebbles"
mineral,clairite,科拉里矾,4,1,"section pull inside alum"
mineral,claringbullite,水羟氯铜矿,5,1,"water hydroxide chlorine copper mine"
mineral,clarkeite,水钠铀矿,4,1,"water sodium uranium mine"
mineral,claudetite,白砷石,3,1,"white arsenic stone"
mineral,clausthalite,硒铅矿,3,1,"selenium lead mine"
mineral,clerite,辉锰锑矿,4,1,"brightness manganese antimony mine"
mineral,cliffordite,克碲铀矿,4,1,"gram tellurium uranium mine"
mineral,clino-ferro-suenoite,锰铁闪石,4,0,"manganese iron flash stone"
mineral,clinochlore,斜绿泥石,4,1,"slanting green mud stone"
mineral,clinoclase,光線礦,3,1,"light thread mineral deposit"
mineral,clinofergusonite-(Ce),Β-褐铈铌矿,4,0,"coarse woolen cloth cerium niobium mine"
mineral,clinofergusonite-(Nd),Β-褐钕铌矿,4,0,"coarse woolen cloth neodymium niobium mine"
mineral,clinofergusonite-(Y),Β-褐钇铌矿,4,0,"coarse woolen cloth yttrium niobium mine"
mineral,clinoferroholmquistite,斜铁锂闪石,5,1,"slanting iron lithium flash stone"
mineral,clinohumite,斜硅镁石,4,1,"slanting silicon magnesium stone"
mineral,clinojimthompsonite,斜镁川石,4,1,"slanting magnesium river stone"
mineral,clinozoisite,斜黝帘石,4,1,"slanting black flag-sign of a tavern stone"
mineral,clintonite,绿脆云母,4,1,"green crisp cloud female elders"
mineral,cobaltaustinite,砷钴钙石,4,1,"arsenic cobalt calcium stone"
mineral,cobaltite,辉砷钴矿,4,1,"brightness arsenic cobalt mine"
mineral,cobaltzippeite,水钴铀矾,4,1,"water cobalt uranium alum"
mineral,coesite,單斜石英,4,1,"single slanting stone petal"
