word,verdict,why
pectoral,derived,chest + of
selective,derived,select + like
asiatic,junk,a demonym
jerusalem,junk,a place
rocky,derived,rock + like
spiny,derived,spine + like
thoracic,derived,thorax + of
bodily,derived,body + like
regulatory,derived,regulate + like
sri,junk,part of Sri Lanka
vaginal,derived,vagina + of
apical,derived,apex + of
santa,junk,Spanish for saint
saudi,junk,a demonym
one's,junk,a possessive form
synthesis,compound,put + together
mortality,derived,mortal + ness
deficiency,derived,deficient + ness
peptide,compound,short + protein + chain
acetate,derived,acetic + salt
equipment,derived,equip + act
assay,compound,test + sample
activation,derived,activate + act
architecture,derived,architect + act
degeneration,derived,degenerate + act
cutter,derived,cut + agent
septum,compound,divide + wall
immunity,derived,immune + ness
violet,base,the colour and the flower
nodule,derived,node + small
presentation,derived,present + act
lace,compound,hole + cloth
thickness,derived,thick + ness
football,compound,foot + ball
abuse,compound,bad + use
fissure,base,the narrow split
agriculture,compound,field + craft
transportation,derived,transport + act
max,junk,a clipping of maximum
irradiation,derived,irradiate + act
chess,compound,king + board + game
distress,derived,apart + stress
probe,compound,feel + search
australia,junk,a place
rake,compound,tooth + tool
ventilation,derived,ventilate + act
mobility,derived,mobile + ness
recovery,derived,recover + act
detachment,derived,detach + act
enamel,compound,tooth + glaze
encounter,compound,in + counter
inventory,derived,invent + thing
abortion,derived,abort + act
donor,derived,donate + agent
initiation,derived,initiate + act
anterior,derived,before + more
bin,compound,open + box
jersey,junk,a place, and the cloth from it
posterior,derived,after + more
spain,junk,a place
ammonium,derived,ammonia + ion
blank,base,empty of marks
granule,derived,grain + small
fixation,derived,fix + act
ireland,junk,a place
labour,variant,the British spelling of labor
reconstruction,derived,again + construct + act
ass,variant,use donkey, which is already a root. The other sense is a variant of arse
enterprise,compound,between + take
prominence,derived,prominent + ness
employment,derived,employ + act
norway,junk,a place
transcription,derived,transcribe + act
curvature,derived,curve + ness
globe,variant,use orb, which is already a root
torch,compound,carry + flame
fibre,variant,the British spelling of fiber
minus,derived,the noun of subtract
ocular,derived,eye + of
cutaneous,derived,skin + of
purse,compound,small + bag
engagement,derived,engage + act
equine,derived,horse + of
execution,derived,execute + act
opacity,derived,opaque + ness
ward,base,the guarded division, and to fend off
affinity,derived,affine + ness
astronomical,derived,astronomy + of
hydraulic,derived,water + of, through Greek
suicide,compound,self + kill
excretion,derived,excrete + act
foil,base,the thin sheet, and to thwart
islamic,junk,a proper name
municipal,derived,municipality + of
rural,derived,country + of
aside,compound,at + side
buck,compound,male + deer
byzantine,junk,a place
essential,derived,essence + of
pat,base,the light touch
berlin,junk,a place
chile,junk,a place
underground,compound,under + ground
automobile,compound,self + move
impression,derived,impress + act
cerebral,derived,brain + of
dispersion,derived,disperse + act
distal,derived,distant + of
rally,compound,again + gather
responsive,derived,respond + like
acceptance,derived,accept + act
contour,base,the outline
dab,derived,the light form of tap
missouri,junk,a place
panama,junk,a place
ramp,compound,slope + way
retrograde,compound,back + step
southeast,compound,south + east
airway,compound,air + way
articulation,derived,articulate + act
histamine,derived,tissue + amine
inorganic,derived,not + organic
parity,derived,par + ness
penetration,derived,penetrate + act
preference,derived,prefer + act
rum,compound,sugar + spirit
shank,compound,lower + leg
ethnic,derived,nation + of, through Greek
geological,derived,geology + of
judicial,derived,judge + of
medial,derived,middle + of
rap,compound,sharp + knock
triangular,derived,triangle + of
alveolar,derived,alveolus + of
annular,derived,ring + of
armenian,junk,a demonym
aviation,derived,fly + act, through Latin
carbonyl,derived,carbon + group
nodular,derived,node + of
pathological,derived,pathology + of
recreational,derived,recreation + of
tug,base,to pull hard
volunteer,derived,will + agent
castor,compound,beaver + oil
celestial,derived,sky + of
draught,variant,the British spelling of draft
garland,compound,flower + ring
georgian,junk,a demonym
hawaiian,junk,a demonym
horseshoe,compound,horse + shoe
jamaica,junk,a place
moor,compound,open + high + land
mop,compound,wash + tool
nick,compound,small + cut
blush,compound,red + face
brussels,junk,a place
cervical,derived,neck + of
dorsal,derived,back + of
frank,base,open in speech
gambling,derived,gamble + act
kentucky,junk,a place
mare,compound,female + horse
people's,junk,a possessive form
savings,derived,save + act
vitreous,derived,glass + of
canton,compound,land + part
maternal,derived,mother + of
reactive,derived,react + like
aluminium,variant,the British spelling of aluminum
bulgarian,junk,a demonym
cambodian,junk,a demonym
den,compound,beast + home
esophageal,derived,esophagus + of
maltese,junk,a demonym
migratory,derived,migrate + like
serous,derived,serum + of
alkaline,derived,alkali + like
electrostatic,compound,electric + static
linguistic,derived,language + of
philippine,junk,a demonym
reciprocal,derived,reciprocate + like
aqueous,derived,water + of
intrinsic,derived,inward + of
maria,junk,a person, and Latin for seas
muscular,derived,muscle + of
nile,junk,a place
stratified,derived,stratum + done
subcutaneous,compound,under + skin + of
amino,derived,ammonia + group
catalytic,derived,catalyst + of
democratic,derived,democracy + of
digestive,derived,digest + like
isle,compound,small + island
pia,junk,Latin, not English
refractive,derived,refract + like
semicircular,compound,half + circle + of
tufted,derived,tuft + done
adaptive,derived,adapt + like
adrenergic,derived,adrenaline + of
bony,derived,bone + like
carboxylic,derived,carboxyl + of
cartilaginous,derived,cartilage + of
highly,derived,high + like
glandular,derived,gland + of
neuromuscular,compound,nerve + muscle + of
adipose,derived,fat + of
afro,junk,a clipping of African
anglo,junk,a combining form of English
cerebrospinal,compound,brain + spine + of
uterine,derived,uterus + of
ester,compound,acid + alcohol + join
chloride,derived,chlorine + compound
epithelium,compound,cover + tissue
ether,base,the light solvent
inhibitor,derived,inhibit + agent
amine,compound,nitrogen + group
nitrate,derived,nitrogen + salt
mucosa,derived,mucus + layer
glycine,compound,sweet + acid
alba,junk,Latin for white
ala,junk,Latin for wing
glucose,compound,grape + sugar
obstruction,derived,obstruct + act
involvement,derived,involve + act
taurus,junk,a constellation and Latin for bull
cataract,compound,cloud + lens
epidermis,compound,upon + skin
textile,derived,weave + thing
situ,junk,Latin, not English
recombinant,derived,again + combine + like
cabinet,compound,door + case
retina,compound,eye + screen
bovine,derived,cow + of
precursor,derived,before + run + agent
retardation,derived,retard + act
follicle,compound,small + sac
methyl,compound,one + carbon + group
thymus,compound,chest + gland
stimulation,derived,stimulate + act
unilateral,compound,one + side + of
medulla,compound,inner + part
plaque,compound,flat + patch
acquisition,derived,acquire + act
parenchyma,compound,work + tissue
prevention,derived,prevent + act
segregation,derived,segregate + act
lantern,compound,carry + lamp
interference,derived,interfere + act
extraction,derived,extract + act
insulin,compound,sugar + hormone
campaign,compound,plan + run
assistance,derived,assist + act
ribose,compound,five + carbon + sugar
silicate,derived,silicon + salt
fascia,compound,sheet + tissue
alarm,base,the warning sound
degradation,derived,degrade + act
ownership,derived,own + ness
placement,derived,place + act
regression,derived,regress + act
uptake,compound,up + take
adjustment,derived,adjust + act
elongation,derived,elongate + act
estate,compound,hold + land
participation,derived,participate + act
ultrasound,compound,beyond + sound
preservation,derived,preserve + act
tack,base,the small nail, and to change course
collagen,compound,fibre + protein
regulator,derived,regulate + agent
revolution,derived,revolve + act
stall,base,the stand, and to stop
league,compound,join + group
railroad,compound,rail + road
colloid,compound,fine + hang + matter
indonesia,junk,a place
navigation,derived,navigate + act
shovel,compound,dig + tool
apache,junk,a people
talus,compound,ankle + bone
transplant,compound,across + plant
addiction,derived,addict + act
filtration,derived,filter + act
medieval,derived,middle + age + of
multiplex,derived,many + fold
torpedo,compound,water + bomb
catholic,junk,a proper name
fertilization,derived,fertilize + act
flutter,base,to move with quick beats
poland,junk,a place
termination,derived,terminate + act
aerial,derived,air + of
conduction,derived,conduct + act
trough,compound,long + vessel
brazil,junk,a place
chad,junk,a place
cosmetic,derived,order + of, through Greek
egypt,junk,a place
malaysia,junk,a place
cramp,base,the tight seizing of muscle
fret,base,to worry, and the ridge on a neck
ionization,derived,ionize + act
phosphorus,base,the element
pica,junk,Latin, and a printing measure
manganese,base,the metal
partnership,derived,partner + ness
replication,derived,replicate + act
silica,compound,sand + mineral
filler,derived,fill + agent
florida,junk,a place
infrared,compound,below + red
kite,compound,fly + sail
maneuver,derived,hand + work
martin,junk,a person, and the bird is a name
programme,variant,the British spelling of program
sequestration,derived,sequester + act
succession,derived,succeed + act
sunday,compound,sun + day
acidity,derived,acid + ness
alabama,junk,a place
alto,base,the voice range
cooperative,derived,cooperate + like
detergent,derived,cleanse + agent
illumination,derived,illuminate + act
initiative,derived,initiate + like
iodine,base,the element
lethal,derived,death + of
cigar,compound,roll + tobacco
distortion,derived,distort + act
federation,derived,federate + act
junior,derived,young + more
recurrent,derived,again + run + like
bluff,base,the steep bank, and to deceive
buff,base,the pale brown, and to polish
callus,compound,hard + skin
duplex,derived,two + fold
graduate,derived,grade + do
invasive,derived,invade + like
propellant,derived,propel + thing
delaware,junk,a place
pituitary,compound,brain + gland
stub,compound,short + rest
theatre,variant,the British spelling of theater
tuck,base,to fold in
cobalt,base,the metal
cocaine,compound,leaf + drug
iceland,junk,a place
latex,compound,milk + sap
london,junk,a place
northwest,compound,north + west
occult,derived,hidden, through Latin
retirement,derived,retire + act
scotch,junk,a demonym, and the whisky
thyroid,compound,throat + gland
ultraviolet,compound,beyond + violet
dura,junk,Latin for hard
lithium,compound,rock + atom
pacemaker,compound,pace + make + agent
palatine,derived,palate + of
papillary,derived,papilla + of
rape,base,the crime, and the plant
recession,derived,recede + act
segmentation,derived,segment + act
therapeutic,derived,therapy + of
uruguay,junk,a place
vapour,variant,the British spelling of vapor
verde,junk,Spanish for green
chuck,base,the throw, and the cut of meat
dope,compound,dull + drug
drone,compound,male + bee
intravenous,compound,within + vein + of
iowa,junk,a place
whiff,base,the light breath of smell
bulla,junk,Latin for bubble
fleece,compound,wool + coat
ling,compound,thin + fish
messenger,derived,message + agent
plunge,compound,down + rush
shit,base,the waste
skim,compound,take + top
upgrade,compound,up + grade
annulus,derived,ring + small, through Latin
attrition,derived,rub + act
consolidation,derived,consolidate + act
contraceptive,derived,against + conceive + like
madagascar,junk,a place
restricted,derived,restrict + done
slash,compound,long + cut
talc,base,the soft mineral
visceral,derived,viscera + of
analytical,derived,analysis + of
boston,junk,a place
coke,compound,burn + coal
colorado,junk,a place
diesel,compound,heavy + fuel
easter,junk,a proper name
flattened,derived,flat + make + done
foster,compound,raise + care
freshwater,compound,fresh + water
geneva,junk,a place
immersion,derived,immerse + act
labrador,junk,a place
maroon,compound,dark + red
molybdenum,base,the metal
ottoman,junk,a proper name, and the seat
pesticide,compound,pest + kill
scandinavian,junk,a demonym
scapular,derived,scapula + of
slough,base,the shed skin, and the mire
vamp,compound,again + patch
cardiovascular,compound,heart + vessel + of
confederate,derived,together + federate
flank,compound,body + side
garbage,compound,throw + waste
limitation,derived,limit + act
massachusetts,junk,a place
proximal,derived,near + of
senior,derived,old + more
adrenal,derived,upon + kidney
aerobic,derived,air + life + of
civic,derived,city + of
commonwealth,compound,common + wealth
cuboid,derived,cube + like
cylindrical,derived,cylinder + of
greenland,junk,a place
lawn,compound,cut + grass
lymph,compound,clear + body + water
maiden,compound,young + unwed + woman
narcotic,derived,numb + of, through Greek
nude,base,bare of clothing
ohio,junk,a place
rebound,compound,again + bound
stunt,compound,bold + feat
suction,derived,suck + act
zap,base,the sharp strike
automated,derived,self + move + done
corneal,derived,cornea + of
ethiopian,junk,a demonym
minimal,derived,minimum + of
ovarian,derived,ovary + of
sandy,derived,sand + like
solomon,junk,a person and a place
ventricular,derived,ventricle + of
women's,junk,a possessive form
compulsive,derived,compel + like
harlequin,compound,patch + pattern
newfoundland,junk,a place
nova,junk,Latin for new, and a star name
pleural,derived,pleura + of
quadruple,derived,four + fold
racial,derived,race + of
rectal,derived,rectum + of
sebaceous,derived,sebum + of
secretory,derived,secrete + like
seminal,derived,semen + of
septic,derived,rot + of, through Greek
synovial,derived,synovia + of
tandem,compound,one + behind
amazon,junk,a place
bipolar,compound,two + pole + of
buccal,derived,cheek + of
canonical,derived,canon + of
chromatic,derived,colour + of, through Greek
epidermal,derived,epidermis + of
exocrine,compound,out + secrete
lebanese,junk,a demonym
lymphatic,derived,lymph + of
mammary,derived,breast + of
monetary,derived,money + of
musk,compound,deer + scent
olympic,junk,a proper name
outflow,compound,out + flow
pancreatic,derived,pancreas + of
placental,derived,placenta + of
trabecular,derived,trabecula + of
belarusian,junk,a demonym
cranial,derived,cranium + of
fecal,derived,feces + of
fully,derived,full + like
germinal,derived,germ + of
kazakh,junk,a demonym
maritime,derived,sea + of
morphological,derived,morphology + of
parietal,derived,wall + of
salivary,derived,saliva + of
siberian,junk,a demonym
slovenian,junk,a demonym
splenic,derived,spleen + of
del,junk,Spanish, not English
femoral,derived,femur + of
hydroxy,derived,water + oxygen group
man's,junk,a possessive form
nitrous,derived,nitrogen + of
pharyngeal,derived,pharynx + of
phosphoric,derived,phosphorus + of
stellate,derived,star + like
urogenital,compound,urine + genital
vestibular,derived,vestibule + of
chorionic,derived,chorion + of
hong,junk,part of Hong Kong
humeral,derived,humerus + of
intervertebral,compound,between + vertebra + of
lumbar,derived,loin + of
volumetric,derived,volume + of
farmer's,junk,a possessive form
petit,junk,French, not English
von,junk,German, not English
vaccine,compound,teach + body + drug
antibody,compound,against + body
technique,compound,do + way
conjugate,derived,together + yoke
cortex,compound,outer + layer
anemia,derived,without + blood
plexus,compound,nerve + net
fistula,compound,wrong + passage
glycol,derived,sweet + alcohol
hydroxide,derived,hydrogen + oxide
rna,junk,an abbreviation
necrosis,derived,death + state, through Greek
australis,junk,Latin for southern
tyrosine,compound,amino + acid
intervention,derived,intervene + act
aircraft,compound,air + craft
fossa,compound,bone + hollow
vesicle,compound,small + sac
wrench,compound,twist + tool
antagonist,derived,against + agent
occlusion,derived,occlude + act
coma,compound,deep + sleep
pigmentation,derived,pigment + act
suture,compound,join + seam
aldehyde,compound,carbon + oxygen + group
disturbance,derived,disturb + act
atrium,compound,enter + room
urea,compound,water + waste
machinery,derived,machine + ness
motility,derived,motile + ness
pes,junk,Latin for foot
canis,junk,Latin for dog
steroid,derived,sterol + like
tibia,compound,shin + bone
windsor,junk,a place
atp,junk,an abbreviation
mexico,junk,a place
pericardium,compound,around + heart
deposition,derived,deposit + act
fibula,compound,side + leg + bone
instability,derived,not + stable + ness
peroxide,compound,beyond + oxide
gothic,junk,a proper name
crisis,compound,turn + point
injection,derived,inject + act
agonist,derived,act + agent, through Greek
regeneration,derived,again + generate + act
respiration,derived,breathe + act
fluorescence,derived,fluoresce + act
magnesium,base,the metal
russia,junk,a place
traumatic,derived,trauma + of
liner,derived,line + agent
clearance,derived,clear + act
coach,compound,road + carriage
infiltration,derived,infiltrate + act
pallidus,junk,Latin for pale
aspiration,derived,aspirate + act
austria,junk,a place
isolation,derived,isolate + act
lamina,compound,thin + plate
operator,derived,operate + agent
rash,compound,skin + spot
contamination,derived,contaminate + act
peduncle,compound,flower + stalk
residence,derived,reside + act
malignant,derived,bad + like
switzerland,junk,a place
enlargement,derived,large + make + act
stud,base,the projecting pin, and the breeding male
acinus,compound,gland + sac
apex,compound,top + point
balsam,compound,smell + resin
dermis,compound,skin + layer
eminence,derived,eminent + ness
erection,derived,erect + act
hypothalamus,compound,under + thalamus
infusion,derived,infuse + act
nitrite,derived,nitrogen + salt
poker,compound,stir + rod
monoxide,compound,one + oxide
polo,compound,horse + ball + game
sapiens,junk,Latin for wise
adp,junk,an abbreviation
aries,junk,a constellation
avian,derived,bird + of
cannon,compound,big + gun
guidance,derived,guide + act
institute,compound,found + body
laser,compound,thin + light + beam
netherlands,junk,a place
shaker,derived,shake + agent
warp,base,the lengthwise thread, and to bend
canopy,compound,over + cover
locus,base,the place, in the technical sense
michigan,junk,a place
sling,compound,hang + strap
smoker,derived,smoke + agent
subgroup,compound,under + group
abnormal,derived,away + normal
alum,compound,sour + salt
buoy,compound,float + mark
denmark,junk,a place
fermentation,derived,ferment + act
finland,junk,a place
lee,compound,shelter + side
maximus,junk,Latin for greatest
vermilion,compound,bright + red
blocker,derived,block + agent
indigo,compound,deep + blue
smut,base,the sooty mark, and the fungus
arabia,junk,a place
chrome,compound,shine + metal
conference,derived,confer + act
deprivation,derived,deprive + act
gonadotropin,compound,gonad + turn + toward
greece,junk,a place
hack,compound,rough + cut
hitch,base,the fastening, and to catch
rosa,junk,Latin for rose
clutch,base,the grip, and the mechanism
commerce,compound,goods + trade
pickup,compound,pick + up
testosterone,compound,male + hormone
psychology,derived,mind + study
rehabilitation,derived,again + able + act
syndrome,compound,sign + set
cerevisiae,junk,Latin, a species epithet
coli,junk,Latin, a species epithet
elegans,junk,Latin, a species epithet
antigen,derived,antibody + generate
leukemia,derived,white + blood
kinase,compound,phosphate + enzyme
tuberculosis,derived,tubercle + state
proliferation,derived,proliferate + act
atrophy,derived,without + nourish
citrate,derived,citric + salt
aureus,junk,Latin for golden
helmet,compound,head + guard
lysine,compound,amino + acid
ventricle,compound,heart + room
seizure,derived,seize + act
vulgaris,junk,Latin, a species epithet
onset,compound,on + set
ligament,compound,bind + tissue
americana,junk,Latin, a species epithet
lymphocyte,compound,lymph + cell
maturation,derived,mature + act
hydrate,derived,water + compound
abnormality,derived,abnormal + ness
brasiliensis,junk,Latin, a species epithet
hypertrophy,derived,over + nourish
encephalitis,derived,brain + inflammation
lactate,derived,milk + salt
inhibition,derived,inhibit + act
impairment,derived,impair + act
foramen,compound,bone + hole
localization,derived,localize + act
cysteine,compound,sulfur + amino + acid
examination,derived,examine + act
urethra,compound,water + tube
aorta,compound,great + artery
weakness,derived,weak + ness
salicylate,derived,salicylic + salt
album,compound,gather + book
glutamate,derived,glutamic + salt
borealis,junk,Latin for northern
deletion,derived,delete + act
ureter,compound,kidney + tube
coefficient,derived,together + do + thing
intermedia,junk,Latin, a species epithet
legislation,derived,law + carry + act
antarctica,junk,a place
architectural,derived,architecture + of
femur,compound,thigh + bone
polysaccharide,compound,many + sugar
laevis,junk,Latin, a species epithet
vagina,base,the passage. No parts describe it
cellulose,compound,cell + sugar
dissection,derived,dissect + act
headache,compound,head + ache
cervix,compound,neck + of + womb
blindness,derived,blind + ness
genitalia,derived,genital + thing
reservation,derived,reserve + act
cerebellum,compound,small + brain
intolerance,derived,not + tolerate + ness
pharynx,compound,throat + passage
papilla,compound,small + bump
polymerase,compound,polymer + enzyme
prolapse,compound,forward + fall
personnel,derived,person + thing
rectum,compound,straight + gut
sweden,junk,a place
gait,base,the way of walking. Drifted from go
behaviour,variant,the British spelling of behavior
montana,junk,a place
activator,derived,activate + agent
labyrinth,compound,maze + of + ear
adenosine,compound,gland + sugar + base
specification,derived,specify + act
cornea,compound,horn + eye + coat
nigricans,junk,Latin, a species epithet
pallidum,junk,Latin for pale
peritoneum,compound,belly + lining
conjunctiva,compound,join + eye + film
duodenum,compound,twelve + gut
effusion,derived,effuse + act
depressed,derived,depress + done
edition,derived,edit + act
estradiol,compound,estrus + two + alcohol
subclass,compound,under + class
ethyl,compound,two + carbon + group
graft,base,to join living tissue. No parts describe it
doll,base,the small figure of a person
mali,junk,a place
reel,base,the spool, and to stagger
coagulation,derived,coagulate + act
driver,derived,drive + agent
pleura,compound,lung + lining
cyanide,compound,blue + compound
implantation,derived,implant + act
ablation,derived,ablate + act
infantile,derived,infant + like
mammalian,derived,mammal + of
recombination,derived,again + combine + act
thickening,derived,thick + make + act
armour,variant,the British spelling of armor
coloured,derived,colour + done
gangrene,compound,dead + flesh
eruption,derived,erupt + act
