term,score,round,why
grow,0,0,holds a short form
red,0,0,pinned
god,0,0,pinned
guess,0,0,holds a short form
release,0,0,pinned
key,0,0,pinned
glass,0,0,an element rides on it
hunt,0,0,pinned
beauty,0,0,an element rides on it
pleasure,0,0,pinned
function,0,0,pinned
particle,0,0,pinned
character,0,0,holds a short form
distance,0,0,pinned
race,0,0,an element rides on it
scale,0,0,holds a short form
sea,0,0,pinned
after,0,0,pinned
wood,0,0,pinned
wide,0,0,pinned
quiet,0,0,pinned
burst,0,0,an element rides on it
smart,0,0,an element rides on it
baby,0,0,pinned
beat,0,0,pinned
wonder,0,0,pinned
peace,0,0,pinned
rest,0,0,pinned
enter,0,0,pinned
destroy,0,0,pinned
connect,0,0,pinned
rain,0,0,pinned
hate,0,0,holds a short form
soil,0,0,pinned
beam,0,0,an element rides on it
cycle,0,0,pinned
trip,0,0,pinned
tune,0,0,pinned
of,0,0,holds a short form
calm,0,0,pinned
confuse,0,0,pinned
future,0,0,pinned
map,0,0,pinned
breathe,0,0,holds a short form
have,0,0,pinned
into,0,0,holds a short form
doubt,0,0,holds a short form
about,0,0,holds a short form
course,0,0,holds a short form
pattern,0,0,pinned
please,0,0,pinned
arrive,0,0,holds a short form
feature,0,0,holds a short form
gene,0,0,pinned
purpose,0,0,holds a short form
rate,0,0,pinned
before,0,0,pinned
eye,0,0,pinned
blood,0,0,pinned
far,0,0,pinned
repeat,0,0,pinned
add,0,0,holds a short form
come,0,0,pinned
holy,0,0,holds a short form
lose,0,0,pinned
male,0,0,pinned
pure,0,0,holds a short form
across,0,0,holds a short form
wise,0,0,an element rides on it
data,0,0,pinned
magic,0,0,pinned
other,0,0,pinned
model,0,0,pinned
still,0,0,an element rides on it
location,0,0,holds a short form
track,0,0,pinned
receive,0,0,pinned
atom,0,0,an element rides on it
parent,0,0,pinned
along,0,0,holds a short form
many,0,0,holds a short form
sun,0,0,pinned
under,0,0,holds a short form
without,0,0,holds a short form
slow,0,0,an element rides on it
beyond,0,0,an element rides on it
near,0,0,pinned
increase,0,0,holds a short form
trade,0,0,pinned
above,0,0,pinned
begin,0,0,holds a short form
front,0,0,pinned
family,0,0,pinned
past,0,0,pinned
risk,0,0,pinned
bottom,0,0,holds a short form
pair,0,0,holds a short form
accept,0,0,pinned
wait,0,0,pinned
dream,0,0,pinned
joke,0,0,pinned
possible,0,0,pinned
gut,0,0,pinned
region,0,0,pinned
response,0,0,pinned
will,0,0,pinned
depend,0,0,holds a short form
include,0,0,holds a short form
paint,0,0,an element rides on it
rhythm,0,0,pinned
screen,0,0,an element rides on it
here,0,0,pinned
prize,0,0,an element rides on it
property,0,0,holds a short form
snake,0,0,pinned
absorb,0,0,pinned
align,0,0,pinned
attention,0,0,holds a short form
union,0,0,pinned
not,0,0,holds a short form
large,0,0,holds a short form
two,0,0,pinned
low,0,0,holds a short form
false,0,0,pinned
between,0,0,pinned
middle,0,0,pinned
return,0,0,pinned
nerve,0,0,an element rides on it
all,0,0,pinned
by,0,0,holds a short form
wash,0,0,an element rides on it
ten,0,0,pinned
protect,0,0,pinned
trap,0,0,pinned
pause,0,0,holds a short form
gold,0,0,pinned
prove,0,0,pinned
aware,0,0,pinned
river,0,0,an element rides on it
behind,0,0,holds a short form
danger,0,0,an element rides on it
mountain,0,0,pinned
often,0,0,holds a short form
request,0,0,pinned
son,0,0,pinned
chip,0,0,pinned
magnet,0,0,an element rides on it
origin,0,0,holds a short form
present,0,0,pinned
solution,0,0,pinned
solve,0,0,pinned
west,0,0,pinned
awake,0,0,pinned
presence,0,0,pinned
trigger,0,0,holds a short form
zone,0,0,pinned
three,0,0,pinned
lack,0,0,pinned
ocean,0,0,an element rides on it
outside,0,0,pinned
heavy,0,0,an element rides on it
cross,0,0,pinned
combine,0,0,holds a short form
memory,0,0,pinned
dead,0,0,pinned
fresh,0,0,an element rides on it
than,0,0,holds a short form
nose,0,0,pinned
divide,0,0,holds a short form
lip,0,0,pinned
white,0,0,pinned
within,0,0,holds a short form
balance,0,0,pinned
tooth,0,0,an element rides on it
black,0,0,pinned
plane,0,0,pinned
complex,0,0,pinned
garden,0,0,pinned
yes,0,0,pinned
affect,0,0,holds a short form
ash,0,0,an element rides on it
cloud,0,0,an element rides on it
gate,0,0,pinned
target,0,0,pinned
clue,0,0,pinned
lord,0,0,pinned
sequence,0,0,pinned
south,0,0,pinned
sustain,0,0,pinned
there,0,0,pinned
volume,0,0,pinned
no,0,0,pinned
tiny,0,0,holds a short form
get,0,0,pinned
electric,0,0,an element rides on it
next,0,0,pinned
sky,0,0,pinned
four,0,0,pinned
empty,0,0,pinned
early,0,0,holds a short form
dark,0,0,pinned
five,0,0,pinned
sacred,0,0,holds a short form
simple,0,0,pinned
miss,0,0,pinned
loose,0,0,an element rides on it
prevent,0,0,holds a short form
most,0,0,holds a short form
oppose,0,0,pinned
smoke,0,0,an element rides on it
triangle,0,0,pinned
yellow,0,0,pinned
always,0,0,holds a short form
attract,0,0,pinned
moon,0,0,pinned
continue,0,0,pinned
excess,0,0,holds a short form
as,0,0,holds a short form
cave,0,0,an element rides on it
drum,0,0,pinned
eight,0,0,pinned
ghost,0,0,an element rides on it
both,0,0,holds a short form
mesh,0,0,pinned
original,0,0,pinned
rotate,0,0,holds a short form
soul,0,0,pinned
approach,0,0,holds a short form
cheer,0,0,an element rides on it
experience,0,0,pinned
general,0,0,pinned
green,0,0,pinned
host,0,0,an element rides on it
just,0,0,holds a short form
launch,0,0,pinned
nine,0,0,pinned
produce,0,0,holds a short form
similar,0,0,holds a short form
universe,0,0,pinned
upon,0,0,holds a short form
compare,0,0,pinned
exit,0,0,pinned
fate,0,0,holds a short form
if,0,0,holds a short form
inhale,0,0,pinned
nest,0,0,pinned
select,0,0,pinned
shrink,0,0,holds a short form
specific,0,0,pinned
axis,0,0,pinned
blue,0,0,pinned
category,0,0,holds a short form
click,0,0,pinned
concept,0,0,holds a short form
duration,0,0,pinned
east,0,0,pinned
essence,0,0,holds a short form
exist,0,0,pinned
frequency,0,0,pinned
hello,0,0,pinned
hop,0,0,pinned
hour,0,0,holds a short form
how,0,0,holds a short form
identity,0,0,pinned
instance,0,0,pinned
molecule,0,0,pinned
onto,0,0,holds a short form
pool,0,0,holds a short form
principle,0,0,holds a short form
silence,0,0,pinned
silver,0,0,pinned
span,0,0,pinned
till,0,0,holds a short form
trace,0,0,an element rides on it
valid,0,0,holds a short form
why,0,0,pinned
little,0,0,holds a short form
old,0,0,holds a short form
below,0,0,pinned
seven,0,0,pinned
too,0,0,holds a short form
very,0,0,holds a short form
separate,0,0,pinned
never,0,0,holds a short form
opposite,0,0,holds a short form
who,0,0,holds a short form
huge,0,0,holds a short form
six,0,0,pinned
even,0,0,holds a short form
perfect,0,0,pinned
heaven,0,0,pinned
late,0,0,holds a short form
positive,0,0,pinned
sand,0,0,an element rides on it
divine,0,0,pinned
every,0,0,holds a short form
let,0,0,holds a short form
sparkle,0,0,an element rides on it
ancient,0,0,an element rides on it
any,0,0,pinned
become,0,0,holds a short form
certain,0,0,pinned
a,0,0,holds a short form
non,0,0,holds a short form
shadow,0,0,an element rides on it
the,0,0,pinned
among,0,0,pinned
and,0,0,holds a short form
assume,0,0,holds a short form
dad,0,0,pinned
few,0,0,holds a short form
neutral,0,0,pinned
once,0,0,holds a short form
reject,0,0,pinned
sink,0,0,pinned
swamp,0,0,an element rides on it
that,0,0,pinned
almost,0,0,holds a short form
belong,0,0,holds a short form
conscious,0,0,pinned
decrease,0,0,holds a short form
grand,0,0,an element rides on it
imagine,0,0,pinned
nothing,0,0,pinned
this,0,0,pinned
transform,0,0,holds a short form
twelve,0,0,pinned
alien,0,0,an element rides on it
braid,0,0,pinned
contact,0,0,pinned
convert,0,0,pinned
copper,0,0,pinned
degree,0,0,holds a short form
density,0,0,pinned
detect,0,0,pinned
digit,0,0,pinned
each,0,0,holds a short form
else,0,0,pinned
era,0,0,holds a short form
explore,0,0,pinned
gray,0,0,pinned
i,0,0,pinned
influence,0,0,holds a short form
intend,0,0,holds a short form
jewel,0,0,pinned
least,0,0,holds a short form
minimum,0,0,pinned
mirror,0,0,an element rides on it
north,0,0,pinned
obstacle,0,0,pinned
or,0,0,holds a short form
orange,0,0,pinned
parallel,0,0,pinned
permanent,0,0,pinned
precious,0,0,an element rides on it
proportion,0,0,holds a short form
purple,0,0,pinned
rare,0,0,an element rides on it
reflect,0,0,pinned
some,0,0,holds a short form
soon,0,0,holds a short form
these,0,0,holds a short form
threshold,0,0,pinned
vague,0,0,pinned
vibe,0,0,pinned
void,0,0,pinned
what,0,0,pinned
while,0,0,holds a short form
yet,0,0,holds a short form
you,0,0,pinned
abroad,0,0,holds a short form
absense,0,0,pinned
action,0,0,holds a short form
action instance,0,0,pinned
action type,0,0,pinned
actual,0,0,holds a short form
ago,0,0,holds a short form
algorithm,0,0,pinned
already,0,0,holds a short form
also,0,0,holds a short form
although,0,0,holds a short form
another,0,0,holds a short form
attribute,0,0,holds a short form
because,0,0,holds a short form
being,0,0,pinned
belief,0,0,pinned
boom,0,0,pinned
border,0,0,pinned
boundary,0,0,pinned
brow,0,0,pinned
bulb,0,0,an element rides on it
but,0,0,holds a short form
byte,0,0,pinned
capability,0,0,pinned
capacity,0,0,pinned
choice,0,0,pinned
clarify,0,0,pinned
computation,0,0,pinned
confidence,0,0,pinned
constraint,0,0,pinned
contradict,0,0,holds a short form
correspond,0,0,holds a short form
cosine,0,0,pinned
daughter,0,0,pinned
depart,0,0,holds a short form
differ,0,0,holds a short form
different,0,0,pinned
dimension,0,0,pinned
disconnect,0,0,pinned
discrete,0,0,pinned
diversity,0,0,pinned
doing,0,0,pinned
during,0,0,holds a short form
either,0,0,holds a short form
eleven,0,0,pinned
entity,0,0,holds a short form
eternal,0,0,pinned
ever,0,0,holds a short form
evidence,0,0,holds a short form
except,0,0,holds a short form
exclude,0,0,holds a short form
exhale,0,0,pinned
feature instance,0,0,pinned
feature type,0,0,pinned
fifteen,0,0,pinned
finite,0,0,pinned
follower,0,0,pinned
fourteen,0,0,pinned
grandfather,0,0,pinned
grandmother,0,0,pinned
hell,0,0,pinned
hidden,0,0,an element rides on it
ignorant,0,0,pinned
illusion,0,0,holds a short form
impermanent,0,0,pinned
imply,0,0,holds a short form
infer,0,0,holds a short form
infinite,0,0,pinned
intensity,0,0,pinned
interval,0,0,holds a short form
intuition,0,0,pinned
inverse,0,0,holds a short form
it,0,0,pinned
its,0,0,pinned
justice,0,0,pinned
kaleidoscope,0,0,pinned
leader,0,0,pinned
left,0,0,pinned
magnificent,0,0,an element rides on it
math,0,0,pinned
maximum,0,0,pinned
maybe,0,0,holds a short form
me,0,0,pinned
merge,0,0,pinned
minute,0,0,holds a short form
mmm,0,0,pinned
mom,0,0,pinned
multiply,0,0,holds a short form
my,0,0,holds a short form
necessary,0,0,holds a short form
negative,0,0,pinned
neither,0,0,holds a short form
network,0,0,pinned
none,0,0,holds a short form
not touching,0,0,holds a short form
object instance,0,0,pinned
object type,0,0,pinned
only,0,0,holds a short form
opaque,0,0,an element rides on it
orientation,0,0,pinned
our,0,0,pinned
paradise,0,0,pinned
passive,0,0,pinned
per,0,0,holds a short form
perceive,0,0,holds a short form
perhaps,0,0,holds a short form
perpendicular,0,0,pinned
persist,0,0,pinned
plural,0,0,pinned
plus,0,0,holds a short form
polarity,0,0,pinned
potential,0,0,pinned
predictable,0,0,pinned
previous,0,0,pinned
quantity,0,0,holds a short form
quite,0,0,holds a short form
rather,0,0,holds a short form
ratio,0,0,holds a short form
realm,0,0,pinned
recursion,0,0,pinned
reference,0,0,pinned
repel,0,0,pinned
reserved bid,0,0,pinned
reserved dub,0,0,pinned
reserved hum,0,0,holds a short form
reserved lij,0,0,pinned
several,0,0,holds a short form
sight,0,0,an element rides on it
since,0,0,holds a short form
sine,0,0,pinned
sixteen,0,0,pinned
sneeze,0,0,pinned
so,0,0,holds a short form
song,0,0,pinned
spec,0,0,pinned
speech,0,0,pinned
strength,0,0,pinned
subtract,0,0,holds a short form
such,0,0,holds a short form
surf,0,0,pinned
symmetry,0,0,holds a short form
tangent,0,0,pinned
tech,0,0,holds a short form
their,0,0,pinned
then,0,0,holds a short form
therefore,0,0,holds a short form
they,0,0,pinned
thirteen,0,0,pinned
those,0,0,holds a short form
though,0,0,holds a short form
thrive,0,0,pinned
thunder,0,0,pinned
thus,0,0,holds a short form
timestamp,0,0,pinned
torture,0,0,pinned
touching,0,0,holds a short form
um,0,0,pinned
uncertain,0,0,pinned
uniformity,0,0,pinned
unless,0,0,holds a short form
unpredictable,0,0,pinned
until,0,0,holds a short form
variable,0,0,pinned
via,0,0,holds a short form
we,0,0,pinned
when,0,0,pinned
where,0,0,holds a short form
whether,0,0,holds a short form
which,0,0,holds a short form
wisdom,0,0,pinned
wolf,0,0,an element rides on it
x axis,0,0,pinned
y axis,0,0,pinned
your,0,0,pinned
z axis,0,0,pinned
zero,0,0,pinned
thousand,0,0,pinned
million,0,0,pinned
billion,0,0,pinned
trillion,0,0,pinned
quintillion,0,0,pinned
sextillion,0,0,pinned
septillion,0,0,pinned
octillion,0,0,pinned
decillion,0,0,pinned
hundred,0,0,pinned
power42,0,0,pinned
power45,0,0,pinned
would,0,0,pinned
should,0,0,pinned
could,0,0,pinned
terrify,0,0,pinned
thorax,0,0,pinned
throne,0,0,pinned
stank,0,0,an element rides on it
snowy,0,0,an element rides on it
synthetic,0,0,an element rides on it
cloak,0,0,an element rides on it
seeker,0,0,an element rides on it
permeable,0,0,an element rides on it
rainbow,0,0,an element rides on it
vibrant,0,0,an element rides on it
crown,0,0,an element rides on it
shaky,0,0,an element rides on it
sealed,0,0,an element rides on it
naked,0,0,an element rides on it
pioneer,0,0,an element rides on it
merged,0,0,an element rides on it
fusion,0,0,an element rides on it
grass,380094.398,1,chosen
hair,298088.441,1,chosen
moss,268709.308,1,chosen
lake,241777.746,1,chosen
creek,237820.583,1,chosen
saint,232922.58,1,chosen
church,231638.858,1,chosen
hill,200395.43,1,chosen
spring,184461.99,1,chosen
long,150106.881,1,chosen
fern,148827.478,1,chosen
orchid,144400.05,1,chosen
fruit,141762.299,1,chosen
land,131025.849,1,chosen
stream,130255.898,1,chosen
ear,119887.155,1,chosen
thorn,112449.937,1,chosen
vine,105380.068,1,chosen
island,101513.44,1,chosen
head,92715.896,1,chosen
thread,89267.931,1,chosen
valley,85888.988,1,chosen
short,82457.599,1,chosen
person,80383.377,1,chosen
cup,79901.655,1,chosen
root,79722.638,1,chosen
post,79131.696,1,chosen
fragrant,77097.547,1,chosen
bamboo,73829.829,1,chosen
dam,73233.596,1,chosen
horse,72108.034,1,chosen
cow,71947.507,1,chosen
tail,70897.543,1,chosen
branch,68899.317,1,chosen
vegetable,66967.02,1,chosen
bean,65680.467,1,chosen
hotel,65608.344,1,chosen
bay,65370.044,1,chosen
sharp,63450.224,1,chosen
stalk,63429.381,1,chosen
ranch,62089.027,1,chosen
foot,61734.168,1,chosen
game,61729.043,1,chosen
ridge,61579.141,1,chosen
flat,61118.734,1,chosen
chrysanthemum,61100,1,chosen
fine,59933.703,1,chosen
bear,59844.391,1,chosen
skin,59426.788,1,chosen
horn,59323.073,1,chosen
oak,58088.514,1,chosen
dragon,55400,1,chosen
narrow,54806.962,1,chosen
rose,53601.401,1,chosen
province,52931.68,1,chosen
wet,52356.983,1,chosen
willow,52258.847,1,chosen
stand,51688.055,1,chosen
cliff,49682.717,1,chosen
pear,49320.998,1,chosen
lettuce,48877.026,1,chosen
brook,48784.637,1,chosen
town,48725.238,1,chosen
house,47905.019,1,chosen
round,47878.548,1,chosen
cover,47671.246,1,chosen
tea,46993.144,1,chosen
grain,46932.12,1,chosen
guard,46147.414,1,chosen
celery,45872.372,1,chosen
bitter,45153.397,1,chosen
split,45100.021,1,chosen
star,43776.129,1,chosen
woman,42497.476,1,chosen
thick,42035.948,1,chosen
village,41631.928,1,chosen
wild,41089.459,1,chosen
coarse,40526.976,1,chosen
farm,39457.548,1,chosen
yunnan,38850,1,chosen
fish,38605.409,1,chosen
phoenix,38421.321,1,chosen
act,38187.436,1,chosen
mugwort,38002.352,1,chosen
tongue,37868.072,1,chosen
hide,37853.037,1,chosen
hemp,37839.139,1,chosen
slender,36639.066,1,chosen
feather,36414.76,1,chosen
chestnut,36398.765,1,chosen
hot,36184.592,1,chosen
wool,36034.01,1,chosen
silk,35783.735,1,chosen
man,35754.887,1,chosen
jade,35617.117,1,chosen
ground,35562.786,1,chosen
hook,35383.236,1,chosen
herb,35321.372,1,chosen
platform,35297.453,1,chosen
bell,35034.48,1,chosen
pearl,35156.281,2,chosen
city,34946.504,2,chosen
lotus,34651,2,chosen
winter,34549.403,2,chosen
cuckoo,34535.435,2,chosen
kind,34250.094,2,chosen
forest,33460.162,2,chosen
plum,33277.975,2,chosen
bristle,32661.209,2,chosen
mine,32521.885,2,chosen
broad,32333.238,2,chosen
crab,32179.521,2,chosen
cloth,32035.678,2,chosen
egg,31870.125,2,chosen
report,31827.131,2,chosen
spur,31675.225,2,chosen
vein,31631.83,2,chosen
pine,31485.998,2,chosen
tall,31203.717,2,chosen
hang,31158.285,2,chosen
hard,30895.713,2,chosen
rush,30825.279,2,chosen
together,30724.541,2,chosen
spot,30090.591,2,chosen
curl,29700.003,2,chosen
thin,29555.7,2,chosen
apple,29443.834,2,chosen
well,29274.824,2,chosen
rice,29118.316,2,chosen
hall,29028.535,2,chosen
cut,28927.002,2,chosen
straw,28805.552,2,chosen
dense,28145.21,2,chosen
iron,28135.289,2,chosen
curve,27838.552,2,chosen
sweet,27565.706,2,chosen
airport,27360.333,2,chosen
rough,27268.156,2,chosen
bent,27153.198,2,chosen
reservoir,27071.795,2,chosen
bend,26995.159,2,chosen
crow,26964.764,2,chosen
piece,26487.475,2,chosen
club,26485.724,2,chosen
berry,26412.51,2,chosen
thistle,26357.057,2,chosen
square,26244.944,2,chosen
hand,25524.909,2,chosen
single,25339.009,2,chosen
reed,24799.476,2,chosen
wheel,24516.056,2,chosen
loam,24400,2,chosen
dwarf,24296.883,2,chosen
grove,24237.085,2,chosen
hollow,23878.129,2,chosen
ginger,23352.137,2,chosen
dog,23324.825,2,chosen
arm,22972.529,2,chosen
thatch,22964.064,2,chosen
spider,22916.488,2,chosen
hole,22875.631,2,chosen
hoof,22844.344,2,chosen
peach,22800.083,2,chosen
snow,22793.739,2,chosen
reckless,22750.003,2,chosen
cold,22742.99,2,chosen
sour,22696.402,2,chosen
arrow,22642.811,2,chosen
milk,22538.877,2,chosen
bladder,22530.465,2,chosen
double,22469.957,2,chosen
series,22250.003,2,chosen
strange,22210.136,2,chosen
immortal,22150,2,chosen
range,22135.007,2,chosen
dew,21902.29,2,chosen
bag,21667.49,2,chosen
beard,21617.662,2,chosen
gland,21586.645,2,chosen
wheat,21486.482,2,chosen
appear,21457.906,2,chosen
tank,21305.254,2,chosen
case,21300.032,2,chosen
violet,21191.483,2,chosen
tow,20761.331,2,chosen
animal,20560.214,2,chosen
bridge,20522.583,2,chosen
butterfly,20504.552,2,chosen
strong,20504.19,2,chosen
think,20452.103,2,chosen
palm,20422.542,2,chosen
crooked,20394.091,2,chosen
joint,20065.232,2,chosen
stair,19866.216,2,chosen
able,19844.985,2,chosen
mouse,19524.358,2,chosen
word,19428.788,2,chosen
trumpet,19310.306,2,chosen
study,19251.102,2,chosen
pepper,19138.327,2,chosen
sheep,19098.703,3,chosen
muscle,18945.821,3,chosen
plain,18889.727,3,chosen
thirst,18742.225,3,chosen
rib,18684.032,3,chosen
shop,18636.53,3,chosen
tiger,18565.865,3,chosen
sparrow,18435.17,3,chosen
mark,18349.127,3,chosen
gall,18298,3,chosen
box,18223.007,3,chosen
mill,18143.8,3,chosen
chapel,18059.041,3,chosen
leg,17962.923,3,chosen
deer,17958.936,3,chosen
ladder,17746.296,3,chosen
medicine,17692.209,3,chosen
shoot,17430.703,3,chosen
cotton,17178,3,chosen
beak,17122.772,3,chosen
hood,17016.418,3,chosen
desire,16989.05,3,chosen
happy,16928.611,3,chosen
municipal,16925.525,3,chosen
administrative,16863.013,3,chosen
ductile,16749.048,3,chosen
bush,16744.457,3,chosen
fat,16697.362,3,chosen
oil,16619.582,3,chosen
band,16529.435,3,chosen
mother,16511.078,3,chosen
swell,16474.099,3,chosen
go,16452.732,3,chosen
alone,16435.695,3,chosen
smooth,16421.323,3,chosen
cord,16416.919,3,chosen
autumn,16399.076,3,chosen
wadi,16373.357,3,chosen
chick,16356.043,3,chosen
room,16147.842,3,chosen
adult,15961.463,3,chosen
community,15920.907,3,chosen
view,15862.14,3,chosen
slope,15837.763,3,chosen
needle,15823.12,3,chosen
shake,15811.335,3,chosen
bar,15664.398,3,chosen
elegant,15441.086,3,chosen
road,15329.603,3,chosen
port,15264.429,3,chosen
cinnamon,15264,3,chosen
wart,14917.115,3,chosen
fold,14805.672,3,chosen
twist,14764.792,3,chosen
cape,14755.042,3,chosen
noise,14702.153,3,chosen
wine,14698.922,3,chosen
scenery,14650,3,chosen
pig,14611.677,3,chosen
beach,14600.371,3,chosen
carry,14554.5,3,chosen
goose,14516.616,3,chosen
lie,14499.524,3,chosen
meadow,14422.853,3,chosen
resort,14405.391,3,chosen
spread,14400.287,3,chosen
crane,14270.52,3,chosen
lantern,14263.11,3,chosen
creep,14207.157,3,chosen
brother,14166.471,3,chosen
tadpole,14102.997,3,chosen
straight,14013.384,3,chosen
onion,14000.002,3,chosen
smartweed,13900,3,chosen
yam,13870.02,3,chosen
cypress,13852.699,3,chosen
castle,13814.724,3,chosen
pod,13700.001,3,chosen
melon,13700,3,chosen
olive,13679.028,3,chosen
net,13669.452,3,chosen
shrub,13668.567,3,chosen
instrument,13650.006,3,chosen
pipe,13631.936,3,chosen
capital,13511.361,3,chosen
build,13464.556,3,chosen
honor,13441.299,3,chosen
sparse,13218.018,3,chosen
fly,13188.78,3,chosen
revive,13183.014,3,chosen
beside,13163.412,3,chosen
powder,13100.003,3,chosen
fair,13023.491,3,chosen
spoon,13008.002,3,chosen
grief,12999.54,3,chosen
blade,12981.739,3,chosen
belt,12945.995,3,chosen
boat,12874.484,3,chosen
cassia,12850,3,chosen
knot,12834.435,3,chosen
