term,occurrences,round,why
porcupine,1163,3,the taxonomy asks for it
dacian,1161,3,the taxonomy asks for it
ventricose,1152,3,the taxonomy asks for it
unaccustomed,1146,3,the taxonomy asks for it
javelin,1143,3,the taxonomy asks for it
poppy,1139,3,the taxonomy asks for it
patagonian,1135,3,the taxonomy asks for it
limnophilous,1125,3,the taxonomy asks for it
lentil,1124,3,the taxonomy asks for it
contorted,1110,3,the taxonomy asks for it
tesselated,1094,3,the taxonomy asks for it
hainanese,1089,3,the taxonomy asks for it
turnip,1077,3,the taxonomy asks for it
marginal,1067,3,the taxonomy asks for it
restharrow,1055,3,the taxonomy asks for it
ductile,1048,3,the taxonomy asks for it
sack,1044,3,the taxonomy asks for it
solitary,1022,3,the taxonomy asks for it
lyre,999,3,the taxonomy asks for it
ribbon,996,3,the taxonomy asks for it
pontic,994,3,the taxonomy asks for it
modified,993,3,the taxonomy asks for it
fastigiate,992,3,the taxonomy asks for it
solomon,992,3,the taxonomy asks for it
moustache,991,3,the taxonomy asks for it
diverging,979,3,the taxonomy asks for it
coltsfoot,976,3,the taxonomy asks for it
viburnum,974,3,the taxonomy asks for it
unseen,967,3,the taxonomy asks for it
foliage,960,3,the taxonomy asks for it
ajax,945,3,the taxonomy asks for it
elm,932,3,the taxonomy asks for it
rosemary,928,3,the taxonomy asks for it
tamarisk,927,3,the taxonomy asks for it
flea,920,3,the taxonomy asks for it
lettuce,920,3,the taxonomy asks for it
kindled,919,3,the taxonomy asks for it
stilus,917,3,the taxonomy asks for it
favonius,910,4,the taxonomy asks for it
catnip,897,4,the taxonomy asks for it
arable,893,4,the taxonomy asks for it
cinnamon,892,4,the taxonomy asks for it
leopard,868,4,the taxonomy asks for it
vietnamese,857,4,the taxonomy asks for it
crucified,853,4,the taxonomy asks for it
uncovered,847,4,the taxonomy asks for it
proliferous,846,4,the taxonomy asks for it
satyr,846,4,the taxonomy asks for it
gregarious,844,4,the taxonomy asks for it
mealy,826,4,the taxonomy asks for it
fleabane,819,4,the taxonomy asks for it
anal,818,4,the taxonomy asks for it
armenian,817,4,the taxonomy asks for it
adjoining,813,4,the taxonomy asks for it
burnt,812,4,the taxonomy asks for it
awl,806,4,the taxonomy asks for it
blistered,805,4,the taxonomy asks for it
vulcan,803,4,the taxonomy asks for it
geometer,802,4,the taxonomy asks for it
pebble,798,4,the taxonomy asks for it
agriculture,790,4,the taxonomy asks for it
latticed,788,4,the taxonomy asks for it
opal,781,4,the taxonomy asks for it
queen,777,4,the taxonomy asks for it
symmetric,775,4,the taxonomy asks for it
comparative,761,4,the taxonomy asks for it
amphitrite,755,4,the taxonomy asks for it
palaemon,753,4,the taxonomy asks for it
beribboned,750,4,the taxonomy asks for it
melampus,744,4,the taxonomy asks for it
leah,740,4,the taxonomy asks for it
globule,738,4,the taxonomy asks for it
dragoness,731,4,the taxonomy asks for it
shaggy,722,4,the taxonomy asks for it
excavated,721,4,the taxonomy asks for it
thesis,712,4,the taxonomy asks for it
daphne,711,4,the taxonomy asks for it
decussated,706,4,the taxonomy asks for it
buckthorn,706,4,the taxonomy asks for it
mycale,705,4,the taxonomy asks for it
argive,703,4,the taxonomy asks for it
august,699,4,the taxonomy asks for it
garum,692,4,the taxonomy asks for it
purslane,692,4,the taxonomy asks for it
emerald,691,4,the taxonomy asks for it
bacchus,688,4,the taxonomy asks for it
destitute,687,4,the taxonomy asks for it
jerusalem,680,4,the taxonomy asks for it
parsley,679,5,the taxonomy asks for it
samos,677,5,the taxonomy asks for it
belly,669,5,the taxonomy asks for it
enantiomeric,667,5,the taxonomy asks for it
thicket,667,5,the taxonomy asks for it
amber,666,5,the taxonomy asks for it
nourishment,660,5,the taxonomy asks for it
quadrangular,657,5,the taxonomy asks for it
helen,649,5,the taxonomy asks for it
sought,649,5,the taxonomy asks for it
beloved,648,5,the taxonomy asks for it
umbilicate,645,5,the taxonomy asks for it
skyros,645,5,the taxonomy asks for it
tormenting,643,5,the taxonomy asks for it
anvil,637,5,the taxonomy asks for it
roof,637,5,the taxonomy asks for it
lucanian,636,5,the taxonomy asks for it
cress,634,5,the taxonomy asks for it
corroded,633,5,the taxonomy asks for it
spelt,631,5,the taxonomy asks for it
shrublike,626,5,the taxonomy asks for it
julian,621,5,the taxonomy asks for it
mistletoe,620,5,the taxonomy asks for it
artemis,612,5,the taxonomy asks for it
norwegian,610,5,the taxonomy asks for it
amaryllis,609,5,the taxonomy asks for it
nasal,608,5,the taxonomy asks for it
sickle,601,5,the taxonomy asks for it
maid,599,5,the taxonomy asks for it
rhomboidal,597,5,the taxonomy asks for it
raphe,596,5,the taxonomy asks for it
plough,593,5,the taxonomy asks for it
fleece,587,5,the taxonomy asks for it
arum,583,5,the taxonomy asks for it
deadnettle,581,5,the taxonomy asks for it
danaus,575,5,the taxonomy asks for it
floccose,566,5,the taxonomy asks for it
bugloss,566,5,the taxonomy asks for it
amomum,565,5,the taxonomy asks for it
henna,563,5,the taxonomy asks for it
inverted,554,5,the taxonomy asks for it
leda,548,5,the taxonomy asks for it
woven,547,5,the taxonomy asks for it
radon,546,5,the taxonomy asks for it
miserable,546,5,the taxonomy asks for it
perennial,544,5,the taxonomy asks for it
zeus,539,5,the taxonomy asks for it
hoarseness,538,5,the taxonomy asks for it
donkey,537,5,the taxonomy asks for it
mignonette,534,5,the taxonomy asks for it
oedipus,531,6,the taxonomy asks for it
cinerarium,530,6,the taxonomy asks for it
salmon,524,6,the taxonomy asks for it
luzon,523,6,the taxonomy asks for it
eve,522,6,the taxonomy asks for it
wife,519,6,the taxonomy asks for it
peony,517,6,the taxonomy asks for it
atlas,517,6,the taxonomy asks for it
nun,515,6,the taxonomy asks for it
unguiculate,512,6,the taxonomy asks for it
caspian,511,6,the taxonomy asks for it
lunulate,507,6,the taxonomy asks for it
filamentous,504,6,the taxonomy asks for it
unmarried,504,6,the taxonomy asks for it
torch,504,6,the taxonomy asks for it
macaria,502,6,the taxonomy asks for it
burnet,501,6,the taxonomy asks for it
priest,499,6,the taxonomy asks for it
ebony,498,6,the taxonomy asks for it
helios,497,6,the taxonomy asks for it
shrew,497,6,the taxonomy asks for it
quarrel,495,6,the taxonomy asks for it
uncertainty,489,6,the taxonomy asks for it
oregano,482,6,the taxonomy asks for it
lucania,482,6,the taxonomy asks for it
pear,482,6,the taxonomy asks for it
hebe,481,6,the taxonomy asks for it
glutton,480,6,the taxonomy asks for it
hyperborean,480,6,the taxonomy asks for it
sharpened,480,6,the taxonomy asks for it
pamphilus,479,6,the taxonomy asks for it
scammony,476,6,the taxonomy asks for it
stygian,475,6,the taxonomy asks for it
astarte,472,6,the taxonomy asks for it
unpleasant,470,6,the taxonomy asks for it
flint,465,6,the taxonomy asks for it
mill,462,6,the taxonomy asks for it
impassable,456,6,the taxonomy asks for it
laius,455,6,the taxonomy asks for it
bacchanalia,454,6,the taxonomy asks for it
unadorned,453,6,the taxonomy asks for it
raven,453,6,the taxonomy asks for it
swart,451,6,the taxonomy asks for it
annam,450,6,the taxonomy asks for it
phoebe,449,6,the taxonomy asks for it
plinth,446,6,the taxonomy asks for it
garret,445,6,the taxonomy asks for it
adonis,443,6,the taxonomy asks for it
disagreeing,442,6,the taxonomy asks for it
actinium,441,6,the taxonomy asks for it
interwoven,440,7,the taxonomy asks for it
squamulose,439,7,the taxonomy asks for it
nitocris,434,7,the taxonomy asks for it
noose,434,7,the taxonomy asks for it
chalcis,431,7,the taxonomy asks for it
distorted,431,7,the taxonomy asks for it
sphinx,430,7,the taxonomy asks for it
unsuitable,430,7,the taxonomy asks for it
azalea,426,7,the taxonomy asks for it
enclosure,423,7,the taxonomy asks for it
eunuch,421,7,the taxonomy asks for it
roughened,420,7,the taxonomy asks for it
locust,420,7,the taxonomy asks for it
pakistan,418,7,the taxonomy asks for it
presiding,418,7,the taxonomy asks for it
couch,415,7,the taxonomy asks for it
reddening,411,7,the taxonomy asks for it
eyelid,404,7,the taxonomy asks for it
immersed,404,7,the taxonomy asks for it
corsica,404,7,the taxonomy asks for it
zethus,402,7,the taxonomy asks for it
wrestling,400,7,the taxonomy asks for it
goliath,399,7,the taxonomy asks for it
girdle,390,7,the taxonomy asks for it
madder,387,7,the taxonomy asks for it
hellebore,387,7,the taxonomy asks for it
orphan,387,7,the taxonomy asks for it
xenon,385,7,the taxonomy asks for it
samoan,384,7,the taxonomy asks for it
esparto,383,7,the taxonomy asks for it
wrestler,383,7,the taxonomy asks for it
nourishing,381,7,the taxonomy asks for it
hieroglyphic,380,7,the taxonomy asks for it
discordant,380,7,the taxonomy asks for it
stripped,379,7,the taxonomy asks for it
dominican,376,7,the taxonomy asks for it
carried,375,7,the taxonomy asks for it
etruscan,374,7,the taxonomy asks for it
andromeda,373,7,the taxonomy asks for it
youth,372,7,the taxonomy asks for it
hare,370,7,the taxonomy asks for it
bipinnate,369,7,the taxonomy asks for it
deioces,363,7,the taxonomy asks for it
reaper,362,7,the taxonomy asks for it
mugwort,362,7,the taxonomy asks for it
albanian,361,7,the taxonomy asks for it
cyrus,357,7,the taxonomy asks for it
almond,356,7,the taxonomy asks for it
radish,355,7,the taxonomy asks for it
malacca,354,7,the taxonomy asks for it
multiform,354,8,the taxonomy asks for it
fortified,350,8,the taxonomy asks for it
jasper,349,8,the taxonomy asks for it
carthaginian,347,8,the taxonomy asks for it
bereaved,346,8,the taxonomy asks for it
spurious,344,8,the taxonomy asks for it
shepherd,344,8,the taxonomy asks for it
third,341,8,the taxonomy asks for it
tiger,339,8,the taxonomy asks for it
pandora,339,8,the taxonomy asks for it
stagnating,339,8,the taxonomy asks for it
cutting,338,8,the taxonomy asks for it
columnar,337,8,the taxonomy asks for it
gift,337,8,the taxonomy asks for it
servant,337,8,the taxonomy asks for it
uncompleted,336,8,the taxonomy asks for it
trifle,331,8,the taxonomy asks for it
tortoise,329,8,the taxonomy asks for it
globuliferous,327,8,the taxonomy asks for it
occipital,323,8,the taxonomy asks for it
british,323,8,the taxonomy asks for it
talaus,322,8,the taxonomy asks for it
nocturnal,321,8,the taxonomy asks for it
celery,320,8,the taxonomy asks for it
strangled,320,8,the taxonomy asks for it
parsnip,320,8,the taxonomy asks for it
squirrel,318,8,the taxonomy asks for it
tangier,314,8,the taxonomy asks for it
pythian,312,8,the taxonomy asks for it
asphodel,312,8,the taxonomy asks for it
gravelly,310,8,the taxonomy asks for it
woollen,310,8,the taxonomy asks for it
protium,306,8,the taxonomy asks for it
diabolic,306,8,the taxonomy asks for it
hermione,305,8,the taxonomy asks for it
nike,303,8,the taxonomy asks for it
procris,303,8,the taxonomy asks for it
baneberry,301,8,the taxonomy asks for it
apollo,301,8,the taxonomy asks for it
trillium,298,8,the taxonomy asks for it
urinating,297,8,the taxonomy asks for it
woad,297,8,the taxonomy asks for it
adam,296,8,the taxonomy asks for it
erato,296,8,the taxonomy asks for it
capped,296,8,the taxonomy asks for it
ararat,293,8,the taxonomy asks for it
alps,292,8,the taxonomy asks for it
angrily,291,8,the taxonomy asks for it
ios,290,8,the taxonomy asks for it
ligurian,290,8,the taxonomy asks for it
charybdis,288,9,the taxonomy asks for it
psyche,287,9,the taxonomy asks for it
marigold,285,9,the taxonomy asks for it
controversial,285,9,the taxonomy asks for it
ox,284,9,the taxonomy asks for it
pygidium,284,9,the taxonomy asks for it
quail,284,9,the taxonomy asks for it
engraved,283,9,the taxonomy asks for it
anaea,282,9,the taxonomy asks for it
fathom,281,9,the taxonomy asks for it
magpie,280,9,the taxonomy asks for it
burdock,280,9,the taxonomy asks for it
monk,279,9,the taxonomy asks for it
admirable,279,9,the taxonomy asks for it
mackerel,277,9,the taxonomy asks for it
haman,276,9,the taxonomy asks for it
interstitial,275,9,the taxonomy asks for it
camel,275,9,the taxonomy asks for it
rhinoceros,274,9,the taxonomy asks for it
vascular,274,9,the taxonomy asks for it
hexagonal,272,9,the taxonomy asks for it
perforated,271,9,the taxonomy asks for it
forceps,270,9,the taxonomy asks for it
excelling,270,9,the taxonomy asks for it
aphrodite,268,9,the taxonomy asks for it
cerberus,268,9,the taxonomy asks for it
cuttlefish,268,9,the taxonomy asks for it
argus,266,9,the taxonomy asks for it
vesiculose,266,9,the taxonomy asks for it
honeysuckle,266,9,the taxonomy asks for it
mutilated,265,9,the taxonomy asks for it
elaeus,262,9,the taxonomy asks for it
excrement,262,9,the taxonomy asks for it
geometrical,262,9,the taxonomy asks for it
elias,261,9,the taxonomy asks for it
salamander,259,9,the taxonomy asks for it
laurel,259,9,the taxonomy asks for it
issus,258,9,the taxonomy asks for it
intangible,258,9,the taxonomy asks for it
swan,257,9,the taxonomy asks for it
beggar,257,9,the taxonomy asks for it
odin,256,9,the taxonomy asks for it
ophthalmic,256,9,the taxonomy asks for it
whitened,255,9,the taxonomy asks for it
herald,254,9,the taxonomy asks for it
phoenician,248,9,the taxonomy asks for it
chilon,246,9,the taxonomy asks for it
resinous,246,9,the taxonomy asks for it
lingual,246,9,the taxonomy asks for it
dinah,245,9,the taxonomy asks for it
pencil,245,10,the taxonomy asks for it
myrrh,244,10,the taxonomy asks for it
sisyphus,242,10,the taxonomy asks for it
beaver,240,10,the taxonomy asks for it
destructive,240,10,the taxonomy asks for it
danish,239,10,the taxonomy asks for it
iolaus,239,10,the taxonomy asks for it
paris,237,10,the taxonomy asks for it
juniper,237,10,the taxonomy asks for it
cartilaginous,235,10,the taxonomy asks for it
overthrown,235,10,the taxonomy asks for it
fenugreek,234,10,the taxonomy asks for it
granary,234,10,the taxonomy asks for it
shaved,234,10,the taxonomy asks for it
tumour,233,10,the taxonomy asks for it
elizabeth,233,10,the taxonomy asks for it
jaffa,229,10,the taxonomy asks for it
martha,229,10,the taxonomy asks for it
hanno,229,10,the taxonomy asks for it
envious,228,10,the taxonomy asks for it
distaff,228,10,the taxonomy asks for it
porcelain,227,10,the taxonomy asks for it
atys,226,10,the taxonomy asks for it
chameleon,225,10,the taxonomy asks for it
comma,224,10,the taxonomy asks for it
sheba,220,10,the taxonomy asks for it
toward,220,10,the taxonomy asks for it
kite,217,10,the taxonomy asks for it
oily,217,10,the taxonomy asks for it
palestinian,216,10,the taxonomy asks for it
filth,216,10,the taxonomy asks for it
hemlock,215,10,the taxonomy asks for it
pekinese,215,10,the taxonomy asks for it
indivisible,214,10,the taxonomy asks for it
equinoctial,213,10,the taxonomy asks for it
taiwanese,212,10,the taxonomy asks for it
cylon,211,10,the taxonomy asks for it
sardinian,208,10,the taxonomy asks for it
gaul,208,10,the taxonomy asks for it
inscribed,207,10,the taxonomy asks for it
monstrous,207,10,the taxonomy asks for it
heraclea,205,10,the taxonomy asks for it
jaundiced,205,10,the taxonomy asks for it
garlic,203,10,the taxonomy asks for it
mare,203,10,the taxonomy asks for it
unnamed,201,10,the taxonomy asks for it
minnow,200,10,the taxonomy asks for it
oread,199,10,the taxonomy asks for it
circean,198,10,the taxonomy asks for it
upright,197,10,the taxonomy asks for it
hyacinthus,195,11,the taxonomy asks for it
dan,194,11,the taxonomy asks for it
ithome,194,11,the taxonomy asks for it
medusa,194,11,the taxonomy asks for it
emmaus,193,11,the taxonomy asks for it
heifer,193,11,the taxonomy asks for it
primary,192,11,the taxonomy asks for it
impoverished,192,11,the taxonomy asks for it
calypso,192,11,the taxonomy asks for it
heteroclitic,192,11,the taxonomy asks for it
hungry,192,11,the taxonomy asks for it
buried,191,11,the taxonomy asks for it
arethusa,191,11,the taxonomy asks for it
stolen,190,11,the taxonomy asks for it
vulture,189,11,the taxonomy asks for it
hagar,188,11,the taxonomy asks for it
enigmatic,188,11,the taxonomy asks for it
jovian,188,11,the taxonomy asks for it
pella,187,11,the taxonomy asks for it
nemesis,186,11,the taxonomy asks for it
distress,185,11,the taxonomy asks for it
david,185,11,the taxonomy asks for it
pirate,185,11,the taxonomy asks for it
mars,185,11,the taxonomy asks for it
forelock,184,11,the taxonomy asks for it
player,184,11,the taxonomy asks for it
hermaphroditus,184,11,the taxonomy asks for it
idaean,184,11,the taxonomy asks for it
jewish,184,11,the taxonomy asks for it
lichas,183,11,the taxonomy asks for it
inhabitant,183,11,the taxonomy asks for it
trojan,182,11,the taxonomy asks for it
withdrawn,181,11,the taxonomy asks for it
ismene,181,11,the taxonomy asks for it
ascent,181,11,the taxonomy asks for it
iole,180,11,the taxonomy asks for it
alexandra,180,11,the taxonomy asks for it
belgic,179,11,the taxonomy asks for it
chosen,179,11,the taxonomy asks for it
quadrangle,179,11,the taxonomy asks for it
pollinium,178,11,the taxonomy asks for it
hoplite,177,11,the taxonomy asks for it
receding,177,11,the taxonomy asks for it
pyrenean,176,11,the taxonomy asks for it
starling,175,11,the taxonomy asks for it
aristeus,174,11,the taxonomy asks for it
cornucopia,174,11,the taxonomy asks for it
inglorious,174,11,the taxonomy asks for it
neleus,174,11,the taxonomy asks for it
phylum,173,11,the taxonomy asks for it
jesus,172,12,the taxonomy asks for it
depth,172,12,the taxonomy asks for it
truncated,172,12,the taxonomy asks for it
thessalian,171,12,the taxonomy asks for it
lois,170,12,the taxonomy asks for it
pharaoh,170,12,the taxonomy asks for it
assembly,170,12,the taxonomy asks for it
neon,169,12,the taxonomy asks for it
mingled,168,12,the taxonomy asks for it
miletus,168,12,the taxonomy asks for it
rhubarb,167,12,the taxonomy asks for it
hempen,167,12,the taxonomy asks for it
icarus,166,12,the taxonomy asks for it
sultan,166,12,the taxonomy asks for it
squeamish,166,12,the taxonomy asks for it
mercenary,165,12,the taxonomy asks for it
palma,165,12,the taxonomy asks for it
orion,165,12,the taxonomy asks for it
running,164,12,the taxonomy asks for it
disorder,164,12,the taxonomy asks for it
athena,163,12,the taxonomy asks for it
mead,163,12,the taxonomy asks for it
scylla,163,12,the taxonomy asks for it
pasiphae,163,12,the taxonomy asks for it
mule,163,12,the taxonomy asks for it
jar,161,12,the taxonomy asks for it
egypt,161,12,the taxonomy asks for it
admetus,160,12,the taxonomy asks for it
thrown,160,12,the taxonomy asks for it
church,160,12,the taxonomy asks for it
pisiform,159,12,the taxonomy asks for it
labial,158,12,the taxonomy asks for it
vermiform,157,12,the taxonomy asks for it
nebula,155,12,the taxonomy asks for it
unwarlike,155,12,the taxonomy asks for it
helleborine,155,12,the taxonomy asks for it
drupe,154,12,the taxonomy asks for it
otus,154,12,the taxonomy asks for it
proboscis,154,12,the taxonomy asks for it
gnawed,154,12,the taxonomy asks for it
dirge,154,12,the taxonomy asks for it
caius,153,12,the taxonomy asks for it
silphium,153,12,the taxonomy asks for it
incommensurability,152,12,the taxonomy asks for it
primeval,152,12,the taxonomy asks for it
pyramid,152,12,the taxonomy asks for it
indeed,152,12,the taxonomy asks for it
ermine,151,12,the taxonomy asks for it
twenty,151,12,the taxonomy asks for it
hindered,151,12,the taxonomy asks for it
isis,151,13,the taxonomy asks for it
scythian,151,13,the taxonomy asks for it
immortality,150,13,the taxonomy asks for it
chimera,150,13,the taxonomy asks for it
poet,149,13,the taxonomy asks for it
hecate,148,13,the taxonomy asks for it
stork,147,13,the taxonomy asks for it
enriched,147,13,the taxonomy asks for it
gouty,147,13,the taxonomy asks for it
chaplet,146,13,the taxonomy asks for it
polygon,146,13,the taxonomy asks for it
thanatos,146,13,the taxonomy asks for it
agrarian,146,13,the taxonomy asks for it
theatrical,146,13,the taxonomy asks for it
eli,145,13,the taxonomy asks for it
pending,145,13,the taxonomy asks for it
trout,145,13,the taxonomy asks for it
acne,144,13,the taxonomy asks for it
annexed,144,13,the taxonomy asks for it
lynx,144,13,the taxonomy asks for it
twentieth,143,13,the taxonomy asks for it
unwilling,143,13,the taxonomy asks for it
niobe,143,13,the taxonomy asks for it
prometheus,143,13,the taxonomy asks for it
henbane,143,13,the taxonomy asks for it
pyre,142,13,the taxonomy asks for it
unjust,142,13,the taxonomy asks for it
mosaic,141,13,the taxonomy asks for it
ensnared,141,13,the taxonomy asks for it
achilles,140,13,the taxonomy asks for it
hyena,139,13,the taxonomy asks for it
rhodesia,139,13,the taxonomy asks for it
resin,139,13,the taxonomy asks for it
sarcophagus,139,13,the taxonomy asks for it
cleopatra,139,13,the taxonomy asks for it
nightingale,139,13,the taxonomy asks for it
coconut,138,13,the taxonomy asks for it
hyllus,138,13,the taxonomy asks for it
flautist,138,13,the taxonomy asks for it
aunt,137,13,the taxonomy asks for it
sesame,137,13,the taxonomy asks for it
byzantine,137,13,the taxonomy asks for it
nauseousness,136,13,the taxonomy asks for it
spaniard,136,13,the taxonomy asks for it
arcadian,136,13,the taxonomy asks for it
amon,135,13,the taxonomy asks for it
lutetium,135,13,the taxonomy asks for it
greaved,135,13,the taxonomy asks for it
unchangeable,135,13,the taxonomy asks for it
semicircular,135,13,the taxonomy asks for it
iphis,134,14,the taxonomy asks for it
weight,134,14,the taxonomy asks for it
frivolous,134,14,the taxonomy asks for it
barium,133,14,the taxonomy asks for it
orestes,133,14,the taxonomy asks for it
catiline,132,14,the taxonomy asks for it
terpsichore,132,14,the taxonomy asks for it
nessus,132,14,the taxonomy asks for it
lyncus,131,14,the taxonomy asks for it
exclamation,131,14,the taxonomy asks for it
macrochaeta,131,14,the taxonomy asks for it
pennyroyal,131,14,the taxonomy asks for it
cavern,129,14,the taxonomy asks for it
must,129,14,the taxonomy asks for it
marmot,128,14,the taxonomy asks for it
stentor,128,14,the taxonomy asks for it
abkhasian,128,14,the taxonomy asks for it
poplar,128,14,the taxonomy asks for it
croesus,128,14,the taxonomy asks for it
pulmonary,128,14,the taxonomy asks for it
darius,127,14,the taxonomy asks for it
chrysalis,127,14,the taxonomy asks for it
hoe,126,14,the taxonomy asks for it
helium,126,14,the taxonomy asks for it
thetis,126,14,the taxonomy asks for it
sapphirine,126,14,the taxonomy asks for it
fennel,125,14,the taxonomy asks for it
chervil,125,14,the taxonomy asks for it
rectilinear,125,14,the taxonomy asks for it
chamois,125,14,the taxonomy asks for it
phoenix,124,14,the taxonomy asks for it
callisto,124,14,the taxonomy asks for it
marten,124,14,the taxonomy asks for it
oxymel,122,14,the taxonomy asks for it
companionship,122,14,the taxonomy asks for it
elegy,122,14,the taxonomy asks for it
subdued,122,14,the taxonomy asks for it
reproachful,121,14,the taxonomy asks for it
macronematous,121,14,the taxonomy asks for it
departure,121,14,the taxonomy asks for it
pustule,121,14,the taxonomy asks for it
sepal,120,14,the taxonomy asks for it
nephthys,119,14,the taxonomy asks for it
hispaniola,119,14,the taxonomy asks for it
priestess,119,14,the taxonomy asks for it
temple,119,14,the taxonomy asks for it
herpes,118,14,the taxonomy asks for it
numidian,118,14,the taxonomy asks for it
tartarus,118,14,the taxonomy asks for it
harrow,117,14,the taxonomy asks for it
phorbas,117,15,the taxonomy asks for it
pharsalia,117,15,the taxonomy asks for it
porous,116,15,the taxonomy asks for it
unfinished,116,15,the taxonomy asks for it
untrustworthy,116,15,the taxonomy asks for it
rhoda,115,15,the taxonomy asks for it
christian,115,15,the taxonomy asks for it
zerah,114,15,the taxonomy asks for it
dione,114,15,the taxonomy asks for it
atalanta,114,15,the taxonomy asks for it
aspasia,114,15,the taxonomy asks for it
prattle,114,15,the taxonomy asks for it
