term,parts,occurrences,forms
sour wine,sour wine,2174,8
small-eyed,small eye,2151,182
not even,not even,2148,402
nut-brown,nut brown,2136,290
swim away,swim away,2107,389
gemstone,gem tone,2104,205
daughter-in-law,daughter in law,2097,358
be in,be in,2094,442
footlet,foot let,2071,38
standing apart,stand apart,2037,154
snowflake,snow flake,2024,183
flood tide,flood tide,1992,353
egg-shaped,egg shape,1973,375
with me,with me,1967,248
therein,the rein,1961,379
dewfall,dew fall,1959,184
pickaxe,pick axe,1926,302
pine cone,pine cone,1896,485
three each,three each,1889,304
he-goat,he goat,1853,88
late-born,late born,1849,176
bellows,bell ow,1837,113
vine branch,vine branch,1809,32
scarlet,scar let,1809,14
masthead,mast head,1796,73
thin-tailed,thin tail,1795,32
granddaughter,grand daughter,1776,54
red deer,red deer,1772,45
sea foam,sea foam,1756,180
young one,young one,1748,39
disloyal,die loyal,1736,193
pantile,pan tile,1728,43
old woman,old woman,1727,415
small saw,small saw,1710,103
long-haired,long hair,1698,32
wineskin,wine kin,1691,129
metal plate,metal plate,1686,241
they may,they may,1684,174
living thing,live thing,1677,276
fleetfooted,fleet foot,1656,115
downwards,down ward,1650,267
stair-like,stair like,1640,21
little foot,little foot,1625,83
spearhead,spear head,1606,159
gemstone,gem tone,1575,310
countryside,country side,1574,308
spoon-shaped,spoon shape,1571,40
spear-armed,spear arm,1562,64
dining hall,dine hall,1548,171
one-eyed,one eye,1544,373
workshop,work hop,1541,18
hip bone,hip bone,1538,187
north wind,north wind,1534,383
grainfield,grain field,1519,257
densely-flowered,dense flower,1499,6
crowded together,crowd together,1497,13
too short,too short,1493,252
not even,not even,1492,134
not willing,not willing,1487,242
male fern,male fern,1486,10
pitchfork,pitch fork,1481,356
view through,view through,1474,155
berry cluster,berry cluster,1459,200
young branch,young branch,1428,183
divine action,divine action,1422,130
mushroom,mush room,1416,12
cornice,corn ice,1415,321
rock-dwelling,rock dwell,1413,5
projecting point,project point,1405,120
bound together,bound together,1400,10
little wing,little wing,1394,121
hatred,hat red,1365,131
evening star,evening star,1359,136
eye discharge,eye discharge,1358,272
throughout,through out,1338,166
be happy,be happy,1337,104
droplet,drop let,1333,124
seaweed,sea weed,1322,125
small twist,small twist,1319,18
passable,pass able,1315,163
turning post,turn post,1309,131
expectant,expect ant,1303,209
racecourse,race course,1298,116
furrow,fur row,1292,91
why not,why not,1292,389
sea animal,sea animal,1291,22
hatred,hat red,1291,148
sulfur compounds,sulfur compound,1275,80
folding tablet,fold tablet,1268,86
flat cake,flat cake,1266,175
sea pen,sea pen,1265,320
breastbone,breast bone,1264,262
gemstone,gem tone,1261,310
blue-green,blue green,1243,264
warp thread,warp thread,1238,214
heart-shaped,heart shape,1236,165
sawdust,saw dust,1232,145
saltworks,salt work,1227,70
kindred,kind red,1222,25
bedbug,bed bug,1221,163
violet wine,violet wine,1206,366
suitable,suit able,1205,10
saucepan,sauce pan,1205,199
slender-footed,slender foot,1194,5
earlobe,ear lobe,1181,108
thigh-shaped,thigh shape,1179,103
otherwise,other wise,1178,281
rather delicate,rather delicate,1171,9
long-nosed,long nose,1169,3
rather elegant,rather elegant,1169,12
sister-in-law,sister in law,1157,218
moderate,mode rate,1155,77
smoothing plane,smooth plane,1154,179
woodworm,wood worm,1149,95
wheatmeal,wheat meal,1148,107
clubfooted,club foot,1144,142
sundial,sun dial,1136,31
sea monster,sea monster,1136,89
limestone,lime tone,1133,115
fetch water,fetch water,1121,230
old-woman,old woman,1107,81
axeweed,axe weed,1102,7
little sword,little sword,1092,17
big toe,big toe,1087,203
i roared,i roar,1080,176
two-flowered,two flower,1076,16
big-nosed,big nose,1066,20
changeable,change able,1066,59
wasteland,waste land,1065,207
fishhook,fish hook,1059,132
codfish,cod fish,1055,104
small shoe,small shoe,1054,23
club-bearing,club bear,1052,61
set against,set against,1047,44
empty gut,empty gut,1040,180
watertight,water tight,1033,40
high-dwelling,high dwell,1026,7
palm-decorated,palm decorate,1023,6
furrow,fur row,1023,253
pitch pine,pitch pine,1018,24
peacock,pea cock,1014,310
strawberry,straw berry,1013,103
wandering about,wander about,1012,122
cliff-dwelling,cliff dwell,1010,4
you wish,you wish,1007,123
stopper,stop per,1002,4
statesman,state man,999,24
kidnap,kid nap,994,114
scarlet,scar let,993,53
two-winged,two wing,989,126
leather bag,leather bag,988,87
wash water,wash water,983,135
thornbush,thorn bush,977,3
two-horned,two horn,968,26
male fern,male fern,964,22
hunting spear,hunt spear,960,202
water snake,water snake,953,140
deep blue,deep blue,947,115
nail-money,nail money,942,14
cockshead,cock head,939,15
small place,small place,935,146
rough breathing,rough breath,922,74
somehow,some how,911,185
without end,without end,910,137
sky blue,sky blue,909,292
dissected,die sect,908,24
fattened,fat ten,903,40
golden-haired,gold hair,902,13
into arms,into arm,900,344
windpipe,wind pipe,895,111
duckpond,duck pond,892,69
ten each,ten each,886,257
doorstone,door tone,878,36
gall wasp,gall wasp,876,44
you allow,you allow,874,215
short-beaked,short beak,872,3
springhouse,spring house,867,141
woodland,wood land,865,144
carrot,car rot,861,4
i may,i may,849,51
crashing sound,crash sound,849,130
thornbush,thorn bush,848,7
allheal,all heal,844,21
canthus,can thus,843,19
without authority,without authority,841,85
chickweed,chick weed,832,22
dark red,dark red,829,37
large-eyed,large eye,827,17
blackbird,black bird,824,64
strawberry,straw berry,823,7
bow drill,bow drill,817,94
may go,may go,813,144
withering,wit here,804,198
eyeball,eye ball,799,137
firebrand,fire brand,792,147
cushion-shaped,cushion shape,791,26
somewhere,some where,791,137
furrow,fur row,790,101
absolute fool,absolute fool,787,18
courtyard,court yard,785,101
disgrace,die grace,779,214
beardgrass,beard grass,778,11
sometimes,some time,771,143
honeybee,honey bee,767,50
horned owl,horn owl,765,112
dry land,dry land,763,192
arrow-wounded,arrow wound,761,4
barley cake,barley cake,755,180
little bladder,little bladder,748,107
notable,not able,745,16
very similar,very similar,741,3
scarlet,scar let,736,191
chamber pot,chamber pot,734,139
poison frog,poison frog,730,98
light brown,light brown,728,64
woodland,wood land,727,26
wide-winged,wide wing,726,22
shield-bearing,shield bear,722,10
he-goat,he goat,719,107
many-seeded,many seed,716,46
having ridges,have ridge,716,127
underground,under ground,715,14
ship mast,ship mast,709,123
swordfish,sword fish,706,49
pregnant cow,pregnant cow,695,200
watchfires,watch fire,693,101
pointed stake,point stake,690,59
sawfish,saw fish,688,87
at home,at home,670,58
tongue-shaped,tongue shape,669,66
drinking glass,drink glass,659,25
two-versed,two verse,659,49
nightshade,night shade,657,17
pinewood,pine wood,653,15
very much,very much,651,145
new order,new order,640,189
fan-shaped,fan shape,639,20
racehorse,race horse,639,92
threefold,three fold,635,12
wine-jug,wine jug,631,160
sea cucumber,sea cucumber,626,11
nutshell,nut hell,626,32
hornbeam,horn beam,625,42
will say,will say,624,59
new mother,new mother,618,71
lifetime,life time,618,118
mountain roaming,mountain roam,617,13
little rose,little rose,616,50
golden-flowered,gold flower,615,9
red-footed,red foot,614,14
snapdragon,snap dragon,611,1
black sea,black sea,611,43
densely woolly,dense wool,610,162
two-year-old,two year old,607,95
may seem,may seem,606,46
kidney-shaped,kidney shape,599,20
water-drawing,water draw,597,21
more richly,more rich,597,120
wine fly,wine fly,592,16
three-way,three way,591,58
salted fish,salt fish,586,54
greenland,green land,585,13
wide-footed,wide foot,584,28
village elder,village elder,583,166
small appendage,small appendage,582,57
black-fronted,black front,581,6
dog collar,dog collar,581,71
carrot,car rot,574,36
purple-red,purple red,571,69
bow-bearing,bow bear,567,8
byssus,by sue,567,84
short-tailed,short tail,565,7
red lead,red lead,564,71
swordfish,sword fish,559,36
scarlet,scar let,558,9
earthworm,earth worm,554,20
vineyard,vine yard,552,83
rainstorm,rain storm,550,96
cattail,cat tail,549,144
whirlwind,whirl wind,549,140
dragonfly,dragon fly,548,10
strong-smelling,strong smell,543,9
water snake,water snake,541,84
short-haired,short hair,539,7
flat-leaved,flat leave,539,7
whitewashed,white wash,538,14
resembling wings,resemble wing,538,108
persea,per sea,537,5
water-lily,water lily,532,1
silkworm,silk worm,529,3
oar-handle,oar handle,526,10
changeable,change able,524,8
grandson,grand son,524,88
large-headed person,large head person,517,35
horsewhip,horse whip,516,34
cork oak,cork oak,515,40
low-born,low born,508,27
three-footed,three foot,507,139
gold leaf,gold leaf,506,89
seaweed,sea weed,504,96
disfigure,die figure,502,7
red-winged,red wing,502,12
barleycorns,barley corn,502,208
kinsman,kin man,499,22
thunderstorm,thunder storm,499,103
tightly bound,tight bound,498,56
bandage,band age,492,33
woodworm,wood worm,492,73
elsewhere,else where,490,72
precious stone,precious stone,488,10
hair product,hair product,486,54
hand-shaped,hand shape,485,100
swimming,swim me,484,15
little bird,little bird,484,59
acute accent,acute accent,483,88
crossbeam,cross beam,481,110
red-headed,red head,479,6
parrot,par rot,479,38
goosefoot,goose foot,477,50
pen shell,pen shell,474,169
snake-haired,snake hair,473,7
this-side,this side,473,153
catmint,cat mint,472,7
south wind,south wind,472,37
threefold,three fold,469,8
mouse-barley,mouse barley,468,54
agenor,age nor,465,45
eaglestone,eagle tone,464,16
rubbing,rub be,457,35
berry-bearing,berry bear,456,51
wine-loving,wine love,455,63
tiresome,tire some,452,12
craftsman,craft man,452,54
disagreeing,die agree,449,4
loud cry,loud cry,446,137
marsh-meadow,marsh meadow,445,87
little square,little square,444,16
house sparrow,house sparrow,443,14
right-angled,right angle,440,15
many-headed,many head,440,4
as if,as if,439,46
salt crust,salt crust,439,99
anglesey,angle see,438,161
alternate-leaved,alternate leave,436,3
handsome,hand some,436,26
square board,square board,430,91
perses,per see,429,62
honeycomb,honey comb,428,41
afternoon,after noon,426,80
tarsus,tar sue,426,54
skin-eating worm,skin eat worm,422,7
not yet,not yet,422,81
napkin,nap kin,422,34
very long,very long,421,9
right-angled,right angle,420,17
little spear,little spear,417,23
sign-bearing,sign bear,417,13
fourfold,four fold,416,129
mushroom,mush room,414,39
cone-bearing,cone bear,410,27
long-handed,long hand,408,3
omen bird,omen bird,408,32
narrow-necked,narrow neck,405,2
eight-footed,eight foot,405,23
large snake,large snake,403,87
blackberry,black berry,401,34
standing together,stand together,401,49
milk bread,milk bread,400,10
bracelet,brace let,399,38
washbasin,wash basin,398,13
chestnut,chest nut,398,79
well-known,well known,394,21
two-faced,two face,392,14
two-way,two way,392,89
woodworm,wood worm,390,17
long-tailed monkey,long tail monkey,389,99
cloud-producing,cloud produce,387,7
four-part,four part,387,10
firefly,fire fly,385,13
sea snail,sea snail,385,30
may shake,may shake,385,68
potherb,pot herb,383,5
firewood,fire wood,380,54
armored,arm or,379,10
moderate,mode rate,379,8
having returned,have return,378,32
within days,within day,378,48
sword-bearing,sword bear,377,14
water-snake,water snake,376,24
workshop,work hop,376,137
hand-to-hand,hand to hand,374,24
turtle dove,turtle dove,374,65
moderate,mode rate,368,14
sweet smell,sweet smell,367,11
waterfall,water fall,365,27
same year,same year,365,68
peanut,pea nut,353,10
bridechamber,bride chamber,352,2
disorder,die order,351,25
haircloth,hair cloth,351,45
light work,light work,351,42
close-pressed,close press,348,23
clear weather,clear weather,347,119
puffball,puff ball,343,44
brainpan,brain pan,343,62
wintry,win try,341,13
two-marked,two mark,340,8
cheese-making,cheese make,340,76
white-footed,white foot,338,19
folding up,fold up,338,13
attendant,attend ant,338,43
open sea,open sea,338,74
father-in-law,father in law,338,66
dark-gray garment,dark gray garment,337,112
corn-measure,corn measure,337,163
banded-necked,band neck,336,30
lambkin,lamb kin,336,36
she-ass,she as,336,58
sausage-shaped,sausage shape,335,36
leather garment,leather garment,334,53
bubbling up,bubble up,334,87
eating-house,eat house,333,30
fish trap,fish trap,333,62
many-folded,many fold,332,13
swift-footed,swift foot,331,10
earthnut,earth nut,331,15
whirlwind,whirl wind,330,29
cheeklet,cheek let,328,11
shoulder point,shoulder point,325,39
underworld,under world,324,26
parrot,par rot,323,18
dogwood,dog wood,323,39
son-in-law,son in law,323,39
dipping,dip ping,321,70
scarred,scar red,318,7
curled octopus,curl octopus,317,59
crosspiece,cross piece,317,45
packsaddle,pack saddle,313,6
without gold,without gold,312,16
sindus,sin due,311,73
saw up,saw up,308,35
arrowhead,arrow head,307,34
pineapple,pine apple,306,75
silkworm,silk worm,305,13
billy-goat,bill goat,305,27
mushroom,mush room,305,104
small spider,small spider,304,11
yardland,yard land,304,100
bindweed,bind weed,303,13
southwest,south west,303,49
axe-head,axe head,299,27
mourning song,mourn song,298,18
catfish,cat fish,295,17
chickpea,chick pea,295,50
woodland,wood land,291,69
lead away,lead away,290,24
precious stone,precious stone,289,82
long-haired,long hair,288,24
level ground,level ground,288,71
i may,i may,288,102
scorpionfish,scorpion fish,287,13
troublesome,trouble some,287,15
barrow,bar row,285,16
you run,you run,284,16
gem-bearing,gem bear,284,12
lateral expansion,lateral expansion,283,53
divine law,divine law,281,111
everything,every thing,281,64
tongue-tie,tongue tie,280,1
bird-footed,bird foot,280,9
able to,able to,279,43
strolling about,stroll about,278,7
damasked,dam ask,277,6
underworld,under world,277,17
nuthatch,nut hatch,276,34
featherlet,feather let,275,26
leatherwork,leather work,275,23
piglet,pig let,275,22
short-tailed,short tail,274,15
anymore,any more,274,68
you may,you may,273,76
very high,very high,269,7
pickaxe,pick axe,268,10
bessus,be sue,268,35
common ash,common ash,267,12
leaning back,lean back,266,10
everything,every thing,264,51
gangway,gang way,263,62
bugloss,bug lose,262,11
horn ornament,horn ornament,262,25
hangnail,hang nail,258,10
peasant,pea ant,258,13
spiny-feathered,spine feather,257,8
hardship,hard hip,257,15
napkin,nap kin,257,26
four-toothed,four tooth,256,7
outward,out ward,256,49
one-horned,one horn,254,5
foot-long,foot long,254,48
light-bringing,light bring,253,3
withered,wit here,253,29
sweep out,sweep out,252,37
small veil,small veil,251,56
kinglet,king let,250,31
arrow-leafed,arrow leaf,250,7
very little,very little,249,60
speakable,speak able,249,67
give often,give often,248,31
pinecone,pine cone,248,69
disordered,die order,248,45
distributing,die tribute,248,89
seasonable,season able,246,1
firethorn,fire thorn,245,1
wedge-shaped,wedge shape,245,2
hatred,hat red,242,55
wide-beaked,wide beak,241,2
braceleted,brace let,239,19
lead forward,lead forward,238,4
somehow,some how,238,29
hostage,host age,238,88
little sister,little sister,237,4
mast-block,mast block,237,13
five-leaved,five leave,237,6
fine flour,fine flour,237,10
boat-shaped,boat shape,237,42
smooth breathing,smooth breath,237,23
dipper,dip per,237,28
three-horned,three horn,236,16
transitory,transit or,236,5
flattened,flat ten,236,7
wasteland,waste land,236,51
partridge,part ridge,234,13
stopping,stop ping,234,51
mountain range,mountain range,231,44
stingily,sting i,231,79
ribboned,rib bone,230,8
countable,count able,230,64
only just,only just,229,9
little fox,little fox,229,18
corycus,core cue,227,13
mountain range,mountain range,226,17
headland,head land,226,73
animal fat,animal fat,225,6
war trumpet,war trumpet,224,16
knotgrass,knot grass,224,19
attendant,attend ant,224,5
having sharp-flowers,have sharp flower,224,3
cork oak,cork oak,223,37
hornbeam,horn beam,222,29
armpit,arm pit,222,43
four times,four time,222,46
waterfall,water fall,221,41
pantry,pan try,219,28
hole up,hole up,219,8
arrow-bearing,arrow bear,219,13
trustworthy,trust worth,219,28
mother-in-law,mother in law,219,31
stretched out,stretch out,219,41
bellows,bell ow,219,54
gens name,gene name,218,18
chest disease,chest disease,216,36
suitably,suit able,215,52
dyehouse,dye house,213,10
bridechamber,bride chamber,213,35
doorpost,door post,213,59
stopper,stop per,213,56
suitable,suit able,211,32
egg-white mixing,egg white mix,210,95
bull-headed,bull head,209,4
long-sleeved,long sleeve,209,8
step-by-step,step by step,209,38
four-horned,four horn,208,2
carrot,car rot,208,14
overflow,over flow,208,61
ant-nest,ant nest,207,8
reedbed,reed bed,207,22
suitable,suit able,207,16
warp beam,warp beam,207,30
seedvessel,seed vessel,206,9
palace,pal ace,206,72
family name,family name,205,66
caraway,car away,205,75
pan pipes,pan pipe,203,9
putrid,put rid,203,56
turkey oak,turkey oak,203,57
bodyache,body ache,203,51
hook-nosed,hook nose,203,33
blackberry,black berry,203,33
troublesome,trouble some,201,10
ladybird,lady bird,201,19
rotten,rot ten,200,6
gold-bearing,gold bear,198,6
withered,wit here,198,11
carry across,carry across,197,41
secret sacrifice,secret sacrifice,196,53
longship,long hip,196,45
blockhead,block head,195,34
rotten,rot ten,195,48
north wind,north wind,194,21
parrot,par rot,194,27
pitch pines,pitch pine,194,64
large-winged,large wing,193,2
sharp hammer,sharp hammer,192,24
wild animal,wild animal,192,25
cornflower,corn flower,191,40
earhole,ear hole,190,45
vanguard,van guard,189,9
small knife,small knife,189,23
stingray,sting ray,189,21
funeral service,funeral service,188,16
red lily,red lily,188,60
woodcock,wood cock,187,3
thetis,the tie,187,18
precious stone,precious stone,187,93
extendable,extend able,185,41
lizard-snake,lizard snake,185,48
be persuaded,be persuade,184,20
vine row,vine row,184,45
crescent-shaped,crescent shape,184,19
having hunted,have hunt,183,17
cut off,cut off,183,9
fleshhook,flesh hook,183,10
one-eyed,one eye,183,25
precious stone,precious stone,183,38
knocked out,knock out,181,5
too much,too much,181,34
wormwood,worm wood,181,17
eight each,eight each,181,33
auditory,audit or,180,15
sunbeam,sun beam,180,20
eagle owl,eagle owl,180,57
simpleton,simple ton,179,51
be allowed,be allow,178,39
two-tailed,two tail,176,5
seahorse,sea horse,175,2
outspread,out spread,175,10
topsail,top sail,175,14
anysus,any sue,174,21
having boiled,have boil,174,20
freedman,free man,173,25
woodworm,wood worm,173,25
peacock,pea cock,171,9
parrot,par rot,171,9
pilot fish,pilot fish,171,18
iodine-containing,iodine contain,171,60
short-footed,short foot,170,5
she-goat,she goat,170,12
little key,little key,170,6
having struggled,have struggle,170,47
changeable,change able,170,14
fillable,fill able,168,14
thanksgiving,thank give,167,53
make honey,make honey,167,45
two-edged,two edge,166,24
coinage,coin age,166,51
wing-footed,wing foot,165,33
armored,arm or,164,5
gather around,gather around,164,56
large-penised,large penis,163,9
hiding place,hide place,163,35
little trumpet,little trumpet,163,52
falling down,fall down,162,12
crowbar,crow bar,161,43
pointed-snouted,point snout,160,4
suitable,suit able,160,4
well-wheeled,well wheel,159,3
headband,head band,159,25
breakfast,break fast,159,73
castrated,cast rat,158,16
gray-headed,gray head,158,4
workshop,work hop,157,8
overflowing,over flow,157,23
short sword,short sword,157,33
cloud-bearing,cloud bear,156,10
shield-shaped,shield shape,155,51
wintry,win try,155,40
small bird,small bird,154,19
proper name,proper name,153,34
tenant,ten ant,152,39
full-cheeked,full cheek,152,6
piglet,pig let,152,40
cock stone,cock stone,151,5
closed up,close up,151,10
wide band,wide band,150,3
you ask,you ask,150,27
long-lived,long live,149,8
discarded,die card,149,14
dual-natured,dual nature,148,15
earring,ear ring,148,23
feather-footed,feather foot,147,10
bullace,bull ace,147,24
jealous person,jealous person,147,13
firewood,fire wood,147,41
bellows,bell ow,147,27
small wheel,small wheel,146,22
dogfish,dog fish,146,20
bring near,bring near,145,1
sphere holder,sphere holder,145,1
cheerfully,cheer full,145,5
glowworm,glow worm,145,8
pickaxe,pick axe,145,20
burnable,burn able,145,26
palm tree,palm tree,143,2
bugloss,bug lose,143,7
thread-tailed,thread tail,143,8
glowworm,glow worm,142,17
long-tailed,long tail,141,7
thunderbolt,thunder bolt,141,22
long-tailed,long tail,140,1
lovely-haired,love hair,140,22
cheeselet,cheese let,139,6
seven-leaved,seven leave,139,4
barley flour,barley flour,139,21
peacock,pea cock,139,42
very small,very small,138,5
reindeer,rein deer,138,10
attractant,attract ant,137,13
attendant,attend ant,137,12
rotten,rot ten,136,8
sea fish,sea fish,136,10
wine vessel,wine vessel,136,17
polishable,polish able,135,19
grain fields,grain field,135,22
rootlet,root let,134,10
oak wasp,oak wasp,132,5
withered,wit here,132,19
scrubland,scrub land,132,7
bearing well,bear well,132,54
oil lamp,oil lamp,131,15
booklet,book let,130,41
rubbing,rub be,129,2
horsetail,horse tail,129,6
saddle-bearing,saddle bear,129,3
charites,char it,129,18
kindred,kind red,129,29
sister-in-law,sister in law,129,39
seasonable,season able,128,10
narrow-mouthed,narrow mouth,128,4
descendant,descend ant,128,22
fattened,fat ten,128,4
booklet,book let,128,3
you have,you have,128,19
field-dwelling,field dwell,128,20
bare penis,bare penis,128,45
forcefully,force full,128,76
copper ore,copper ore,127,12
bedpost,bed post,127,17
armlet,arm let,127,28
watermelon,water melon,126,7
cut off,cut off,126,16
goatskin,goat kin,126,23
black-winged,black wing,125,2
fruit-bearing,fruit bear,125,5
breastband,breast band,124,10
rampart,ram part,124,16
keen-scented,keen scent,123,5
bittersweet,bitter sweet,123,7
assless,as less,123,49
spouted cup,spout cup,122,2
handsome,hand some,122,9
tonsure,ton sure,122,5
cold ashes,cold ash,122,36
stone pine,stone pine,122,15
having comforted,have comfort,122,12
ferryman,ferry man,122,28
passover,pass over,122,34
having kissed,have kiss,121,14
hessus,he sue,121,42
oil cake,oil cake,120,36
in groups,in group,120,32
become golden,become gold,119,1
sail-bearing,sail bear,119,7
earthen,ear then,118,30
washwater,wash water,118,47
flat-winged,flat wing,117,6
thorny plant,thorn plant,116,15
pourable,pour able,116,8
little mark,little mark,116,14
cotton tree,cotton tree,116,19
three years,three year,116,41
passed by,pass by,115,7
living together,live together,115,25
dim-sighted,dim sight,115,15
earthwork,earth work,115,30
flatbread,flat bread,114,14
underworld,under world,113,14
haircloth,hair cloth,113,15
rabbit-eared,rabbit ear,112,1
breakdown,break down,112,16
poor wine,poor wine,112,26
enjoyable,enjoy able,110,4
cross direction,cross direction,110,18
polypus,pole pus,110,15
young man,young man,109,6
downcast,down cast,109,10
gagates,gag at,109,15
forked stick,fork stick,109,41
thick-fingered,thick finger,108,2
lead ore,lead ore,108,21
fireplace,fire place,108,24
ratify,rat if,108,42
dewdrop,dew drop,108,39
oarlock,oar lock,107,5
fivefold,five fold,107,5
splittable,split table,107,17
small table,small table,107,17
rocky place,rock place,106,6
redstart,red start,106,5
fourfold,four fold,106,4
wandering alone,wander alone,106,5
soft-haired,soft hair,106,7
ground pine,ground pine,105,2
wavering,wave ring,105,15
allied,all i,105,27
rubbing,rub be,105,49
norfolk,nor folk,104,1
turn away,turn away,104,3
feverfew,fever few,104,5
very narrow,very narrow,104,8
you sell,you sell,104,13
will say,will say,104,30
star grass,star grass,103,5
furrowed,fur row,103,7
stomach fluid,stomach fluid,103,13
beforehand,before hand,103,17
so small,so small,103,17
flatfish,flat fish,102,1
they saw,they saw,102,13
outline,out line,101,1
four-headed,four head,101,2
inkstand,ink stand,101,2
bellows,bell ow,101,49
giant reed,giant reed,101,46
washington,wash ton,100,2
suitable,suit able,100,2
suitable,suit able,100,3
thinkable,think able,100,19
wavelet,wave let,100,39
few-toothed,few tooth,99,3
white-winged,white wing,98,1
pointed-headed,point head,98,1
spearmint,spear mint,98,6
smooth-winged,smooth wing,98,6
buttercup,butter cup,98,12
tree-fungus,tree fungus,98,14
battle axe,battle axe,98,31
one each,one each,97,11
moderated,mode rat,97,6
very pale,very pale,97,5
arrow-shaped,arrow shape,97,34
axe-bearing,axe bear,96,4
west wind,west wind,96,3
two-scaled,two scale,96,18
worthily,worth i,96,11
night-wandering,night wander,96,5
cowardice,coward ice,96,41
sawdust,saw dust,96,31
boxwood,box wood,95,8
will warn,will warn,95,17
potcake,pot cake,95,38
customs duty,custom duty,95,24
barley cake,barley cake,94,4
sweet-breathing,sweet breath,94,4
wild rape,wild rape,94,8
stargazing,star gaze,94,7
beamlet,beam let,94,15
passing through,pass through,93,8
earthborn,earth born,93,5
however,how ever,93,14
clubfooted,club foot,93,5
pointed object,point object,93,23
broken off,broken off,93,9
brickwork,brick work,93,17
certainly not,certain not,93,47
roasting vessel,roast vessel,92,11
discarded,die card,92,5
mixing bowl,mix bowl,91,13
cluster-bearing,cluster bear,91,5
entire-leaved,entire leave,91,5
resting place,rest place,91,22
hornlet,horn let,91,11
without gods,without god,91,30
iron mine,iron mine,90,3
black-green,black green,90,2
will say,will say,90,10
restrain,rest rain,90,14
sweet flag,sweet flag,90,17
sharp-pointed,sharp point,90,16
norban,nor ban,89,1
eye disease,eye disease,89,2
club-rush,club rush,89,4
overflowing,over flow,89,3
having roots,have root,89,3
grandson,grand son,89,15
golden-winged,gold wing,88,3
policeman,police man,88,3
sacred tree,sacred tree,88,2
candlewick,candle wick,88,8
seven times,seven time,88,15
six-rowed,six row,88,4
mudwork,mud work,88,42
strong-speared,strong spear,87,1
goodwill,good will,87,4
wool-footed,wool foot,87,7
threefold,three fold,87,16
wedgelet,wedge let,87,8
