term,gloss,forms,occurrences
"move","to go, to fare, to move (oneself) (any kind of animate or inanimate motion: walk, ride, sail, fly, etc.)",2720,9617
"part","Part of a fruit or fruiting body.",484,9505
"view","view",1098,9498
"earth","Earth",1143,9484
"through","through",944,9462
"god","god, deity",2272,9378
"stake","a stake, pale, spike",1345,9346
"mound","earth thrown up, a bank, mound",1604,9336
"in","in, into",2023,9293
"to swim","to swim",1793,9273
"end","The extremity of a thing",1033,9249
"timber","wood, logs, timber, especially for ships",1285,9232
"milk","milk",1084,9225
"compound","Any of a group of related compounds - azide, polysaccharide, glycoside.",1281,9184
"both","both",914,9059
"brown","brown",1441,9055
"whole","whole, entire, perfect, complete",1076,9013
"crab","crab, crayfish",120,8859
"between","middle of, between, amidst",991,8815
"elegant","fine, elegant, handsome",89,8797
"square","square",862,8665
"month","month",1549,8652
"level","level, flat, even",1027,8565
"fungus","mushroom or other fungus",1055,8482
"rank","a row or file of soldiers",266,8473
"rose","rose (plant of the genus Rosa or its flower)",295,8470
"empty","vain, empty, vacant, void",2247,8466
"speak","to speak, say",1082,8450
"eater","eater (of), eating",180,8316
"proposer","Someone who proposes a law, proposer, carrier.",1436,8316
"gull","a ravenous seabird; perhaps a gull or mew",1018,8276
"why","why?, wherefore?",1239,8273
"to smooth","to smooth",993,8268
"bird","bird",1575,8258
"hate","to have an aversion towards, to hate, dislike",810,8235
"red","red approximately like red ochre (which had a traditional status among the Romans); red that was both common and dignified, somewhat associated with pigment",740,8194
"tube","tube, pipe",957,8161
"shining","shining",593,8141
"woman","woman; female",898,8094
"also","also, too, besides, or likewise",1444,8090
"dusky","swarthy, dusky, dark",435,8073
"slender","slender",821,8059
"lean","lean, skinny, meager",945,8014
"entering","entering, going into",3110,7929
"agent","Added to verb stems to form masculine agent nouns",1230,7907
"pale","pale, pallid, wan",363,7883
"five","five",810,7738
"pure","sheer, undiluted, pure (especially of wine)",1145,7738
"name","a male given name",1559,7729
"bone","bone",871,7671
"altar","altar",1576,7601
"pine","pine",1433,7597
"whole","whole",710,7593
"throat","neck, throat",581,7580
"white","Latinized Alternative spelling of leuko- (""white; colourless; leucocyte"").",883,7455
"river","a river in Epirus",525,7438
"threadlike","Characteristic of, pertaining to, or possessing a filiform structure.",953,7423
"town","One of the leading towns of Macedonia",288,7402
"long","long, too long",999,7331
"down","down",960,7313
"mocked","laughed at, ridiculed, mocked, having been ridiculed",842,7277
"pink","pink, rose-colored, rosy",747,7257
"black","black; dark",715,7249
"fluid","that which is poured out or flows, fluid",1345,7244
"year","year",1559,7240
"clever","clever, intelligent, sagacious, clear-thinking",977,7226
"center","center",893,7215
"swelling","swelling, callus",716,7208
"law","law, right",779,7172
"river","a river in Cisalpine Gaul, now the Serio",1010,7146
"throat","throat, gullet",570,7146
"to","To or with.",872,7144
"voice","voice",1349,7096
"hot","Being warm or hot, glowing.",1125,7085
"bad","bad, badly",981,7077
"island","A small island off the coast of Crete",771,7070
"star","The star δ Eridani in the constellation Eridanus.",1347,7047
"voyage","sailing; voyage",558,7045
"broad","wide, broad",585,7045
"fruit","fruit itself (extended from its use for the fruit-time)",788,7026
"curved","bent, crooked, curved",867,6977
"grain","grain",965,6909
"empty","empty",1635,6880
"new","Combining form of new.",435,6859
"sole","The flat part of the foot.",685,6859
"snake","serpent; snake",627,6850
"different","other, another, different, else",1093,6847
"agent","Added to noun or adjective stems to form a masculine noun of the person concerned with a thing",893,6829
"root","root",955,6737
"gland","gland",886,6731
"stained","stained, spotted, having been stained.",110,6713
"curved","curved",573,6669
"born","second aorist active masculine participle of φῠ́ω (phŭ́ō): ""(he) has sprung forth/been brought forth, (he) has been begotten, (he) has been born""",639,6663
"diminished","diminished, having been diminished",8,6617
"mixture","mixture",564,6615
"blood","blood",1188,6604
"high","high, tall",999,6556
"dark","dark",797,6512
"path","path, footpath",575,6499
"not","Not, the reverse of. (Especially forming words with a negative connotation)",1073,6466
"bearing","bearing",803,6459
"huge","huge, vast, enormous",1541,6410
"car","Car or Kar, the legendary founder of Caria",1443,6407
"oak","an oak, oak-tree, especially the Italian oak",155,6403
"city","The capital city of the Locri and birthplace of Patroclus",544,6364
"hole","a hole",462,6349
"dawn","The morning red, daybreak, dawn",709,6349
"cylinder","cylinder",585,6327
"edge","border, rim, frontier, limit, edge",723,6323
"fungus","fungus",848,6312
"straight","straight",500,6312
"swelling","bulging, swelling",394,6293
"thing","thing, object, stuff",753,6236
"drunk","drunk, intoxicated",1260,6232
"palm","palm of the hand",866,6219
"small","little, small",644,6190
"name","A masculine given name.",14,6177
"shoulder","shoulder with the upper arm; also of an animal",735,6172
"agent","A person or thing that does an action indicated by the root verb; used to form an agent noun.",772,6160
"pal","friendly term of address",1232,6137
"thundering","thundering",691,6136
"stroke","a stroke or line of a pen",641,6112
"grass","grass",313,6105
"man","man, mortal",496,6105
"fat","fat",817,6093
"soft","soft, delicate to the touch",288,6069
"mosquito","mosquito, gnat",245,6029
"strength","bodily strength, force",574,6029
"central","Middle or centre in location/position.",806,6026
"hairy","hairy",688,5990
"pillar","pillar, column, support",611,5989
"ant","ant",336,5988
"common","common, usual, commonly known",10,5959
"bear","bear",699,5959
"bond","bond; fetter",582,5956
"stomach","apocopic form of γᾰστέρᾰ (găstéră), γᾰστέρῐ (găstérĭ), and γᾰστέρε (găstére)",373,5945
"silver","silver",1073,5927
"name","name",675,5926
"approaching","going towards, going to meet",1088,5889
"chaos","the shapeless primordial universe",1438,5873
"hide","to hide; to cover",453,5853
"anus","anus",728,5851
"rock","rock, reef, cliff",544,5849
"beak","beak",916,5795
"bump","a small swelling, bump, or protuberance; a boil, pimple, tubercle",298,5791
"shining","shining, polished, glittering",32,5755
"dark","dark, dusky, shadowy",26,5701
"yellow","yellow, lemon yellow, bright yellow, pallid yellow (as if dyed with weld)",246,5701
"hard","hard",628,5664
"blind","blind",428,5649
"shore","strand, shore, beach",569,5636
"agent","The agent noun derived from verb.",693,5610
"purple","purple",1087,5598
"ear","an ear of grain",231,5590
"wing","wing of a bird",450,5582
"lake","lake",389,5572
"tail","the tail (of a lion, dog, etc.)",785,5569
"painted","painted",946,5566
"pea","pea, pease",643,5559
"horse","horse",943,5525
"base","a pedestal, foot, base",1101,5521
"dad","dad, daddy, a term used by children for their father",1061,5512
"tiny","very little, very small, tiny",10,5505
"blunt","blunt",398,5498
"straw","straw",149,5490
"earth","earth",398,5473
"rib","a rib",887,5454
"ascending","mounting, ascending (only in ablative singular)",322,5420
"good","good, well",346,5412
"female","female equivalent of -ῑ́της (-ī́tēs)",268,5399
"plant","plant",457,5389
"rock","rock",575,5388
"light","light, especially daylight",554,5338
"rod","rod, wand, stick",633,5330
"all","All.",784,5318
"mountain","mountain; hill",1056,5303
"lobed","lobed",611,5298
"tender","soft, delicate, tender",182,5282
"so","so",1097,5276
"out","out of",736,5271
"x","A name of the letter X.",1109,5265
"colon","The colon; large intestine",801,5250
"beast","a wild beast, beast of prey, especially a lion",690,5220
"tribe","A Celtic tribe of Aquitania mentioned by Caesar",575,5201
"sail","to sail (in a boat)",729,5194
"similar","similar to, like, resembling, of the same kind, the same as [with (mostly Republican) genitive or (almost always in post-Augustan writers) dative ]",196,5193
"to stand","to stand",830,5190
"round","round",660,5181
"ring","a ring",1155,5178
"violet","violet",1203,5178
"component","Appended to the names of members of classes of components, especially those that have an extensive property name of the same root suffixed with -ance",750,5175
"guilty","guilty",1052,5173
"river","river",424,5159
"far","far, long; extended, prolonged (of space, in general)",1105,5113
"before","before",1562,5091
"star","star, constellation",549,5086
"snow","snow",1235,5085
"stomach","stomach",675,5079
"tailed","tailed, caudate (having or provided with a tail)",381,5077
"spring","spring (season)",1309,5076
"present","to be here, there, near, present, at hand",418,5073
"pepper","pepper",62,5062
"wheat","wheat",92,5061
"at","Prefix meaning at, close to, to, away, off.",846,5061
"hut","a small room, a hut, storeroom",843,5056
"insult","the act of calling someone 'raca'.",441,5018
"body","Body.",403,5009
"throat","gullet, throat, palate",677,4991
"ring","circle, ring",314,4977
"cover","lid; cover",381,4974
"peak","Hesychius gives the definition as: κώμη (kṓmē, ""village""), φάλαγγος τό ἔσχατον (phálangos tó éskhaton), ἄκρον (ákron, ""peak, extremity"").",439,4970
"timber","cut wood, timber",60,4936
"radiant","bright, radiant, brilliant",468,4932
"scale","scale, flake, shell, husk",283,4929
"island","One of the Stoechades",550,4916
"actually","in reality, in fact, on practice (often strengthened by vērā, ipsā)",1189,4915
"tail","the tail of a beast",201,4904
"membrane","membrane",329,4904
"feed","to feed, to nourish, to nurture",801,4855
"wood","wood, tree, stem",445,4850
"neck","neck",349,4844
"folly","folly, fault",947,4839
"shield","shield",439,4835
"wing","a wing (appendage of an animal's body that enables it to fly)",1075,4814
"star","A star",653,4792
"art","art, skill, craft, handicraft",837,4784
"there","that way, on that side, there",914,4781
"say","second-person singular present middle/passive optative of φημί (phēmí)",677,4777
"rough","rough, uneven, coarse",259,4771
"bone","contracted form of ὀστέον (ostéon)",599,4768
"flee","to run away; to take to flight; to flee; to speed",316,4753
"to eat","to eat",888,4718
"veil","veil",1065,4718
"again","again, anew",944,4711
"six","six",716,4696
"dweller","dweller",917,4692
"scar","scar, wound scarred over",891,4654
"wrinkled","wrinkled",257,4652
"wool","wool",897,4651
"greatly","greatly; mightily; loudly",450,4649
"considered","considered, having considered.",1140,4646
"place","Found in nouns of Latin or Greek origin meaning ""place belonging to (the root word)""",946,4643
"sharpness","sharpness",439,4632
"place","place, location",788,4628
"speed","speed, celerity, swiftness, velocity",432,4622
"goose","goose",949,4621
"across","across",739,4618
"violet","violet, especially Viola odorata",92,4602
"patient","A suffix forming nouns denoting patients (i.e., recipients of actions), such as compiland.",723,4597
"bird","kind of bird",512,4593
"tree","tree; timber",512,4593
"low","low, lowly, small, slight; shallow",59,4577
"mind","mind",838,4565
"son","Old Latin form of fīlius",494,4558
"image","figure, image, likeness, portrait",665,4552
"few","few, small group of people",427,4530
"leg","leg",649,4530
"thorny","thorny, prickly",34,4522
"nail","a nail (metal spike)",358,4516
"lion","lion",761,4507
"cartilage","cartilage",285,4492
"kidney","kidney",1056,4480
"vessel","dish, pot, pan",327,4475
"anger","ire, anger, wrath",801,4472
"possess","to have, possess, contain, own",435,4466
"joint","joint",460,4453
"hollow","hollow",612,4450
"fish","alternative letter-case form of ἰχθύς (ikhthús, ""fish"")",756,4449
"internal","internal, within, inside, into",638,4447
"hair","A hair.",583,4435
"your","your, yours",781,4432
"wheel","wheel",412,4431
"perceive","to perceive [with genitive or accusative]",360,4429
"hearing","a hearing, the sound heard",750,4424
"four","Four.",484,4418
"vein","vein",619,4409
"giant","giant",332,4402
"external","outside; external",369,4399
"rigid","stiff, rigid, hard, inflexible",163,4385
"all","combining form of πᾶς (pâs, ""all, every"")",703,4379
"down","soft, woolly hair, down, as of the first beard",227,4378
"fold","fold",430,4369
"clinging","clinging, adhering",1085,4351
"act","an act",39,4345
"difficult","difficult",331,4340
"few","few",358,4340
"bad","unpleasant, distressing, painful, nasty, bad",378,4339
"extended","Stretched, stretched out, extended, distended.",1060,4335
"bowl","a small or shallow bowl, basin or dish",240,4334
"behind","Behind. [From 19th century]",601,4328
"foil","metal (usually gold) leaf or plate (a thin sheet of, usually precious, metal)",775,4316
"section","a section of a larger work",568,4311
"winged","having wings, winged",503,4296
"sphere","any round object; a sphere; a globe",406,4296
"twisted","plaited, twisted",347,4292
"same","same",523,4283
"able","Added to the stems of verbs or verbal nouns in -σις (-sis) to form an adjective of possibility or capability: -able, -ible, -like, -ed",603,4279
"toothless","toothless",213,4276
"member","Suffix found in nouns naming members of Germanic tribes or dynasties.",780,4275
"fence","A fence, a screen, a breastwork",377,4275
"speak","to speak, talk, say",1056,4275
"owl","a kind of owl, probably the screech-owl (considered a bird of ill omen)",697,4237
"downy","downy",464,4235
"bowl","A large, round drinking vessel with swelling sides",1007,4233
"skin","skin, hide made into a bag",310,4215
"hole","hole, aperture, perforation",420,4210
"blow","a blow, stroke, stab, thrust, bite, sting",623,4204
"hollow","a hollow",501,4201
"window","window",622,4201
"violet","violet (coloured)",215,4194
"not","Used for expressing negation; not",469,4187
"moon","moon",430,4184
"to learn","to learn",521,4184
"thread","That which is spun: thread, yarn",294,4183
"sound","sound, noise; pitch; speech",921,4177
"pee","The name of the Latin script letter P/p.",950,4169
"flower","flower; blossom; bloom",59,4168
"flying","flying",531,4168
"hairy","rough, shaggy, hairy, bristly, prickly",72,4152
"inside","to be inside",823,4152
"feather","feather",382,4151
"favor","service, gratification, favor, kindness",341,4146
"bladder","bladder",725,4144
"fish","kind of fish",387,4141
"depressed","depressed (pressed down)",146,4136
"clan","Roman clan (related by birth or marriage and sharing a common name and often united by certain religious rites)",995,4129
"before","Prior to in time.",581,4128
"bright","shining, glittering, bright",430,4113
"purple","purple, including reddish, violet, and brownish",47,4109
"pus","pus",476,4106
"compressed","tightened, compressed, having been tightened",296,4103
"placement","putting; placing",456,4102
"fast","Fast.",160,4092
"marriage","marriage",776,4072
"ornaments","Golden ornaments over a tunic",467,4044
"ram","ram, male sheep",1055,4017
"agent","Appended to nouns to form an agent noun. (When males with a profession are distinguished from females, males are -an, females -(i)enne.)",1018,4017
"interests","private affairs; personal interests",367,4014
"hunt","to chase, hunt, pursue game/quarry",803,4000
"toothed","toothed",846,3996
"ring","A ring, especially a finger ring",141,3986
"armed","weapon, arms; armed",294,3975
"active","Doing, enacting, forming a verb.",866,3967
"twisted","twisted",263,3961
"great","Very large, great.",646,3961
"pillar","column, pillar",238,3959
"crest","crest of a hill",933,3943
"straw","straw of Indian millet (Sorghum bicolor)",460,3922
"saw","saw",502,3916
"dimension","extension in space: depth, height, breadth, fullness",553,3913
"shield","a small crescent-shaped shield of Thracian design.",463,3909
"left","left; on the left side",38,3890
"file","file (carpenter's tool)",289,3886
"surrounded","surrounded, encircled, having been surrounded",471,3886
"be","third-person singular present middle/passive subjunctive of -ω (-ō)",633,3885
"stain","stain, spot, defilement",649,3878
"field","field; acre",291,3867
"hair","the hair (on the head)",385,3858
"andes","Andes (a mountain range in South America)",870,3854
"male","male",756,3854
"hairy","hairy, shaggy, dense, used in compound words",268,3848
"honey","honey",641,3835
"system","a system of rules, laws, or knowledge about a body of a particular field; distribution, arrangement, management",126,3831
"organ","a reproductive organ",710,3825
"wall","a wall, especially city wall",443,3824
"yesterday","yesterday",570,3822
"common","same, common, joint",360,3815
"branch","branch, bough, limb",847,3810
"to pour","to pour",971,3808
"dark","dull black (as opposed to niger, shining black); dark",230,3804
"green","green in color.",359,3802
"rotation","rotation",408,3802
"strike","to hit, strike or smite",947,3801
"bare","bare",484,3799
"disease","A pathological condition or process.",639,3792
"tooth","tooth; tusk",545,3789
"prickly","prickly",133,3784
"water","combining form of ῡ̆̔́δωρ (hū̆́dōr, ""water"")",292,3767
"yawning","yawning, gaping",834,3766
"black","Black (color, of anything).",487,3763
"dwarf","Of or pertaining to a pygmy or dwarf, especially to the mythical Pygmaeī of Africa.",34,3761
"middle","middle, mid, central, between, midway between, in the center",452,3755
"angle","angle.",309,3755
"toothed","toothed, having teeth",7,3742
"pig","pig, swine, hog, boar, or sow",567,3722
"decorated","decorated, embellished, having been decorated",59,3717
"length","length (spatial measurement)",735,3713
"shell","peel; rind; skin; shell",550,3713
"glowing","glowing",436,3712
"skin","skin, flesh",593,3712
"fire","a fire",645,3708
"concern","to be a matter of concern [with genitive 'something of concern' and dative 'to someone']",276,3707
"burn","to burn, consume, inflame",634,3703
"folded","folded, having been folded.",335,3701
"town","a town in interior Liguria, now Voghera",652,3701
"perpendicular","Right angle, perpendicular.",433,3695
"breast","breast",217,3689
"dense","dense, thick, solid",138,3671
"variable","variable, changeable",8,3669
"comb","comb (for hair, or in weaving)",468,3655
"gold","gold (as mineral or metal)",1079,3643
"arm","arm",395,3625
"silk","silk garments, silks",213,3621
"armed","armed",182,3604
"owl","long-eared owl (Asio otus)",259,3597
"into","into",425,3595
"honor","honor, esteem, dignity, reputation, office",799,3585
"river","The name of several rivers and their associated deities, especially the Scamander.",512,3584
"hostile","hostile; destructive",1658,3584
"sticky","sticky, tenacious",336,3582
"cornered","cornered",204,3573
"trembling","vibrating; twinkling; trembling",484,3573
"man","Combining form of ᾰ̓νήρ (ănḗr)",256,3562
"mark","to mark, make a mark",401,3549
"wasp","kind of wasp",614,3546
"crested","That has a tuft or crest—tufted, crested, plumed.",172,3543
"grinding","grinding",378,3543
"sheep","sheep (either a ram or ewe)",777,3543
"dash","to run fast: to dash, race, sprint, speed",590,3532
"sword","sword, the short, straight, double-edged sword of the Iron Age and Classical Antiquity.",314,3525
"one","one, single, only",568,3502
"creeping","creeping, crawling",125,3499
"sacrifice","victim, sacrifice (especially animals)",387,3494
"bar","bar, bolt",494,3480
"bark","bark of trees, especially smooth bark",271,3478
"mat","mat made of reeds",914,3478
"wavy","undulated, diversified as with waves, pleated",112,3474
"pit","hole, trench or pit dug in the ground",181,3474
"black","Of a dark color unrelated to iron rust, dark blue, dark violet.",6,3462
"rib","A rib.",352,3453
"root","An unknown kind of root, perhaps wild cabbage or the root of caraway",537,3450
"smooth","smooth to the touch",304,3442
"bend","bend, curve, angle",420,3441
"even","even (of a number)",586,3435
"wandering","wandering",640,3430
"rough","rough, scabrous",93,3405
"cue","The name of the letter Q.",1245,3386
"copper","copper, bronze",281,3382
"door","door",322,3381
"small","short, small, little, narrow",261,3378
"opposed","to be against, be prejudicial to, be opposed to",429,3377
"river","A river flowing into the Caspian Sea, mentioned by Pliny; perhaps an alternative name for the Oxus (modern Amu Darya)",634,3366
"ten","ten",479,3363
"tall","tall",337,3356
"color","color (US), colour (UK); shade, hue, tint",614,3354
"dance","kind of dance performed in Egypt",104,3353
"blue","Deep water blue: the deep (blue) color associated with water and with the rainy sky",102,3353
"city","a city in Campania, situated on the road from Capua to Neapolis",527,3353
"there","there",749,3342
"foreign","Having to do with foreigners.",543,3330
"removal","A removal of a group from a molecule.",478,3321
"split","to split, cleave",358,3309
"three","three, threefold",659,3302
"gold","gold (metal or colour); yellow",400,3290
"breaking","a breaking",463,3289
"shell","shell",456,3277
"security","freedom from fear, security",545,3277
"peak","peak, mountaintop, hilltop",211,3264
"club","club, cudgel, mace shod with metal",232,3250
"knee","knee",89,3248
"band","band, fillet, headband worn in sign of victory",318,3243
"outside","without, outside, out",430,3242
"hair","hair of the head",279,3235
"carver","the name of a carver",397,3234
"bright","clear, bright, shining, full of light",112,3233
"footlike","Related to or resembling a foot or similar limb.",299,3233
"plural","More than one; pertaining to more than one thing.",460,3223
"wooded","wooded",21,3219
"spear","spear; spearmanship",211,3217
"like","Pertaining to, having the qualities of, resembling, or like.",655,3208
"chorus","chorus (all forms); a performance with dancing and singing; a troop or band of dancers and singers; performers",507,3207
"grind","to grind or mill",119,3201
"over","over",493,3191
"beam","the beam of a plow",650,3170
"bitter","bitter (taste)",171,3165
"where","whither? whereto? where?",471,3165
"jaw","the cheekbone, jaw",542,3157
"muscle","muscle",507,3156
"destroying","present active participle contracted of δηϊόω (dēïóō)",267,3153
"there","there, thither, to that place/point [Latin 1]",564,3153
"stretch","Stretch.",290,3149
"moss","moss",269,3139
"fast","fast (period of eating no food, little food or avoiding certain dietary items)",276,3137
"form","shape, form, structure",265,3126
"humped","humped, hunched, gibbous",322,3124
"divine","heavenly; divine; noble",655,3120
"act","a deed, act",459,3119
"agent","something that turns, affects, changes, responds, moves.",243,3112
"seven","seven",348,3111
"dry","dry",404,3110
"idea","idea",739,3106
"straight","led straight along, drawn in a straight line, straight, upright.",509,3105
"causing","Causing, doing, or promoting a certain action.",608,3094
"tick","tick (Ixodes ricinus)",30,3089
"insect","insect",279,3089
"there","demonstrative adverb there, in that place",621,3089
"ban","ban, proprietor of a banat",593,3087
"rough","rough",334,3082
"echo","echo, reflected sound",458,3076
"point","sharp edge or point",465,3073
"red","red (a kind of cheap, coarse red, perhaps such as could be produced with madder; whole circus awnings could be dyed to this color)",124,3070
"narrow","narrow, close, contracted, constricted, confined, small, not spacious",125,3069
"how","In what way? how? whereby? by what means? why?",842,3062
"yield","to yield, give way",512,3061
"cup","The bud, cup, or calyx of a flower or nut.",351,3053
"wonderful","wonderful, marvellous, astonishing, extraordinary, remarkable, amazing",54,3048
"doors","double or folding door (in plural)",482,3048
"diverse","diverse, different, various, varied",171,3039
"thread","yarn, thread",418,3038
"plate","A small, thin plate of metal",471,3035
"sweat","to sweat, perspire",469,3033
"sharp","sharpened, made sharp, sharp, having been sharpened",29,3032
"tip","point, tip (of a pointed object)",385,3025
"column","pillar, column",273,3023
"spiky","spiky, having been furnished with spikes.",160,3022
"tomorrow","tomorrow",407,3021
"mixed","mixed, mingled, having been poured together",71,3020
"bean","fruit of the cowpea",75,3019
"winged","winged",1614,3017
"ground","ground, floor",384,3016
"hated","having hated, loathed, detested",574,3015
"spiral","helix, spiral",182,3011
"being","being",901,3008
"vessel","vessel, jar, vase, pail, bucket, box",538,3004
"grave","a grave, sepulchre",28,2997
"nailed","nailed",205,2997
"gram","gram (unit of mass)",458,2994
"court","court, forecourt of a house",371,2993
"figure","figure, image",390,2990
"crowd","multitude of people, crowd, mob",356,2985
"kiss","Kiss.",449,2980
"bring","to lead, fetch, bring along (a living creature), take with",475,2978
"invisible","invisible",275,2977
"shaded","shaded, darkened; in the shade",176,2969
"condition","Tone, condition.",345,2965
"projecting","protruding, projecting, towering",560,2965
"insects","insects",152,2943
"fringe","fringe, tassel, lappet",267,2941
"tension","The stretching or straining of a rope.",677,2941
"fragile","fragile, brittle, easily broken, breakable",94,2938
"vainly","in vain, for nothing, without reason",303,2936
"swampy","swampy, marshy; boggy.",8,2933
"leaf","a leaf (including a conifer's needle)",211,2931
"band","band, troop of men",592,2930
"war","war",358,2922
"bush","bush, shrub",222,2922
"lightly","easily, lightly",228,2918
"toothed","denticulate; furnished with small teeth",132,2912
"trigger","claw-shaped mechanism, trigger",503,2909
"spike","something with a sharp point: point, spike, spur",349,2903
