word,kind,described,traits,name,why
Berberis,genus,"Spiny shrub carrying three-pronged thorns at each node and rosettes of small spoon-shaped leaves. Hanging yellow flowers, then oblong scarlet berries sharp enough to make the mouth water. Cut the stem and the wood and inner bark are BRIGHT YELLOW, and that yellow is both dye and medicine.","three-pronged thorn; bright yellow inner wood; red sour berry; yellow hanging flower","yellow + thorn","Thorn and berry alone would take in rose and bramble. The yellow wood under the bark is unique, valuable, and paired with the thorn names it exactly."
Gentiana,genus,"Herb of high short turf, often with deep blue trumpet flowers that open to the sun and shut in cloud. The root is ferociously bitter, the standard bitter tonic east and west, dug for the liver.","deep blue trumpet; alpine turf; violently bitter root; opens to sun","bitter + root","Chinese long dan is dragon's bile, the same bitterness. Not every species is blue but every one is bitter, so bitterness is the accurate half."
Oreocharis,genus,"A flat rosette of thick wrinkled hairy leaves pressed against wet shaded limestone cliff in the south-west, throwing up slender stalks of nodding bell flowers in yellow, orange or purple.","rosette flat on wet cliff; thick wrinkled hairy leaf; nodding bell flower; limestone shade","cliff + bell","The Latin mountain-grace is vague. Where it lives and what the flower is shaped like are both exact and both visible at a glance."
Dalbergia,genus,"Tropical legume tree and liana with pinnate leaves, small white pea flowers and flat papery pods. The heartwood is dense, dark red-brown and FRAGRANT, and it is the rosewood of furniture and instruments, the most trafficked timber on earth.","fragrant dense heartwood; dark red-brown wood; pea flower; papery pod; prized timber","scent + wood","Red wood alone fits many timbers. The fragrance of the heartwood is what separates rosewood from all of them and is why it is cut."
Stipa,genus,"Tufted grass of dry steppe. Every seed carries a long twisted awn, feathered or needle-fine, that turns with the damp and drills the sharp seed into the soil, and into the wool and skin of whatever walks through.","long twisted awn; needle-sharp seed that drills; dry steppe; feathery plume","needle + grass","The Chinese says needle grass and the seed really does work like a needle. Minimal, exact, and anyone who has walked through it knows."
Boehmeria,genus,"Tall herb or shrub with nettle-like toothed opposite leaves, often white-felted beneath, but WITHOUT the sting. The bast under the bark strips into ramie, among the strongest fibres there is, spun for cloth and laid into rope.","nettle leaf without sting; white felt beneath; very strong bast fibre; cloth and rope","rope + nettle","It looks like a nettle and is used like flax. Naming it by the fibre says why anyone walks to it, and nettle places the leaf."
Athyrium,genus,"Soft finely cut fern of damp wood, fronds twice or three times divided into lace, rising in a shuttlecock crown from a brittle pale or reddish stalk. Under the frond the spore covers curve like a hoof.","lacy twice-cut frond; shuttlecock crown; brittle pale stalk; hoof-curved spore cover; damp wood","hoof + fern","Lacy fits half the ferns there are. The hooked spore cover is diagnostic, and the Chinese had already picked it out as the hoof."
Kengyilia,genus,"Tufted grass of cold high plateau sand and gravel, with a dense bristly spike in the wheat tribe, grazed hard by yak where almost nothing else grows.","wheat-like bristly spike; cold high plateau; sand and gravel; grazed by yak","high + wheat + grass","No feature of the plant itself is distinctive, so the name is where it grows and what it belongs to. It grows higher than any of its relatives."
Mallotus,genus,"Small tree whose whole underside is covered in woolly star-shaped hairs, often with rust-red or golden glands. Broad, often three-lobed leaves. The fruit of one species is rubbed for kamala, a brilliant red-orange dye powder.","woolly star hairs all over; rust-red glands; broad three-lobed leaf; red dye from fruit","wool + tree","The Latin means fleecy and the wool is on every species. The red dye belongs to one species only, so it cannot carry the genus."
Silene,genus,"Herb with opposite leaves and a five-petalled notched white or pink flower sitting in an INFLATED BLADDER of a calyx. The stems of many are glandular and sticky enough to hold a fly, and some open and give scent only at dusk for moths.","inflated bladder calyx; sticky stem that traps flies; notched petal; night scent","sticky + flower","Latin names it for foam-covered Silenus and Chinese calls it fly grass. Both point at the stickiness, so two independent witnesses agree."
Aconitum,genus,"Tall herb with deeply cut dark palmate leaves and deep blue-purple flowers whose upper sepal arches into a HELMET. The tuberous root is among the deadliest things that grow, smeared on arrow and spear, and given in minute processed doses for pain.","helmet-hooded flower; deep blue-purple; deadly tuber; arrow poison; cut palmate leaf","hood + flower","The hood is unmistakable, unique among blue flowers, and is what is seen first. The poison is famous but invisible."
Bambusa,genus,"Clumping bamboo of the warm south, hollow jointed woody stems rising in a dense tuft, with sharp thorny branches tangled about the base of the clump.","clumping not running; thorny branches at the base; hollow jointed stem; warm south","thorn + bamboo","Chinese le zhu is thorn bamboo exactly. The thorns at the clump base separate it from every other bamboo here."
Sageretia,genus,"Thorny scrambling shrub with small glossy opposite leaves, spikes of tiny fragrant flowers and small purple-black sweet-sour fruits that birds strip. Leaves are brewed as tea, and the twisted stems are trained as bonsai.","thorny scrambler; tiny plum-like fruit; birds strip it; glossy small leaf; leaf tea","bird + plum","The Chinese sparrow plum vine names the fruit and the birds together, which is how anyone meets the plant, following a flock into the thicket."
Flemingia,genus,"Legume shrub whose flowers hide inside conspicuous folded leafy bracts like a closed fan. The deep taproot is so firmly set that the Chinese name says it would take a thousand pounds to pull it out, and that root is what is dug for medicine.","folded fan-like bracts; hidden flower; immovably deep taproot; trifoliate leaf","strong + root","The Chinese name is entirely about the root that will not come out, and the root is what is gathered. Nothing above ground is as telling."
Indocalamus,genus,"Dwarf bamboo carrying very large broad leaves, low in the forest understorey. The leaf is the point: it wraps rice dumplings, is sewn into rain hats, and is laid over boat awnings.","very broad large leaf; dwarf bamboo; leaf wraps food; leaf for rain hats","wrap + bamboo","The Chinese character ruo names the broad bamboo leaf used for wrapping. The use is the identity, and it is short."
Mucuna,genus,"Huge tropical liana with trifoliate leaves, throwing down long ropes hung with chains of dark claw-shaped flowers. The pods are covered in orange hairs that break off in the skin and itch savagely for days. Big glossy sea beans drift oceans and wash up whole.","stinging itch hairs on the pod; giant climbing rope; claw flowers in hanging chains; drifting glossy bean","itch + vine","Everyone who has touched the pod remembers only the itch. It is unique, it is the first thing learned about the plant, and it is two words."
Isachne,genus,"Small soft grass of marsh edge and wet ditch with lance-shaped leaves and an open airy head of tiny round paired grains, the two of a pair alike in size and ripening together.","paired equal grains; open airy head; wet ground; small round spikelet","twin + grain","The Latin says equal chaff and means the paired florets, which is the one character that holds across the genus and can be seen in the hand."
Allium,genus,"Bulb in the ground, hollow or strap leaves, a globe of star flowers on a bare stalk. Crush any part of it and the smell is unmistakable and sharp enough to sting the eyes. Onion, garlic, leek and chive are all this one kind.","bulb; pungent sulphur smell; globe umbel; hollow leaf; the oldest kitchen plant","onion","The whole genus is the onion kind and every language already has one word for it. Adding a describing word would be adding one nobody needs."
Diplazium,genus,"Fern of damp forest floor with broad once or twice cut fronds rising from a stout crown, the spore lines set in pairs back to back along each vein. The coiled young fronds are picked and eaten across Asia.","paired back-to-back spore lines; broad cut frond; edible fiddlehead; damp forest","twin + fern","Chinese and Latin agree on the doubling, and the paired spore lines separate it from every fern beside it."
Musa,genus,"Giant herb whose trunk is nothing but rolled leaf bases. Enormous paddle leaves tear along their veins in wind into a ragged fan. A heavy purple bud hangs down and opens hand after hand of fruit.","false trunk of rolled leaves; huge paddle leaf shredding in wind; hanging purple bud; hands of fruit","banana","The fruit is among the most eaten things on earth and already has a single word everywhere. A compound here would be longer and say less."
Eutrema,genus,"Low crucifer rooted in cold running mountain water, heart-shaped leaves on long stalks, small white cross flowers. The thick green rhizome grated fresh is fiercely pungent, and the heat runs up into the nose rather than burning the tongue.","cold running water; heart leaf; green rhizome; heat that goes up the nose","nose + fire","The burn is unlike any other pungency because of where it is felt, and that is exactly what the two words say. Anyone who has eaten it knows the name at once."
Luzula,genus,"Grass-like plant of wood and moor with flat soft leaves fringed all along their edges with long white hairs that hold dew and catch the light. Clusters of small brown papery flowers.","long white hairs fringing the leaf edge; dew caught on the hairs; flat grassy leaf; brown papery flower","hair + rush","The fringe of hairs is the one character that tells it from every true rush at a glance, and it is why the Latin name means glowworm."
Aspidistra,genus,"Thick dark lance-shaped leaves standing straight out of deep shade, enduring drought, dark and neglect for years. The flowers are the strange part: fleshy purple-brown cups sitting ON THE GROUND among the leaf bases, worked by gnats and springtails.","flowers at ground level among the leaf bases; tough dark leathery leaf; deep shade; almost unkillable","ground + flower","A flower opening on the soil itself is rare enough to name by, and once seen it is never mistaken. Toughness is shared with too many plants."
Reevesia,genus,"Tree of the mallow kin with leathery simple leaves and showy fragrant heads of white or pink flowers, each one pushing out a long slender column far beyond the petals with the anthers crowded at its tip. Woody pear-shaped capsules split to loose winged seeds.","long protruding stamen column; fragrant white or pink head; winged seed from a woody capsule; bark fibre","pillar + flower","The column standing out of the flower is unmistakable and is the character the genus is built on."
Echinops,genus,"A perfect steel-blue SPHERE of spiny flowers held on a stout stem above deeply cut prickly leaves that are grey and woolly beneath. Bees work the globe all around.","ball of blue spiny flowers; prickly cut leaf; grey wool beneath; stout stem","thorn + ball","The Latin says hedgehog face and the Chinese says blue thorn head. Both point at the same spiny sphere, and no other plant makes one."
Neillia,genus,"Shrub of the rose kin with arching canes and doubly toothed lobed leaves, hung with slender drooping strings of small tubular pink or white flowers, one after another like beads on a thread.","drooping thread of small tubular flowers; arching cane; lobed doubly toothed leaf; small dry inflated fruit","thread + flower","Chinese calls it the embroidery-thread plum for that thin hanging string of flowers, which is exactly what is seen first."
Arisaema,genus,"One or two leaves split into a spread of fingers, and beside them a striped HOOD arching over a standing spike, often drawn out into a long whip. Raw, it burns the mouth raw with needle crystals. In autumn the spike becomes a scarlet cob of berries.","striped hood over a standing spike; fingered leaf; whip-like tail; burns the mouth; scarlet berry cob","snake + hood","The hood is striped and arched exactly like a cobra raised to strike, which is what its English name says too, and the hood alone is already taken by the monkshood."
Bulbophyllum,genus,"Orchid creeping along bark or rock, its rhizome set at intervals with rounded swollen bulbs, each carrying one thick leaf. The flowers are often hinged and rock in the least air, and many smell of carrion to bring flies.","swollen round bulb at intervals; one thick leaf per bulb; creeping on bark and rock; hinged rocking flower; carrion smell","bulb + leaf","The Latin says bulb leaf and the Chinese says stone bean, the same swollen bulb seen twice. It is the character that makes the genus recognisable."
Pilea,genus,"Small herb of damp shade with watery TRANSLUCENT stems that snap wetly, opposite leaves often banded with silver, and tiny green flowers that fire their pollen in a small visible puff when they ripen.","translucent watery stem; silver-banded leaf; damp shade; pollen fired in a puff","clear + stem","The stem is see-through, which almost nothing else here is, and it is the first thing noticed on picking one."
Achillea,genus,"Flat plate of tiny white or pink daisies on a stiff stem above leaves cut so finely they look like feathers. Sharp aromatic smell when crushed. Pressed on a cut it slows the bleeding, and it has been the wound herb of every people that has met it.","feather-fine cut leaf; flat white plate of flowers; sharp aromatic smell; staunches bleeding","wound + herb","Every people that met it named it for staunching blood: staunchweed, soldier's woundwort, nosebleed plant. The use is older and steadier than any look."
Gnetum,genus,"A cone-bearing plant wearing the clothes of a flowering one: woody liana with swollen jointed nodes and opposite glossy leathery oval leaves exactly like a broadleaf tree's, but the seeds sit naked in fleshy red coats along a spike. The bark strips into strong cord for nets, and the seeds are pounded into crackers.","liana with jointed swollen nodes; broadleaf-looking leaves on a cone plant; naked red seed on a spike; strong bark cordage","rope + vine","The bark cord is why anyone climbs to it, and liana places it. Chinese names it the hemp vine for the same fibre."
Anthoxanthum,genus,"Short grass with a dense spike-like head that turns from green to yellow-brown. It is the grass that makes hay smell of hay: dry a handful and the scent of new-mown meadow and vanilla comes off it for months.","the smell of drying hay; dense yellow-brown spike; short grass; meadow","sweet + grass","The scent is the entire reason the plant is known, is unmistakable, and is already its name in English. Nothing about the look would separate it."
Potentilla,genus,"Low herb or small shrub whose leaves split into five toothed fingers from a single point, under flat five-petalled flowers, almost always bright yellow, ringed with an extra outer collar of bracts. The silvery-leaved one has roots that were dug in hunger years.","five fingers from one point; flat five-petalled yellow flower; outer ring of bracts; famine root","five + leaf","The five leaflets are the genus in one word and are what the English cinquefoil already says. They are countable on meeting the plant."
Jacobaea,genus,"Tall herb with ragged deeply cut leaves and a dense flat head of hard bright yellow daisies. It poisons the liver of horses and cattle slowly and they die months after eating it, so it is grubbed out of every pasture. Black and orange caterpillars strip it bare.","flat head of hard yellow daisies; ragged cut leaf; slow liver poison to stock; black and orange caterpillar","poison + daisy","Yellow daisies are everywhere and the poison is what sets this one apart. It is also the thing anyone keeping animals most needs the name to say."
Patrinia,genus,"Herb with pinnately cut leaves under a broad flat spray of tiny yellow or white flowers. The whole plant, and the root worst of all, stinks of soured bean sauce and old cloth, and the smell carries on the hand long after.","stink of soured sauce; flat spray of small yellow flowers; cut leaf; root used for abscess","rot + smell","The Chinese name is simply spoiled sauce. The smell reaches a person before the plant is even found, and nothing else about it is distinctive."
Cymbidium,genus,"Orchid with long strap leaves rising in a fan from a squat bulb, sending up arching sprays of waxy flowers that last for months, green and brown and yellow, with a boat-shaped lip. The scent is faint and clean, and it has stood for the scholar and the gentleman in painting and verse for two thousand years.","boat-shaped lip; strap leaves in a fan; long-lasting waxy flower; faint clean scent","boat + orchid","The Latin names the boat of the lip. Chinese gives this genus the bare word orchid, so the added word has to be small and true, and the lip is both."
Yushania,genus,"Running bamboo of high cold mountain forest, slender canes spreading on long underground necks into dense thickets under the trees. Pandas live on it.","high cold mountain forest; running underground necks; dense understorey thicket; slender cane; panda food","high + bamboo","Altitude is what separates it from every other bamboo here, and the other bamboos are already named by thorn and by wrapping leaf."
Camellia,genus,"Evergreen with thick glossy dark leathery leaves and bold waxy flowers, white or pink or red, around a boss of yellow stamens. Hard round woody capsules hold big oily seeds pressed for cooking oil. The dried young leaves of one of them are all the tea in the world.","thick glossy leathery leaf; waxy flower with a yellow stamen boss; oily seed; the tea leaf","tea + flower","Chinese calls it mountain tea. Tea names what the genus gave the world and flower keeps it apart from the drink itself."
Selliguea,genus,"Fern riding on bark or bare rock, its creeping scaly rhizome pressed flat to the surface, throwing up thick leathery fronds, sometimes simple straps, sometimes lobed, with spore patches sunk into pits on the underside.","thick leathery frond; creeping on bark and rock; sunken spore pits; simple or lobed strap","leather + fern","The frond is stiff and leathery to the hand, unlike the lacy ferns of the ground, which is what its rock and bark life demands."
Glyceria,genus,"Tall soft grass standing in shallow water and ditch, broad bright green leaves floating and bending on the surface, with a wide spreading head of long narrow spikelets. The grain is sweet and was gathered and boiled as groats.","sweet grain gathered as food; standing in shallow water; broad soft floating leaf; long narrow spikelet","sweet + grain","Latin and Chinese both say sweet. The grain is the part that is sweet and the part that was eaten, and sweet grass is already taken by the hay grass."
Frullania,genus,"Tiny leafy liverwort making flat dark mats, reddish brown to almost black-purple, pressed to tree bark and rock. Under a lens each leaf carries a small hollow pitcher folded beneath it, shaped like an ear, which holds water through a drought and sometimes a rotifer with it. Loggers who handle the bark come out in a rash.","ear-shaped water pouch under each leaf; dark red-brown to purple mats; flat on bark and rock; causes a rash on handling","ear + moss","The Chinese names it ear-leaf for that folded pouch, which is the one character that separates it from every other liverwort, and feather is already taken by Plagiochila."
Senecio,genus,"Yellow daisy heads, often with few rays or none, over ragged leaves. When the seed sets, the head turns into a ball of pure white hair and then goes bald, which is why the Latin calls it the old man.","white-haired seed head going bald; yellow daisy head; few or no rays; ragged leaf","white + head","The Latin is senex, an old man, and means the white seed head. It is what the plant looks like for most of the season and it tells it from the other yellow daisies."
Fimbristylis,genus,"Sedge of wet open ground, with dense brown spikelets held in a loose umbel on slender stems that sway in any wind. The style is fringed with fine hairs along its edge and drops away once the seed is set.","fringed style; brown spikelet in an umbel; wet open ground; swaying slender stem","fringe + sedge","The fringe on the style is what the Latin names and is the character that holds across the genus. Swaying, which the Chinese picked, is true of half the wet-ground plants there are."
Justicia,genus,"Herb or low shrub with opposite leaves and tubular flowers split into two clear lips, white, pink or red, crowded into bracted spikes. The ripe capsule dries, splits with a snap and throws its seeds off small hooks.","two-lipped tubular flower; bracted spike; capsule that snaps open and throws seed; opposite leaf","lip + flower","The two-lipped flower is on every species and is what is seen. The exploding capsule is shared with the whole family around it, so it cannot tell this one apart."
Argentina,genus,"Low creeper of damp ground running on red runners, with pinnate leaves that are silky SILVER-WHITE underneath and flash when the wind turns them. Single yellow five-petalled flowers. The roots were dug in hunger years and taste of parsnip and chestnut.","silver-white silky leaf underside; creeping red runners; yellow five-petal flower; famine root","silver + leaf","The Latin is silver and the underside really does flash white across a whole meadow when the wind turns. Five leaves is already Potentilla, which this was split from."
Ilex,genus,"Evergreen with thick glossy leaves, often armed with hard spines along the edge, small dull white flowers, and brilliant red berries that hold on the bare winter branches until the birds strip them. Poisonous to people. The wood is white and very hard.","evergreen through winter; glossy spined leaf; red berry held all winter; hard white wood","winter + green","The Chinese dong qing is winter green, and staying green and berried through the dead of the year is the whole reason anyone notices the tree."
Leymus,genus,"Tall coarse blue-grey grass of sand dune and salt steppe, with thick cords of rhizome running through loose sand and binding it. A dense stiff spike like a head of wheat stands above.","blue-grey coarse leaf; binds loose sand with thick rhizome; dune and salt steppe; stiff wheat-like spike","sand + rye","It is the wild rye of sand, which places the plant and says where it grows in two words. Holding the dune together is also the only reason it is ever planted."
Hemsleya,genus,"Climbing gourd vine with tendrils and palmate leaves of five to nine leaflets, carrying small greenish flowers. Under the ground sits a heavy pale tuber that is violently bitter, dug and dried for dysentery and inflammation.","large violently bitter tuber; tendril climber; palmate leaflets; small green flower","bitter + vine","Chinese xue dan is snow gall, pale and bitter, and the bitterness is why it is dug. Bitter root already belongs to the gentian, so the climbing habit does the separating."
Heracleum,genus,"A huge umbellifer. Thick hollow ridged stems, deeply lobed leaves as long as an arm, and a flat white flower plate the size of a dinner plate. The sap on skin in sunlight raises burns and blisters that scar and come back for years.","enormous size; thick hollow ridged stem; broad flat white umbel; sap that blisters skin in sunlight","blister + weed","The size is what is seen and the sap is what matters. Anyone cutting a path through it needs the name to carry the warning, and no other umbellifer here burns."
Cerastium,genus,"Low soft herb with grey-green opposite leaves covered in fine hair, each the size and shape of a mouse's ear. Small white flowers whose five petals are split so deeply they look like ten. The seed case is a small curved horn.","soft grey hairy leaf like a mouse ear; deeply split white petal; curved horn seed case; low mat","mouse + ear","English, Chinese and the hand all agree: the leaf is a mouse's ear, in size, shape and softness. Three independent witnesses on one trait is as good as it gets."
Derris,genus,"Woody climbing legume of the tropics with pinnate leaves and sprays of pink-white pea flowers. The root, pounded and stirred into a pool, brings the fish up stunned to the surface within minutes, and it is used the same way against insects on a crop.","root that stuns fish in water; woody tropical liana; pinnate leaf; pea flower","fish + poison","Chinese yu teng is fish vine. Stunning fish with a pounded root is old technology practised on three continents, and it is the entire reason this plant is known."
Buddleja,genus,"Shrub throwing long arching canes, with lance leaves white-felted beneath and long tapering cones of small honey-scented purple flowers. On a warm day the cones are covered in butterflies, several to a spike.","long tapering flower cone; honey scent; covered in butterflies; arching cane; white-felted leaf","butterfly + bush","This is already its name in English and the reason is visible from across a field. Chinese calls it drunk-fish grass for a second use, but the butterflies are what anyone meets first."
Adinandra,genus,"Evergreen tree of the tea kin with thick leathery leaves, silky brown hairs lying flat on the underside and along the young shoots. Single nodding white flowers hang under the branch on a hooked stalk, crowded with stamens, then a dark berry.","silky hairs flat on the leaf underside; thick leathery leaf; nodding white flower; crowded stamens","silk + leaf","The Latin names the crowded stamens, which needs a lens and a flower. The silky underside is there all year and is what the hand finds first."
Lagotis,genus,"Low fleshy herb of the high cold plateau, with smooth thick basal leaves shaped and held exactly like a hare's ear, and a dense short spike of blue-purple two-lipped flowers pushed up among them.","leaf shaped like a hare's ear; thick fleshy basal leaf; dense blue-purple spike; high cold plateau","hare + ear","The Latin is hare's ear and the Chinese is rabbit ear grass. Two traditions that never met picked the same image, which means it is the thing anyone sees."
Artemisia,genus,"Aromatic herb or low shrub with finely cut grey-green leaves, white and woolly beneath, and small drab flower heads that need no insect. Crush a leaf and the smell is sharp, bitter and clinging. It is burned on the skin as moxa, steeped against fever, and it flavours the bitter drinks.","sharp bitter clinging smell; finely cut grey leaf, white beneath; drab wind-pollinated heads; burned as moxa; bitter drink","bitter + leaf","The bitterness is in every species and in every use, burning, steeping and flavouring, and it is the leaf that carries it. Wound herb is already the yarrow."
Urtica,genus,"Toothed opposite leaves on a square stem, and over every surface fine hollow hairs that break off in the skin and inject a burn that lasts for hours. Boiled, the young tops lose the sting and are eaten, and the stem strips into strong cord.","stinging hairs that burn for hours; toothed opposite leaf; young tops eaten once boiled; strong stem fibre","nettle","This is the nettle itself, the plant the word means. Every other nettle-like thing here is named by reference to it, so it cannot be named by reference to them."
Phlomoides,genus,"Mint-family herb with a square stem, wrinkled hairy opposite leaves, and two-lipped yellow or purple flowers set in tight WHORLS that ring the stem at intervals like beads on a rod. Root tubers are dug and eaten.","flowers in rings around the stem; square stem; wrinkled hairy leaf; edible root tuber","ring + flower","The flowers stand in complete rings up the stem, spaced like rungs, which is unmistakable at a glance and unlike the spikes and heads around it."
Fargesia,genus,"Clumping bamboo of high mountain forest, its canes slender, straight and stiff, standing in dense thickets under the trees. The canes are cut for arrow shafts. Pandas live in it and on it.","slender straight stiff cane; arrow shafts; dense high-forest thicket; clumping; panda food","arrow + bamboo","Chinese jian zhu is arrow bamboo. A straight stiff shaft of the right thickness is a use worth naming by, and it separates this from the thorn and wrapping bamboos."
Stellaria,genus,"Small sprawling herb with a single line of hairs running down one side of the stem, and small white flowers whose five petals are split so deeply to the base that the flower reads as a ten-rayed star. Eaten as a pot-herb and thrown to the hens.","five petals split to look like ten rays; star-shaped white flower; one line of hairs down the stem; eaten as greens","star + flower","Latin stella and English starwort both say star, and the split petals really do make one. The line of hairs is the surer character but needs a lens."
Juncus,genus,"Round smooth green stems standing in wet ground with no leaf to speak of, holding a small brown cluster of flowers out of one side. Split a stem and the white spongy pith pulls out in one piece: soaked in fat it burns as a rushlight, and the stems are woven into mats.","round smooth leafless green stem; white pith drawn out for a wick; wet ground; woven into mats","rush","This is the rush itself. The woodrush beside it is named hair rush by reference to this, so naming this one by reference to anything would leave the pair with no anchor."
Eleocharis,genus,"Leafless green cylindrical stems standing close in wet mud, each one topped by a single small brown spikelet like the head of a match. One of them swells a sweet crisp white corm under the mud that is dug, peeled and eaten raw.","one spikelet at the tip like a match head; leafless round stem; wet mud; sweet crisp corm","spike + rush","A single terminal spikelet on a leafless stem is the whole genus in one look, and spike rush is already what English calls it."
Pulsatilla,genus,"Whole plant clothed in long silver silky hair. Large nodding bell flowers, purple or white, open low on the bare ground in early spring before the leaves are properly out, then the seed heads draw out into long feathered plumes that catch the wind.","long silver silky hair everywhere; nodding bell flower; opens before the leaves in early spring; feathered plume seeds","silk + bell","The silky coat and the hanging bell are both there the moment the plant appears, and together nothing else is like it. White head is already the groundsel."
Ardisia,genus,"Evergreen shrub low in the forest shade, with thick glossy leaves whose scalloped edges are dotted with dark glands, small starry white or pink flowers, and round bright red berries that hang near the ground and last most of a year.","round bright red berry lasting most of a year; glossy leaf with dark gland dots; deep forest shade; low shrub","red + bead","The berries are round, hard, glossy and hang in strings near the ground for months, so they read as beads and they are what is seen in the shade all winter."
Taraxacum,genus,"Flat rosette of leaves cut into backward-pointing teeth, a hollow stalk that bleeds white milk when broken, one solid golden head packed with rays, and then a perfect grey sphere of parachute seeds that goes on one breath. Leaves eaten, root roasted.","backward-pointing leaf teeth; white milky sap; solid golden head; perfect sphere of parachute seeds","tooth + leaf","A dozen languages name it the lion's tooth from those leaf teeth, and they are on the plant all year, while the golden head and the seed sphere are each there for a week."
Dendrobium,genus,"Orchid living on a tree, its cane-like jointed stems hanging in bunches from the bark with no soil at all, carrying showy flowers along their length. The canes of some are dried and chewed or simmered for thirst and a weak stomach.","lives on tree bark with no soil; cane-like jointed stems hanging; showy flowers along the cane; canes simmered as a tonic","tree + orchid","The Latin says life on a tree and that is the fact about it: an orchid rooted on bark rather than in ground. Stone orchid, the Chinese, names the minority that sit on rock."
Ziziphus,genus,"Thorny tree with zigzag twigs, each node armed with a pair of spines, one straight and one hooked back. Glossy three-veined leaves, small yellow-green flowers, and a sweet crisp fruit that dries to a wrinkled red date and keeps for years.","paired spines, one straight one hooked; zigzag twig; three-veined glossy leaf; sweet fruit dried as a red date","thorn + date","The dried fruit is the reason it is grown and is called a date across Asia, and the paired hook-and-straight spines keep it apart from the palm that word otherwise names."
Populus,genus,"Fast tall tree of riverbank and floodplain. The leaf stalk is flattened sideways, so the least air sets every leaf turning and the whole crown hisses when nothing else moves. Catkins first, then drifts of white cotton carrying the seed. Soft pale wood.","flattened leaf stalk that makes the leaves tremble; crown that hisses in the least wind; white cotton seed drifts; riverbank; soft pale wood","tremble + leaf","No other tree moves like it and the sound carries further than the sight. It is one mechanical fact, the flattened stalk, and it is what the tree is known for everywhere it grows."
