relation,occurrences,spellings
more,4489,"plural | more richly | more | heavier | better | unnecessary"
small,3572,"little"
apart,3417,"set aside"
love,2481,"loving | -phile"
grow,1975,"green | symphysis | date spadix | maturing | growing | growing dusky"
eat,1848,"eating | eating-house | cancer | carnivorous | eating companion"
most,1406,"brightest | most glorious | most | most chastely"
lack,979,"lacking | weak | without"
cover,325,"scarred | wooded | muddy"
shape,272,"shaped like"
divide,35,"fivefold | centuriate | threefold"
