term,uses,head
address,0,0
adhere,0,0
administer,0,0
adopt,0,0
advise,0,0
affair,0,0
afford,0,0
afterward,0,0
aggregate,0,0
ah,0,0
aha,0,0
alarm,0,0
alas,0,0
alias,0,0
allegiance,0,0
alley,0,0
alto,0,0
ambiguous,0,0
ammonia,0,0
analyze,0,0
anguish,0,0
anomaly,0,0
antenna,0,0
anyone,0,0
anything,0,0
apathy,0,0
apology,0,0
apparatus,0,0
appetite,0,0
apply,0,0
appoint,0,0
approximate,0,0
arbitrary,0,0
archive,0,0
arouse,0,0
artifact,0,0
asleep,0,0
assimilate,0,0
audio,0,0
audit,0,0
aura,0,0
available,0,0
awe,0,0
bacteria,0,0
bang,0,0
barb,0,0
bargain,0,0
bask,0,0
bass,0,0
batch,0,0
bathe,0,0
battery,0,0
beach,0,0
beep,0,0
behave,0,0
beige,0,0
bill,0,0
bland,0,0
blank,0,0
bliss,0,0
bloat,0,0
blob,0,0
bluff,0,0
blur,0,0
boast,0,0
bog,0,0
bondage,0,0
bracken,0,0
brake,0,0
bravo,0,0
bridge,0,0
brilliant,0,0
brim,0,0
brittle,0,0
brood,0,0
browse,0,0
buckle,0,0
buff,0,0
buffer,0,0
bulk,0,0
bullet,0,0
bust,0,0
butt,0,0
cache,0,0
cactus,0,0
calcium,0,0
calculus,0,0
camouflage,0,0
cancer,0,0
candidate,0,0
candor,0,0
cannot,0,0
canon,0,0
canvas,0,0
canyon,0,0
capital,0,0
carcass,0,0
cardinal,0,0
cascade,0,0
castle,0,0
catalog,0,0
cavity,0,0
celsius,0,0
century,0,0
chapter,0,0
cheap,0,0
chime,0,0
chisel,0,0
chocolate,0,0
chord,0,0
chorus,0,0
chuck,0,0
cigarette,0,0
circumvent,0,0
citrus,0,0
civil,0,0
clam,0,0
clang,0,0
cleanse,0,0
clerk,0,0
clone,0,0
closure,0,0
clutch,0,0
coarse,0,0
cobalt,0,0
cod,0,0
collaborate,0,0
collide,0,0
column,0,0
compact,0,0
compass,0,0
compassion,0,0
compatible,0,0
complaint,0,0
complement,0,0
component,0,0
compose,0,0
composite,0,0
compulsion,0,0
compute,0,0
conceive,0,0
concentrate,0,0
concert,0,0
conclude,0,0
concrete,0,0
configuration,0,0
conform,0,0
confound,0,0
confront,0,0
congestion,0,0
conjure,0,0
conserve,0,0
conspicuous,0,0
constellation,0,0
constitute,0,0
container,0,0
context,0,0
contrast,0,0
convenient,0,0
converge,0,0
conversation,0,0
conviction,0,0
cope,0,0
corrupt,0,0
cotton,0,0
cousin,0,0
covenant,0,0
cramp,0,0
crane,0,0
cranium,0,0
crank,0,0
crater,0,0
crawl,0,0
creak,0,0
creek,0,0
crest,0,0
critic,0,0
crotch,0,0
crouch,0,0
crumb,0,0
crumble,0,0
crunch,0,0
cryptic,0,0
cuckoo,0,0
cultivate,0,0
curiosity,0,0
currency,0,0
cyan,0,0
cynical,0,0
dazzle,0,0
decimal,0,0
deck,0,0
decode,0,0
deduce,0,0
default,0,0
deficit,0,0
degrade,0,0
delete,0,0
deliberate,0,0
delicious,0,0
demon,0,0
depict,0,0
depot,0,0
depress,0,0
depression,0,0
derive,0,0
desk,0,0
despair,0,0
destination,0,0
destiny,0,0
detach,0,0
determine,0,0
deviate,0,0
diagram,0,0
dialect,0,0
diameter,0,0
diaphragm,0,0
dictate,0,0
diffuse,0,0
dignity,0,0
discern,0,0
discharge,0,0
discipline,0,0
dismiss,0,0
dispose,0,0
distinguish,0,0
diverse,0,0
doctrine,0,0
doll,0,0
dollar,0,0
domain,0,0
dormant,0,0
dove,0,0
draft,0,0
dragon,0,0
drought,0,0
drown,0,0
duct,0,0
dumb,0,0
dump,0,0
duplicate,0,0
dynamic,0,0
ecstasy,0,0
edit,0,0
elastic,0,0
elect,0,0
elicit,0,0
ellipse,0,0
eloquent,0,0
embed,0,0
emergency,0,0
empathy,0,0
empire,0,0
enable,0,0
enlighten,0,0
enormous,0,0
ensure,0,0
envelope,0,0
enzyme,0,0
episode,0,0
equilibrium,0,0
equivalent,0,0
erect,0,0
erosion,0,0
ether,0,0
ethics,0,0
evolution,0,0
evolve,0,0
exempt,0,0
expansion,0,0
experiment,0,0
expire,0,0
explicit,0,0
exploit,0,0
exponent,0,0
export,0,0
extent,0,0
exterior,0,0
extinct,0,0
extravagant,0,0
facilitate,0,0
fahrenheit,0,0
fairy,0,0
feat,0,0
feeble,0,0
fetch,0,0
feud,0,0
fiddle,0,0
file,0,0
fleet,0,0
flop,0,0
flush,0,0
flute,0,0
flutter,0,0
foil,0,0
folly,0,0
fond,0,0
format,0,0
formula,0,0
fountain,0,0
fracture,0,0
frail,0,0
frenzy,0,0
fret,0,0
friction,0,0
fulfill,0,0
gag,0,0
gallon,0,0
gamble,0,0
garage,0,0
gasoline,0,0
gateway,0,0
genesis,0,0
genius,0,0
genuine,0,0
gill,0,0
glad,0,0
glyph,0,0
gong,0,0
goods,0,0
graft,0,0
graze,0,0
grieve,0,0
grit,0,0
gross,0,0
habitat,0,0
hail,0,0
halo,0,0
hamper,0,0
hash,0,0
hazard,0,0
heave,0,0
heed,0,0
hen,0,0
henry,0,0
herring,0,0
hertz,0,0
hey,0,0
hierarchy,0,0
hinge,0,0
hiss,0,0
hitch,0,0
hive,0,0
hmm,0,0
holder,0,0
holiday,0,0
hooray,0,0
horizon,0,0
hover,0,0
huh,0,0
humiliate,0,0
humility,0,0
hump,0,0
hybrid,0,0
hypocrite,0,0
hypothesis,0,0
ignite,0,0
impulse,0,0
inch,0,0
incorporate,0,0
index,0,0
induce,0,0
indulge,0,0
inertia,0,0
inevitable,0,0
inflammation,0,0
ingredient,0,0
inject,0,0
input,0,0
insensitive,0,0
insight,0,0
inspect,0,0
institution,0,0
insure,0,0
integrate,0,0
intellect,0,0
interior,0,0
intermittent,0,0
interpret,0,0
intimidate,0,0
introduce,0,0
invent,0,0
invest,0,0
iodine,0,0
irrigate,0,0
itch,0,0
jab,0,0
junction,0,0
jungle,0,0
junk,0,0
kaleidoscope,0,0
kangaroo,0,0
keel,0,0
kelvin,0,0
keyboard,0,0
lag,0,0
layer,0,0
leech,0,0
legitimate,0,0
lenient,0,0
lesion,0,0
liberty,0,0
likely,0,0
loaf,0,0
locate,0,0
lonely,0,0
loot,0,0
lore,0,0
lost,0,0
lot,0,0
lust,0,0
magenta,0,0
magnesium,0,0
magnitude,0,0
major,0,0
mandate,0,0
mane,0,0
manifest,0,0
manual,0,0
manufacture,0,0
marker,0,0
marvel,0,0
matrix,0,0
maze,0,0
media,0,0
melancholy,0,0
melon,0,0
merit,0,0
merry,0,0
metabolism,0,0
metaphor,0,0
midnight,0,0
mile,0,0
miracle,0,0
module,0,0
momentum,0,0
monitor,0,0
monument,0,0
motor,0,0
mumble,0,0
murky,0,0
museum,0,0
mutant,0,0
muzzle,0,0
nasty,0,0
natural,0,0
navigate,0,0
newton,0,0
niche,0,0
nickel,0,0
nitrogen,0,0
nobody,0,0
norm,0,0
nostalgia,0,0
nude,0,0
nurture,0,0
nylon,0,0
obligation,0,0
oblige,0,0
obstruct,0,0
obtain,0,0
octopus,0,0
offense,0,0
offset,0,0
offspring,0,0
oh,0,0
oneself,0,0
oops,0,0
operate,0,0
opponent,0,0
opportunity,0,0
oracle,0,0
orb,0,0
ordinary,0,0
orient,0,0
ouch,0,0
outcome,0,0
output,0,0
overlap,0,0
packet,0,0
palate,0,0
palsy,0,0
par,0,0
paradox,0,0
paramount,0,0
parcel,0,0
parliament,0,0
participate,0,0
pascal,0,0
passenger,0,0
pasture,0,0
pat,0,0
patter,0,0
pavilion,0,0
paw,0,0
peck,0,0
pedal,0,0
peer,0,0
pelvis,0,0
penetrate,0,0
percent,0,0
permeate,0,0
perspective,0,0
petal,0,0
pheasant,0,0
phenomenon,0,0
phew,0,0
phosphorus,0,0
pillar,0,0
pillow,0,0
ping,0,0
plank,0,0
plasma,0,0
plateau,0,0
platinum,0,0
plow,0,0
poise,0,0
policy,0,0
pond,0,0
portal,0,0
possess,0,0
posture,0,0
potassium,0,0
pound,0,0
precise,0,0
precision,0,0
predator,0,0
presume,0,0
primate,0,0
prime,0,0
primitive,0,0
probable,0,0
procedure,0,0
profane,0,0
prophecy,0,0
protocol,0,0
provoke,0,0
proxy,0,0
prudent,0,0
pry,0,0
puck,0,0
pulp,0,0
pump,0,0
quantum,0,0
quench,0,0
quest,0,0
queue,0,0
quota,0,0
radar,0,0
radio,0,0
radius,0,0
rag,0,0
rape,0,0
ratchet,0,0
rattle,0,0
receipt,0,0
recess,0,0
recipe,0,0
reciprocate,0,0
rectangle,0,0
redeem,0,0
reel,0,0
reflex,0,0
refrain,0,0
rehearse,0,0
relapse,0,0
relevant,0,0
relieve,0,0
reluctant,0,0
remainder,0,0
remorse,0,0
render,0,0
repetition,0,0
replenish,0,0
reserve,0,0
resonate,0,0
restaurant,0,0
restraint,0,0
restrict,0,0
retain,0,0
retard,0,0
retire,0,0
retrieve,0,0
revere,0,0
revive,0,0
revoke,0,0
rift,0,0
rig,0,0
rigid,0,0
riot,0,0
rip,0,0
ripe,0,0
ripple,0,0
ritual,0,0
robust,0,0
rug,0,0
rumble,0,0
rupture,0,0
sag,0,0
sanctuary,0,0
sarcasm,0,0
satisfaction,0,0
saturate,0,0
scarce,0,0
scarf,0,0
scorpion,0,0
screech,0,0
scroll,0,0
scrub,0,0
sector,0,0
segment,0,0
semen,0,0
serene,0,0
serial,0,0
shaft,0,0
shh,0,0
shiny,0,0
shit,0,0
shrimp,0,0
siege,0,0
silicon,0,0
simulate,0,0
simultaneous,0,0
sizzle,0,0
skeleton,0,0
skeptical,0,0
slab,0,0
slack,0,0
slam,0,0
slit,0,0
slot,0,0
sloth,0,0
slough,0,0
slug,0,0
smuggle,0,0
smut,0,0
snare,0,0
socket,0,0
soda,0,0
sodium,0,0
solemn,0,0
sorcery,0,0
species,0,0
sphincter,0,0
sprout,0,0
spur,0,0
squish,0,0
stability,0,0
stabilize,0,0
stair,0,0
stale,0,0
stall,0,0
stamina,0,0
stimulus,0,0
storage,0,0
stout,0,0
streak,0,0
stuck,0,0
stump,0,0
sublime,0,0
submit,0,0
subtle,0,0
summit,0,0
sunrise,0,0
sunset,0,0
suppose,0,0
surge,0,0
surplus,0,0
suspect,0,0
suspicion,0,0
swarm,0,0
swirl,0,0
symptom,0,0
taboo,0,0
tack,0,0
tact,0,0
talon,0,0
tan,0,0
tang,0,0
tar,0,0
teal,0,0
television,0,0
tempo,0,0
tense,0,0
tesla,0,0
therapy,0,0
thrive,0,0
tick,0,0
tickle,0,0
toil,0,0
tolerate,0,0
toll,0,0
tornado,0,0
torso,0,0
tour,0,0
tract,0,0
traffic,0,0
trajectory,0,0
trance,0,0
transit,0,0
transition,0,0
transmit,0,0
trauma,0,0
trespass,0,0
tropical,0,0
truce,0,0
trunk,0,0
tuck,0,0
tug,0,0
turkey,0,0
turtle,0,0
ugh,0,0
ugly,0,0
uh,0,0
ulcer,0,0
ultimate,0,0
um,0,0
undergo,0,0
undo,0,0
utter,0,0
vacuum,0,0
valve,0,0
vast,0,0
vector,0,0
venture,0,0
vice,0,0
virtue,0,0
volt,0,0
voluntary,0,0
voyage,0,0
vulnerable,0,0
wagon,0,0
ward,0,0
warp,0,0
weed,0,0
weep,0,0
weld,0,0
welfare,0,0
whiff,0,0
whip,0,0
whoa,0,0
wicked,0,0
wink,0,0
wit,0,0
wound,0,0
wow,0,0
wreck,0,0
x,0,0
y,0,0
yay,0,0
yearn,0,0
yeast,0,0
yuck,0,0
yum,0,0
z,0,0
zap,0,0
