term,parts,where,kind
chive,"thin + onion + herb",plant,proposal
chlorine,"green + atom",atom,proposal
chloroform,"sleep + vapor",drug,proposal
cholecystitis,"gall + bladder + swell",judged,verdict
cholesterol,"bile + sterol",judged,verdict
choline,"bile + amine",judged,verdict
chromatin,"colour + thread",judged,verdict
chromatography,"colour + write + craft",judged,verdict
chrome,"shine + metal",judged,verdict
chromium,"color + atom",atom,proposal
chrysanthemum,"many + petal + flower",flower,proposal
cigar,"roll + tobacco",judged,verdict
cilantro,"sharp + smell + herb",plant,proposal
cilium,"cell + hair",judged,verdict
cinnamon,"name + bark",judged,verdict
ciprofloxacin,"bacteria + kill + drug",drug,proposal
cirrhosis,"liver + scar",judged,verdict
clavicle,"collar + bone",judged,verdict
cleft,"split + gap",judged,verdict
clergy,"priest + body",judged,verdict
cloak,"loose + coat",judged,verdict
clover,"three + leaf + grass",plant,proposal
coach,"road + carriage",judged,verdict
coal,"char + stone",rock,proposal
cobalt,"ring + atom",atom,proposal
cocaine,"leaf + drug",judged,verdict
cochlea,"ear + spiral",judged,verdict
cocktail,"mixed + drink",judged,verdict
cocoa,"chocolate + seed",plant,proposal
codeine,"pain + cough + drug",drug,proposal
coffee,"bitter + seed + drink",plant,proposal
coke,"burn + coal",judged,verdict
colitis,"gut + swell",judged,verdict
collagen,"fibre + protein",judged,verdict
colloid,"fine + hang + matter",judged,verdict
columbine,"hang + bell + flower",flower,proposal
coma,"deep + sleep",judged,verdict
commerce,"goods + trade",judged,verdict
commissure,"join + band",judged,verdict
commonwealth,"common + wealth",judged,verdict
commune,"share + village",judged,verdict
conglomerate,"round + bit",rock,proposal
conjunctiva,"join + eye + film",judged,verdict
conjunctivitis,"eye + skin + swell",judged,verdict
constipation,"bound + gut",judged,verdict
contracture,"muscle + shorten",judged,verdict
contusion,"deep + bruise",judged,verdict
cookie,"small + sweet + cake",judged,verdict
copernicium,"center + atom",atom,proposal
copolymer,"two + kind + polymer",judged,verdict
corn,"tall + grain + plant",plant,proposal
cornea,"horn + eye + coat",judged,verdict
corona,"light + ring",judged,verdict
coronavirus,"crown + virus",judged,verdict
corporation,"trade + body",judged,verdict
corpuscle,"small + body",judged,verdict
cortex,"outer + layer",judged,verdict
cortisol,"stress + hormone",drug,proposal
cosmos,"flat + round + flower",flower,proposal
costume,"play + dress",judged,verdict
cotton,"soft + fiber + plant",plant,proposal
cottonwood,"cotton + seed + tree",tree,proposal
crisis,"turn + point",judged,verdict
crocus,"early + cup + flower",flower,proposal
cucumber,"cool + water + fruit",plant,proposal
cuff,"wrist + band",judged,verdict
curium,"cheer + atom",atom,proposal
cusp,"point + edge",judged,verdict
cyanide,"blue + compound",judged,verdict
cyanobacteria,"blue + green + germ",judged,verdict
cypress,"silk + conifer",tree,proposal
cysteine,"sulfur + amino + acid",judged,verdict
cystitis,"bladder + swell",judged,verdict
cytidine,"cytosine + sugar",judged,verdict
cytology,"cell + study",judged,verdict
cytotoxicity,"cell + poison + ness",judged,verdict
daffodil,"yellow + trumpet + flower",flower,proposal
dahlia,"round + many + flower",flower,proposal
dairy,"milk + house",judged,verdict
daisy,"chick + flower",flower,proposal
dandelion,"lion + tooth",plant,proposal
darmstadtium,"birth + atom",atom,proposal
decarboxylase,"carbon + strip + enzyme",judged,verdict
dehydratase,"water + strip + enzyme",judged,verdict
dehydrogenase,"hydrogen + strip + enzyme",judged,verdict
delphinium,"tall + blue + flower",flower,proposal
dementia,"mind + loss",judged,verdict
den,"beast + home",judged,verdict
dentistry,"tooth + craft",judged,verdict
dentition,"tooth + set",judged,verdict
deoxyadenosine,"no + oxygen + adenosine",judged,verdict
dermatitis,"skin + inflammation",judged,verdict
dermis,"skin + layer",judged,verdict
dextromethorphan,"cough + block + drug",drug,proposal
diabetes,"sugar + waste + sickness",judged,verdict
diarrhea,"loose + stool",judged,verdict
diazepam,"calm + sleep + drug",drug,proposal
dichloride,"two + chlorine + salt",judged,verdict
diencephalon,"between + brain",judged,verdict
diesel,"heavy + fuel",judged,verdict
dill,"feather + herb",plant,proposal
dinucleotide,"two + nucleotide",judged,verdict
diol,"two + alcohol",judged,verdict
diorite,"gray + grain",rock,proposal
dioxide,"two + oxide",judged,verdict
diphenhydramine,"allergy + sleep + drug",drug,proposal
diphosphate,"two + phosphate",judged,verdict
dismutase,"split + swap + enzyme",judged,verdict
disulfide,"two + sulfur + bond",judged,verdict
diverticulum,"gut + pouch",judged,verdict
dogwood,"white + flower + tree",tree,proposal
dopamine,"reward + drive + signal",drug,proposal
dope,"dull + drug",judged,verdict
drone,"male + bee",judged,verdict
dubnium,"race + atom",atom,proposal
duodenum,"twelve + gut",judged,verdict
dwarfism,"dwarf + state",judged,verdict
dysfunction,"bad + work",judged,verdict
dysgenesis,"bad + growth",judged,verdict
dysplasia,"bad + growth",judged,verdict
dystrophy,"bad + feed",judged,verdict
ebony,"black + wood + tree",tree,proposal
ectoderm,"outer + skin",judged,verdict
edelweiss,"white + mountain + flower",flower,proposal
edema,"water + swell",judged,verdict
eggplant,"purple + fruit",judged,verdict
einsteinium,"smart + atom",atom,proposal
electrostatic,"electric + static",judged,verdict
elm,"wing + seed + tree",tree,proposal
embankment,"bank + wall",judged,verdict
embolism,"clot + block",judged,verdict
emphysema,"lung + air + swell",judged,verdict
emulsion,"fine + mix",judged,verdict
enamel,"tooth + glaze",judged,verdict
encephalopathy,"brain + disease",judged,verdict
encounter,"in + counter",judged,verdict
endocarditis,"inner + heart + swell",judged,verdict
endocardium,"inner + heart + lining",judged,verdict
endoderm,"inner + skin",judged,verdict
endometrium,"inside + womb + lining",judged,verdict
endorphin,"inner + pain + drug",judged,verdict
endothelium,"inside + lining",judged,verdict
enterprise,"between + take",judged,verdict
eosinophilia,"white + cell + excess",judged,verdict
epidemiology,"spread + sickness + study",judged,verdict
epidermis,"upon + skin",judged,verdict
epididymis,"upon + testis",judged,verdict
epiglottis,"over + throat + flap",judged,verdict
epilepsy,"seize + sickness",judged,verdict
epinephrine,"alert + heart + hormone",drug,proposal
epiphysis,"bone + end",judged,verdict
epithelium,"cover + tissue",judged,verdict
epoxide,"oxygen + ring",judged,verdict
erbium,"glass + atom",atom,proposal
erythema,"red + skin",judged,verdict
erythroblast,"red + blood + bud",judged,verdict
erythrocyte,"red + blood + cell",judged,verdict
esophagus,"gullet + tube",judged,verdict
estate,"hold + land",judged,verdict
ester,"acid + alcohol + join",judged,verdict
estradiol,"estrus + two + alcohol",judged,verdict
estrogen,"female + sex + hormone",drug,proposal
ethanol,"two + carbon + alcohol",judged,verdict
ether,"sleep + vapor",drug,proposal
ethyl,"two + carbon + group",judged,verdict
etiology,"cause + study",judged,verdict
eucalyptus,"smell + oil + tree",tree,proposal
europium,"screen + atom",atom,proposal
excision,"cut + out",judged,verdict
exocrine,"out + secrete",judged,verdict
eyeball,"eye + ball",judged,verdict
fascia,"sheet + tissue",judged,verdict
femur,"thigh + bone",judged,verdict
fennel,"name + herb",judged,verdict
fentanyl,"extreme + pain + drug",drug,proposal
fermium,"rare + atom",atom,proposal
fern,"sheep + tooth",plant,proposal
fibrillation,"quiver + beat",judged,verdict
fibroblast,"fibre + cell",judged,verdict
fibroma,"fibre + growth",judged,verdict
fibrosis,"fibre + growth",judged,verdict
fibula,"side + leg + bone",judged,verdict
fir,"flat + conifer",tree,proposal
fistula,"wrong + passage",judged,verdict
flank,"body + side",judged,verdict
flask,"narrow + neck + bottle",judged,verdict
flax,"fiber + seed + plant",plant,proposal
fleece,"wool + coat",judged,verdict
flerovium,"cloud + atom",atom,proposal
flint,"fire + strike + stone",rock,proposal
fluorine,"tooth + atom",atom,proposal
fluorouracil,"fluorine + uracil",judged,verdict
fluoxetine,"mood + lift + drug",drug,proposal
follicle,"small + sac",judged,verdict
fontanelle,"skull + soft + spot",judged,verdict
football,"foot + ball",judged,verdict
foramen,"bone + hole",judged,verdict
forebrain,"fore + brain",judged,verdict
forget-me-not,"small + blue + flower",flower,proposal
fossa,"bone + hollow",judged,verdict
foster,"raise + care",judged,verdict
foxglove,"finger + bell + flower",flower,proposal
francium,"loose + atom",atom,proposal
freesia,"sweet + smell + flower",flower,proposal
freshwater,"fresh + water",judged,verdict
gabbro,"dark + grain",rock,proposal
gadolinium,"seek + atom",atom,proposal
galactose,"milk + sugar",judged,verdict
gallbladder,"gall + bladder",judged,verdict
gallium,"bird + atom",atom,proposal
ganglion,"nerve + knot",judged,verdict
gangrene,"dead + flesh",judged,verdict
garbage,"throw + waste",judged,verdict
gardenia,"white + smell + flower",flower,proposal
garland,"flower + ring",judged,verdict
garlic,"strong + smell + bulb",judged,verdict
gastritis,"stomach + swell",judged,verdict
gelatin,"bone + jelly",judged,verdict
genre,"art + kind",judged,verdict
geography,"earth + writing",judged,verdict
geranium,"round + leaf + flower",flower,proposal
germanium,"cave + atom",atom,proposal
ginger,"hot + root",judged,verdict
girdle,"waist + band",judged,verdict
gladiolus,"sword + leaf + flower",flower,proposal
glaucoma,"eye + press + sickness",judged,verdict
glioblastoma,"glue + cell + cancer",judged,verdict
glioma,"glue + cell + cancer",judged,verdict
globulin,"ball + protein",judged,verdict
glomerulus,"kidney + vessel + ball",judged,verdict
glucan,"sugar + chain",judged,verdict
glucosamine,"glucose + amine",judged,verdict
glucose,"grape + sugar",judged,verdict
glutamine,"amino + acid",judged,verdict
glutathione,"three + amino + acid",judged,verdict
glycerol,"sweet + alcohol",judged,verdict
glycine,"sweet + acid",judged,verdict
glycoprotein,"sugar + protein",judged,verdict
gneiss,"band + press",rock,proposal
gold,"king + atom",atom,proposal
goldenrod,"gold + stalk + flower",flower,proposal
gonadotropin,"gonad + turn + toward",judged,verdict
gouge,"scoop + chisel",judged,verdict
gourd,"hard + shell + fruit",plant,proposal
granite,"flower + grain",rock,proposal
granuloma,"grain + growth",judged,verdict
grape,"vine + berry",plant,proposal
grapefruit,"bitter + round + fruit",tree,proposal
greenhouse,"green + house",judged,verdict
greywacke,"mud + sand",rock,proposal
guanosine,"guanine + sugar",judged,verdict
guidelines,"guide + line",judged,verdict
gum tree,"gum + sap + tree",tree,proposal
gutter,"water + channel",judged,verdict
gyrus,"brain + fold",judged,verdict
hack,"rough + cut",judged,verdict
hafnium,"tool + atom",atom,proposal
hallux,"big + toe",judged,verdict
hamartoma,"wrong + tissue + growth",judged,verdict
harlequin,"patch + pattern",judged,verdict
harness,"strap + gear",judged,verdict
hassium,"fresh + atom",atom,proposal
hawthorn,"thorn + berry + tree",tree,proposal
headache,"head + ache",judged,verdict
headgear,"head + gear",judged,verdict
heather,"small + purple + shrub",plant,proposal
hedge,"plant + wall",judged,verdict
helium,"sun + atom",atom,proposal
helmet,"head + guard",judged,verdict
hemangioma,"blood + vessel + growth",judged,verdict
hemlock,"droop + conifer",tree,proposal
hemoglobin,"blood + protein",judged,verdict
hemorrhage,"blood + burst",judged,verdict
hemp,"strong + fiber + plant",plant,proposal
heparin,"blood + clot + block",judged,verdict
hepatitis,"liver + inflammation",judged,verdict
hernia,"push + through",judged,verdict
heroin,"strong + pleasure + drug",drug,proposal
hibiscus,"large + trumpet + flower",flower,proposal
hickory,"hard + nut + tree",judged,verdict
histidine,"amino + acid",judged,verdict
holly,"sharp + leaf + tree",tree,proposal
hollyhock,"tall + flower + stalk",flower,proposal
holmium,"permeate + atom",atom,proposal
honeycomb,"honey + comb",judged,verdict
honeysuckle,"sweet + vine + flower",flower,proposal
hoop,"stiff + ring",judged,verdict
horse chestnut,"big + chestnut + tree",tree,proposal
horseshoe,"horse + shoe",judged,verdict
humerus,"upper + arm + bone",judged,verdict
husbandry,"farm + craft",judged,verdict
hyacinth,"dense + bell + flower",flower,proposal
hydrangea,"ball + flower",flower,proposal
hydrocarbon,"hydrogen + carbon",judged,verdict
hydrocephalus,"water + head",judged,verdict
hydrochloride,"hydrogen + chlorine + salt",judged,verdict
hydrocortisone,"skin + swell + hormone",drug,proposal
hydrolase,"water + split + enzyme",judged,verdict
hydroxyproline,"hydroxyl + proline",judged,verdict
hygiene,"clean + craft",judged,verdict
hyperplasia,"over + growth",judged,verdict
hypertension,"high + blood + press",judged,verdict
hypoplasia,"under + growth",judged,verdict
hypotension,"low + blood + press",judged,verdict
hypothalamus,"under + thalamus",judged,verdict
hypothyroidism,"low + thyroid + state",judged,verdict
hypoxia,"under + oxygen",judged,verdict
ibuprofen,"pain + swell + drug",drug,proposal
idiopathic,"no + known + cause",judged,verdict
ileum,"twist + gut",judged,verdict
imidazole,"nitrogen + ring",judged,verdict
immunoglobulin,"immune + protein",judged,verdict
implant,"in + set",judged,verdict
indigo,"deep + blue",judged,verdict
indium,"ghost + atom",atom,proposal
indole,"nitrogen + double + ring",judged,verdict
infant,"young + person",judged,verdict
infarction,"dead + tissue + block",judged,verdict
inflorescence,"flower + cluster",judged,verdict
infrared,"below + red",judged,verdict
inositol,"ring + alcohol",judged,verdict
institute,"found + body",judged,verdict
insulin,"sugar + hormone",judged,verdict
interaction,"between + action",judged,verdict
intercourse,"sex + act",judged,verdict
international,"between + nation",judged,verdict
intervertebral,"between + vertebra + of",judged,verdict
intravenous,"within + vein + of",judged,verdict
iodine,"stain + atom",atom,proposal
iridium,"arch + atom",atom,proposal
iris,"rainbow + flower",flower,proposal
ironwood,"iron + hard + wood",tree,proposal
isle,"small + island",judged,verdict
isomerase,"isomer + enzyme",judged,verdict
ivory,"tooth + bone",judged,verdict
ivy,"cling + vine",plant,proposal
jasmine,"night + smell + flower",flower,proposal
jazz,"swing + music",judged,verdict
jejunum,"empty + gut",judged,verdict
jewelweed,"bright + wet + flower",flower,proposal
joshua tree,"branch + yucca + tree",tree,proposal
juniper,"berry + conifer",tree,proposal
jurisprudence,"law + study",judged,verdict
kale,"curl + leaf + plant",plant,proposal
kapok,"soft + fiber + tree",tree,proposal
keratinocyte,"horn + cell",judged,verdict
keratitis,"cornea + swell",judged,verdict
keratosis,"horn + skin + state",judged,verdict
ketamine,"detach + anesthetic + drug",drug,proposal
ketone,"carbon + oxygen + group",judged,verdict
kinase,"phosphate + enzyme",judged,verdict
kitchen,"cook + room",judged,verdict
kite,"fly + sail",judged,verdict
krypton,"hidden + atom",atom,proposal
labyrinth,"maze + of + ear",judged,verdict
lace,"hole + cloth",judged,verdict
lactone,"ring + ester",judged,verdict
lamina,"thin + plate",judged,verdict
lane,"narrow + road",judged,verdict
lantern,"carry + lamp",judged,verdict
lanthanum,"air + atom",atom,proposal
larch,"fall + conifer",tree,proposal
laser,"thin + light + beam",judged,verdict
laterite,"iron + soil",rock,proposal
latex,"milk + sap",judged,verdict
lavender,"calm + smell + flower",flower,proposal
lawn,"cut + grass",judged,verdict
lawrencium,"open + atom",atom,proposal
league,"join + group",judged,verdict
lectin,"sugar + bind + protein",judged,verdict
lee,"shelter + side",judged,verdict
leek,"long + onion + plant",plant,proposal
leiomyoma,"smooth + muscle + growth",judged,verdict
leiomyosarcoma,"smooth + muscle + cancer",judged,verdict
lentil,"flat + seed",plant,proposal
lettuce,"soft + leaf + plant",plant,proposal
leucine,"amino + acid",judged,verdict
leukocyte,"white + cell",judged,verdict
lidocaine,"numb + pain + drug",drug,proposal
ligament,"bind + tissue",judged,verdict
ligand,"bind + thing",judged,verdict
ligase,"join + enzyme",judged,verdict
lilac,"spring + cluster + flower",flower,proposal
lily,"hundred + join + flower",flower,proposal
limestone,"lime + stone",rock,proposal
linden,"heart + leaf + tree",tree,proposal
ling,"thin + fish",judged,verdict
linguistics,"speech + study",judged,verdict
lipase,"fat + enzyme",judged,verdict
lipoma,"fat + growth",judged,verdict
lipoprotein,"fat + protein",judged,verdict
liposarcoma,"fat + flesh + cancer",judged,verdict
lithium,"rock + atom",judged,verdict
litter,"scatter + waste",judged,verdict
livermorium,"host + atom",atom,proposal
locomotive,"rail + engine",judged,verdict
locust,"thorn + pod + tree",tree,proposal
loratadine,"allergy + block + drug",drug,proposal
lotus,"water + flower",flower,proposal
lumber,"cut + wood",judged,verdict
lupine,"tall + spike + flower",flower,proposal
lutetium,"swamp + atom",atom,proposal
lyase,"split + enzyme",judged,verdict
lymph,"clear + body + water",judged,verdict
lymphadenitis,"lymph + gland + swell",judged,verdict
lymphocyte,"lymph + cell",judged,verdict
lymphoma,"lymph + cancer",judged,verdict
lysine,"amino + acid",judged,verdict
macrophage,"big + eat + cell",judged,verdict
magnesium,"ancient + atom",atom,proposal
magnolia,"big + flower + tree",tree,proposal
magnolia flower,"big + white + flower",flower,proposal
mahogany,"red + wood + tree",tree,proposal
maiden,"young + unwed + woman",judged,verdict
malformation,"bad + shape",judged,verdict
mallet,"wood + hammer",judged,verdict
manganese,"resist + atom",atom,proposal
mannose,"manna + sugar",judged,verdict
manure,"field + dung",judged,verdict
maple,"frog + hand",tree,proposal
marathon,"long + race",judged,verdict
marble,"flower + stone",rock,proposal
mare,"female + horse",judged,verdict
marigold,"gold + flower",flower,proposal
maroon,"dark + red",judged,verdict
meatus,"body + passage",judged,verdict
medal,"honour + disc",judged,verdict
mediastinum,"chest + middle + space",judged,verdict
medulla,"inner + part",judged,verdict
meitnerium,"merge + atom",atom,proposal
melanocyte,"black + cell",judged,verdict
melanoma,"black + cancer",judged,verdict
melatonin,"sleep + hormone",drug,proposal
melon,"sweet + water + fruit",plant,proposal
mendelevium,"lead + atom",atom,proposal
meninges,"brain + skin",judged,verdict
meningioma,"brain + skin + growth",judged,verdict
meningitis,"brain + skin + swell",judged,verdict
menthol,"cool + smell + compound",drug,proposal
mercury,"liquid + atom",atom,proposal
mesenchyme,"middle + tissue",judged,verdict
mesentery,"gut + fold + sheet",judged,verdict
mesoderm,"middle + skin",judged,verdict
mesothelioma,"lining + tissue + cancer",judged,verdict
mesquite,"dry + thorn + tree",tree,proposal
metacarpal,"beyond + wrist + bone",judged,verdict
metatarsal,"beyond + ankle + bone",judged,verdict
metformin,"blood + sugar + lower",drug,proposal
methacrylate,"methyl + acrylate",judged,verdict
methamphetamine,"strong + energy + drug",drug,proposal
methane,"one + carbon + gas",judged,verdict
methanol,"one + carbon + alcohol",judged,verdict
methionine,"sulfur + amino + acid",judged,verdict
methyl,"one + carbon + group",judged,verdict
methylphenidate,"attention + drug",drug,proposal
microbiology,"small + life + study",judged,verdict
microscopy,"small + view + craft",judged,verdict
midbrain,"middle + brain",judged,verdict
milkweed,"milk + sap + flower",flower,proposal
mill,"grind + house",judged,verdict
millet,"small + grain",plant,proposal
mint,"cool + smell + leaf",plant,proposal
mistletoe,"tree + parasite + plant",plant,proposal
molybdenum,"dark + atom",atom,proposal
monocyte,"single + white + cell",judged,verdict
monohydrate,"one + water + salt",judged,verdict
monooxygenase,"one + oxygen + enzyme",judged,verdict
monophosphate,"one + phosphate",judged,verdict
monoxide,"one + oxide",judged,verdict
moor,"open + high + land",judged,verdict
mop,"wash + tool",judged,verdict
morning glory,"morning + vine + flower",flower,proposal
morphine,"strong + pain + drug",drug,proposal
morphogenesis,"shape + making",judged,verdict
mortar,"stone + paste",judged,verdict
mosaic,"piece + picture",judged,verdict
moscovium,"heart + atom",atom,proposal
moss,"soft + ground + plant",plant,proposal
motif,"repeat + figure",judged,verdict
mudstone,"mud + stone",rock,proposal
mulberry,"many + berry + tree",tree,proposal
musk,"deer + scent",judged,verdict
mustard,"name + seed",judged,verdict
mycoplasma,"fungus + like + germ",judged,verdict
myeloma,"marrow + cancer",judged,verdict
myocarditis,"heart + muscle + swell",judged,verdict
myocardium,"heart + muscle",judged,verdict
myopathy,"muscle + disease",judged,verdict
myositis,"muscle + swell",judged,verdict
myxoma,"slime + growth",judged,verdict
naloxone,"pain + drug + block",drug,proposal
naproxen,"long + pain + drug",drug,proposal
nasopharynx,"nose + throat",judged,verdict
neodymium,"magnet + atom",atom,proposal
neon,"tube + atom",atom,proposal
neonatal,"new + born + of",judged,verdict
neoplasia,"new + growth",judged,verdict
neoplasm,"new + growth",judged,verdict
nephritis,"kidney + swell",judged,verdict
nephron,"kidney + unit",judged,verdict
nephropathy,"kidney + disease",judged,verdict
neptunium,"wash + atom",atom,proposal
nettle,"sting + leaf + plant",plant,proposal
neuritis,"nerve + swell",judged,verdict
neuroblastoma,"nerve + bud + cancer",judged,verdict
