term,parts,where,kind
cash,"hand + money",sense,verdict
cashew,"bend + nut",sense,verdict
casket,"death + box",sense,verdict
catalyst,"react + speed + thing",sense,verdict
catalytic,"catalyst + of",judged,verdict
catchy,"catch + like",affix,verdict
catfish,"whisker + fish",sense,verdict
cation,"positive + ion",sense,verdict
caudal,"tail + of",judged,verdict
caulk,"seal + paste",sense,verdict
caustic,"harsh + cut + criticize",sense,verdict
cavern,"big + cave",sense,verdict
cavity,"cave + nature",affix,verdict
caw,"crow + call",sense,verdict
cedar,"red + pine",sense,verdict
celebration,"celebrate + act",affix,verdict
celestial,"sky + of",judged,verdict
cellular,"cell + of",judged,verdict
cemetery,"bury + place",sense,verdict
census,"count + all + population",sense,verdict
cent,"hundred + part + coin",sense,verdict
centaur,"human + horse + body + join",sense,verdict
centimeter,"hundred + part + meter",sense,verdict
centipede,"many + foot + worm",sense,verdict
centrality,"network + center + degree",sense,verdict
centralize,"central + make",affix,verdict
centralized,"centralize + done",affix,verdict
cephalopod,"head + foot + mollusk",sense,verdict
cerebral,"brain + of",judged,verdict
ceremonial,"ceremony + of",judged,verdict
certification,"certify + act",judged,verdict
cervical,"neck + of",judged,verdict
championship,"champion + ness",judged,verdict
charcoal,"char + coal",compound,verdict
charismatic,"charm + social + power",sense,verdict
charity,"char + nature",affix,verdict
charlatan,"false + skill + agent",sense,verdict
chat,"light + talk",sense,verdict
checkpoint,"check + place",sense,verdict
cheerful,"cheer + full",affix,verdict
cheetah,"fast + wild + cat",sense,verdict
chela,"grasp + claw",sense,verdict
chemical,"molecule + like",sense,verdict
chemistry,"molecule + study",sense,verdict
chicken,"chick + make",affix,verdict
chickpea,"round + pea",sense,verdict
childhood,"child + hood",compound,verdict
chili,"hot + pepper",sense,verdict
chimney,"smoke + pipe",sense,verdict
chirp,"bird + beep",sense,verdict
chive,"small + onion",sense,verdict
chloride,"chlorine + compound",judged,verdict
chloroplast,"green + organelle",sense,verdict
choice,"choose + act",sense,verdict
chorionic,"chorion + of",judged,verdict
chromatic,"colour + of",judged,verdict
chromosome,"gene + thread",sense,verdict
chuckle,"small + laugh",sense,verdict
church,"worship + building",sense,verdict
cicada,"sing + bug",sense,verdict
cinema,"move + picture + house",sense,verdict
circular,"circle + like",sense,verdict
circulation,"circulate + act",judged,verdict
circumference,"around + line",sense,verdict
cirrus,"hair + cloud",sense,verdict
cistern,"water + hold + pit",sense,verdict
citadel,"high + fortress",sense,verdict
citrate,"citric + salt",judged,verdict
civic,"city + of",judged,verdict
civilization,"civil + act",affix,verdict
civilize,"civil + make",affix,verdict
clade,"ancestor + all + descendant",sense,verdict
clarify,"clear + make",sense,verdict
clarity,"clear + state",sense,verdict
classic,"class + like",affix,verdict
classify,"class + make",affix,verdict
classroom,"teach + room",sense,verdict
clearance,"clear + act",judged,verdict
cleavage,"cleave + act",judged,verdict
clinic,"small + hospital",sense,verdict
cloaca,"shared + body + opening",sense,verdict
clockwise,"clock + oriented",sense,verdict
clog,"accumulate + channel + block",sense,verdict
closed,"close + done",affix,verdict
closer,"close + agent",affix,verdict
clothes,"cloth + many",affix,verdict
clothing,"cloth + act",affix,verdict
cloudy,"cloud + like",affix,verdict
clover,"three + leaf + grass",sense,verdict
cluck,"hen + call",sense,verdict
coagulation,"coagulate + act",judged,verdict
coal,"burn + rock",sense,verdict
cobble,"round + rock + piece",sense,verdict
cockroach,"flat + bug",sense,verdict
coconut,"palm + nut",sense,verdict
cocoon,"silk + shell",sense,verdict
coefficient,"together + do + thing",judged,verdict
coexist,"together + exist",sense,verdict
coffin,"death + box",sense,verdict
cognate,"same + origin",sense,verdict
cohere,"same + stick",sense,verdict
coincidence,"coincide + act",affix,verdict
collateral,"side + of",judged,verdict
collection,"collect + act",affix,verdict
collective,"collect + like",affix,verdict
collision,"collide + act",sense,verdict
colonial,"colony + like",sense,verdict
colonize,"colon + make",affix,verdict
colorful,"color + full",affix,verdict
coloured,"colour + done",judged,verdict
columnar,"column + of",judged,verdict
combination,"combine + act",affix,verdict
combust,"burn",sense,verdict
combustion,"burn + act",sense,verdict
comet,"tail + star",sense,verdict
comfortable,"comfort + able",compound,verdict
commensalism,"one + benefit + relation",sense,verdict
comment,"come + act",affix,verdict
commercial,"commerce + of",judged,verdict
commission,"commit + act",judged,verdict
commitment,"commit + act",affix,verdict
committee,"commit + target",affix,verdict
communication,"communicate + act",affix,verdict
communion,"commune + act",judged,verdict
commute,"swap + same",sense,verdict
companion,"company + person",sense,verdict
compensate,"pay + back",sense,verdict
compensation,"compensate + act",judged,verdict
competition,"compete + act",affix,verdict
completely,"complete + manner",affix,verdict
compliance,"comply + act",judged,verdict
complication,"complicate + act",judged,verdict
composition,"compose + act",judged,verdict
compression,"compress + act",affix,verdict
compromise,"middle + agree",sense,verdict
compulsive,"compel + like",judged,verdict
concave,"in + curve",sense,verdict
concede,"give + point",sense,verdict
conceited,"self + opinion + high",sense,verdict
concentration,"concentrate + act",judged,verdict
conception,"conceive + act",sense,verdict
conclusion,"conclude + act",sense,verdict
concord,"together + heart",judged,verdict
concurrent,"same + time + run",sense,verdict
condensation,"condense + act",judged,verdict
condescending,"express + superior + toward + other",sense,verdict
conditional,"condition + like",affix,verdict
conditional probability,"probability + condition",sense,verdict
conditioner,"condition + agent",judged,verdict
conduction,"conduct + act",judged,verdict
conductive,"conduct + like",affix,verdict
conductivity,"conduct + ability",sense,verdict
conductor,"conduct + agent",affix,verdict
confederate,"together + federate",judged,verdict
conference,"confer + act",judged,verdict
confidence,"confident + nature",sense,verdict
confidence interval,"estimate + uncertainty + range",sense,verdict
confiscate,"law + take",sense,verdict
confluence,"river + join",sense,verdict
confusion,"confuse + act",sense,verdict
congenital,"with + born + of",judged,verdict
conglomerate,"pebble + rock",sense,verdict
congruence,"same + shape",sense,verdict
conjecture,"guess + claim",sense,verdict
conjugate,"together + yoke",judged,verdict
conjunction,"join + term",sense,verdict
connected,"connect + done",affix,verdict
connection,"connect + act",affix,verdict
connective,"connect + like",judged,verdict
connector,"connect + agent",affix,verdict
conscience,"conscious + act",affix,verdict
conscientious,"careful + duty + follow",sense,verdict
consciousness,"conscious + nature",affix,verdict
consecutive,"follow + order",sense,verdict
consensus,"all + agree",sense,verdict
conservation,"conserve + act",affix,verdict
consistent,"consist + agent",affix,verdict
consolidation,"consolidate + act",judged,verdict
consonant,"close + sound",sense,verdict
constituent,"constitute + agent",affix,verdict
constitution,"constitute + act",judged,verdict
construction,"construct + act",affix,verdict
consulate,"nation + speak + place",sense,verdict
consumer,"consume + agent",judged,verdict
consumption,"consume + act",judged,verdict
container,"contain + agent",affix,verdict
contamination,"contaminate + act",judged,verdict
contingency plan,"plan + alternative + condition",sense,verdict
contingent,"depend + like",sense,verdict
continuity,"continue + nature",affix,verdict
continuous,"continue + like",affix,verdict
contraceptive,"against + conceive + like",judged,verdict
contraction,"contract + act",affix,verdict
contradiction,"against + say",sense,verdict
convection,"heat + flow + carry",sense,verdict
convention,"custom + agree",sense,verdict
conversion,"convert + act",judged,verdict
convex,"out + curve",sense,verdict
convolution,"convolute + act",sense,verdict
cooked,"cook + done",affix,verdict
cooperate,"with + operate",prefix,verdict
cooperation,"cooperate + act",sense,verdict
cooperative,"cooperate + like",judged,verdict
coordination,"coordinate + act",judged,verdict
coping,"cope + act",judged,verdict
coriander,"cilantro + seed",sense,verdict
corneal,"cornea + of",judged,verdict
corollary,"follow + claim",sense,verdict
coronary,"crown + of",judged,verdict
corporate,"body + of",judged,verdict
correction,"correct + act",judged,verdict
correlated,"correlate + done",affix,verdict
correlation,"correlate + act",judged,verdict
correspondence,"correspond + act",judged,verdict
corroborate,"more + support",sense,verdict
cosmetic,"order + of",judged,verdict
cough,"with + ugh",prefix,verdict
could,"grammar",grammar,verdict
counter,"count + agent",affix,verdict
counterargument,"against + argument",sense,verdict
counterclockwise,"against + clock + oriented",sense,verdict
counterexample,"against + example",sense,verdict
counterfactual,"not + fact",sense,verdict
courthouse,"judge + building",sense,verdict
covalent,"share + bond",sense,verdict
cove,"small + bay",sense,verdict
coverage,"cover + ness",judged,verdict
covering,"cove + ring",compound,verdict
cowardly,"coward + manner",affix,verdict
cranberry,"sour + berry",sense,verdict
cranial,"cranium + of",judged,verdict
crass,"coarse + rude",sense,verdict
crayfish,"river + lobster",sense,verdict
creation,"create + act",affix,verdict
creative,"create + like",affix,verdict
credible,"believe + able",sense,verdict
credulous,"believe + too + ready",sense,verdict
crepuscular,"dusk + active",sense,verdict
cricket,"bat + ball + wicket + sport",sense,verdict
criminal,"crime + of",judged,verdict
critical,"critic + of",judged,verdict
criticize,"critic + make",affix,verdict
croak,"frog + call",sense,verdict
crop,"store + stomach",sense,verdict
crown,"king + ring",sense,verdict
crystalline,"crystal + like",sense,verdict
cuboid,"cube + like",judged,verdict
cultivation,"cultivate + act",judged,verdict
cumulus,"heap + cloud",sense,verdict
curvature,"curve + ness",judged,verdict
curved,"curve + done",affix,verdict
customer,"buy + agent",sense,verdict
cutaneous,"skin + of",judged,verdict
cutter,"cut + agent",judged,verdict
cuttlefish,"bone + octopus",sense,verdict
cylindrical,"cylinder + of",judged,verdict
cytoplasm,"cell + fluid",sense,verdict
dab,"the light form of tap",judged,verdict
daily,"day + like",judged,verdict
daisy,"sun + flower",sense,verdict
dampen,"quiet + make",sense,verdict
dangerous,"danger + like",affix,verdict
darkness,"dark + nature",affix,verdict
database,"data + base",compound,verdict
deactivate,"not + active + make",sense,verdict
deadline,"dead + line",compound,verdict
deadpan,"humor + face + flat",sense,verdict
deafness,"deaf + ness",judged,verdict
debit,"owe + record",sense,verdict
debug,"error + fix",sense,verdict
deception,"deceive + act",sense,verdict
deciduous,"leaf + shed + year",sense,verdict
decision,"decide + act",sense,verdict
declaration,"declare + act",affix,verdict
decoration,"decorate + act",affix,verdict
decouple,"not + couple",sense,verdict
decrypt,"secret + open",sense,verdict
deduction,"deduce + act",affix,verdict
defeated,"defeat + done",affix,verdict
defer,"defy + agent",affix,verdict
deficiency,"deficient + ness",judged,verdict
definition,"define + act",affix,verdict
deformity,"deform + ness",judged,verdict
degeneration,"degenerate + act",judged,verdict
degradation,"degrade + act",judged,verdict
delayed,"delay + done",affix,verdict
deletion,"delete + act",judged,verdict
delinquent,"young + crime + agent",sense,verdict
delivery,"deliver + like",affix,verdict
delta,"river + mouth + land",sense,verdict
demean,"dignity + lower",sense,verdict
democratic,"democracy + of",judged,verdict
denim,"blue + cloth",sense,verdict
density,"dense + nature",affix,verdict
department,"depart + act",affix,verdict
dependence,"depend + ness",judged,verdict
dependent,"depend + agent",affix,verdict
depletion,"deplete + act",judged,verdict
deposit,"put + in",sense,verdict
deposition,"deposit + act",judged,verdict
depressed,"depress + done",judged,verdict
deprivation,"deprive + act",judged,verdict
depth,"deep + measure",sense,verdict
dequeue,"queue + take",sense,verdict
deride,"ridicule",sense,verdict
derivation,"derive + act",affix,verdict
derivative,"change + rate",sense,verdict
derived,"derive + done",affix,verdict
descendant,"after + kin",sense,verdict
descending,"descend + act",affix,verdict
description,"describe + act",sense,verdict
designer,"design + one",judged,verdict
desirable,"desire + able",affix,verdict
destruction,"destroy + act",sense,verdict
destructive,"destroy + like",sense,verdict
detachment,"detach + act",judged,verdict
detain,"hold + keep",sense,verdict
detection,"detect + act",judged,verdict
detector,"detect + device",sense,verdict
detergent,"cleanse + agent",judged,verdict
deterioration,"deteriorate + act",judged,verdict
determination,"determine + act",judged,verdict
detritivore,"dead + matter + eat + agent",sense,verdict
development,"develop + act",affix,verdict
deviation,"deviate + act",affix,verdict
devotion,"devote + act",affix,verdict
devout,"devote + like",sense,verdict
diabetic,"diabetes + of",judged,verdict
diagnosis,"diagnose + act",sense,verdict
diagnostic,"diagnose + like",judged,verdict
diamond,"hard + gem",sense,verdict
dictator,"dictate + agent",sense,verdict
dictionary,"term + book",sense,verdict
did,"grammar",grammar,verdict
difference,"differ + act",affix,verdict
different,"differ + agent",affix,verdict
diffract,"bend + spread",sense,verdict
diffraction,"wave + edge + spread",sense,verdict
diffusion,"diffuse + act",judged,verdict
digestion,"digest + act",affix,verdict
digestive,"digest + like",judged,verdict
digital,"digit + like",affix,verdict
dilatation,"dilate + act",judged,verdict
dilute,"concentrate + lower",sense,verdict
dinner,"night + meal",sense,verdict
directory,"file + list",sense,verdict
disability,"not + able + ness",judged,verdict
disable,"not + able",prefix,verdict
disabled,"disable + done",affix,verdict
disagree,"not + agree",prefix,verdict
disappear,"not + appear",prefix,verdict
disappointment,"not + appointment",prefix,verdict
disapprove,"not + approve",prefix,verdict
disarrange,"not + arrange",prefix,verdict
discard,"not + card",prefix,verdict
discomfort,"not + comfort",prefix,verdict
disconnect,"not + connect",prefix,verdict
disconnected,"not + connected",prefix,verdict
discontent,"not + content",prefix,verdict
discourage,"not + courage",prefix,verdict
discourse,"not + course",prefix,verdict
discrepancy,"expect + observe + difference",sense,verdict
discrimination,"discriminate + act",judged,verdict
discussion,"discuss + act",affix,verdict
disengage,"not + engage",sense,verdict
disgust,"not + gust",prefix,verdict
dishonest,"not + honest",prefix,verdict
dishonorable,"not + honor + able",sense,verdict
disingenuous,"not + genuine",sense,verdict
dislike,"not + like",prefix,verdict
dislocation,"dislocate + act",judged,verdict
disloyal,"not + loyal",prefix,verdict
disobey,"not + obey",prefix,verdict
disorder,"not + order",prefix,verdict
disown,"not + own",prefix,verdict
disparage,"worth + lower + speak",sense,verdict
dispersion,"disperse + act",judged,verdict
displace,"move + away",sense,verdict
displacement,"displace + act",judged,verdict
displeasure,"not + pleasure",prefix,verdict
disposal,"dispose + act",judged,verdict
disposition,"not + position",prefix,verdict
disprove,"not + prove",prefix,verdict
disrespect,"not + respect",prefix,verdict
disrespectful,"disrespect + full",affix,verdict
dissection,"dissect + act",judged,verdict
dissociation,"dissociate + act",judged,verdict
distal,"distant + of",judged,verdict
distill,"not + till",prefix,verdict
distort,"twist + shape",sense,verdict
distortion,"distort + act",judged,verdict
distress,"apart + stress",judged,verdict
distribute,"spread + give",sense,verdict
distributed,"distribute + done",affix,verdict
distribution,"distribute + act",affix,verdict
distrust,"not + trust",prefix,verdict
disturbance,"disturb + act",judged,verdict
diurnal,"day + active",sense,verdict
diverge,"not + converge",sense,verdict
diversity,"diverse + nature",affix,verdict
dividend,"profit + share",sense,verdict
divination,"hidden + know + act",sense,verdict
division,"divide + act",sense,verdict
documentary,"document + like",affix,verdict
documentation,"document + act",judged,verdict
