category,term,meaning,source_meaning,status,language
abstract_relations,mad,middle,middle,keep,
abstract_relations,kaz,cause,cause,keep,english
abstract_relations,zak,effect,effect,keep,
abstract_relations,sog,reason,reason,keep,english
abstract_relations,purpoz,purpose,purpose,keep,
abstract_relations,yuz,use,use,keep,
abstract_relations,nid,need,need,keep,
abstract_relations,,choice,,add/missing,
abstract_relations,txants,chance,chance,keep,english
abstract_relations,xun,change,change,keep,
abstract_relations,dom,state,state,keep,
abstract_relations,yat,way,way,keep,
abstract_relations,val,value,value,keep,english
abstract_relations,,truth,,add/missing,
abstract_relations,zav,lie,lie,keep,arabic
abstract_relations,miv,idea,idea,keep,
abstract_relations,rul,rule,rule (in system),keep,
abstract_relations,zampol,example,example,keep,english
abstract_relations,woz,problem,problem,keep,
abstract_relations,kulx,answer,answer,keep,
abstract_relations,luq,question,question,keep,
abstract_relations,mog,meaning,meaning,keep,english
abstract_relations,ril,relation,relation,keep,
abstract_relations,xikvan,level,level,keep,hebrew
abstract_relations,yaj,measure,measure,keep,
abstract_relations,,limit,,add/missing,
abstract_relations,pasbal,possible,possible,keep,english
abstract_relations,lam,real,real,keep,english
abstract_relations,rot,false,FALSE,keep,
abstract_relations,vipak,fact,fact,keep,
abstract_relations,hap,event,event,keep,
abstract_relations,kix,process,process,keep,
abstract_relations,mab,source,source,keep,
abstract_relations,xen,result,result,keep,
space_geometry,rik,up,up,keep,arabic
space_geometry,kur,down,down,keep,
space_geometry,tef,left,left,keep,english
space_geometry,fot,right,right (direction),keep,
space_geometry,sig,front,front,keep,
space_geometry,gus,back,back (front),keep,
space_geometry,,inside,,add/missing,
space_geometry,,outside,,add/missing,
space_geometry,,above,,add/missing,
space_geometry,,below,,add/missing,
space_geometry,sadj,beside,beside,keep,
space_geometry,tin,between,between,keep,english
space_geometry,,around,,add/missing,
space_geometry,,near,,add/missing,
space_geometry,farm,far,far,keep,english
space_geometry,norc,north,north,keep,english
space_geometry,cron,south,south,keep,
space_geometry,dart,east,east,keep,
space_geometry,trad,west,west,keep,
space_geometry,nol,toward,toward,keep,
space_geometry,yad,away,away,keep,chinese
space_geometry,,across,,add/missing,
space_geometry,,through,,add/missing,
space_geometry,djip,over,over,keep,
space_geometry,bet,under,under,keep,
space_geometry,suk,top,top,keep,
space_geometry,kis,bottom,bottom,keep,
space_geometry,sorf,surface,surface,keep,
space_geometry,dapc,depth,depth,keep,english
space_geometry,lorn,line,line,keep,
space_geometry,pac,path,path,keep,
space_geometry,nolrin,area,area,keep,
space_geometry,ridjan,region,region,keep,english
space_geometry,bund,boundary,boundary,keep,english
space_geometry,,opening,,add/missing,
space_geometry,kornar,corner,corner,keep,english
space_geometry,drix,direction,direction,keep,
space_geometry,corb,distance,distance (tele-),keep,
space_geometry,giz,position,position,keep,
space_geometry,ric,straight,straight,keep,
space_geometry,kurv,curve,curve,keep,
space_geometry,salk,circle,circle,keep,english
space_geometry,zavit,angle,angle,keep,hebrew
space_geometry,cugram,gap,gap,keep,arabic
space_geometry,pas,space,space,keep,english
space_geometry,wold,world,world,keep,
space_geometry,sazan,size,size,keep,
space_geometry,hokek,length,length,keep,hebrew
space_geometry,widc,width,width,keep,
space_geometry,govak,height,height,keep,hebrew
time_change,kal,time,time,keep,sanskrit
time_change,xom,now,now,keep,
time_change,rost,past,past (distance),keep,english
time_change,txantep,future,future,keep,chinese
time_change,tor,before,before,keep,
time_change,ret,after,after,keep,
time_change,harlig,early,early,keep,english
time_change,letar,late,late,keep,english
time_change,slun,soon,soon,keep,english
time_change,moment,moment,moment,keep,english
time_change,yam,day,day,keep,hebrew
time_change,yit,night,night,keep,
time_change,morniq,morning,morning,keep,
time_change,hivniq,evening,evening,keep,english
time_change,yar,year,year,keep,
time_change,mes,month,month,keep,sanskrit
time_change,wek,week,week,keep,english
time_change,sizan,season,season (period),keep,english
time_change,hedj,age,age,keep,english
time_change,begin,begin,begin,keep,
time_change,sef,continue,continue,keep,hebrew
time_change,finz,finish,finish,keep,english
time_change,wet,wait,wait,keep,english
time_change,hapan,happen,happen,keep,english
time_change,bikam,become,become,keep,english
time_change,rimen,remain,remain,keep,english
time_change,grun,grow,grow,keep,
time_change,xriqk,shrink,shrink,keep,
time_change,yosaf,increase,increase,keep,hebrew
time_change,djanxal,decrease,decrease,keep,chinese
time_change,fleC,appear,appear,keep,
time_change,higoz,vanish,vanish,keep,hebrew
time_change,vav,repeat,repeat,keep,
time_change,rol,cycle,cycle,keep,
time_change,sadan,sudden,sudden,keep,english
time_change,,gradual,,add/missing,
time_change,halez,always,always,keep,english
time_change,,never,,add/missing,
time_change,hafan,often,often,keep,english
time_change,,sometimes,,add/missing,
time_change,,once,,add/missing,
time_change,stilaq,still,still,keep,
time_change,lored,already,already,keep,english
time_change,fid,next,next,keep,
time_change,daf,previous,previous,keep,
time_change,doriq,during,during,keep,
time_change,hantil,until,until,keep,
time_change,gump,new,new,keep,english
time_change,marg,old,old,keep,
time_change,vidjan,young,young,keep,swahili
core_actions,mek,make,make,keep,english
core_actions,duz,do,do,keep,
core_actions,wark,work,work,keep,english
core_actions,bild,build,build,keep,
core_actions,brek,break,break (pieces),keep,english
core_actions,katoq,cut,cut,keep,english
core_actions,snatat,pierce,pierce,keep,sanskrit
core_actions,struk,strike,strike,keep,english
core_actions,gruv,rub,rub,keep,
core_actions,pras,press,press (force),keep,english
core_actions,bend,bend,bend,keep,
core_actions,fold,fold,fold,keep,english
core_actions,haktad,tie,tie,keep,hebrew
core_actions,worv,weave,weave,keep,english
core_actions,suliq,sew,sew,keep,
core_actions,digor,dig,dig,keep,english
core_actions,plant,plant,plant,keep,english
core_actions,,harvest,,add/missing,
core_actions,kurkan,cook,cook,keep,english
core_actions,djasum,burn,burn,keep,arabic
core_actions,sax,wash,wash,keep,
core_actions,dral,dry,dry,keep,english
core_actions,porit,pour,pour,keep,
core_actions,miks,mix,mix,keep,english
core_actions,xekan,shake,shake,keep,
core_actions,pinast,grind,grind,keep,sanskrit
core_actions,kraxik,crush,crush,keep,
core_actions,karmaz,carve,carve,keep,
core_actions,drabon,draw,draw,keep,english
core_actions,rat,write,write,keep,
core_actions,rid,read,read,keep,
core_actions,jaq,count,count,keep,
core_actions,yev,sort,sort,keep,
core_actions,txuz,choose,choose,keep,
core_actions,lax,add,add,keep,
core_actions,rimuv,remove,remove,keep,english
core_actions,dib,connect,connect,keep,
core_actions,laklod,lock,lock,keep,
core_actions,hud,hide,hide,keep,
core_actions,xol,show,show,keep,english
core_actions,sortx,search,search,keep,
core_actions,tas,test,test,keep,
core_actions,zok,try,try,keep,
core_actions,plar,play,play,keep,
core_actions,xabat,rest,rest,keep,hebrew
core_actions,slip,sleep,sleep,keep,english
core_actions,wekim,wake,wake,keep,
core_actions,yaxav,sit,sit,keep,hebrew
core_actions,stand,stand,stand,keep,english
core_actions,drad,put,put,keep,
core_actions,tek,take,take,keep,english
core_actions,gif,give,give,keep,english
core_actions,cit,get,get,keep,
core_actions,karp,keep,keep,keep,english
core_actions,guz,lose,lose,keep,
core_actions,fan,find,find,keep,
core_actions,sik,seek,seek,keep,
core_actions,mit,meet,meet,keep,english
core_actions,dun,join,join (to one),keep,
core_actions,split,split,split,keep,english
core_actions,spred,spread,spread,keep,english
core_actions,gaC,gather,gather,keep,english
core_actions,zark,open,open,keep,
core_actions,kloz,close,close,keep,
core_actions,kov,cover,cover,keep,english
core_actions,vin,fill,fill (-full),keep,
core_actions,nuv,empty,empty,keep,
motion,big,go,go,keep,english
motion,gum,come,come,keep,
motion,muv,move,move,keep,
motion,vramat,stop,stop,keep,sanskrit
motion,torn,turn,turn,keep,
motion,xuv,return,return,keep,
motion,darb,follow,follow,keep,
motion,lid,lead,lead,keep,
motion,riz,rise,rise,keep,
motion,zur,fall,fall,keep,
motion,kim,climb,climb,keep,english
motion,disand,descend,descend,keep,
motion,kras,cross,cross,keep,
motion,promz,pass,pass,keep,
motion,ritxam,reach,reach,keep,
motion,lurv,leave,leave,keep,english
motion,droz,enter,enter,keep,
motion,zord,exit,exit,keep,
motion,karin,carry,carry,keep,english
motion,briq,bring,bring,keep,english
motion,bak,send,send,keep,
motion,pul,pull,pull,keep,english
motion,lep,push,push,keep,
motion,liftap,lift,lift,keep,
motion,drap,drop,drop,keep,english
motion,jet,throw,throw,keep,french
motion,vuc,catch,catch,keep,
motion,hoq,hold,hold,keep,
motion,jul,flow,flow,keep,
motion,spin,spin,spin,keep,english
motion,heq,hang,hang,keep,english
motion,wak,walk,walk,keep,
motion,rin,run,run,keep,
motion,djamp,jump,jump,keep,
motion,kralog,crawl,crawl,keep,
motion,wum,swim,swim,keep,
motion,flum,fly,fly (action),keep,
motion,rab,ride,ride,keep,english
motion,div,drive,drive,keep,
motion,fras,sail,sail,keep,hebrew
motion,traval,travel,travel,keep,english
life_actions,hant,hunt,hunt,keep,
life_actions,flet,fight,fight,keep,english
life_actions,klub,kill,kill,keep,
life_actions,sev,save,save,keep,english
life_actions,halpen,help,help,keep,english
life_actions,xoxaq,hurt,hurt,keep,chinese
life_actions,protak,protect,protect,keep,english
life_actions,hatak,attack,attack,keep,english
life_actions,difand,defend,defend,keep,english
life_actions,winar,win,win,keep,
life_actions,tred,trade,trade,keep,english
life_actions,krinat,buy,buy,keep,sanskrit
life_actions,xoxon,sell,sell,keep,chinese
life_actions,peq,pay,pay,keep,english
life_actions,basal,own,own,keep,hebrew
life_actions,xal,share,share,keep,english
life_actions,ganav,steal,steal,keep,hebrew
life_actions,gab,eat,eat,keep,
life_actions,dug,drink,drink,keep,english
life_actions,bed,bite,bite,keep,
life_actions,txut,chew,chew,keep,
life_actions,saloq,swallow,swallow,keep,
life_actions,,breathe,,add/missing,
life_actions,smil,smell,smell,keep,english
life_actions,test,taste,taste,keep,
life_actions,tatx,touch,touch,keep,
life_actions,kisak,kiss,kiss,keep,english
life_actions,ment,mate,mate,keep,
life_actions,barc,birth,birth,keep,
life_actions,mavat,die,die,keep,hebrew
life_actions,,live,,add/missing,
life_actions,karom,heal,heal,keep,hebrew
life_actions,bloCiq,bleed,bleed,keep,
life_actions,laft,laugh,laugh,keep,
life_actions,wipraz,cry,cry,keep,
life_actions,smul,smile,smile,keep,
life_actions,xut,shout,shout,keep,english
life_actions,,sing,,add/missing,
life_actions,danz,dance,dance,keep,
mind_emotion,vis,see,see,keep,spanish
mind_emotion,luk,look,look,keep,english
mind_emotion,watx,watch,watch,keep,english
mind_emotion,hir,hear,hear,keep,english
mind_emotion,nix,listen,listen,keep,
mind_emotion,fil,feel,feel,keep,engllish
mind_emotion,zox,sense,sense,keep,
mind_emotion,num,know,know,keep,
mind_emotion,lin,learn,learn,keep,english
mind_emotion,titx,teach,teach,keep,
mind_emotion,ciqk,think,think,keep,english
mind_emotion,das,understand,understand,keep,
mind_emotion,brumor,remember,remember,keep,
mind_emotion,nul,forget,forget,keep,
mind_emotion,gres,guess,guess,keep,
mind_emotion,dolt,doubt,doubt,keep,english
mind_emotion,,believe,,add/missing,
mind_emotion,trast,trust,trust,keep,
mind_emotion,hakspet,expect,expect,keep,english
mind_emotion,plan,plan,plan,keep,english
mind_emotion,,decide,,add/missing,
mind_emotion,want,want,want,keep,english
mind_emotion,slix,wish,wish,keep,
mind_emotion,hop,hope,hope,keep,english
mind_emotion,froC,fear,fear,keep,english
mind_emotion,wandor,wonder,wonder,keep,english
mind_emotion,xip,imagine,imagine,keep,english
mind_emotion,drim,dream,dream,keep,
mind_emotion,notis,notice,notice,keep,english
mind_emotion,reknaz,recognize,recognize,keep,english
mind_emotion,kampir,compare,compare,keep,
mind_emotion,djadj,judge,judge,keep,english
mind_emotion,wiz,solve,solve,keep,
mind_emotion,kat,focus,focus,keep,english
mind_emotion,,ignore,,add/missing,
mind_emotion,man,mind,mind,keep,sanskrit
mind_emotion,,thought,,add/missing,
mind_emotion,guj,memory,memory,keep,
mind_emotion,tanxan,attention,attention,keep,english
mind_emotion,nadj,knowledge,knowledge,keep,english
mind_emotion,skil,skill,skill,keep,sanskrit
mind_emotion,stek,mistake,mistake,keep,
mind_emotion,kret,secret,secret,keep,english
mind_emotion,klir,clear,clear,keep,english
mind_emotion,valbal,confuse,confuse,keep,hebrew
mind_emotion,simaq,seem,seem,keep,english
mind_emotion,pruv,prove,prove,keep,english
mind_emotion,lav,love,love,keep,english
mind_emotion,hetaq,hate,hate,keep,english
mind_emotion,dizar,desire,desire,keep,english
mind_emotion,djaz,joy,joy,keep,
mind_emotion,,sadness,,add/missing,
mind_emotion,,anger,,add/missing,
mind_emotion,sapraz,surprise,surprise,keep,english
mind_emotion,kam,calm,calm,keep,
mind_emotion,xutxik,shame,shame,keep,chinese
mind_emotion,gasav,pride,pride,keep,hebrew
mind_emotion,koredj,courage,courage,keep,english
communication_culture,spik,speak,speak,keep,english
communication_culture,seban,say,say,keep,english
communication_culture,tal,tell,tell,keep,english
communication_culture,xask,ask,ask,keep,english
communication_culture,kar,call,call,keep,
communication_culture,dat,word,word,keep,english
communication_culture,xim,speech,speech,keep,english
communication_culture,voz,voice,voice,keep,english
communication_culture,gar,language,language,keep,
communication_culture,saqk,sign,sign,keep,english
communication_culture,markan,mark,mark,keep,
communication_culture,,letter,,add/missing,
communication_culture,tox,text,text,keep,
communication_culture,zuzal,book,book,keep,chinese
communication_culture,stork,story,story,keep,english
communication_culture,saq,song,song,keep,english
communication_culture,muzik,music,music,keep,english
communication_culture,bit,beat,beat,keep,english
communication_culture,kup,tone,tone,keep,
communication_culture,madj,image,image,keep,english
communication_culture,pikxar,picture,picture,keep,english
communication_culture,cros,art,art,keep,
communication_culture,djok,joke,joke,keep,english
communication_culture,pramis,promise,promise,keep,english
communication_culture,wornuc,warn,warn,keep,english
communication_culture,kand,command,command,keep,english
communication_culture,piq,request,request,keep,
communication_culture,varik,greet,greet,keep,hebrew
communication_culture,cak,thank,thank,keep,english
communication_culture,yesud,praise,praise,keep,hebrew
communication_culture,pilat,blame,blame,keep,sanskrit
communication_culture,kek,agree,agree,keep,
communication_culture,harkun,argue,argue,keep,
communication_culture,kasplen,explain,explain,keep,english
communication_culture,sab,describe,describe,keep,
communication_culture,tranzlet,translate,translate,keep,english
communication_culture,hadic,news,news,keep,arabic
communication_culture,muj,message,message,keep,english
communication_culture,rixum,record,record,keep,hebrew
communication_culture,,history,,add/missing,
communication_culture,halak,law,law,keep,hebrew
communication_culture,kastam,custom,custom,keep,english
communication_culture,,ritual,,add/missing,
communication_culture,gem,game,game,keep,english
communication_culture,skul,school,school,keep,english
communication_culture,,study,,add/missing,
communication_culture,mar,symbol,symbol,keep,
communication_culture,sam,sound,sound,keep,english
communication_culture,slents,silence,silence,keep,
people_society,nar,person,person,keep,sanskrit
people_society,,man,,add/missing,
people_society,,woman,,add/missing,
people_society,gag,child,child,keep,
people_society,beb,baby,baby,keep,english
people_society,sas,parent,parent,keep,
people_society,mam,mother,mother,keep,
people_society,bab,father,father,keep,
people_society,,son,,add/missing,
people_society,,daughter,,add/missing,
people_society,braCor,brother,brother,keep,
people_society,sistor,sister,sister,keep,
people_society,fam,family,family,keep,english
people_society,dud,friend,friend,keep,english
people_society,,enemy,,add/missing,
people_society,strejar,stranger,stranger,keep,
people_society,gest,guest,guest,keep,
people_society,hostan,host,host,keep,english
people_society,narb,neighbor,neighbor,keep,english
people_society,partnor,partner,partner,keep,english
people_society,,lover,,add/missing,
people_society,,leader,,add/missing,
people_society,,follower,,add/missing,
people_society,malok,king,king,keep,hebrew
people_society,,queen,,add/missing,
people_society,,chief,,add/missing,
people_society,,worker,,add/missing,
people_society,,farmer,,add/missing,
people_society,,hunter,,add/missing,
people_society,,fisher,,add/missing,
people_society,,builder,,add/missing,
people_society,,teacher,,add/missing,
people_society,xixam,student,student,keep,sanskrit
people_society,,healer,,add/missing,
people_society,rakxik,guard,guard,keep,sanskrit
people_society,soldjar,soldier,soldier,keep,
people_society,marjant,merchant,merchant,keep,english
people_society,,artist,,add/missing,
people_society,,crowd,,add/missing,
people_society,trab,tribe,tribe,keep,english
people_society,,clan,,add/missing,
people_society,viladj,village,village,keep,
people_society,,town,,add/missing,
people_society,sitar,city,city,keep,english
people_society,harats,country,country,keep,hebrew
people_society,nexan,nation,nation,keep,english
people_society,tim,team,team,keep,english
people_society,mast,member,member,keep,
people_society,pik,master,master,keep,
people_society,hivad,slave,slave,keep,hebrew
body_life,vat,body,body,keep,
body_life,had,head,head,keep,english
body_life,fes,face,face,keep,english
body_life,halx,hair,hair,keep,
body_life,skin,skin,skin,keep,english
body_life,flax,flesh,flesh,keep,
body_life,bloC,blood,blood,keep,icelandic
body_life,brod,bone,bone,keep,
body_life,hort,heart,heart (body),keep,
body_life,bren,brain,brain,keep,english
body_life,xic,eye,eye,keep,
body_life,zorn,ear,ear,keep,
body_life,noz,nose,nose,keep,english
body_life,muc,mouth,mouth,keep,
body_life,glip,lip,lip,keep,
body_life,taq,tongue,tongue,keep,
body_life,cutx,tooth,tooth,keep,
body_life,nek,neck,neck,keep,
body_life,,throat,,add/missing,
body_life,katif,shoulder,shoulder,keep,hebrew
body_life,garm,arm,arm,keep,english
body_life,zeqk,hand,hand,keep,
body_life,fiqgor,finger,finger,keep,english
body_life,,chest,,add/missing,
body_life,blin,belly,belly,keep,
body_life,legz,leg,leg,keep,english
body_life,norn,knee,knee,keep,english
body_life,gral,foot,foot,keep,hebrew
body_life,briCan,breath,breath,keep,english
body_life,tiraz,tear,tear (cry),keep,
body_life,prasvin,sweat,sweat,keep,sanskrit
body_life,wundun,wound,wound,keep,english
body_life,muz,pain,pain,keep,
body_life,halciq,health,health,keep,english
body_life,marid,sick,sick,keep,arabic
body_life,daziz,disease,disease,keep,english
body_life,cad,life,life,keep,
body_life,dac,death,death,keep,
body_life,maf,male,male,keep,
body_life,fim,female,female,keep,
body_life,huqk,hunger,hunger,keep,
body_life,host,thirst,thirst,keep,
body_life,,strength,,add/missing,
body_life,bup,energy,energy,keep,
body_life,xuman,fat,fat,keep,hebrew
body_life,sid,seed,seed,keep,
body_life,hegat,egg,egg,keep,english
body_life,halav,milk,milk,keep,hebrew
body_life,sisak,sex,sex,keep,
nature_land,lan,land,land,keep,english
nature_land,muk,earth,earth (dirt),keep,
nature_land,grund,ground,ground,keep,
nature_land,rit,soil,soil,keep,sanskrit
nature_land,cat,mud,mud,keep,icelandic
nature_land,sand,sand,sand,keep,english
nature_land,kavak,dust,dust,keep,hebrew
nature_land,ston,stone,stone,keep,english
nature_land,rak,rock,rock,keep,
nature_land,mot,mountain,mountain,keep,
nature_land,cral,hill,hill,keep,
nature_land,valim,valley,valley,keep,english
nature_land,,cliff,,add/missing,
nature_land,kliv,cave,cave,keep,
nature_land,cuv,field,field (ether),keep,
nature_land,,plain,,add/missing,
nature_land,dors,desert,desert,keep,english
nature_land,varz,forest,forest,keep,hebrew
nature_land,narv,river,river,keep,hebrew
nature_land,jil,stream,stream,keep,
nature_land,tasik,lake,lake,keep,inuktitut
nature_land,pandoz,pond,pond,keep,english
nature_land,,sea,,add/missing,
nature_land,vrun,ocean,ocean,keep,sanskrit
nature_land,waCan,shore,shore,keep,
nature_land,haland,island,island,keep,english
nature_land,wev,wave,wave,keep,
nature_land,waC,water,water,keep,
nature_land,ren,rain,rain,keep,
nature_land,snom,snow,snow,keep,
nature_land,hals,ice,ice,keep,
nature_land,klad,cloud,cloud,keep,
nature_land,farg,fog,fog,keep,english
nature_land,storm,storm,storm,keep,english
nature_land,candor,thunder,thunder,keep,english
nature_land,latniq,lightning,lightning,keep,
nature_land,fun,wind,wind (air),keep,english
nature_land,les,air,air,keep,
nature_land,xum,sky,sky,keep,
nature_land,san,sun,sun,keep,sanskrit
nature_land,lun,moon,moon,keep,
nature_land,star,star,star,keep,english
nature_land,lit,light,light,keep,
nature_land,ram,dark,dark,keep,sanskrit
nature_land,xadon,shadow,shadow,keep,
nature_land,for,fire,fire,keep,
nature_land,smok,smoke,smoke,keep,english
nature_land,prax,ash,ash,keep,english
nature_land,saltak,salt,salt,keep,english
nature_land,weCar,weather,weather,keep,english
plants_animals,dip,tree,tree,keep,
plants_animals,gras,grass,grass,keep,english
plants_animals,lif,leaf,leaf,keep,english
plants_animals,flor,flower,flower,keep,english
plants_animals,rutrac,root,root,keep,english
plants_animals,lum,branch,branch,keep,
plants_animals,mag,fruit,fruit,keep,english
plants_animals,,grain,,add/missing,
plants_animals,,herb,,add/missing,
plants_animals,zul,animal,animal,keep,greek
plants_animals,bist,beast,beast,keep,english
plants_animals,dag,dog,dog,keep,english
plants_animals,klat,cat,cat,keep,english
plants_animals,hors,horse,horse,keep,english
plants_animals,vaqk,cow,cow,keep,latin
plants_animals,,sheep,,add/missing,
plants_animals,glot,goat,goat,keep,english
plants_animals,prag,pig,pig,keep,english
plants_animals,djir,deer,deer,keep,english
plants_animals,bar,bear,bear (carry),keep,english
plants_animals,wolf,wolf,wolf,keep,english
plants_animals,vulpes,fox,fox,keep,latin
plants_animals,groq,lion,lion,keep,english
plants_animals,tigris,tiger,tiger,keep,latin
plants_animals,lefant,elephant,elephant,keep,english
plants_animals,maqk,monkey,monkey,keep,sanskrit
plants_animals,rabat,rabbit,rabbit,keep,english
plants_animals,raton,rat,rat,keep,english
plants_animals,batx,bat,bat (animal),keep,english
plants_animals,bax,bird,bird,keep,english
plants_animals,higlan,eagle,eagle (bird),keep,english
plants_animals,yanxuf,owl,owl,keep,hebrew
plants_animals,dronam,crow,crow (bird),keep,sanskrit
plants_animals,barv,duck,duck (bird),keep,hebrew
plants_animals,txikan,chicken,chicken,keep,english
plants_animals,frix,fish,fish,keep,
plants_animals,karix,shark,shark,keep,hebrew
plants_animals,harvik,whale,whale,keep,inuktitut
plants_animals,his,snake,snake,keep,english
plants_animals,zart,lizard,lizard,keep,english
plants_animals,ran,frog,frog,keep,
plants_animals,bag,insect,insect,keep,english
plants_animals,formik,ant,ant,keep,
plants_animals,vorak,bee,bee,keep,hebrew
plants_animals,vritx,spider,spider,keep,
plants_animals,wurm,worm,worm,keep,english
plants_animals,txal,shell,shell,keep,
plants_animals,wiq,wing,wing,keep,
plants_animals,tad,tail,tail,keep,english
materials_objects,vriC,wood,wood,keep,icelandic
materials_objects,malt,metal,metal,keep,english
materials_objects,magets,iron,iron,keep,hebrew
materials_objects,rov,copper,copper,keep,
materials_objects,god,gold,gold,keep,english
materials_objects,sav,silver,silver,keep,english
materials_objects,glasorc,glass,glass,keep,english
materials_objects,nimtul,clay,clay,keep,chinese
materials_objects,,cloth,,add/missing,
materials_objects,laCor,leather,leather,keep,english
materials_objects,,paper,,add/missing,
materials_objects,habal,rope,rope,keep,arabic
materials_objects,stik,stick,stick (plant),keep,english
materials_objects,braz,box,box,keep,english
materials_objects,bagon,bag,bag,keep,
materials_objects,bezik,cup,cup,keep,chinese
materials_objects,kundal,bowl,bowl,keep,sanskrit
materials_objects,patox,pot,pot,keep,
materials_objects,svik,knife,knife,keep,inuktitut
materials_objects,sakin,blade,blade,keep,hebrew
materials_objects,tul,tool,tool,keep,english
materials_objects,xin,machine,machine,keep,english
materials_objects,xakran,wheel,wheel,keep,sanskrit
materials_objects,papat,pipe,pipe,keep,english
materials_objects,lip,chain,chain,keep,
materials_objects,cux,key,key,keep,
materials_objects,dor,door,door,keep,
materials_objects,walan,wall,wall,keep,
materials_objects,rufran,roof,roof,keep,english
materials_objects,ritzpan,floor,floor,keep,hebrew
materials_objects,windol,window,window,keep,
materials_objects,hanz,house,house,keep,english
materials_objects,higlut,bed,bed,keep,inuktitut
materials_objects,catxar,chair,chair,keep,english
materials_objects,barman,table,table,keep,sanskrit
materials_objects,bot,boat,boat,keep,english
materials_objects,dalun,road,road,keep,chinese
materials_objects,bridj,bridge,bridge,keep,
materials_objects,nidol,needle,needle,keep,english
materials_objects,masmir,nail,nail (carpentry),keep,hebrew
materials_objects,patix,hammer,hammer,keep,hebrew
materials_objects,masor,saw,saw (tool),keep,hebrew
materials_objects,xavol,shovel,shovel,keep,
materials_objects,garzin,axe,axe,keep,hebrew
materials_objects,spiran,spear,spear,keep,
materials_objects,rakan,bow,bow,keep,arabic
materials_objects,haron,arrow,arrow,keep,english
materials_objects,xild,shield,shield,keep,english
materials_objects,,armor,,add/missing,
food_clothing_home,fid,food,food,keep,
food_clothing_home,mak,meat,meat,keep,english
food_clothing_home,lisem,bread,bread,keep,hebrew
food_clothing_home,rasit,rice,rice,keep,
food_clothing_home,,sugar,,add/missing,
food_clothing_home,feqmin,honey,honey,keep,chinese
food_clothing_home,ximun,oil,oil,keep,hebrew
food_clothing_home,batran,butter,butter,keep,english
food_clothing_home,gevin,cheese,cheese,keep,hebrew
