term,meaning,fate,became
kan,aggregate,reused,cook
kaq,object,reused,cut
kax,perfect,reused,shark
ken,communicate,reused,carry
kep,clone,reused,clan
kes,case (situation),reused,glass
kid,could,reused,buy
kik,kick,reused,crawl
kip,tune,reused,kiss
kiq,action,reused,dust
kiv,intent,reused,pride
kod,code,reused,may
kof,default,reused,clothes
koj,fool,reused,courage
kok,disagree,reused,crush
kop,scope,reused,town
kox,cell (biology),reused,hammer
koz,z-axis,reused,carve
kub,cube,reused,artist
kud,miss (didn't touch),reused,clear
kuf,clue,reused,cool
kul,cool (interjection),reused,corner
kum,back area,reused,heal
kuq,manner,reused,axe
kus,constant,reused,outside
kuv,divide,reused,cliff
lak,like,reused,hat
lal,y-axis,reused,never
laq,object feature type,reused,lightning
laz,very much of (-some),reused,power
lek,collect,reused,elephant
lig,square root,reused,full
lij,orient,reused,large
lik,link,reused,heavy
lil,boolean,removed,
liq,simulate,reused,control
lob,error,reused,little
lod,load,reused,already
lom,plural (many),reused,bread
lon,loan,reused,leather
lor,lord,reused,late
los,less of (-less) empty,reused,debt
lot,lot (land),reused,lock
lox,string (computing),reused,dull
luf,far (large-distance-focus),reused,increase
luj,logic,reused,punishment
lup,loop,reused,lift
mac,great,reused,nail
mal,molecule,reused,clay
maq,harmony,reused,grain
mat,forward,reused,must
maz,flow (speech utterance),reused,saw
mej,model,reused,bridge
men,main,reused,thought
meq,mine,reused,food
mid,positive,reused,merchant
min,not know,reused,mark
mir,bright,removed,
mis,miss (longing),reused,iron
mix,network,reused,bright
mod,mode,reused,die
moj,emerge,reused,history
mok,align,reused,music
moq,about/encompass,reused,morning
mor,the model of the action (e.g. the transform),reused,partner
mox,immutable,reused,deep
moz,hash,reused,wide
mud,mood,reused,sick
mug,(past particle),reused,king
mul,unreal,reused,needle
mun,gut sense,reused,arrow
muq,mmm,reused,sugar
mus,mercy,reused,round
mut,mutate,reused,moment
nak,knock,reused,follower
nal,neutral,reused,man
nan,negate,reused,none
nas,nest,reused,notice
ned,static,reused,choice
nep,nature,reused,leader
nes,nice,reused,nut
net,knit,reused,queen
nev,off,reused,weapon
nif,a (isolated-element-focus),reused,money
nik,pink,reused,worker
niq,omniscient,reused,nation
nir,nerd,removed,
niz,nest (structure),reused,market
not,note,reused,chief
nox,notion,reused,poverty
nub,separate,reused,lover
nuj,hell,reused,danger
nuq,bond,reused,area
nuz,distribute,reused,farm
pak,package,reused,protect
pam,pray,reused,decide
paq,response,reused,possible
par,depart/from,reused,compare
pat,dimension,reused,plant
pim,permeate,reused,sweat
pip,individual,reused,bean
pit,pure,reused,grind
pot,honorific (address),reused,pour
pum,time (count),reused,table
raC,rhythm,reused,root
raf,reference,reused,owl
raj,range,reused,bow
ral,raw,reused,relation
rap,wrap,reused,rice
rar,rare,reused,gradual
rav,particle,reused,unfair
raz,resonate,reused,recognize
reC,progress,reused,rough
ref,success,reused,crime
reg,edit,reused,rat
rex,array,reused,reward
rib,ribbit,reused,record
riC,algorithm,reused,floor
rif,close (near),reused,nine
ril,relation,removed,
ris,express,reused,ten
riv,to/arrive,reused,remove
ron,environment,reused,region
rub,logarithm,reused,roof
rud,update,reused,rabbit
ruk,location,reused,guard
rum,realm,reused,reach
run,glyph,reused,remain
rup,right (time),reused,shallow
ruv,local,removed,
sag,beyond (extra- or hyper-),reused,spread
saj,etc,reused,above
sal,like (similar),reused,more
sap,present (now),reused,salt
sar,surf,reused,breathe
sat,sight,reused,sudden
saz,emphasize,reused,surprise
seC,etc.,reused,stranger
sek,percept,reused,swallow
sep,swipe,reused,spear
sez,sir,reused,silence
siC,hush,reused,city
sil,more (-er),removed,
sip,asleep,reused,paper
sit,medium,reused,pierce
siv,perceive,reused,milk
six,all encompasing thing,reused,below
sod,mystery,reused,stand
sok,around/surround,reused,strike
sol,soul,reused,less
sop,so/transition,reused,soldier
sor,file (computer),reused,smell
soz,also,reused,soap
sul,still (time),reused,example
sup,above (super)/hover,reused,study
sur,assert,reused,skill
sut,store,reused,split
suv,observe,reused,plain
tab,stable,reused,fisher
taj,down (to be cool with something),reused,judge
tak,talk,reused,healer
tam,meditate,reused,attention
tar,tire (sleep),reused,dig
tat,sibling,reused,trust
teq,like (as if),reused,during
tet,signal,reused,translate
tip,step,reused,through
tiq,mental experience,reused,chicken
tir,TRUE,removed,
tiv,conscious,reused,blanket
tix,tingle,reused,tiger
tiz,ellipse,reused,tear
tod,term,reused,enemy
tok,structure,reused,crowd
tom,atom,reused,teacher
ton,agent (one who does x),reused,around
tos,task,reused,chance
toz,position (cardinal),reused,anger
tub,tube,reused,builder
tuc,emotion,reused,thick
tup,impure,reused,future
tur,turf,reused,desire
tuv,input (computing),reused,sharp
tux,intuition,reused,letter
vab,vibe,reused,valley
vak,multiply,reused,greet
van,having the nature of (-ivity),reused,young
var,variable,reused,finger
vas,aspect,reused,price
veb,byte,reused,pants
ved,study or science of (-ology),reused,once
vek,filter,reused,fact
ves,vessel,reused,spider
vex,reveal,reused,she
vic,bit,reused,warn
vid,veer,reused,sometimes
vil,manifest,removed,
vim,way/style,reused,near
viq,everything,reused,honey
vir,remote (far),removed,
vit,information,reused,bed
vix,preserve,reused,village
vod,void,reused,armor
von,sin,reused,sea
vot,vote,reused,stop
vov,axis,reused,wealth
vul,via,reused,truth
vuq,data,reused,war
vus,flex,reused,fox
wal,while,reused,confuse
waq,um,reused,shore
war,wear,reused,win
wav,exist,reused,sit
wig,kaleidoscope,reused,bitter
wim,bounty,reused,wake
wis,inverse,reused,cry
wiv,connection network (neighborhood),reused,medicine
wol,wow,reused,window
wom,well (good),reused,wall
wor,forceful (like hard hit),reused,wonder
wug,emanate,reused,fair
wun,woo,reused,wound
wux,system,reused,shirt
xam,chime,reused,hurt
xax,eternal,reused,shadow
xed,should,reused,shake
xik,computation,reused,shrink
xiq,will,reused,level
xit,provide,reused,rest
xiv,destroy,reused,wheel
xok,copy,reused,pair
xud,quiet,reused,sing
xul,subtract,reused,shape
xup,ship,reused,student
yap,yep,reused,hunter
yaq,permanent,reused,belt
yem,yum (food),reused,hot
yiq,impermanent,reused,narrow
yix,something,reused,limit
yog,practice of focusing on x (-ism),reused,praise
yol,yell,reused,shovel
yul,polynomial,reused,coat
yut,yet,reused,across
yuv,view,reused,to
zab,public,reused,strong
zaf,equal (iso-),reused,cloth
zap,zap,reused,smooth
zaq,presence,reused,sew
zar,vowel,reused,book
zem,plasma (matter),reused,say
zig,gain,reused,sex
zil,perspective,removed,
zim,pleasure,reused,seem
zin,decision,reused,season
zip,graph,reused,gift
ziq,zing,reused,still
zir,pertaining to x (pleasantry),removed,
zom,so/great,reused,storm
zon,zone,reused,size
zub,absorb,reused,herb
zum,zoom,reused,blade
zus,experience,reused,sour
zut,identity,reused,angle
zuz,converse (talk),reused,speed
baks,rectangle,removed,
bamp,bump,removed,
band,band (group),removed,
barb,barb,removed,
barl,bare,removed,
bask,otherwise,removed,
bast,prime,removed,
besk,basic,removed,
birs,beer,removed,
blab,blob,removed,
bleq,eject,removed,
blet,bait,removed,
blim,beam,removed,
bliz,our,removed,
blof,blow,removed,
blor,blur,removed,
bloz,boson,removed,
blum,bloom,removed,
blut,butt,removed,
borl,boil,removed,
born,bury,removed,
borp,burp,removed,
bral,ball,removed,
bred,braid,removed,
brev,brave,removed,
brif,brief,removed,
brip,beep,removed,
brit,orbit,removed,
briz,simple,removed,
brob,decimal,removed,
brol,brow,removed,
broq,membrane,removed,
bruz,buzz,removed,
bunz,boon,removed,
bust,burst,removed,
carn,ion,removed,
Carv,forever,removed,
cets,mole (measurement),removed,
crav,thrive,removed,
crit,threat,removed,
crum,through/tunnel,removed,
crut,puzzle,removed,
dalg,magnitude,removed,
dalt,dependent,removed,
darn,damn/dam,removed,
dask,desk,removed,
diqk,deny,removed,
disk,discover,removed,
djak,fingernail,removed,
djam,jam,removed,
djas,justice,removed,
djat,deal,removed,
djek,reject,removed,
djin,gene,removed,
djir,deer,removed,
djiz,jeez,removed,
djud,jew,removed,
djul,jewel,removed,
djus,juice,removed,
dolv,deliver,removed,
domp,dump,removed,
dort,dirt,removed,
drak,harm,removed,
dram,human,removed,
drav,candela (measurement),removed,
dref,definite,removed,
dreg,drag,removed,
drep,,removed,
drex,hyphen,removed,
drig,degree,removed,
driv,fate,removed,
dron,drone (sound),removed,
drul,drool,removed,
drum,drum,removed,
drus,radius,removed,
dusk,across (trans-)/cross,removed,
fand,fund,removed,
faqk,funk,removed,
farC,feather,removed,
fart,fart,removed,
fent,faint (dizzy),removed,
film,film (material),removed,
fiqk,even (though),removed,
flap,hop,removed,
flek,mirror,removed,
flem,flame,removed,
flid,field (math),removed,
flip,flip,removed,
flob,lob,removed,
flok,glow,removed,
flot,float,removed,
flud,fluid,removed,
flux,flush,removed,
fluz,complex,removed,
forn,fine (good),removed,
fort,fort,removed,
fret,frame,removed,
frez,phrase,removed,
frik,freak,removed,
frin,funny,removed,
fris,hiss,removed,
friz,freeze,removed,
funt,photon,removed,
galt,guilt,removed,
gant,-gon (polygon),removed,
garz,again (re-),removed,
glan,glide,removed,
glav,glove,removed,
gled,lay,removed,
glen,gluon,removed,
glet,gate,removed,
glob,planet,removed,
glok,your,removed,
glor,glare,removed,
gluk,lick,removed,
golx,only,removed,
gost,ghost,removed,
grad,grid,removed,
gram,gram (measure),removed,
grap,issue,removed,
grav,graviton,removed,
gred,grade (score),removed,
grem,grim,removed,
grep,grape,removed,
gril,case (container),removed,
grit,hello,removed,
griv,grieve,removed,
gror,growl,removed,
grum,row,removed,
grup,group (math),removed,
grut,grit (strength),removed,
habz,abstract,removed,
hadj,hedge,removed,
halc,ethnicity,removed,
hald,elm,removed,
halm,hue,removed,
halz,hell (emphasize surprise),removed,
hamp,ampere (electric current),removed,
hark,arc,removed,
harq,along,removed,
hask,explore,removed,
hatx,hole,removed,
heps,ape,removed,
heqk,angry,removed,
hidj,polyhedron,removed,
hilk,elk,removed,
hint,hint,removed,
hord,ahead,removed,
horx,oh,removed,
hutx,itch,removed,
kaln,kaon,removed,
kalt,cult,removed,
kalv,kelvin,removed,
kamp,camp,removed,
kark,quark,removed,
kart,crown,removed,
kast,cast,removed,
kedj,accept,removed,
kirn,cure,removed,
klan,claw,removed,
klek,click,removed,
klem,claim,removed,
klir,clear,removed,
klis,nucleus,removed,
klor,color,removed,
klum,cue,removed,
klun,community,removed,
klut,cute,removed,
korb,cone,removed,
korg,encounter,removed,
kork,curl,removed,
korn,category,removed,
kort,court (justice),removed,
korx,xor,removed,
kraf,comfort,removed,
krag,node,removed,
krak,crack,removed,
kraq,ring (sound),removed,
krax,crash,removed,
kred,credit,removed,
krek,cake,removed,
krem,chemical,removed,
krep,crypto,removed,
krev,crave,removed,
krid,liquid,removed,
kriq,care,removed,
krok,croak,removed,
krol,cull,removed,
krom,ohm (measurement),removed,
krot,right (vs. wrong),removed,
laks,lack,removed,
laqk,wool,removed,
larg,element,removed,
larp,lepton,removed,
lart,let,removed,
larv,larva,removed,
last,last,removed,
ledj,theory,removed,
limp,limp,removed,
lint,lint,removed,
lirk,ratio,removed,
list,list,removed,
lorg,log (diary),removed,
maks,maximum,removed,
marC,quite,removed,
marn,muon,removed,
mars,mass,removed,
marx,mesh (inter-),removed,
mask,mask,removed,
matx,symmetry,removed,
minz,means,removed,
mirt,meter,removed,
mold,mold (shape),removed,
molz,mow (grass),removed,
mord,manifold,removed,
morf,morph,removed,
morv,maybe,removed,
most,most (-est) (large-collection-partition-focus),removed,
mutx,much (large-lot-focus),removed,
nalz,analyse,removed,
namp,magnet,removed,
nand,nand,removed,
nanz,noise,removed,
nart,neutron,removed,
natz,glory,removed,
nork,nor,removed,
norm,normal (math),removed,
nors,having some aspects of (-ish),removed,
norx,nourish,removed,
nust,embed,removed,
pand,upon,removed,
paqk,punk,removed,
pard,pod,removed,
park,park (car),removed,
parn,purr,removed,
parp,perpendicular,removed,
patx,patch,removed,
pent,paint,removed,
pest,paste,removed,
pirs,role/as,removed,
pitx,pitch (sound),removed,
plak,pluck,removed,
plas,compassion,removed,
plax,accomplish,removed,
pleg,plague,removed,
plek,their,removed,
plen,plane (geometry),removed,
plep,plop,removed,
plet,plate,removed,
plin,discipline,removed,
pliz,please,removed,
plod,implode,removed,
plon,pion,removed,
plud,pound (measure),removed,
plup,poop,removed,
podj,purge,removed,
porf,puff,removed,
pork,per,removed,
port,important,removed,
post,post (content),removed,
potx,pi,removed,
prab,probable,removed,
pram,primordial,removed,
prat,apart,removed,
praz,prize,removed,
pres,pressure,removed,
prex,precious,removed,
prik,opaque,removed,
prim,prime (primative),removed,
prot,proton,removed,
proz,for/purpose,removed,
pruk,pick,removed,
raft,raft,removed,
rant,rant,removed,
ranz,ram,removed,
rask,reminiscent of (-esque),removed,
rast,rest (remainder),removed,
reqk,rank,removed,
retx,rate (change),removed,
rilz,reel,removed,
riqk,rhyme,removed,
risk,risk,removed,
ritx,ring (math),removed,
rond,gnaw,removed,
rutz,race (event),removed,
sals,celsius,removed,
samp,sentence (text),removed,
sark,discern,removed,
sarl,swirl,removed,
sart,certain,removed,
sarz,feature,removed,
satx,such,removed,
sedj,sage (person),removed,
sent,saint,removed,
senz,essence,removed,
sfir,sphere,removed,
sinc,synthetic,removed,
siqk,sink (down),removed,
sitx,second (time),removed,
skal,scale,removed,
skap,skip,removed,
skar,square,removed,
skax,squash,removed,
skep,scape (scenery),removed,
skil,skill,removed,
skim,minimum,removed,
skoq,cease,removed,
skor,score,removed,
skum,scheme,removed,
skun,skew,removed,
skup,scoop,removed,
skur,scare,removed,
skut,difficult,removed,
skuz,excuse,removed,
slad,slide,removed,
slap,slop,removed,
slas,faint (light),removed,
slax,slash,removed,
slet,slight,removed,
sliC,therefore,removed,
slid,swing,removed,
slim,submit,removed,
slog,slug,removed,
slop,slope,removed,
slup,swoop,removed,
slur,my,removed,
smax,smash,removed,
smek,smack,removed,
smil,smell,removed,
smin,meson,removed,
snap,snap,removed,
snar,snare (drum),removed,
snif,sniff,removed,
snik,sneak,removed,
sold,solid,removed,
solp,swap,removed,
sorg,recent,removed,
spak,spike,removed,
span,spine,removed,
spas,spice,removed,
spit,spit,removed,
spok,spoke (wheel),removed,
sriz,series,removed,
stab,stab,removed,
staf,stuff,removed,
stal,stall,removed,
stat,stat,removed,
sten,stain,removed,
stet,status,removed,
stev,stay,removed,
stil,still (motion),removed,
stim,steam,removed,
stoj,storage,removed,
stok,stomach,removed,
stom,install,removed,
stud,sad,removed,
stup,stupid,removed,
sutx,set (math),removed,
svas,sigh,removed,
svur,very,removed,
tamp,temperature,removed,
taqk,toy,removed,
tard,towards,removed,
tarp,topology,removed,
tirn,tour,removed,
toks,easy,removed,
torp,interpolate,removed,
totx,attach,removed,
trak,track (path),removed,
trap,trap,removed,
traq,triangle,removed,
tras,torus,removed,
trat,tight,removed,
tres,trace,removed,
tret,trait,removed,
trij,treasure,removed,
trik,trick,removed,
trin,neutrino,removed,
tris,interest,removed,
trom,spectrum,removed,
txak,check,removed,
txap,chip,removed,
txes,chase,removed,
txet,shit,removed,
txin,teen,removed,
txir,cheer,removed,
txor,saturate,removed,
txot,loose,removed,
txul,actual,removed,
txum,tissue,removed,
txun,sneeze,removed,
valv,evolve,removed,
vark,syllable,removed,
varm,vomit,removed,
vast,vast,removed,
vist,visit,removed,
vlam,its,removed,
volt,volt,removed,
volz,violent,removed,
vorb,ever,removed,
vord,avoid,removed,
vork,electron,removed,
vraj,average,removed,
vram,insight,removed,
vret,settle,removed,
vurf,verify,removed,
vutx,entity,removed,
wald,wild,removed,
wand,wind (coil),removed,
warx,worship,removed,
wird,weird,removed,
worc,worth,removed,
wups,whoops,removed,
xant,ancient,removed,
xark,society,removed,
xarz,opposite (anti),removed,
xift,shift,removed,
ximz,happy,removed,
xlav,calculate,removed,
xlik,shriek,removed,
xort,sure,removed,
yard,yard (measurement),removed,
yild,yield,removed,
yorm,uniform (consistent),removed,
yorn,yearn,removed,
yust,used to,removed,
zalb,fermion,removed,
zalv,dissolve,removed,
zarn,alien,removed,
zist,resist,removed,
zolt,column,removed,
