english,tune
We must go around the forest.,wola mez higi wibe dan farsa
He is as tall as a tree.,bima miq sive talsu sive med toka
Are you at the home right now?,miq yara kide dan homa poba xoma
Let's eat before we talk.,lid bini befe wola taka
I think you should follow behind.,musta cibi yara gas flori giqe
The water below me is brown.,dan wota zise musta miq bronu
Swimming in the evening is beneath her.,slovreCi nute dan yamneqa miq broma gesa
The fruit is beside the river.,dan viqa miq bese dan mimba
Nothing is between me and the sky.,siza miq bene musta gim dan xuma
Do you want to see beyond the forest?,tim yara weni nime visi bune dan farsa
"She is not kind, but I still like her.",gesa miq pim kija bat musta zota like gesa
Rest with me by the fire.,reqa wime musta kize dan giba
She loves her despite her appearance.,gesa fotxmisa gesa despa gesa prana
The tree has fallen down!,dan toka hav zordoni dote
Did she wake up at the night?,tim gesa weka tede kide dan fida
Everyone left except him.,contid bepa kespa bima
The stars shine for them.,dan zitmisa diqgi vore Cefa
Is this gift from him or her?,miq kim gifta zige bima pik gesa
Have they swum in the river before?,hav Cefa zesta nute dan mimba befe
Please go inside in a couple minutes.,bliz higi tuqe nute med bagda mintmisa
They will go into the forest without fear.,Cefa wul higi nute dan farsa wuke deba
She is like a wild animal.,gesa miq like med glok yima
Don't let her get near the river.,pim lid gesa gemi nene dan mimba
My friend is sitting next to her sibling.,musta vrina miq setsreCi gena nime gesa zbula
A lot of the fruit is gone.,med zbeqa dige dan viqa miq higdoni
How should he jump off the tree?,niq gas bima djami vone dan toka
They were sitting on the dirt.,Cefa miq setsreCi neve dan darda
They have climbed onto the tree.,Cefa hav klimsuti neve dan toka
There will be five animals out in the forest.,kema wul miq ten yimlmisa tine nute dan farsa
Jump over the yellow dirt.,djami riqe dan yul darda
Be careful walking past the animal.,miq kralfala wokreCi sut dan yima
There would be two fruits per person.,kema wul miq noc viqmisa parsa tida
Two plus two is four.,noc plasa noc miq boq
Let's have a chat regarding the child.,lid hav med zmeta plucreCa dan kika
We walked 'round the tree.,wola woksuti randa dan toka
All of us left save for my parent.,con dige wola bepa kluna vore musta sasa
I won't come since I have no money.,musta pim komi zinsa musta hav pim mensa
Is he older than her?,miq bima kifmoru yipe gesa
She wants us to go through the forest.,gesa weni wola nime higi pibe dan farsa
We slept till the sunrise.,wola zulsuti krosa dan sanreza
Are you going to the river?,miq yara higreCi nime dan mimba
Look toward the stars for guidance.,lugi jiCe dan zitmisa vore miqga
Why is he under the water?,won miq bima sage dan wota
Underneath his appearance is a kind heart.,plima bima prana miq med kija yika
"Unlike me, she is very fast.",nalga musta gesa miq cin vusu
Wait until I am ready.,weti xiz musta miq luska
The fish swim up to the surface.,dan fika slovi tede nime dan suka
He sits upon a throne.,bima setsi pansa med krina
Let's talk about swimming versus running.,lid taka dije slovreCi forsmisa rinreCi
She told them via letter.,gesa talta Cefa floma gadja
Why aren't you with me?,won pim yara wime musta
Fear is not within their heart.,deba miq pim nute Cefa yika
Don't go without us!,pim higi wuke wola
Please have another piece of fruit.,bliz hav medkor nebda dige viqa
Do you have any water?,tim yara hav nec wota
Anyone can dance.,nectida gin dansi
We will do anything for her.,wola wul tim neckina vore gesa
Let's travel anywhere but here.,lid travi krupa bat hema
They want both fruit and water.,Cefa weni beksa viqa gim wota
Are you certain of that?,miq yara keta dige Cat
He loves each animal equally.,bima fotxmisa tega yima doskmena
You can have either this or that.,yara gin hav rolba kim pik Cat
They don't have enough leaves.,Cefa pim hav trexa lifmisa
Every child has a favorite color.,Ciq kika hav med groba glora
Is everyone okay with the plan?,miq contid mutxa wime dan blana
The sun shone on everything.,dan sana diqgsuti neve conkin
"Everywhere I go, I smile.",conpak musta higi musta smoli
A few children like swimming.,med tiva kikmisa like slovreCi
Where were you last night?,mik miq yara lasa fida
It the least intelligent animal.,hina dan leza druga yima
Give me less fruit.,gevi musta lesa viqa
They are a little tired.,Cefa miq med wibza trulsuta
Many people love the sea.,viga tidmisa lovi dan tigza
She wanted more water.,gesa wensuti mor wota
Most forests have lots of trees.,miz farsmisa hav zbeqmisa dige tralmisa
"I don't have much, but it's enough.",musta pim hav cruja bat miq trexa
That animal can neither run nor walk.,Cat yima gin dalba rini praqa woki
Do you want to sit next to her?,tim yara weni nime setsi gena nime gesa
"No, they can't eat rocks!",pim Cefa pim bini rakmisa
None of them are coming.,piva dige Cefa miq komreCi
Nothing can stop me.,siza gin sopi musta
I have nowhere I need to go.,musta hav jogza musta niCi nime higi
I once ate fruit.,musta jubda binsuti viqa
Several children can climb.,wolza kikmisa gin klimi
Some parents don't know me.,lin sasmisa pim nomi musta
"Somebody help, please!",samba halba bliz
Something is in the water.,linkin miq nute dan wota
I am somewhere in the forest.,musta miq linpak nute dan farsa
What is your name?,wec miq yara nama
We can make whatever he wants.,wola gin meki Cetsa bima weni
Which of you is a parent?,wec dige yara miq med sasa
Visit whichever forest is west of here.,vesta narfa farsa miq weba dige hema
"If the fruit is big and low to the ground, you can eat it.",jid dan viqa miq bigu gim lizu nime dan grana yara gin bini hina
Just move over here and then you can hear the children.,sic muvi riqe hema gim riz yara gin yidi dan kikmisa
"One hour ago, your sibling dug up that fruit.",med harsa pabda yara zbula zleta tede Cat viqa
I always call my friend at the last hour of the day.,musta conkal kugi musta vrina kide dan lasa harsa dige dan yama
When do you think you will get home this time?,win tim yara cibi yara wul gemi homa kim kala
Who wants to wander around at night when it's so dark?,fip weni nime wunti wibe kide fida win miq Cim ramu
Soon I will be the last child of my family who is at home.,snala musta wul miq dan lasa kika dige musta fama fip miq kide homa
"It is the middle of the day, so you should stay behind.",hina miq dan moda dige dan yama Cim yara gas stuli giqe
"I would give her it, but she might not think it is a good rock.",musta wul gevi gesa hina bat gesa bip pim cibi hina miq med tav raka
She was so far away that we had to call for her three times.,gesa miq Cim fada nibe Cat wola hav nime kugi vore gesa dem timsmisa
Why did you look behind you like that?,won tim yara lugi giqe yara like Cat
She has such wild energy that it is hard to calm her down.,gesa hav cit glok xiqa Cat hina miq haru nime kam gesa dote
"Does the color look blue to you, or is it actually white?",tim dan glora lugi bagu nime yara pik miq hina vrasmena wiqu
"That would not be the first time, but I hope it is the last.",Cat wul pim miq dan deqa kala bat musta hopi hina miq dan lasa
She wanted him to find a rock as small as hers.,gesa wensuti bima nime fani med raka sive xibu sive gesa
"Maybe if you hadn't found them, they would have moved.",mub jid yara gloxa fonda Cefa Cefa wul hav muvlsuti
You must have heard those children climbing!,yara mez hav yidsuti Cat kikmisa klimreCi
Don't tell me that you didn't look for a black leaf.,pim duli musta Cat yara pim lugi vore med bul lifa
Who else could have planned for such a day?,fip lisa gin hav blansuta vore cit med yama
The first child will be ahead of the second by only a little.,dan deqa kika wul miq begda dige dan skena kize nal med wibza
They jumped here and there without ever finding it.,Cefa djamsuti hema gim kema wuke vrala fanreCi hina
"Digging was very hard, hence the low energy.",promreCi miq cin har hensa dan liz xiqa
She would otherwise be an only child.,gesa wul vemsa miq med nal kika
He would have seen the tree if he had been bigger.,bima wul hav visdoni dan toka jid bima hav miq bigmoru
"Maybe the fruit on the ground is good, but probably not.",mub dan viqa neve dan grana miq tavu bat prabmena pim
"I was ahead of you years ago, but not anymore.",musta miq begda dige yara yezmisa pabda bat pim friCa
I will find one sibling if they will find the other.,musta wul fani med zbula jid Cefa wul fani dan kora
I couldn't call you at such a time!,musta pim kugi yara kide cit med kala
Where did they jump while you were looking at the stars?,mik tim Cefa djami hiz yara miq lugreCi kide dan zitmisa
Don't move the yellow leaves until the year is over.,pim muvi dan yul lifmisa xiz dan yeza miq riqe
"We didn't plan to hear it, but we still did.",wola pim blana nime yidi hina bat wola zota tim
"When I look at you, I see a good parent.",win musta lugi kide yara musta visi med tav sasa
"At this time of day, no one else is home.",kide kim kala dige yama pim med lisa miq homa
They have heard neither the white star nor the red star.,Cefa hav yidsuti dalba dan wiq zita praqa dan red zita
How many of those leaves are yellow?,niq viga dige Cat lifmisa miq yulu
"By this time tomorrow, she will have climbed three trees.",kize kim kala faplyama gesa wul hav klimsuti dem tralmisa
"She is closer than him to the wild fruit, but he can't see that.",gesa miq klasa yipe bima nime dan glok viqa bat bima pim visi Cat
What was she planning to tell you last night?,wec miq gesa blanreCa nime duli yara lasa fida
I wouldn't climb that tree if I were you.,musta pim klimi Cat toka jid musta miq yara
He found it easy to jump over the leaves.,bima fonda hina noqgu nime djami riqe dan lifmisa
At what time do they plan on moving those rocks?,kide wec kala tim Cefa blana neve muvreCi Cat rakmisa
I've always wanted to stay in a beach house.,hav conkal wensuti nime stuli nute med semba flica
The desert night was cold and dark.,dan darwalona fida miq wisu gim ramu
Mike must be working in the field today.,miksa mez miq goqreCa nute dan cuva kimlyam
How far is the forest from home?,niq fada miq dan farsa zige homa
The lake was looking beautiful.,dan laksa miq lugreCi batslfala
The sea was rough.,dan tigza miq pubza
Which plants are not green?,wec ripi miq pim gunu
There are three small rooms in the house.,kema miq dem xib romsmisa nute dan flica
It was a sunny morning and by eight o'clock it was already hot.,hina miq med sansa yambega gim kize sog gleka hina miq larta hutu
The night was calm and fresh.,dan fida miq kamu gim friku
Put on your white dress.,pudi neve yara wiq dresa
"Why did you think I sent you the flower, and that chocolate?",won tim yara cibi musta sedsuti yara dan fula gim Cat tegda
I can make grass grow!,musta gin meki gara hidi
She was close to realizing a lifetime goal.,gesa miq losi nime ralzreCa med lifta gola
Trees are truly life savers as they help reduce pollution.,tralmisa miq trunmena vita sopsmisa sive Cefa halba ratsa plata
"The climate on the coast is hot, humid, and unhealthy.",dan klama neve dan nabda miq hut slepu gim wogza
Leafs are turning yellow due to dry weather.,lifmisa miq tunreCi yul mobza nime dar rebza
The summer had been very dry and no berries grew.,dan zmara hav miq cin daru gim pim bralmisa hidsuti
The rocks are not too high to climb.,dan rakmisa miq pim mip tiku nime klimi
Fruits are beneficial for health as they provide energy to work.,viqmisa miq fedja vore halga sive Cefa prova xiqa nime goqa
His shoes were covered with mud when he entered the house.,bima prezmisa miq yibdsuti wime Consa win bima nebsuta dan flica
Indoor plants makes the house look attractive and pleasing.,smepa ripi maksmisa dan flica lugi traka gim blizreC
How bright a star can be? Have you ever thought about this?,niq maru med zita gin miq hav yara vrala cibsuti dije kim
I wonder how the tree got so tall.,musta wenti niq dan toka gemsuti Cim talsu
They have yet to see the big beautiful white rock.,Cefa hav drola nime visi dan big batslfala wiq raka
I keep wondering why birds evolved to fly.,musta kugzi wentreCi won ximlmisa flevlsuta nime flari
I don't know what to pick.,musta pim nomi wec nime piksi
I have just about finished picking the berries.,musta hav sic dije boqgsuta piksreCi dan bralmisa
The climate is hot and very humid.,dan klama miq hutu gim cin slepu
The scenery of the valley is just amazing.,dan znora dige dan valsa miq sic godjreCa
"The boy was no longer sleepy, but full of energy and excitement.",dan dabza miq pim lenmor slopa bat fal dige xiqa gim plomseqa
She covered her head as dirt rained over her.,gesa yibdsuti gesa heda sive darda rexlsuta riqe gesa
It shouldn't be hard to dig in this sand.,hina pim miq haru nime promi nute kim wiza
"There it was cool and quiet, with a scent of ripe fruit.",kema hina miq gulu gim xusu wime med senta dige flux viqa
Sunny in the morning but mostly cloudy by the evening.,sansa nute dan yambega bat mizmen klada kize dan yamneqa
He went abroad to study higher.,bima higsuti bruda nime stada tikmoru
Children were playing in park with a ball.,kikmisa miq pulwareCi nute parka wime med bala
The bird won't let me nearby.,dan xima pim lid musta narpa
I have eaten a piece of fruit.,musta hav bindoni med nebda dige viqa
Everything was budding and blossoming.,conkin miq pliCreCi gim blasreCa
I will always be with you.,musta wul conkal miq wime yara
"The sun had set, and dusk settled over the ocean.",dan sana hav zeta gim daska nitslsuti riqe dan snola
He is one of the best players.,bima miq med dige dan tavmiz treqmisa
"Sitting, that is the main thing to consider.",setsreCi Cat miq dan minsa kina nime kansa
"The sight, sound, and scent of the ocean helped her relax.",dan stora suma gim senta dige dan snola halbsuta gesa ralga
There are clouds over the hills.,kema miq diCmisa riqe dan vefsmisa
The sky is over my head.,dan xuma miq riqe musta heda
My house is across the bank.,musta flica miq seCe dan zdaga
"You should expect any weather from scorching hot to cold, wet and windy.",yara gas kaspa nec rebza zige skorlreCi hutu nime wis lipu gim sarfa
I have a pool behind my house.,musta hav med plora giqe musta flica
I have done this task for your benefit.,musta hav don kim tiska vore yara crana
We cannot live without water.,wola pim smiki wuke wota
It's my pleasure to help you.,miq musta zima nime halba yara
Playing is his only job.,pulwareCi miq bima nal djaba
We need to walk as far as we can tonight.,wola niCi nime woki sive fada sive wola gin kimfid
She throws rocks just about every day.,gesa kroli rakmisa sic dije Ciq yama
If you have the money use it wisely.,jid yara hav dan mensa yuza hina klafmena
Someone is at the door.,lintid miq kide dan drina
Let's look at how this happened.,lid lugi kide niq kim xabzlsuti
You better listen up.,yara jipsa lazi tede
We are sure of success.,wola miq blesa dige suksa
He is quite punctual in following routines.,bima miq zalga cruba nute florlreCi fluqmisa
I got your flowers but I forgot what they were for.,musta gemsuti yara fulmisa bat musta fargsuti wec Cefa miq vore
He has been loving that one tree's fruit.,bima hav miq lovreCi Cat med tokfiva viqa
This activity should not be attempted in windy conditions.,kim zadza gas pim miq timpsuti nute sarfa kindmisa
The research I found on the topic was limited.,dan kruva musta fonda neve dan xolva miq limsuti
Where does all the rain water go?,mik tim con dan rexa wota higi
"Nature was at her peak, blending the wild blooms with various shades of green.",noxa miq kide gesa peksa blinreCi dan glok blomi wime vrolmisa dronmisa dige gunu
"Water was dripping from the trees, and the grass was wet.",wota miq tripreCi zige dan tralmisa gim dan gara miq lipu
I hear that her mother is in another city.,musta yidi Cat gesa wumsa miq nute medkor Cista
"If he is available, ask him to call me.",jid bima miq flaba zoka bima nime kugi musta
"It is not a bad situation, don't worry.",hina miq pim med vat stuta pim barpa
My teacher is very kind.,musta penta miq cin kija
I went shopping in order to buy a new jeans.,musta higsuti kuspreCi nute dora nime bliqa med hiv djenmisa
She would take the animals out before he got home tonight.,gesa wul vogi dan yimlmisa tine befe bima gemsuti homa kimfid
My dad never works on the weekends.,musta dada naf goqmisa neve dan blaqmisa
She writes an e-mail to her best friend.,gesa dugzmisa med djuza malba nime gesa tavmiz vrina
The sun rises at the east.,dan sana rezi kide dan roga
George brushes his teeth twice a day.,garka prakmisa bima krojmisa hedja med yama
When does the train usually leave?,win tim dan trana slormena skimi
My cat runs very fast.,musta pigda rini cin vusu
He catches the train every morning.,bima sorzi dan trana Ciq yambega
He loves to play basketball.,bima fotxmisa nime puli beska
Does he go to river too?,tim bima higi nime mimba mip
You'd better go in and get out of those wet clothes.,troja jipsa higi nute gim gemi tine dige Cat lip klokmisa
It usually rains every day here.,hina slormena rexmisa Ciq yama hema
It smells very delicious in the kitchen.,hina smalmisa cin dalzmisa nute dan zbesa
They haven't been able to solve the problem yet.,Cefa slupa miq blara nime salka dan braba drola
It's about time you spent some money on yourself.,miq dije kala yara falva lin mensa neve yarsefa
You've always taken care of us.,pluba conkal vogdoni krala dige wola
There was always plenty of food.,kema miq conkal pluna dige feda
"Be always brave and truthful, said his father.",miq conkal breva gim trugfala vibsuti bima rodja
Tell them to bring me a leaf.,duli Cefa nime briqi musta med lifa
Why don't you sit down and rest and I'll bring you a piece of fruit.,won pim yara setsi dote gim reqa gim wul briqi yara med nebda dige viqa
"We'll meet soon, brother.",wul yomba snala brasa
Berries are quite delicious.,bralmisa miq zalga dalzmisa
I have to find my lost key.,musta hav nime fani musta lomsuta cuxa
He put down the book and looked at the rock beneath him.,bima pudi dote dan tuqga gim lugsuti kide dan raka broma bima
I'm glad you like it.,miq glada yara like hina
We have some fruit waiting for us inside.,wola hav lin viqa wetreCi vore wola tuqe
She promised she would reserve a room for me.,gesa pramsuta gesa wul jinta med romsa vore musta
Even the tiny flower petals looked vibrant.,vonsa dan tins fula niftmisa lugsuti tambu
Could you come by for dinner tonight?,gin yara komi kize vore palta kimfid
She shivered in the chilly ocean breeze.,gesa golvlsuta nute dan flocmena snola breza
I must have the land checked out.,musta mez hav dan lona yebdsuta tine
They can be divided into three groups.,Cefa gin miq jantsuta nute dem hipmisa
We may have good reason to be proud of ourselves.,wola bip hav tav rasa nime miq pruda dige wolsefa
It is necessary that he should be sent there at once.,hina miq zlaga Cat bima gas miq sedsuti kema kide jubda
I won't believe it unless I see it with my own eyes.,musta pim balvi hina nalza musta visi hina wime musta pleja haqmisa
I wish I had met my uncle yesterday.,musta wiksa musta hav yombsuta musta danta beflyama
I won't phone my friend until they have arrived.,musta pim fensa musta vrina xiz Cefa hav djansuta
She enjoys cooking food on her own.,gesa nedjmisa kaksreCa feda neve gesa pleja
It felt so good to be home.,hina jiksuti Cim tavu nime miq homa
Everything was in good order except the boots.,conkin miq nute tav dora kespa dan spukmisa
"If you go there, you will find him.",jid yara higi kema yara wul fani bima
A little girl said she heard about the cold breeze from around the way.,med wibza grala vibsuti gesa yidsuti dije dan wis breza zige wibe dan taqa
"Today, I see some ripe fruit on that tree.",kimlyam musta visi lin flux viqa neve Cat toka
They usually spent the morning hours in the forest.,Cefa slormena falva dan yambega harsmisa nute dan farsa
Who is your best friend?,fip miq yara tavmiz vrina
"She ate her fruit, took a walk, and then went back to sleep.",gesa binsuti gesa viqa vogsuti med woki gim riz higsuti goke nime zuli
"He loves to read, and he also loves to hike.",bima fotxmisa nime ridi gim bima lus fotxmisa nime hiksa
What is the true meaning of the poem?,wec miq dan toca znofreCa dige dan pemsa
You are showing both sides of an argument.,yara miq riftreCa beksa trijmisa dige med xuftseqa
You are describing a sequence of events.,yara miq desklreCa med sena dige venmisa
I do not know a way to get to the moon.,musta tim pim nomi med taqa nime gemi nime dan luna
The warm sun shined on the trees and drew out all their fragrance.,dan wit sana diqgsuti neve dan tralmisa gim drulsuta tine con Cefa fraga
I enjoyed the stone that you brought for me.,musta nedjlsuta dan mifa Cat yara briqsuti vore musta
The girl ran into the forest.,dan grala rinsuti nute dan farsa
He walked down the path.,bima woksuti dote dan paca
She laughed at the rabbit's activities.,gesa kogzlsuti kide dan rabdfiva zadzmisa
Uncover the hole carefully.,defta dan djoqa karfmena
I love the ocean because fish are so interesting to watch.,musta lovi dan snola puk fika miq Cim kebdreCa nime wuti
I drink juice every morning.,musta vizi djusa Ciq yambega
There's one piece left like yesterday.,miq med nebda bepa like beflyama
"We waited for the train, but the train was late.",wola wetsuti vore dan trana bat dan trana miq litsa
The weather was wonderful with its bright sunshine.,dan rebza miq wentfali wime hina mar sandiqga
Many trees lost their leaves last winter.,viga tralmisa lomsuta Cefa lifmisa lasa winta
The blue sky was cloudless.,dan bag xuma miq diClama
We walked through to the other side.,wola woksuti pibe nime dan kora zada
Does it snow when it is sunny?,tim hina zuna win hina miq sansa
Winter is over and spring has come.,winta miq riqe gim spara hav komi
The sky is full of stars.,dan xuma miq fal dige zitmisa
Where do you want to go on a hike this weekend?,mik tim yara weni nime higi neve med hiksa kim blaqa
The moon goes around the earth.,dan luna higi wibe dan ruga
It was raining yesterday.,hina miq rexreCa beflyama
The clouds are getting darker.,dan diCmisa miq gemreCi ramlmoru
I saw a child standing near the waterfall.,musta vislsuti med kika stonreCi nene dan wotzora
That one near the lake is chipping the rock.,Cat med nene dan laksa miq xapreCa dan raka
She buried her feet in the sand to keep them warm.,gesa bramsuta gesa fotmisa nute dan wiza nime kugzi Cefa witu
We have lovely trees around here.,wola hav last tralmisa wibe hema
"There was no tree for shade in the forest, they all let the light through.",kema miq pim toka vore hufta nute dan farsa Cefa con lid dan zibu pibe
The land is covered with green grass.,dan lona miq yibdsuti wime gun gara
Do these bugs fly?,tim kim bugmisa flari
He dropped the leaf into the fire.,bima dripsuti dan lifa nute dan giba
The birds drink from the still pool of water.,dan ximlmisa vizi zige dan zota plora dige wota
They jump into the river.,Cefa djami nute dan mimba
Birds are making their houses in the tree.,ximlmisa miq mekreCi Cefa flicmisa nute dan toka
Be careful of that broken branch.,miq kralfala dige Cat bruka Ciga
My friend works in the field.,musta vrina goqmisa nute dan cuva
We are riding into the forest today.,wola miq vrodreCa nute dan farsa kimlyam
She ran harder up the hill.,gesa rinsuti harmoru tede dan vefsa
"This area has an abundant rainfall, dense forests, and fertile soil.",kim Calza hav med banta ceksa densa farsmisa gim forta risa
The first tree was near the lake.,dan deqa toka miq nene dan laksa
There is beautiful land lying on both sides of the wonderful river.,kema miq batslfala lona znarlreCa neve beksa trijmisa dige dan wentfali mimba
What is the highest mountain?,wec miq dan tikmiz manta
The countryside is made with beautiful hills.,dan konta miq meksuti wime batslfala vefsmisa
They will go up to the snowy region.,Cefa wul higi tede nime dan pumba reja
The rock was heavy and sharp.,dan raka miq hevu gim zbida
You threw the rock over the river?,yara krolsuti dan raka riqe dan mimba
"Even in the dense underbrush, it had found another rock.",vonsa nute dan densa plita hina hav fonda medkor raka
The summer is the best time to prune raspberry bushes.,dan zmara miq dan tavmiz kala nime pruna redbrala biksmisa
"You are staying the whole evening, I hope?",yara miq stulwareCi dan hola yamneqa musta hopi
"I study about the earth, and the animals.",musta stada dije dan ruga gim dan yimlmisa
"It isn't cold out there, is it?",hina pim wisu tine kema miq hina
"She ran and ran and ran, until the night came to a close.",gesa rinsuti gim rinsuti gim rinsuti xiz dan fida komsuti nime med losi
"When she woke again, the sun was shining on her face.",win gesa weksuta gon dan sana miq diqglreCi neve gesa fesa
Will you give me a cup of tea?,wul yara gevi musta med kadja dige grasa
Will you try it and see if it makes a difference if wouldn't mind?,wul yara trola hina gim visi jid hina maksmisa med vrusa jid pim mana
Would you like to go on an outdoor adventure?,wul yara like nime higi neve med guspa snuCa
He watched as the wolf disappeared into the tall grass.,bima wutsuti sive dan wolva dispsuta nute dan tals gara
"I know you must be tired, so I will let you rest.",musta nomi yara mez miq trulsuta Cim musta wul lid yara reqa
The dry weather was perfect for building.,dan dar rebza miq kaxa vore baltreCi
Those few pieces of fat pine were a great treasure.,Cat tiva zbizmisa dige fatsa pensa miq med greta tresa
The table and chairs were made of a dark rich wood.,dan lenta gim xoftmisa miq meksuti dige med ram kimsa Cida
She breathed in the ocean air.,gesa ruclsuta nute dan snola piza
We bought a lily and set it in a sunny window.,wola Cugda med jeqkmena gim zeta hina nute med sansa wonta
"We can't keep falling forever, you know.",wola pim kugzi zorlreCi conkal yara nomi
After two years' growth the bushes should be quite tall.,fape noc yezmisa grika dan biksmisa gas miq zalga talsu
She glanced around the lush hills.,gesa glansuta wibe dan luksa vefsmisa
All of the islands have beautiful beaches and lush scenery.,con dige dan wotlonlmisa hav batslfala sembmisa gim luksa znora
"The place is absolutely crammed with plants, a lush green oasis.",dan paka miq xindmena kramsuta wime ripi med luksa gun glacmisa
It is a very vibrant and proud community.,hina miq med cin tambu gim pruda kamuna
The dawn brought cool air and dense fog.,dan dinsa briqsuti gul piza gim densa nugza
"The air was dry and hot, as if she were in a sauna.",dan piza miq daru gim hutu sive jid gesa miq nute med snula
Cherry blossoms are in bloom for a short period.,pruqa blasmisa miq nute blomi vore med gis barda
Scorpions are numerous in the arid regions.,rotxmisa miq clubmisa nute dan pobza rejmisa
"The day was sunny and mild, a perfect day for riding.",dan yama miq sansa gim malta med kaxa yama vore vrodreCa
The majestic river dashes its way towards the valley.,dan madja mimba taskmisa hina taqa jiCe dan valsa
The blossom is fragrant.,dan blasa miq frega
The apple trees are looking beautiful.,dan plara tralmisa miq lugreCi batslfala
The birds are chirping in the trees.,dan ximlmisa miq wosplreCa nute dan tralmisa
The cool breeze is chilling my spine.,dan gul breza miq flocreCa musta joksa
The tides are rushing towards the land.,dan stotmisa miq riksreCi jiCe dan lona
A calm river is flowing from the mountains.,med kam mimba miq folwareCi zige dan mantmisa
The pond has many flowers.,dan benda hav viga fulmisa
Birds are flying around fearlessly.,ximlmisa miq flarlreCi wibe vrulmena
The frogs are trilling in the pond.,dan frugmisa miq meftreCa nute dan benda
The tree has long branches.,dan toka hav len Cigmisa
"Fresh fruit, please.",frik viqa bliz
The sky is so amazingly beautiful today.,dan xuma miq Cim pridmena batslfala kimlyam
Deer are grazing in the fields.,drala miq grazreCa nute dan cuvmisa
The wolf is chasing the deer.,dan wolva miq hibdreCa dan drala
This river contains many species of fish.,kim mimba tonmisa viga spekmisa dige fika
A pack of wolves is howling in the forest.,med vebda dige wolvmisa miq korfreCa nute dan farsa
The clouds caused a sudden blizzard.,dan diCmisa kraflsuta med zdena blaza
