tune,english
juk,wisdom
jul,universe
jun,machine
juz,converse (talk)
kaC,cover
kad,code
kam,calm
kaq,object
kar,call
kax,perfect
ken,communicate
kep,clone
kes,case (situation)
kev,intent
kic,bottom
kij,process
kim,climb
kiq,action
kit,but
kof,default
kol,all
kon,and
koz,z-axis
kub,cube
kuc,constant
kuj,fool
kum,back area
kur,down
lac,air
laj,orient
lam,real
laq,object feature type
lar,y-axis
lat,lot (land)
lef,leaf
leg,square root
len,learn
lez,very much of (-some)
lib,chain
liC,point
lim,low
liq,simulate
lix,add
lon,loan
lop,loop
los,less of (-less) empty
lov,love
luC,rhythm
lud,load
lum,branch
luq,question
lur,lord
lux,string (computing)
maf,male
mak,meat
mal,molecule
man,mind
maz,flow (speech utterance)
meC,great
med,positive
meq,mine
mex,network
min,not know
mip,map (map/reduce)
mis,miss (longing)
miv,idea
mob,source
moc,mouth
moj,emerge
moq,about/encompass
mor,the model of the action (e.g. the transform)
mug,(past particle)
mul,unreal
mun,gut sense
mus,mercy
muv,move
nac,long
nad,static
naj,hell
nam,name
naq,negate
nar,person
nef,a (isolated-element-focus)
nep,nature
nez,nest (structure)
niC,off
nim,not (un- or -im)
niq,omniscient
nit,knit
nix,listen
nok,knock
nol,toward
nos,nest
nov,empty
nub,separate
nuC,center
num,know
nuq,bond
nur,nerd
nux,notion
pab,father
pac,path
paj,magenta
pam,pray
paq,response
par,depart/from
pef,cough
pek,master
pen,yes
pez,intense
pid,pure
pim,permeate
piq,request
pix,tingle
pog,package
pol,pull
pon,different
pos,space
pov,input (computing)
pum,time (count)
puq,pay
pur,poor
put,honorific (address)
pux,bundle (matter condensing)
raf,reference
ral,raw
ran,frog
rap,wrap
raz,resonate
reC,progress
rem,dark
req,wrong
ret,after
rex,array
rig,edit
rin,run
ris,express
riv,to/arrive
roc,straight
rod,update
roj,range
rom,realm
roq,environment
ruk,location
rul,rule (in system)
run,glyph
rus,force
ruv,local
sac,etc.
saj,etc
sam,sound
saq,song
sar,surf
sat,sight
sef,continue
seg,front
sen,sun
sez,sir
sib,describe
siC,hush
sim,same (sym-)
siq,more (-er)
six,all encompasing thing
sol,soul
son,store
sop,so/transition
sov,observe
suC,three
sud,mystery
sum,drug
suq,top
sur,assert
sux,wash
tak,talk
tal,tell
tan,tan (color)
tas,test
tav,conscious
tec,fourteen
ted,tail
tej,down (to be cool with something)
tem,team
teq,like (as if)
tif,left
tin,between
tip,step
tiz,ellipse
tob,tube
toC,set (get)
tom,atom
toq,type
tor,before
tox,text
tuf,good
tug,drink
tul,tool
tun,agent (one who does x)
tuz,because
vab,vibe
vaC,water
vam,having the nature of (-ivity)
var,variable
vax,it
vek,filter
ven,fill (-full)
ves,vessel
vic,bit
vid,veer
vim,way/style
viq,everything
vof,axis
vog,black
vol,via
von,sin
voz,voice
vuc,catch
vuj,reveal
vum,on
vuq,data
vur,remote (far)
vut,vote
wif,connection network (neighborhood)
wik,week
win,when (time location)
wiz,solve
xac,eye
xad,should
xaj,eternal
xam,chime
xaq,share
xef,destroy
xen,result
xep,imagine
xim,speech
xiq,will
xit,provide
xok,copy
xol,show
xon,change
xov,return
xub,seven
xum,sky
xuq,subtract
yaC,sort
yad,away
yam,day
yaq,permanent
yar,year
yax,something
yof,of
yok,practice of focusing on x (-ism)
yol,yell
yon,vehicle
yoz,use
yub,yep
yuc,with (con-)
yuj,measure
yum,yum (food)
yuq,impermanent
yur,polynomial
zag,gain
zal,perspective
zan,one
zas,experience
zav,lie
zeb,public
zem,plasma (matter)
zeq,zing
zif,equal (iso-)
zik,effect
zin,decision
zom,so/great
zoq,presence
zor,fall
zot,identity
zox,sense
zuf,self (auto-)
zul,animal
zun,zone
zup,zap
babaz,baptize
babet,bribe
babul,bubble
babun,baboon
baCum,cotton
badar,butter
badat,beauty
badax,bud (flower)
baden,bide
badij,mix
badol,bottle
badud,tangent (math)
baduj,badger
bafan,dwell
bafem,buff (strength)
baful,baffle
bagal,bike
bagan,pessimistic
bagas,rectangle
bagiz,bark (dog)
bagun,bag
bagup,balk
bajan,beige
bakar,inspect
bakax,backwash
bakek,hatch (egg)
baken,pecan
bakid,backpedal
bakim,fond
bakof,backfire
bakol,buckle
bakon,portion
bakur,senior (rank)
bakut,backtrack
balab,blob
balaC,balloon
balaq,belong
balar,reciprocate
balax,embellish
baled,bait
balej,alarm
balem,blemish
baleq,bully
balif,blow up
balin,blah
baliz,guarantee
balof,blow
balog,mess
balol,ballot
balon,bile
baloz,bawl
baluj,bulge
balum,bloom
baluq,blab
balut,bout
bamem,create
bamip,stage
bamob,bamboozle
banab,variant
banac,beneath
banaj,bandage
banek,punctuate
banen,banana
banid,band (group)
baniq,band (mark)
banix,deform
banol,wrench (move with force)
banut,banter
banux,bunch (up)
bapos,bypass
bapub,boob
barak,bless
baral,barrel
baran,barren
baras,tend (I tend to)
barav,duck (bird)
baref,paraphrase
baren,brain
barep,obscure
barez,box
barim,alfalfa (vegetable)
bariq,berry
barit,orbit
barob,barb
baroC,brother
barom,table
baror,bear (carry)
barug,bacteria
barul,bare
barun,baryon
baruz,buzz
basac,quest
basar,well-seeing
basat,prime
baseg,brace
basen,bust
basol,own
bason,bustle
batak,prank
batan,bat (hit with stick)
batas,dough
batec,batcam
batom,fellow
bator,batter
batox,bat (animal)
batul,birch (tree)
batuz,blot
bawid,building
baxar,herald
baxol,ripe
bayon,blunder
bazal,basalt
bazap,bounce
bazet,bust (action)
bazin,business
bazuk,barrier
bebin,babe
bebip,output
bedan,obedience
bedij,besiege
bedit,brat
bedod,bite
bedoq,wiggle
beduk,accent
bedul,battle
begar,bankrupt
begat,bank (holding)
begig,go
begin,begin
begud,brag
bejop,tragic
bekal,breccia
bekan,beckon
bekic,bequeath
bekor,bankroll
belal,brilliant
belan,bail
belas,blast
belik,cousin
belin,belly
beliz,our
beloC,blood
beloq,bellow
belor,blurt
belot,ability
belox,belch
beluf,blindfold
belun,belt
bemab,bombard
benot,violate
benul,continent
bepob,baby
berab,stutter
berac,birth
beraj,barrage
beram,deviate
beraq,bring up
berar,break up
berid,braid
berim,primp
beriq,bring
berix,breach
berog,insecta
berol,brow
beron,procyonidae
beros,breast
berov,brave
berur,pick out
berut,barter
besal,panic
besit,beset
besuk,basic
betar,buttress
betik,watermelon
betin,taut
betur,bet
betut,under
bibon,bib
biCal,plead
bidal,beetle
bidan,beet
bided,ignorant
bidun,fiction
biduz,bedazzle
bigad,begrudge
bigam,become
bigar,bicker
bigen,cookie
bigov,go on
bigur,beleaguer
bihev,behave
bikor,go ahead
bikuk,plum
bikun,beg
bilal,bill (beak)
bilan,belligerent
bilap,betray
bilas,bristle
bilen,title
bilez,assure
bilod,build
bilom,brake
biloq,billow
bilor,beware
bilox,bewitch
biluk,hardly
bilun,bill (money)
biluz,blister
bimam,horrible
bimon,bemoan
binal,morbid
binan,benign
binet,bean
bipeb,we
biraj,barge
biram,reprimand
biraq,bring down
birar,break (short time)
birat,berate
bireC,breath
bireq,breed
birol,embryo
biron,inevitable
birop,beep
biros,beer
birov,bereave
birud,bridge
biruq,brink
birur,inquiry
bisak,otherwise
bisal,match (competition)
bised,beast
bisem,horror
bisul,behold
bisuv,behoove
bitaq,beach
bitar,obliterate
bitat,stoke
bitur,bitter
bival,bevel
bivot,abbreviate
bizar,bizarre
bizek,cup
bizol,bestow
bodan,bode
bodik,battery
bodin,broccoli
bodoj,remedy
bogiq,bug (bother)
bogog,cosine
bokak,backpack
boked,barricade
bokin,bake
bokuv,barbecue
bolaf,erupt
bolak,boycott
bolan,blend
bolaz,boson
bolen,buoyant
boles,bolster
bolim,beam
boliq,blink
bolit,belittle
bolob,bulb
boloq,fluctuate
bolor,blur
bolun,balance
bolus,blossom
boned,bend
bonin,transact
bonuf,bat (action)
bonuz,boon
borad,b sound
borar,particular
borej,break down
borem,proclaim
boreq,burly
boret,big
borif,brief
borig,screw (bolt)
borin,board
boriz,simple
borof,portfolio
borok,beak
borol,boil
boron,bury
boroz,poison
borub,decimal
borum,pass out
boruq,membrane
borur,pervert
bosik,bask
bosot,burst
botax,batch
botiq,fickle
botit,beat
botok,bloat
bovin,bovinae
bovor,buffer
bowin,blind
buden,abundant
bukad,buck
bulad,10^30
bulaq,bow (arrow)
bular,bloop
buleC,bleed
buleq,eject
bulet,tile
bulex,bleach
bulig,blog
bulin,buoy
bulok,brew
bulon,blunt
bumap,bump
bunad,boundary
bunok,hazelnut
buraf,preference
bural,ball
buran,brand (business)
burap,burp
buraz,brass
bureg,break (pieces)
buren,barn
bures,participate
burib,barbarian
burod,bone
burom,remember
buror,purgatory
butet,unstable
butig,brood
butoq,augment
buyat,butt
cadam,itemize
cadar,autograph
cadur,thud
cafal,avow
cagal,heckle
cagan,thug
cagas,extradite
cagav,archive
cagif,culture (society)
cagor,naughty
cakar,scratch
Cakar,mention
Calol,dispicable
camal,drunk
Camem,obnoxious
camob,blaze
canaj,engender
canam,undermine
canez,analyze
canim,enmesh
canur,thunder
capam,optimize
capol,uphold
carak,10^33
caral,hill
caran,ion
caras,thorax
carav,thrive
Carev,forever
carez,arise
cariq,thread
carit,threat
carom,revolution (society)
caroq,plenty
carox,threshold
carug,amphibian
carul,throttle
casol,assail
casux,eschew
catak,pathetic
cated,outrage
catem,automate
catun,atone
caven,avenge
caxar,chair
cefur,stench
cegos,engross.
cekas,excise
cekij,think over
celik,think
celot,elate
cemut,impute
cenan,inventory
cenot,short
cerol,toil
ceron,south
ceros,art
cerut,puzzle
cesal,unless
cesap,espouse
cetik,apathy
cetos,mole (measurement)
cetux,tooth
cided,get over
cigam,rely
ciket,equate
cimar,theme
cimop,impound
cinan,thin
cinap,inept
cinet,internal
cinod,index
ciram,theorem
cirat,threaten
cirol,thrill
cisal,thistle
Cisan,estrange
citaq,get along
citar,theater
cizut,institute
cobat,hollow
codal,dye
cogar,gap
copod,arthropod
coram,thorn
corax,thrash
corej,originate
coret,revolution
corin,authority
corok,bargain
coron,british o vowel sound
corub,distance (tele-)
corum,through/tunnel
cotaq,rush
covet,overheat
covor,reverse
covul,overlook
Curak,large C sound
cural,nonsense (rubbish)
curan,throne
curap,c sound
cures,orchestrate
curom,thrum
cuvam,overcome
dabak,adhere
dabav,dub
dabob,aware
dacak,stress
daCen,starch
daden,bold
dadep,drop off
dadit,content
dadol,avenue
dafan,defense
dafot,defeat
dafuz,diffuse
dagal,dangle
dagan,duck (below)
dagem,sample
daget,delegate
dagex,emphasis
dagig,dog
dagor,diagram
dajal,jail
dajan,ordinary
dajap,jeopardize
dajaz,joy
dajem,jam
dajeq,junk
dajet,deal
dajig,jagged
dajin,jockey
dajis,justice
dajiv,jive
dajod,judge
dajoj,aggravate
dajom,jump
dajoq,sturdy
dajor,thick
dajuk,fingernail
dajul,jewel
dajun,exchange
dajus,juice
dakar,digress
dakat,dunk
daken,doctrine
dakib,bill (bird)
dalac,cuckold
dalam,pity
dalar,delirious
dalat,suck
dalem,dilemma
dalik,approximate
dalin,dally
dalis,delicacy
daliv,dew
dalol,matter (physics)
dalon,road
dalop,weapon
dalov,deliver
dalud,delude
damal,extend
daman,diamond
damik,donkey
damor,diameter
damot,demote
damun,doom
damup,dam
danam,dawn
danaq,pawn
danat,denote
danen,donation
daniq,dine
danol,download
danoz,dance
danud,dignity
danur,dinosaur
dapek,shiver
dapic,depth
dapid,dilapidate
dapol,deplete
daraf,draft (version)
darag,drag
daral,dry
daran,damn/dam
daraz,douse
darek,directory
daren,dwarf
dares,dress (put on clothes)
darev,candela (measurement)
darid,put
darim,philosophical system
daroj,dredge
darom,human
daror,drop in
darot,dire
darul,drool
darun,draw
darup,drop
darus,radius
daruv,put on
dasad,dissident
dasar,disability
dasep,dissipate
dases,understand
dasim,dismiss
dasiq,distinct
dasit,disparity
dasok,skid
dasol,disclose
datal,deadlock
datik,dart
datin,detonate
datot,destitute
davek,ejaculate
daven,generate
davur,divert
daxaq,hangover
daxar,gyrate
daxat,chert
daxen,university
daxiq,sophisticated
daxon,decrease
daxop,chapter
daxur,jargon
dayut,dependent
dazaf,doze
dazak,daze
dazal,dazzle
dazan,gender
dazaz,disease
dazin,dizzy
dazip,disappear
dazul,educate
dazun,tough
dazus,run out of
debol,dabble
debur,dab
decik,discover
dedak,tick tock
dedan,drench
dedoj,appendage
defar,difference (subtraction)
degar,degrade
dejad,strive
dejam,gym
dejaq,alert
dejar,run into
dejax,eminent
dejin,gene
dejip,over
dejis,gist
dejok,joke
dejol,juggle
dejon,jade
dejoz,jest
dejuj,frugal
dejum,burn
dejuq,relieve
dejur,jowl
dekal,palm
dekit,duct
dekod,decode
delan,delta (water)
delig,magnitude
delin,dolphin
delod,illuminate
deluk,delicate
demar,democrat
demat,damp
demiz,democracy
demop,dump
denal,drab
denap,dune
denim,responsible
denit,dense
denuk,dent
deram,drama
derat,direct
derax,hyphen
derib,10^6
derim,dream
derof,definite
derol,drill
deron,drain
derop,drape
deroz,enter
derud,put up with
derur,drop out
desak,dissect
desal,dislodge
desan,dissent
desid,disdain
desiq,daisy
desob,disband
desor,disburse
detat,detach
detig,diuretic
detud,friend
devan,hobby
devor,divorce
devot,devote
devus,devastate
dexan,blond
dexiq,vigilant
dexit,jet
deyot,doubt
dezar,discard
dezik,dice
dezin,pyramid
dezoz,dynamic
dezut,destruct
dibaq,debunk
dibar,department
dibat,despite
diben,slander
diCan,fast (eating)
dicar,disrupt
dicat,distract
diCeq,stupendous
didal,detail
dideq,site
didus,deduce
difad,defraud
difam,diaphragm
difar,defer
difen,deify
difep,display
difok,defy
difol,deflect
difon,defend
difos,deface
difur,differ
digam,predicament
digar,denigrate
digen,decay
digon,dignify
digur,dig
dihek,disgrace
dijab,gibberish
dijam,lash
dijaq,spite
dijar,deer
dijax,diet
dijek,reject
dijen,indecision
dijes,adjacent
dijog,jeer
dijol,digital
dijon,disjoint
dijoz,jeez
dijuj,fabricate
dijum,unravel
dijuq,jingle
dijur,relative
dijut,basis
dikak,physical
dikal,declare
dikan,decline
diked,dictate
dikor,remembrance
dikus,cram
dilak,delectable
dilan,dill
dilen,delay
dilom,delimit
dilor,accommodate
dilun,discuss
dimen,demon
dimez,devise
dimol,demolish
dimon,imagination
dimux,diminution
dinak,deny
dinan,denounce
dined,danger
dipal,deplore
dipas,depress
dipav,deprive
dipet,deprecate
dipor,deport
dipuk,kindle
dipul,deploy
dipuz,decompose
dirad,deride
dirar,elm (tree)
dirax,direction
diret,mote
dirok,direct (focus)
dirol,dribble
diron,tuber (vegetable)
dirum,proud
disag,disfigure
disal,dispel
disan,descend
disas,disgust
disav,deceive
diseb,disable
disoC,diss
disor,dissuade
disot,distill
disox,dispatch
disuf,decipher
disul,dislocate
disun,dispense
disup,disciple
disuz,despise
ditad,deed
ditar,deterrent
ditax,ditch
diten,detain
dites,detest
ditok,detect
dival,divulge
divan,echo
divaz,divest
divet,deflate
divor,devour
divuk,glue
divus,diverse
divuv,derivative
dixak,dish
dixal,kind (pleasant)
dixav,dishevel
dixed,aggress
dixeq,boy/girl friend
dixun,restrain
dixuz,overdo
dizam,dismantle
dizar,desire
dizat,disaster
dizeg,disregard
dizen,disseminate
dizon,conduct
dizop,dispute
dizur,deserve
dobit,debit
dobub,two
doCin,steadfast
dodap,enormous
dodas,dork
dodet,datetime stamp/instance in time
doduk,deduct
dojam,marijuana
dojaq,circumstance
dojar,jury
dojat,jut
dojef,entangle
dojen,journey
dojib,jab
dojim,germ
dojiq,stiff
dojol,dimple
dojon,joint
dojos,jostle
dojud,jew
dojur,jack (tire)
dokan,portrait
dolag,dialogue
dolas,adolescent
dolek,grate
doliq,cloak
dolot,dilute
domum,state
domut,figure
donik,animate
donot,donate
dopan,dope
dopis,bark (tree)
dorab,follow
doraj,malicious
doram,crow (bird)
doraq,drown
doreC,dash
dored,east
doreq,during
dorin,underneath
dorip,droop
doris,dress up
doriv,fate
dorog,degree
doron,drone (sound)
doros,desert
dorov,multicellular life
dorum,drum
dorut,dirt
doset,district
dosor,discourse
dosuk,across (trans-)/cross
dosus,reduce
dotiq,doting
dovin,dove (bird)
doxal,jolt
doxan,quintessential
doxin,fertilize
dozar,jerk
dozen,elevator
dozit,stool
dozok,desk
dugan,suffer
dujag,jog
dujal,joule
dujan,journal
dujas,gesture
dujav,swift
dujeb,bar
dujem,gel
dujeq,expense
dujik,jack (take)
dujin,jinx
dujiz,rectify
dujom,jumble
dujor,juke
dujot,traffic
dujox,picket
dukar,mediocre
dular,dole
duled,dilate
dulif,leak
duliz,duly
dupit,duplicate
dupok,dupe
durak,harm
dural,truculent
duran,dragon
duras,heavy
duren,put off
durep,d sound
durit,electricity
dutan,dote
duxam,fertile
duxar,germinate
duxek,adjudicate
duxen,rejuvenate
duxiq,inert
duxon,military
duzin,army
faban,handy
faCum,fathom
fadad,demeanor
fadic,found
fadij,fudge
fadit,facilitate
fadol,radish (vegetable)
faget,signature
fagoC,fax
faguk,foul
fakam,surge
fakes,squirm
falam,film (residue)
falaq,flaw
falar,falter
falat,flat
falax,flesh
faleb,fall apart
falem,flame
faleq,folly
falif,fulfil
falik,bland
falin,falcon
falon,flaunt
falop,hop
faloz,flab
falud,fluid
falum,fly (action)
falur,flatter
famal,fumble
famis,fantasy
famul,graze
fanar,fondle
fanat,fang
fanef,fan (favorite)
fanen,rebound
faniq,writhe
fanix,foundation
fanol,magnify
fanos,fun
fanov,fawn (over)
fanud,fund
fanum,phantom
fanur,find out
fanux,font
farag,fog
faral,fragile
faran,frequency
faras,sail
farav,10^24
farek,euphoric
faren,danish e vowel sound
farez,phrase
fariC,foresee
farid,farad (measurement)
farim,farm (activity)
farix,refurbish
faroC,feather
farom,far
farot,fart
farox,fresh
farul,fractal
farun,makeup
fasad,corrupt
fasam,bean (vegetable)
fasen,fasten
fasit,facet
fatik,faint
fator,factory
fatot,tempt
fatuz,compensate
favar,favorite
faxaq,aroma
faxar,compromise
faxix,rummage
faxon,fashion (style)
fayar,flout
fayut,fluster
fazan,pheasant
faziz,fuzz
febar,ebb
febik,fabric
fedak,fret
fedan,fade
fedid,food
fedij,fidget
fediq,wun
fedor,federate
fedug,poise
fedul,fad
fegok,forgo
felan,flee
felap,flap
felas,file (sand)
felif,pepper (vegetable)
felig,flake
felin,felt (material)
feloC,appear
felod,fold
feloq,tax
felor,failure
feluk,glow
feluz,complex
femin,honey
femis,famous
fenal,heft
fenan,diffract
fenit,fan (machine)
fenix,analysis
fenod,fend
fenul,struggle
feram,format
ferar,fragrance
ferat,foot (measurement)
feriC,frost
ferim,publish
feriq,fray
ferix,fish
feron,frenzy
ferux,fortune
fetaq,extraordinary
fetat,foist
fevor,favor
fewit,fight
fexit,officiate
fezab,feasible
fezik,deter
feziz,feces
fibol,feeble
fibur,flea
fiCal,violin
ficat,faith
fidal,fiddle
fidas,fetus
fidav,definitive
fideq,feed
figek,fake
figur,finger
figut,flick
filak,funk
filan,felidae
filep,flip
filom,film (material)
filoq,fleeting
filor,filtrate
finak,feign
final,final
finan,finance
finaz,finish
fined,faint (dizzy)
finem,phenomenon
finex,finch
finus,incinerate
firad,vowel large E sound
firaj,refrigerate
firam,ferment
firet,frame
firex,friction
firok,freak
firon,funny
firos,hiss
fisal,fizzle
fisan,feast
fisaz,fizz
fitar,fantastic
fitep,fret (get upset)
fitur,feat
foCor,further
fodal,ford
fodet,eight
fogev,forgive
fokik,halt
fokuv,fork
folaf,fulfill
folag,flog
folan,foil
folek,mirror
folid,exfoliate
folij,foliage
folim,phloem
foliq,flay
folom,f sound
folor,flower
folot,float
folun,few
folup,flop
folus,fill out
fonik,even (though)
fonin,fountain
fonot,photon
foraC,fear
foram,former
foraq,fern
forax,flourish
fored,foe
forej,forge
forem,ant
forin,foreign
forip,twitch
foriz,freeze
forog,ferry
forol,formula
foron,fine (good)
foruc,there
forum,form
forur,fail
forut,fort
foset,faucet
fotut,right (direction)
foxik,flashy
foxul,foreshadow
fudat,bad
fugot,fumigate
fulab,lob
fulaj,flirt
fulam,butterfly
fulaq,flank
fular,fill in
fuled,field (math)
fulex,flush
fulip,soothe
fulis,fallacy
fulog,fungus
fulon,flute
fuman,foment
fupad,pod (flower)
furak,ant (animal)
fural,formal
furan,prompt (speed)
furen,furnace
fures,forecast
furim,formulate
furit,infuriate
furom,foremost
furoq,furrow
fusat,fast
gabal,knead
gabeb,guide
gaboq,gob
gabor,gabbro
gabul,gobble
gaCar,affect
gaCim,magnificent
gadar,fence
gadax,german i vowel sound
gaden,grunt
gades,lentil
gadid,god
gadim,disk
gadon,disgruntle
gadut,solitude
gafan,guava
gafap,goof
gagak,child
gagal,ad
gagor,gag
gakol,gunk
gakur,gawk
galad,lay
galar,glad
galax,glacier
galec,gallery
galem,embody
galeq,loud
galet,recite
galin,glance
galiz,glaze
galof,gulf
galok,lick
galol,superb
galon,glide
galub,glob
galum,glamorous
galur,glass
gamal,camel
gamap,compliment
gamor,gum
ganad,condescend
ganar,confront
ganef,confident
ganen,reckon
ganep,industry
ganit,-gon (polygon)
ganix,piano
ganol,gown
ganon,champion
ganos,gneiss
ganov,steal
ganur,gargle
gapar,scold
gapol,grapple
garal,foot
garan,grand
garap,issue
garas,gregarious
garav,graviton
garef,graft
garen,granite
garez,lubricate
garib,grab
gariq,grizzly
garix,garnish
garod,g sound
garom,cost
garoq,broadcast
garor,delusion
garuk,quark
garul,garble
garun,deficit
garuz,again (re-)
gasab,grasshopper
gasar,gas
gasen,gasoline
gason,gust
gasov,pride
gator,gutter
gavib,groove
gavol,grovel
gaxix,scout
gaxok,gash
gaxux,probe
gayat,gate
gazal,worse
gaziz,possess
gazor,geyser
gazul,guzzle
gedan,glitter
gedij,gauge
gediq,gait
gefin,cheese
gelal,garland
gelan,gland
gelav,glove
gelin,gluon
gelip,gill
geliz,10^4
gelob,planet
gelom,glimpse
gelox,only
gemip,complete
gemoz,vowel e sound
genus,construe
genuv,converge
gepor,gape
gerac,jaw
gerad,grid
geraj,carrot
geram,arm
gerar,grammar
gerim,grim
gerit,hello
gerix,repetition
gerok,cake
gerol,gripe
geron,cauliflower
geros,guess
gerov,gravity
gerub,seize
gerur,garner
gesot,ghost
gexiq,personality
gezat,gaze
gibax,consolidate
gibur,hero
gigol,giggle
gilag,glee
gilan,glisten
gilas,recruitment
gilav,galvanize
gilen,glean
gilot,exile
gilup,lip
gimam,magic
gimol,benefut
girab,grebe
giram,grimace
giraq,grin
girar,gear (wear)
gired,grade (score)
girog,greed
girol,case (container)
giron,buy
giros,grass
girov,grieve
girur,that
girut,grit (strength)
gisap,grease
giset,guest
gitut,gut
gived,give away
godal,thumb
godoq,agitate
gojam,parrot
golan,gulp
golap,gallop
goleg,roll
golen,lay off
golod,goat
golor,glare
goluk,your
gomib,serious
gomop,new
goneq,fair (just)
gonet,constraint
gonod,instrument
gonuk,apartment
gopor,grope
gopot,quaint
goram,gram (measure)
gorat,correlate
goreb,grape
gorej,graduate
gorem,factor (math)
gorik,gore
gorin,groan
goriz,eat up
gorol,gurgle
goron,grow
gorop,group (math)
goroz,axe
goruc,grass roots
gorud,gratitude
gorum,row
goruq,lion
gorur,growl
gosip,firm
gosul,bath
gotur,gloat
govik,height
govul,border
govun,govern
goxig,scam
gubob,like (filler)
gugal,outlandish
gujan,gouge (indent)
gukam,factor
gulam,gloom
gular,abroad
gulat,guilt
gulik,craft
gulis,gloss
gulon,bewitched
gulop,preach
gunam,quality
guraf,crucify
gural,destiny
guran,ground
guraz,grit
gurek,croak
guren,well (water)
gures,grasp
gurev,rub
gurim,grumble
guriq,rung
gurom,groom
guror,grow up
gurot,provoke
gutex,engineering
gutik,pill
gutot,antenna
habal,rope
haban,happen
habaz,abstract
habeC,applaud
habex,abolish
habik,embrace
habin,hibernate
habis,obsess
habiv,cherish
haboj,abjure
habor,abhor
habot,overlap
habul,hobble
habup,abrupt
habus,abuse
hacal,athlete
haCar,cautious
haCek,proficient
haCen,announce
haCid,acid
hacik,authenticate
hacis,assist
hacor,author
hacot,arrest
haCur,rigorous
hadab,outburst
hadam,admire
hadar,attire
hadax,lens
hadek,adequate
haden,audition
hades,myrtle
hadev,non-dual
hadic,news
hadid,indeed
hadij,ideology
hadim,admission
hadof,repel
hadog,hound
hadol,idle
hadon,adorn
hadoz,odds
haduj,hedge
hadum,adamant
hadur,adore
hadut,tilt
hafaf,huff
hafal,encourage
hafan,often
hafaz,bomb
hafet,curb
hafex,thaw
hafig,deposit
hafin,offend
hafis,fuss
hafod,conserve
hafor,affirm
hafuk,production
haful,discriminate
hafun,refer
hafus,efficacy
hagak,hack (work)
hagal,agriculture
hagan,icon
hagas,axon
hagav,heel
haged,scar
hagej,engage
hagem,exaggeration
hagif,enforcement
hagin,agony
hagip,boost
hagiz,exaggerate
hagob,hexapoda
hagom,axiom
hagor,hag
hagox,serve
hagul,haggle
hagun,auction
haguz,exert
hajak,hijack
hajor,aperture
hakaC,captivate
hakad,tie
hakam,establish
hakar,recognition
hakax,actualize
haken,choke
hakep,equip
hakes,access
hakev,activate
hakim,enchant
hakiq,subdue
hakit,acquit
hakof,seizure (taking)
hakok,engraving
hakol,axel
hakon,meadow
hakoz,extol
hakub,obstacle
hakum,accompany
hakur,acquaint
halad,elm
halam,hue
halar,luxury
halax,hair
halec,ethnicity
halej,allege
halet,haul
halif,suit (clothing)
halig,mock
halin,cushy
haliz,always
halof,option
halok,law
halol,permissible
halon,alone
haloz,hell (emphasize surprise)
halub,protein
halum,helm
halur,allure
hamaf,amplify
hamal,queue
haman,amount
hamap,ampere (electric current)
hamaz,amaze
hamem,stun
hamet,hum
hamex,ambush
hamig,ungulate
hamin,amend
hamis,melt
hamiv,envy
