head,marks,gloss
族,78,"a family clan"
毛,78,"hair"
田,78,"field"
部,77,"tribe"
布,77,"cloth"
母,77,"female elders"
牌,77,"signboard"
好,76,"nice"
报,76,"report"
相,76,"mutual"
架,75,"rack"
解,75,"loosen"
品,75,"article"
林,75,"forest"
味,75,"taste"
包,74,"pack"
词,74,"word"
酸,74,"acid"
體,74,"body"
见,73,"see"
话,73,"speech"
南,73,"south"
主,73,"master"
边,72,"side"
者,72,"that which"
条,72,"strip"
案,72,"table"
兵,72,"soldier"
源,72,"source"
車,72,"land vehicle"
刀,71,"knife"
集,71,"assemble"
嘴,71,"mouth"
曲,70,"crooked"
根,70,"root"
風,70,"wind"
西,69,"west"
有,69,"have"
望,69,"look at"
步,69,"step"
足,69,"foot"
虫,69,"bug"
門,69,"gate"
外,68,"outside"
实,68,"real"
种,68,"seed"
粉,68,"powder"
能,67,"be able"
立,67,"stand"
居,67,"live"
盘,67,"tray"
尾,67,"tail"
友,66,"friend"
通,66,"pass through"
业,66,"profession"
肉,66,"meat"
运,66,"luck"
美,66,"beauty"
官,66,"official"
视,65,"look at"
进,65,"advance"
称,65,"call"
产,65,"give birth"
掉,65,"fall"
到,64,"go to"
程,64,"journey"
战,64,"war"
夫,63,"man"
着,63,"make move"
于,63,"in"
调,63,"transfer"
器,63,"receptacle"
底,62,"bottom"
装,62,"dress"
式,62,"style"
公,62,"fair"
龙,62,"dragon"
来,61,"come"
夜,61,"night"
代,61,"generation"
义,61,"right conduct"
货,61,"goods"
干,61,"dry"
牛,61,"cow"
血,61,"blood"
香,61,"fragrant"
動,61,"move"
長,61,"long"
去,60,"go"
里,60,"inside"
处,60,"place"
堂,60,"hall"
具,60,"tool"
笑,60,"laugh"
除,60,"eliminate"
鼠,60,"rat"
室,59,"room"
节,59,"knot"
界,59,"boundary"
任,59,"trust to"
类,59,"class"
东,59,"east"
树,59,"tree"
局,59,"bureau"
兒,59,"child"
次,58,"order"
过,58,"pass"
像,58,"a picture"
经,58,"classic works"
向,58,"toward"
区,58,"zone"
毒,58,"poison"
军,58,"army"
款,58,"item"
宁,58,"calm"
级,57,"level"
伤,57,"wound"
交,57,"hand"
座,57,"throne"
令,57,"command"
打,57,"beat"
职,57,"duty"
罪,57,"crime"
清,57,"clear"
川,57,"river"
影,56,"shadow"
克,56,"gram"
证,56,"proof"
约,56,"treaty"
章,56,"chapter"
质,56,"matter"
射,56,"shoot"
击,56,"strike"
权,56,"power"
線,56,"thread"
歌,55,"song"
说,55,"say"
首,55,"head"
乐,54,"happy"
想,54,"want"
正,54,"upright"
势,54,"power"
电,54,"electric"
牙,54,"tooth"
巴,54,"greatly desire"
斗,54,"a dipper"
回,54,"return"
药,54,"medicine"
素,54,"white"
甲,54,"armor"
卡,54,"card"
波,54,"wave"
糖,54,"sugar"
號,54,"name"
后,53,"backward"
件,53,"numerary adjunct for article"
容,53,"looks"
保,53,"protect"
米,53,"rice"
痛,53,"pain"
走,53,"go"
脚,53,"feet"
基,53,"foundation"
轮,53,"revolve"
院,52,"courtyard"
达,52,"arrive at"
结,52,"tie"
感,52,"feel"
念,52,"think of"
型,52,"pattern"
書,52,"book"
場,52,"open space"
息,51,"rest"
变,51,"change"
害,51,"injure"
态,51,"manner"
都,51,"all"
叶,51,"leaf"
杀,51,"kill"
數,51,"count"
床,50,"bed"
算,50,"count"
值,50,"price"
放,50,"put"
密,50,"dense"
选,50,"choose"
鸟,50,"bird"
要,49,"necessary"
图,49,"chart"
象,49,"elephant"
速,49,"quick"
特,49,"special"
端,49,"end"
政,49,"government"
层,49,"layer"
间,48,"interval"
等,48,"rank"
办,48,"manage"
送,48,"dispatch"
当,48,"while"
标,48,"mark"
差,48,"differ"
婆,48,"old woman"
红,48,"red"
馬,48,"horse"
班,47,"class"
是,47,"be"
蛋,47,"egg"
直,47,"straight"
爱,47,"love"
表,47,"sheet"
活,47,"live"
瓜,47,"melon"
知,47,"know"
元,47,"first"
笔,47,"pen"
销,47,"melt"
景,47,"scenery"
治,47,"govern"
读,47,"read"
迹,47,"search"
刑,47,"punishment"
兰,47,"orchid"
港,47,"port"
塔,47,"tower"
雨,46,"rain"
茶,46,"tea"
断,46,"sever"
难,46,"difficult"
状,46,"form"
婚,46,"marriage"
热,46,"hot"
時,46,"season"
青,46,"blue"
學,46,"comprehend"
朝,46,"at"
機,46,"weaving machine"
圈,46,"circle"
师,45,"teacher"
市,45,"market"
单,45,"single"
印,45,"print"
关,45,"off"
套,45,"set"
索,45,"rope"
径,45,"narrow path"
業,45,"profession"
同,44,"alley"
游,44,"swim"
求,44,"seek"
切,44,"cut"
系,44,"tie"
指,44,"finger"
志,44,"purpose"
亲,44,"relatives"
例,44,"example"
养,44,"raise"
礼,44,"social custom"
耳,44,"ear"
國,44,"country"
膜,44,"film"
拉,44,"pull"
囝,44,"baby"
样,43,"shape"
问,43,"ask"
查,43,"investigate"
传,43,"summon"
灯,43,"lamp"
托,43,"hold up with palm"
原,43,"source"
鬼,43,"ghost"
鸡,43,"chicken"
孔,43,"opening"
店,42,"shop"
记,42,"record"
满,42,"full"
前,42,"forward"
别,42,"not"
接,42,"catch"
员,42,"member"
费,42,"expenses"
资,42,"property"
华,42,"flowery"
刺,42,"prick"
压,42,"oppress"
王,42,"king"
乱,42,"confusion"
露,42,"dew"
丝,42,"fine thread"
麻,42,"hemp"
饭,41,"cooked rice"
为,41,"do"
才,41,"talent"
高,41,"high"
便,41,"convenience"
述,41,"narrate"
卷,41,"volume"
转,41,"turn"
核,41,"seed"
饰,41,"decorate"
谷,41,"corn"
溪,41,"river"
派,41,"school of thought"
井,41,"well"
校,40,"school"
兴,40,"thrive"
告,40,"with"
照,40,"shine"
务,40,"affairs"
论,40,"debate"
剧,40,"theatrical plays"
乡,40,"country"
境,40,"boundary"
守,40,"defend"
籍,40,"record"
率,40,"rate"
幕,40,"curtain"
藏,40,"hide"
商,40,"business"
环,40,"ring"
杆,40,"pole"
脸,40,"face"
話,40,"words"
蟲,40,"bug"
网,39,"net"
写,39,"write"
纸,39,"paper"
一,39,"one"
了,39,"finish"
展,39,"open"
演,39,"perform"
屋,39,"house"
导,39,"direct"
材,39,"material"
比,39,"ratio"
席,39,"seat"
散,39,"scatter"
考,39,"examine"
春,39,"spring"
略,39,"approximately"
古,39,"old"
液,39,"liquid"
囊,39,"bag"
盤,39,"tray"
勢,39,"power"
题,38,"forehead"
近,38,"near"
队,38,"team"
远,38,"far"
造,38,"construct"
画,38,"painting"
示,38,"show"
计,38,"plan"
户,38,"family"
修,38,"study"
版,38,"printing blocks"
弹,38,"pellet"
菌,38,"mushroom"
仁,38,"humaneness"
湖,38,"lake"
鳥,38,"bird"
亮,37,"bright"
北,37,"north"
箱,37,"box"
付,37,"give"
彩,37,"hue"
使,37,"make"
尔,37,"you"
袋,37,"pocket"
列,37,"column"
账,37,"accounts"
潮,37,"wet"
老,37,"old"
倒,37,"pour"
野,37,"open country"
乳,37,"breast"
塞,37,"stop up"
航,37,"sail"
背,37,"back"
岛,37,"island"
汉,37,"Chinese people"
沙,37,"sand"
會,37,"union"
劇,37,"theatrical work"
錢,37,"money"
多,36,"many"
存,36,"exist"
配,36,"match"
娘,36,"young girl"
破,36,"break"
谈,36,"talk"
库,36,"armory"
洞,36,"hole"
珠,36,"precious stone"
犯,36,"commit crime"
臣,36,"official"
弄,36,"do"
桥,36,"bridge"
丁,36,"male adult"
武,36,"military"
紙,36,"paper"
鼓,36,"drum"
加,35,"add"
典,35,"law"
新,35,"new"
术,35,"art"
营,35,"encampment"
楼,35,"building of two or more stories"
载,35,"load"
针,35,"needle"
限,35,"boundary"
征,35,"invade"
壁,35,"partition wall"
陵,35,"hill"
裂,35,"split"
退,35,"step back"
洗,35,"wash"
块,35,"piece"
竹,35,"flute"
約,35,"bundle up"
狗,35,"dog"
小,34,"small"
末,34,"final"
铁,34,"iron"
议,34,"consult"
史,34,"history"
排,34,"row"
领,34,"neck"
福,34,"good fortune"
失,34,"lose"
录,34,"copy"
置,34,"place"
巾,34,"kerchief"
弱,34,"weak"
父,34,"father"
柱,34,"pillar"
句,34,"phrase"
點,34,"count"
藥,34,"medicine"
黄,34,"yellow"
看,33,"look"
假,33,"falsehood"
在,33,"at"
餐,33,"meal"
育,33,"produce"
观,33,"see"
卖,33,"sell"
云,33,"cloud"
杯,33,"cup"
码,33,"number"
汁,33,"juice"
舍,33,"discard"
齿,33,"tooth"
举,33,"lift"
顶,33,"top"
雅,33,"elegant"
泉,33,"spring"
來,33,"come"
見,33,"see"
龍,33,"Chinese dragon"
戰,33,"fight a battle"
羊,33,"sheep"
斯,33,"this"
因,32,"cause"
思,32,"think"
警,32,"guard"
留,32,"stop"
注,32,"concentrate"
功,32,"achievement"
苦,32,"bitter"
察,32,"examine"
致,32,"delicate"
将,32,"will"
妇,32,"married women"
著,32,"make known"
俗,32,"social customs"
建,32,"build"
黑,32,"black"
伏,32,"crouch"
筒,32,"thick piece of bamboo"
胎,32,"unborn child"
精,32,"essence"
聲,32,"sound"
备,31,"prepare"
现,31,"appear"
应,31,"should"
升,31,"arise"
内,31,"inside"
待,31,"treat"
戏,31,"theatrical play"
丽,31,"beautiful"
烟,31,"smoke"
宝,31,"treasure"
模,31,"model"
腿,31,"leg"
炎,31,"flame"
税,31,"tax"
丹,31,"cinnabar"
筆,31,"writing brush"
腰,31,"pocket"
義,31,"right conduct"
間,31,"within a definite time period or place"
質,31,"matter"
帶,31,"belt"
课,30,"lesson"
常,30,"common"
觉,30,"wake up from sleep"
真,30,"real"
如,30,"if"
给,30,"give"
受,30,"receive"
持,30,"sustain"
雷,30,"thunder"
琴,30,"Chinese lute or guitar"
顺,30,"obey"
扣,30,"knock"
池,30,"pool"
荡,30,"pond"
徒,30,"disciple"
旗,30,"flag"
峰,30,"peak"
补,30,"mend"
盖,30,"cover"
棒,30,"stick"
缘,30,"hem"
控,30,"accuse"
痕,30,"scar"
恩,30,"favour"
胶,30,"gum"
猴,30,"monkey"
君,30,"sovereign"
脂,30,"fat"
餅,30,"flat wheaten food"
種,30,"seed"
愛,30,"love"
罗,30,"net for catching birds"
雞,30,"chicken"
窗,30,"window"
钟,29,"bell"
候,29,"expect"
错,29,"wrong"
鞋,29,"shoe"
群,29,"group"
止,29,"stop"
刻,29,"carve"
及,29,"extend"
急,29,"quick"
历,29,"history"
劲,29,"strong"
收,29,"gather together"
饼,29,"rice-cakes"
段,29,"section"
辞,29,"words"
灭,29,"extinguish"
谱,29,"register"
亡,29,"death"
灵,29,"spirit"
玉,29,"jade"
剂,29,"medicinal preparation"
冠,29,"cap"
枪,29,"gun"
鹿,29,"deer"
視,29,"watch"
哥,28,"elder brother"
播,28,"sow"
护,28,"protect"
怪,28,"strange"
效,28,"result"
律,28,"statute"
肥,28,"fat"
益,28,"profit"
折,28,"break off"
松,28,"fir tree"
府,28,"prefecture"
洋,28,"ocean"
冰,28,"ice"
寒,28,"cold"
脉,28,"blood vessels"
恨,28,"hate"
党,28,"political party"
浪,28,"wave"
漏,28,"leak"
荒,28,"wasteland"
岩,28,"cliff"
師,28,"division of 2500 soldiers"
運,28,"move"
熱,28,"warm"
奶,27,"woman's breasts"
快,27,"fast"
飞,27,"fly"
奇,27,"strange"
准,27,"approve"
紧,27,"tense"
序,27,"preface"
虎,27,"brave"
离,27,"rare beast"
访,27,"visit"
岸,27,"shore"
域,27,"district"
喜,27,"like"
怒,27,"anger"
规,27,"rules"
币,27,"currency"
异,27,"different"
纳,27,"admit"
编,27,"knit"
梁,27,"beam"
氏,27,"clan"
敌,27,"enemy"
苗,27,"sprouts"
轴,27,"axis"
員,27,"member"
葉,27,"leaf"
昌,27,"light of sun"
後,27,"behind"
為,27,"do"
帽,27,"hat"
尺,27,"Chinese measure approx. 'foot'"
尿,27,"urinate"
弟,26,"young brother"
站,26,"stand"
园,26,"park"
助,26,"help"
趣,26,"what attracts one's attention"
烈,26,"fiery"
愿,26,"desire"
梯,26,"ladder"
猫,26,"cat"
防,26,"defend"
先,26,"first"
洲,26,"continent"
童,26,"child"
龄,26,"age"
厚,26,"thick"
微,26,"small"
扬,26,"scatter"
宿,26,"stop"
卫,26,"guard"
劳,26,"labor"
购,26,"buy"
拜,26,"bye"
蜂,26,"wasp"
团,26,"sphere"
额,26,"tablet"
泽,26,"marsh"
壳,26,"shell"
稿,26,"draft"
钩,26,"hook"
尖,26,"sharp"
桶,26,"bucket"
坑,26,"pit"
腹,26,"belly"
記,26,"record"
蛇,26,"snake"
詞,26,"word"
調,26,"adjust"
費,26,"cost"
電,26,"lightning"
司,25,"take charge of"
以,25,"by means of"
听,25,"hear"
试,25,"test"
庭,25,"courtyard"
复,25,"repeat"
强,25,"strong"
杂,25,"mixed"
设,25,"build"
唱,25,"sing"
坏,25,"bad"
极,25,"extreme"
余,25,"surplus"
途,25,"way"
胜,25,"victory"
巧,25,"skillful"
绝,25,"cut"
膏,25,"grease"
锅,25,"cooking-pot"
浆,25,"any thick fluid"
越,25,"exceed"
项,25,"neck"
联,25,"connect"
早,25,"early"
穴,25,"cave"
透,25,"penetrate"
拍,25,"clap"
旋,25,"revolve"
缺,25,"be short of"
碎,25,"break"
瓶,25,"bottle"
坛,25,"altar"
薄,25,"thin"
轨,25,"track"
匠,25,"craftsman"
宫,25,"palace"
审,25,"examine"
權,25,"power"
條,25,"strip"
阴,25,"'female' principle"
祖,25,"ancestor"
尼,25,"Buddhist nun"
眉,25,"eyebrows"
麵,25,"flour"
發,25,"shoot"
貓,25,"cat"
舌,25,"tongue"
樹,25,"tree"
对,24,"correct"
许,24,"allow"
故,24,"ancient"
险,24,"narrow pass"
封,24,"letter"
季,24,"quarter of year"
熟,24,"well-cooked"
从,24,"from"
积,24,"accumulate"
降,24,"fall"
坐,24,"sit"
染,24,"be contagious"
凉,24,"cool"
跑,24,"run"
炮,24,"large gun"
禁,24,"restrict"
谋,24,"plan"
股,24,"thighs"
魂,24,"soul"
仙,24,"Taoist super-being"
帖,24,"invitation card"
柄,24,"authority"
跤,24,"stumble"
枝,24,"branches"
桃,24,"peach"
幅,24,"piece"
兄,24,"elder brother"
產,24,"give birth"
农,24,"agriculture"
樂,24,"music"
論,24,"discuss"
债,24,"debt"
價,24,"price"
務,24,"be engaged in"
殺,24,"kill"
職,24,"duty"
圖,24,"diagram"
藤,24,"rattan"
節,24,"knot"
骂,24,"accuse"
喙,24,"beak"
腸,24,"intestine"
盐,24,"salt"
习,23,"practice"
静,23,"quiet"
闻,23,"smell"
份,23,"portion"
温,23,"lukewarm"
赛,23,"compete"
所,23,"place"
决,23,"decide"
练,23,"practice"
衫,23,"shirt"
责,23,"one's responsibility"
换,23,"change"
售,23,"sell"
疑,23,"doubt"
获,23,"obtain"
弃,23,"reject"
移,23,"change place"
旦,23,"dawn"
灾,23,"calamity"
盆,23,"basin"
讯,23,"inquire"
恶,23,"nastiness"
社,23,"god of the soil and altars to him"
斥,23,"scold"
泡,23,"bubbles"
暴,23,"violent"
宗,23,"lineage"
槽,23,"groove"
牢,23,"prison"
犬,23,"dog"
尽,23,"utmost"
斑,23,"mottled"
樣,23,"appearance"
絲,23,"silk"
邊,23,"edge"
冬,23,"winter"
臺,23,"tower"
沟,23,"ditch"
叫,23,"call"
經,23,"warp"
拳,23,"various forms of boxing"
笛,23,"bamboo flute"
柳,23,"pleasure"
妹,22,"younger sister"
村,22,"village"
此,22,"this"
个,22,"numerary adjunct"
镜,22,"mirror"
败,22,"be defeated"
检,22,"check"
贝,22,"sea shell"
脱,22,"take off"
测,22,"measure"
至,22,"reach"
暗,22,"obscure"
掌,22,"palm of hand"
滑,22,"slip"
提,22,"hold in hand"
距,22,"bird's spur"
连,22,"join"
淡,22,"weak"
肠,22,"intestines"
档,22,"shelf"
损,22,"diminish"
硬,22,"hard"
腔,22,"chest cavity"
圆,22,"round"
街,22,"street"
臂,22,"arm"
泥,22,"mud"
塘,22,"pond"
陷,22,"submerge"
芽,22,"bud"
缝,22,"sew"
缓,22,"slow"
袭,22,"raid"
皇,22,"royal"
砂,22,"pebbles"
丘,22,"mountain"
贼,22,"thief"
戒,22,"warn"
翼,22,"wing"
養,22,"raise"
韵,22,"rhyme"
勒,22,"strangle"
俸,22,"wages"
宴,22,"entertain"
裝,22,"baggage"
爆,22,"crackle"
梅,22,"plums"
橋,22,"bridge"
窝,22,"cave"
弓,22,"bow"
识,21,"recognize"
谢,21,"thank"
周,21,"week"
雪,21,"snow"
久,21,"long time"
自,21,"self"
富,21,"rich"
往,21,"go"
改,21,"change"
乎,21,"interrogative or exclamatory final particle"
善,21,"good"
似,21,"resemble"
技,21,"skill"
奖,21,"award"
秀,21,"ear of grain"
伴,21,"companion"
则,21,"rule"
遇,21,"meet"
请,21,"please"
译,21,"translate"
免,21,"spare"
怀,21,"bosom"
姑,21,"father's sister"
艺,21,"art"
尘,21,"dust"
棋,21,"chess"
侧,21,"side"
锁,21,"lock"
支,21,"disperse"
役,21,"service"
刊,21,"publication"
奏,21,"memorialize emperor"
欲,21,"desire"
伯,21,"older brother"
墙,21,"wall"
乘,21,"multiply"
筋,21,"muscles"
個,21,"single"
把,21,"hold"
伦,21,"normal human relationships"
過,21,"cross"
夏,21,"summer"
魔,21,"demon"
蓝,21,"blue"
術,21,"street"
臭,21,"smell"
莓,21,"moss"
雀,21,"sparrow"
粮,21,"food"
幣,21,"money"
當,21,"face"
爿,21,"half of tree trunk"
軍,21,"army"
禮,21,"ritual"
男,21,"male"
炉,21,"fireplace"
半,20,"incomplete"
诉,20,"accuse"
少,20,"few"
众,20,"multitude"
庆,20,"congratulate"
据,20,"occupy"
可,20,"may"
误,20,"err"
良,20,"good"
映,20,"project"
引,20,"pull"
固,20,"become solid"
训,20,"teach"
汇,20,"a concourse"
椅,20,"chair"
旧,20,"old"
贴,20,"stick"
震,20,"shake"
批,20,"comment"
恋,20,"love"
策,20,"scheme"
雄,20,"male of species"
椒,20,"pepper"
非,20,"not"
链,20,"chain"
阵,20,"column"
媒,20,"go-between"
姆,20,"child's governess"
障,20,"separate"
隆,20,"prosperous"
勤,20,"industrious"
葬,20,"bury"
腾,20,"fly"
援,20,"aid"
威,20,"pomp"
粒,20,"grain"
蒙,20,"cover"
做,20,"act"
铃,20,"bell"
帐,20,"tent"
腳,20,"foot"
實,20,"full"
變,20,"change"
丰,20,"abundant"
参,20,"three"
陽,20,"side"
膠,20,"glue"
汤,20,"soup"
紅,20,"red"
津,20,"ferry"
議,20,"talk over"
計,20,"calculate"
驗,20,"test"
開,20,"open"
煤,20,"coal"
垫,20,"advance money"
蛾,20,"moth"
吃,19,"eat"
姐,19,"elder sister"
忙,19,"busy"
馆,19,"public building"
共,19,"together with"
康,19,"peaceful"
租,19,"lease"
全,19,"maintain"
响,19,"make sound"
舞,19,"dance"
验,19,"test"
慢,19,"slow"
迷,19,"bewitch"
束,19,"bind"
醒,19,"awake"
貌,19,"countenance"
频,19,"frequently"
桌,19,"table"
览,19,"look at"
诊,19,"examine patient"
怨,19,"hatred"
朗,19,"clear"
糊,19,"paste"
若,19,"if"
顿,19,"pause"
镇,19,"town"
磨,19,"rub"
袍,19,"long gown"
庄,19,"village"
丧,19,"mourning"
症,19,"obstruction of bowels"
普,19,"universal"
悟,19,"apprehend"
攻,19,"attack"
捕,19,"arrest"
偶,19,"accidentally"
矿,19,"mine"
辈,19,"generation"
蝇,19,"flies"
减,19,"decrease"
穿,19,"wear"
讀,19,"say aloud"
醇,19,"rich"
岁,19,"age"
弦,19,"chord"
達,19,"lead to"
頂,19,"top of the head"
吉,19,"lucky"
問,19,"ask"
胡,19,"recklessly"
尸,19,"corpse"
傷,19,"wound"
導,19,"direct"
題,19,"forehead"
雕,19,"engrave"
胺,19,"amine"
扇,19,"fan"
卵,19,"horn"
裙,19,"skirt"
給,19,"give"
蘭,19,"orchid"
棍,19,"stick"
霜,19,"frost"
棚,19,"tent"
梨,19,"pear"
羚,19,"species of antelope"
區,19,"area"
宜,18,"suitable"
京,18,"capital city"
妈,18,"mother"
脑,18,"head"
组,18,"group"
易,18,"change"
围,18,"surround"
妻,18,"wife"
三,18,"three"
冷,18,"cold"
扰,18,"disturb"
呼,18,"breathe sigh"
郎,18,"gentleman"
玩,18,"play"
反,18,"reverse"
不,18,"not"
寿,18,"old age"
没,18,"not"
锋,18,"point of spear"
登,18,"rise"
缩,18,"contract"
财,18,"wealth"
更,18,"more"
肢,18,"human limbs"
扎,18,"stab"
拔,18,"uproot"
软,18,"soft"
沉,18,"sink"
烂,18,"rotten"
隙,18,"crack"
罩,18,"hood"
毁,18,"destroy"
岗,18,"post"
亭,18,"pavilion"
盲,18,"blind"
邦,18,"nation"
尊,18,"respect"
委,18,"appoint"
巢,18,"nest"
烷,18,"alkane"
第,18,"sequence"
級,18,"level"
備,18,"prepare"
飯,18,"any cooked grain"
貨,18,"money and goods"
彈,18,"shoot"
進,18,"advance"
關,18,"door bolt"
佬,18,"man"
媽,18,"mother"
報,18,"judge"
別,18,"not"
華,18,"blossom"
墨,18,"ink"
黃,18,"yellow"
灰,18,"ash"
樓,18,"building"
二,17,"two"
医,17,"cure"
睡,17,"sleep"
际,17,"border"
始,17,"begin"
由,17,"cause"
烧,17,"burn"
靠,17,"lean on"
况,17,"condition"
评,17,"appraise"
糕,17,"cakes"
充,17,"fill"
休,17,"rest"
操,17,"conduct"
独,17,"alone"
而,17,"whereas"
址,17,"site"
累,17,"implicate"
迫,17,"coerce"
柜,17,"cabinet"
佛,17,"Buddha"
突,17,"suddenly"
汗,17,"sweat"
深,17,"deep"
驾,17,"drive"
救,17,"save"
狂,17,"mad"
饮,17,"drink"
宅,17,"residence"
赖,17,"bad"
还,17,"also"
鸣,17,"cry of bird or animal"
聚,17,"assemble"
坝,17,"embankment"
旨,17,"purpose"
仗,17,"rely upon"
杖,17,"cane"
翻,17,"flip over"
漆,17,"varnish"
畜,17,"livestock"
瓦,17,"tile"
瘤,17,"tumor"
蚀,17,"nibble away"
渡,17,"cross"
屑,17,"bits"
阻,17,"impede"
匪,17,"bandits"
纱,17,"gauze"
胸,17,"breast"
壶,17,"jar"
潭,17,"deep pool"
薯,17,"yam"
亚,17,"Asia"
焦,17,"burned"
帮,17,"help"
鹬,17,"snipe"
邪,17,"wrong"
搭,17,"join together"
燕,17,"swallow"
碼,17,"digit"
雲,17,"cloud"
鹽,17,"salt"
靈,17,"god"
煙,17,"smoke"
肩,17,"shoulders"
豬,17,"pig"
枣,17,"date tree"
額,17,"forehead"
設,17,"put"
極,17,"ridgepole"
園,17,"garden"
奸,17,"crafty"
绳,17,"rope"
輪,17,"warrant"
箍,17,"bind"
談,17,"talk"
願,17,"desire"
罐,17,"jar"
屎,17,"excrement"
熊,17,"bear"
午,16,"seventh earthly branch"
答,16,"answer"
顾,16,"look back"
己,16,"self"
张,16,"stretch"
整,16,"all"
细,16,"fine"
供,16,"supply"
赏,16,"reward"
弯,16,"bend"
幸,16,"luck"
析,16,"split wood"
召,16,"imperial decree"
宾,16,"guest"
胆,16,"gall bladder"
麦,16,"wheat"
妙,16,"mysterious"
博,16,"gamble"
疾,16,"illness"
誉,16,"fame"
蝶,16,"butterfly"
让,16,"let"
敏,16,"fast"
盛,16,"abundant"
叉,16,"crotch"
探,16,"find"
洁,16,"clean"
延,16,"delay"
予,16,"I"
纹,16,"line"
耗,16,"consume"
笼,16,"cage-like basket"
灶,16,"kitchen stove"
辩,16,"dispute"
艇,16,"small boat"
廊,16,"corridor"
患,16,"suffer"
寨,16,"stockade"
薪,16,"fuel"
签,16,"sign"
藻,16,"splendid"
仪,16,"ceremony"
英,16,"petal"
辣,16,"peppery"
層,16,"pile up"
浦,16,"bank of river"
鐵,16,"iron"
栗,16,"shiver"
孝,16,"filial piety"
敵,16,"enemy"
禄,16,"blessing"
银,16,"silver"
腦,16,"brain"
婦,16,"married woman"
祭,16,"sacrifice to"
內,16,"inside"
虱,16,"louse"
渣,16,"refuse"
狼,16,"wolf"
證,16,"prove"
投,16,"throw"
護,16,"protect"
習,16,"flap"
冲,16,"bolt"
桐,16,"name applied various trees"
孫,16,"grandchild"
蕨,16,"Pteris aquilina"
诗,16,"poem"
盒,16,"small box or case"
親,16,"paternal relatives"
燈,16,"lamp"
宇,16,"house"
锤,16,"hammer"
丸,16,"small round object"
殼,16,"shell"
净,15,"clean"
爷,15,"father"
怕,15,"fear"
楚,15,"name of feudal state"
认,15,"recognize"
厂,15,"factory"
齐,15,"even"
判,15,"judge"
替,15,"change"
统,15,"govern"
临,15,"draw near"
订,15,"draw up agreement"
惜,15,"pity"
湿,15,"wet"
虑,15,"be concerned"
省,15,"province"
释,15,"interpret"
罚,15,"penalty"
需,15,"need"
诚,15,"sincere"
私,15,"private"
祸,15,"misfortune"
番,15,"take turns"
辱,15,"humiliate"
滞,15,"block up"
堡,15,"fort"
苏,15,"revive"
坡,15,"slope"
骗,15,"swindle"
箭,15,"arrow"
狱,15,"prison"
晶,15,"clear"
