char,english,pinyin,hsk,total,as_head,as_mark,role
岭,"mountain ridge, mountain peak",lǐng,,130,3,127,both
里,"inside, interior, within",lǐ,1,130,6,124,both
纤,"tow line",qiàn,6,129,5,124,both
线,"line",xiàn,3,126,17,109,both
豆,"beans, peas",dòu,5,126,116,10,both
缘,"hem, margin",yuán,6,126,2,124,both
少,"few",shǎo,1,125,3,122,both
丝,"fine thread",sī,7,122,26,96,both
日,"day",rì,1,122,5,117,both
阔,"wide",kuò,6,120,3,117,both
双,"pair",shuāng,3,119,22,97,both
本,"root, origin, source",běn,1,118,8,110,both
直,"straight",zhí,3,117,11,106,both
钝,"dull",dùn,,117,5,112,both
药,"medicine",yào,2,117,27,90,both
雅,"elegant",yǎ,6,116,1,115,both
湖,"lake",hú,2,115,1,114,both
疆,"boundary, border, frontier",jiāng,6,114,7,107,both
贡,"offer tribute",gòng,5,114,2,112,both
方,"a square, rectangle",fāng,4,114,3,111,both
舌,"tongue",shé,6,113,27,86,both
波,"wave",bō,6,113,4,109,both
野,"open country, field",yě,6,113,28,85,both
岩,"cliff",yán,6,113,22,91,both
喙,"beak, bill, snout",huì,,112,20,92,both
安,"peaceful, tranquil, quiet",ān,4,112,7,105,both
根,"root",gēn,4,111,21,90,both
全,"maintain, keep whole or intact",quán,2,110,5,105,both
贵,"expensive, costly, valuable",guì,1,110,0,110,mark only
薄,"thin",báo,4,109,19,90,both
二,"two",èr,1,109,9,100,both
峨,"lofty",é,,109,2,107,both
卷,"volume",juǎn,4,108,16,92,both
硬,"hard",yìng,4,108,12,96,both
五,"five",wǔ,1,108,13,95,both
甘,"sweetness",gān,6,107,8,99,both
竹,"flute",zhú,5,105,70,35,both
眉,"eyebrows",méi,5,103,3,100,both
蒴,"seed",shuò,,102,38,64,both
弯,"bend, curve",wān,4,102,6,96,both
巴,"greatly desire, anxiously hope",bā,5,102,5,97,both
疣,"tumor",yóu,,101,20,81,both
曲,"crooked, bent",qū,6,99,16,83,both
针,"needle",zhēn,4,99,15,84,both
背,"back",bèi,2,98,7,91,both
冠,"cap, crown, headgear",guān,5,98,30,68,both
柔,"rub",róu,5,97,2,95,both
绒,"silk, cotton, or woolen fabric",róng,6,97,18,79,both
米,"rice",mǐ,2,96,16,80,both
囊,"bag, purse, sack",náng,,95,22,73,both
芒,"Miscanthus sinensis",máng,6,95,19,76,both
兴,"thrive, prosper, flourish",xìng,1,95,0,95,mark only
柳,"pleasure",liǔ,,94,22,72,both
蒙,"cover",méng,6,94,2,92,both
糙,"coarse, harsh, rough, unpolished rice",cāo,5,94,7,87,both
城,"castle",chéng,3,94,0,94,mark only
扁,"flat",biǎn,6,93,33,60,both
乌,"crow, rook, raven",wū,6,93,16,77,both
斑,"mottled, striped, freckle",bān,6,92,10,82,both
口,"mouth",kǒu,1,91,11,80,both
皱,"wrinkles, creases, folds",zhòu,7,91,4,87,both
形,"form, shape, appearance",xíng,6,91,4,87,both
垂,"let down",chuí,7,91,7,84,both
春,"spring",chūn,3,91,16,75,both
越,"exceed, go beyond",yuè,2,91,5,86,both
菜,"vegetables",cài,1,89,77,12,both
粉,"powder, face powder",fěn,6,89,11,78,both
沙,"sand",shā,,89,16,73,both
芹,"celery",qín,,89,87,2,both
罗,"net for catching birds",luó,7,88,24,64,both
德,"virtue",dé,7,87,1,86,both
墨,"ink",mò,7,86,3,83,both
距,"bird's spur",jù,5,86,10,76,both
坡,"slope, bank, hillside",pō,6,86,2,84,both
喜,"like, love, enjoy",xǐ,1,85,10,75,both
康,"peaceful, quiet",kāng,3,85,0,85,mark only
泰,"great, exalted, superior",tài,6,84,3,81,both
宁,"calm, peaceful, serene",níng,5,84,1,83,both
松,"fir tree",sōng,4,83,29,54,both
珠,"precious stone, gem, jewel, pearl",zhū,6,82,26,56,both
肋,"ribs",lèi,,82,10,72,both
明,"bright, light, brilliant",míng,1,82,7,75,both
褐,"coarse woolen cloth",hè,,82,2,80,both
玉,"jade, precious stone, gem",yù,4,82,13,69,both
桂,"cassia or cinnamon",guì,,81,8,73,both
脱,"take off",tuō,4,81,2,79,both
芥,"mustard plant",jiè,,80,71,9,both
节,"knot, node, joint",jié,2,79,24,55,both
网,"net",wǎng,2,77,12,65,both
苏,"revive, resurrect",sū,,77,18,59,both
管,"pipe",guǎn,3,77,8,69,both
甸,"suburbs of capital",diàn,,77,1,76,both
蓝,"blue",lán,2,74,24,50,both
丛,"bush, shrub",cóng,6,73,8,65,both
膜,"film",mó,6,73,15,58,both
克,"gram",kè,2,73,3,70,both
莲,"lotus, water lily",lián,,73,35,38,both
栗,"shiver, shudder, tremble",lì,,73,9,64,both
伞,"umbrella",sǎn,3,73,10,63,both
棱,"squared timber",léng,,72,21,51,both
原,"source, origin, beginning",yuán,5,71,9,62,both
亮,"bright, brilliant, radiant, light",liàng,2,71,4,67,both
鞘,"scabbard, sheath",qiào,,71,12,59,both
欧,"translit.: Europe",ōu,5,71,7,64,both
银,"silver",yín,3,70,19,51,both
皮,"skin",pí,3,70,16,54,both
基,"foundation, base",jī,4,70,5,65,both
微,"small, prefix micro-, trifling",wēi,4,70,5,65,both
定,"decide, settle, fix",dìng,4,70,1,69,both
合,"combine, unite, join",hé,3,68,28,40,both
独,"alone, single, solitary, only",dú,7,68,14,54,both
匍,"lie prostrate",pú,,67,1,66,both
叉,"crotch",chā,5,67,16,51,both
古,"old, classic, ancient",gǔ,3,67,4,63,both
条,"strip",tiáo,2,67,7,60,both
镰,"sickle",lián,,66,10,56,both
荚,"pods of leguminous plants",jiá,,66,20,46,both
阳,"'male' principle",yáng,,66,4,62,both
茅,"reeds, rushes, grass",máo,,66,35,31,both
锥,"gimlet, awl, drill, auger",zhuī,,65,9,56,both
溪,"river",xī,6,64,9,55,both
福,"good fortune",fú,3,64,7,57,both
爪,"fingernail",zhǎo,,64,12,52,both
文,"literature, culture, writing",wén,7,64,4,60,both
秦,"feudal state of Qin",qín,,64,2,62,both
轴,"axis",zhóu,,63,15,48,both
倒,"pour",dào,2,63,6,57,both
牛,"cow",niú,3,62,46,16,both
星,"star",xīng,,62,23,39,both
宝,"treasure, jewel",bǎo,4,62,8,54,both
凹,"concave, hollow, depressed",āo,7,62,3,59,both
连,"join, connect",lián,3,61,16,45,both
武,"military",wǔ,5,61,1,60,both
斜,"slanting, sloping, inclined",xié,5,60,6,54,both
苣,"kind of lettuce",jù,,60,56,4,both
锡,"tin",xī,7,60,5,55,both
太,"very, too, much",tài,1,59,2,57,both
昌,"light of sun",chāng,6,59,0,59,mark only
隆,"prosperous, plentiful, abundant",lóng,6,59,0,59,mark only
尼,"Buddhist nun",ní,,58,1,57,both
吉,"lucky, propitious, good",jí,6,58,3,55,both
变,"change, transform, alter",biàn,2,57,4,53,both
勐,"imperial degree",měng,,57,1,56,both
深,"deep",shēn,3,57,0,57,mark only
浙,"Zhejiang province",zhè,,57,0,57,mark only
芽,"bud",yá,7,56,3,53,both
轮,"revolve, turn",lún,4,56,13,43,both
托,"hold up with palm",tuō,6,55,5,50,both
片,"piece",piàn,2,55,11,44,both
洲,"continent",zhōu,4,55,5,50,both
缅,"distant, remote",miǎn,,55,2,53,both
显,"manifest, display",xiǎn,5,55,2,53,both
纹,"line, streak, stripe",wén,6,55,1,54,both
籽,"seed, pip, pit, stone",zǐ,,54,10,44,both
理,"reason, logic",lǐ,6,54,1,53,both
披,"wear",pī,5,54,1,53,both
翼,"wing",yì,6,53,13,40,both
丹,"cinnabar",dān,,53,15,38,both
国,"nation, country, nation-state",guó,1,53,2,51,both
窄,"narrow",zhǎi,4,53,0,53,mark only
对,"correct",duì,1,52,12,40,both
胞,"womb, placenta, fetal membrane",bāo,6,52,6,46,both
须,"must, have to, necessary",xū,7,52,21,31,both
岛,"island",dǎo,5,52,3,49,both
布,"cloth",bù,3,52,4,48,both
屏,"folding screen, shield",píng,6,52,1,51,both
瓜,"melon, gourd, cucumber",guā,4,51,40,11,both
肉,"meat",ròu,1,51,16,35,both
景,"scenery, view",jǐng,6,51,4,47,both
昆,"elder brother",kūn,5,51,1,50,both
近,"near",jìn,2,51,0,51,mark only
鄂,"Hubei province",è,,51,0,51,mark only
扭,"turn, twist, wrench",niǔ,6,50,10,40,both
顶,"top, peak",dǐng,4,50,11,39,both
瘤,"tumor, lump, goiter",liú,6,50,7,43,both
峰,"peak, summit",fēng,6,50,2,48,both
匙,"spoon",shi,4,49,6,43,both
荠,"water-chestnuts",jì,,49,48,1,both
钟,"bell",zhōng,3,48,14,34,both
塔,"tower, spire, tall building",tǎ,5,48,6,42,both
泽,"marsh, swamp",zé,6,47,16,31,both
钩,"hook, barb",gōu,7,47,16,31,both
瓦,"tile",wǎ,7,47,7,40,both
裸,"bare, nude",luǒ,7,47,11,36,both
筒,"thick piece of bamboo",tǒng,7,47,12,35,both
九,"nine",jiǔ,1,47,4,43,both
苍,"blue",cāng,6,47,4,43,both
锈,"rust",xiù,7,47,0,47,mark only
县,"county",xiàn,4,47,0,47,mark only
湿,"wet",shī,4,46,10,36,both
蔓,"creeping plants, tendrils, vines",màn,6,46,17,29,both
麦,"wheat, barley, oats",mài,5,46,22,24,both
格,"pattern, standard, form",gé,7,46,4,42,both
思,"think, consider, ponder",sī,2,46,4,42,both
剑,"sword",jiàn,6,46,4,42,both
淡,"weak, watery",dàn,4,46,2,44,both
利,"sharp",lì,6,46,2,44,both
陕,"mountain pass",shǎn,,46,0,46,mark only
泊,"park",pō,6,46,0,46,mark only
带,"bring",dài,2,45,13,32,both
斯,"this, thus, such",sī,6,45,2,43,both
源,"source",yuán,5,45,0,45,mark only
沧,"blue, dark green",cāng,6,45,0,45,mark only
肃,"pay respects",sù,5,45,0,45,mark only
盐,"salt",yán,4,44,13,31,both
沼,"lake, fishpond, swamps",zhǎo,6,44,14,30,both
绢,"kind of thick stiff silk",juàn,,44,7,37,both
参,"three",cān,,44,40,4,both
点,"dot",diǎn,1,44,6,38,both
田,"field, arable land, cultivated",tián,6,44,10,34,both
秆,"straw",gǎn,,44,6,38,both
印,"print, seal, stamp, chop, mark",yìn,6,44,0,44,mark only
隐,"hide, conceal",yǐn,6,43,13,30,both
折,"break off, snap",zhé,4,43,3,40,both
鸡,"chicken",jī,2,43,17,26,both
掌,"palm of hand, sole of foot, paw",zhǎng,5,43,9,34,both
秀,"ear of grain",xiù,4,43,2,41,both
垫,"advance money, pay for another",diàn,6,43,3,40,both
革,"leather, animal hides",gé,5,43,3,40,both
黔,"black",qián,,43,1,42,both
鞭,"whip",biān,5,42,15,27,both
雪,"snow",xuě,1,42,13,29,both
刚,"hard, tough, rigid, strong",gāng,2,42,3,39,both
那,"that",nà,1,42,0,42,mark only
加,"add",jiā,2,41,3,38,both
半,"incomplete",bàn,1,40,8,32,both
暗,"obscure",àn,4,40,2,38,both
屿,"island",yǔ,5,40,1,39,both
具,"tool, implement",jù,4,40,0,40,mark only
胡,"recklessly, foolishly",hú,5,39,25,14,both
桃,"peach",táo,5,39,21,18,both
软,"soft",ruǎn,4,39,2,37,both
滨,"beach, sea coast",bīn,6,39,11,28,both
绵,"cotton wad",mián,,39,5,34,both
赤,"red",chì,,38,14,24,both
油,"oil",yóu,2,38,19,19,both
菱,"water-chestnut, water caltrop",líng,,38,6,32,both
建,"build, establish, erect, found",jiàn,3,38,1,37,both
盾,"shield, shield-shaped object",dùn,5,38,15,23,both
盖,"cover",gài,4,38,10,28,both
陵,"hill, mound",líng,6,38,5,33,both
桐,"name applied various trees",tóng,,38,28,10,both
棒,"stick, club, truncheon",bàng,4,38,8,30,both
藜,"Chenopodium album, pigweed",lí,,38,31,7,both
戟,"halberd with crescent blade",jǐ,,38,7,31,both
反,"reverse, opposite, contrary, anti",fǎn,4,37,3,34,both
棕,"hemp palm",zōng,6,37,10,27,both
匐,"fall prostrate",fú,,37,1,36,both
类,"class, group, kind, category",lèi,3,37,6,31,both
怒,"anger, rage, passion",nù,6,37,1,36,both
散,"scatter, disperse, break up",sàn,4,37,3,34,both
莛,"stalks of grasses, etc.",tíng,,37,4,33,both
保,"protect, safeguard, defend, care",bǎo,3,37,1,36,both
港,"port, harbor",gǎng,7,37,0,37,mark only
弱,"weak",ruò,4,37,0,37,mark only
察,"examine, investigate",chá,4,37,0,37,mark only
褶,"pleat, crease, wrinkles",zhě,,36,9,27,both
铁,"iron",tiě,3,36,22,14,both
盘,"tray, plate, dish",pán,4,36,8,28,both
风,"wind",fēng,1,36,28,8,both
聚,"assemble, meet together, collect",jù,4,36,4,32,both
萨,"Buddhist gods or immortals",sà,,36,0,36,mark only
立,"stand",lì,5,35,5,30,both
鼠,"rat, mouse",shǔ,5,35,20,15,both
乳,"breast, nipples",rǔ,6,35,6,29,both
锐,"sharp, keen, acute, pointed",ruì,6,35,0,35,mark only
宜,"suitable, right, fitting, proper",yí,2,35,0,35,mark only
普,"universal, general, widespread",pǔ,4,35,0,35,mark only
钦,"respect, admire",qīn,6,35,0,35,mark only
噶,"phonetic ga",gá,,35,0,35,mark only
帕,"turban, kerchief, veil",pà,,35,0,35,mark only
凤,"male phoenix",fèng,,34,13,21,both
土,"soil",tǔ,3,34,10,24,both
歧,"fork of road",qí,6,34,8,26,both
纳,"admit, take, receive, accept",nà,5,34,5,29,both
梅,"plums",méi,,34,20,14,both
型,"pattern, model, type",xíng,4,34,3,31,both
颖,"rice tassel",yǐng,6,34,8,26,both
滑,"slip",huá,5,34,1,33,both
伊,"third person pronoun",yī,,34,2,32,both
卡,"card",kǎ,2,34,1,33,both
椭,"oval-shaped, elliptical, tubular",tuǒ,6,34,0,34,mark only
帽,"hat, cap",mào,3,33,10,23,both
巨,"large, great, enormous",jù,5,33,4,29,both
儿,"son, child, oneself",ér,1,33,22,11,both
两,"two",liǎng,1,33,3,30,both
鲜,"fresh, new, delicious",xiān,4,33,3,30,both
瑞,"felicitous omen",ruì,,33,5,28,both
准,"approve, allow, permit",zhǔn,3,33,0,33,mark only
孔,"opening, hole, orifice",kǒng,6,32,9,23,both
杉,"various species of pine and fir",shān,,32,25,7,both
关,"off",guān,1,32,1,31,both
百,"hundred",bǎi,1,32,14,18,both
门,"door",mén,1,32,5,27,both
箭,"arrow",jiàn,6,32,9,23,both
茶,"tea",chá,1,32,21,11,both
扇,"fan",shàn,5,32,10,22,both
什,"file of ten soldiers",shén,1,32,1,31,both
哇,"vomit",wa,6,32,0,32,mark only
卧,"lie down",wò,7,32,0,32,mark only
虎,"brave, fierce",hǔ,5,31,14,17,both
蛇,"snake",shé,5,31,22,9,both
落,"fall, drop",luò,4,31,14,17,both
通,"pass through",tōng,2,31,6,25,both
禾,"grain still on stalk",hé,,31,12,19,both
骨,"skeleton",gǔ,5,31,16,15,both
榄,"olive",lǎn,,31,17,14,both
肾,"kidney",shèn,7,31,6,25,both
间,"interval, space",jiān,1,31,1,30,both
达,"arrive at, reach",dá,5,31,1,30,both
展,"open, unfold",zhǎn,4,31,0,31,mark only
朝,"at",cháo,3,31,0,31,mark only
仙,"Taoist super-being, transcendent, immortal",xiān,6,30,16,14,both
鱼,"fish",yú,2,30,16,14,both
团,"sphere, ball, circle",tuán,3,30,5,25,both
永,"eternal",yǒng,4,30,1,29,both
京,"capital city",jīng,1,30,1,29,both
伯,"older brother",bó,,30,2,28,both
度,"degree, system",dù,2,30,1,29,both
自,"self, private, personal",zì,4,30,1,29,both
隅,"corner, nook, remote place",yú,,30,0,30,mark only
粤,"Guangdong and Guangxi provinces",yuè,,30,0,30,mark only
澜,"overflowing",lán,,30,0,30,mark only
库,"armory, treasury, storehouse",kù,5,30,0,30,mark only
梨,"pear",lí,5,29,11,18,both
旱,"drought",hàn,7,29,7,22,both
流,"flow",liú,2,29,3,26,both
足,"foot",zú,6,29,9,20,both
稃,"bran",fū,,29,11,18,both
佛,"Buddha",fú,6,29,1,28,both
乐,"happy, glad",lè,3,29,2,27,both
阴,"'female' principle",yīn,2,29,7,22,both
簇,"swarm, crowd together, cluster",cù,,29,5,24,both
帚,"broom, broomstick",zhǒu,,29,1,28,both
灌,"water",guàn,7,29,0,29,mark only
塘,"pond",táng,5,29,0,29,mark only
鹤,"Grus species",hè,,28,10,18,both
棉,"cotton padded",mián,6,28,8,20,both
偏,"inclined one side",piān,6,28,4,24,both
突,"suddenly, abruptly, unexpectedly",tū,3,28,3,25,both
被,"passive indicator 'by'",bèi,3,28,2,26,both
壳,"shell",ké,7,28,7,21,both
苦,"bitter",kǔ,4,28,16,12,both
楔,"gatepost",xiē,,28,3,25,both
总,"collect",zǒng,3,28,1,27,both
都,"all",dōu,1,28,1,27,both
截,"cut off, stop, obstruct, intersect",jié,7,28,1,27,both
奇,"strange, unusual, uncanny, occult",qí,3,28,1,27,both
壮,"big, large",zhuàng,7,28,0,28,mark only
鲁,"foolish, stupid, rash",lǔ,6,28,0,28,mark only
陈,"exhibit, display",chén,6,27,1,26,both
侧,"side",cè,6,27,6,21,both
万,"thousand",wàn,2,27,10,17,both
壁,"partition wall",bì,5,27,6,21,both
蹄,"hoof",tí,,27,15,12,both
姜,"ginger",jiāng,7,27,19,8,both
琼,"jade",qióng,,27,4,23,both
车,"cart, vehicle",chē,1,27,17,10,both
神,"god",shén,5,27,3,24,both
沟,"ditch, drain, narrow waterway",gōu,5,27,8,19,both
芝,"sesame",zhī,,27,7,20,both
净,"clean, pure",jìng,6,26,1,25,both
列,"column",liè,4,26,6,20,both
锦,"brocade, tapestry",jǐn,6,26,22,4,both
蓬,"type of raspberry",péng,6,26,20,6,both
兜,"pouch",dōu,6,26,9,17,both
樟,"camphor tree",zhāng,,26,7,19,both
雷,"thunder",léi,5,26,4,22,both
冬,"winter",dōng,3,26,11,15,both
宿,"stop, rest, lodge, stay overnight",sù,5,26,4,22,both
环,"ring",huán,3,26,4,22,both
核,"seed, kernel, core, nut",hé,7,26,13,13,both
橙,"orange tree",chéng,6,26,1,25,both
元,"first",yuán,1,26,1,25,both
盈,"fill",yíng,6,26,0,26,mark only
坪,"level ground",píng,,26,0,26,mark only
维,"maintain, preserve, safeguard",wéi,5,26,0,26,mark only
八,"eight",bā,1,25,9,16,both
腋,"axil",yè,,25,2,23,both
干,"dry",gàn,1,25,5,20,both
七,"seven",qī,1,25,13,12,both
眼,"eyelet, hole, opening",yǎn,2,25,13,12,both
延,"delay, postpone, defer",yán,7,25,1,24,both
开,"on",kāi,1,25,3,22,both
杨,"willow, poplar, aspen",yáng,,25,10,15,both
李,"plum",lǐ,3,25,6,19,both
梵,"Buddhist, Sanskrit",fàn,,25,1,24,both
畴,"farmland, arable land",chóu,6,25,0,25,mark only
坝,"embankment",bà,7,25,0,25,mark only
指,"finger, toe",zhǐ,3,24,8,16,both
洋,"ocean, sea",yáng,6,24,8,16,both
浮,"float",fú,6,24,2,22,both
崖,"cliff, precipice",yá,6,24,8,16,both
蒿,"mugwort, artemisia",hāo,,24,20,4,both
上,"up",shàng,1,24,2,22,both
犁,"plow",lí,,24,3,21,both
莓,"moss",méi,,24,10,14,both
王,"king",wáng,4,24,5,19,both
腊,"year-end sacrifice",là,,24,3,21,both
柴,"firewood, faggots, fuel",chái,5,24,12,12,both
清,"clear",qīng,6,24,2,22,both
伏,"crouch, crawl, lie hidden, conceal",fú,6,24,3,21,both
和,"and",hé,1,24,2,22,both
庆,"congratulate, celebrate",qìng,5,24,0,24,mark only
农,"agriculture, farming",nóng,5,24,0,24,mark only
芦,"rushes, reeds",lú,,23,16,7,both
雀,"sparrow",què,6,23,14,9,both
同,"alley, lane",tòng,5,23,6,17,both
羊,"sheep",yáng,3,23,14,9,both
钱,"money",qián,1,23,15,8,both
横,"across",héng,5,23,2,21,both
内,"inside",nèi,3,23,1,22,both
杯,"cup, glass",bēi,1,23,6,17,both
千,"thousand",qiān,1,23,14,9,both
脊,"spine, backbone",jǐ,,23,4,19,both
英,"petal, flower, leaf",yīng,5,23,6,17,both
黏,"stick to",nián,7,23,3,20,both
富,"rich",fù,3,23,1,22,both
有,"have",yǒu,1,23,0,23,mark only
极,"extreme, utmost, furthest, final",jí,3,22,3,19,both
柏,"cypress, cedar",bǎi,,22,17,5,both
火,"fire",huǒ,3,22,16,6,both
旋,"revolve, move in orbit",xuán,6,22,6,16,both
芋,"taro",yù,,22,20,2,both
秃,"bald, bare, stripped",tū,6,22,2,20,both
翠,"color green",cuì,,22,7,15,both
鹿,"deer",lù,7,22,8,14,both
夏,"summer",xià,3,22,8,14,both
公,"fair, equitable",gōng,6,22,4,18,both
钻,"drill, bore",zuān,6,22,5,17,both
血,"blood",xuè,3,22,15,7,both
老,"old",lǎo,1,22,6,16,both
十,"ten",shí,1,22,5,17,both
秋,"autumn",qiū,3,22,8,14,both
座,"throne",zuò,2,22,3,19,both
闽,"Fujian province",mǐn,,22,1,21,both
喀,"vomit",kā,,22,1,21,both
仑,"logical reasons, logical order",lún,,22,0,22,mark only
黎,"numerous, many",lí,6,22,0,22,mark only
哈,"sound of laughter",hā,5,22,0,22,mark only
腾,"fly",téng,7,22,0,22,mark only
泸,"river in Jiangxi province",lú,,22,0,22,mark only
洛,"river in Shanxi province",luò,,22,0,22,mark only
楠,"name of tree, Machilus nanmu",nán,,21,14,7,both
重,"heavy",zhòng,1,21,3,18,both
盔,"bowl",kuī,,21,1,20,both
坚,"hard, strong, firm",jiān,4,21,3,18,both
缕,"thread",lǚ,7,21,14,7,both
葵,"sunflower",kuí,,21,19,2,both
繁,"complicated, complex, difficult",fán,5,21,10,11,both
雄,"male of species",xióng,5,21,1,20,both
月,"month",yuè,1,20,10,10,both
砂,"pebbles, gravel",shā,,20,6,14,both
壶,"jar, pot, jug, vase",hú,5,20,7,13,both
臭,"smell, stink, emit foul odor",chòu,5,20,7,13,both
脆,"crisp",cuì,5,20,3,17,both
莎,"kind of sedge grass, used anciently for raincoats",shā,,20,14,6,both
弥,"extensive, full",mí,6,20,6,14,both
抱,"hold",bào,4,20,1,19,both
岗,"post",gǎng,6,20,1,19,both
宾,"guest, visitor",bīn,2,20,0,20,mark only
洪,"vast, immense",hóng,6,20,0,20,mark only
朗,"clear, bright",lǎng,5,20,0,20,mark only
藻,"splendid, magnificent",zǎo,,19,19,0,head only
锯,"saw",jù,7,19,3,16,both
荔,"lichee",lì,,19,2,17,both
亭,"pavilion",tíng,6,19,2,17,both
丁,"male adult",dīng,5,19,12,7,both
远,"far",yuǎn,1,19,1,18,both
唐,"Tang dynasty",táng,6,19,4,15,both
堇,"yellow loam",jǐn,,19,8,11,both
桑,"mulberry tree",sāng,6,19,7,12,both
冈,"ridge or crest of hill",gāng,,19,3,16,both
苋,"amaranth",xiàn,,19,18,1,both
下,"down",xià,1,19,4,15,both
琉,"sparkling stone",liú,,19,5,14,both
辐,"spokes of wheel",fú,6,19,4,15,both
