domain,meaning,word,note
other verb,ditch,tiC,
other verb,dive,tem,
other verb,divorce,teb,
other verb,dock,tep,
other verb,document,tes,
other verb,donate,tev,
other verb,draft,tez,
other verb,drag,tej,
other verb,drain,tex,
other verb,draw,tec,
other verb,dress,teC,
other verb,drill,tag,
other verb,drip,tap,
other verb,drive,tav,
other verb,drown,taz,
other verb,drum,tax,
other verb,dumpling,tog,
other verb,dwell,tob,
other verb,dye,top,
other verb,earn,tot,
other verb,echo,tof,
other verb,edit,tov,
other verb,educate,toj,
other verb,elect,toc,
other verb,elevate,toC,
other verb,embarrass,tol,
other verb,embrace,tun,
other verb,enable,tug,
other verb,enclose,tud,
other verb,encourage,tut,
other verb,endure,tuk,
other verb,engage,tus,
other verb,enlist,tuf,
other verb,enroll,tuj,
other verb,entice,tuC,
other verb,erase,niqk,
other verb,erupt,nift,
other verb,escape,nidj,
other verb,establish,neps,
other verb,estimate,netx,
other verb,evacuate,nedz,
other verb,evaluate,nesk,
other verb,evaporate,nant,
other verb,evolve,nalp,
other verb,examine,narf,
other verb,exceed,naks,
other verb,exchange,nond,
other verb,excite,nolb,
other verb,exclude,nots,
other verb,excuse,nump,
other verb,exercise,nulf,
other verb,expand,nubz,
other verb,expect,gint,
other verb,expel,giks,
other verb,experience,gibz,
other verb,experiment,gitx,
other verb,explain,gisk,
other verb,explode,gemp,
other verb,explore,gand,
other verb,expose,galb,
other verb,extend,garp,
other verb,extinguish,gagz,
other verb,extract,gadj,
other verb,fade,goqk,
other verb,fail,golp,
other verb,farm,godz,
other verb,fasten,gulv,
other verb,feature,guts,
other verb,feed,gusp,
other verb,fence,dimp,
other verb,ferment,dips,
other verb,field,digz,
other verb,figure,dist,
other verb,file,dets,
other verb,fill,dalf,
other verb,filter,daft,
other verb,find,datx,
other verb,fit,dadz,
other verb,fixate,dasp,
other verb,flag,dorp,
other verb,flake,dobz,
other verb,flame,dunt,
other verb,flare,dulp,
other verb,flash,duks,
other verb,flatter,dudj,
other verb,flavor,bits,
other verb,flee,bidz,
other verb,flesh,beqk,
other verb,flip,bebz,
other verb,float,bedj,
other verb,flock,besp,
other verb,flood,bars,
other verb,fog,borb,
other verb,forbid,botx,
other verb,foresee,bosk,
other verb,forge,bulb,
other verb,forgive,bups,
other verb,fork,bugz,
other verb,format,pamp,
other verb,found,parb,
other verb,fracture,pats,
other verb,fragment,pask,
other verb,frame,porv,
other verb,freeze,pops,
other verb,frost,puls,
other verb,frown,putx,
other verb,fry,tind,
other verb,fuel,tent,
other verb,fulfill,teks,
other verb,fund,talv,
other verb,fuss,tart,
other verb,fuzz,tabz,
other verb,gain,tomp,
other verb,game,torf,
other verb,gang,todj,
other verb,garden,tost,
other verb,gas,tuqk,
other verb,gate,tulz,
other verb,gaze,turp,
other verb,giggle,nimp,
other verb,glide,nint,
other verb,gloss,nind,
other verb,glow,nips,
other verb,glue,nibz,
other verb,gossip,nits,
other verb,govern,nitx,
other verb,grab,nidz,
other verb,grade,nisk,
other verb,grapple,nisp,
other verb,grasp,nist,
other verb,grate,nemp,
other verb,greet,nent,
other verb,grieve,nend,
other verb,grill,neqk,
other verb,grind,neft,
other verb,grip,nebz,
other verb,ground,nets,
other verb,guarantee,nedj,
other verb,guard,nesp,
other verb,guide,nest,
other verb,gulp,naqk,
other verb,gun,nalb,
other verb,hammer,nalf,
other verb,handle,nalv,
other verb,hang,nals,
other verb,harm,nalt,
other verb,harvest,nalc,
other verb,hatch,nald,
other verb,heal,nalk,
other verb,heat,narp,
other verb,hesitate,nars,
other verb,hidden,narz,
other verb,hide,nard,
other verb,hint,narg,
other verb,hire,naft,
other verb,hit,naps,
other verb,hop,nabz,
other verb,hug,nagz,
other verb,hunt,nats,
other verb,hurry,nadz,
other verb,imitate,nask,
other verb,impact,nasp,
other verb,impress,nast,
other verb,improve,nomp,
other verb,incline,nont,
other verb,include,noqk,
other verb,increase,nolp,
other verb,index,nolf,
other verb,indicate,nolv,
other verb,induce,nols,
other verb,infect,nolz,
other verb,infer,nolt,
other verb,inflate,nolc,
other verb,influence,nold,
other verb,inform,nolk,
other verb,inhale,norp,
other verb,initiate,norb,
other verb,injure,norf,
other verb,ink,norv,
other verb,inquire,norz,
other verb,insert,nort,
other verb,inspect,norg,
other verb,inspire,noft,
other verb,install,nops,
other verb,instigate,noks,
other verb,instruct,nobz,
other verb,insulate,nogz,
other verb,insult,nodj,
other verb,insure,notx,
other verb,intend,nodz,
other verb,intent,nosk,
other verb,interest,nosp,
other verb,interpret,nost,
other verb,interrupt,nunt,
other verb,intoxicate,nund,
other verb,introduce,nulp,
other verb,invent,nulb,
other verb,invert,nulv,
other verb,investigate,nuls,
other verb,invite,nulz,
other verb,involve,nult,
other verb,iron,nulc,
other verb,irrigate,nuld,
other verb,isolate,nulk,
other verb,issue,nurp,
other verb,iterate,nurb,
other verb,jam,nurs,
other verb,jet,nurz,
other verb,joke,nurt,
other verb,juice,nurd,
other verb,kept,nurk,
other verb,key,nurg,
other verb,kick,nuft,
other verb,kid,nups,
other verb,kiss,nuks,
other verb,kneel,nugz,
other verb,knit,nuts,
other verb,knock,nudj,
other verb,label,nutx,
other verb,labor,nudz,
other verb,lash,nusk,
other verb,laugh,nusp,
other verb,launch,gind,
other verb,leak,giqk,
other verb,leap,gift,
other verb,leave,gips,
other verb,lend,gigz,
other verb,let,gits,
other verb,level,gidj,
other verb,license,gidz,
other verb,limit,gisp,
other verb,linger,gist,
other verb,list,gent,
other verb,load,gend,
other verb,loan,geqk,
other verb,locate,geft,
other verb,lock,geps,
other verb,lodge,geks,
other verb,log,gebz,
other verb,lose,gegz,
other verb,lump,gets,
other verb,mail,gedj,
other verb,maintain,getx,
other verb,manage,gedz,
other verb,manufacture,gesk,
other verb,market,gesp,
other verb,marry,gamp,
other verb,mask,gaqk,
other verb,master,galp,
other verb,match,galf,
other verb,may,galv,
other verb,measure,gals,
other verb,meditate,galz,
other verb,meet,galc,
other verb,melt,gald,
other verb,mend,galk,
other verb,mention,garb,
other verb,merge,garf,
other verb,mess,garv,
other verb,message,gars,
other verb,metabolize,gart,
other verb,milk,gark,
other verb,mimic,garg,
other verb,mine,gaft,
other verb,mirror,gaps,
other verb,miss,gaks,
other verb,mix,gabz,
other verb,mock,gats,
other verb,mold,gadz,
other verb,mount,gask,
other verb,mourn,gasp,
other verb,muddle,gast,
other verb,murder,gomp,
other verb,nail,gont,
other verb,narrate,gond,
other verb,negotiate,golb,
other verb,net,golf,
other verb,network,golv,
other verb,note,gols,
other verb,nourish,golz,
other verb,nurse,golt,
other verb,nurture,golc,
other verb,obey,gold,
other verb,observe,golk,
other verb,obsess,gorp,
other verb,obtain,gorb,
other verb,occupy,gorf,
other verb,offend,gorv,
other verb,offer,gors,
other verb,opening,gorz,
other verb,operate,gort,
other verb,oppose,gord,
other verb,orbit,gork,
other verb,oscillate,gorg,
other verb,overlap,goft,
other verb,pack,gops,
other verb,package,goks,
other verb,paint,gobz,
other verb,pair,gogz,
other verb,pamper,gots,
other verb,pan,godj,
other verb,parallel,gotx,
other verb,park,gosk,
other verb,party,gosp,
other verb,past,gunt,
other verb,paste,gund,
other verb,patch,guqk,
other verb,pave,gulp,
other verb,peak,gulb,
other verb,pee,gulf,
other verb,peel,guls,
other verb,peer,gulz,
other verb,pen,gult,
other verb,perceive,gulc,
other verb,perform,guld,
other verb,permit,gulk,
other verb,persist,gurp,
other verb,persuade,gurb,
other verb,pet,gurf,
other verb,phase,gurv,
other verb,pick,gurs,
other verb,pile,gurz,
other verb,pin,gurt,
other verb,pipe,gurd,
other verb,pit,gurk,
other verb,plant,gurg,
other verb,plead,guft,
other verb,plump,gups,
other verb,poison,guks,
other verb,police,gubz,
other verb,polish,gugz,
other verb,poll,gudj,
other verb,pollute,gutx,
other verb,pool,gudz,
other verb,poop,gusk,
other verb,pop,gust,
other verb,pose,dint,
other verb,position,dind,
other verb,possess,dift,
other verb,post,diks,
other verb,pound,dibz,
other verb,pour,dits,
other verb,practice,didj,
other verb,praise,ditx,
other verb,preach,didz,
other verb,precipitate,disp,
other verb,predicate,demp,
other verb,predict,dent,
other verb,prefer,dend,
other verb,prepare,deqk,
other verb,preserve,deft,
other verb,press,deps,
other verb,pretend,deks,
other verb,prevent,debz,
other verb,pride,degz,
other verb,print,detx,
other verb,prize,dedz,
other verb,process,desk,
other verb,produce,desp,
other verb,profess,dest,
other verb,profile,damp,
other verb,program,dant,
other verb,progress,dand,
other verb,prohibit,daqk,
other verb,project,dalp,
other verb,promise,dalb,
other verb,promote,dalv,
other verb,pronounce,dals,
other verb,propose,dalz,
other verb,protect,dalc,
other verb,protest,dald,
other verb,provide,dalk,
other verb,pump,darp,
other verb,punch,darf,
other verb,punish,darv,
other verb,purchase,dars,
other verb,puzzle,darz,
other verb,qualify,dard,
other verb,question,dark,
other verb,quit,darg,
other verb,quiver,daps,
other verb,quote,daks,
other verb,race,dabz,
other verb,rack,dagz,
other verb,rage,dats,
other verb,raise,dadj,
other verb,range,dast,
other verb,rate,dont,
other verb,reach,dond,
other verb,receive,doqk,
other verb,recognize,dolp,
other verb,recommend,dolb,
other verb,record,dolf,
other verb,recover,dols,
other verb,reduce,dolz,
other verb,refer,dolc,
other verb,reference,dold,
other verb,reflect,dolk,
other verb,refuse,dorb,
other verb,regard,dorf,
other verb,register,dorv,
other verb,regret,dorz,
other verb,regulate,dord,
other verb,reign,dork,
other verb,rein,dorg,
other verb,reject,doft,
other verb,release,dops,
other verb,rely,doks,
other verb,remedy,dogz,
other verb,remove,dots,
other verb,renounce,dodj,
other verb,rent,dotx,
other verb,repair,dodz,
other verb,repeat,dosk,
other verb,repel,dosp,
other verb,repent,dost,
other verb,replace,dump,
other verb,reply,dund,
other verb,report,duqk,
other verb,represent,dulb,
other verb,reproduce,dulf,
other verb,request,dulv,
other verb,require,duls,
other verb,research,dulz,
other verb,resent,dult,
other verb,resist,dulc,
other verb,respect,duld,
other verb,respond,dulk,
other verb,restore,durp,
other verb,result,durb,
other verb,resume,durf,
other verb,retaliate,durv,
other verb,retrieve,durs,
other verb,return,durz,
other verb,reveal,durt,
other verb,review,durd,
other verb,revise,durk,
other verb,reward,durg,
other verb,rid,duft,
other verb,ride,dups,
other verb,risk,dubz,
other verb,roam,dugz,
other verb,roast,duts,
other verb,roof,dutx,
other verb,rot,dudz,
other verb,rotate,dusp,
other verb,route,dust,
other verb,rub,bimp,
other verb,ruin,bint,
other verb,rush,bind,
other verb,rust,biqk,
other verb,sack,bift,
other verb,sacrifice,bips,
other verb,sail,biks,
other verb,sample,bibz,
other verb,satisfy,bigz,
other verb,saw,bidj,
other verb,scale,bitx,
other verb,scan,bisk,
other verb,scar,bisp,
other verb,scare,bemp,
other verb,scavenge,bent,
other verb,schedule,beft,
other verb,score,beps,
other verb,scrape,beks,
other verb,scratch,begz,
other verb,screen,bets,
other verb,search,betx,
other verb,secrete,bedz,
other verb,seek,best,
other verb,seem,bant,
other verb,seize,baqk,
other verb,serve,balp,
other verb,service,balb,
other verb,settle,balf,
other verb,sew,balv,
other verb,shack,bals,
other verb,shade,balz,
other verb,shaving,balt,
other verb,shed,balc,
other verb,shelter,bald,
other verb,shift,balk,
other verb,shine,barp,
other verb,ship,barf,
other verb,shock,barz,
other verb,shop,bart,
other verb,show,bark,
other verb,shrink,barg,
other verb,shun,baft,
other verb,signal,baps,
other verb,sink,babz,
other verb,sip,bagz,
other verb,sit,bats,
other verb,sleep,badj,
other verb,slice,badz,
other verb,slip,basp,
other verb,slope,bomp,
other verb,smash,bont,
other verb,smile,bond,
other verb,smoke,boqk,
other verb,snap,bolp,
other verb,snatch,bolb,
other verb,sneak,bolf,
other verb,sneeze,bolv,
other verb,sniff,bols,
other verb,soak,bolz,
other verb,sober,bolt,
other verb,solve,bolc,
other verb,soothe,bolk,
other verb,sort,borf,
other verb,span,borv,
other verb,spark,bors,
other verb,sparkle,bort,
other verb,spawn,bord,
other verb,speed,bork,
other verb,spell,borg,
other verb,spend,boft,
other verb,spice,bops,
other verb,spill,boks,
other verb,spit,bobz,
other verb,spite,bogz,
other verb,splash,bots,
other verb,spoil,bodj,
other verb,spoke,bodz,
other verb,sponsor,bosp,
other verb,spot,bost,
other verb,spray,bump,
other verb,spy,bunt,
other verb,stab,buqk,
other verb,stabilize,bulp,
other verb,stack,bulf,
other verb,staff,bulv,
other verb,stage,buls,
other verb,stain,bulz,
other verb,stake,bult,
other verb,stalk,bulc,
other verb,stamp,buld,
other verb,stand,bulk,
other verb,stare,burp,
other verb,state,burb,
other verb,steal,burf,
other verb,steer,burv,
other verb,step,burs,
other verb,sting,burz,
other verb,stink,burt,
other verb,stir,burd,
other verb,stitch,burk,
other verb,store,burg,
other verb,strain,buft,
other verb,stress,buks,
other verb,stretch,bubz,
other verb,strike,buts,
other verb,string,budj,
other verb,strip,butx,
other verb,strive,budz,
other verb,stroke,busk,
other verb,struggle,busp,
other verb,study,pimp,
other verb,stumble,pint,
other verb,style,pind,
other verb,subject,piqk,
other verb,subscribe,pift,
other verb,substitute,pips,
other verb,succeed,piks,
other verb,suck,pibz,
other verb,suggest,pigz,
other verb,suit,pits,
other verb,summarize,pidj,
other verb,supervise,pidz,
other verb,supply,pisk,
other verb,support,pisp,
other verb,suppose,pist,
other verb,suppress,pemp,
other verb,surpass,pend,
other verb,surprise,peqk,
other verb,surround,peft,
other verb,survive,peps,
other verb,suspend,peks,
other verb,sustain,pebz,
other verb,swallow,pegz,
other verb,sway,pets,
other verb,swear,pedj,
other verb,sweat,petx,
other verb,sweep,pedz,
other verb,swell,pesk,
other verb,switch,pesp,
other verb,synthesize,pant,
other verb,tag,palp,
other verb,tangle,palb,
other verb,target,palf,
other verb,tax,palv,
other verb,tear,pals,
other verb,tease,palz,
other verb,temper,palt,
other verb,tempt,palc,
other verb,tend,pald,
other verb,test,palk,
other verb,text,parf,
other verb,thank,parv,
other verb,thread,pars,
other verb,thrust,parg,
other verb,tile,paft,
other verb,tip,paps,
other verb,tire,paks,
other verb,tone,pabz,
other verb,toss,pagz,
other verb,total,padz,
other verb,tour,pasp,
other verb,track,past,
other verb,train,pomp,
other verb,transfer,pont,
other verb,transform,pond,
other verb,transition,poqk,
other verb,translate,polp,
other verb,trap,polb,
other verb,travel,polf,
other verb,treat,polv,
other verb,tremble,pols,
other verb,trend,polz,
other verb,trick,polt,
other verb,trigger,polc,
other verb,trim,pold,
other verb,trip,polk,
other verb,trouble,porp,
other verb,tumble,porb,
other verb,tune,pors,
other verb,tunnel,porz,
other verb,twin,pord,
other verb,type,porg,
other verb,undergo,poft,
other verb,undo,poks,
other verb,unite,pobz,
other verb,unravel,pots,
other verb,upset,podz,
other verb,urge,posk,
other verb,vacuum,posp,
other verb,value,pump,
other verb,vary,punt,
other verb,verify,pund,
other verb,vibe,puqk,
other verb,vibrate,pulp,
other verb,view,pulb,
other verb,violate,pulf,
other verb,visit,pulv,
other verb,vomit,pulz,
other verb,vote,pult,
other verb,vow,pulc,
other verb,vulcanise,puld,
other verb,wait,pulk,
other verb,wake,purp,
other verb,wander,purb,
other verb,warn,purf,
other verb,waste,purv,
other verb,wax,purs,
other verb,wear,purz,
other verb,weather,purt,
other verb,weave,purd,
other verb,wed,purk,
other verb,weigh,purg,
other verb,welcome,puft,
other verb,whip,pups,
other verb,whistle,puks,
other verb,wick,pubz,
other verb,will,pugz,
other verb,win,puts,
other verb,wipe,pudj,
other verb,wish,pudz,
other verb,worship,pusk,
other verb,worth,pusp,
other verb,wound,pust,
other verb,wrap,timp,
other verb,wreck,tint,
other verb,wrinkle,tiqk,
other verb,yawn,tift,
other verb,yell,tips,
other verb,yield,tiks,
other verb,zip,tibz,
other verb,zone,tigz,
other verb,abort,tits,
other verb,accommodate,tidj,
other verb,agitated,tidz,
other verb,anchor,tisk,
other verb,anneal,tisp,
other verb,apply,tist,
other verb,assert,temp,
other verb,assimilate,tend,
other verb,attest,teqk,
other verb,bang,teft,
other verb,bargain,teps,
other verb,bloat,tebz,
other verb,boast,tegz,
other verb,bog,tets,
other verb,boom,tedj,
other verb,buckle,tetx,
other verb,bud,tedz,
other verb,buffer,tesk,
other verb,bulk,tesp,
other verb,calibrate,tant,
other verb,circulate,tand,
other verb,circumvent,talp,
other verb,cling,talb,
other verb,clone,talf,
other verb,coerce,talz,
other verb,coincide,talt,
other verb,compose,talc,
other verb,comprise,tald,
other verb,conceal,talk,
other verb,conceive,tarb,
other verb,conform,tarf,
other verb,confront,tarv,
other verb,conjure,tars,
other verb,conserve,tark,
other verb,constitute,targ,
other verb,constrain,taft,
other verb,contradict,taps,
other verb,contribute,taks,
other verb,converge,tagz,
other verb,convey,tats,
other verb,convolute,tadj,
other verb,cope,tadz,
other verb,covering,task,
other verb,crumble,tasp,
other verb,curate,tast,
other verb,dazzle,tont,
other verb,defect,tond,
other verb,deform,toqk,
other verb,degrade,tolp,
other verb,denote,tolb,
other verb,depict,tolf,
other verb,deplete,tolv,
other verb,designate,tols,
other verb,deviate,tolz,
other verb,devolve,tolt,
other verb,dictate,tolc,
other verb,differ,tolk,
other verb,discern,torb,
other verb,discipline,torv,
other verb,dissipate,tors,
other verb,disturb,torz,
other verb,domesticate,tort,
other verb,dove,tord,
other verb,duplicate,tork,
other verb,elate,torg,
other verb,embed,toft,
other verb,emerge,tops,
other verb,emphasize,tobz,
other verb,enchant,togz,
other verb,enlighten,tots,
other verb,ensure,todz,
other verb,equate,tosk,
other verb,erode,tosp,
other verb,etch,tump,
other verb,excrete,tunt,
other verb,exhaust,tund,
other verb,expend,tulp,
other verb,expire,tulb,
other verb,exploit,tulf,
other verb,export,tulv,
other verb,fabricate,tuls,
other verb,facilitate,tult,
other verb,fetch,tulc,
other verb,flop,tuld,
other verb,fluctuate,tulk,
other verb,frustrate,turb,
other verb,gamete,turf,
other verb,graze,turv,
other verb,hamper,turs,
other verb,harass,turz,
other verb,hash,turt,
other verb,herring,turd,
other verb,howl,turk,
other verb,humiliate,turg,
other verb,ignite,tuft,
other verb,imply,tups,
other verb,import,tuks,
other verb,incorporate,tubz,
other verb,indulge,tugz,
other verb,inflect,tuts,
other verb,inhibit,tudj,
other verb,inject,tutx,
other verb,inscribe,tudz,
other verb,instantiate,tusk,
other verb,integrate,tusp,
other verb,intimidate,tust,
other verb,invade,grim,
other verb,invest,gleq,
other verb,invoke,djiq,
other verb,lag,dren,
other verb,loot,bliC,
other verb,lubricate,braq,
other verb,lust,plam,
other verb,mandate,proC,
other verb,manifest,txem,
other verb,mediate,trul,
other verb,merit,glin,
other verb,migrate,greg,
other verb,modulate,gran,
other verb,monitor,glag,
other verb,mumble,grod,
other verb,navigate,glom,
other verb,neglect,gruq,
other verb,obstruct,glud,
other verb,offset,drid,
other verb,omit,djem,
other verb,oppress,drag,
other verb,orient,djan,
other verb,originate,drom,
other verb,participate,djog,
other verb,penetrate,drub,
other verb,permeate,djup,
other verb,persevere,brin,
other verb,populate,brem,
other verb,pore,blen,
other verb,precede,blad,
other verb,preclude,brog,
other verb,propagate,bloq,
other verb,protrude,brud,
other verb,provoke,blug,
other verb,quench,priq,
other verb,rattle,plig,
other verb,recede,pred,
other verb,reciprocate,pleb,
other verb,refute,prap,
other verb,rehearse,plop,
other verb,relieve,prum,
other verb,render,plun,
other verb,replenish,trig,
other verb,resemble,txiq,
other verb,reserve,treq,
other verb,resonate,tram,
other verb,revoke,txan,
other verb,revolve,tron,
other verb,riot,txog,
other verb,rip,txud,
