word,domains,heads,where
scrub,17,15,"adj.all noun.animal noun.group noun.act verb.contact"
temporal,17,12,"noun.group noun.body adj.all adj.pert noun.communication"
respiratory,17,5,"noun.state noun.body adj.pert noun.relation noun.time"
cancer,16,471,"noun.person noun.object noun.location noun.animal noun.state"
california,16,84,"noun.object noun.location noun.communication noun.plant noun.animal"
regulation,16,83,"adj.all noun.communication noun.cognition noun.state noun.process"
absorption,16,69,"noun.process noun.cognition noun.phenomenon noun.quantity noun.attribute"
iris,16,58,"noun.animal noun.plant noun.person noun.body noun.artifact"
religious,16,47,"noun.group adj.all noun.person noun.cognition noun.act"
genetic,16,46,"adj.all adj.pert noun.state noun.cognition noun.group"
ski,16,40,"noun.artifact verb.motion noun.state noun.person noun.act"
congo,16,37,"noun.location noun.object noun.quantity noun.animal noun.state"
rag,16,32,"noun.artifact noun.time noun.communication noun.act verb.emotion"
conversion,16,30,"noun.event noun.cognition noun.act noun.process noun.communication"
commercial,16,27,"adj.all adj.pert noun.communication noun.act noun.group"
atlantic,16,25,"noun.group adj.pert noun.object noun.location noun.time"
youth,16,20,"noun.object noun.group noun.time noun.person noun.state"
financial,16,17,"noun.group noun.person adj.pert noun.possession noun.act"
gall,16,15,"noun.state noun.animal noun.plant noun.feeling noun.body"
hybrid,16,15,"adj.all noun.communication noun.cognition noun.animal noun.artifact"
physiological,16,11,"adj.pert adj.all noun.cognition noun.state noun.act"
protective,16,11,"noun.group adj.all noun.attribute noun.artifact noun.animal"
vascular,16,8,"adj.pert noun.plant noun.artifact noun.state noun.body"
nasal,16,7,"noun.state noun.body adj.pert adj.all noun.communication"
reproductive,16,6,"noun.body noun.act adj.all noun.cognition noun.plant"
capsule,15,125,"noun.body noun.artifact noun.plant noun.communication verb.contact"
circulation,15,85,"noun.communication noun.phenomenon noun.quantity noun.event noun.act"
induction,15,83,"noun.quantity noun.event noun.phenomenon noun.cognition noun.act"
simplex,15,72,"noun.animal noun.plant noun.attribute noun.state adj.all"
carpet,15,67,"noun.artifact noun.plant noun.animal verb.communication noun.object"
consumption,15,59,"noun.process noun.act noun.state noun.plant noun.relation"
calf,15,46,"noun.substance noun.animal noun.body noun.feeling noun.act"
progressive,15,44,"noun.group noun.relation adj.all noun.person noun.state"
transit,15,38,"noun.communication noun.artifact noun.act verb.motion noun.location"
satellite,15,36,"noun.object noun.artifact adj.all noun.person verb.communication"
coordination,15,30,"noun.cognition noun.act noun.relation noun.substance anatomy"
magna,15,28,"noun.communication noun.person noun.animal adj.all adv.all"
killer,15,23,"noun.animal noun.person noun.state noun.cognition noun.body"
mosaic,15,23,"adj.pert noun.communication noun.group noun.artifact noun.state"
ace,15,21,"noun.substance noun.group noun.artifact adj.all noun.quantity"
ivory,15,20,"noun.location noun.quantity noun.animal noun.substance noun.attribute"
transient,15,19,"adj.all noun.person noun.event noun.cognition noun.state"
federal,15,17,"adj.all noun.person noun.group noun.location noun.possession"
oblique,15,14,"noun.body adj.all noun.communication noun.shape noun.artifact"
sensory,15,14,"noun.act noun.state adj.all adj.pert noun.cognition"
critical,15,13,"adj.all adj.pert noun.cognition noun.shape noun.communication"
texas,15,13,"noun.location noun.time noun.person noun.animal noun.plant"
corpus,15,10,"noun.time noun.location noun.possession noun.group noun.body"
toll,15,9,"noun.food noun.attribute adj.pert noun.possession noun.event"
arabian,15,8,"adj.pert noun.person noun.animal noun.location noun.object"
christmas,15,8,"noun.time noun.plant noun.possession noun.food noun.communication"
neural,15,8,"adj.pert noun.body noun.event noun.communication noun.animal"
facial,15,7,"noun.body adj.pert noun.act noun.communication noun.attribute"
fatty,15,5,"adj.all noun.person noun.substance noun.state noun.body"
tract,14,370,"noun.body noun.state noun.location noun.communication noun.artifact"
reflex,14,119,"noun.act adj.all noun.shape noun.body noun.artifact"
mill,14,107,"noun.person noun.artifact noun.animal noun.act verb.motion"
bench,14,92,"noun.group noun.artifact noun.object verb.social verb.perception"
cleft,14,85,"noun.animal adj.all noun.shape noun.object noun.state"
zinc,14,84,"noun.substance verb.contact noun.state noun.artifact geology.mineral"
niger,14,81,"noun.animal noun.plant noun.communication noun.object noun.location"
accessory,14,76,"adj.all noun.artifact noun.person noun.body noun.plant"
radical,14,75,"noun.substance noun.act adj.all adj.pert noun.person"
carrier,14,72,"noun.artifact noun.person noun.substance noun.group noun.phenomenon"
ribbon,14,60,"noun.animal adj.all noun.communication noun.group noun.plant"
sector,14,53,"noun.group noun.shape noun.cognition noun.quantity noun.location"
replacement,14,48,"noun.process noun.act noun.person noun.event noun.cognition"
suspension,14,48,"noun.substance noun.time noun.state noun.event noun.artifact"
girdle,14,47,"noun.animal noun.body noun.artifact verb.contact noun.state"
rig,14,39,"noun.artifact noun.communication noun.act verb.social verb.possession"
canada,14,35,"noun.location noun.plant noun.substance noun.animal noun.group"
john,14,30,"noun.person noun.artifact noun.communication noun.food noun.animal"
infant,14,29,"noun.person noun.state noun.time noun.act noun.group"
daily,14,25,"adj.all noun.communication adv.all noun.attribute noun.plant"
submarine,14,25,"noun.person noun.artifact adj.all noun.food verb.motion"
nickel,14,24,"noun.substance adj.all verb.possession verb.contact noun.artifact"
zealand,14,24,"noun.location noun.plant noun.communication noun.quantity noun.animal"
lap,14,23,"adj.all noun.body noun.state noun.artifact noun.act"
pacific,14,22,"noun.artifact noun.object adj.pert noun.location noun.time"
diffusion,14,20,"noun.process noun.event noun.attribute noun.act noun.artifact"
imperial,14,20,"noun.quantity noun.plant adj.pert adj.all noun.body"
displacement,14,19,"noun.act noun.event noun.process noun.quantity noun.cognition"
executive,14,19,"noun.person noun.act noun.group adj.pert noun.state"
retinal,14,19,"adj.pert noun.substance noun.body noun.state noun.communication"
transverse,14,19,"adj.all noun.body noun.artifact anatomy disease"
victoria,14,19,"noun.location noun.object noun.person noun.communication noun.time"
background,14,17,"noun.attribute noun.cognition noun.event noun.state noun.artifact"
generic,14,17,"adj.pert adj.all noun.food noun.artifact noun.communication"
establishment,14,16,"noun.group adj.all noun.artifact noun.act noun.process"
jordan,14,15,"noun.location noun.person noun.object noun.food noun.shape"
corona,14,14,"noun.object noun.state noun.phenomenon noun.plant noun.body"
jazz,14,12,"noun.time noun.communication verb.creation verb.contact verb.motion"
con,14,11,"noun.time noun.food noun.communication noun.person noun.act"
primitive,14,11,"adj.all noun.person noun.communication noun.artifact noun.process"
mathematical,14,10,"adj.pert adj.all noun.relation noun.cognition noun.communication"
metabolic,14,10,"noun.process adj.all adj.pert noun.state noun.substance"
principal,14,10,"adj.all noun.possession noun.person noun.cognition noun.group"
anatomical,14,8,"adj.pert noun.communication noun.body noun.attribute anatomy"
dominican,14,8,"adj.pert noun.person noun.location noun.quantity noun.plant"
gastric,14,7,"adj.pert noun.body noun.substance noun.process noun.act"
skeletal,14,7,"adj.pert adj.all noun.artifact noun.body geology.lithology_attribute"
coronary,14,6,"adj.pert noun.state noun.body noun.act noun.group"
retail,14,6,"noun.act adv.all verb.stative verb.possession noun.group"
costa,14,4,"noun.location adj.pert noun.person noun.quantity noun.body"
lunar,14,3,"adj.pert noun.time noun.substance noun.object noun.event"
sodium,13,991,"noun.artifact noun.food noun.substance geology.mineral anatomy"
management,13,300,"noun.group noun.act noun.communication noun.cognition noun.person"
carbonate,13,156,"noun.substance verb.stative verb.change geology.mineral geology.rock"
dna,13,109,"noun.communication noun.substance noun.artifact noun.object noun.cognition"
agency,13,78,"noun.group noun.state noun.act noun.possession noun.root"
bacterial,13,72,"adj.pert noun.body noun.substance noun.state anatomy"
roller,13,63,"noun.animal noun.person noun.artifact noun.act noun.event"
adhesion,13,57,"noun.state noun.body noun.attribute noun.act noun.communication"
deck,13,51,"noun.artifact noun.group verb.stative verb.creation verb.contact"
psychological,13,51,"adj.all adj.pert noun.state noun.root noun.cognition"
drainage,13,47,"noun.act noun.location noun.artifact anatomy disease"
england,13,43,"noun.group noun.person noun.location noun.plant noun.food"
neonatal,13,35,"adj.pert noun.state noun.group noun.time anatomy"
plague,13,34,"noun.state noun.group noun.event noun.cognition verb.weather"
tar,13,30,"noun.person noun.location noun.substance noun.artifact verb.contact"
investment,13,29,"noun.group noun.possession noun.act noun.attribute noun.animal"
cleavage,13,28,"noun.state noun.process noun.body noun.act noun.animal"
attachment,13,27,"noun.feeling noun.artifact noun.communication noun.act anatomy"
cane,13,27,"noun.artifact noun.food noun.plant verb.contact noun.state"
posture,13,27,"verb.motion noun.attribute noun.cognition verb.social verb.perception"
administrative,13,25,"adj.pert noun.group noun.process noun.location noun.act"
cuff,13,25,"noun.artifact verb.contact verb.social adj.all adv.all"
subdivision,13,25,"noun.location noun.act noun.group noun.communication noun.artifact"
mould,13,24,"noun.artifact noun.attribute noun.substance noun.shape noun.process"
elasticity,13,23,"noun.quantity noun.attribute anatomy disease quality"
pharmaceutical,13,22,"adj.pert noun.artifact noun.person noun.group anatomy"
carolina,13,21,"noun.location noun.plant noun.animal noun.quantity noun.artifact"
paris,13,21,"noun.artifact noun.location noun.plant noun.person noun.substance"
technical,13,20,"noun.group adj.pert adj.all noun.artifact noun.act"
fragmentation,13,19,"noun.act noun.state noun.process noun.event noun.artifact"
linkage,13,19,"noun.phenomenon noun.attribute noun.relation noun.artifact noun.act"
streak,13,18,"adj.all noun.group noun.attribute noun.event verb.motion"
virginia,13,18,"noun.person noun.artifact noun.location noun.plant noun.animal"
penny,13,17,"noun.person adj.all noun.possession noun.quantity verb.possession"
stump,13,17,"noun.plant noun.body noun.artifact verb.cognition verb.motion"
blister,13,16,"noun.state noun.plant noun.body verb.change verb.communication"
occupational,13,16,"noun.group adj.pert noun.state noun.communication noun.act"
abdominal,13,15,"adj.pert noun.body noun.state noun.act anatomy"
hedge,13,15,"noun.artifact noun.possession noun.communication verb.communication verb.contact"
tubular,13,14,"adj.all noun.body noun.object anatomy disease"
mediterranean,13,12,"adj.pert noun.object noun.state noun.plant noun.animal"
surf,13,12,"verb.motion verb.change noun.event verb.contact noun.act"
vocal,13,12,"noun.body adj.pert adj.all noun.communication noun.act"
arctic,13,11,"adj.all noun.location noun.object noun.animal noun.plant"
arterial,13,11,"adj.pert noun.body noun.act noun.phenomenon noun.artifact"
collateral,13,11,"adj.all noun.possession noun.event noun.act anatomy"
sympathetic,13,11,"adj.pert adj.all noun.body noun.act noun.phenomenon"
alaska,13,10,"noun.location noun.person noun.object noun.act noun.time"
auditory,13,10,"adj.pert noun.state noun.body noun.communication noun.cognition"
geographic,13,10,"adj.pert adj.all noun.location noun.act noun.artifact"
somatic,13,10,"adj.all noun.body noun.act noun.state noun.cognition"
bermuda,13,9,"noun.location noun.plant noun.animal noun.quantity noun.food"
dairy,13,9,"noun.artifact noun.animal noun.person noun.act noun.food"
des,13,9,"noun.animal noun.substance noun.artifact noun.location noun.act"
caudal,13,8,"adj.pert adj.all adv.all noun.state noun.animal"
alkali,13,7,"noun.substance noun.animal noun.plant noun.state geology.rock"
diagnostic,13,7,"adj.pert adj.all noun.cognition noun.act noun.communication"
genital,13,7,"noun.body adj.pert noun.state noun.attribute noun.time"
consumer,13,6,"noun.person noun.possession noun.artifact noun.group noun.communication"
malaysian,13,6,"adj.pert noun.person noun.communication noun.group noun.quantity"
sierra,13,6,"noun.object noun.location noun.animal noun.quantity adj.pert"
connective,13,4,"adj.all noun.communication noun.artifact noun.body anatomy"
olfactory,13,4,"adj.pert noun.body noun.state noun.cognition noun.attribute"
umbilical,13,3,"adj.pert noun.body noun.state noun.animal anatomy"
anal,13,2,"adj.pert adj.all noun.act noun.attribute noun.time"
veterinary,12,7081,"adj.pert noun.person noun.cognition noun.group disease"
phosphate,12,1090,"noun.substance noun.food geology.rock anatomy disease"
sulfate,12,1022,"noun.artifact noun.substance verb.change anatomy disease"
oxide,12,826,"noun.substance noun.artifact geology.rock anatomy disease"
assessment,12,302,"noun.cognition noun.possession noun.attribute noun.act noun.communication"
dioxide,12,215,"noun.substance noun.state geology.mineral anatomy disease"
sinus,12,171,"noun.animal noun.body noun.state anatomy disease"
potassium,12,145,"noun.substance noun.artifact noun.act geology.mineral_variety anatomy"
supplement,12,138,"noun.communication noun.food noun.possession noun.attribute noun.artifact"
insurance,12,95,"noun.group noun.possession noun.act noun.communication noun.state"
synthetic,12,94,"adj.all noun.substance noun.group noun.artifact noun.communication"
disability,12,92,"noun.state noun.possession noun.act disease medicine.sign"
nigra,12,81,"noun.plant noun.animal noun.person noun.body anatomy"
identification,12,76,"noun.communication noun.act noun.state noun.cognition noun.attribute"
interaction,12,68,"noun.phenomenon noun.cognition noun.act anatomy disease"
truck,12,62,"noun.artifact noun.food verb.motion noun.group noun.person"
intelligence,12,52,"noun.group noun.person noun.communication noun.relation noun.cognition"
san,12,52,"noun.location noun.object noun.communication noun.animal adj.pert"
bracket,12,50,"noun.group noun.communication noun.artifact verb.contact verb.communication"
constitution,12,48,"noun.communication noun.artifact noun.location noun.act noun.attribute"
accumulation,12,44,"noun.process noun.group noun.act noun.possession noun.quantity"
detection,12,44,"noun.cognition noun.act noun.communication noun.artifact anatomy"
fiddle,12,43,"noun.artifact noun.communication adj.all verb.social verb.possession"
commission,12,42,"noun.group noun.possession noun.act noun.state noun.communication"
viscosity,12,42,"noun.quantity noun.attribute anatomy disease quality"
nominal,12,40,"adj.pert adj.all noun.communication noun.state noun.possession"
pie,12,38,"noun.food noun.communication adv.all noun.substance noun.artifact"
determination,12,37,"noun.act noun.attribute noun.cognition noun.state anatomy"
discrimination,12,37,"noun.act noun.cognition noun.attribute disease quality"
inversion,12,37,"noun.phenomenon noun.state noun.process noun.event noun.communication"
atlas,12,36,"noun.person noun.object noun.plant noun.animal noun.communication"
soda,12,33,"noun.food noun.plant noun.substance noun.artifact noun.person"
harness,12,32,"noun.artifact verb.contact verb.consumption verb.social verb.change"
reform,12,31,"noun.person noun.group noun.cognition noun.act adj.all"
analog,12,30,"adj.all noun.artifact noun.attribute anatomy disease"
judgment,12,29,"noun.time noun.act noun.cognition noun.communication noun.attribute"
quail,12,29,"noun.animal noun.food verb.motion verb.emotion noun.plant"
retention,12,29,"noun.act noun.cognition noun.attribute noun.location disease"
saturation,12,29,"noun.process noun.act noun.state noun.attribute quality"
fertility,12,28,"noun.time noun.state noun.attribute noun.artifact disease"
restriction,12,28,"noun.cognition noun.act noun.substance noun.object noun.location"
platinum,12,27,"adj.all noun.substance noun.person noun.artifact geology.mineral"
stratification,12,27,"noun.state noun.act noun.process noun.attribute geology.lithology_attribute"
welfare,12,26,"noun.group noun.act noun.attribute noun.state adj.all"
recess,12,25,"noun.body noun.state noun.shape noun.object noun.artifact"
additive,12,24,"adj.all noun.artifact noun.relation anatomy disease"
correspondence,12,24,"noun.communication noun.attribute noun.relation noun.act noun.group"
dissociation,12,24,"noun.cognition noun.act noun.state noun.process noun.quantity"
defence,12,23,"noun.act noun.group noun.process noun.communication noun.artifact"
litter,12,22,"noun.substance noun.artifact noun.person noun.group verb.stative"
dump,12,21,"noun.communication noun.process noun.location noun.artifact verb.possession"
georgia,12,21,"noun.location noun.person noun.plant noun.artifact noun.object"
mary,12,21,"noun.person noun.time noun.food noun.communication noun.artifact"
spar,12,21,"noun.substance noun.artifact noun.act verb.possession verb.contact"
agricultural,12,20,"adj.pert adj.all noun.person noun.cognition disease"
asbestos,12,20,"noun.substance noun.act geology.gem_material geology.mineral_variety geology.rock"
heave,12,19,"noun.phenomenon noun.event noun.act verb.communication verb.contact"
independence,12,19,"noun.act noun.communication noun.location noun.time noun.artifact"
orthodox,12,19,"noun.group adj.pert noun.person noun.cognition adj.all"
oxidation,12,19,"noun.process noun.substance noun.quantity noun.artifact anatomy"
intrusion,12,18,"noun.act noun.event noun.process noun.object geology.rock"
accommodation,12,17,"noun.event noun.communication noun.cognition noun.artifact noun.act"
gutter,12,17,"noun.artifact noun.state noun.person verb.weather verb.motion"
spindle,12,17,"noun.plant adj.all noun.body noun.artifact noun.animal"
york,12,17,"noun.object noun.location noun.group noun.artifact noun.plant"
bust,12,16,"adj.all noun.event noun.body noun.artifact noun.act"
gag,12,16,"noun.communication noun.artifact verb.perception verb.contact verb.communication"
overhead,12,15,"noun.time noun.location adj.all noun.possession noun.artifact"
refractory,12,15,"adj.all adj.pert noun.artifact noun.state noun.time"
scientific,12,15,"noun.group adj.pert adj.all noun.cognition noun.artifact"
alignment,12,14,"noun.group noun.attribute noun.event noun.act disease"
concord,12,14,"noun.act noun.location noun.food noun.state noun.relation"
corporate,12,14,"adj.pert adj.all noun.possession noun.person noun.act"
rosette,12,14,"noun.artifact noun.state noun.plant anatomy disease"
miniature,12,13,"adj.all noun.artifact noun.plant noun.act noun.animal"
pulmonary,12,13,"noun.state noun.body adj.pert noun.phenomenon noun.quantity"
marshall,12,12,"noun.person noun.location noun.possession disease medicine.all"
maternity,12,12,"noun.state noun.relation noun.attribute noun.artifact noun.possession"
outdoor,12,12,"adj.all adj.pert noun.act noun.person noun.artifact"
pall,12,12,"noun.location noun.act noun.feeling noun.artifact verb.change"
superficial,12,12,"adj.all adj.pert noun.body geology.rock anatomy"
volcanic,12,12,"noun.location adj.pert adj.all noun.object noun.event"
alligator,12,11,"noun.animal noun.substance verb.change noun.artifact noun.plant"
crescent,12,11,"noun.artifact noun.location noun.food adj.all noun.state"
criminal,12,11,"noun.group noun.artifact adj.all noun.person noun.act"
hepatic,12,11,"adj.pert noun.plant noun.body noun.cognition noun.animal"
kong,12,11,"noun.location noun.quantity noun.person medicine.all medicine.mesh"
martial,12,11,"noun.person noun.group noun.act verb.social adj.all"
ping,12,11,"noun.act noun.object noun.person noun.event noun.artifact"
slam,12,11,"noun.event adj.all adv.all verb.social verb.contact"
ventral,12,11,"adj.all noun.animal noun.body noun.plant anatomy"
embryonic,12,10,"adj.all noun.body noun.act noun.animal anatomy"
fleet,12,10,"noun.animal noun.location noun.communication noun.group adj.all"
tactile,12,10,"adj.pert adj.all noun.state noun.attribute noun.cognition"
renal,12,9,"noun.state adj.pert noun.body noun.object anatomy"
baltic,12,8,"noun.communication adj.pert noun.object noun.location noun.food"
honeycomb,12,8,"noun.object noun.artifact verb.creation verb.contact verb.change"
intensive,12,8,"adj.all adj.pert noun.communication noun.act noun.group"
interstitial,12,8,"adj.pert noun.substance noun.body noun.state anatomy"
bengal,12,7,"noun.object noun.location noun.plant noun.substance noun.communication"
columnar,12,7,"adj.all noun.body geology.rock geology.structure anatomy"
greenhouse,12,7,"adj.pert noun.artifact noun.phenomenon noun.substance noun.animal"
scarlet,12,7,"adj.all noun.attribute noun.plant noun.state noun.communication"
solitary,12,7,"adj.all noun.state noun.person noun.plant noun.animal"
diabetic,12,6,"adj.pert adj.all noun.person noun.state noun.cognition"
longitudinal,12,6,"adj.pert adj.all anatomy disease quality"
pectoral,12,6,"noun.body adj.pert noun.artifact noun.animal anatomy"
selective,12,6,"noun.group adj.all noun.artifact noun.cognition noun.attribute"
asiatic,12,5,"noun.communication adj.pert noun.person noun.animal noun.state"
jerusalem,12,5,"noun.location noun.group noun.plant noun.food noun.animal"
rocky,12,5,"noun.plant noun.person noun.location noun.animal noun.state"
spiny,12,5,"noun.animal adj.all adj.pert noun.food noun.plant"
thoracic,12,5,"adj.pert noun.state noun.body noun.cognition anatomy"
bodily,12,4,"adj.pert adj.all adv.all noun.body noun.process"
regulatory,12,4,"noun.group adj.all noun.body noun.act disease"
sri,12,4,"noun.location noun.quantity adj.pert noun.person medicine.all"
vaginal,12,4,"adj.pert noun.body noun.process noun.substance anatomy"
apical,12,3,"adj.all noun.plant anatomy disease quality"
santa,12,3,"noun.person noun.phenomenon noun.location noun.plant noun.artifact"
saudi,12,3,"noun.person noun.location adj.pert noun.quantity medicine.all"
one's,12,0,"verb.emotion verb.social verb.communication verb.change verb.stative"
synthesis,11,9558,"noun.cognition noun.process disease medicine.sign medicine.all"
mortality,11,6746,"noun.time noun.attribute noun.group disease medicine.sign"
deficiency,11,6358,"noun.state noun.attribute noun.phenomenon noun.cognition noun.food"
peptide,11,1283,"noun.substance noun.phenomenon anatomy disease cell"
acetate,11,1074,"noun.substance noun.artifact anatomy disease chemistry"
equipment,11,909,"noun.artifact noun.event environment medicine.all medicine.mesh"
assay,11,227,"noun.communication noun.cognition noun.substance noun.act verb.cognition"
activation,11,163,"noun.process noun.act noun.phenomenon anatomy disease"
architecture,11,150,"noun.communication noun.cognition noun.artifact noun.act noun.attribute"
degeneration,11,132,"noun.state noun.process noun.event disease quality"
cutter,11,121,"noun.artifact adj.all noun.person noun.act noun.animal"
septum,11,107,"noun.state noun.body noun.plant anatomy disease"
immunity,11,105,"noun.state noun.act noun.attribute anatomy disease"
violet,11,105,"noun.plant noun.attribute adj.all noun.substance noun.person"
nodule,11,102,"noun.body noun.plant noun.object anatomy disease"
presentation,11,100,"noun.act noun.communication noun.artifact noun.attribute anatomy"
lace,11,96,"noun.artifact noun.plant verb.contact verb.creation verb.change"
thickness,11,80,"noun.attribute noun.communication disease quality environment"
football,11,75,"noun.act noun.artifact adj.all noun.person noun.group"
abuse,11,69,"noun.act noun.communication verb.social verb.change verb.communication"
fissure,11,69,"noun.body noun.shape noun.object verb.change anatomy"
agriculture,11,63,"noun.group noun.person noun.act noun.cognition environment"
transportation,11,57,"noun.group noun.act noun.person noun.artifact noun.possession"
max,11,56,"noun.person noun.plant noun.artifact verb.motion disease"
irradiation,11,55,"noun.state noun.phenomenon noun.event noun.cognition noun.act"
chess,11,52,"noun.plant noun.act noun.artifact noun.group noun.communication"
distress,11,49,"noun.state noun.feeling noun.act verb.social verb.emotion"
probe,11,48,"noun.cognition noun.artifact noun.act verb.communication verb.contact"
australia,11,47,"noun.location noun.object noun.plant medicine.all medicine.mesh"
rake,11,47,"noun.artifact noun.person noun.attribute noun.possession verb.motion"
ventilation,11,47,"noun.act noun.artifact noun.communication disease medicine.sign"
mobility,11,45,"noun.attribute disease quality medicine.sign medicine.all"
recovery,11,43,"noun.possession noun.event noun.process noun.act noun.artifact"
detachment,11,42,"noun.feeling noun.act noun.state noun.group noun.event"
enamel,11,40,"noun.body noun.substance noun.artifact verb.creation anatomy"
encounter,11,40,"noun.act noun.event noun.communication verb.motion verb.possession"
inventory,11,40,"noun.communication noun.act noun.artifact noun.possession noun.cognition"
abortion,11,38,"noun.artifact noun.act noun.event noun.state disease"
donor,11,38,"noun.person noun.communication anatomy disease environment"
initiation,11,38,"noun.event noun.act noun.attribute anatomy disease"
anterior,11,37,"noun.state adj.all noun.body anatomy disease"
bin,11,37,"noun.communication noun.person noun.artifact noun.quantity verb.contact"
jersey,11,36,"noun.location noun.animal noun.person noun.plant noun.artifact"
posterior,11,36,"noun.body adj.all noun.state anatomy disease"
spain,11,35,"noun.person noun.location noun.cognition noun.plant medicine.all"
ammonium,11,33,"noun.artifact noun.substance geology.mineral anatomy disease"
blank,11,33,"adj.all noun.communication noun.artifact verb.social noun.state"
granule,11,33,"noun.body noun.object geology.lithology_attribute anatomy disease"
fixation,11,32,"noun.act noun.cognition noun.state noun.process disease"
ireland,11,32,"noun.group noun.location noun.plant medicine.all medicine.mesh"
labour,11,32,"noun.group adj.all noun.state noun.act verb.social"
reconstruction,11,32,"noun.group noun.time noun.act noun.communication noun.cognition"
ass,11,28,"noun.animal noun.person noun.body noun.act adj.all"
enterprise,11,27,"noun.act noun.group noun.attribute noun.location adj.all"
prominence,11,27,"noun.state noun.attribute noun.shape noun.phenomenon anatomy"
employment,11,26,"noun.state noun.act noun.group noun.person noun.communication"
norway,11,26,"noun.location noun.person noun.animal noun.plant medicine.all"
transcription,11,26,"noun.communication noun.process noun.artifact noun.act anatomy"
curvature,11,25,"noun.attribute noun.state anatomy disease quality"
globe,11,25,"noun.artifact noun.object noun.shape verb.motion noun.plant"
torch,11,25,"noun.artifact noun.plant verb.change noun.event noun.person"
fibre,11,24,"noun.substance noun.body noun.attribute noun.artifact noun.food"
minus,11,24,"noun.plant noun.animal adj.all noun.act noun.communication"
ocular,11,24,"adj.pert adj.all noun.artifact noun.body anatomy"
cutaneous,11,23,"adj.pert noun.state noun.cognition noun.body anatomy"
purse,11,23,"noun.possession noun.artifact adj.all noun.act verb.change"
engagement,11,22,"noun.act noun.group noun.communication noun.event noun.artifact"
equine,11,22,"adj.pert noun.animal noun.state anatomy disease"
execution,11,22,"noun.process noun.act noun.communication noun.attribute noun.artifact"
opacity,11,22,"noun.phenomenon noun.attribute anatomy disease quality"
ward,11,22,"noun.person noun.relation noun.artifact noun.location verb.competition"
affinity,11,21,"noun.phenomenon noun.relation noun.attribute anatomy disease"
astronomical,11,21,"noun.quantity adj.pert adj.all noun.artifact noun.time"
hydraulic,11,21,"noun.artifact adj.pert noun.substance noun.cognition environment"
suicide,11,21,"noun.act verb.contact noun.person noun.communication medicine.sign"
excretion,11,20,"noun.process noun.substance noun.cognition anatomy disease"
foil,11,20,"noun.artifact noun.plant noun.cognition verb.stative verb.social"
