name,kind,proposal,from
Feldspar,gem_material,field spar,echo
Feldspar,gem_material,earth spar,echo
Flint,gem_material,fire stone,echo
Flint,gem_material,flintstone stone,echo
Flint,gem_material,fire strike stone,echo
Flint,gem_material,tooth stone,echo
Fluorapatite,gem_material,fluorine apatite,echo
Fluorite,gem_material,firefly stone,echo
Garnet,gem_material,pomegranate stone,echo
Gibbsite,gem_material,water alum soil,echo
Glaucophane,gem_material,blue flash stone,echo
Goethite,gem_material,needle iron mine,echo
Halite,gem_material,cliff salt,echo
Halite,gem_material,stone salt,echo
Halite,gem_material,mine salt,echo
Hemimorphite,gem_material,different extreme mine,echo
Ilmenite,gem_material,facial expression rivet,echo
Ivory,gem_material,elephant tooth,echo
Ivory,gem_material,female elf leg,echo
Jade,gem_material,orphan stable,echo
Jade,gem_material,thin horse,echo
Jade,gem_material,girl hussy,echo
Jasper,gem_material,jade jade,echo
Jet,gem_material,spurt gas,echo
Jet,gem_material,shoot flow,echo
Jet,gem_material,coal jade,echo
Jet,gem_material,coal essence,echo
Jet,gem_material,spurt flow,echo
Jet,gem_material,gush out issue,echo
Lepidolite,gem_material,lithium enamel,echo
Malachite,gem_material,stone green,echo
Malachite,gem_material,opening sparrow stone,echo
Marcasite,gem_material,pure iron mine,echo
Mellite,gem_material,honey wax stone,echo
Nambulite,gem_material,south part stone,echo
Nepheline,gem_material,rosy clouds cliff,echo
Nepheline,gem_material,rosy clouds stone,echo
Nephrite,gem_material,soft jade,echo
Obsidian,gem_material,black glorious cliff,echo
Obsidian,gem_material,black glorious stone,echo
Obsidian,gem_material,lava glass,echo
Olivine,gem_material,burseraceae stone,echo
Opal,gem_material,inlet treasure,echo
Opal,gem_material,eggs pure stone,echo
Orthoclase,gem_material,right long stone,echo
Pearl,gem_material,precious precious stone,echo
Pearl,gem_material,bright precious stone,echo
Pearl,gem_material,upright precious stone,echo
Pearl,gem_material,real precious stone,echo
Peridotite,gem_material,olive olive cliff,echo
Petalite,gem_material,leaf long stone,echo
Phlogopite,gem_material,gold clouds mother,echo
Phosphophyllite,gem_material,phosphorus leaf stone,echo
Plagioclase,gem_material,slanting long stone,echo
Pyrite,gem_material,yellow iron mine,echo
Pyrope,gem_material,fire eye,echo
Pyrophyllite,gem_material,leaf wax stone,echo
Pyrophyllite,gem_material,chicken blood stone,echo
Quartz,gem_material,stone petal,echo
Rainbow,gem_material,sky belt,echo
Realgar,gem_material,cockscomb stone,echo
Ruby,gem_material,red jade,echo
Ruby,gem_material,rampart rain,echo
Rutile,gem_material,gold red stone,echo
Scheelite,gem_material,ashes heavy stone,echo
Seashell,gem_material,forerunner casing,echo
Seashell,gem_material,shellfish shell,echo
Seashell,gem_material,clam shell,echo
Selenite,gem_material,maria glass,echo
Serpentine,gem_material,snake line stone,echo
Serpentine,gem_material,snake stone,echo
Siderite,gem_material,freeze spar,echo
Siderite,gem_material,iron meteorite,echo
Siderite,gem_material,bandage rite,echo
Soapstone,gem_material,freeze stone,echo
Soapstone,gem_material,fat stone,echo
Spinel,gem_material,sharp crystal stone,echo
Talc,gem_material,slip stone,echo
Topaz,gem_material,yellow jade,echo
Topaz,gem_material,yellow jade stone,echo
Tourmaline,gem_material,jade imperial signet,echo
Tourmaline,gem_material,electricity air stone,echo
Tremolite,gem_material,penetrate flash stone,echo
Turquoise,gem_material,fir tree stone,echo
Vivianite,gem_material,blue iron mine,echo
Wulfenite,gem_material,yellow lead mine,echo
Zircon,gem_material,zirconium stone,echo
Boulder,grain_size,large stone,echo
Boulder,grain_size,float gravel,echo
Boulder,grain_size,large gravel,echo
Boulder,grain_size,rock block,echo
Boulder,grain_size,rock fragment,echo
Clay,grain_size,gram goosefoot,echo
Clay,grain_size,sand mud,echo
Clay,grain_size,gum mud,echo
Clay,grain_size,viscous soil,echo
Clay,grain_size,pottery magnetic,echo
Cobble,grain_size,horn stone,echo
Cobble,grain_size,round stone,echo
Cobble,grain_size,roll chip stone,echo
Colloid,grain_size,gum body,echo
Colloid,grain_size,gum grain,echo
Colloid,grain_size,gum matter,echo
Colloid,grain_size,glue body,echo
Colloid,grain_size,glue matter,echo
amphibole,lithology_attribute,flash stone,echo
amphibole,lithology_attribute,horn flash stone,echo
angular,lithology_attribute,angle shaped,echo
biotite,lithology_attribute,black enamel,echo
black,lithology_attribute,real obscure close,echo
black,lithology_attribute,blue hair,echo
black,lithology_attribute,sword all,echo
black,lithology_attribute,sword silver,echo
black,lithology_attribute,sword attachment,echo
black,lithology_attribute,gum attachment,echo
blue,lithology_attribute,spring onion rang,echo
blue,lithology_attribute,sine suit,echo
botryoidal,lithology_attribute,wine grapelike,echo
boulder,lithology_attribute,large stone,echo
boulder,lithology_attribute,float gravel,echo
boulder,lithology_attribute,large gravel,echo
boulder,lithology_attribute,rock block,echo
boulder,lithology_attribute,rock fragment,echo
brown,lithology_attribute,cloth clear,echo
brown,lithology_attribute,deep hemp palm,echo
brown,lithology_attribute,blue deer hair,echo
coarse,lithology_attribute,rough foolish,echo
coarse,lithology_attribute,rough bad,echo
coarse,lithology_attribute,rough neglect,echo
dark,lithology_attribute,black obscure,echo
dark,lithology_attribute,sad weak,echo
dark,lithology_attribute,obscure weak,echo
dark,lithology_attribute,shallow black,echo
dark,lithology_attribute,black black,echo
dark,lithology_attribute,crafty flattery,echo
dark,lithology_attribute,crafty culprit,echo
dark,lithology_attribute,adultery evil,echo
diatom,lithology_attribute,silicon splendid,echo
diatom,lithology_attribute,pebble alga,echo
feldspar,lithology_attribute,long stone,echo
feldspar,lithology_attribute,field spar,echo
feldspar,lithology_attribute,earth spar,echo
fine,lithology_attribute,superior good,echo
fine,lithology_attribute,penalty item,echo
fine,lithology_attribute,tow line small,echo
fine,lithology_attribute,thin hair,echo
fine,lithology_attribute,penalty money,echo
fine,lithology_attribute,punish item,echo
fine,lithology_attribute,punish gold,echo
fine,lithology_attribute,delicate dense,echo
granule,lithology_attribute,grain grain,echo
gray,lithology_attribute,halberd felicitous omen,echo
gray,lithology_attribute,halberd thunder,echo
green,lithology_attribute,fruit mountain ridge,echo
green,lithology_attribute,jade tile,echo
green,lithology_attribute,turquoise kingfisher eagle,echo
lenticular,lithology_attribute,lentil formed,echo
light,lithology_attribute,clear weak,echo
light,lithology_attribute,dot fire,echo
light,lithology_attribute,flowery lamp,echo
light,lithology_attribute,shallow weak,echo
light,lithology_attribute,dot bright,echo
light,lithology_attribute,lightning lamp,echo
light,lithology_attribute,trillion name back,echo
lithic,lithology_attribute,lithium containing,echo
mafic,lithology_attribute,bitter iron matter,echo
manganese,lithology_attribute,fullness personal pronoun,echo
manganese,lithology_attribute,net salty seasonings,echo
massive,lithology_attribute,heavy thick,echo
medium,lithology_attribute,central rank,echo
medium,lithology_attribute,forerunner matter,echo
medium,lithology_attribute,central usual,echo
medium,lithology_attribute,spirit offspring,echo
medium,lithology_attribute,blend matter,echo
medium,lithology_attribute,intermediate substance,echo
mica,lithology_attribute,cloud female elders,echo
mica,lithology_attribute,clouds mother,echo
mica,lithology_attribute,luck mother,echo
muddy,lithology_attribute,moisten full,echo
muscovite,lithology_attribute,cloud flowery,echo
muscovite,lithology_attribute,cloud sand,echo
muscovite,lithology_attribute,cloud liquid,echo
muscovite,lithology_attribute,cloud precious stone,echo
muscovite,lithology_attribute,cloud petal,echo
muscovite,lithology_attribute,phosphorus stone,echo
muscovite,lithology_attribute,potash mica,echo
olivine,lithology_attribute,burseraceae stone,echo
organic,lithology_attribute,have desk,echo
organic,lithology_attribute,have weaving machine,echo
organic,lithology_attribute,receptacle matter nature,echo
organic,lithology_attribute,receptacle matter possessive,echo
pink,lithology_attribute,article red,echo
pink,lithology_attribute,peach red,echo
pink,lithology_attribute,powder red,echo
pink,lithology_attribute,silver red,echo
pink,lithology_attribute,strip red,echo
pink,lithology_attribute,bun red,echo
pink,lithology_attribute,bun red light,echo
pink,lithology_attribute,light red,echo
quartz,lithology_attribute,stone petal,echo
radiolarian,lithology_attribute,put scatter insects,echo
radiolarian,lithology_attribute,ray animal,echo
red,lithology_attribute,cinnabar smear,echo
red,lithology_attribute,real reddish brown,echo
red,lithology_attribute,gold time,echo
siliceous,lithology_attribute,silicon matter,echo
tan,lithology_attribute,light brown,echo
vesicular,lithology_attribute,small womb,echo
white,lithology_attribute,bosom special,echo
white,lithology_attribute,last lamb,echo
yellow,lithology_attribute,string egg,echo
yellow,lithology_attribute,string rang,echo
Actinolite,mineral,green flash stone,echo
Actinolite,mineral,radiate stone,echo
Adularia,mineral,ice long stone,echo
Agate,mineral,jinx string,echo
Akaganeite,mineral,red gold mine,echo
Alexandrite,mineral,change stone,echo
Almandine,mineral,noble garnet,echo
Alum,mineral,obtain profession life,echo
Alunite,mineral,bright alum stone,echo
Amalgam,mineral,mercury grease,echo
Amalgam,mineral,mercury even,echo
Amethyst,mineral,purple clear,echo
Amethyst,mineral,letter way attachment,echo
Andalusite,mineral,red pillar stone,echo
Anhydrite,mineral,hard stone grease,echo
Anorthite,mineral,ashes long stone,echo
Anorthite,mineral,lime feldspar,echo
Anthophyllite,mineral,straight flash stone,echo
Antimony,mineral,offering many,echo
Apatite,mineral,phosphorus ashes stone,echo
Aquamarine,mineral,green jade,echo
Aquamarine,mineral,water marine,echo
Aragonite,mineral,literature stone,echo
Aragonite,mineral,hail stone,echo
Arsenic,mineral,rain cow,echo
Arsenic,mineral,shard cobalt,echo
Arsenolite,mineral,letter stone,echo
Arsenopyrite,mineral,poison pebbles,echo
Augite,mineral,brightness stone,echo
Azurite,mineral,stone blue,echo
Azurite,mineral,blue copper mine,echo
Beryl,mineral,green pillar stone,echo
Bieberite,mineral,red alum,echo
Biotite,mineral,black enamel,echo
Bismuth,mineral,blue lead,echo
Bornite,mineral,mottled copper mine,echo
Bronze,mineral,blue copper,echo
Bronze,mineral,tang dynasty gold,echo
Bronze,mineral,tang dynasty copper,echo
Bronze,mineral,request moon,echo
Calomel,mineral,sweetness mercury,echo
Carnallite,mineral,mixed salt,echo
Cassiterite,mineral,tin stone,echo
Cassiterite,mineral,kassite rite,echo
Chalcanthite,mineral,gallbladder alum,echo
Chalcocite,mineral,brightness copper mine,echo
Chalcopyrite,mineral,yellow copper mine,echo
Chalcopyrite,mineral,copper gravel,echo
Charcoal,mineral,wood coal,echo
Charcoal,mineral,coal pen,echo
Chromite,mineral,chromium ironstone,echo
Chrysoberyl,mineral,gold green stone,echo
Cinnabar,mineral,early morning pebbles,echo
Copper,mineral,cinnabar side,echo
Copper,mineral,red metal,echo
Copper,mineral,gold wing,echo
Cordierite,mineral,celery blue stone,echo
Corundum,mineral,hard jade,echo
Corundum,mineral,firm jade,echo
Corundum,mineral,steel jade,echo
Covellite,mineral,copper blue,echo
Cryolite,mineral,ice stone,echo
Diamond,mineral,drill stone,echo
Diamond,mineral,beautiful jade stone,echo
Diamond,mineral,gold firm,echo
Dolomite,mineral,pure clouds stone,echo
Feldspar,mineral,long stone,echo
Feldspar,mineral,field spar,echo
Feldspar,mineral,earth spar,echo
Ferberite,mineral,iron heavy stone,echo
Fluorapatite,mineral,fluorine apatite,echo
Fluorite,mineral,firefly stone,echo
Fukuchilite,mineral,happiness earth mine,echo
Garnet,mineral,pomegranate stone,echo
Germanite,mineral,germanium stone,echo
Gibbsite,mineral,water alum soil,echo
Glauconite,mineral,sea green stone,echo
Glaucophane,mineral,blue flash stone,echo
Goethite,mineral,needle iron mine,echo
Graphite,mineral,black lead,echo
Halite,mineral,cliff salt,echo
Halite,mineral,stone salt,echo
Halite,mineral,mine salt,echo
Haradaite,mineral,source field stone,echo
Hemimorphite,mineral,different extreme mine,echo
Horobetsuite,mineral,curtain separate mine,echo
Horomanite,mineral,curtain fullness mine,echo
Ilmenite,mineral,facial expression rivet,echo
Iodine,mineral,water degree,echo
Iron,mineral,scald clothes,echo
Iron,mineral,all way beauty,echo
Iwateite,mineral,cliff hand stone,echo
Jamesonite,mineral,hair mine,echo
Kamaishilite,mineral,cauldron stone stone,echo
Kawazulite,mineral,stream ferry mine,echo
Kinoshitalite,mineral,tree down stone,echo
Lead,mineral,direct delicate,echo
Lead,mineral,delicate make,echo
Lead,mineral,drag head,echo
Lead,mineral,master direct,echo
Lead,mineral,pull feet,echo
Lead,mineral,drag support,echo
Lead,mineral,drag neck,echo
Lead,mineral,rate neck,echo
Lepidolite,mineral,lithium enamel,echo
Lime,mineral,stone ash,echo
Lime,mineral,acid orange tree,echo
Lime,mineral,blue lemon,echo
Lime,mineral,green lemon,echo
Limonite,mineral,brown ironstone,echo
Malachite,mineral,stone green,echo
Malachite,mineral,opening sparrow stone,echo
Manganese,mineral,fullness personal pronoun,echo
Manganese,mineral,net salty seasonings,echo
Marcasite,mineral,pure iron mine,echo
Massicot,mineral,lead dandruff,echo
Melanterite,mineral,green alum,echo
Melilite,mineral,yellow long stone,echo
Mellite,mineral,honey wax stone,echo
Mercury,mineral,water star,echo
Mercury,mineral,water silver,echo
Mercury,mineral,way castle,echo
Mica,mineral,cloud female elders,echo
Mica,mineral,clouds mother,echo
Mica,mineral,luck mother,echo
Minium,mineral,red cinnabar,echo
Minium,mineral,red lead,echo
Minium,mineral,lead cinnabar,echo
Mirabilite,mineral,simple saltpeter,echo
Mirabilite,mineral,miscanthus sinensis saltpeter,echo
Molybdenite,mineral,molybdenum gleam,echo
Muscovite,mineral,cloud flowery,echo
Muscovite,mineral,cloud sand,echo
Muscovite,mineral,cloud liquid,echo
Muscovite,mineral,cloud precious stone,echo
Muscovite,mineral,cloud petal,echo
Muscovite,mineral,phosphorus stone,echo
Muscovite,mineral,potash mica,echo
Nambulite,mineral,south part stone,echo
Nepheline,mineral,rosy clouds cliff,echo
Nepheline,mineral,rosy clouds stone,echo
Olivine,mineral,burseraceae stone,echo
Ominelite,mineral,big peak stone,echo
Opal,mineral,inlet treasure,echo
Opal,mineral,eggs pure stone,echo
Orpiment,mineral,stone yellow,echo
Orpiment,mineral,high yellow,echo
Orthoclase,mineral,right long stone,echo
Osumilite,mineral,big corner stone,echo
Petalite,mineral,leaf long stone,echo
Phlogopite,mineral,gold clouds mother,echo
Phosphophyllite,mineral,phosphorus leaf stone,echo
Plagioclase,mineral,slanting long stone,echo
Platinum,mineral,white gold,echo
Pyrite,mineral,yellow iron mine,echo
Pyrolusite,mineral,brown stone,echo
Pyrope,mineral,fire eye,echo
Pyrophyllite,mineral,leaf wax stone,echo
Pyrophyllite,mineral,chicken blood stone,echo
Pyroxene,mineral,brightness stone,echo
Quartz,mineral,stone petal,echo
Realgar,mineral,cockscomb stone,echo
Ruby,mineral,red jade,echo
Ruby,mineral,rampart rain,echo
Rutile,mineral,gold red stone,echo
Sakuraiite,mineral,cherry well mine,echo
Samaniite,mineral,shape resemble mine,echo
Scheelite,mineral,ashes heavy stone,echo
Siderite,mineral,freeze spar,echo
Siderite,mineral,iron meteorite,echo
Siderite,mineral,bandage rite,echo
Silicon,mineral,tooth stone,echo
Spinel,mineral,sharp crystal stone,echo
Stibnite,mineral,brightness peaceful mine,echo
Stibnite,mineral,antimony gleam,echo
Talc,mineral,slip stone,echo
Tenorite,mineral,black copper mine,echo
Todorokite,mineral,rumble stone,echo
Topaz,mineral,yellow jade,echo
Topaz,mineral,yellow jade stone,echo
Tourmaline,mineral,jade imperial signet,echo
Tourmaline,mineral,electricity air stone,echo
Toyohaite,mineral,abundant feather mine,echo
Travertine,mineral,lukewarm spring flowery,echo
Tremolite,mineral,penetrate flash stone,echo
Tsugaruite,mineral,ferry light mine,echo
Turquoise,mineral,fir tree stone,echo
Urea,mineral,urine white,echo
Urea,mineral,urine substance,echo
Urea,mineral,urinary substance,echo
Vermiculite,mineral,leech stone,echo
Vivianite,mineral,blue iron mine,echo
Watanabeite,mineral,cross edge mine,echo
Wulfenite,mineral,yellow lead mine,echo
Zeolite,mineral,boil stone,echo
Zircon,mineral,zirconium stone,echo
Amphibole,mineral,flash stone,echo
Amphibole,mineral,horn flash stone,echo
Emerald,mineral,green jade,echo
Emerald,mineral,green jade stone,echo
Ice,mineral,soul hmm,echo
Barite,mineral,heavy crystal stone,echo
Agate,mineral_variety,jinx string,echo
Alexandrite,mineral_variety,change stone,echo
Alum,mineral_variety,obtain profession life,echo
Amethyst,mineral_variety,purple clear,echo
Amethyst,mineral_variety,letter way attachment,echo
Aquamarine,mineral_variety,green jade,echo
Aquamarine,mineral_variety,water marine,echo
Asbestos,mineral_variety,stone cotton wad,echo
Bauxite,mineral_variety,alum soil,echo
Bauxite,mineral_variety,aluminum soil,echo
Citrine,mineral_variety,yellow water,echo
Emerald,mineral_variety,green jade,echo
Emerald,mineral_variety,green jade stone,echo
Jade,mineral_variety,orphan stable,echo
Jade,mineral_variety,thin horse,echo
Jade,mineral_variety,girl hussy,echo
Jasper,mineral_variety,jade jade,echo
Nephrite,mineral_variety,soft jade,echo
Opal,mineral_variety,inlet treasure,echo
Opal,mineral_variety,eggs pure stone,echo
Ruby,mineral_variety,red jade,echo
Ruby,mineral_variety,rampart rain,echo
Satinspar,mineral_variety,mineral gypsum,class
Selenite,mineral_variety,maria glass,echo
Selenite,mineral_variety,mineral gypsum,class
Simetite,mineral_variety,mineral amber,class
Spectrolite,mineral_variety,mineral labradorite,class
Stantienite,mineral_variety,mineral amber,class
Agate,rock,quartz chert,gloss
Agate,rock,chalcedony chert,gloss
Agate,rock,mixed chert,gloss
Agate,rock,jinx string,echo
Agate,rock,argillaceous limestone chert,sibling
Agate,rock,dolostone chert,sibling
Agate,rock,limestone chert,sibling
Agglomerate,rock,pyroclastic rock,gloss
Agglomerate,rock,fragments rock,gloss
Agglomerate,rock,exceed rock,gloss
Agglomerate,rock,andesitic rock,sibling
Agglomerate,rock,anorthositic rock,sibling
Aggregate,rock,deposit artificial,gloss
Aggregate,rock,building artificial,gloss
Aggregate,rock,industry artificial,gloss
Aggregate,rock,combine plan,echo
Aggregate,rock,assemble consider,echo
Aggregate,rock,skeleton consider,echo
Aggregate,rock,collect tie,echo
Aggregate,rock,bone wood,echo
Amphibolite,rock,rock metamorphic,gloss
Amphibolite,rock,protolith metamorphic,gloss
Amphibolite,rock,based metamorphic,gloss
Amphibolite,rock,horn flash cliff,echo
Andesite,rock,andesitic rock,gloss
Andesite,rock,name rock,gloss
Andesite,rock,fine rock,gloss
Andesite,rock,peaceful mountain cliff,echo
Andesite,rock,anorthositic rock,sibling
Andesite (TAS),rock,andesitic rock,gloss
Andesite (TAS),rock,total rock,gloss
Andesite (TAS),rock,alkali rock,gloss
Andesite (TAS),rock,anorthositic rock,sibling
Anorthosite,rock,anorthositic rock,gloss
Anorthosite,rock,coarse rock,gloss
Anorthosite,rock,grained rock,gloss
Anorthosite,rock,slanting long cliff,echo
Anorthosite,rock,andesitic rock,sibling
Anthracite,rock,pure coal,gloss
Anthracite,rock,order coal,gloss
Anthracite,rock,peat coal,gloss
Anthracite,rock,white coal,echo
Anthracite,rock,hard coal,echo
Anthracite,rock,negative smoke charcoal,echo
Anthracite,rock,smokeless coal,echo
Anthracite,rock,banded bright coal,sibling
Arenite,rock,silicate sandstone,gloss
Arenite,rock,rock sandstone,gloss
Arenite,rock,have sandstone,gloss
Arenite,rock,andesitic metavolcaniclastic sandstone,sibling
Arenite,rock,andesitic volcaniclastic sandstone,sibling
Arenite,rock,basaltic lava sandstone,sibling
Ash,rock,pyroclastic sediment,gloss
Ash,rock,rock sediment,gloss
Ash,rock,average sediment,gloss
Ash,rock,size sediment,gloss
Ash,rock,pyroclastic rock sediment,gloss
Ash,rock,fire dust,echo
Ash,rock,ankerite sediment,sibling
Ash,rock,aragonite sediment,sibling
Ballast,rock,deposit artificial,gloss
Ballast,rock,coarse artificial,gloss
Ballast,rock,stone artificial,gloss
Ballast,rock,oppress load,echo
Ballast,rock,path stone tablet,echo
Ballast,rock,bottom accumulate,echo
Ballast,rock,bottom lotus,echo
Ballast,rock,leg lotus,echo
Baryte (vein),rock,rock vein,gloss
Baryte (vein),rock,pyritic rock vein,sibling
Basalt,rock,basaltic rock,gloss
Basalt,rock,name rock,gloss
Basalt,rock,fine rock,gloss
Basalt,rock,andesitic rock,sibling
Basalt,rock,anorthositic rock,sibling
Basalt (TAS),rock,basaltic rock,gloss
Basalt (TAS),rock,total rock,gloss
Basalt (TAS),rock,alkali rock,gloss
Basalt (TAS),rock,andesitic rock,sibling
Basalt (TAS),rock,anorthositic rock,sibling
Basanite,rock,tephritic rock,gloss
Basanite,rock,name rock,gloss
Basanite,rock,fine rock,gloss
Basanite,rock,andesitic rock,sibling
Basanite,rock,anorthositic rock,sibling
Basanite (TAS),rock,tephritic rock,gloss
Basanite (TAS),rock,total rock,gloss
Basanite (TAS),rock,alkali rock,gloss
Basanite (TAS),rock,andesitic rock,sibling
Basanite (TAS),rock,anorthositic rock,sibling
Bauxite,rock,alum soil,echo
Bauxite,rock,aluminum soil,echo
Blastomylonite,rock,mylonitic rock,gloss
Blastomylonite,rock,where rock,gloss
Blastomylonite,rock,mineral rock,gloss
Blastomylonite,rock,andesitic rock,sibling
Blastomylonite,rock,anorthositic rock,sibling
Boulders [UDCS],rock,superficial natural,gloss
Boulders [UDCS],rock,deposit natural,gloss
Boulders [UDCS],rock,civil natural,gloss
Breccia,rock,silicate conglomerate,gloss
Breccia,rock,rock conglomerate,gloss
Breccia,rock,term conglomerate,gloss
Breccia,rock,horn gravel cliff,echo
Breccia,rock,andesite sandstone conglomerate,sibling
Breccia,rock,feldspathic arenite conglomerate,sibling
Brick,rock,tile piece,echo
Brick,rock,tile head,echo
Brick,rock,tile stone,echo
Brick,rock,smelt tile,echo
Brick,rock,wall rock chapter,echo
Calcarenite,rock,term limestone,gloss
Calcarenite,rock,sand limestone,gloss
Calcarenite,rock,grade limestone,gloss
Calcarenite,rock,aragonite limestone,sibling
Calcarenite,rock,calcareous mudstone limestone,sibling
Calcarenite,rock,calcareous sandstone limestone,sibling
Calcilutite,rock,term limestone,gloss
Calcilutite,rock,grade limestone,gloss
Calcilutite,rock,research limestone,gloss
Calcilutite,rock,aragonite limestone,sibling
Calcilutite,rock,calcareous mudstone limestone,sibling
Calcilutite,rock,calcareous sandstone limestone,sibling
Calciocarbonatite,rock,rock carbonatite,gloss
Calciocarbonatite,rock,term carbonatite,gloss
Calciocarbonatite,rock,when carbonatite,gloss
Calciocarbonatite,rock,siilinjärvi carbonatite,sibling
Calciocarbonatite,rock,calcite carbonatite,sibling
Calciocarbonatite,rock,dolomite carbonatite,sibling
Calcrete,rock,conglomerate duricrust,gloss
Calcrete,rock,sand duricrust,gloss
Calcrete,rock,gravel duricrust,gloss
Camptonite,rock,rock lamprophyre,gloss
Camptonite,rock,plagioclase lamprophyre,gloss
Camptonite,rock,dominant lamprophyre,gloss
Camptonite,rock,biotite lamprophyre,sibling
Camptonite,rock,foliated lamprophyre,sibling
Camptonite,rock,foliated biotite lamprophyre,sibling
Carbonatite,rock,crystalline exotic,gloss
Carbonatite,rock,igneous exotic,gloss
Carbonatite,rock,rock exotic,gloss
Cardboard,rock,hard paper,echo
Cardboard,rock,paper plank,echo
Cardboard,rock,paper skin,echo
Cataclasite,rock,cataclastic rock,gloss
Cataclasite,rock,fragments rock,gloss
Cataclasite,rock,matrix rock,gloss
Cataclasite,rock,andesitic rock,sibling
Cataclasite,rock,anorthositic rock,sibling
Chalk,rock,white soil,echo
Chalk,rock,white holy,echo
Chalk,rock,white ink,echo
Chalk,rock,powder pen,echo
Chalk,rock,pure ink,echo
Chert,rock,rock siliceous,gloss
Chert,rock,dense siliceous,gloss
Chert,rock,hard siliceous,gloss
Chromitite,rock,restricted rock,gloss
Chromitite,rock,mineralogy rock,gloss
Chromitite,rock,coarse rock,gloss
Chromitite,rock,andesitic rock,sibling
Chromitite,rock,anorthositic rock,sibling
Clarain,rock,bituminous coal,gloss
Clarain,rock,bright coal,gloss
Clarain,rock,bands coal,gloss
Clarain,rock,banded bright coal,sibling
Clarain,rock,banded coal,sibling
Clarain,rock,banded dull coal,sibling
Clay,rock,gram goosefoot,echo
Clay,rock,sand mud,echo
Clay,rock,gum mud,echo
Clay,rock,viscous soil,echo
Clay,rock,pottery magnetic,echo
Clay [UDCS],rock,superficial natural,gloss
Clay [UDCS],rock,deposit natural,gloss
Clay [UDCS],rock,civil natural,gloss
Claystone,rock,research mudstone,gloss
Claystone,rock,report mudstone,gloss
Claystone,rock,silicate mudstone,gloss
Claystone,rock,ankerite mudstone,sibling
Claystone,rock,aragonite mudstone,sibling
Claystone,rock,bituminous mudstone,sibling
Clinker,rock,hard tile,echo
Clinopyroxenite,rock,pyroxene pyroxenite,gloss
Clinopyroxenite,rock,almost pyroxenite,gloss
Clinopyroxenite,rock,clinopyroxene pyroxenite,gloss
Clinopyroxenite,rock,biotite pyroxenite,sibling
Clinopyroxenite,rock,hornblende pyroxenite,sibling
Clinopyroxenite,rock,olivine hornblende pyroxenite,sibling
Coal,rock,sedimentary rock,gloss
Coal,rock,rich rock,gloss
Coal,rock,organic rock,gloss
Coal,rock,stone charcoal,echo
Coal,rock,black charcoal,echo
Coal,rock,sword silver gold,echo
Coal,rock,andesitic rock,sibling
Coal,rock,anorthositic rock,sibling
Cobble,rock,horn stone,echo
Cobble,rock,round stone,echo
Cobble,rock,roll chip stone,echo
Cobbles [UDCS],rock,superficial natural,gloss
Cobbles [UDCS],rock,deposit natural,gloss
Cobbles [UDCS],rock,civil natural,gloss
Concrete,rock,deposit artificial,gloss
Concrete,rock,material artificial,gloss
Concrete,rock,composed artificial,gloss
Concrete,rock,stone excrement,echo
Concrete,rock,mix coagulate soil,echo
