gloss,uses,forms,sayable
"noh, a form of classical japanese musical drama.",33852,23,1
oak (tree of the genus quercus or its wood),33607,368,1
"city center, downtown, central business district",33422,7,1
day,33238,70,1
mound,33173,75,1
hole,32851,103,1
son,32844,373,1
eye,32830,151,1
county,32745,5,0
"genitive case/possessive marker for a-stem nouns, indicating that an object belongs to the noun",32737,370,1
the name of the latin-script letter h/h.,32731,877,1
"meadow, water meadow, ing",32454,967,1
toe,32117,656,1
the name of the arabic script letter ح,31747,620,1
first-person singular past historic of huer,30994,19,1
used to form the past participle of class i weak verbs,30386,78,1
id,30305,589,0
a suffix indicating the third-person singular indicative preterite of a verb in -ar,30290,762,1
co- (together; jointly),30259,221,1
a mine,30247,9,1
"roe deer (small deer species, capreolus capreolus)",30078,55,1
a female given name,30058,441,1
the name of the latin script letter v/v.,29881,211,1
"combat, battle, warfare",29695,50,1
old,29613,365,1
a surname from english,29606,46,1
tumour,29505,90,0
forms feminine nouns,29458,456,1
dog,29443,711,1
funeral pyre,29173,289,1
st ("steam") abbreviation of vapeur,29015,334,1
"general staff; abbreviation of генштаб (genštab, "генера́льный штаб (generálʹnyj štab)")",28894,363,1
rock (style of music),28837,15,1
"version originale" — original-language version (ov); a non-french-language film,28818,454,1
ridge,28814,83,1
a male surname,28753,637,1
suffix used to pluralize feminine nouns and adjectives ending in ـَة (-a).,28610,425,1
young,28377,312,1
front vowel variant of -ue,28288,518,1
iq,28151,1004,0
present stem form of آمدن (âmadan),27772,630,1
"a musical sound; vocal, instrumental",27637,286,1
canyon,27632,8,1
mill,27583,120,0
open land,27573,215,1
hall,27552,52,1
spoon,27361,232,1
fence,27310,639,1
airport,27129,5,1
"plural ending of nominative and accusative cases, originally of a-stem masculine nouns, later extended to other nouns.",27108,107,1
marks the plural preterite indicative of strong verbs.,27012,450,1
nu (greek letter),26855,477,1
"inclination, sympathy",26833,933,1
"reservoir (basin or large tank for collecting liquids, usually water)",26662,1,1
forms the augmentative of nouns,26612,505,1
township (in south africa),26304,1,1
verbal suffix,25986,651,1
"country, land",25897,63,1
"wan (pallid, sickly)",25577,535,0
a forest or wood (uninhabited forested region),25201,14,1
little,24676,10,1
camp,24575,39,1
"a khan (turkic, tatar or mongolic ruler)",24509,121,1
woodland clearing,24388,468,1
stone,23732,414,1
to go,23647,846,1
two,23272,360,1
red,23122,389,1
water (liquid h2o),22754,90,1
grove,22395,85,1
well,22209,210,1
a prefix used to create nouns of place,22154,534,1
goth (member of goth subculture),22132,8,1
yang,22104,607,0
good,22000,179,1
"twig, branch",21944,264,1
bridge,21787,114,1
n/a ("not available") abbreviation of non disponible,21365,371,1
snow,21359,124,1
"army, troop, fleet",21281,540,1
"brother, bro",21126,178,1
district,20962,5,1
"a, la (the sixth note of the fixed-do solfège scale)",20838,330,1
more (often + genitive),20837,712,1
first/third-person preterite of niman,20762,127,1
"name of the latin-script letter c, c; cee",20739,375,1
forms the second-person plural past historic of -ir and -re verbs,20736,9,1
white,20717,288,1
"a fork, splitting-up of an existing process into itself and a child process executing parts of the same program",20708,13,1
h-prothesized form of e-,20552,169,1
suffix which forms diminutives,20395,184,1
cv ("aircraft carrier"); initialism of porte-avions,20359,241,1
h-prothesized form of ó,20133,466,1
land (dry portion of the earth's surface),20131,251,1
denotes absence or lack,19883,609,1
"an abbreviation of czech kusů ("pieces", pcs, pc).",19871,210,1
"to sew, stitch",19794,492,1
post-1930s cyrillic spelling of zi.,19759,613,1
whisper; counsel; consultation,19495,26,1
-ate,19413,45,1
"pond (inland body of standing water, usually natural, that is smaller than a lake)",19389,499,1
abadan form of کاکا (kâkâ),19371,298,1
view (logical table formed from data from physical tables),19365,77,1
egg,19355,404,1
port where goods and passengers embark and debark,19264,11,1
joint venture,19142,94,1
forms adjectives,19057,32,1
"fog, mist",18967,59,1
"bitter vetch, ervil (vicia ervilia)",18909,299,1
chi (greek letter),18757,477,1
"tank, armor",18660,2,1
name of the thirty-first letter of the persian alphabet ه.,18606,331,1
-ist,18589,18,0
mu (greek letter),18440,292,1
whole,18328,234,1
lagoon,18273,5,1
a day; a period of 24 hours or between sunrises.,18267,66,1
failure,18101,3,1
inclusive or (connective which yields true when at least one of the predicates is true),18072,344,1
"affirmative prefix, emphasises prefixed word",17993,630,1
"to thirst, to be thirsty",17958,2,1
"new-, newly",17915,220,1
big,17671,16,1
castle,17602,266,1
first-person singular possessive suffix.,17591,285,1
cheka (forerunner of the kgb),17569,234,1
"kay, the name of the latin script letter k/k.",17568,522,1
qi energy,17557,508,1
"quite (some), fair (amount of...), considerable, significant, hefty, sizeable",17464,351,1
inhabited place,17461,316,1
go (board game),17378,370,1
more numerous; larger in amount,17254,334,1
old latin form of -us (suffix of nouns in the second declension),17241,304,1
the name of the latin-script letter k/k.,17173,317,1
oak (wood or tree),17134,226,1
"shan (language spoken in eastern burma in an area bordering china, laos and thailand)",17112,499,1
green,17022,100,1
a shah; a king of persia,17007,126,1
"tribulation, sorrow, dolour; moan, lament",16977,553,1
second-person singular imperfect/conditional of uno,16956,4,1
"gj, the prefix of catalog entries in the gliese star catalog, for the gliese-jahreiß expansion",16929,462,1
ping,16880,534,0
"jsc, joint-stock company",16853,704,1
middle,16828,24,1
farm (a place where agricultural activities take place),16803,1,1
fuse,16765,2,1
ridge (of a roof),16762,2,1
a long hill or mountain,16697,9,1
"area, surface",16650,1,1
wu (sinitic language),16646,498,1
eye dialect spelling of kunne,16589,341,1
shark,16587,454,1
chapel,16549,18,0
h-prothesized form of ong,16509,492,1
homestead,16461,344,0
ig (inspector general) abbreviation of bureau de l'inspecteur général (inspector general's office),16454,29,1
"douar, duar",16348,1,0
delusion,16296,466,0
"wadi (a valley, gully, or stream-bed in northern africa and southwest asia that remains dry except during the rainy season)",16198,3,1
inclination or disposition towards something,16185,508,1
"a flat surface: plain, field, ground",16080,374,1
second-person singular possessive of üç,15890,703,1
"meu, baldmoney (meum athamanticum)",15851,448,0
a brazilian funk singer,15848,351,0
corn,15829,220,1
rim (of wheel),15744,31,1
bohea (type of chinese tea from fujian),15680,131,1
black,15584,113,1
a christian,15580,17,0
"fashionable, in",15542,345,1
shopping,15507,1,1
mountain range,15304,16,1
"crime, sin, wickedness",15209,337,1
used to form gentilic adjectives with the meaning "of/from" a country or place.,15172,217,1
co-,15130,293,0
tongs,15103,420,0
"nu; the greek letter ν, ν",14978,175,1
atm ("automated/automatic teller machine"); abbreviation of guichet automatique,14862,327,1
club (association of members),14738,8,1
water (h₂o),14736,24,1
aurochs,14634,493,0
khan,14565,267,0
home (initial position of various computing objects),14530,23,1
the name of the latin script letter m/m.,14470,172,1
fist,14419,171,1
father,14374,285,1
resort,14282,2,1
the name of the latin script letter j/j.,14251,398,1
night,14146,313,1
plain,14141,107,1
bra (women's undergarment),14124,511,1
the name of the latin script letter ch/ch.,14079,259,1
"-like, -ish, -ly (it derives adjectives)",14067,20,1
used to form adverbs from nouns or adjectives.,14015,401,1
mother,13974,224,1
"amused, entertained",13859,9,1
dew,13820,123,1
the name of the latin script letter ng/ng.,13779,308,1
community,13777,4,1
tea,13691,295,1
see usage notes.,13627,200,1
peak amplitude,13602,4,1
insurance policy,13527,3,1
war,13446,210,1
"prayer, praying",13423,58,1
shank (lower part of the leg); shin and calf,13351,386,1
"sorrow, grief",13276,39,1
central,13189,8,1
"friendly, of a favourable disposition",13163,339,1
harbour,13147,106,0
small,13137,170,1
a song of modern popular music,13101,214,1
river crossing,13079,193,1
"ranch, hacienda",13064,1,0
trail,13062,3,1
no,13034,237,1
pound (unit of measure),12952,1,1
third-person singular imperfect indicative/imperfect subjunctive/conditional of mynd,12940,376,1
onion (allium cepa),12935,324,1
"earth, land, country, cosmos, universe",12930,309,1
a ride ((fancier) vehicle),12917,306,1
"la, the note 'a'",12906,410,1
yuan (basic unit of money in china),12893,402,1
used to create diminutive neuter nouns,12887,205,1
year,12821,273,1
the name of the latin script letter b/b.,12792,446,1
"commendable, laudable, praised, praiseworthy",12784,10,1
canada (a country in north america),12691,2,1
apocopic form of aue,12666,321,1
"yellow, pale",12595,10,1
buttocks,12576,300,0
"nob, penis",12463,34,1
"ra, ancient egyptian deity of the sun",12427,248,1
grey,12402,255,0
farm,12397,34,1
li (chinese unit of distance),12320,325,1
the name of the latin script letter t/t.,12299,272,1
wind,12246,96,1
"a sentence, saying or maxim",12175,8,1
wine,12169,340,1
cat,12145,59,1
a lutheran (a member of a lutheran church),12137,1,1
"suffix forming the definite singular forms of neuter nouns, especially if they end with a consonant or stressed vowel.",12107,541,1
memorial,12067,2,0
mesa,12057,6,1
"small child, tot",11989,312,1
"a productive prefix usually used to form verbs and adjectives, especially:",11946,197,1
"forms abstract nouns denoting a state or attribute, usually from adjectives but occasionally from verbs; -th, -ness",11943,117,1
yoke,11827,400,0
public,11804,6,1
"greed, avidity, covetousness",11758,215,1
a surname from vietnamese,11692,189,1
"possessor of, owner of",11641,384,1
a god,11609,210,1
third-person singular past historic of huer,11572,253,1
"a male given name from latin, equivalent to english anthony",11548,5,1
matrilineal clan within a maroon tribe,11510,188,1
"reserve (that which is reserved, or kept back, as for future use)",11451,1,1
first/third-person singular preterite indicative of galan,11406,97,1
"a prefix, sometimes used instead of s- in front of a consonant",11385,245,1
boar,11309,141,1
the name of the latin script letter g/g.; gee,11266,340,1
port,11261,10,1
ground,11255,20,1
the name of the arabic script letter ظ,11214,167,1
doubt,11172,60,1
look!,11171,430,1
"a male given name, feminine equivalent christiane, christina, or christine",11170,4,1
a hostel or guesthouse; a place of accommodation or lodging.,11142,1,1
a projecting stone that forms part of a boundary,11138,353,1
cow,11119,312,1
horse,11072,230,1
iso 3166-2:ch code of schaffhausen (canton),11071,97,1
verbal noun of abaigh,11012,39,1
cave,11006,115,1
a male given name from english,10977,40,1
"woe, grief, sadness",10897,335,1
golf,10867,3,1
front vowel variant of -uu,10853,143,1
grass,10841,357,1
the name of the latin-script letter p/p.,10810,162,1
bubble,10761,19,1
"a bore, hole, puncture or indentation.",10750,2,1
sho (greek letter),10750,85,1
millstone,10734,59,0
"plaza, town square",10718,1,1
water,10658,380,1
the name of the latin script letter n/n.,10656,314,1
plea,10642,28,0
hus; initialism of (brazil) síndrome hemolítico-urêmica or (portugal) síndrome hemolítico-urémica ("hemolytic-uremic syndrome"),10615,418,1
mango,10567,201,1
-ty (forms numeral terms denoting multiples of ten),10559,82,1
pooh (fictional bear),10542,255,1
desk,10533,1,1
post office,10501,2,1
"spear, arrow, dart",10490,96,1
"breadth, width",10462,228,1
"gust, squall",10462,277,1
e-flat,10408,272,1
nephew,10377,369,1
"pr, public relations (communication by a person or an organization with the purpose of creating a favorable public image)",10329,110,1
"a female given name, equivalent to english mary",10318,2,1
"bay, gulf, inlet (portion of a body of water extending into the land)",10307,357,1
"fair (just, honest, equitable, adequate)",10301,57,1
shah (title of persian kings),10299,39,1
yuan (the basic unit of money in china),10289,7,1
a wooded slope,10279,243,1
"wile, trick or device",10194,115,1
western,10183,6,0
union,10120,13,1
forms verbs,10112,1,1
asafoetida,10105,5,0
added to a word to form an intransitive verb with a middle-voice meaning.,9987,59,1
suffix which forms agent nouns,9982,188,1
forms country names.,9975,140,1
the name of the latin-script letter m/m.,9966,312,1
cold (low temperature),9935,179,1
lower,9870,9,1
the name of the latin script letter d/d.,9826,404,1
paved road,9791,15,1
"independent present of bi: am, is, are",9738,104,1
"to ask, to question, to inquire",9719,15,1
"forms general augmentatives, usually found with more endings",9689,157,1
a surname originating as a patronymic,9672,101,1
first/third-person singular preterite indicative of grindan,9663,14,1
forms diminutive nouns,9612,120,1
railway,9571,2,0
"place, location, venue",9552,88,1
present stem form of آوردن (âvardan),9542,123,1
song,9502,216,1
exchange,9486,4,1
suffix added to a noun or adjective to form the dual form.,9472,70,1
"nones, the ninth hour after sunrise",9466,55,1
cross (geometrical figure),9439,7,1
first/third-person singular preterite indicative of lǣtan,9420,202,1
forms verbs from adjectives,9393,210,1
short for interurbain ("long-distance phone service"),9365,3,1
end,9347,16,1
"scary, creepy",9319,139,1
settlement,9308,3,1
upper,9288,15,1
noble,9283,79,1
third-person singular possessive of ek,9263,10,1
"cape, ness, headland, promontory, (small) peninsula (form of coastal land jutting into a lake or sea)",9262,388,1
"sublime, exalted",9248,56,1
animal,9191,12,1
ant,9175,279,1
eye; eyeball,9158,2,1
"cabbage, kale, colewort",9142,52,1
canal,9057,3,1
preterite of fōn,9028,305,1
"non-, un-, in-",9000,278,1
forms collective nouns.,8991,84,1
first/third-person singular preterite of flītan,8977,12,1
go,8960,257,1
"prefix form of wo, meaning where-",8919,97,1
forms nouns from nouns,8916,243,1
"stream, brook, creek",8881,2,1
alternative letter-case form of indián,8807,3,1
country music,8795,4,1
used to form pet names,8790,41,1
iso 3166-2:ch code of basel-landschaft (canton),8777,97,1
lamb,8763,362,1
"used to form adjectives from nouns, the adjectives having the sense of "like or characteristic of what is denoted by the noun".",8757,130,1
"hoary-haired, white-haired",8739,3,1
ten,8739,250,1
"hostel, caravanserai, inn",8721,280,1
denotes certain substances or organic compounds,8690,14,1
"head, chief",8675,67,1
ai (sloth),8672,122,1
"hive, beehive",8661,365,1
used to form the second person singular present indicative of strong verbs and certain class i weak verbs,8644,24,1
"informal pronunciation of نَادٍ (nādin, "club")",8640,3,1
"smell, scent",8639,174,1
shit,8626,133,0
early in growth or life; young.,8585,264,1
re-,8572,163,0
mile,8549,44,1
"to bestow, to give, to grant",8511,6,1
a kind of winch used in log driving,8504,6,1
green party; abbreviation of miljöpartiet,8503,95,1
medical,8478,4,0
hot,8451,112,1
life,8426,39,1
game (huntable animals),8423,21,1
stable lad; stable hand,8403,5,1
"metal can, used mainly for coal",8383,9,1
surface,8335,14,1
cartwheel,8262,17,0
a shoot from the stem or roots of a plant,8239,3,1
a watercourse in the amazon rainforest,8227,1,1
a native of beira (historical region of portugal),8219,1,1
used to form the comparative degree of adjectives,8215,212,1
the name of the latin script letter l/l.,8215,156,1
"landing, touchdown of an airplane or any other airborne object",8177,1,1
"a male given name from hebrew, equivalent to english john",8148,17,1
"a vulture or condor; scavenging birds living in africa, europe, asia and america",8124,85,1
"ocean, sea, waters",8105,259,1
"creek, small river",8100,19,1
pole (the one which connects a vehicle with a cargo),8094,230,1
"haste, speed",8088,183,1
a patronymic indicator; son of.,8079,125,1
"skill, art",8066,159,1
berry,8049,164,1
pul (subdivision of the currency of afghanistan),8038,2,1
chamber pot,8013,79,1
fort (fortified defensive structure stationed with troops),7996,26,1
"forms nouns from verbs, usually indicating a resulting action or state.",7987,27,1
"thing, doofer",7961,182,1
thing,7914,256,1
h-prothesized form of w,7910,148,1
the name of the arabic script letter ط,7886,174,1
"around, circum-",7875,209,1
bear (mammal),7871,36,1
gene,7861,250,1
may (month),7690,62,1
"canyon, ravine, barranca",7679,3,1
rank,7662,181,1
forms masculine agent nouns,7652,48,1
franciscan (friar of the religious order founded by saint francis of assisi),7646,1,1
"trust, confidence; wishful desire; expectation",7615,18,1
summer,7594,67,1
"creates the female form for many nouns for living beings; umlaut usually occurs in monosyllables, but rarely in polysyllables",7572,152,1
universe,7568,7,1
dew; drizzle,7533,23,1
the name of the latin-script letter n/n.,7504,281,1
"a college (any so-called institution in an anglophone country, but most often in the north american sense)",7503,1,1
the name of the latin script letter k/k.,7496,289,1
past masculine singular transgressive of vést,7494,7,1
runner,7488,7,0
seven,7472,28,1
service (e.g. in a restaurant),7470,1,1
used to form the nominative/accusative plural of z-stem nouns,7466,155,1
"un-, non-, in-",7461,161,1
"going, walking",7458,276,1
third-person singular past historic of bastire,7456,7,1
middle polish form of iść,7455,300,1
"tian, cooking-pot",7438,295,1
dominant woman,7414,242,1
mobile,7411,4,1
discussion,7390,8,1
eth,7378,143,0
iso-,7366,52,0
state (a condition; a set of circumstances applying at any given time),7364,8,1
fortified place,7363,121,1
rock,7349,52,1
"present stem form of جستن (jostan), suffixed form indicating "seeker"/"seeking"",7349,262,1
"wintering, spending the winter; hibernation",7343,1,1
eye dialect spelling of lad,7310,87,1
"lodge (tourist residence, especially in africa)",7301,8,1
"verbal prefix with a sense of "in pieces, apart, asunder", or with intensive force",7298,148,1
shelter,7295,202,1
"action of sending, embassy, mission, deputation; message",7292,50,1
"cloth, fabric, textile (woven fabric)",7288,323,1
forms the second-person plural past historic of -er verbs,7286,9,1
am (indicating hours in the morning); abbreviation of förmiddagen,7269,4,1
forms the strong masculine accusative singular of adjectives,7267,166,1
sub-,7249,78,1
mother (female who gives birth to or parents a child),7232,34,1
"adverbial suffix denoting direction, state or position",7231,177,1
"dude, friend",7228,212,1
second-person singular imperative imperfective of скать (skatʹ),7226,248,1
hame,7219,4,0
"informal pronunciation of صَارٍ (ṣārin, "mast")",7210,140,1
"zion (a hill in jerusalem, israel, on which ancient jerusalem was partly built; a centrepiece to biblical accounts of old days and future eschatological events)",7202,3,1
cheddar (cheese),7201,8,1
ego,7192,252,1
alternative letter-case form of ki ("ai; artificial intelligence"),7188,77,1
the name of the latin-script letter g/g.,7176,294,1
peter (leading apostle in the new testament),7154,2,1
ft (foot/feet),7138,107,1
cue,7137,20,1
presbyterian (person belonging to a church in the tradition of presbyterianism),7135,1,1
"diminutive suffix, used especially in familiar names for pets.",7135,151,1
gold,7122,143,1
ship,7114,67,1
world,7103,58,1
"family, lineage, house",7059,198,1
"third-person singular counterfactual conditional colloquial of bod (used after pe ("if"), which can also be omitted)",7013,136,1
buddy,7002,6,1
buddhist monk; bonze.,6995,44,1
rose,6955,73,1
bus,6898,90,1
"human resources, hr",6885,182,1
the radiation which allows for vision by brightening objects and colours.,6870,22,1
second-person singular imperfect indicative/conditional of mynd,6855,18,1
sun,6855,184,1
llc; initialism of osakeyhtiö ("limited liability company"),6831,76,1
"in, into",6828,88,1
headland,6797,200,0
a cross or gibbet (wooden frame for execution).,6790,18,1
farewell,6769,7,0
lacquer,6757,19,0
verbal noun of liúigh,6740,228,1
present stem form of آلودن (âludan),6736,170,1
"the roe, capreolus capreolus",6733,32,1
"version anglaise" — english-language version (ev); a film dubbed in english,6719,156,1
home,6717,209,1
spade,6702,8,1
eagle,6700,83,1
"point; punchline (final part of a joke, anecdote etc. which makes it funny or relevant)",6679,4,1
any of various varieties of heather or broom.,6669,207,1
"tower, skyscraper (tall building)",6664,3,1
episcopal,6658,1,0
"pass, mountain pass",6627,12,1
king (monarch),6617,62,1
grudge,6616,29,1
"a surname, haugen",6607,224,0
"a pole, chiefly used in the construction of roundpole fences",6594,151,1
lump,6590,4,1
to blacken,6582,23,1
subordinate; minor; inferior in rank,6579,1,1
"hill (a relatively large, usually rounded elevation of earth; generally larger than kukkula ("hill, hillock") and smaller than vuori ("mountain"))",6575,349,1
"forms diminutive nouns from nouns; in some words, it has lost its original meaning.",6567,50,1
"suffix indicating the plural of nouns and adjectives ending in certain consonants (most often -l, -r, -n, -d, -z, -j, -s, -x, -ch, with some exceptions).",6557,169,1
first/third-person singular preterite indicative of alan,6551,166,1
pears,6523,53,1
scribal abbreviation of twi-,6522,8,1
singulative of dail ("leaves; sheets"),6507,238,1
three; 3,6477,12,1
"lord; saint; mar (honorific title for a man of religion, most often a saint)",6457,124,1
a small lake,6438,1,1
"short neuter singular of но́вый (nóvyj, "new")",6427,106,1
possessive of marta: marta's,6415,10,1
"suffix variant for the illative singular, see -vn.",6403,237,1
control tower (for air traffic),6402,6,1
amount (used only in phrases; see derived terms),6336,24,1
a word for time:,6319,62,1
"pang, spasm",6316,145,1
"at, at-sign",6313,165,1
on,6289,222,1
bong (kind of marihuana pipe),6269,150,1
vow,6257,190,1
large button with a shiny eye,6248,7,1
"fa, the fourth diatonic (or sixth chromatic) note 'f'",6247,109,1
chi (the fundamental life-force or energy in chinese folklore),6215,14,1
a prefix used to create instrument nouns,6196,178,1
"a surname, alternative form of smyth",6192,17,1
"private chamber, room",6187,80,1
"head of quadrupedal livestock or game (e.g. cattle, sheep, deer)",6181,6,1
"used to form abstract nouns, usually from adjectives but also from verbs and other nouns, denoting quality or state; -ness",6170,117,1
"fear, -phobia",6161,199,1
junior,6157,1,0
glacier,6156,10,1
"wizard, sorcerer",6146,19,1
first-person singular preterite indicative of dar,6120,92,1
letter of the arabic alphabet: ح,6120,195,1
nu (the modern greek letter ν/ν),6115,127,1
so-called; abbreviation of så kallad,6105,258,1
beach,6091,16,1
a yes,6088,121,1
zoo,6073,102,1
a surname from japanese,6069,103,1
estate (the property of a deceased person),6063,201,1
"museum (building or institution dedicated to the protection and exhibition of items with scientific, historical, cultural or artistic value)",6058,5,1
roman catholic,6054,98,0
rho (greek letter),6028,179,1
"pa, dad",6027,212,1
forms passive (including stative) or translative (including inchoative) intransitive verbs from transitive verbs.,6026,192,1
roof,6024,175,1
public transport,6020,218,1
garlic,6015,62,1
pine,6014,61,1
"mate, bud, friend",6013,25,1
air (gases of the atmosphere),6006,14,1
nu (letter of greek alphabet),6002,259,1
appended to nouns to form adjectives expressing relation to the group of people or animal species,6001,56,1
"narrow, tight, constrained",5997,29,1
"belongings, possessions, property, wealth",5977,24,1
right (opposite of left),5935,22,1
national (being part of a nation's identity or character),5929,2,1
deal (often implying a dubious nature),5926,2,1
something or someone which is more wel (i.e. better).,5926,34,1
suffix meaning "a place".,5925,18,1
island (land surrounded by water),5898,3,1
pho (vietnamese soup),5896,14,1
"chariot, carriage",5894,106,1
"great, super",5893,2,1
third-person singular past historic of lier,5882,201,1
suffix forming adjectives from verbs denoting tendency or causation,5881,68,1
blame,5877,180,1
a finnish surname from landscape,5873,148,1
palm (of hand),5871,144,1
forms verbs from adjectives,5864,38,1
half-,5862,47,1
home farm,5854,11,1
forming the agent noun spotřebič; most superficial appearances are in fact -č,5851,35,1
"step (of a staircase), stair",5836,39,1
"pluralization suffix, roughly equivalent to -s",5832,22,1
jesus,5819,3,0
"a male given name from hebrew, equivalent to english michael",5807,2,1
sew,5807,181,1
"clan (group of closely interrelated families, especially among gaelic-speaking peoples)",5795,69,1
drain,5787,4,1
sonic boom,5784,26,1
suffix indicating diminution or affection,5781,119,1
di-,5759,135,0
brook,5751,200,1
kabuli and hazaragi form of جا,5744,153,1
onion,5742,131,1
used to form the dative plural of essentially all nouns,5739,90,1
"roe deer, roebuck",5737,213,1
urine,5732,160,1
a courtyard; an enclosed space.,5721,19,1
a claw; a horny nail on the feet of certain animals.,5710,31,1
noah (biblical character),5690,6,1
"wrongly, away from, astray, abstention, prohibition, perversion, destruction (verbal prefix)",5688,27,1
six,5682,70,1
prevention,5673,109,0
first/third-person singular preterite indicative of hōn,5673,210,1
may,5654,205,1
village (a southeast asian rural habitation of size between a hamlet and a town); kampung,5628,1,1
hc; abbreviation of hors catégorie,5626,101,1
"a river (a large, winding stream that flows into a lake, bay, larger river, etc., but not into an ocean or sea)",5618,1,1
"carnal knowledge, coitus",5607,184,1
"kg, kilogram",5602,16,0
"protecting, watching",5597,239,1
cheek,5591,117,1
low,5591,69,1
third-person singular past historic of caser,5587,8,1
mama,5580,190,0
"scared, frightened",5573,155,1
"plunder, booty",5565,198,0
"line drawn on the ground, furrow",5562,1,1
mosque,5561,21,1
pace (rough distance of a brisk stride),5549,2,1
penis,5543,105,1
to hang,5541,90,1
boron,5531,160,0
"soup, stew",5523,51,1
"house, building",5520,2,1
"stone, rock",5518,90,1
"do, the note 'c'",5517,142,1
"particular, especially; abbreviation of synnerhet",5516,47,1
"a place, area or spot; a part of the earth or universe:",5506,6,1
conservation,5503,1,1
bread,5500,48,1
river delta,5481,1,1
the name of the letter s.,5481,150,1
"a neighbourhood of breda, north brabant, netherlands",5469,6,1
nose,5466,94,1
gong,5464,166,1
"run, running",5460,5,1
bank,5451,25,1
park,5445,9,1
hundred,5441,26,1
bluff,5437,4,0
standard cornish form of ki ("dog"),5433,128,1
ex (male former romantic partner),5425,42,1
"bayou (a slow-moving, sometimes stagnant body of water left behind by the meandering of the mississippi river in louisiana or elsewhere)",5422,1,1
sloe (blackthorn fruit),5418,17,1
"an old measure of volume, varying in content over time and regions; nowadays usually 1 hectoliter",5410,5,1
healthy,5407,14,1
grader (noun suffix denoting a grade),5407,117,1
nova (sudden brightening of a previously inconspicuous star),5405,18,1
garden,5397,23,1
apocopic form of tha,5396,109,1
green (color/colour),5385,8,1
hand,5384,179,1
seaweed,5379,132,0
thirty,5375,78,1
but,5374,203,1
"little, small",5372,99,1
a strip cut from a piece of leather.,5363,7,1
tower,5349,73,1
municipal,5346,5,0
histo-,5339,1,0
"small, little (low in size, amount or intensity)",5334,17,1
the unconscious impulsive component of the personality in the freudian psychoanalytic model,5320,26,1
intensifying prefix,5318,200,1
"suffix used to create a diminutive form; e.g., haus → häusle",5309,130,1
