mark,heads,gloss
作,77,"work"
眼,77,"eyelet"
草,77,"grass"
落,77,"fall"
调,77,"transfer"
茶,77,"tea"
肉,77,"meat"
保,76,"protect"
东,75,"east"
真,75,"real"
破,75,"break"
拉,75,"pull"
脱,75,"take off"
風,75,"wind"
结,74,"tie"
过,74,"pass"
四,74,"four"
冷,74,"cold"
苦,74,"bitter"
病,73,"illness"
情,73,"feeling"
报,72,"report"
铁,72,"iron"
连,71,"join"
微,71,"small"
偏,71,"inclined one side"
假,70,"falsehood"
武,70,"military"
追,70,"pursue"
王,70,"king"
雪,70,"snow"
米,68,"rice"
门,68,"door"
复,68,"repeat"
热,68,"hot"
轻,68,"light"
洋,68,"ocean"
龙,68,"dragon"
開,68,"open"
先,67,"first"
食,67,"eat"
國,67,"country"
周,66,"week"
指,66,"finger"
深,66,"deep"
表,66,"sheet"
松,66,"fir tree"
横,66,"across"
路,65,"road"
信,65,"letter"
要,65,"necessary"
毛,65,"hair"
牙,65,"tooth"
临,65,"draw near"
引,65,"pull"
抽,65,"draw out"
书,64,"book"
飞,64,"fly"
改,64,"change"
点,64,"dot"
防,64,"defend"
低,64,"low"
吊,64,"condole"
電,64,"lightning"
学,63,"learning"
体,63,"body"
代,63,"generation"
民,63,"people"
背,63,"back"
圣,63,"holy"
鱼,63,"fish"
方,62,"a square"
春,62,"spring"
基,62,"foundation"
二,62,"two"
私,62,"private"
胡,62,"recklessly"
切,62,"cut"
波,62,"wave"
浮,62,"float"
半,61,"incomplete"
工,61,"labor"
修,61,"study"
麻,61,"hemp"
粗,61,"rough"
惊,61,"frighten"
硬,61,"hard"
看,60,"look"
车,60,"cart"
比,60,"ratio"
音,60,"sound"
巴,60,"greatly desire"
船,60,"boat"
野,60,"open country"
黃,60,"yellow"
早,59,"early"
银,59,"silver"
官,59,"official"
竹,59,"flute"
後,59,"behind"
紅,59,"red"
長,59,"long"
实,58,"real"
当,58,"while"
活,58,"live"
短,58,"short"
强,58,"strong"
密,58,"dense"
封,58,"letter"
折,58,"break off"
發,58,"shoot"
得,57,"obtain"
时,57,"time"
太,57,"very"
阴,57,"'female' principle"
皮,57,"skin"
退,57,"step back"
配,57,"match"
恶,57,"nastiness"
河,57,"river"
网,56,"net"
留,56,"stop"
母,56,"female elders"
消,56,"vanish"
投,56,"throw"
百,56,"hundred"
毒,56,"poison"
旧,56,"old"
进,55,"advance"
满,55,"full"
会,55,"would"
和,55,"and"
隐,55,"hide"
李,55,"plum"
奇,54,"strange"
品,54,"article"
套,54,"set"
招,54,"beckon"
翻,54,"flip over"
星,53,"star"
字,53,"word"
球,53,"ball"
道,53,"path"
果,53,"fruit"
补,53,"mend"
色,53,"color"
借,53,"borrow"
田,53,"field"
罗,53,"net for catching birds"
做,52,"act"
男,52,"male"
超,52,"jump over"
跳,52,"jump"
顺,52,"obey"
初,52,"beginning"
华,52,"flowery"
杂,52,"mixed"
耳,52,"ear"
探,52,"find"
乳,52,"breast"
雅,52,"elegant"
夜,51,"night"
应,51,"should"
永,51,"eternal"
角,51,"horn"
专,51,"monopolize"
子,51,"offspring"
刺,51,"prick"
玉,51,"jade"
军,51,"army"
机,50,"desk"
快,50,"fast"
游,50,"swim"
总,50,"collect"
立,50,"stand"
领,50,"neck"
台,50,"platform"
尾,50,"tail"
细,50,"fine"
遗,50,"lose"
骨,50,"skeleton"
卡,50,"card"
灵,50,"spirit"
板,50,"plank"
馬,50,"horse"
常,49,"common"
经,49,"classic works"
送,49,"dispatch"
圆,49,"round"
用,49,"with"
胸,49,"breast"
远,49,"far"
暴,49,"violent"
顶,49,"top"
便,48,"convenience"
关,48,"off"
英,48,"petal"
菜,48,"vegetables"
世,48,"generation"
共,48,"together with"
支,48,"disperse"
标,48,"mark"
试,48,"test"
警,48,"guard"
预,48,"prepare"
首,48,"head"
宽,48,"wide"
寒,48,"cold"
征,48,"invade"
烧,48,"burn"
迷,48,"bewitch"
归,48,"return to"
林,48,"forest"
再,47,"again"
喜,47,"like"
奶,47,"woman's breasts"
事,47,"matter"
客,47,"guest"
洗,47,"wash"
羊,47,"sheep"
乐,47,"happy"
亲,47,"relatives"
利,47,"sharp"
盘,47,"tray"
绝,47,"cut"
集,47,"assemble"
万,47,"thousand"
战,47,"war"
未,47,"not yet"
树,47,"tree"
守,47,"defend"
云,47,"cloud"
整,46,"all"
附,46,"adhere to"
急,46,"quick"
登,46,"rise"
烟,46,"smoke"
雷,46,"thunder"
动,45,"move"
爱,45,"love"
照,45,"shine"
目,45,"eye"
拍,45,"clap"
吸,45,"suck"
布,45,"cloth"
独,45,"alone"
禁,45,"restrict"
酸,45,"acid"
冲,45,"bolt"
余,45,"surplus"
猛,45,"violent"
赤,45,"red"
江,45,"river"
甲,45,"armor"
頭,45,"head"
身,44,"body"
停,44,"park"
市,44,"market"
感,44,"feel"
故,44,"ancient"
制,44,"system"
增,44,"increase"
建,44,"build"
彩,44,"hue"
减,44,"decrease"
巨,44,"large"
轮,44,"revolve"
聖,44,"noble"
過,44,"cross"
坐,43,"sit"
来,43,"come"
考,43,"examine"
声,43,"sound"
广,43,"wide"
校,43,"school"
秋,43,"autumn"
哈,43,"sound of laughter"
城,43,"castle"
近,43,"near"
激,43,"arouse"
元,43,"first"
悲,43,"sorrow"
边,43,"side"
幼,43,"infant"
异,43,"different"
拼,43,"join together"
混,43,"mix"
粉,43,"powder"
张,43,"stretch"
泥,43,"mud"
魚,43,"fish"
听,42,"hear"
意,42,"thought"
印,42,"print"
管,42,"pipe"
雨,42,"rain"
查,42,"investigate"
沉,42,"sink"
豆,42,"beans"
威,42,"pomp"
插,42,"insert"
兵,42,"soldier"
理,41,"reason"
政,41,"government"
宿,41,"stop"
拖,41,"haul"
滑,41,"slip"
磁,41,"magnetic"
福,41,"good fortune"
虚,41,"false"
雄,41,"male of species"
寄,41,"send"
結,41,"tie"
轉,41,"turn"
雞,41,"chicken"
吃,40,"eat"
在,40,"at"
从,40,"from"
温,40,"lukewarm"
农,40,"agriculture"
性,40,"sex"
鼻,40,"nose"
延,40,"delay"
装,40,"dress"
降,40,"fall"
偷,40,"steal"
挂,40,"hang"
弹,40,"pellet"
求,40,"seek"
爆,40,"crackle"
內,40,"inside"
狗,40,"dog"
紫,40,"purple"
軍,40,"army"
房,39,"house"
衣,39,"clothes"
班,39,"class"
绿,39,"green"
底,39,"bottom"
显,39,"manifest"
简,39,"simple"
联,39,"connect"
阳,39,"'male' principle"
两,39,"two"
承,39,"inherit"
向,39,"toward"
抗,39,"resist"
核,39,"seed"
番,39,"take turns"
薄,39,"thin"
乌,39,"crow"
佛,39,"Buddha"
断,39,"sever"
刀,39,"knife"
德,39,"virtue"
親,39,"paternal relatives"
鸡,38,"chicken"
使,38,"make"
十,38,"ten"
取,38,"take"
笔,38,"pen"
难,38,"difficult"
任,38,"trust to"
熟,38,"well-cooked"
环,38,"ring"
孤,38,"orphan"
朝,38,"at"
编,38,"knit"
搭,38,"join together"
糖,38,"sugar"
陈,38,"exhibit"
八,38,"eight"
哀,38,"sad"
烏,38,"crow"
熱,38,"warm"
蒙,38,"cover"
参,37,"three"
离,37,"rare beast"
运,37,"luck"
丰,37,"abundant"
批,37,"comment"
选,37,"choose"
除,37,"eliminate"
闪,37,"flash"
化,37,"change"
富,37,"rich"
残,37,"injure"
脚,37,"feet"
软,37,"soft"
書,37,"book"
淫,37,"obscene"
左,36,"left"
汉,36,"Chinese people"
以,36,"by means of"
就,36,"just"
带,36,"bring"
足,36,"foot"
兴,36,"thrive"
力,36,"power"
抓,36,"grab"
积,36,"accumulate"
采,36,"fief"
依,36,"rely on"
博,36,"gamble"
宝,36,"treasure"
航,36,"sail"
灰,36,"ash"
物,36,"thing"
皇,36,"royal"
吉,36,"lucky"
旋,36,"revolve"
曲,36,"crooked"
焦,36,"burned"
磨,36,"rub"
纵,36,"indulge in"
狂,36,"mad"
鸟,36,"bird"
來,36,"come"
弄,36,"do"
樹,36,"tree"
陰,36,"cloudy"
千,35,"thousand"
数,35,"count"
笑,35,"laugh"
语,35,"language"
随,35,"follow"
压,35,"oppress"
宣,35,"declare"
形,35,"form"
极,35,"extreme"
严,35,"strict"
亚,35,"Asia"
步,35,"step"
聚,35,"assemble"
拜,35,"bye"
肥,35,"fat"
逃,35,"escape"
倾,35,"upset"
奉,35,"offer"
泰,35,"great"
盛,35,"abundant"
枪,35,"gun"
露,35,"dew"
丁,35,"male adult"
六,35,"six"
對,35,"correct"
纸,35,"paper"
休,34,"rest"
图,34,"chart"
少,34,"few"
普,34,"universal"
服,34,"clothes"
科,34,"section"
节,34,"knot"
零,34,"zero"
歌,34,"song"
紧,34,"tense"
供,34,"supply"
申,34,"monkey"
童,34,"child"
脑,34,"head"
透,34,"penetrate"
升,34,"arise"
省,34,"province"
群,34,"group"
胶,34,"gum"
凶,34,"culprit"
甘,34,"sweetness"
素,34,"white"
末,34,"final"
單,34,"single"
斜,34,"slanting"
時,34,"season"
蛇,34,"snake"
逆,34,"disobey"
連,34,"man-drawn carriage"
现,33,"appear"
说,33,"say"
跑,33,"run"
更,33,"more"
着,33,"make move"
缺,33,"be short of"
被,33,"passive indicator 'by'"
列,33,"column"
移,33,"change place"
敬,33,"respect"
震,33,"shake"
垂,33,"let down"
施,33,"grant"
柴,33,"firewood"
仙,33,"Taoist super-being"
越,33,"exceed"
乱,33,"confusion"
虎,33,"brave"
車,33,"land vehicle"
門,33,"gate"
鬼,33,"ghost"
认,32,"recognize"
所,32,"place"
药,32,"medicine"
至,32,"reach"
呼,32,"breathe sigh"
善,32,"good"
围,32,"surround"
居,32,"live"
幽,32,"quiet"
统,32,"govern"
繁,32,"complicated"
端,32,"end"
索,32,"rope"
闲,32,"fence"
魔,32,"demon"
卷,32,"volume"
换,32,"change"
铺,32,"spread out"
丹,32,"cinnabar"
氣,32,"gas"
炮,32,"large gun"
細,32,"thin"
臭,32,"smell"
去,31,"go"
护,31,"protect"
礼,31,"social custom"
词,31,"word"
优,31,"superior"
充,31,"fill"
划,31,"scratch"
往,31,"go"
把,31,"hold"
按,31,"put hand on"
社,31,"god of the soil and altars to him"
邮,31,"postal"
错,31,"wrong"
乘,31,"multiply"
宁,31,"calm"
挑,31,"a load carried on the shoulders"
潮,31,"wet"
约,31,"treaty"
鼓,31,"drum"
何,31,"what"
尖,31,"sharp"
差,31,"differ"
床,31,"bed"
斑,31,"mottled"
斗,31,"a dipper"
奸,31,"crafty"
怪,31,"strange"
柳,31,"pleasure"
甜,31,"sweet"
學,31,"comprehend"
強,31,"strong"
藥,31,"medicine"
鐵,31,"iron"
告,30,"with"
晚,30,"late"
知,30,"know"
非,30,"not"
产,30,"give birth"
展,30,"open"
并,30,"equal to"
演,30,"perform"
痛,30,"pain"
舞,30,"dance"
评,30,"appraise"
免,30,"spare"
嘴,30,"mouth"
婚,30,"marriage"
尊,30,"respect"
治,30,"govern"
良,30,"good"
钢,30,"steel"
祖,30,"ancestor"
刑,30,"punishment"
恩,30,"favour"
杜,30,"stop"
港,30,"port"
疏,30,"neglect"
腹,30,"belly"
冗,30,"excessive"
扶,30,"support"
矿,30,"mine"
裸,30,"bare"
乾,30,"dry"
傳,30,"transfer"
兰,30,"orchid"
唐,30,"Tang dynasty"
會,30,"union"
量,30,"amount"
錢,30,"money"
飛,30,"fly"
龍,30,"Chinese dragon"
今,29,"now"
里,29,"inside"
到,29,"go to"
叫,29,"call"
司,29,"take charge of"
画,29,"painting"
等,29,"rank"
讲,29,"say"
导,29,"direct"
根,29,"root"
义,29,"right conduct"
叶,29,"leaf"
汇,29,"a concourse"
疑,29,"doubt"
财,29,"wealth"
阻,29,"impede"
隔,29,"separate"
次,29,"order"
违,29,"disobey"
吹,29,"blow"
岩,29,"cliff"
墨,29,"ink"
壁,29,"partition wall"
扣,29,"knock"
割,29,"cut"
進,29,"advance"
雙,29,"two"
雲,29,"cloud"
见,28,"see"
影,28,"shadow"
几,28,"small table"
思,28,"think"
养,28,"raise"
含,28,"hold in mouth"
冒,28,"risk"
废,28,"abrogate"
掌,28,"palm of hand"
棉,28,"cotton padded"
煤,28,"coal"
勾,28,"hook"
抵,28,"resist"
旗,28,"flag"
泡,28,"bubbles"
荒,28,"wasteland"
祭,28,"sacrifice to"
纳,28,"admit"
愛,28,"love"
戰,28,"fight a battle"
拔,28,"uproot"
補,28,"mend"
黏,28,"stick to"
医,27,"cure"
住,27,"reside"
如,27,"if"
蓝,27,"blue"
讨,27,"discuss"
尽,27,"utmost"
种,27,"seed"
造,27,"construct"
权,27,"power"
模,27,"model"
耐,27,"endure"
厚,27,"thick"
乡,27,"country"
备,27,"prepare"
审,27,"examine"
愚,27,"stupid"
挨,27,"near"
致,27,"delicate"
苏,27,"revive"
触,27,"butt"
钟,27,"bell"
钻,27,"drill"
蜂,27,"wasp"
九,27,"nine"
尿,27,"urinate"
腰,27,"pocket"
豬,27,"pig"
遺,27,"lose"
銀,27,"silver"
别,26,"not"
那,26,"that"
举,26,"lift"
冬,26,"winter"
旅,26,"trip"
检,26,"check"
争,26,"dispute"
功,26,"achievement"
存,26,"exist"
景,26,"scenery"
营,26,"encampment"
规,26,"rules"
资,26,"property"
即,26,"promptly"
操,26,"conduct"
夹,26,"be wedged or inserted between"
射,26,"shoot"
戒,26,"warn"
摩,26,"rub"
救,26,"save"
欧,26,"translit.: Europe"
租,26,"lease"
货,26,"goods"
犯,26,"commit crime"
算,26,"count"
贵,26,"expensive"
镇,26,"town"
喷,26,"spurt"
墓,26,"grave"
令,26,"command"
浅,26,"shallow"
滿,26,"full"
調,26,"adjust"
變,26,"change"
玩,25,"play"
还,25,"also"
完,25,"complete"
互,25,"mutually"
伤,25,"wound"
创,25,"establish"
终,25,"end"
负,25,"load"
抱,25,"hold"
格,25,"pattern"
视,25,"look at"
剪,25,"cut"
裁,25,"cut out"
豪,25,"brave"
丧,25,"mourning"
侧,25,"side"
攻,25,"attack"
潜,25,"hide"
盖,25,"cover"
飘,25,"whirlwind"
卖,25,"sell"
牧,25,"tend cattle"
藏,25,"hide"
邪,25,"wrong"
锁,25,"lock"
乙,25,"second"
伊,25,"third person pronoun"
党,25,"political party"
擦,25,"rub"
猪,25,"pig"
筆,25,"writing brush"
簡,25,"bamboo slip"
體,25,"body"
最,24,"most"
唱,24,"sing"
没,24,"not"
因,24,"cause"
克,24,"gram"
危,24,"dangerous"
坚,24,"hard"
暖,24,"warm"
注,24,"concentrate"
蛋,24,"egg"
寻,24,"seek"
怀,24,"bosom"
期,24,"period of time"
著,24,"make known"
质,24,"matter"
陆,24,"land"
默,24,"silent"
丝,24,"fine thread"
劳,24,"labor"
拆,24,"break up"
搞,24,"clear"
线,24,"line"
跟,24,"with"
奔,24,"run fast"
忠,24,"loyalty"
撒,24,"release"
撤,24,"omit"
棕,24,"hemp palm"
洪,24,"vast"
涂,24,"smear"
监,24,"supervise"
苍,24,"blue"
踏,24,"step on"
惨,24,"sad"
欠,24,"owe"
玄,24,"deep"
跨,24,"straddle"
動,24,"move"
孔,24,"opening"
歇,24,"rest"
燒,24,"burn"
當,24,"face"
艾,24,"artemisia"
鹿,24,"deer"
麦,24,"wheat"
楼,23,"building of two or more stories"
记,23,"record"
谢,23,"thank"
问,23,"ask"
条,23,"strip"
京,23,"capital city"
号,23,"mark"
处,23,"place"
季,23,"quarter of year"
容,23,"looks"
称,23,"call"
突,23,"suddenly"
街,23,"street"
迎,23,"receive"
适,23,"go"
摆,23,"put"
片,23,"piece"
穿,23,"wear"
维,23,"maintain"
针,23,"needle"
侵,23,"invade"
刻,23,"carve"
寿,23,"old age"
戏,23,"theatrical play"
股,23,"thighs"
胆,23,"gall bladder"
蜜,23,"sweet"
陪,23,"accompany"
齐,23,"even"
凹,23,"concave"
授,23,"give to"
望,23,"look at"
梅,23,"plums"
瓦,23,"tile"
盲,23,"blind"
逼,23,"compel"
朱,23,"cinnabar"
杀,23,"kill"
藤,23,"rattan"
副,23,"assist"
史,23,"history"
實,23,"full"
拱,23,"fold hands on breast"
極,23,"ridgepole"
漢,23,"Han River"
萬,23,"Original form of 蠆／虿 ."
經,23,"warp"
網,23,"net"
蒲,23,"type of rush"
試,23,"test"
賣,23,"sell"
點,23,"count"
右,22,"right"
找,22,"find"
漂,22,"float"
睡,22,"sleep"
拿,22,"take"
欢,22,"happy"
能,22,"be able"
观,22,"see"
恐,22,"fear"
达,22,"arrive at"
灯,22,"lamp"
误,22,"err"
卧,22,"lie down"
抢,22,"rob"
摇,22,"shake"
漏,22,"leak"
仁,22,"humaneness"
兼,22,"unite"
凝,22,"coagulate"
娇,22,"seductive and loveable"
托,22,"hold up with palm"
抛,22,"throw"
派,22,"school of thought"
涉,22,"ford stream"
灌,22,"water"
炒,22,"fry"
纤,22,"tow line"
贝,22,"sea shell"
败,22,"be defeated"
贫,22,"poor"
释,22,"interpret"
劝,22,"recommend"
燕,22,"swallow"
静,22,"quiet"
七,22,"seven"
御,22,"drive"
數,22,"count"
煙,22,"smoke"
現,22,"present"
盐,22,"salt"
秦,22,"feudal state of Qin"
紙,22,"paper"
鞋,22,"shoe"
韩,22,"fence"
預,22,"beforehand"
鼎,22,"large"
介,21,"forerunner"
他,21,"him"
哪,21,"which? where? how?"
我,21,"I"
汽,21,"steam"
刚,21,"hard"
卫,21,"guard"
害,21,"injure"
慢,21,"slow"
才,21,"talent"
熊,21,"bear"
速,21,"quick"
固,21,"become solid"
师,21,"teacher"
待,21,"treat"
敌,21,"enemy"
诗,21,"poem"
避,21,"turn aside"
凭,21,"lean on"
助,21,"help"
嘉,21,"excellent"
幻,21,"illusion"
烤,21,"roast"
舌,21,"tongue"
凄,21,"bitter cold"
凌,21,"pure"
康,21,"peaceful"
弱,21,"weak"
悬,21,"hang"
扫,21,"sweep"
拘,21,"restrain"
捐,21,"contribute"
柔,21,"rub"
汤,21,"soup"
湖,21,"lake"
炸,21,"fry in oil"
牵,21,"drag"
铜,21,"copper"
催,21,"press"
凸,21,"protrude"
妖,21,"strange"
掉,21,"fall"
猎,21,"hunt"
螺,21,"spiral shell"
吐,21,"spit"
吴,21,"one of warring states"
塔,21,"tower"
塞,21,"stop up"
宜,21,"suitable"
川,21,"river"
扁,21,"flat"
猫,21,"cat"
異,21,"different"
聯,21,"connect"
聲,21,"sound"
芳,21,"fragrant"
遐,21,"afar"
關,21,"door bolt"
領,21,"neck"
请,20,"please"
饭,20,"cooked rice"
凉,20,"cool"
夏,20,"summer"
答,20,"answer"
判,20,"judge"
剧,20,"theatrical plays"
搬,20,"transfer"
票,20,"ticket"
设,20,"build"
赶,20,"pursue"
之,20,"marks preceding phrase as modifier of following phrase"
智,20,"wisdom"
秘,20,"secret"
稳,20,"stable"
窗,20,"window"
辩,20,"dispute"
逐,20,"chase"
买,20,"buy"
孝,20,"filial piety"
拨,20,"move"
桃,20,"peach"
珍,20,"precious"
返,20,"return"
鼠,20,"rat"
伯,20,"older brother"
俗,20,"social customs"
冻,20,"freeze"
喉,20,"throat"
屈,20,"bend"
揭,20,"raise"
淡,20,"weak"
珠,20,"precious stone"
筹,20,"chip"
纯,20,"pure"
腐,20,"rot"
订,20,"draw up agreement"
谋,20,"plan"
贪,20,"greedy"
贴,20,"stick"
赌,20,"bet"
巡,20,"patrol"
陶,20,"pottery"
雌,20,"female"
久,20,"long time"
喝,20,"drink"
垫,20,"advance money"
巫,20,"wizard"
挤,20,"squeeze"
渊,20,"gulf"
滚,20,"turn"
瑞,20,"felicitous omen"
胎,20,"unborn child"
丙,20,"red"
伏,20,"crouch"
冥,20,"dark"
击,20,"strike"
勒,20,"strangle"
堂,20,"hall"
店,20,"shop"
應,20,"should"
滴,20,"drip"
編,20,"put in order"
義,20,"right conduct"
腦,20,"brain"
菌,20,"mushroom"
谷,20,"corn"
財,20,"wealth"
軟,20,"soft"
運,20,"move"
必,19,"surely"
站,19,"stand"
组,19,"group"
部,19,"tribe"
历,19,"history"
各,19,"each"
将,19,"will"
概,19,"generally"
职,19,"duty"
位,19,"throne"
毫,19,"fine hair"
竞,19,"contend"
勤,19,"industrious"
脸,19,"face"
荣,19,"glory"
融,19,"melt"
象,19,"elephant"
赛,19,"compete"
佳,19,"good"
冤,19,"grievance"
崇,19,"esteem"
扭,19,"turn"
旱,19,"drought"
洞,19,"hole"
浴,19,"bath"
浸,19,"soak"
渔,19,"fish"
狼,19,"wolf"
尼,19,"Buddhist nun"
扑,19,"pounce"
料,19,"consider"
桑,19,"mulberry tree"
蓬,19,"type of raspberry"
裂,19,"split"
载,19,"load"
鲁,19,"foolish"
刘,19,"kill"
報,19,"judge"
惠,19,"favor"
樂,19,"music"
絕,19,"break off"
绮,19,"fine thin silk"
绵,19,"cotton wad"
總,19,"collect"
羽,19,"feather"
蚕,19,"silkworms"
規,19,"dividers"
記,19,"record"
銅,19,"copper"
鳥,19,"bird"
齒,19,"tooth"
读,18,"read"
这,18,"this"
个,18,"numerary adjunct"
健,18,"strong"
其,18,"his"
坏,18,"bad"
想,18,"want"
为,18,"do"
命,18,"life"
团,18,"sphere"
效,18,"result"
浪,18,"wave"
继,18,"continue"
话,18,"speech"
促,18,"urge"
梦,18,"dream"
测,18,"measure"
研,18,"grind"
缓,18,"slow"
缩,18,"contract"
论,18,"debate"
餐,18,"meal"
占,18,"observe"
均,18,"equal"
委,18,"appoint"
执,18,"hold in hand"
眉,18,"eyebrows"
罪,18,"crime"
言,18,"words"
辞,18,"words"
间,18,"interval"
靠,18,"lean on"
丑,18,"clown"
伪,18,"false"
劲,18,"strong"
崩,18,"die - of an emperor"
念,18,"think of"
慈,18,"kind"
截,18,"cut off"
摊,18,"spread out"
案,18,"table"
沿,18,"follow a course"
钩,18,"hook"
隆,18,"prosperous"
霸,18,"rule by might rather than right"
驱,18,"spur a horse on"
串,18,"string"
刮,18,"shave"
劫,18,"take by force"
杨,18,"willow"
每,18,"every"
砂,18,"pebbles"
仰,18,"raise the head to look"
優,18,"generous"
創,18,"start to"
幾,18,"how much"
廢,18,"collapse"
怒,18,"anger"
惡,18,"evil"
掛,18,"hang"
易,18,"change"
東,18,"east"
瞎,18,"blind"
续,18,"continue"
講,18,"say"
迂,18,"doctrinaire"
難,18,"difficult"
霜,18,"frost"
順,18,"follow"
髮,18,"hair"
帮,17,"help"
课,17,"lesson"
友,17,"friend"
座,17,"throne"
爬,17,"climb"
决,17,"decide"
困,17,"surround"
宾,17,"guest"
训,17,"teach"
题,17,"forehead"
业,17,"profession"
付,17,"give"
填,17,"fill in"
污,17,"filthy"
签,17,"sign"
获,17,"obtain"
辛,17,"bitter"
仿,17,"imitate"
冠,17,"cap"
协,17,"be united"
叉,17,"crotch"
层,17,"layer"
巧,17,"skillful"
搜,17,"search"
汗,17,"sweat"
辣,17,"peppery"
壮,17,"big"
扎,17,"stab"
捕,17,"arrest"
攀,17,"climb"
村,17,"village"
束,17,"bind"
爽,17,"happy"
略,17,"approximately"
益,17,"profit"
盗,17,"rob"
胃,17,"stomach"
亮,17,"bright"
侍,17,"serve"
椰,17,"palm tree"
秀,17,"ear of grain"
茅,17,"reeds"
酌,17,"serve wine"
颓,17,"ruined"
井,17,"well"
剑,17,"sword"
塗,17,"mud"
恬,17,"quiet"
斷,17,"break"
洛,17,"river in Shanxi province"
滤,17,"strain out"
牽,17,"drag"
琴,17,"Chinese lute or guitar"
視,17,"watch"
聽,17,"listen"
萨,17,"Buddhist gods or immortals"
褲,17,"pants"
認,17,"recognize"
跌,17,"stumble"
逸,17,"flee"
遠,17,"far"
锡,17,"tin"
靈,17,"god"
飯,17,"any cooked grain"
午,16,"seventh earthly branch"
骑,16,"ride"
区,16,"zone"
姑,16,"father's sister"
帽,16,"hat"
持,16,"sustain"
证,16,"proof"
费,16,"expenses"
邻,16,"neighbor"
企,16,"plan a project"
奖,16,"award"
抄,16,"copy"
此,16,"this"
烦,16,"bother"
燃,16,"light fire"
矮,16,"short"
议,16,"consult"
赞,16,"help"
兔,16,"rabbit"
启,16,"open"
响,16,"make sound"
宗,16,"lineage"
屏,16,"folding screen"
敲,16,"knock"
枕,16,"pillow"
示,16,"show"
粘,16,"viscous"
蜡,16,"wax"
递,16,"hand"
闭,16,"shut"
乞,16,"beg"
奥,16,"mysterious"
宫,16,"palace"
弥,16,"extensive"
抚,16,"pat"
抹,16,"smear"
晕,16,"halo in sky"
枯,16,"dried out"
浓,16,"thick"
界,16,"boundary"
诸,16,"several"
验,16,"test"
像,16,"a picture"
凤,16,"male phoenix"
哭,16,"weep"
帝,16,"supreme ruler"
怨,16,"hatred"
撞,16,"knock against"
桂,16,"cassia or cinnamon"
稀,16,"rare"
累,16,"implicate"
鄙,16,"mean"
霍,16,"quickly"
韵,16,"rhyme"
卵,16,"horn"
咬,16,"bite"
寶,16,"treasure"
機,16,"weaving machine"
湘,16,"alternate name for Hunan"
熔,16,"melt"
碎,16,"break"
箭,16,"arrow"
置,16,"place"
脏,16,"dirty"
膠,16,"glue"
芦,16,"rushes"
虾,16,"shrimp"
複,16,"lined garment"
輕,16,"light"
農,16,"cultivate"
適,16,"go"
醉,16,"intoxicated"
針,16,"needle"
链,16,"chain"
险,16,"narrow pass"
養,16,"raise"
准,15,"approve"
钱,15,"money"
例,15,"example"
舒,15,"open up"
计,15,"plan"
了,15,"finish"
值,15,"price"
幸,15,"luck"
据,15,"occupy"
父,15,"father"
估,15,"merchant"
偶,15,"accidentally"
典,15,"law"
律,15,"statute"
扩,15,"expand"
