english,group,why,role,uses,head
achieve,world,named thing,verb,5,3
bomb,world,named thing,verb,5,3
cool,world,named thing,adjective,9,2
courage,world,named thing,noun,5,3
dust,world,named thing,noun,5,3
engine,world,named thing,noun,5,3
expect,world,named thing,verb,9,2
flesh,world,named thing,verb,9,2
grab,world,named thing,verb,9,2
iron,world,named thing,verb,5,3
jet,world,named thing,verb,5,3
lean,world,named thing,adjective,9,2
mother,world,named thing,noun,9,2
nut,world,named thing,noun,5,3
proper,world,named thing,adjective,5,3
provide,world,named thing,verb,9,2
sore,world,named thing,adjective,5,3
spoke,world,named thing,verb,5,3
stab,world,named thing,verb,5,3
student,world,named thing,noun,5,3
tag,world,named thing,verb,5,3
virus,world,named thing,noun,5,3
week,world,named thing,noun,5,3
winter,world,named thing,noun,5,3
adjust,world,named thing,verb,4,3
author,world,named thing,noun,4,3
bias,world,named thing,verb,4,3
branch,world,named thing,verb,4,3
camp,world,named thing,verb,4,3
chest,world,named thing,noun,8,2
clever,world,named thing,adjective,8,2
common,world,named thing,adjective,16,0
computer,world,named thing,noun,4,3
cord,world,named thing,noun,4,3
correct,world,named thing,adjective,8,2
cruel,world,named thing,adjective,8,2
demand,world,named thing,verb,4,3
dip,world,named thing,verb,4,3
fortune,world,named thing,noun,4,3
glue,world,named thing,verb,4,3
guest,world,named thing,noun,4,3
harsh,world,named thing,adjective,12,1
history,world,named thing,noun,4,3
impact,world,named thing,verb,4,3
injure,world,named thing,verb,4,3
island,world,named thing,noun,4,3
legal,world,named thing,adjective,12,1
lump,world,named thing,verb,4,3
magnet,world,named thing,noun,4,3
melt,world,named thing,verb,8,2
nation,world,named thing,noun,4,3
obey,world,named thing,verb,4,3
pit,world,named thing,verb,4,3
profit,world,named thing,noun,4,3
relief,world,named thing,noun,4,3
rent,world,named thing,verb,4,3
rush,world,named thing,verb,4,3
sauce,world,named thing,noun,4,3
scatter,world,named thing,verb,8,2
service,world,named thing,verb,4,3
spider,world,named thing,noun,8,2
tension,world,named thing,noun,4,3
toe,world,named thing,noun,4,3
toilet,world,named thing,noun,4,3
visit,world,named thing,verb,4,3
white,world,named thing,adjective,8,2
ache,world,named thing,verb,3,3
allergy,world,named thing,noun,3,3
arc,world,named thing,noun,3,3
beast,world,named thing,noun,3,3
bundle,world,named thing,verb,3,3
channel,world,named thing,verb,3,3
continent,world,named thing,noun,3,3
crystal,world,named thing,noun,3,3
decay,world,named thing,verb,7,2
dig,world,named thing,verb,11,1
employ,world,named thing,noun,3,3
examine,world,named thing,verb,3,3
extreme,world,named thing,adjective,7,2
factor,world,named thing,noun,3,3
fault,world,named thing,noun,3,3
feast,world,named thing,noun,3,3
fossil,world,named thing,noun,3,3
gender,world,named thing,noun,3,3
grace,world,named thing,noun,3,3
hall,world,named thing,noun,3,3
hurry,world,named thing,verb,7,2
improve,world,named thing,verb,7,2
inherit,world,named thing,noun,7,2
jacket,world,named thing,noun,3,3
lesson,world,named thing,noun,3,3
loose,world,named thing,adjective,11,1
march,world,named thing,noun,3,3
mat,world,named thing,noun,3,3
mercy,world,named thing,noun,3,3
mineral,world,named thing,noun,3,3
passion,world,named thing,noun,3,3
physical,world,named thing,adjective,7,2
powder,world,named thing,noun,3,3
refuse,world,named thing,verb,7,2
sail,world,named thing,verb,7,2
series,world,named thing,noun,3,3
social,world,named thing,adjective,7,2
sphere,world,named thing,noun,3,3
spine,world,named thing,noun,7,2
spring,world,named thing,verb,7,2
squeeze,world,named thing,noun,7,2
stain,world,named thing,verb,7,2
tape,world,named thing,noun,3,3
tooth,world,named thing,noun,7,2
tub,world,named thing,noun,3,3
vary,world,named thing,verb,15,0
vegetable,world,named thing,noun,3,3
vow,world,named thing,verb,3,3
annoy,world,named thing,verb,6,2
bounce,world,named thing,verb,6,2
dot,world,named thing,noun,6,2
hang,world,named thing,verb,14,0
loop,world,named thing,noun,6,2
lucky,world,named thing,adjective,6,2
moral,world,named thing,adjective,6,2
odd,world,named thing,adjective,10,1
official,world,named thing,adjective,6,2
pour,world,named thing,verb,6,2
reward,world,named thing,verb,6,2
sew,world,named thing,verb,6,2
slight,world,named thing,adjective,6,2
sport,world,named thing,noun,6,2
stir,world,named thing,verb,10,1
upset,world,named thing,verb,6,2
vein,world,named thing,noun,6,2
warn,world,named thing,verb,6,2
accuse,world,named thing,verb,5,2
bare,world,named thing,adjective,5,2
button,world,named thing,noun,5,2
cream,world,named thing,noun,5,2
crush,world,named thing,verb,5,2
decorate,world,named thing,verb,9,1
delay,world,named thing,verb,9,1
dock,world,named thing,verb,5,2
door,world,named thing,noun,9,1
echo,world,named thing,verb,9,1
enjoy,world,named thing,verb,5,2
fancy,world,named thing,adjective,9,1
fiber,world,named thing,noun,5,2
hint,world,named thing,verb,5,2
involve,world,named thing,verb,5,2
mask,world,named thing,verb,5,2
pan,world,named thing,verb,5,2
pen,world,named thing,verb,5,2
replace,world,named thing,verb,5,2
slip,world,named thing,verb,5,2
sweat,world,named thing,verb,5,2
amaze,world,named thing,verb,8,1
assign,world,named thing,verb,4,2
award,world,named thing,verb,4,2
