concept,form,template,shape,list
choice,tox,111,CVC,short
true,toc,111,CVC,short
store,tor,111,CVC,short
turn,tun,111,CVC,short
inside,tuq,111,CVC,short
sine,tuk,111,CVC,short
conscious,tuv,111,CVC,short
tool,tul,111,CVC,short
this,kim,111,CVC,short
thing,kin,111,CVC,short
action type,kiq,111,CVC,short
tune,kip,111,CVC,short
child,kik,111,CVC,short
copper,kis,111,CVC,short
there,kem,111,CVC,short
recursion,ken,111,CVC,short
front,keg,111,CVC,short
certain,ket,111,CVC,short
exist,kes,111,CVC,short
calm,kam,111,CVC,short
change,kan,111,CVC,short
object type,kaq,111,CVC,short
tangent,kap,111,CVC,short
accept,kak,111,CVC,short
cross,kas,111,CVC,short
cause,kaz,111,CVC,short
clarify,kaf,111,CVC,short
perfect,kax,111,CVC,short
capacity,kaj,111,CVC,short
axis,kaC,111,CVC,short
time,kal,111,CVC,short
come,kom,111,CVC,short
six,kon,111,CVC,short
contact,koq,111,CVC,short
connect,kog,111,CVC,short
code,kod,111,CVC,short
compare,kop,111,CVC,short
source,kos,111,CVC,short
continue,koz,111,CVC,short
confuse,kof,111,CVC,short
cell,kox,111,CVC,short
other,kor,111,CVC,short
uncertain,kun,111,CVC,short
feature type,kuq,111,CVC,short
call,kug,111,CVC,short
tone,kup,111,CVC,short
z axis,kuj,111,CVC,short
clue,kul,111,CVC,short
peace,him,111,CVC,short
it,hin,111,CVC,short
hit,hiq,111,CVC,short
group,hip,111,CVC,short
snake,his,111,CVC,short
here,hem,111,CVC,short
seven,heq,111,CVC,short
eye,haq,111,CVC,short
hop,hap,111,CVC,short
have,hav,111,CVC,short
home,hom,111,CVC,short
hold,hod,111,CVC,short
whole,hol,111,CVC,short
reserved hum,hum,111,CVC,short
distance,sin,111,CVC,short
action instance,siq,111,CVC,short
seed,sid,111,CVC,short
size,sip,111,CVC,short
seek,sik,111,CVC,short
nothing,siz,111,CVC,short
same,sem,111,CVC,short
sequence,sen,111,CVC,short
result,seq,111,CVC,short
send,sed,111,CVC,short
inhale,sep,111,CVC,short
sink,sek,111,CVC,short
spec,ses,111,CVC,short
self,sef,111,CVC,short
start,sam,111,CVC,short
sun,san,111,CVC,short
object instance,saq,111,CVC,short
state,sat,111,CVC,short
parent,sas,111,CVC,short
safe,saf,111,CVC,short
silence,sal,111,CVC,short
drug,som,111,CVC,short
eight,sog,111,CVC,short
son,sod,111,CVC,short
stop,sop,111,CVC,short
possible,sos,111,CVC,short
soul,sol,111,CVC,short
sound,sum,111,CVC,short
feature instance,suq,111,CVC,short
past,sut,111,CVC,short
surface,suk,111,CVC,short
above,suz,111,CVC,short
surf,suf,111,CVC,short
pleasure,zim,111,CVC,short
below,zis,111,CVC,short
nine,zez,111,CVC,short
effect,zak,111,CVC,short
zone,zon,111,CVC,short
sense,zox,111,CVC,short
fall,zor,111,CVC,short
experience,zus,111,CVC,short
life,vit,111,CVC,short
see,vis,111,CVC,short
sustain,vix,111,CVC,short
bit,vij,111,CVC,short
event,ven,111,CVC,short
vague,veg,111,CVC,short
byte,veb,111,CVC,short
center,vaq,111,CVC,short
vibe,vab,111,CVC,short
bad,vat,111,CVC,short
body,vas,111,CVC,short
variable,vaz,111,CVC,short
silver,var,111,CVC,short
volume,vom,111,CVC,short
off,von,111,CVC,short
take,vog,111,CVC,short
void,vod,111,CVC,short
ten,vop,111,CVC,short
voice,voz,111,CVC,short
fill,fim,111,CVC,short
finite,fin,111,CVC,short
belief,fic,111,CVC,short
female,fem,111,CVC,short
frequency,fek,111,CVC,short
face,fes,111,CVC,short
eleven,fef,111,CVC,short
family,fam,111,CVC,short
find,fan,111,CVC,short
far,fad,111,CVC,short
after,fap,111,CVC,short
follower,foq,111,CVC,short
force,fos,111,CVC,short
flow,fol,111,CVC,short
function,fuq,111,CVC,short
energy,xiq,111,CVC,short
imagine,xig,111,CVC,short
computation,xit,111,CVC,short
destroy,xiv,111,CVC,short
heaven,xam,111,CVC,short
chip,xap,111,CVC,short
eternal,xas,111,CVC,short
now,xom,111,CVC,short
twelve,xos,111,CVC,short
sky,xum,111,CVC,short
empty,xun,111,CVC,short
quiet,xus,111,CVC,short
return,xuv,111,CVC,short
paradise,jin,111,CVC,short
machine,jip,111,CVC,short
digit,jis,111,CVC,short
reject,jek,111,CVC,short
orange,jan,111,CVC,short
spirit,jaq,111,CVC,short
wisdom,jak,111,CVC,short
continuous,jod,111,CVC,short
universe,jul,111,CVC,short
they,Cef,111,CVC,short
that,Cat,111,CVC,short
thirteen,ceg,111,CVC,short
false,cet,111,CVC,short
all,con,111,CVC,short
protect,cor,111,CVC,short
torture,cub,111,CVC,short
field,cuv,111,CVC,short
key,cux,111,CVC,short
north,yin,111,CVC,short
impermanent,yiq,111,CVC,short
year,yez,111,CVC,short
day,yam,111,CVC,short
vehicle,yan,111,CVC,short
permanent,yaq,111,CVC,short
yes,yas,111,CVC,short
you,yar,111,CVC,short
zero,yom,111,CVC,short
use,yuz,111,CVC,short
yellow,yul,111,CVC,short
risk,rim,111,CVC,short
run,rin,111,CVC,short
algorithm,rig,111,CVC,short
read,rid,111,CVC,short
soil,ris,111,CVC,short
reference,rif,111,CVC,short
rhythm,rij,111,CVC,short
release,rem,111,CVC,short
relation,ren,111,CVC,short
rest,req,111,CVC,short
red,red,111,CVC,short
repeat,rep,111,CVC,short
receive,rek,111,CVC,short
persist,res,111,CVC,short
rise,rez,111,CVC,short
reflect,ref,111,CVC,short
rain,rex,111,CVC,short
region,rej,111,CVC,short
doing,reC,111,CVC,short
dark,ram,111,CVC,short
aware,ran,111,CVC,short
wrong,raq,111,CVC,short
rate,rat,111,CVC,short
rock,rak,111,CVC,short
particle,rav,111,CVC,short
real,ral,111,CVC,short
explore,rom,111,CVC,short
original,ron,111,CVC,short
east,rog,111,CVC,short
orientation,rot,111,CVC,short
fourteen,roz,111,CVC,short
cycle,rol,111,CVC,short
realm,rum,111,CVC,short
write,run,111,CVC,short
breath,ruc,111,CVC,short
rule,rul,111,CVC,short
limit,lim,111,CVC,short
link,liq,111,CVC,short
like,lik,111,CVC,short
else,lis,111,CVC,short
leaf,lif,111,CVC,short
reserved lij,lij,111,CVC,short
leader,lem,111,CVC,short
threshold,led,111,CVC,short
fifteen,lep,111,CVC,short
select,lek,111,CVC,short
less,les,111,CVC,short
point,leC,111,CVC,short
lack,lam,111,CVC,short
line,lan,111,CVC,short
align,lag,111,CVC,short
lead,lad,111,CVC,short
lose,lom,111,CVC,short
solution,lot,111,CVC,short
collection,lok,111,CVC,short
close,los,111,CVC,short
lord,lor,111,CVC,short
moon,lun,111,CVC,short
south,lut,111,CVC,short
mountain,mant,112,CVCC,long
10^3,mont,112,CVCC,long
molecule,molk,112,CVCC,long
me,must,112,CVCC,long
10^6,neqk,112,CVCC,long
hello,grit,211,CCVC,long
great,gret,211,CCVC,long
strength,gruk,211,CCVC,long
clean,glin,211,CCVC,long
lip,glip,211,CCVC,long
click,glik,211,CCVC,long
liquid,glis,211,CCVC,long
color,glor,211,CCVC,long
10^9,dolc,112,CVCC,long
gene,djin,211,CCVC,long
justice,djas,211,CCVC,long
joke,djok,211,CCVC,long
jewel,djul,211,CCVC,long
dream,drim,211,CCVC,long
human,dram,211,CCVC,long
triangle,draq,211,CCVC,long
trade,drad,211,CCVC,long
track,drak,211,CCVC,long
trap,dras,211,CCVC,long
drum,drom,211,CCVC,long
10^12,bedj,112,CVCC,long
bring,briq,211,CCVC,long
braid,bred,211,CCVC,long
problem,brab,211,CCVC,long
brow,brol,211,CCVC,long
prove,bruv,211,CCVC,long
please,bliz,211,CCVC,long
plan,blan,211,CCVC,long
blood,bloC,211,CCVC,long
plane,blun,211,CCVC,long
its,hint,112,CVCC,long
hunt,hant,112,CVCC,long
10^24,seft,112,CVCC,long
solve,salk,112,CVCC,long
simple,smip,211,CCVC,long
sneeze,sniz,211,CCVC,long
speech,spix,211,CCVC,long
10^27,zotx,112,CVCC,long
10^33,fosk,112,CVCC,long
their,Ceft,112,CVCC,long
10^2,yemp,112,CVCC,long
your,yart,112,CVCC,long
10^42,resp,112,CVCC,long
10^45,lorf,112,CVCC,long
