sam,,swim,,,,,
zon,,so/great,,,,,
sag,,beyond (extra- or hyper-),,,,,
sab,,describe,,,,,
sap,,etc.,,,,,
sat,,sight,,,,english,
sas,,parent,,,,,
sav,,silver,,,,english,
saz,,emphasize,,,,english,
sax,,wash,,,,,
sal,,bit on,,,,,
som,,drug,,soma,सोम,sanskrit,
sop,,so/transition,,,,english,
sok,,around/surround,,,,english,
sof,,each,,,,,
soz,,also,,,,,
sol,,soul,,,,,
suq,,I/me (communicating-agent-source-focus),,,,,
sug,,more (-er),,,,,
sup,,above (super)/hover,,,,,
suk,,top,,,,,
sur,,assert,,,,,
suv,,observe,,,,english,
suC,,three,,,,,
sur,,out,,,,,
fim,,female,,,,,
fid,,next,,,,,
fiz,,physics,,,,,
fix,,belief,,,,,
fil,,feel,,,,engllish,
fet,,eight,,,,,
fes,,face,,,,english,
fam,,family,,,,english,
fan,,find,,,,,
fak,,fuck,,,,,
faz,,green,,,,,
fal,,fall,,,,,
fon,,device,,,,,
fot,,right (direction),,,,,
fok,,halt,,,,,
foz,,hash,,,,,
vel,,fill (-full),,,,,
for,,fire,,,,,
fun,,within (endo-),,,,,
fug,,figure (it out),,,,,
fud,,food,,,,,
fup,,borrow,,,,,
fuz,,fusion,,,,,
ful,,fuel,,,,english,
fur,,fail,,,,,
vim,,way/style,,,,,
vig,,this,,,,,
vip,,six,,,,,
vit,,output,,,,,
vis,,see,,,,spanish,
vic,,bit,,,,,
vir,,veer,,,,,
ved,,study or science of (-ology),,,,,
veb,,byte,,,,english,
vek,,filter,,,,,
vel,,value,,,,english,
van,,having the nature of (-ivity),,,,,
vab,,vibe,,,,english,
vap,,compute,,,,english,
vak,,multiply,,,,,
vav,,repeat,,,,,
vax,,it,,,,,
var,,variable,,,,,
vog,,black,,,,,
vod,,void,,,,,
vov,,axis,,,,,
wix,,individual,,,,,
vor,,,,,,,
vun,,on,,,,,
vut,,be,,be,,english,
vus,,flex,,,,,
vuc,,catch,,,,,
yuv,,view,,,,english,
zim,,pleasure,,,,,
ziq,,zing,,,,english,
zig,,equal (iso-),,,,,
zip,,graph,,,,,
zir,,pertaining to x (pleasantry),,,,,
zen,,one,,,,,
zet,,olive (color),,,,,
zek,,agent (one who does x),,zhě,者,chinese,
zam,,plasma (matter),,,,english,
zan,,reason,,,,english,
zab,,public,,tzibur,צִיבּוּר,hebrew,
zap,,zap,,,,english,
zar,,file (computer),,,,english,
zok,,try,,,,,
zox,,sense,,,,,
zum,,zoom,,,,,
zuz,,converse (talk),,,,,
zuk,,where,,,,,
duz,,do,,,,,
zul,,animal,,zoia,ζῷᾰ,greek,
jit,,digit,,,,english,
jil,,stream,,,,,
jet,,throw,,jeté,,french,
jak,,count,,,,,
jas,,just (close-focus),,,,english,
niq,,action,,,,,
xid,,grey,,,,,
xip,,imagine,,,,english,
xit,,provide,,lehox(i)t,לְהוֹשִׁיט,hebrew,
xik,,computation,,,,,
xiv,,destroy,,,,,
xic,,eye,,,,,
xen,,result,,,,,
xed,,should,,,,english,
xam,,heaven,,,,,
xan,,year,,shaná,שָׁנָה,hebrew,
naq,,object,,,,,
xab,,seven,,,,,
xal,,of,,shel,שֶׁל,hebrew,
xom,,now,,,,,
xok,,copy,,,,,
xol,,show,,,,english,
xum,,sky,,,,,
xup,,ship,,,,,
xuv,,return,,,,,
xul,,subtract,,,,,
ciq,,thing (hatchling),,,,english,
cit,,get,,,,,
cam,,then,,,,english,
cat,,mud,,,leðja,icelandic,
cak,,thank,,,,english,
com,,effect,,,,,
cok,,spec,,,,,
cov,,brown,,,,,
cor,,or/choose,,,,,
cuk,,eleven,,,,,
cus,,field (ether),,,,,
cux,,key,,,,,
Cir,,there (abstract reference),,,,,
Cek,,that (sequencer),,,,,
Can,,than/compare,,,,english,
Cas,,thus,,,,english,
Cev,,without,,,,,
Con,,transition,,,,,
Cog,,though/regard,,,,english,
Coz,,except,,,,,
yit,,night,,,,,
yem,,yum (food),,,,,
yev,,sort,,,,,
yam,,day,,yom,יוֹם,hebrew,
yap,,yep,,,,english,
yal,,turquoise,,,,,
yog,,practice of focusing on x (-ism),,,,,
yut,,yet,,,,english,
yuz,,use,,,,,
yuc,,with (con-),,,,,
yul,,polynomial,,,,,
win,,when (time location),,,,english,
Ciz,,kaledoscope,,,,,
wis,,inverse,,,,english,
wiv,,reduce,,,,,
cax,,wisdom,,,,,
wen,,way (large),,,,english,
wed,,would,,,,english,
wek,,week,,,,english,
wez,,fifteen,,,,,
wel,,will (future),,,,english,
wan,,why,,,,,
waq,,um,,,,,
wat,,white,,,,,
wak,,walk,,,,,
wav,,exist,,,,,
yax,,universe (all that is in existence)/all,,,,,
wal,,while,,,,,
wom,,well (good),,,,,
wod,,word,,,,english,
woz,,problem,,,,,
wol,,wow,,,,,
wor,,forceful (like hard hit),,,,,
wug,,emanate,,,,,
wut,,what,,,,,
wux,,system,,,,,
liq,,action feature type,,,,,
lig,,square root,,,,english,
lip,,chain,,,,,
lik,,link,,,,,
lif,,leaf,,,,english,
lij,,orient,,,,,
lil,,boolean,,,,,
lep,,push,,,,,
lek,,collect,,,,,
les,,bit off,,,,,
leC,,point,,,lið,icelandic,
laq,,object feature type,,,,,
lad,,yellow,,,,,
lat,,lot (land),,,,,
lak,,like,,,,english,
laf,,four,,,,,
laz,,very much of (-some),,,,,
lax,,add,,,,,
lal,,y-axis,,,,,
lom,,branch,,,,,
lon,,loan,,,,,
log,,start,,,,,
lod,,load,,,,,
lob,,error,,,,,
lok,,like (similar),,,,,
los,,less of (-less) empty,,,,english,
lox,,string (computing),,,,,
luq,,question,,,,,
lup,,loop,,,,,
luk,,look,,,,english,
luf,,far (large-distance-focus),,,,,
luj,,drive,,,,,
rim,,you (communicating-agent-target-focus),,,,,
rid,,read,,,,,
rip,,location,,,,,
rik,,up,,fawq,فوق,arabic,
rif,,close (near),,,,,
riz,,rise,,,,,
ric,,straight,,,,,
ril,,relation,,,,,
red,,red,,,,,
ret,,after,,,,,
ref,,success,,,,,
rex,,array,,,,english,
reC,,progress,,,,,
ram,,dark,,rāma,राम,sanskrit,
rad,,cradle (type),,,,,
rap,,wrap,,,,,
rat,,write,,,,,
rak,,rock,,,,,
ras,,in,,,,,
rav,,particle,,ravā,रवा,,
rot,,FALSE,,,,,
rov,,copper,,,,,
rol,,cycle,,,,,
run,,glyph,,,,,
rud,,update,,,,,
rub,,logarithm,,,,english,
rup,,right (time),,,,,
ruk,,bottom,,,,,
ruz,,thirteen,,,,,
rul,,rule (in system),,,,,
minz,,means,,,,,
miqk,,who,,mi,מִי,hebrew,
miks,,mix,,,,english,
mirt,,meter,,,,english,
ment,,mate,,,,,
mesk,,delectable,,měi wèi,美味,chinese,
mant,,mountain,,,,,
maqk,,monkey,,markata,मर्कट,sanskrit,
magz,,moss,,,,english,
maks,,maximum,,,,,
mast,,member,,,,,
mask,,mask,,masecha,מַסֵּיכָה,hebrew,
malt,,metal,,,,english,
marm,,mammal,,,,english,
marn,,muon,,muon,,english,
marg,,old,,,,,
mars,,mass,,,,,
marx,,mesh (inter-),,,,,
marC,,quite,,,,,
most,,most (-est) (large-collection-partition-focus),,,,,
molt,,vowel large O sound,,,,,
morn,,m sound,,,,,
morp,,10^36,,,,,
morv,,maybe,,,,english,
mutx,,much (large-lot-focus),,,,,
mij,,idea,,,,,
norn,,knee,,,,english,
nep,,nature,,,,,
neks,,10^27,,,,,
nand,,nand,,,,,
natx,,n sound,,,,,
narb,,neighbor,,,,english,
nart,,neutron,,,,,
nark,,any,,,,,
narv,,river,,nahar,נָהָר,hebrew,
nonz,,noise,,,,,
norm,,normal (math),,,,,
nord,,order,,,,english,
nork,,nor,,,,,
nors,,having some aspects of (-ish),,,,,
vas,,aspect,,,,,
norx,,nourish,,,,,
norc,,north,,,,english,
nuqk,,bear (animal),,,ᓇᓄᖅ,inuktitut,
nurf,,vowel large U sound,,,,,
nurv,,nerve,,,,english,
gilp,,gill,,,,,
gemz,,vowel e sound,,,,,
gest,,guest,,,,,
gant,,-gon (polygon),,,,english,
gatx,,german i vowel sound,,,,,
garm,,arm,,arm,,english,
gard,,g sound,,,,,
garz,,again (re-),,,,english,
gost,,ghost,,,,english,
golx,,only,,,,,
gump,,new,,,,english,
glen,,gluon,,,,english,
gled,,lay,,,,,
glep,,lip,,,,,
glet,,gate,,,,,
glez,,10^4,,,,,
gler,,glare,,,,english,
glan,,glide,,,,english,
glav,,glove,,,,english,
glob,,planet,,,,english,
glot,,goat,,,,english,
glok,,your,,,,,
gluk,,lick,,,,english,
grit,,hello,,,,,
griv,,graviton,,,,,
raC,,rhythm,,,,,
gril,,case (container),,,,,
gred,,grade (score),,,,english,
gres,,guess,,,,,
gram,,gram (measure),,,,english,
grad,,grid,,,,english,
grap,,issue,,,,,
gras,,grass,,,,english,
grac,,jaw,,gnathos,γνάθος,greek,
gral,,foot,,regel,רֶגֶל,hebrew,
groq,,lion,,,,english,
groz,,eat,,,,,
gror,,growl,,,,english,
grum,,row,,shura,שׁוּרָה,hebrew,
grun,,grow,,,,,
grup,,group (math),,,,english,
gruv,,rub,,,,,
disk,,discover,,,,,
dirm,,skin,,derma,,latin,
dedj,,appendage,,,,english,
dapc,,depth,,,,english,
dask,,desk,,,,english,
dalg,,magnitude,,,,,
dalt,,dependent,,,,,
darn,,damn/dam,,,,,
darb,,follow,,,,,
dart,,east,,,,,
domp,,dump,,,,,
dolv,,deliver,,,,english,
dort,,dirt,,,,english,
dusk,,across (trans-)/cross,,,,,
djim,,magic,,,,,
djip,,over,,,,,
djiv,,life,,jiva,जीव,sanskrit,
djiz,,deal,,,,english,
djir,,deer,,,,english,
djek,,reject,,,,english,
djan,,consonant,,,,,
djak,,fingernail,,zhǐ jia,指甲,chinese,
djaz,,joy,,,,,
djar,,run,,jara,جَرَى,arabic,
djok,,joke,,,,english,
djud,,jew,,,,english,
djus,,juice,,,,english,
djul,,jewel,,,,,
drim,,dream,,,,,
drig,,degree,,,,english,
drib,,10^6,,,,,
driv,,fate,,,,,
drix,,direction,,,,,
dreg,,drag,,,,,
dref,,definite,,,,,
drex,,hyphen,,,,english,
drel,,delete,,,,,
dam,,drum,,,,english,
drad,,put,,,,,
drap,,drop,,,,english,
drak,,harm,,ḍarra,ضَرَّ,arabic,
drav,,candela (measurement),,,,english,
dral,,dry,,,,english,
dron,,drone (sound),,,,english,
drov,,multicellular life,,,,,
droz,,enter,,,,,
drup,,d sound,,,,,
drut,,electricity,,vidyut,विद्युत्,sanskrit,
drus,,radius,,,,english,
drul,,drool,,,,english,
bist,,beast,,,,english,
bild,,build,,,,,
bend,,bend,,,,,
beqk,,pump,,beng,泵,chinese,
besk,,basic,,,,,
bamp,,bump,,,,,
batx,,bat (animal),,,,english,
baks,,rectangle,,,,,
bask,,otherwise,,,,,
barg,,insect,,,,english,
bard,,b sound,,,,,
barb,,barb,,,,,
barv,,duck (bird),,bar'vaz,ברווז,hebrew,
barc,,birth,,,,,
barl,,bare,,,,english,
bold,,10^30,,,,,
born,,bury,,,,english,
bord,,bird,,bird,,english,
borp,,burp,,,,,
borz,,poison,,,,english,
borl,,boil,,,,english,
blin,,belly,,,,,
bliz,,our,,,,,
bleq,,eject,,,,,
blab,,blob,,,,english,
blof,,blow,,,,english,
bloz,,boson,,,,,
bloC,,blood,,,blóð,icelandic,
blum,,bloom,,,,,
blut,,butt,,,,english,
briq,,bring,,,,english,
brig,,insecta,,,,,
brip,,beep,,,,,
brit,,orbit,,,,english,
brif,,brief,,,,english,
bren,,brain,,,,english,
bred,,braid,,,,,
brek,,break (pieces),,,,english,
brev,,brave,,,,english,
bram,,create,,,,,
brat,,big,,brhat,बृहत्,sanskrit,
brak,,bacteria,,,,english,
braz,,box,,,,english,
bral,,ball,,,,english,
broq,,membrane,,bomo,薄膜,chinese,
brod,,bone,,,,,
brob,,decimal,,,,,
brol,,brow,,,,english,
brut,,bright,,,,english,
bruk,,beak,,,,,
bruz,,buzz,,,,english,
pitx,,pitch (sound),,,,,
pirs,,role/as,,,,,
pent,,paint,,,,english,
pest,,paste,,,,english,
pand,,upon,,,,,
padj,,edge,,,,english,
patx,,patch,,,,,
parn,,purr,,,,,
pard,,pod,,,,english,
parp,,perpendicular,,,,english,
part,,part,,part,,english,
park,,park (car),,,,,
parz,,p sound,,,,,
pogz,,10^5,,,,,
potx,,pi,,,,,
post,,post (content),,,,,
port,,important,,,,english,
pork,,per,,,,english,
porf,,puff,,,,english,
plen,,plane (geometry),,,,english,
plep,,plop,,,,,
plet,,plate,,,,english,
plek,,their,,,,,
plan,,plan,,,,english,
plap,,glottal stop,,,,,
plak,,pluck,,,,english,
plon,,pion,,pion,,english,
plod,,implode,,,,english,
plud,,pound (measure),,,,english,
plup,,poop,,,,english,
plus,,place (space location),,,,english,
prik,,opaque,,,,english,
priv,,perceive,,,,english,
pik,,pray,,,,,
pres,,pressure,,,,english,
prex,,precious,,,,english,
prag,,pig,,,,english,
prab,,probable,,,,english,
prat,,apart,,,,,
pras,,press (force),,,,english,
praz,,prize,,,,english,
prax,,ash,,,,english,
prot,,proton,,,,,
proz,,for/purpose,,,,english,
pruk,,pick,,,,,
pruv,,prove,,,,english,
titx,,teach,,,,,
test,,taste,,,,,
taqk,,toy,,,,english,
tatx,,touch,,,,,
tals,,tall,,,,english,
tarn,,10^39,,,,,
tard,,towards,,,,,
tarp,,topology,,,,,
tarz,,reptile,,,,,
totx,,attach,,,,,
toks,,easy,,,,,
told,,t sound,,,,,
zus,,term,,,,,
torn,,turn,,,,,
torp,,interpolate,,,,english,
tel,,tell,,,,english,
xim,,speech,,,,english,
txir,,cheer,,,,english,
txeq,,q sound,,,,,
txet,,shit,,,,,
txes,,chase,,,,,
txan,,moon,,chandra,चन्द्र,sanskrit,
txap,,chip,,,,,
txak,,check,,,,,
txaz,,100,,,,,
txal,,shell,,,,,
txot,,loose,,,,,
txor,,saturate,,,,,
txum,,tissue,,,,,
tub,,tube,,,,english,
txut,,chew,,,,,
txul,,actual,,,,english,
trin,,neutrino,,,,,
trid,,vowel i sound,,,,,
tris,,interest,,,,english,
trij,,treasure,,,,,
tred,,trade,,mào yì,贸易,chinese,
tres,,trace,,shemetz,שֶׁמֶץ,hebrew,
traq,,triangle,,,,,
trag,,10^42,,,,,
trad,,west,,,,,
trab,,tribe,,,,english,
trat,,tight,,,,,
tras,,torus,,,,,
kiqk,,10^15,,,,,
kedj,,accept,,,,,
kepk,,terrible,,kepa,可怕,chinese,
kamp,,camp,,,,,
kand,,command,,,,english,
kaln,,kaon,,,,,
kalv,,kelvin,,,,english,
kard,,can,,,,,
karp,,keep,,,,english,
kart,,crown,,keter,כֶּתֶר,hebrew,
kark,,quark,,quark,,english,
kold,,cold,,,,english,
korn,,category,,,,,
korg,,encounter,,,,,
korb,,cone,,,,,
kort,,court (justice),,,,,
kork,,curl,,,,,
korx,,xor,,,,,
kulx,,answer,,,,,
kurv,,curve,,,,,
klin,,clean,,,,english,
kliq,,k sound,,,,,
klis,,nucleus,,,,,
kliv,,cave,,,,,
klir,,clear,,,,english,
sornmes,,sun month,,,,,
txanmes,,moon month,,,,,
klek,,click,,,,english,
klan,,claw,,,,,
klap,,danish a vowel sound,,,,,
klat,,cat,,,,english,
klak,,ice,,,klaki,icelandic,
klar,,cloud,,,,,
kloz,,close,,,,,
klor,,color,,,,english,
klum,,cue,,,,,
klun,,community,,,,,
klub,,kill,,,,,
kriq,,care,,,,english,
krid,,liquid,,,,english,
hak,,hack (work),,,,,
krem,,chemical,,,,english,
krep,,crypto,,,,,
krev,,crave,,,,english,
kraq,,ring (sound),,,,,
krag,,node,,,,,
kras,,cross,,,,,
kraf,,comfort,,,,,
krax,,crash,,,,english,
krom,,ohm (measurement),,,,,
krot,,right (vs. wrong),,,,,
krok,,croak,,,,english,
dram,,human,,adam,אָדָם,hebrew,
hint,,hint,,,,english,
hidj,,polyhedron,,,,english,
hilk,,elk,,,,english,
hedj,,age,,,,english,
heps,,ape,,,,,
hamp,,ampere (electric current),,,,english,
hant,,hunt,,,,,
hadj,,edit,,,,,
habz,,abstract,,abstract,,english,
hatx,,hole,,,,english,
hast,,honest,,,,,
halm,,hue,,,,english,
halz,,hell (emphasize surprise),,,,,
harq,,along,,,,,
hard,,hard (vs. soft),,,,english,
harp,,organ (body),,,,,
hark,,arc,,,,english,
hars,,house,,,,english,
harx,,hair,,,,,
host,,thirst,,,,,
hold,,h sound,,,,,
holv,,elbow,,,,,
horn,,horn (animal),,,,,
xofar,,horn (instrument),,,שׁוֹפָר,hebrew,
hord,,ahead,,,,,
horp,,hope,,,,english,
hort,,heart (body),,,,,
hors,,horse,,,,english,
horx,,oh,,,,english,
huqk,,hunger,,,,,
hudj,,vowel u sound,,,,,
hutx,,itch,,,,,
sinc,,synthetic,,,,english,
siqk,,sink (down),,,,english,
sitx,,second (time),,,,english,
sent,,saint,,,,,
samp,,sentence (text),,,,,
sand,,sand,,,,english,
sadj,,beside,,,,,
satx,,such,,,,english,
saft,,soft,,,,english,
salk,,circle,,,,english,
sals,,celsius,,,,english,
salv,,solve,,,,,
sorm,,some,,,,english,
saqk,,sign,,,,english,
worv,,weave,,,,english,
sarz,,feature,,,,,
sulc,,sound,,sound,,english,
sold,,solid,,,,english,
solp,,swap,,,,,
sarn,,sun,,sū́rya,सूर्य,sanskrit,
sorg,,recent,,,,,
sorf,,surface,,,,,
sutx,,set (math),,,,english,
smin,,meson,,,,,
smil,,smell,,,,english,
smek,,smack,,,,english,
smax,,smash,,,,,
smal,,small,,,,english,
smok,,smoke,,,,english,
smul,,smile,,,,,
snik,,sneak,,,,english,
snif,,sniff,,,,english,
snek,,snake,,,,english,
snap,,snap,,,,english,
snom,,snow,,,,,
snor,,s sound,,,,,
spin,,spin,,,,english,
spit,,spit,,,,english,
spik,,speak,,,,english,
spek,,respect,,,,,
ses,,space,,,,english,
span,,spine,,,,english,
spak,,spike,,,,,
spas,,spice,,,,,
spok,,spoke (wheel),,,,,
stim,,steam,,,,english,
stik,,stick (plant),,,,english,
stil,,still (motion),,,,english,
sten,,stain,,,,english,
stet,,status,,,,english,
stef,,safe,,,,english,
stev,,stay,,,,,
bak,,send,,,,,
stat,,stat,,,,,
staf,,stuff,,,,english,
stal,,stall,,,,english,
star,,star,,,,english,
stom,,install,,,,,
ston,,stone,,,,english,
stok,,stomach,,,,english,
stor,,store,,,,english,
stup,,stupid,,,,english,
stuk,,mistake,,,,,
skim,,minimum,,,,,
skep,,scape (scenery),,,,english,
skel,,scale,,,,english,
skap,,skip,,,,english,
skax,,squash,,,,english,
skal,,squirrel,,,,,
skar,,square,,,,english,
skop,,scope,,,,english,
skor,,score,,,,english,
skun,,skew,,,,,
skup,,scoop,,,,,
skut,,difficult,,,,,
skuz,,excuse,,,,english,
sfir,,sphere,,,,english,
svik,,knife,,,ᓴᕕᒃ,inuktitut,
svas,,sigh,,,श्वास,sanskrit,
svar,,vowel,,svara,स्वर,sanskrit,
svur,,very,,,,,
slim,,submit,,muslim,مُسْلِم,arabic,
slid,,slide,,,,,
slip,,sleep,,,,english,
slok,,weak,,,,,
sliC,,therefore,,suǒyǐ,所以,chinese,
saq,,song,,,,english,
slag,,slug (animal),,,,,
slad,,sad,,,,,
slap,,forget,,,,,
slat,,10^9,,,,,
slas,,faint (light),,,,,
slax,,slash,,,,,
slom,,slow,,,,english,
slog,,slug,,,,,
slop,,slope,,,,english,
sloC,,water,,,,,
slun,,soon,,,,english,
slup,,swoop,,,,,
slix,,wish,,,,,
slur,,my,,,,,
finz,,finish,,,,english,
film,,film (material),,,,,
fent,,faint (dizzy),,,,english,
fand,,fund,,,,english,
fast,,fast,,,,,
fald,,field (quantum mechanics),,field,,english,
farm,,far,,,,english,
farg,,fog,,,,english,
farv,,10^24,,,,,
farC,,feather,,,,english,
folg,,fungus,,fungus,,english,
fold,,fold,,,,english,
form,,form,,,,english,
forn,,fine (good),,,,,
fort,,fort,,,,english,
fork,,ant (animal),,,,latin,
fors,,force,,,,english,
forc,,there,,,,,
funt,,photon,,photon,,english,
flid,,field (math),,,,english,
flip,,flip,,,,,
flem,,flame,,,,,
flet,,fight,,,,english,
flek,,mirror,,,,,
fleC,,appear,,,,,
flap,,hop,,,,,
flax,,air,,,,,
flom,,f sound,,,,,
flob,,lob,,,,,
flot,,float,,,,,
flok,,glow,,livh(o)k,לִבְהוֹק,hebrew,
flor,,flower,,,,english,
flum,,fly (action),,,,,
flun,,few,,,,,
flud,,fluid,,,,english,
fluz,,complex,,,,,
flux,,flush,,,,english,
frin,,funny,,,,,
frik,,freak,,,,,
friz,,freeze,,,,english,
frix,,fish,,,,,
fren,,danish e vowel sound,,,,,
fred,,vowel large E sound,,,,,
fres,,hiss,,,,,
frax,,fresh,,,,english,
fram,,depart/from,,,,english,
frag,,frog,,,,,
froC,,fear,,,,english,
frut,,fruit,,,,english,
vist,,visit,,,,,
vedj,,vegetable,,,,english,
vant,,archaea,,,,,
