english,role,uses,head,source
patient,adjective,5,4,base
plot,noun,5,4,base
plug,verb,5,4,base
prize,verb,5,4,base
progress,verb,5,4,base
property,noun,5,4,base
snake,verb,5,4,base
temperature,noun,5,4,base
tongue,noun,5,4,base
wire,verb,5,4,base
absorb,verb,4,4,base
align,verb,4,4,base
alloy,noun,4,4,base
attention,noun,4,4,base
attitude,noun,4,4,base
axe,noun,4,4,base
bark,verb,4,4,base
barrier,noun,4,4,base
clock,noun,4,4,base
crack,verb,4,4,base
earn,verb,4,4,base
error,noun,4,4,base
invite,verb,4,4,base
log,verb,4,4,base
neat,adjective,4,4,base
organism,noun,4,4,base
pretty,adjective,4,4,base
product,noun,4,4,base
sac,noun,4,4,base
smile,verb,4,4,base
status,noun,4,4,base
stem,verb,4,4,base
tip,verb,4,4,base
union,noun,4,4,base
not,adverb,1077,3,base
large,adjective,78,3,base
two,value,61,3,base
low,adjective,54,3,base
false,adjective,46,3,base
between,preposition,37,3,base
hide,verb,37,3,base
middle,noun,29,3,base
return,verb,27,3,base
egg,noun,26,3,base
nerve,noun,24,3,base
wild,adjective,20,3,base
poor,adjective,19,3,base
tear,verb,19,3,base
all,adjective,18,3,base
by,preposition,18,3,base
crazy,adjective,17,3,base
steal,verb,17,3,base
wash,verb,17,3,base
ice,noun,16,3,base
offer,verb,16,3,base
ten,value,15,3,base
protect,verb,14,3,base
save,verb,14,3,base
freeze,verb,13,3,base
blow,verb,12,3,base
lock,verb,12,3,base
stomach,noun,12,3,base
climb,verb,11,3,base
dance,verb,11,3,base
grave,adjective,11,3,base
lie,verb,11,3,base
signal,verb,11,3,base
spoil,verb,11,3,base
trap,verb,11,3,base
chief,adjective,10,3,base
pause,verb,10,3,base
symbol,noun,10,3,base
bell,noun,9,3,base
comfort,verb,9,3,base
fail,verb,9,3,base
gold,adjective,9,3,base
king,noun,9,3,base
month,noun,9,3,base
pin,verb,9,3,base
prove,verb,9,3,base
puzzle,verb,9,3,base
ray,noun,9,3,base
surprise,verb,9,3,base
conflict,verb,8,3,base
settle,verb,8,3,base
aware,adjective,7,3,base
boil,verb,7,3,base
excite,verb,7,3,base
kid,verb,7,3,base
milk,verb,7,3,base
office,noun,7,3,base
river,noun,7,3,base
urine,noun,7,3,base
welcome,verb,7,3,base
behind,adjective,6,3,base
cure,verb,6,3,base
danger,noun,6,3,base
decide,verb,6,3,base
drip,verb,6,3,base
fan,noun,6,3,base
fence,verb,6,3,base
flash,verb,6,3,base
information,noun,6,3,base
mountain,noun,6,3,base
often,adverb,6,3,base
page,noun,6,3,base
rail,noun,6,3,base
remain,verb,6,3,base
request,verb,6,3,base
row,noun,6,3,base
sample,verb,6,3,base
saw,verb,6,3,base
shed,verb,6,3,base
sit,verb,6,3,base
son,noun,6,3,base
tent,noun,6,3,base
achieve,verb,5,3,base
bomb,verb,5,3,base
ceremony,noun,5,3,base
courage,noun,5,3,base
dust,noun,5,3,base
engine,noun,5,3,base
iron,verb,5,3,base
jet,verb,5,3,base
nut,noun,5,3,base
proper,adjective,5,3,base
sore,adjective,5,3,base
spoke,verb,5,3,base
stab,verb,5,3,base
student,noun,5,3,base
tag,verb,5,3,base
virus,noun,5,3,base
week,noun,5,3,base
winter,noun,5,3,base
adjust,verb,4,3,base
author,noun,4,3,base
bias,verb,4,3,base
branch,verb,4,3,base
camp,verb,4,3,base
chip,verb,4,3,base
computer,noun,4,3,base
cord,noun,4,3,base
demand,verb,4,3,base
dip,verb,4,3,base
fortune,noun,4,3,base
glue,verb,4,3,base
guest,noun,4,3,base
history,noun,4,3,base
impact,verb,4,3,base
injure,verb,4,3,base
island,noun,4,3,base
lump,verb,4,3,base
magnet,noun,4,3,base
nation,noun,4,3,base
obey,verb,4,3,base
origin,noun,4,3,base
pit,verb,4,3,base
present,adjective,4,3,base
profit,noun,4,3,base
relief,noun,4,3,base
rent,verb,4,3,base
rush,verb,4,3,base
sauce,noun,4,3,base
service,verb,4,3,base
solution,noun,4,3,base
solve,verb,4,3,base
sum,verb,4,3,base
tension,noun,4,3,base
toe,noun,4,3,base
toilet,noun,4,3,base
visit,verb,4,3,base
west,noun,4,3,base
worship,verb,4,3,base
ache,verb,3,3,base
allergy,noun,3,3,base
arc,noun,3,3,base
awake,adjective,3,3,base
beast,noun,3,3,base
bundle,verb,3,3,base
channel,verb,3,3,base
continent,noun,3,3,base
crystal,noun,3,3,base
employ,noun,3,3,base
examine,verb,3,3,base
factor,noun,3,3,base
fault,noun,3,3,base
feast,noun,3,3,base
fossil,noun,3,3,base
gender,noun,3,3,base
grace,noun,3,3,base
hall,noun,3,3,base
jacket,noun,3,3,base
lesson,noun,3,3,base
march,noun,3,3,base
mat,noun,3,3,base
mercy,noun,3,3,base
mineral,noun,3,3,base
passion,noun,3,3,base
powder,noun,3,3,base
presence,noun,3,3,base
series,noun,3,3,base
sphere,noun,3,3,base
tape,noun,3,3,base
trigger,verb,3,3,base
tub,noun,3,3,base
vegetable,noun,3,3,base
vow,verb,3,3,base
zone,verb,3,3,base
three,value,66,2,base
sharp,adjective,59,2,base
lack,verb,46,2,base
short,adjective,45,2,base
leave,verb,33,2,base
main,adjective,32,2,base
sudden,adjective,30,2,base
ocean,noun,28,2,base
outside,adjective,28,2,base
heavy,adjective,24,2,base
cross,verb,20,2,base
final,adjective,19,2,base
joint,noun,18,2,base
public,adjective,18,2,base
combine,verb,17,2,base
can,verb,16,2,base
memory,noun,14,2,base
special,adjective,14,2,base
brave,adjective,12,2,base
dead,adjective,12,2,base
rich,adjective,12,2,base
10^2,value,11,2,base
evil,adjective,11,2,base
fresh,adjective,11,2,base
weather,verb,11,2,base
current,adjective,10,2,base
noble,adjective,10,2,base
rude,adjective,10,2,base
than,preposition,10,2,base
cool,adjective,9,2,base
expect,verb,9,2,base
flesh,verb,9,2,base
grab,verb,9,2,base
lean,adjective,9,2,base
mother,noun,9,2,base
nose,noun,9,2,base
provide,verb,9,2,base
chest,noun,8,2,base
clever,adjective,8,2,base
correct,adjective,8,2,base
cruel,adjective,8,2,base
divide,verb,8,2,base
lip,noun,8,2,base
melt,verb,8,2,base
scatter,verb,8,2,base
spider,noun,8,2,base
white,adjective,8,2,base
within,preposition,8,2,base
balance,verb,7,2,base
decay,verb,7,2,base
extreme,adjective,7,2,base
hurry,verb,7,2,base
improve,verb,7,2,base
inherit,noun,7,2,base
physical,adjective,7,2,base
refuse,verb,7,2,base
sail,verb,7,2,base
social,adjective,7,2,base
spine,noun,7,2,base
spring,verb,7,2,base
squeeze,noun,7,2,base
stain,verb,7,2,base
tooth,noun,7,2,base
annoy,verb,6,2,base
black,adjective,6,2,base
bounce,verb,6,2,base
dot,noun,6,2,base
loop,noun,6,2,base
lucky,adjective,6,2,base
moral,adjective,6,2,base
official,adjective,6,2,base
pour,verb,6,2,base
reward,verb,6,2,base
sew,verb,6,2,base
slight,adjective,6,2,base
sport,noun,6,2,base
upset,verb,6,2,base
vein,noun,6,2,base
warn,verb,6,2,base
accuse,verb,5,2,base
bare,adjective,5,2,base
button,noun,5,2,base
cream,noun,5,2,base
crush,verb,5,2,base
dock,verb,5,2,base
enjoy,verb,5,2,base
fiber,noun,5,2,base
hint,verb,5,2,base
involve,verb,5,2,base
mask,verb,5,2,base
pan,verb,5,2,base
pen,verb,5,2,base
plane,noun,5,2,base
replace,verb,5,2,base
slip,verb,5,2,base
sweat,verb,5,2,base
assign,verb,4,2,base
award,verb,4,2,base
bank,verb,4,2,base
bulge,noun,4,2,base
bush,noun,4,2,base
chew,verb,4,2,base
collect,verb,4,2,base
complex,adjective,4,2,base
date,verb,4,2,base
develop,verb,4,2,base
