concept,form,sounds,why,uses,head
health,vag,3,by load,22,14
meat,vev,3,by load,27,14
share,vif,3,by load,56,14
spread,vet,3,by load,28,14
tell,vec,3,by load,27,14
bear,fig,3,by load,19,13
board,fex,3,by load,13,13
carry,voc,3,by load,30,13
copy,vud,3,by load,28,13
craft,fej,3,by load,13,13
design,fiz,3,by load,16,13
dirt,vuv,3,by load,21,13
dish,fed,3,by load,14,13
fold,vuc,3,by load,21,13
game,vuk,3,by load,22,13
handle,feq,3,by load,15,13
ill,fiq,3,by load,20,13
marriage,fiv,3,by load,16,13
pot,fep,3,by load,14,13
road,vup,3,by load,27,13
treat,fez,3,by load,14,13
watch,vor,3,by load,29,13
worry,fib,3,by load,19,13
bend,faf,3,by load,32,12
car,fal,3,by load,26,12
coat,fun,3,by load,14,12
cook,faj,3,by load,29,12
dog,fok,3,by load,19,12
foot,fax,3,by load,30,12
hand,feC,3,by load,45,12
interest,fug,3,by load,14,12
learn,fob,3,by load,24,12
pay,fot,3,by load,24,12
sell,fof,3,by load,19,12
shell,fum,3,by load,15,12
sick,faC,3,by load,28,12
sugar,fub,3,by load,14,12
trust,fox,3,by load,19,12
well,foj,3,by load,19,12
worth,foC,3,by load,18,12
aid,xeb,3,by load,13,11
arrange,fuC,3,by load,19,11
bind,xiz,3,by load,15,11
blame,xen,3,by load,14,11
cost,xet,3,by load,13,11
crowd,xib,3,by load,16,11
desire,xeq,3,by load,14,11
effort,xes,3,by load,12,11
fat,fus,3,by load,26,11
fish,fuj,3,by load,21,11
fluid,xeg,3,by load,14,11
frame,xef,3,by load,11,11
honor,ful,3,by load,18,11
meet,fux,3,by load,22,11
muscle,fuz,3,by load,26,11
organ,xez,3,by load,12,11
partner,xic,3,by load,15,11
secret,fut,3,by load,35,11
string,xim,3,by load,18,11
trouble,xem,3,by load,15,11
wave,fuf,3,by load,25,11
ask,xog,3,by load,21,10
circle,xaz,3,by load,28,10
complete,xad,3,by load,32,10
crime,xuc,3,by load,11,10
drive,xaf,3,by load,25,10
fix,xeC,3,by load,35,10
fly,xon,3,by load,22,10
fun,xob,3,by load,20,10
gather,xaC,3,by load,25,10
heal,xot,3,by load,19,10
hurt,xag,3,by load,33,10
letter,xoz,3,by load,19,10
mass,xuq,3,by load,16,10
oil,xof,3,by load,18,10
opinion,jik,3,by load,10,10
pad,jif,3,by load,10,10
pipe,xug,3,by load,16,10
promise,xoC,3,by load,17,10
ship,xub,3,by load,15,10
smell,xut,3,by load,15,10
strike,xal,3,by load,23,10
swell,xuz,3,by load,15,10
teach,xoq,3,by load,22,10
text,jid,3,by load,11,10
wall,xol,3,by load,17,10
against,jed,3,by load,53,9
anger,jup,3,by load,11,9
arm,jat,3,by load,19,9
blade,juk,3,by load,11,9
burn,jev,3,by load,32,9
carbon,juf,3,by load,11,9
cry,juC,3,by load,11,9
damage,jav,3,by load,15,9
detail,jac,3,by load,15,9
emotion,Cid,3,by load,11,9
fabric,jar,3,by load,14,9
manage,jop,3,by load,14,9
normal,jor,3,by load,13,9
practice,jok,3,by load,14,9
praise,jov,3,by load,14,9
print,jud,3,by load,13,9
put,jiC,3,by load,58,9
round,jep,3,by load,35,9
search,jab,3,by load,22,9
shout,Cip,3,by load,11,9
term,Cik,3,by load,10,9
throw,jec,3,by load,27,9
trick,joc,3,by load,14,9
wish,Civ,3,by load,10,9
activity,cem,3,by load,8,8
appear,cij,3,by load,9,8
band,Cud,3,by load,13,8
boat,Cod,3,by load,16,8
bubble,Cop,3,by load,15,8
chain,Cuf,3,by load,12,8
corner,ciz,3,by load,10,8
farm,Cup,3,by load,13,8
firm,Cep,3,by load,22,8
horn,cen,3,by load,8,8
issue,ceq,3,by load,8,8
label,cim,3,by load,12,8
lift,Cek,3,by load,22,8
listen,cig,3,by load,11,8
method,Cuk,3,by load,13,8
own,Cak,3,by load,21,8
pack,ceb,3,by load,8,8
plate,ces,3,by load,8,8
polite,cib,3,by load,11,8
price,cif,3,by load,10,8
question,Car,3,by load,18,8
respect,cix,3,by load,10,8
ride,cit,3,by load,11,8
sad,Ced,3,by load,33,8
sex,cis,3,by load,11,8
shade,cin,3,by load,12,8
shield,cez,3,by load,8,8
slide,Cok,3,by load,15,8
sure,Col,3,by load,14,8
taste,ciq,3,by load,12,8
title,cev,3,by load,8,8
waste,Cav,3,by load,21,8
wheel,Cov,3,by load,15,8
acid,cuq,3,by load,8,7
bite,coz,3,by load,11,7
buy,cog,3,by load,12,7
cake,cug,3,by load,8,7
compound,yim,3,by load,7,7
display,cob,3,by load,12,7
fair,cal,3,by load,15,7
flat,cam,3,by load,36,7
free,cex,3,by load,44,7
gap,cut,3,by load,8,7
grain,cot,3,by load,12,7
grip,yig,3,by load,7,7
guard,caz,3,by load,19,7
gun,caf,3,by load,16,7
hue,yib,3,by load,7,7
knife,cus,3,by load,8,7
laugh,cun,3,by load,9,7
murder,yit,3,by load,7,7
peak,cuz,3,by load,8,7
pressure,com,3,by load,15,7
scent,coj,3,by load,10,7
sea,cej,3,by load,41,7
season,cuj,3,by load,8,7
shame,cof,3,by load,11,7
sleep,can,3,by load,36,7
soak,coq,3,by load,14,7
split,cas,3,by load,21,7
steady,cax,3,by load,16,7
stress,cum,3,by load,10,7
team,cox,3,by load,11,7
trip,cul,3,by load,8,7
twist,cag,3,by load,33,7
wide,cab,3,by load,29,7
win,cos,3,by load,12,7
wonder,caj,3,by load,16,7
wood,caq,3,by load,34,7
aim,riz,3,by load,7,6
alcohol,rox,3,by load,6,6
approve,roj,3,by load,6,6
bar,yon,3,by load,11,6
bold,yab,3,by load,13,6
bread,yej,3,by load,14,6
bump,rix,3,by load,7,6
bunch,roC,3,by load,6,6
camera,yus,3,by load,8,6
cap,riC,3,by load,7,6
capture,yuf,3,by load,8,6
chamber,yux,3,by load,8,6
charm,yaf,3,by load,12,6
city,yax,3,by load,12,6
document,yuj,3,by load,8,6
dress,yol,3,by load,9,6
duty,ruq,3,by load,6,6
ear,yix,3,by load,21,6
element,rug,3,by load,6,6
favor,yum,3,by load,9,6
feed,yun,3,by load,9,6
flavor,rab,3,by load,7,6
floor,yuq,3,by load,9,6
fruit,yoq,3,by load,11,6
fuel,rub,3,by load,6,6
germ,yeb,3,by load,17,6
grasp,ras,3,by load,7,6
guilt,yuC,3,by load,8,6
hear,yes,3,by load,15,6
instrument,rut,3,by load,6,6
journey,yoz,3,by load,10,6
juice,raz,3,by load,7,6
jump,yeq,3,by load,18,6
keep,yis,3,by load,27,6
language,yog,3,by load,11,6
last,yem,3,by load,19,6
limb,rus,3,by load,6,6
luck,rax,3,by load,7,6
mad,yat,3,by load,13,6
meter,ruz,3,by load,6,6
night,yen,3,by load,19,6
pile,raj,3,by load,7,6
pole,rac,3,by load,7,6
program,ruv,3,by load,6,6
proud,yeC,3,by load,14,6
range,roq,3,by load,7,6
reach,yef,3,by load,15,6
role,rux,3,by load,6,6
root,ruj,3,by load,6,6
satisfy,yob,3,by load,11,6
scare,yug,3,by load,9,6
shelter,yof,3,by load,10,6
shop,yub,3,by load,9,6
sing,yut,3,by load,9,6
solid,yag,3,by load,14,6
sorrow,yot,3,by load,11,6
spell,riq,3,by load,8,6
spend,yaz,3,by load,13,6
spouse,rob,3,by load,7,6
spray,ros,3,by load,7,6
stable,rof,3,by load,7,6
star,yiz,3,by load,22,6
stitch,rip,3,by load,8,6
straight,yet,3,by load,17,6
strap,lin,3,by load,6,6
stream,yox,3,by load,10,6
strip,yos,3,by load,11,6
suit,yoj,3,by load,10,6
surgery,lib,3,by load,6,6
sweet,yij,3,by load,21,6
throat,yex,3,by load,15,6
tie,yeg,3,by load,18,6
tissue,yaj,3,by load,12,6
urge,yaC,3,by load,12,6
vessel,yoC,3,by load,10,6
wear,yiC,3,by load,20,6
wrap,yif,3,by load,22,6
ahead,lus,3,by load,7,5
battle,lar,3,by load,10,5
benefit,wiz,3,by load,5,5
bow,wig,3,by load,6,5
brief,loz,3,by load,9,5
cart,lum,3,by load,8,5
cast,luz,3,by load,7,5
chart,luf,3,by load,7,5
conduct,wif,3,by load,5,5
culture,lux,3,by load,7,5
curve,len,3,by load,22,5
cushion,wix,3,by load,5,5
deed,wij,3,by load,5,5
dirty,lap,3,by load,15,5
explain,lof,3,by load,9,5
fund,wiC,3,by load,5,5
gear,luj,3,by load,7,5
girl,luq,3,by load,8,5
glance,wem,3,by load,5,5
grass,laz,3,by load,14,5
infect,wib,3,by load,6,5
knot,luC,3,by load,7,5
lady,wen,3,by load,5,5
loud,lit,3,by load,49,5
medicine,lex,3,by load,17,5
mess,leq,3,by load,22,5
mist,lon,3,by load,10,5
mound,weq,3,by load,5,5
music,liC,3,by load,25,5
odor,weg,3,by load,5,5
panel,web,3,by load,5,5
pick,laj,3,by load,11,5
platform,wit,3,by load,6,5
post,lox,3,by load,9,5
press,las,3,by load,15,5
rage,wet,3,by load,5,5
reduce,lez,3,by load,22,5
regret,lug,3,by load,8,5
religion,loq,3,by load,10,5
rod,wes,3,by load,5,5
scene,loj,3,by load,9,5
school,lej,3,by load,17,5
serve,lub,3,by load,8,5
shirt,wez,3,by load,5,5
shock,laq,3,by load,16,5
shoot,lob,3,by load,10,5
standard,wim,3,by load,7,5
storm,win,3,by load,7,5
stretch,wiq,3,by load,7,5
talent,wev,3,by load,5,5
thin,liz,3,by load,49,5
try,laf,3,by load,13,5
version,wis,3,by load,6,5
vision,loC,3,by load,9,5
vote,laC,3,by load,11,5
war,lax,3,by load,13,5
warm,lix,3,by load,26,5
weak,lef,3,by load,18,5
alone,wox,3,by load,10,4
blend,wol,3,by load,9,4
brain,woq,3,by load,17,4
choose,wos,3,by load,13,4
cold,wom,3,by load,22,4
cup,wus,3,by load,8,4
fine,won,3,by load,20,4
fog,wuz,3,by load,8,4
gentle,wob,3,by load,17,4
gland,wum,3,by load,9,4
hill,wuf,3,by load,8,4
horse,wok,3,by load,15,4
net,woz,3,by load,11,4
nice,wot,3,by load,16,4
raise,wex,3,by load,27,4
roll,wun,3,by load,9,4
rope,wux,3,by load,8,4
route,wuq,3,by load,9,4
smooth,wec,3,by load,25,4
snow,wug,3,by load,9,4
struggle,wuj,3,by load,8,4
success,wuC,3,by load,8,4
suffer,wul,3,by load,8,4
sword,wub,3,by load,9,4
tire,wov,3,by load,11,4
usual,wut,3,by load,9,4
wait,woj,3,by load,10,4
web,woc,3,by load,10,4
wet,wej,3,by load,27,4
a,miq,3,holds a short form,0,0
about,mig,3,holds a short form,0,0
above,suz,3,pinned,0,0
abroad,mip,3,holds a short form,0,0
absense,bop,3,pinned,0,0
absorb,bas,3,pinned,0,0
accept,kak,3,pinned,0,0
across,miz,3,holds a short form,0,0
action,mif,3,holds a short form,0,0
action instance,siq,3,pinned,0,0
action type,kiq,3,pinned,0,0
active,tip,3,pinned,0,0
actual,mix,3,holds a short form,0,0
add,miC,3,holds a short form,0,0
affect,men,3,holds a short form,0,0
after,fap,3,pinned,0,0
again,meq,3,holds a short form,0,0
age,mep,3,holds a short form,0,0
agent,gaq,3,pinned,0,0
ago,mes,3,holds a short form,0,0
algorithm,rig,3,pinned,0,0
align,lag,3,pinned,0,0
all,con,3,pinned,0,0
allow,mez,3,holds a short form,0,0
almost,mef,3,holds a short form,0,0
along,mex,3,holds a short form,0,0
already,mej,3,holds a short form,0,0
also,meC,3,holds a short form,0,0
although,maq,3,holds a short form,0,0
always,maz,3,holds a short form,0,0
among,mag,3,pinned,0,0
amount,nat,3,pinned,0,0
and,mav,3,holds a short form,0,0
another,maj,3,holds a short form,0,0
any,nec,3,pinned,0,0
apart,mom,3,holds a short form,0,0
approach,moq,3,holds a short form,0,0
area,mog,3,holds a short form,0,0
around,mos,3,holds a short form,0,0
arrive,moz,3,holds a short form,0,0
as,mox,3,holds a short form,0,0
assume,moj,3,holds a short form,0,0
at,moC,3,holds a short form,0,0
attention,mum,3,holds a short form,0,0
attract,top,3,pinned,0,0
attribute,mug,3,holds a short form,0,0
awake,bud,3,pinned,0,0
aware,ran,3,pinned,0,0
away,mub,3,holds a short form,0,0
axis,kaC,3,pinned,0,0
baby,pup,3,pinned,0,0
back,gok,3,pinned,0,0
bad,vat,3,pinned,0,0
balance,ban,3,pinned,0,0
ball,bal,3,pinned,0,0
be,mut,3,holds a short form,0,0
beat,mux,3,holds a short form,0,0
because,mul,3,holds a short form,0,0
become,nim,3,holds a short form,0,0
before,bef,3,pinned,0,0
begin,niq,3,holds a short form,0,0
behind,nib,3,holds a short form,0,0
being,biq,3,pinned,0,0
belief,fic,3,pinned,0,0
belong,niz,3,holds a short form,0,0
below,zis,3,pinned,0,0
between,ben,3,pinned,0,0
big,nif,3,holds a short form,0,0
birth,nix,3,holds a short form,0,0
bit,vij,3,pinned,0,0
black,bul,3,pinned,0,0
blue,bag,3,pinned,0,0
body,vas,3,pinned,0,0
bond,nij,3,holds a short form,0,0
boom,bum,3,pinned,0,0
border,bor,3,pinned,0,0
both,nez,3,holds a short form,0,0
bottom,nex,3,holds a short form,0,0
boundary,bod,3,pinned,0,0
breath,ruc,3,pinned,0,0
breathe,nej,3,holds a short form,0,0
bright,mar,3,pinned,0,0
but,nag,3,holds a short form,0,0
by,nab,3,holds a short form,0,0
byte,veb,3,pinned,0,0
call,kug,3,pinned,0,0
calm,kam,3,pinned,0,0
capability,pab,3,pinned,0,0
capacity,kaj,3,pinned,0,0
care,nas,3,holds a short form,0,0
category,naz,3,holds a short form,0,0
cause,kaz,3,pinned,0,0
cell,kox,3,pinned,0,0
center,vaq,3,pinned,0,0
certain,ket,3,pinned,0,0
change,kan,3,pinned,0,0
character,naf,3,holds a short form,0,0
child,kik,3,pinned,0,0
chip,xap,3,pinned,0,0
choice,tox,3,pinned,0,0
clarify,kaf,3,pinned,0,0
clear,nax,3,holds a short form,0,0
close,los,3,pinned,0,0
clue,kul,3,pinned,0,0
code,kod,3,pinned,0,0
collection,lok,3,pinned,0,0
combine,naj,3,holds a short form,0,0
come,kom,3,pinned,0,0
compare,kop,3,pinned,0,0
complex,mop,3,pinned,0,0
computation,xit,3,pinned,0,0
concept,naC,3,holds a short form,0,0
condition,nal,3,holds a short form,0,0
confidence,non,3,pinned,0,0
confuse,kof,3,pinned,0,0
connect,kog,3,pinned,0,0
conscious,tuv,3,pinned,0,0
constraint,nor,3,pinned,0,0
contact,koq,3,pinned,0,0
contain,ton,3,pinned,0,0
continue,koz,3,pinned,0,0
continuous,jod,3,pinned,0,0
contradict,nop,3,holds a short form,0,0
control,noj,3,holds a short form,0,0
convert,nov,3,pinned,0,0
copper,kis,3,pinned,0,0
correspond,nuq,3,holds a short form,0,0
cosine,pit,3,pinned,0,0
count,nub,3,holds a short form,0,0
course,nus,3,holds a short form,0,0
create,bam,3,pinned,0,0
cross,kas,3,pinned,0,0
cycle,rol,3,pinned,0,0
dad,dad,3,pinned,0,0
dark,ram,3,pinned,0,0
data,daq,3,pinned,0,0
daughter,des,3,pinned,0,0
day,yam,3,pinned,0,0
death,nuz,3,holds a short form,0,0
decrease,nux,3,holds a short form,0,0
deep,nuj,3,holds a short form,0,0
degree,nuC,3,holds a short form,0,0
density,den,3,pinned,0,0
depart,nul,3,holds a short form,0,0
depend,gim,3,holds a short form,0,0
destroy,xiv,3,pinned,0,0
detect,dek,3,pinned,0,0
differ,gin,3,holds a short form,0,0
different,dif,3,pinned,0,0
digit,jis,3,pinned,0,0
dimension,dis,3,pinned,0,0
direction,dim,3,pinned,0,0
disconnect,diz,3,pinned,0,0
discrete,dej,3,pinned,0,0
distance,sin,3,pinned,0,0
diversity,diq,3,pinned,0,0
divide,giq,3,holds a short form,0,0
divine,gig,3,holds a short form,0,0
doing,reC,3,pinned,0,0
doubt,gib,3,holds a short form,0,0
down,dot,3,pinned,0,0
drug,som,3,pinned,0,0
duration,dut,3,pinned,0,0
during,gis,3,holds a short form,0,0
each,giz,3,holds a short form,0,0
early,gif,3,holds a short form,0,0
east,rog,3,pinned,0,0
edge,daj,3,pinned,0,0
effect,zak,3,pinned,0,0
eight,sog,3,pinned,0,0
either,gij,3,holds a short form,0,0
eleven,fef,3,pinned,0,0
else,lis,3,pinned,0,0
empty,xun,3,pinned,0,0
end,neq,3,pinned,0,0
energy,xiq,3,pinned,0,0
enough,giC,3,holds a short form,0,0
enter,neb,3,pinned,0,0
entity,geg,3,holds a short form,0,0
era,geb,3,holds a short form,0,0
essence,ges,3,holds a short form,0,0
eternal,xas,3,pinned,0,0
even,gez,3,holds a short form,0,0
event,ven,3,pinned,0,0
ever,gex,3,holds a short form,0,0
every,gej,3,holds a short form,0,0
evidence,gec,3,holds a short form,0,0
example,gag,3,holds a short form,0,0
except,gap,3,holds a short form,0,0
excess,gas,3,holds a short form,0,0
exclude,gaz,3,holds a short form,0,0
exhale,pos,3,pinned,0,0
exist,kes,3,pinned,0,0
exit,bon,3,pinned,0,0
experience,zus,3,pinned,0,0
explore,rom,3,pinned,0,0
eye,haq,3,pinned,0,0
face,fes,3,pinned,0,0
fall,zor,3,pinned,0,0
false,cet,3,pinned,0,0
family,fam,3,pinned,0,0
far,fad,3,pinned,0,0
fate,gaf,3,holds a short form,0,0
fear,gaC,3,holds a short form,0,0
feature,gal,3,holds a short form,0,0
feature instance,suq,3,pinned,0,0
feature type,kuq,3,pinned,0,0
feel,gom,3,holds a short form,0,0
female,fem,3,pinned,0,0
few,gon,3,holds a short form,0,0
field,cuv,3,pinned,0,0
fifteen,lep,3,pinned,0,0
fill,fim,3,pinned,0,0
find,fan,3,pinned,0,0
finite,fin,3,pinned,0,0
five,ten,3,pinned,0,0
flow,fol,3,pinned,0,0
focus,gob,3,holds a short form,0,0
follow,got,3,holds a short form,0,0
follower,foq,3,pinned,0,0
for,gos,3,holds a short form,0,0
force,fos,3,pinned,0,0
form,goz,3,holds a short form,0,0
four,boq,3,pinned,0,0
fourteen,roz,3,pinned,0,0
frequency,fek,3,pinned,0,0
from,gof,3,holds a short form,0,0
front,keg,3,pinned,0,0
full,gox,3,holds a short form,0,0
function,fuq,3,pinned,0,0
future,tis,3,pinned,0,0
gain,gam,3,pinned,0,0
garden,gan,3,pinned,0,0
gate,get,3,pinned,0,0
general,geq,3,pinned,0,0
get,gem,3,pinned,0,0
give,gev,3,pinned,0,0
goal,gol,3,pinned,0,0
god,gad,3,pinned,0,0
gold,gum,3,pinned,0,0
good,tav,3,pinned,0,0
grandfather,bab,3,pinned,0,0
grandmother,nan,3,pinned,0,0
gray,gaj,3,pinned,0,0
green,gun,3,pinned,0,0
group,hip,3,pinned,0,0
grow,goj,3,holds a short form,0,0
guess,goC,3,holds a short form,0,0
gut,gut,3,pinned,0,0
hate,guq,3,holds a short form,0,0
have,hav,3,pinned,0,0
heaven,xam,3,pinned,0,0
hell,gax,3,pinned,0,0
here,hem,3,pinned,0,0
high,gug,3,holds a short form,0,0
hit,hiq,3,pinned,0,0
hold,hod,3,pinned,0,0
holy,gub,3,holds a short form,0,0
home,hom,3,pinned,0,0
hop,hap,3,pinned,0,0
hope,gus,3,holds a short form,0,0
hour,guz,3,holds a short form,0,0
how,guf,3,holds a short form,0,0
huge,gux,3,holds a short form,0,0
i,mus,3,pinned,0,0
idea,guC,3,holds a short form,0,0
identity,din,3,pinned,0,0
if,gul,3,holds a short form,0,0
ignorant,dib,3,pinned,0,0
illusion,dig,3,holds a short form,0,0
image,mij,3,pinned,0,0
imagine,xig,3,pinned,0,0
impermanent,yiq,3,pinned,0,0
imply,dix,3,holds a short form,0,0
in,nut,3,pinned,0,0
include,dij,3,holds a short form,0,0
increase,diC,3,holds a short form,0,0
individual,baq,3,pinned,0,0
infer,deq,3,holds a short form,0,0
infinite,gix,3,pinned,0,0
influence,deb,3,holds a short form,0,0
inhale,sep,3,pinned,0,0
inside,tuq,3,pinned,0,0
instance,nis,3,pinned,0,0
intend,dez,3,holds a short form,0,0
intensity,nit,3,pinned,0,0
intersection,nin,3,pinned,0,0
interval,def,3,holds a short form,0,0
into,dex,3,holds a short form,0,0
intuition,mun,3,pinned,0,0
inverse,deC,3,holds a short form,0,0
it,hin,3,pinned,0,0
join,dam,3,holds a short form,0,0
judge,dag,3,holds a short form,0,0
just,dap,3,holds a short form,0,0
key,cux,3,pinned,0,0
know,nom,3,pinned,0,0
knowledge,daz,3,holds a short form,0,0
lack,lam,3,pinned,0,0
large,daf,3,holds a short form,0,0
late,dax,3,holds a short form,0,0
law,daC,3,holds a short form,0,0
lead,lad,3,pinned,0,0
leader,lem,3,pinned,0,0
leaf,lif,3,pinned,0,0
least,dal,3,holds a short form,0,0
left,bep,3,pinned,0,0
less,les,3,pinned,0,0
let,dom,3,holds a short form,0,0
level,don,3,holds a short form,0,0
life,vit,3,pinned,0,0
light,doq,3,holds a short form,0,0
like,lik,3,pinned,0,0
limit,lim,3,pinned,0,0
line,lan,3,pinned,0,0
link,liq,3,pinned,0,0
little,dog,3,holds a short form,0,0
location,dob,3,holds a short form,0,0
look,dos,3,holds a short form,0,0
lord,lor,3,pinned,0,0
lose,lom,3,pinned,0,0
love,doz,3,holds a short form,0,0
low,dof,3,holds a short form,0,0
machine,jip,3,pinned,0,0
magic,muj,3,pinned,0,0
make,mek,3,pinned,0,0
male,mof,3,pinned,0,0
many,dox,3,holds a short form,0,0
map,map,3,pinned,0,0
match,mas,3,pinned,0,0
math,mac,3,pinned,0,0
maximum,mon,3,pinned,0,0
maybe,doj,3,holds a short form,0,0
mean,doC,3,holds a short form,0,0
measure,dun,3,holds a short form,0,0
member,duq,3,holds a short form,0,0
memory,guj,3,pinned,0,0
merge,mem,3,pinned,0,0
mesh,max,3,pinned,0,0
middle,mod,3,pinned,0,0
mind,man,3,pinned,0,0
minimum,nem,3,pinned,0,0
minute,dug,3,holds a short form,0,0
mirror,dus,3,holds a short form,0,0
miss,min,3,pinned,0,0
mix,mim,3,pinned,0,0
mmm,muq,3,pinned,0,0
model,mad,3,pinned,0,0
mom,mam,3,pinned,0,0
moment,duz,3,holds a short form,0,0
moon,lun,3,pinned,0,0
more,mor,3,pinned,0,0
most,duf,3,holds a short form,0,0
motion,dux,3,holds a short form,0,0
mouth,muc,3,pinned,0,0
move,muv,3,pinned,0,0
much,duj,3,holds a short form,0,0
multiply,duC,3,holds a short form,0,0
my,dul,3,holds a short form,0,0
name,nam,3,pinned,0,0
nature,nox,3,pinned,0,0
near,nen,3,pinned,0,0
necessary,bim,3,holds a short form,0,0
need,niC,3,pinned,0,0
negative,dum,3,pinned,0,0
neither,bin,3,holds a short form,0,0
nest,nes,3,pinned,0,0
network,net,3,pinned,0,0
neutral,naq,3,pinned,0,0
never,big,3,holds a short form,0,0
new,bip,3,holds a short form,0,0
next,gen,3,pinned,0,0
nine,zez,3,pinned,0,0
no,noq,3,pinned,0,0
node,nod,3,pinned,0,0
non,bis,3,holds a short form,0,0
none,biz,3,holds a short form,0,0
north,yin,3,pinned,0,0
nose,noz,3,pinned,0,0
not,bif,3,holds a short form,0,0
not touching,bix,3,holds a short form,0,0
note,nos,3,pinned,0,0
nothing,siz,3,pinned,0,0
notice,bij,3,holds a short form,0,0
now,xom,3,pinned,0,0
number,num,3,pinned,0,0
object,biC,3,holds a short form,0,0
object instance,saq,3,pinned,0,0
object type,kaq,3,pinned,0,0
obstacle,bos,3,pinned,0,0
of,bem,3,holds a short form,0,0
off,von,3,pinned,0,0
often,beq,3,holds a short form,0,0
old,beg,3,holds a short form,0,0
on,nev,3,pinned,0,0
once,bes,3,holds a short form,0,0
one,med,3,pinned,0,0
only,bez,3,holds a short form,0,0
onto,bex,3,holds a short form,0,0
open,pon,3,pinned,0,0
oppose,pom,3,pinned,0,0
opposite,bej,3,holds a short form,0,0
or,beC,3,holds a short form,0,0
orange,jan,3,pinned,0,0
order,dor,3,pinned,0,0
orientation,rot,3,pinned,0,0
origin,bat,3,holds a short form,0,0
original,ron,3,pinned,0,0
other,kor,3,pinned,0,0
our,baz,3,holds a short form,0,0
out,tin,3,pinned,0,0
outside,tiq,3,pinned,0,0
over,baf,3,holds a short form,0,0
pain,muz,3,pinned,0,0
pair,bax,3,holds a short form,0,0
paradise,jin,3,pinned,0,0
parallel,pam,3,pinned,0,0
parent,sas,3,pinned,0,0
part,par,3,pinned,0,0
particle,rav,3,pinned,0,0
