concept,form,template
lead,lad,111
lose,lom,111
solution,lot,111
collection,lok,111
close,los,111
lord,lor,111
moon,lun,111
south,lut,111
with,wim,111
when,win,111
white,wiq,111
kaleidoscope,wig,111
west,web,111
wait,wet,111
wave,wev,111
what,wec,111
why,won,111
water,wot,111
walk,wok,111
sixteen,wov,111
we,wol,111
um,wuq,111
will,wul,111
mountain,mant,112
thousand,mont,112
molecule,molk,112
me,must,112
million,neqk,112
hello,grit,211
great,gret,211
strength,gruk,211
clean,glin,211
lip,glip,211
click,glik,211
liquid,glis,211
color,glor,211
billion,dolc,112
gene,djin,211
justice,djas,211
joke,djok,211
jewel,djul,211
dream,drim,211
human,dram,211
triangle,draq,211
trade,drad,211
track,drak,211
trap,dras,211
drum,drom,211
trillion,bedj,112
bring,briq,211
braid,bred,211
problem,brab,211
brow,brol,211
prove,bruv,211
please,bliz,211
plan,blan,211
blood,bloC,211
plane,blun,211
quintillion,kegd,112
its,hint,112
hunt,hant,112
sextillion,holv,112
septillion,seft,112
solve,salk,112
simple,smip,211
sneeze,sniz,211
speech,spix,211
octillion,zotx,112
decillion,fosk,112
their,Ceft,112
hundred,yemp,112
your,yart,112
power42,resp,112
power45,lorf,112
our,wolt,112
science,ved,111
device,mak,111
divine,dev,111
dead,tuv,111
sound,fon,111
sea,xan,111
trip,trip,211
wide,wid,112
wonder,wond,112
wood,wod,112
would,wud,111
should,xud,111
could,kud,111
beat,bit,111
launch,lantx,211
terrify,trif,211
thorax,crak,211
throne,cron,211
thrive,craiv,212
thunder,crum,211
