name_code,latin,chinese,pinyin,literal,tune,from,half,open,said_genus,said_species
T20171000000050,"Sphagnum fuscum","泥炭藓属锈色泥炭藓","ní tàn xiǎn shǔ xiù sè ní tàn xiǎn","peat + moss | dusky","drojmos dask","latin","","","drojmos","dask"
T20171000000053,"Sphagnum girgensohnii","泥炭藓属白齿泥炭藓","ní tàn xiǎn shǔ bái chǐ ní tàn xiǎn","peat + moss | white + tooth","drojmos wiqtuc","chinese","","","drojmos","wiqtuc"
T20171000000058,"Sphagnum imbricatum","泥炭藓属毛壁泥炭藓","ní tàn xiǎn shǔ máo bì ní tàn xiǎn","peat + moss | pantile","drojmos cojlxaun","latin","","","drojmos","cojlxaun"
T20171000000060,"Sphagnum inundatum","泥炭藓属泽地泥炭藓","ní tàn xiǎn shǔ zé dì ní tàn xiǎn","peat + moss | flood","drojmos flad","latin","","","drojmos","flad"
T20171000000068,"Sphagnum jensenii","泥炭藓属垂枝泥炭藓","ní tàn xiǎn shǔ chuí zhī ní tàn xiǎn","peat + moss | hanging + branch","drojmos taufbrantx","chinese","","","drojmos","taufbrantx"
T20171000000069,"Sphagnum junghuhnianum","泥炭藓属暖地泥炭藓","ní tàn xiǎn shǔ nuǎn dì ní tàn xiǎn","peat + moss | warm + earth","drojmos wormpum","chinese","","","drojmos","wormpum"
T20171000000075,"Sphagnum khasianum","泥炭藓属卡西泥炭藓","ní tàn xiǎn shǔ kǎ xī ní tàn xiǎn","peat + moss | card + west","drojmos saisweb","chinese","","","drojmos","saisweb"
T20171000000077,"Sphagnum lenense","泥炭藓属利尼泥炭藓","ní tàn xiǎn shǔ lì ní ní tàn xiǎn","peat + moss | gains + buddhist nun","drojmos gamglex","chinese","","","drojmos","gamglex"
T20171000000079,"Sphagnum luzonense","泥炭藓属吕宋泥炭藓","ní tàn xiǎn shǔ lǚ sòng ní tàn xiǎn","peat + moss | big + island + fire + mountain","drojmos biglizgwejmant","latin","","","drojmos","biglizgwejmant"
T20171000000084,"Sphagnum magellanicum","泥炭藓属中位泥炭藓","ní tàn xiǎn shǔ zhōng wèi ní tàn xiǎn","peat + moss | middle + throne","drojmos modlyiqkc","chinese","","","drojmos","modlyiqkc"
T20171000000087,"Sphagnum microporum","泥炭藓属小孔泥炭藓","ní tàn xiǎn shǔ xiǎo kǒng ní tàn xiǎn","peat + moss | small + fruit","drojmos smolfrut","latin","","","drojmos","smolfrut"
T20171000000089,"Sphagnum multifibrosum","泥炭藓属多纹泥炭藓","ní tàn xiǎn shǔ duō wén ní tàn xiǎn","peat + moss | much + fibrous","drojmos matxsedj","latin","","","drojmos","matxsedj"
T20171000000090,"Sphagnum obtusiusculum","泥炭藓属秃叶泥炭藓","ní tàn xiǎn shǔ tū yè ní tàn xiǎn","peat + moss | struck + law + little","drojmos xoqfipcij","latin","","","drojmos","xoqfipcij"
T20171000000092,"Sphagnum obtusum","泥炭藓属舌叶泥炭藓","ní tàn xiǎn shǔ shé yè ní tàn xiǎn","peat + moss | struck","drojmos xoq","latin","","","drojmos","xoq"
T20171000000094,"Sphagnum ovatum","泥炭藓属卵叶泥炭藓","ní tàn xiǎn shǔ luǎn yè ní tàn xiǎn","peat + moss | rejoiced","drojmos spop","latin","","","drojmos","spop"
T20171000000095,"Sphagnum palustre","泥炭藓属泥炭藓","ní tàn xiǎn shǔ ní tàn xiǎn","peat + moss | swampy","drojmos swamp","latin","","","drojmos","swamp"
T20171000000097,"Sphagnum papillosum","泥炭藓属疣泥炭藓","ní tàn xiǎn shǔ yóu ní tàn xiǎn","peat + moss | papillate","drojmos smolbamp","latin","","","drojmos","smolbamp"
T20171000000098,"Sphagnum perichaetiale","泥炭藓属瓢叶泥炭藓","ní tàn xiǎn shǔ piáo yè ní tàn xiǎn","peat + moss | around + bristle","drojmos ginzukt","latin","","","drojmos","ginzukt"
T20171000000107,"Sphagnum platyphylloides","泥炭藓属拟宽叶泥炭藓","ní tàn xiǎn shǔ nǐ kuān yè ní tàn xiǎn","peat + moss | flat + leaf","drojmos nujlif","latin","","","drojmos","nujlif"
T20171000000108,"Sphagnum platyphyllum","泥炭藓属阔叶泥炭藓","ní tàn xiǎn shǔ kuò yè ní tàn xiǎn","peat + moss | flat-leaved","drojmos nujlxend","latin","","","drojmos","nujlxend"
T20171000000114,"Sphagnum portoricense","泥炭藓属异叶泥炭藓","ní tàn xiǎn shǔ yì yè ní tàn xiǎn","peat + moss | strange + leaf","drojmos rauzlif","chinese","","","drojmos","rauzlif"
T20171000000115,"Sphagnum pungifolium","泥炭藓属刺叶泥炭藓","ní tàn xiǎn shǔ cì yè ní tàn xiǎn","peat + moss | stinging + leaf","drojmos stiqlif","latin","","","drojmos","stiqlif"
T20171000000116,"Sphagnum quinquefarium","泥炭藓属五列泥炭藓","ní tàn xiǎn shǔ wǔ liè ní tàn xiǎn","peat + moss | five + speak","drojmos tenspik","latin","","","drojmos","tenspik"
T20171000000122,"Sphagnum recurvum","泥炭藓属喙叶泥炭藓","ní tàn xiǎn shǔ huì yè ní tàn xiǎn","peat + moss | new + plough-beam","drojmos pibsnukbim","latin","","","drojmos","pibsnukbim"
T20171000000133,"Sphagnum riparium","泥炭藓属岸生泥炭藓","ní tàn xiǎn shǔ àn shēng ní tàn xiǎn","peat + moss | riparian","drojmos wigdbaqk","latin","","","drojmos","wigdbaqk"
T20171000000136,"Sphagnum rubellum","泥炭藓属红叶泥炭藓","ní tàn xiǎn shǔ hóng yè ní tàn xiǎn","peat + moss | red","drojmos red","latin","","","drojmos","red"
T20171000000137,"Sphagnum russowii","泥炭藓属广舌泥炭藓","ní tàn xiǎn shǔ guǎng shé ní tàn xiǎn","peat + moss | wide + tongue","drojmos puqcind","chinese","","","drojmos","puqcind"
T20171000000143,"Sphagnum squarrosum","泥炭藓属粗叶泥炭藓","ní tàn xiǎn shǔ cū yè ní tàn xiǎn","peat + moss | scurfy","drojmos skog","latin","","","drojmos","skog"
T20171000000148,"Sphagnum subnitens","泥炭藓属羽枝泥炭藓","ní tàn xiǎn shǔ yǔ zhī ní tàn xiǎn","peat + moss | under + bright","drojmos mixmar","latin","","","drojmos","mixmar"
T20171000000151,"Sphagnum subsecundum","泥炭藓属偏叶泥炭藓","ní tàn xiǎn shǔ piān yè ní tàn xiǎn","peat + moss | under + second","drojmos mixskos","latin","","","drojmos","mixskos"
T20171000000155,"Sphagnum tenellum","泥炭藓属柔叶泥炭藓","ní tàn xiǎn shǔ róu yè ní tàn xiǎn","peat + moss | tender","drojmos tend","latin","","","drojmos","tend"
T20171000000157,"Sphagnum teres","泥炭藓属细叶泥炭藓","ní tàn xiǎn shǔ xì yè ní tàn xiǎn","peat + moss | rounded","drojmos bom","latin","","","drojmos","bom"
T20171000000160,"Sphagnum warnstorfii","泥炭藓属阔边泥炭藓","ní tàn xiǎn shǔ kuò biān ní tàn xiǎn","peat + moss | broad + edge","drojmos brodaj","chinese","","","drojmos","brodaj"
T20171000000162,"Sphagnum wulfianum","泥炭藓属多枝泥炭藓","ní tàn xiǎn shǔ duō zhī ní tàn xiǎn","peat + moss | many + branch","drojmos lixbrantx","chinese","","","drojmos","lixbrantx"
T20171000000167,"Andreaea morrisonensis","黑藓属玉山黑藓","hēi xiǎn shǔ yù shān hēi xiǎn","black + moss | jade + mountain","bulmos gromzmant","chinese","","","bulmos","gromzmant"
T20171000000168,"Andreaea mutabilis","黑藓属多态黑藓","hēi xiǎn shǔ duō tài hēi xiǎn","black + moss | mutable","bulmos kanbej","chinese","","","bulmos","kanbej"
T20171000000170,"Andreaea rupestris","黑藓属欧黑藓","hēi xiǎn shǔ ōu hēi xiǎn","black + moss | rock","bulmos rak","chinese","","","bulmos","rak"
T20171000000179,"Andreaea taiwanensis","黑藓属台湾黑藓","hēi xiǎn shǔ tái wān hēi xiǎn","black + moss | terrace + bay","bulmos cendjlpaid","chinese","","","bulmos","cendjlpaid"
T20171000000180,"Andreaea wangiana","黑藓属王氏黑藓","hēi xiǎn shǔ wáng shì hēi xiǎn","","","latin","bulmos","","bulmos",""
T20171000000186,"Oedipodium griffithianum","长台藓属长台藓","cháng tái xiǎn shǔ cháng tái xiǎn","long + platform + moss","loqhoCmos","chinese","","","draCpof",""
T20171000000194,"Tetraphis geniculata","四齿藓属疣柄四齿藓","sì chǐ xiǎn shǔ yóu bǐng sì chǐ xiǎn","four + speak | kneeling","boqspik crof","latin","","","boqspik","crof"
T20171000000196,"Tetraphis pellucida","四齿藓属四齿藓","sì chǐ xiǎn shǔ sì chǐ xiǎn","four + speak | transparent","boqspik tazg","latin","","","boqspik","tazg"
T20171000000202,"Tetrodontium brownianum","小四齿藓属小四齿藓","xiǎo sì chǐ xiǎn shǔ xiǎo sì chǐ xiǎn","small + four + tooth + moss","smolboqtucmos","chinese","","","boqtuc",""
T20171000000204,"Tetrodontium repandum","小四齿藓属无肋小四齿藓","xiǎo sì chǐ xiǎn shǔ wú lèi xiǎo sì chǐ xiǎn","four + tooth | upturned","boqtuc tunted","latin","","","boqtuc","tunted"
T20171000000212,"Atrichum angustatum","仙鹤藓属狭叶仙鹤藓","xiān hè xiǎn shǔ xiá yè xiān hè xiǎn","Atreid + fluid | snake + fixed","fob hismog","latin","","","fob","hismog"
T20171000000216,"Atrichum crispum","仙鹤藓属卷叶仙鹤藓","xiān hè xiǎn shǔ juǎn yè xiān hè xiǎn","Atreid + fluid | curly","fob zisp","latin","","","fob","zisp"
T20171000000218,"Atrichum crispulum","仙鹤藓属小仙鹤藓","xiān hè xiǎn shǔ xiǎo xiān hè xiǎn","Atreid + fluid | curling + little","fob hauxcij","latin","","","fob","hauxcij"
T20171000000225,"Atrichum rhystophyllum","仙鹤藓属小胞仙鹤藓","xiān hè xiǎn shǔ xiǎo bāo xiān hè xiǎn","Atreid + fluid | small + womb","fob smolwum","chinese","","momentum","fob","smolwum"
T20171000000233,"Atrichum subserratum","仙鹤藓属薄壁仙鹤藓","xiān hè xiǎn shǔ báo bì xiān hè xiǎn","Atreid + fluid | under + saw-toothed","fob mixtizgtuc","latin","","","fob","mixtizgtuc"
T20171000000239,"Atrichum undulatum","仙鹤藓属","xiān hè xiǎn shǔ","Atreid + fluid | wavy","fob wev","latin","","","fob","wev"
T20171000000249,"Atrichum yakushimense","仙鹤藓属东亚仙鹤藓","xiān hè xiǎn shǔ dōng yà xiān hè xiǎn","Atreid + fluid | east","fob rog","chinese","","","fob","rog"
T20171000000252,"Lyellia crispa","异蒴藓属异蒴藓","yì shuò xiǎn shǔ yì shuò xiǎn","strange + seed (capsule) + moss | curly","rauzlsidlagdmos zisp","chinese","","","rauzlsidlagdmos","zisp"
T20171000000253,"Lyellia platycarpa","异蒴藓属宽果异蒴藓","yì shuò xiǎn shǔ kuān guǒ yì shuò xiǎn","strange + seed (capsule) + moss | flat + fruit","rauzlsidlagdmos nujfrut","chinese","","","rauzlsidlagdmos","nujfrut"
T20171000000256,"Oligotrichum aligerum","小赤藓属高栉小赤藓","xiǎo chì xiǎn shǔ gāo zhì xiǎo chì xiǎn","few + hair | winged","cemcex doz","latin","","","cemcex","doz"
T20171000000257,"Oligotrichum crossidioides","小赤藓属花栉小赤藓","xiǎo chì xiǎn shǔ huā zhì xiǎo chì xiǎn","few + hair | fringe + resembling","cemcex dajcex","latin","","","cemcex","dajcex"
T20171000000258,"Oligotrichum falcatum","小赤藓属镰叶小赤藓","xiǎo chì xiǎn shǔ lián yè xiǎo chì xiǎn","few + hair | curved","cemcex coj","latin","","","cemcex","coj"
T20171000000260,"Oligotrichum hercynicum","小赤藓属小赤藓","xiǎo chì xiǎn shǔ xiǎo chì xiǎn","few + hair | master + dog","cemcex paiqdog","latin","","","cemcex","paiqdog"
T20171000000261,"Oligotrichum obtusatum","小赤藓属钝叶小赤藓","xiǎo chì xiǎn shǔ dùn yè xiǎo chì xiǎn","few + hair | blunted","cemcex xauq","latin","","","cemcex","xauq"
T20171000000262,"Oligotrichum semilamellatum","小赤藓属半栉小赤藓","xiǎo chì xiǎn shǔ bàn zhì xiǎo chì xiǎn","few + hair | half + plate","cemcex hafplet","latin","","","cemcex","hafplet"
T20171000000264,"Oligotrichum suzukii","小赤藓属台湾小赤藓","xiǎo chì xiǎn shǔ tái wān xiǎo chì xiǎn","few + hair | platform + bay","cemcex hoCpaid","chinese","","","cemcex","hoCpaid"
T20171000000268,"Pogonatum aloides","小金发藓属小金发藓","xiǎo jīn fà xiǎn shǔ xiǎo jīn fà xiǎn","beard | threshing floor","kogd wiqkclflor","latin","","","kogd","wiqkclflor"
T20171000000272,"Pogonatum camusii","小金发藓属穗发小金发藓","xiǎo jīn fà xiǎn shǔ suì fà xiǎo jīn fà xiǎn","beard | ear + issue","kogd nulcoq","chinese","","","kogd","nulcoq"
T20171000000274,"Pogonatum cirratum","小金发藓属刺边小金发藓","xiǎo jīn fà xiǎn shǔ cì biān xiǎo jīn fà xiǎn","beard | curled","kogd haux","latin","","","kogd","haux"
T20171000000286,"Pogonatum contortum","小金发藓属扭叶小金发藓","xiǎo jīn fà xiǎn shǔ niǔ yè xiǎo jīn fà xiǎn","beard | contorted","kogd mump","latin","","","kogd","mump"
T20171000000290,"Pogonatum dentatum","小金发藓属细疣小金发藓","xiǎo jīn fà xiǎn shǔ xì yóu xiǎo jīn fà xiǎn","beard | toothed","kogd tuc","latin","","","kogd","tuc"
T20171000000295,"Pogonatum fastigiatum","小金发藓属暖地小金发藓","xiǎo jīn fà xiǎn shǔ nuǎn dì xiǎo jīn fà xiǎn","beard | fastigiate","kogd crif","latin","","","kogd","crif"
T20171000000298,"Pogonatum inflexum","小金发藓属东亚小金发藓","xiǎo jīn fà xiǎn shǔ dōng yà xiǎo jīn fà xiǎn","beard | curved","kogd coj","latin","","","kogd","coj"
T20171000000301,"Pogonatum japonicum","小金发藓属东北小金发藓","xiǎo jīn fà xiǎn shǔ dōng běi xiǎo jīn fà xiǎn","beard | sun + begin + land","kogd sanriCland","latin","","","kogd","sanriCland"
T20171000000305,"Pogonatum microstomum","小金发藓属小口小金发藓","xiǎo jīn fà xiǎn shǔ xiǎo kǒu xiǎo jīn fà xiǎn","beard | tiny + mouth","kogd vecmuc","latin","","","kogd","vecmuc"
T20171000000315,"Pogonatum minus","小金发藓属细小金发藓","xiǎo jīn fà xiǎn shǔ xì xiǎo jīn fà xiǎn","beard | small","kogd smol","latin","","","kogd","smol"
T20171000000316,"Pogonatum neesii","小金发藓属硬叶小金发藓","xiǎo jīn fà xiǎn shǔ yìng yè xiǎo jīn fà xiǎn","beard | hard + leaf","kogd hardlif","chinese","","","kogd","hardlif"
T20171000000327,"Pogonatum nudiusculum","小金发藓属川西小金发藓","xiǎo jīn fà xiǎn shǔ chuān xī xiǎo jīn fà xiǎn","beard | ago + little","kogd gegcij","latin","","","kogd","gegcij"
T20171000000334,"Pogonatum pergranulatum","小金发藓属双珠小金发藓","xiǎo jīn fà xiǎn shǔ shuāng zhū xiǎo jīn fà xiǎn","beard | double + pearl","kogd suqkblaz","chinese","","granular","kogd","suqkblaz"
T20171000000335,"Pogonatum perichaetiale","小金发藓属全缘小金发藓","xiǎo jīn fà xiǎn shǔ quán yuán xiǎo jīn fà xiǎn","beard | around + bristle","kogd ginzukt","latin","","","kogd","ginzukt"
T20171000000340,"Pogonatum proliferum","小金发藓属南亚小金发藓","xiǎo jīn fà xiǎn shǔ nán yà xiǎo jīn fà xiǎn","beard | proliferous","kogd kwom","latin","","","kogd","kwom"
T20171000000346,"Pogonatum sinense","小金发藓属树形小金发藓","xiǎo jīn fà xiǎn shǔ shù xíng xiǎo jīn fà xiǎn","beard | middle + land","kogd modland","latin","","","kogd","modland"
T20171000000348,"Pogonatum spinulosum","小金发藓属苞叶小金发藓","xiǎo jīn fà xiǎn shǔ bāo yè xiǎo jīn fà xiǎn","beard | thorny","kogd corn","latin","","","kogd","corn"
T20171000000352,"Pogonatum subfuscatum","小金发藓属半栉小金发藓","xiǎo jīn fà xiǎn shǔ bàn zhì xiǎo jīn fà xiǎn","beard | under + dark","kogd mixram","latin","","","kogd","mixram"
T20171000000355,"Pogonatum tahitense","小金发藓属海岛小金发藓","xiǎo jīn fà xiǎn shǔ hǎi dǎo xiǎo jīn fà xiǎn","beard | sea + island","kogd moClizg","chinese","","","kogd","moClizg"
T20171000000356,"Pogonatum urnigerum","小金发藓属疣小金发藓","xiǎo jīn fà xiǎn shǔ yóu xiǎo jīn fà xiǎn","beard | urn-bearing","kogd laindbav","latin","","","kogd","laindbav"
T20171000000367,"Polytrichastrum alpinum","拟金发藓属拟金发藓","nǐ jīn fà xiǎn shǔ nǐ jīn fà xiǎn","many + hair | tall + mountain + gold + issue + moss","lixcex tolmantgumcoqmos","folk","","","lixcex","tolmantgumcoqmos"
T20171000000374,"Polytrichastrum emodi","拟金发藓属厚栉拟金发藓","nǐ jīn fà xiǎn shǔ hòu zhì nǐ jīn fà xiǎn","many + hair | mountain range","lixcex mantrendj","latin","","","lixcex","mantrendj"
T20171000000376,"Polytrichastrum formosum","拟金发藓属台湾拟金发藓","nǐ jīn fà xiǎn shǔ tái wān nǐ jīn fà xiǎn","many + hair | beautiful","lixcex haj","latin","","","lixcex","haj"
T20171000000385,"Polytrichastrum longisetum","拟金发藓属细叶拟金发藓","nǐ jīn fà xiǎn shǔ xì yè nǐ jīn fà xiǎn","many + hair | long-haired","lixcex loqcex","latin","","","lixcex","loqcex"
T20171000000388,"Polytrichastrum ohioense","拟金发藓属多形拟金发藓","nǐ jīn fà xiǎn shǔ duō xíng nǐ jīn fà xiǎn","many + hair | many + shape","lixcex lixfiq","chinese","","","lixcex","lixfiq"
T20171000000391,"Polytrichastrum papillatum","拟金发藓属莓疣拟金发藓","nǐ jīn fà xiǎn shǔ méi yóu nǐ jīn fà xiǎn","many + hair | mammillate","lixcex smolbamp","latin","","","lixcex","smolbamp"
T20171000000395,"Polytrichastrum sexangulare","拟金发藓属长栉拟金发藓","nǐ jīn fà xiǎn shǔ cháng zhì nǐ jīn fà xiǎn","many + hair | six + angular","lixcex kongec","latin","","","lixcex","kongec"
T20171000000400,"Polytrichastrum xanthopilum","拟金发藓属黄尖拟金发藓","nǐ jīn fà xiǎn shǔ huáng jiān nǐ jīn fà xiǎn","many + hair | river + hair","lixcex wigdcex","latin","","","lixcex","wigdcex"
T20171000000404,"Polytrichum commune","金发藓属金发藓","jīn fà xiǎn shǔ jīn fà xiǎn","many + hair | common","lixcex saus","latin","","","lixcex","saus"
T20171000000407,"Polytrichum juniperinum","金发藓属桧叶金发藓","jīn fà xiǎn shǔ guì yè jīn fà xiǎn","many + hair | juniper-tree + whether","lixcex smoqtoknas","latin","","","lixcex","smoqtoknas"
T20171000000409,"Polytrichum piliferum","金发藓属毛尖金发藓","jīn fà xiǎn shǔ máo jiān jīn fà xiǎn","many + hair | hair + to bear","lixcex cexritbav","latin","","","lixcex","cexritbav"
T20171000000411,"Polytrichum sphaerothecium","金发藓属球蒴金发藓","jīn fà xiǎn shǔ qiú shuò jīn fà xiǎn","many + hair | ball + storage space","lixcex balhonpakpes","latin","","","lixcex","balhonpakpes"
T20171000000414,"Polytrichum strictum","金发藓属直叶金发藓","jīn fà xiǎn shǔ zhí yè jīn fà xiǎn","many + hair | compressed","lixcex presnuj","latin","","","lixcex","presnuj"
T20171000000418,"Polytrichum swartzii","金发藓属微齿金发藓","jīn fà xiǎn shǔ wēi chǐ jīn fà xiǎn","many + hair | small + tooth","lixcex smoltuc","chinese","","","lixcex","smoltuc"
T20171000000423,"Psilopilum cavifolium","拟赤藓属全缘拟赤藓","nǐ chì xiǎn shǔ quán yuán nǐ chì xiǎn","slender + hair | hollow + leaf","slazcex rezglif","latin","","","slazcex","rezglif"
T20171000000429,"Buxbaumia minakatae","烟杆藓属筒蒴烟杆藓","yān gǎn xiǎn shǔ tǒng shuò yān gǎn xiǎn","smoke + pole + moss | tube + seed (capsule)","smoksgoCmos tubsidlagd","chinese","","","smoksgoCmos","tubsidlagd"
T20171000000430,"Buxbaumia punctata","烟杆藓属花斑烟杆藓","yān gǎn xiǎn shǔ huā bān yān gǎn xiǎn","smoke + pole + moss | punctuated","smoksgoCmos flog","chinese","","","smoksgoCmos","flog"
T20171000000431,"Buxbaumia symmetrica","烟杆藓属圆蒴烟杆藓","yān gǎn xiǎn shǔ yuán shuò yān gǎn xiǎn","smoke + pole + moss | symmetric","smoksgoCmos swux","chinese","","","smoksgoCmos","swux"
T20171000000435,"Diphyscium chiapense","短颈藓属","duǎn jǐng xiǎn shǔ","precious stone + knowing | just + turban + this","ragdstonznom djastxaindkim","chinese","","","ragdstonznom","djastxaindkim"
T20171000000438,"Diphyscium foliosum","短颈藓属短颈藓","duǎn jǐng xiǎn shǔ duǎn jǐng xiǎn","precious stone + knowing | leafy","ragdstonznom lif","latin","","","ragdstonznom","lif"
T20171000000445,"Diphyscium fulvifolium","短颈藓属东亚短颈藓","duǎn jǐng xiǎn shǔ dōng yà duǎn jǐng xiǎn","precious stone + knowing | glowing + leaf","ragdstonznom suxlif","latin","","","ragdstonznom","suxlif"
T20171000000449,"Diphyscium longifolium","短颈藓属齿边短颈藓","duǎn jǐng xiǎn shǔ chǐ biān duǎn jǐng xiǎn","precious stone + knowing | long + leaf","ragdstonznom loqlif","latin","","","ragdstonznom","loqlif"
T20171000000465,"Diphyscium lorifolium","短颈藓属厚叶短颈藓","duǎn jǐng xiǎn shǔ hòu yè duǎn jǐng xiǎn","precious stone + knowing | thong + leaf","ragdstonznom sajlstriplif","latin","","","ragdstonznom","sajlstriplif"
T20171000000467,"Diphyscium mucronifolium","短颈藓属卷叶短颈藓","duǎn jǐng xiǎn shǔ juǎn yè duǎn jǐng xiǎn","precious stone + knowing | point + leaf","ragdstonznom leClif","latin","","","ragdstonznom","leClif"
T20171000000479,"Diphyscium satoi","短颈藓属小短颈藓","duǎn jǐng xiǎn shǔ xiǎo duǎn jǐng xiǎn","precious stone + knowing | small","ragdstonznom smol","chinese","","","ragdstonznom","smol"
T20171000000483,"Timmia austriaca","美姿藓属南方美姿藓","měi zī xiǎn shǔ nán fāng měi zī xiǎn","beautiful + one's manner + moss | south + square","hajkwiCvubmos lutgaub","chinese","","","hajkwiCvubmos","lutgaub"
T20171000000485,"Timmia megapolitana","美姿藓属美姿藓","měi zī xiǎn shǔ měi zī xiǎn","beautiful + one's manner + moss | great + grey + Don","hajkwiCvubmos gretgaj","chinese","","","hajkwiCvubmos","gretgaj"
T20171000000495,"Timmia norvegica","美姿藓属挪威美姿藓","měi zī xiǎn shǔ nuó wēi měi zī xiǎn","beautiful + one's manner + moss | move + pomp","hajkwiCvubmos muvsnuv","chinese","","","hajkwiCvubmos","muvsnuv"
T20171000000504,"Timmia sphaerocarpa","美姿藓属球蒴美姿藓","měi zī xiǎn shǔ qiú shuò měi zī xiǎn","beautiful + one's manner + moss | ball + fruit","hajkwiCvubmos balfrut","chinese","","","hajkwiCvubmos","balfrut"
T20171000000508,"Encalypta alpina","大帽藓属高山大帽藓","dà mào xiǎn shǔ gāo shān dà mào xiǎn","enfolding | tall + mountain","mug tolmant","chinese","","","mug","tolmant"
T20171000000511,"Encalypta asiatica","大帽藓属贯顶大帽藓","dà mào xiǎn shǔ guàn dǐng dà mào xiǎn","enfolding | pierce + top","mug pauCxid","chinese","","","mug","pauCxid"
T20171000000512,"Encalypta buxbaumioida","大帽藓属拟烟杆大帽藓","dà mào xiǎn shǔ nǐ yān gǎn dà mào xiǎn","enfolding | like + smoke + pole","mug smoksgoC","chinese","","","mug","smoksgoC"
T20171000000513,"Encalypta ciliata","大帽藓属大帽藓","dà mào xiǎn shǔ dà mào xiǎn","enfolding | Having cilia","mug cexsmol","latin","","","mug","cexsmol"
T20171000000517,"Encalypta rhaptocarpa","大帽藓属尖叶大帽藓","dà mào xiǎn shǔ jiān yè dà mào xiǎn","enfolding | to sew + fruit","mug ritfegdfrut","latin","","","mug","ritfegdfrut"
T20171000000518,"Encalypta sibirica","大帽藓属西伯利亚大帽藓","dà mào xiǎn shǔ xī bó lì yà dà mào xiǎn","enfolding | cold + north + forest","mug buClyinhaim","latin","","","mug","buClyinhaim"
T20171000000520,"Encalypta sinica","大帽藓属中华大帽藓","dà mào xiǎn shǔ zhōng huá dà mào xiǎn","enfolding | middle + land","mug modland","latin","","","mug","modland"
T20171000000521,"Encalypta spathulata","大帽藓属剑叶大帽藓","dà mào xiǎn shǔ jiàn yè dà mào xiǎn","enfolding | spoon-shaped","mug spunfiq","latin","","","mug","spunfiq"
T20171000000522,"Encalypta streptocarpa","大帽藓属扭蒴大帽藓","dà mào xiǎn shǔ niǔ shuò dà mào xiǎn","enfolding | twisted + part","mug twistpar","latin","","","mug","twistpar"
T20171000000523,"Encalypta tianschanica","大帽藓属天山大帽藓","dà mào xiǎn shǔ tiān shān dà mào xiǎn","enfolding | sky + mountain","mug xumzmant","latin","","","mug","xumzmant"
