rock,certainty,syllables,invented,tune,english
tita,held,2,1,des,number
tita,held,2,1,dic,death
tita,held,2,1,sez,sir
tita,held,2,1,siC,hush
tita,held,2,1,tec,fourteen
tita,held,2,1,ted,tail
tita,held,2,1,tiz,ellipse
tuka,held,2,1,duj,do
tuka,held,2,1,sux,wash
tuka,held,2,1,tox,text
tuka,held,2,1,tug,drink
tuka,held,2,1,zox,sense
tuma,held,2,1,Cum,zoom
tuma,held,2,1,dum,negative
tuma,held,2,1,sum,drug
tuma,held,2,1,tom,atom
tuma,held,2,1,zom,so/great
tuna,held,2,1,Col,value
tuna,held,2,1,Con,transition
tuna,held,2,1,coq,eleven
tuna,held,2,1,cor,file (computer)
tuna,held,2,1,cul,still (time)
tuna,held,2,1,cun,wind (air)
tuna,held,2,1,Cur,other
tuna,held,2,1,dol,delete
tuna,held,2,1,don,join (to one)
tuna,held,2,1,duq,minute
tuna,held,2,1,dur,door
tuna,held,2,1,sol,soul
tuna,held,2,1,son,store
tuna,held,2,1,suq,top
tuna,held,2,1,sur,assert
tuna,held,2,1,toq,type
tuna,held,2,1,tor,before
tuna,held,2,1,tul,tool
tuna,held,2,1,tun,agent (one who does x)
tuna,held,2,1,zoq,presence
tuna,held,2,1,zor,fall
tuna,held,2,1,zul,animal
tuna,held,2,1,zun,zone
tupa,held,2,1,Cop,six
tupa,held,2,1,cup,above (super)/hover
tupa,held,2,1,cuv,field (ether)
tupa,held,2,1,dof,previous
tupa,held,2,1,dop,tree
tupa,held,2,1,sop,so/transition
tupa,held,2,1,sov,observe
tupa,held,2,1,tob,tube
tupa,held,2,1,tuf,good
tupa,held,2,1,zuf,self (auto-)
tupa,held,2,1,zup,zap
tuta,held,2,1,cot,mud
tuta,held,2,1,Coz,except
tuta,held,2,1,Cud,life
tuta,held,2,1,doz,here
tuta,held,2,1,duc,emotion
tuta,held,2,1,suC,three
tuta,held,2,1,sud,mystery
tuta,held,2,1,toC,set (get)
tuta,held,2,1,tuz,because
tuta,held,2,1,zot,identity
hakaka,held,3,1,hagak,hack (work)
hakaka,held,3,1,hajak,hijack
hakaka,held,3,1,hakax,actualize
hakama,held,3,1,hakam,establish
hakama,held,3,1,haxam,extermination
hakana,held,3,1,hagal,agriculture
hakana,held,3,1,hagan,icon
hakana,held,3,1,hakar,recognition
hakana,held,3,1,haxar,molt
hakana,held,3,1,hayar,entrust
hakapa,held,3,1,hagav,heel
hakata,held,3,1,hagas,axon
hakata,held,3,1,hakaC,captivate
hakata,held,3,1,hakad,tie
hakata,held,3,1,hayat,allocate
hakika,held,3,1,hagej,engage
hakika,held,3,1,haxix,implant
hakima,held,3,1,hagem,exaggeration
hakima,held,3,1,hakim,enchant
hakima,held,3,1,haxim,omit
hakina,held,3,1,hagin,agony
hakina,held,3,1,haken,choke
hakina,held,3,1,hakiq,subdue
hakina,held,3,1,haxen,lean
hakipa,held,3,1,hagif,enforcement
hakipa,held,3,1,hagip,boost
hakipa,held,3,1,hakep,equip
hakipa,held,3,1,hakev,activate
hakipa,held,3,1,haxep,inspiration
hakita,held,3,1,haged,scar
hakita,held,3,1,hagiz,exaggerate
hakita,held,3,1,hakes,access
hakita,held,3,1,hakit,acquit
hakita,held,3,1,haxez,libel
hakita,held,3,1,haxit,reproduce
hakuka,held,3,1,hagox,serve
hakuka,held,3,1,hakok,engraving
hakuka,held,3,1,haxok,launch of new product
hakuma,held,3,1,hagom,axiom
hakuma,held,3,1,hakum,accompany
hakuna,held,3,1,hagor,hag
hakuna,held,3,1,hagul,haggle
hakuna,held,3,1,hagun,auction
hakuna,held,3,1,hajor,aperture
hakuna,held,3,1,hakol,axel
hakuna,held,3,1,hakon,meadow
hakuna,held,3,1,hakur,acquaint
hakuna,held,3,1,haxol,cooperate
hakuna,held,3,1,haxon,lend
hakuna,held,3,1,haxur,usher
hakuna,held,3,1,hayol,antler
hakupa,held,3,1,hagob,hexapoda
hakupa,held,3,1,hakof,seizure (taking)
hakupa,held,3,1,hakub,obstacle
hakupa,held,3,1,haxov,reply
hakuta,held,3,1,haguz,exert
hakuta,held,3,1,hakoz,extol
hakuta,held,3,1,hayud,allude
hamana,held,3,1,hamal,queue
hamana,held,3,1,haman,amount
hamapa,held,3,1,hamaf,amplify
hamapa,held,3,1,hamap,ampere (electric current)
hamata,held,3,1,hamaz,amaze
hamika,held,3,1,hamex,ambush
hamika,held,3,1,hamig,ungulate
hamima,held,3,1,hamem,stun
hamina,held,3,1,hamin,amend
hamipa,held,3,1,hamiv,envy
hamita,held,3,1,hamet,hum
hamita,held,3,1,hamis,melt
hamuka,held,3,1,hamoj,enjoy
hamuka,held,3,1,hamuk,encode
hamuma,held,3,1,hamom,hmm
hamuna,held,3,1,hamor,hamper
hamuna,held,3,1,hamul,embolden
hamuna,held,3,1,hamun,crowd/mob
hamupa,held,3,1,hamuv,invert
hamuta,held,3,1,hamod,instigate
hamuta,held,3,1,hamus,hummus
hanaka,held,3,1,halax,hair
hanaka,held,3,1,hanaj,angel
hanama,held,3,1,halam,hue
hanama,held,3,1,hanam,entrench
hanana,held,3,1,halar,luxury
hanana,held,3,1,hanaq,mount
hanana,held,3,1,hanar,inherit
hanana,held,3,1,haral,convert
hanana,held,3,1,haran,heron
hanapa,held,3,1,harap,architect
hanapa,held,3,1,harav,expand
hanata,held,3,1,halad,elm
hanata,held,3,1,hanac,enthral
hanata,held,3,1,hanad,annoy
hanata,held,3,1,haras,grip
hanika,held,3,1,halej,allege
hanika,held,3,1,halig,mock
hanika,held,3,1,hanix,resuscitate
hanika,held,3,1,hareg,irritate
hanika,held,3,1,harix,arch
hanima,held,3,1,hanim,diminish
hanima,held,3,1,harim,impress
hanina,held,3,1,halin,cushy
hanina,held,3,1,hanen,onion
hanina,held,3,1,haniq,hunch
hanina,held,3,1,haren,harness
hanina,held,3,1,hariq,discourage
hanipa,held,3,1,halif,suit (clothing)
hanipa,held,3,1,hanef,infect
hanipa,held,3,1,hanep,encompass
hanipa,held,3,1,haref,artifact (museum object)
hanipa,held,3,1,harib,attribute
hanita,held,3,1,halec,ethnicity
hanita,held,3,1,halet,haul
hanita,held,3,1,haliz,always
hanita,held,3,1,hanez,house
hanita,held,3,1,hanit,initialize
hanita,held,3,1,harez,iris
hanuka,held,3,1,halok,law
hanuka,held,3,1,hanok,dedicate
hanuka,held,3,1,hanux,insure
hanuka,held,3,1,harox,dull
hanuka,held,3,1,haruk,squeak
hanuma,held,3,1,halum,helm
hanuma,held,3,1,hanum,honeycomb
hanuma,held,3,1,harom,forbidden/taboo
hanuna,held,3,1,halol,permissible
hanuna,held,3,1,halon,alone
hanuna,held,3,1,halur,allure
hanuna,held,3,1,hanol,annul
hanuna,held,3,1,hanon,park (vehicle)
hanuna,held,3,1,hanuq,uh
hanuna,held,3,1,hanur,endure
hanuna,held,3,1,haroq,along
hanuna,held,3,1,haror,mull
hanuna,held,3,1,harul,habit
hanuna,held,3,1,harun,arrow
hanupa,held,3,1,halof,option
hanupa,held,3,1,halub,protein
hanupa,held,3,1,hanov,envelope
hanupa,held,3,1,hanub,enable
hanuta,held,3,1,haloz,hell (emphasize surprise)
hanuta,held,3,1,hanos,honest
hanuta,held,3,1,harod,arid
hanuta,held,3,1,haruz,arouse
hapaka,held,3,1,hapaj,object (argument)
hapaka,held,3,1,havax,overshadow
hapana,held,3,1,habal,rope
hapana,held,3,1,haban,happen
hapana,held,3,1,hafal,encourage
hapana,held,3,1,hafan,often
hapana,held,3,1,hapar,oppose/against
hapana,held,3,1,havar,shirk
hapapa,held,3,1,hafaf,huff
hapata,held,3,1,habaz,abstract
hapata,held,3,1,hafaz,bomb
hapata,held,3,1,hapac,empathy
hapata,held,3,1,hapat,habituate
hapata,held,3,1,havat,constitute
hapika,held,3,1,habex,abolish
hapika,held,3,1,habik,embrace
hapika,held,3,1,hafex,thaw
hapika,held,3,1,hafig,deposit
hapika,held,3,1,hapix,hatch
hapina,held,3,1,habin,hibernate
hapina,held,3,1,hafin,offend
hapina,held,3,1,hapen,append
hapina,held,3,1,hapiq,hype
hapina,held,3,1,haven,offence
hapipa,held,3,1,habiv,cherish
hapita,held,3,1,habeC,applaud
hapita,held,3,1,habis,obsess
hapita,held,3,1,hafet,curb
hapita,held,3,1,hafis,fuss
hapita,held,3,1,hapez,appease
hapita,held,3,1,haves,oblation
hapuka,held,3,1,haboj,abjure
hapuka,held,3,1,hafuk,production
hapuna,held,3,1,habor,abhor
hapuna,held,3,1,habul,hobble
hapuna,held,3,1,hafor,affirm
hapuna,held,3,1,haful,discriminate
hapuna,held,3,1,hafun,refer
hapuna,held,3,1,hapol,appall
hapuna,held,3,1,hapon,appoint
hapuna,held,3,1,hapur,uproot
hapuna,held,3,1,havol,highlight
hapuna,held,3,1,havon,offense
hapuna,held,3,1,havur,avert
hapupa,held,3,1,habup,abrupt
haputa,held,3,1,habot,overlap
haputa,held,3,1,habus,abuse
haputa,held,3,1,hafod,conserve
haputa,held,3,1,hafus,efficacy
haputa,held,3,1,hapos,episode
haputa,held,3,1,hapud,aptitude
hataka,held,3,1,hadax,lens
hataka,held,3,1,hazag,closure
hatama,held,3,1,hadam,admire
hatama,held,3,1,hasam,placement
hatana,held,3,1,hacal,athlete
hatana,held,3,1,haCar,cautious
hatana,held,3,1,hadar,attire
hatana,held,3,1,hasar,ridiculous
hatana,held,3,1,hatal,shade
hatana,held,3,1,hatan,attend
hatana,held,3,1,hazal,assault
hatana,held,3,1,hazan,invitation
hatapa,held,3,1,hadab,outburst
hatapa,held,3,1,hasab,ascribe
hatapa,held,3,1,hatap,adapt
hatapa,held,3,1,hatav,advice
hatata,held,3,1,hatas,offer
hatika,held,3,1,haCek,proficient
hatika,held,3,1,hacik,authenticate
hatika,held,3,1,hadek,adequate
hatika,held,3,1,hadij,ideology
hatika,held,3,1,hasek,explore
hatika,held,3,1,hasix,especially
hatika,held,3,1,hatej,adjust
hatika,held,3,1,hatig,demonstrate
hatika,held,3,1,hazik,remind
hatima,held,3,1,hadim,admission
hatima,held,3,1,hasim,consent
hatima,held,3,1,hatem,utmost
hatina,held,3,1,haCen,announce
hatina,held,3,1,haden,audition
hatina,held,3,1,hasen,essay
hatina,held,3,1,hasiq,assay
hatina,held,3,1,hateq,salute
hatina,held,3,1,hatin,attain
hatina,held,3,1,hazin,invite
hatipa,held,3,1,hadev,non-dual
hatipa,held,3,1,hasef,expose
hatipa,held,3,1,hatif,advocate
hatipa,held,3,1,hazif,frown
hatita,held,3,1,haCid,acid
hatita,held,3,1,hacis,assist
hatita,held,3,1,hades,myrtle
hatita,held,3,1,hadic,news
hatita,held,3,1,hadid,indeed
hatita,held,3,1,hasid,piety
hatita,held,3,1,hatet,pry
hatita,held,3,1,hatiz,squirt
hatuka,held,3,1,hadog,hound
hatuka,held,3,1,haduj,hedge
hatuka,held,3,1,hasog,recall
hatuka,held,3,1,hatox,hole
hatuka,held,3,1,hatuk,attack
hatuma,held,3,1,hadum,adamant
hatuma,held,3,1,hasum,assume
hatuma,held,3,1,hatom,automatic
hatuma,held,3,1,hazom,awe
hatuna,held,3,1,hacor,author
hatuna,held,3,1,haCur,rigorous
hatuna,held,3,1,hadol,idle
hatuna,held,3,1,hadon,adorn
hatuna,held,3,1,hadur,adore
hatuna,held,3,1,hasol,hustle
hatuna,held,3,1,hason,astound
hatuna,held,3,1,hasur,aspire
hatuna,held,3,1,hatoq,estuary
hatuna,held,3,1,hator,opt
hatuna,held,3,1,hatul,entail
hatuna,held,3,1,hatun,hot
hatuna,held,3,1,hazor,declaration
hatuna,held,3,1,hazul,exclude
hatupa,held,3,1,hadof,repel
hatuta,held,3,1,hacot,arrest
hatuta,held,3,1,hadoz,odds
hatuta,held,3,1,hadut,tilt
hatuta,held,3,1,hasos,assess
hatuta,held,3,1,hasut,expert
hatuta,held,3,1,hatoC,festival
hatuta,held,3,1,hatod,outlaw
hatuta,held,3,1,hatuz,petition
hatuta,held,3,1,hazot,rave
hatuta,held,3,1,hazuz,duration
hikaka,held,3,1,hekak,hour
hikaka,held,3,1,hexak,conviction
hikaka,held,3,1,hiyak,interact
hikama,held,3,1,higam,income
hikana,held,3,1,hegar,acre
hikana,held,3,1,hekal,equal
hikana,held,3,1,hekan,account
hikana,held,3,1,hexal,implication
hikana,held,3,1,heyan,instance
hikana,held,3,1,higar,eager
hikana,held,3,1,hikal,hall
hikana,held,3,1,hikan,squid
hikana,held,3,1,hixal,initial (beginning)
hikana,held,3,1,hiyan,incense (smell)
hikapa,held,3,1,hegab,hunk
hikapa,held,3,1,hekav,scorpion
hikata,held,3,1,hekas,excite
hikata,held,3,1,higat,egg
hikata,held,3,1,hikas,excess
hikika,strained,3,1,hegik,repress
hikima,strained,3,1,hexim,reconcile
hikina,strained,3,1,hekiq,extinct
hikina,strained,3,1,higen,eagle (bird)
hikita,strained,3,1,hegiz,exut
hikita,strained,3,1,hekid,burden
hikita,strained,3,1,higez,vanish
hikuka,held,3,1,hekox,imperishable
hikuka,held,3,1,heyuk,include
hikuka,held,3,1,hikox,anxious
hikuka,held,3,1,hiyug,integral
hikuma,held,3,1,hegum,exhume
hikuna,held,3,1,hegol,exhale
hikuna,held,3,1,hegon,expanse
hikuna,held,3,1,hegur,anchor
hikuna,held,3,1,hekor,characteristic
hikuna,held,3,1,hekul,excel
hikuna,held,3,1,hekun,acorn
hikuna,held,3,1,higol,bed
hikuna,held,3,1,higon,igneous
hikuna,held,3,1,higur,fist
hikuna,held,3,1,hikor,incur
hikuna,held,3,1,hikun,argue
hikuna,held,3,1,hixor,supreme
hikuna,held,3,1,hixul,cluster
hikuna,held,3,1,hiyor,endorse
hikupa,held,3,1,hekob,incubate
hikupa,held,3,1,higop,excerpt
hikupa,held,3,1,hikup,expire
hikupa,held,3,1,hixup,hospital
hikuta,held,3,1,hegos,engross
hikuta,held,3,1,hegut,exhort
hikuta,held,3,1,hekuz,excrete
hikuta,held,3,1,heyod,elude
hikuta,held,3,1,higos,extort
hikuta,held,3,1,hikot,ego
hikuta,held,3,1,hiyus,inscribe
himaka,held,3,1,hemax,incline
himaka,held,3,1,himax,emission
himama,held,3,1,hemam,embalm
himama,held,3,1,himam,nothing
himana,held,3,1,hemaq,hem
himana,held,3,1,hemar,henry (measurement)
himana,held,3,1,himar,immerse
himapa,held,3,1,himab,emboss
himata,held,3,1,hemad,humid
himika,strained,3,1,himek,angry
himina,strained,3,1,hemin,impinge
himina,strained,3,1,himen,imply
himipa,strained,3,1,hemip,impede
himipa,strained,3,1,hemiv,implore
himipa,strained,3,1,himev,innovate
himita,strained,3,1,hemis,invent
himita,strained,3,1,himes,hemp
himuka,held,3,1,hemok,handcuff
himuka,held,3,1,himog,immigrate
himuka,held,3,1,himuj,ammunition
himuna,held,3,1,hemol,emerald
himuna,held,3,1,hemon,confidence
himuna,held,3,1,hemur,insert
himuna,held,3,1,himol,impulse
himuna,held,3,1,himon,indent
himuna,held,3,1,himur,impart
himupa,held,3,1,hemof,unfurl
himupa,held,3,1,hemub,embroider
himupa,held,3,1,himof,inflame
himuta,held,3,1,hemoz,amuse
himuta,held,3,1,himut,emit
hinaka,held,3,1,helak,elect
hinaka,held,3,1,henak,enact
hinaka,held,3,1,heraj,heritage
hinaka,held,3,1,hilag,integrate
hinaka,held,3,1,hinag,giant
hinama,held,3,1,heram,registration
hinama,held,3,1,hiram,flounder (fish)
hinana,held,3,1,helal,alcohol
hinana,held,3,1,helan,island
hinana,held,3,1,henal,analog
hinana,held,3,1,henan,bliss
hinana,held,3,1,hinal,inlay
