           	fun       	within (endo-)
           	fun       	would
           	fug       	figure (it out)
           	fup       	borrow
           	fus       	discontinuous
           	fuz       	fusion
           	fuj       	refuge
           	ful       	fuel
           	fur       	fail
           	vim       	way/style
           	vin       	fill (-full)
           	viq       	everything
           	vid       	veer
number     	vip       	six
           	vit       	information
           	vis       	see
           	vix       	preserve
           	vic       	bit
           	vil       	manifest
code       	veb       	byte
           	vek       	filter
           	vex       	reveal
           	vab       	vibe
           	vak       	multiply
           	vas       	aspect
           	vax       	it
           	val       	value
           	von       	sin
           	vod       	void
           	vot       	vote
           	vov       	axis
           	vor
            moc         mouth
           	vun       	on
           	vuq       	foundation
           	vus
           	vuc       	catch
           	vul       	via
           	zin
           	ziq
           	zig
           	zip       	graph
           	zil       	perspective
           	zir       	pertaining to x (pleasantry)
color      	zet       	olive (color)
           	zab
           	zap
           	zav
           	zar       	vowel
           	zon       	zone
           	zok       	try
           	zox       	sense
           	zum
           	zub
           	zuk       	where
           	zus       	experience
           	zuz
           	zur       	fall
           	jin       	paradise
           	jit       	digit
            Cad         white
           	jat       	throw
           	jaq       	count
           	jas       	just (close-focus)
           	jul       	flow
color      	xid       	gray
           	xip       	imagine
           	xit
code       	xik       	computation
           	xen
           	xed       	should
number     	xab       	seven
           	xal
           	xok
           	xud       	quiet
           	xut
           	xut
           	xul       	subtract
           	cet       	get
           	xaq       	life
           	cak
code       	cok
           	cub
number     	cuk       	eleven
code       	cux       	key
           	liq
            sim         simulate
           	lid       	lead
           	lij       	orient
code       	bun       	boolean
           	lep       	push
           	lek       	collect
           	leC       	point
           	lam       	real
           	lan       	land
           	lak       	like
           	lav       	love
           	laz       	very much of (-some)
           	lax       	add
           	lal       	y-axis
           	lon       	loan
           	log
           	lod       	load
           	lof       	error
           	lot       	lot (land)
           	los       	less of (-less) empty
code       	sox       	string (computing)
code       	lup       	loop
           	luk       	look
           	luj       	logic
           	rin       	run
           	rid       	read
           	rip
           	xis       	express
           	riv       	to/arrive
           	riz       	rise
           	ral       	relation
code       	roc       	algorithm
           	reg
           	ref       	success
code       	rex       	array
           	reC       	progress
           	raq       	wrong
           	rad         ride
           	rap
           	rat       	write
           	ras       	in
           	raf       	reference
           	raz       	resonate
           	Cam       	rhythm
           	ron       	environment
number     	rog       	thirteen
color      	roz       	rose
           	rum       	realm
           	run       	glyph
           	rut       	this
           	rug       	update
           	rub       	local
sound      	ruz       	consonant
           	yiq       	impermanent
           	yix       	something
           	yev       	sort
           	yaq       	permanent
           	yad       	away
           	yap       	yep
           	yas       	way
           	yaj       	measure
color      	yal       	turquoise
           	yog       	practice of focusing on x
           	yov       	of
           	yol
           	yut       	yet
           	yuv       	view
           	yuc       	with (con-)
math       	yul
           	Ciz       	kaledoscope
           	Cev       	without
           	Con       	than/compare
           	Cas       	thus
           	Car       	there (abstract reference)
           	Cog       	though/regard
           	Coz       	except
