term,parts,how
entry,enter + like,affix
equal,equate + like,affix
equality,equal + nature,affix
equation,equate + act,affix
equator,equate + agent,affix
exactly,exact + manner,affix
exception,except + act,affix
excessive,excess + like,affix
excited,excite + done,affix
exhaustion,exhaust + act,affix
existence,exist + act,affix
expectation,expect + act,affix
expensive,expense + like,affix
explanation,explain + act,affix
extinction,extinct + act,affix
facility,facilitate + like,affix
faction,face + act,affix
factory,factor + like,affix
fairness,fair + nature,affix
faithful,faith + full,affix
farmer,farm + agent,affix
fastener,fasten + agent,affix
faster,fast + agent,affix
featuring,feature + act,affix
feeler,feel + agent,affix
feeling,feel + act,affix
fertilize,fertile + make,affix
fibrous,fiber + like,affix
filthy,filth + like,affix
finance,fin + act,affix
finish,fin + like,affix
fisher,fish + agent,affix
fixed,fix + done,affix
flexible,flex + able,affix
floater,float + agent,affix
follower,follow + agent,affix
foolish,fool + like,affix
forbidden,forbid + make,affix
forced,force + done,affix
forceful,force + full,affix
foreigner,foreign + agent,affix
former,form + agent,affix
fortify,fort + make,affix
foundation,found + act,affix
freedom,free + state,affix
friendly,friend + manner,affix
frighten,fright + make,affix
fruitful,fruit + full,affix
funny,fun + like,affix
furious,fur + like,affix
generalize,general + make,affix
generator,generate + agent,affix
giver,give + agent,affix
goddess,god + female,affix
government,govern + act,affix
graceful,grace + full,affix
gradient,grade + agent,affix
grainy,grain + like,affix
graphic,graph + like,affix
gratify,grate + make,affix
gray,graze + like,affix
greedy,greed + like,affix
guilty,guilt + like,affix
hairy,hair + like,affix
handy,hand + like,affix
harden,hard + make,affix
harmful,harm + full,affix
hazy,haze + like,affix
header,head + agent,affix
healthy,health + like,affix
helper,help + agent,affix
heroic,hero + like,affix
hesitant,hesitate + agent,affix
hinder,hind + agent,affix
holder,hold + agent,affix
honesty,honest + like,affix
hopeful,hope + full,affix
humanity,human + nature,affix
humidity,humid + nature,affix
humiliation,humiliate + act,affix
hungry,hunger + like,affix
hunter,hunt + agent,affix
hurtful,hurt + full,affix
identifier,identify + agent,affix
ignorant,ignore + agent,affix
illness,ill + nature,affix
imaginary,imagine + like,affix
imagination,imagine + act,affix
imitation,imitate + act,affix
important,import + agent,affix
impulsive,impulse + like,affix
infection,infect + act,affix
inferior,infer + agent,affix
inflection,inflect + act,affix
informal,inform + like,affix
information,inform + act,affix
inheritance,inherit + act,affix
initial,initiate + like,affix
injury,injure + like,affix
inner,inn + agent,affix
inquiry,inquire + like,affix
instruction,instruct + act,affix
insulating,insulate + act,affix
insulator,insulate + agent,affix
integrity,integrate + nature,affix
intensity,intense + nature,affix
intention,intent + act,affix
intentional,intention + like,affix
interesting,interest + act,affix
interpretation,interpret + act,affix
investigation,investigate + act,affix
irony,iron + like,affix
jealousy,jealous + like,affix
justify,just + make,affix
keeper,keep + agent,affix
keeping,keep + act,affix
lacking,lack + act,affix
lager,lag + agent,affix
latent,late + agent,affix
lawful,law + full,affix
leader,lead + agent,affix
learner,learn + agent,affix
legacy,leg + nature,affix
lengthen,length + make,affix
lessen,less + make,affix
lesser,less + agent,affix
lighten,light + make,affix
likely,like + manner,affix
linear,line + like,affix
lining,line + act,affix
liter,lice + agent,affix
literal,liter + like,affix
liver,live + agent,affix
living,live + act,affix
location,locate + act,affix
logic,log + like,affix
logical,log + like,affix
lonely,lone + manner,affix
lustful,lust + full,affix
lyric,lyre + like,affix
magician,magic + agent,affix
magnetic,magnet + like,affix
magnetism,magnet + practice,affix
maker,make + agent,affix
manager,manage + agent,affix
manner,man + agent,affix
marker,mark + agent,affix
mattress,matter + female,affix
meaning,mean + act,affix
means,mean + many,affix
meeting,meet + act,affix
memorize,memory + make,affix
metric,meter + like,affix
migration,migrate + act,affix
mission,miss + act,affix
mixed,mix + done,affix
mobilize,mobile + make,affix
modify,mode + make,affix
modulation,module + act,affix
mostly,most + manner,affix
motivation,motive + act,affix
movement,move + act,affix
musician,music + agent,affix
mutation,mud + act,affix
necessity,necessary + nature,affix
negative,negate + like,affix
nested,nest + done,affix
news,new + many,affix
noisy,noise + like,affix
normalize,normal + make,affix
notable,not + able,affix
notify,not + make,affix
notion,not + act,affix
objective,object + like,affix
obligation,oblige + act,affix
observation,observe + act,affix
obsession,obsess + act,affix
occasional,occasion + like,affix
occupied,occupy + done,affix
occurrence,occur + act,affix
odds,odd + many,affix
offensive,offense + like,affix
offering,offer + act,affix
officer,office + agent,affix
oneness,one + nature,affix
opening,open + act,affix
operation,operate + act,affix
optional,option + like,affix
ordinal,ordinary + like,affix
organic,organ + like,affix
organize,organ + make,affix
organized,organize + done,affix
oriented,orient + done,affix
oscillation,oscillate + act,affix
outer,out + agent,affix
outsider,outside + agent,affix
owner,own + agent,affix
painful,pain + full,affix
paradise,parade + make,affix
partition,part + act,affix
partly,part + manner,affix
passion,paste + act,affix
passive,pass + like,affix
patent,pace + agent,affix
payment,pay + act,affix
peaceful,peace + full,affix
performance,perform + act,affix
periodic,period + like,affix
peripheral,periphery + like,affix
perish,per + like,affix
persistent,persist + agent,affix
personality,personal + nature,affix
petal,pet + like,affix
photography,photograph + like,affix
picky,pick + like,affix
plaster,plastic + agent,affix
play,plate + like,affix
player,play + agent,affix
pleasant,please + agent,affix
pointed,point + done,affix
polar,pole + like,affix
polarize,polar + make,affix
politic,polite + like,affix
pollen,poll + make,affix
pollution,pollute + act,affix
porous,pore + like,affix
porter,port + agent,affix
portion,pore + act,affix
possession,possess + act,affix
pottery,potter + like,affix
powerful,power + full,affix
prediction,predicate + act,affix
preparation,prepare + act,affix
preventive,prevent + like,affix
prey,pre + like,affix
prior,prize + agent,affix
prioritize,priority + make,affix
priority,prior + nature,affix
prisoner,prison + agent,affix
privacy,private + nature,affix
productive,product + like,affix
profession,profess + act,affix
professional,profession + like,affix
prohibition,prohibit + act,affix
projection,project + act,affix
protection,protect + act,affix
publish,public + like,affix
punishment,punish + act,affix
purify,pure + make,affix
purity,pure + nature,affix
radiation,radiate + act,affix
rarely,rare + manner,affix
ration,rat + act,affix
rational,ration + like,affix
ready,read + like,affix
reality,real + nature,affix
realize,real + make,affix
receiver,receive + agent,affix
recipient,recipe + agent,affix
recognition,recognize + act,affix
recording,record + act,affix
recursion,recur + act,affix
reference,refer + act,affix
reflection,reflect + act,affix
regional,region + like,affix
registration,register + act,affix
rejection,reject + act,affix
relative,relate + like,affix
reliable,rely + able,affix
reliance,rely + act,affix
relic,relate + like,affix
repeated,repeat + done,affix
representation,represent + act,affix
required,require + done,affix
requirement,require + act,affix
resembling,resemble + act,affix
resistance,resist + act,affix
resistant,resist + agent,affix
resonance,resonate + act,affix
resonant,resonate + agent,affix
responsibility,response + ability,affix
responsible,response + able,affix
romantic,romance + like,affix
rotation,rot + act,affix
rotten,rot + make,affix
rubber,rub + agent,affix
rubbish,rub + like,affix
ruler,rule + agent,affix
sadness,sad + nature,affix
salty,salt + like,affix
scaly,scale + like,affix
scary,scar + like,affix
scientist,science + agent,affix
scornful,scorn + full,affix
scruffy,scruff + like,affix
sealed,seal + done,affix
secondary,second + like,affix
secretary,secret + like,affix
secretion,secrete + act,affix
section,sect + act,affix
security,secure + nature,affix
selection,select + act,affix
selfish,self + like,affix
sensation,sense + act,affix
sensitivity,sensitive + nature,affix
separation,separate + act,affix
servant,serve + agent,affix
server,serve + agent,affix
settlement,settle + act,affix
shaky,shake + like,affix
shameful,shame + full,affix
shaped,shape + done,affix
shared,share + done,affix
sharpen,sharp + make,affix
shear,she + like,affix
shorten,short + make,affix
shower,show + agent,affix
significant,signify + agent,affix
signify,sign + make,affix
similarity,similar + nature,affix
simulation,simulate + act,affix
skillful,skill + full,affix
skinny,skin + like,affix
sleepy,sleep + like,affix
slightly,slight + manner,affix
slimy,slim + like,affix
slower,slow + agent,affix
sneaky,sneak + like,affix
soften,soft + make,affix
solar,sole + like,affix
solvent,solve + agent,affix
specialist,special + agent,affix
specialize,special + make,affix
spicy,spice + like,affix
squishy,squish + like,affix
stairs,stair + many,affix
statement,state + act,affix
static,state + like,affix
station,stay + act,affix
stay,state + like,affix
sticky,stick + like,affix
stinking,stink + act,affix
stocking,stock + act,affix
strengthen,strength + make,affix
suffering,suffer + act,affix
suggestion,suggest + act,affix
surprised,surprise + done,affix
surrounding,surround + act,affix
symbolic,symbol + like,affix
symbolize,symbol + make,affix
symmetric,symmetry + like,affix
tactic,tact + like,affix
talky,talk + like,affix
taper,tap + agent,affix
tasty,taste + like,affix
teacher,teach + agent,affix
tenable,ten + able,affix
tenant,ten + agent,affix
tender,tend + agent,affix
they,the + like,affix
thirsty,thirst + like,affix
threaten,threat + make,affix
thrifty,thrift + like,affix
tidy,tide + like,affix
tired,tire + done,affix
tolerance,tolerate + act,affix
topic,top + like,affix
touching,touch + act,affix
tourist,tour + agent,affix
tower,tow + agent,affix
tradition,trade + act,affix
transformation,transform + act,affix
translation,translate + act,affix
tray,trace + like,affix
treatment,treat + act,affix
treaty,treat + like,affix
trial,try + like,affix
tuning,tune + act,affix
uniformity,uniform + nature,affix
unity,unit + like,affix
university,universe + nature,affix
upper,up + agent,affix
useful,use + full,affix
useless,use + without,affix
usually,usual + manner,affix
valuable,value + able,affix
vandalize,vandal + make,affix
vanish,van + like,affix
vanity,van + nature,affix
variation,various + act,affix
vibration,vibrate + act,affix
violation,violate + act,affix
violence,violate + act,affix
violent,violate + agent,affix
virtuous,virtue + like,affix
visualize,visual + make,affix
warning,warn + act,affix
warrant,war + agent,affix
weaken,weak + make,affix
weary,wear + like,affix
wedding,wed + act,affix
whiny,whine + like,affix
whiten,white + make,affix
widen,wide + make,affix
wisdom,wise + state,affix
witty,wit + like,affix
worker,work + agent,affix
worsen,worse + make,affix
worthy,worth + like,affix
writing,write + act,affix
ad,advertisement,clipping
bike,bicycle,clipping
bus,omnibus,clipping
cab,cabriolet,clipping
exam,examination,clipping
flu,influenza,clipping
math,mathematics,clipping
movie,moving picture,clipping
phone,telephone,clipping
photo,photograph,clipping
piano,pianoforte,clipping
plane,airplane,clipping
sub,submarine,clipping
taxi,taximeter cab,clipping
tech,technology,clipping
zoo,zoological garden,clipping
afterlife,after + life,compound
afternoon,after + noon,compound
alternative,alter + native,compound
avoidable,avoid + able,compound
baseline,base + line,compound
broadcast,broad + cast,compound
charcoal,char + coal,compound
childhood,child + hood,compound
comfortable,comfort + able,compound
covering,cove + ring,compound
database,data + base,compound
deadline,dead + line,compound
earthquake,earth + quake,compound
feedback,feed + back,compound
framework,frame + work,compound
friendship,friend + ship,compound
generate,gene + rate,compound
grandparent,grand + parent,compound
grassland,grass + land,compound
hardware,hard + ware,compound
highland,high + land,compound
household,house + hold,compound
landform,land + form,compound
landmark,land + mark,compound
livestock,live + stock,compound
moderate,mode + rate,compound
mushroom,mush + room,compound
newspaper,news + paper,compound
otherwise,other + wise,compound
overcome,over + come,compound
override,over + ride,compound
photograph,photo + graph,compound
predictable,predict + able,compound
radioactive,radio + active,compound
rainfall,rain + fall,compound
reinforce,rein + force,compound
relationship,relation + ship,compound
software,soft + ware,compound
talkable,talk + able,compound
understandable,understand + able,compound
waterbody,water + body,compound
watercourse,water + course,compound
waterfall,water + fall,compound
wavelength,wave + length,compound
withdraw,with + draw,compound
withhold,with + hold,compound
workplace,work + place,compound
workshop,work + shop,compound
worthless,worth + less,compound
am,grammar,grammar
are,grammar,grammar
been,grammar,grammar
being,grammar,grammar
best,grammar,grammar
better,grammar,grammar
could,grammar,grammar
did,grammar,grammar
does,grammar,grammar
done,grammar,grammar
elder,grammar,grammar
eldest,grammar,grammar
farther,grammar,grammar
farthest,grammar,grammar
further,grammar,grammar
furthest,grammar,grammar
greater,grammar,grammar
greatest,grammar,grammar
had,grammar,grammar
has,grammar,grammar
having,grammar,grammar
her,grammar,grammar
hers,grammar,grammar
herself,grammar,grammar
higher,grammar,grammar
highest,grammar,grammar
him,grammar,grammar
himself,grammar,grammar
his,grammar,grammar
is,grammar,grammar
its,grammar,grammar
itself,grammar,grammar
larger,grammar,grammar
largest,grammar,grammar
longer,grammar,grammar
longest,grammar,grammar
lower,grammar,grammar
lowest,grammar,grammar
me,grammar,grammar
might,grammar,grammar
mine,grammar,grammar
must,grammar,grammar
myself,grammar,grammar
older,grammar,grammar
oldest,grammar,grammar
ought,grammar,grammar
ours,grammar,grammar
ourselves,grammar,grammar
shall,grammar,grammar
should,grammar,grammar
smaller,grammar,grammar
smallest,grammar,grammar
theirs,grammar,grammar
them,grammar,grammar
themselves,grammar,grammar
us,grammar,grammar
was,grammar,grammar
were,grammar,grammar
whom,grammar,grammar
whose,grammar,grammar
worse,grammar,grammar
worst,grammar,grammar
would,grammar,grammar
younger,grammar,grammar
youngest,grammar,grammar
yours,grammar,grammar
yourself,grammar,grammar
cooperate,with + operate,prefix
cough,with + ugh,prefix
disable,not + able,prefix
disagree,not + agree,prefix
disappear,not + appear,prefix
disappointment,not + appointment,prefix
disapprove,not + approve,prefix
disarrange,not + arrange,prefix
discard,not + card,prefix
discomfort,not + comfort,prefix
disconnect,not + connect,prefix
disconnected,not + connected,prefix
discontent,not + content,prefix
discourage,not + courage,prefix
discourse,not + course,prefix
disgust,not + gust,prefix
dishonest,not + honest,prefix
dislike,not + like,prefix
disloyal,not + loyal,prefix
disobey,not + obey,prefix
disorder,not + order,prefix
disown,not + own,prefix
displeasure,not + pleasure,prefix
disposition,not + position,prefix
disprove,not + prove,prefix
disrespect,not + respect,prefix
distill,not + till,prefix
distrust,not + trust,prefix
interface,between + face,prefix
internet,between + net,prefix
intersect,between + sect,prefix
intersection,between + section,prefix
mischief,wrong + chief,prefix
mislead,wrong + lead,prefix
mistake,wrong + take,prefix
misunderstand,wrong + understand,prefix
nonexistence,not + existence,prefix
prefix,before + fix,prefix
prescribe,before + scribe,prefix
presuppose,before + suppose,prefix
react,again + act,prefix
reaction,again + action,prefix
recall,again + call,prefix
recent,again + cent,prefix
recurse,again + curse,prefix
refine,again + fine,prefix
refresh,again + fresh,prefix
relate,again + late,prefix
relay,again + lay,prefix
remark,again + mark,prefix
remind,again + mind,prefix
renew,again + new,prefix
replace,again + place,prefix
reproduce,again + produce,prefix
reproduction,again + production,prefix
republic,again + public,prefix
repulse,again + pulse,prefix
reset,again + set,prefix
reside,again + side,prefix
resin,again + sin,prefix
resolution,again + solution,prefix
resolve,again + solve,prefix
restrain,again + strain,prefix
retreat,again + treat,prefix
retry,again + try,prefix
reuse,again + use,prefix
reverse,again + verse,prefix
submerge,below + merge,prefix
subset,below + set,prefix
subside,below + side,prefix
subsystem,below + system,prefix
subtype,below + type,prefix
supernatural,above + natural,prefix
supertype,above + type,prefix
transform,across + form,prefix
transport,across + port,prefix
unable,not + able,prefix
unavailable,not + available,prefix
unbind,not + bind,prefix
uncertain,not + certain,prefix
unconscious,not + conscious,prefix
uncover,not + cover,prefix
uneven,not + even,prefix
unfair,not + fair,prefix
unhappy,not + happy,prefix
unknown,not + known,prefix
unlike,not + like,prefix
unlikely,not + likely,prefix
unlink,not + link,prefix
unlock,not + lock,prefix
unmove,not + move,prefix
unpleasant,not + pleasant,prefix
unpredictable,not + predictable,prefix
unrelated,not + related,prefix
unstable,not + stable,prefix
untangle,not + tangle,prefix
untie,not + tie,prefix
untouch,not + touch,prefix
untreat,not + treat,prefix
unverify,not + verify,prefix
unwant,not + want,prefix
abbreviation,short + form,sense
abdomen,lower + body + region,sense
abduce,best + explain + infer,sense
ability,able + nature,sense
abrasive,abrade + like,sense
absence,absent + state,sense
accountable,answer + able,sense
acknowledge,know + say,sense
acquaintance,meet + person,sense
activate,active + make,sense
adjective,nature + term,sense
adjoin,next + join,sense
admission,admit + act,sense
adsorb,surface + adhere,sense
advection,flow + carry,sense
adverb,manner + term,sense
advertise,notice + make,sense
advice,advise + act,sense
affiliate,group + join,sense
afraid,fear + full,sense
airport,sky + port,sense
albatross,big + sea + bird,sense
aloud,out + loud,sense
alphabet,letter + code,sense
alpine,mountain + live,sense
altruistic,other + benefit + self + cost,sense
aluminum,light + metal,sense
amber,tree + resin + rock,sense
amethyst,purple + gem,sense
amorphous,no + shape,sense
amplify,strong + make,sense
analysis,analyze + act,sense
ancestor,before + kin,sense
anchovy,salt + herring,sense
anemone,sea + flower + animal,sense
anion,negative + ion,sense
anniversary,year + loop + feast,sense
annual,one + year + live,sense
anteater,ant + eat + animal,sense
antelope,fast + deer,sense
antibiotic,microbe + kill + medicine,sense
antonym,opposite + meaning,sense
anvil,iron + block,sense
anxiety,anxious + nature,sense
aperture,opening,sense
aphid,sap + suck + bug,sense
apologise,apology + make,sense
apologize,apology + make,sense
apprentice,learn + agent,sense
apricot,small + peach,sense
aquatic,water + live,sense
aqueduct,water + road,sense
arachnid,spider + group,sense
arboreal,tree + live,sense
archipelago,island + group,sense
arid,very + dry,sense
arise,come + up,sense
armadillo,shell + animal,sense
army,military + group,sense
array,order + list,sense
arrest,law + seize,sense
article,point + term,sense
artwork,art + work,sense
assassin,hire + kill + agent,sense
asset,own + thing,sense
asteroid,rock + star,sense
asylum,safe + place,sense
asynchronous,not + same + time,sense
atoll,ring + reef,sense
attenuate,weak + make,sense
attractor,attract + state,sense
audacious,very + bold,sense
audible,hear + able,sense
augury,sign + read,sense
aunt,parent + sibling,sense
aurora,pole + light,sense
authenticate,true + prove,sense
authorize,authority + give,sense
avalanche,snow + slide,sense
avatar,proxy + body,sense
avenge,revenge,sense
backup,spare + copy,sense
backward,back + oriented,sense
bacon,pig + meat,sense
badminton,racket + feather + ball + sport,sense
bamboo,hollow + grass,sense
bandit,rob + agent,sense
baobab,fat + tree,sense
baptism,holy + bathe,sense
barbecue,fire + cook,sense
barn,farm + building,sense
barnacle,stick + shell,sense
barracks,soldier + house,sense
barter,thing + trade,sense
basalt,dark + rock,sense
baseball,bat + ball + sport,sense
basketball,basket + ball + sport,sense
bath,bathe + place,sense
beaver,wood + cut + river + rat,sense
beef,cow + meat,sense
beetle,shell + bug,sense
beggar,beg + agent,sense
belief,believe + act,sense
belittle,less + important + make,sense
beneficial,benefit + like,sense
benevolent,other + good + want,sense
best case,best + possible + outcome,sense
bible,holy + book,sense
bicycle,bike,sense
bifurcate,behavior + branch + threshold,sense
bilateral,two + side + symmetry,sense
binary,two + system,sense
biodiversity,life + diversity,sense
biological,life + study + like,sense
biology,life + study,sense
biome,life + region,sense
birch,white + bark + tree,sense
birthday,birth + day,sense
bishop,church + chief,sense
bison,wild + cow,sense
blackberry,black + berry,sense
bleat,sheep + call,sense
blend in,same + seem + become,sense
blizzard,snow + storm,sense
blockade,block + act,sense
blossom,tree + flower,sense
blotch,rough + spot,sense
blueberry,blue + berry,sense
boar,wild + pig,sense
boastful,boast + like,sense
boor,rude + coarse + agent,sense
bottleneck,flow + limit + component,sense
boulder,big + rock + piece,sense
bounty,gift + pay,sense
brass,yellow + copper,sense
bray,small + horse + call,sense
brazen,bold + shameless,sense
breadth,broad + measure,sense
breakfast,morning + meal,sense
bridle,horse + head + strap,sense
bristle,stiff + hair,sense
broker,deal + middle + agent,sense
bronze,copper + tin,sense
brook,small + stream,sense
budget,money + plan,sense
buffalo,wild + cow,sense
bunker,under + shelter,sense
buoyancy,buoyant + nature,sense
burglar,house + steal + agent,sense
butte,narrow + flat + hill,sense
butterfly,day + moth,sense
calcite,chalk + crystal,sense
caldera,big + crater,sense
callous,suffer + insensitive,sense
camel,hump + horse,sense
canine,point + tooth,sense
canola,oil + seed,sense
cape,land + point,sense
capillary,narrow + tube + liquid + rise,sense
captive,capture + done,sense
carapace,back + shell,sense
carbohydrate,sugar + chain,sense
cardboard,thick + paper,sense
cargo,carry + load,sense
caribou,snow + deer,sense
carnivore,meat + eat + agent,sense
carriage,carry + vehicle,sense
carrying capacity,environment + support + population + limit,sense
cash,hand + money,sense
cashew,bend + nut,sense
casket,death + box,sense
catalyst,react + speed + thing,sense
catfish,whisker + fish,sense
cation,positive + ion,sense
caustic,harsh + cut + criticize,sense
cavern,big + cave,sense
caw,crow + call,sense
cedar,red + pine,sense
cemetery,bury + place,sense
census,count + all + population,sense
cent,hundred + part + coin,sense
centaur,human + horse + body + join,sense
centimeter,hundred + part + meter,sense
centipede,many + foot + worm,sense
centrality,network + center + degree,sense
cephalopod,head + foot + mollusk,sense
charismatic,charm + social + power,sense
charlatan,false + skill + agent,sense
chat,light + talk,sense
checkpoint,check + place,sense
cheetah,fast + wild + cat,sense
chela,grasp + claw,sense
chemical,molecule + like,sense
chemistry,molecule + study,sense
chickpea,round + pea,sense
chili,hot + pepper,sense
chimney,smoke + pipe,sense
chirp,bird + beep,sense
chive,small + onion,sense
chloroplast,green + organelle,sense
choice,choose + act,sense
chromosome,gene + thread,sense
chuckle,small + laugh,sense
church,worship + building,sense
cicada,sing + bug,sense
cinema,move + picture + house,sense
circular,circle + like,sense
circumference,around + line,sense
cirrus,hair + cloud,sense
cistern,water + hold + pit,sense
citadel,high + fortress,sense
clade,ancestor + all + descendant,sense
clarify,clear + make,sense
clarity,clear + state,sense
classroom,teach + room,sense
clinic,small + hospital,sense
cloaca,shared + body + opening,sense
clockwise,clock + oriented,sense
clog,accumulate + channel + block,sense
clover,three + leaf + grass,sense
cluck,hen + call,sense
coal,burn + rock,sense
cobble,round + rock + piece,sense
cockroach,flat + bug,sense
coconut,palm + nut,sense
cocoon,silk + shell,sense
coexist,together + exist,sense
coffin,death + box,sense
cognate,same + origin,sense
cohere,same + stick,sense
collision,collide + act,sense
colonial,colony + like,sense
combust,burn,sense
combustion,burn + act,sense
comet,tail + star,sense
commensalism,one + benefit + relation,sense
commute,swap + same,sense
companion,company + person,sense
compensate,pay + back,sense
compromise,middle + agree,sense
concave,in + curve,sense
concede,give + point,sense
conceited,self + opinion + high,sense
conception,conceive + act,sense
conclusion,conclude + act,sense
concurrent,same + time + run,sense
condescending,express + superior + toward + other,sense
conditional probability,probability + condition,sense
conductivity,conduct + ability,sense
confidence,confident + nature,sense
confidence interval,estimate + uncertainty + range,sense
confiscate,law + take,sense
confluence,river + join,sense
confusion,confuse + act,sense
conglomerate,pebble + rock,sense
congruence,same + shape,sense
conifer,cone + tree,sense
conjecture,guess + claim,sense
conjunction,join + term,sense
conscientious,careful + duty + follow,sense
consecutive,follow + order,sense
consensus,all + agree,sense
consonant,close + sound,sense
consulate,nation + speak + place,sense
contingency plan,plan + alternative + condition,sense
contingent,depend + like,sense
contradiction,against + say,sense
convection,heat + flow + carry,sense
convention,custom + agree,sense
convex,out + curve,sense
convolution,convolute + act,sense
cooperation,cooperate + act,sense
coriander,cilantro + seed,sense
corollary,follow + claim,sense
corroborate,more + support,sense
counterargument,against + argument,sense
counterclockwise,against + clock + oriented,sense
counterexample,against + example,sense
counterfactual,not + fact,sense
courthouse,judge + building,sense
covalent,share + bond,sense
cove,small + bay,sense
cranberry,sour + berry,sense
crass,coarse + rude,sense
crayfish,river + lobster,sense
credible,believe + able,sense
credulous,believe + too + ready,sense
crepuscular,dusk + active,sense
cricket,bat + ball + wicket + sport,sense
croak,frog + call,sense
crop,store + stomach,sense
crown,king + ring,sense
crystalline,crystal + like,sense
cumulus,heap + cloud,sense
customer,buy + agent,sense
cuttlefish,bone + octopus,sense
cytoplasm,cell + fluid,sense
daisy,sun + flower,sense
dampen,quiet + make,sense
deactivate,not + active + make,sense
deadpan,humor + face + flat,sense
debit,owe + record,sense
debug,error + fix,sense
deception,deceive + act,sense
deciduous,leaf + shed + year,sense
decision,decide + act,sense
decouple,not + couple,sense
